ID2,title,amenityfeatures,description,streetaddress,type,city,state,unclear_address,Year,unclear type or question,notes,Last Modified
3230,Plaza Guest House,(MW),487-1818 year round,11 Pearl St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
5032,Red Star,"(*),(D),(L),(LV),(OC)","375-4116 winter hrs 5pm-2am Mon-Sat, summer hrs 8pm-2am Mon-Sat, patio",11 S. 10th St.,Bars,Reading,PA,,1992,,,4/25/2023 9:32pm
3675,Our World Too,,"533-5322 gay/lesbian titles, gifts, jewelry, & art",11 S. Vandeventer,Bookstore/Retail Shops,St. Louis,MO,,1992,,,4/25/2023 9:32pm
212,"Gardener's Cottage, The",,"c/o 253-9111 private country cottage for 2, furnished kitchen, antique decor",11 Singleton,Accomodations,Eureka Springs,AR,,1992,,,4/25/2023 9:32pm
3222,Haven House,"(*),(SW)",487-3031,12 Carver St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3245,Twelve Center Guest House,"(*),(IGTA)",487-0381 year round,12 Center St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
2348,Line I Video Arcade,,359-8529,12 E. Columbia Ave.,Erotica,Champaign/Urbana,IL,,1992,,,4/25/2023 9:32pm
2517,Rainbow Inn,"(MX),(NH)","254-7227 7pm-2am Tues-Thur, 4pm-2am Fri-Sun",12 E. Ferguson,Bars,Wood River,IL,,1992,,,4/25/2023 9:32pm
3244,Trade Winds,,487-0138 year round,12 Johnson St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3111,Downtown Cafe,"(*),(MX)","(behind Buddies) 338-7037 lunch & dinner, clsd Mon",12 La Grange St.,Restaurants & Cafes,Boston,MA,,1992,,,4/25/2023 9:32pm
3699,Ms. Kitty's Adult Stores,,586-6989,12 N. Wilson,Erotica,Bozeman,MT,,1992,,,4/25/2023 9:32pm
3848,Brass Rail Bar & Grill,"(*),(F),(NH)",348-0192 24hrs,12 S. Mt. Vernon Ave. ,Bars,Atlantic City,NJ,,1992,,,4/25/2023 9:32pm
4146,Private Eyes,"(*),(MW),(D),(V)","206-7770 best video bar (preppies), clsd Tues",12 W. 21st St.,Bars,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
3195,Beaconlite Inn,(MW),"487-9603 cont'l bkfst, private baths, year round",12 Winthrop,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3088,Axis/DV8,"(*),(MX),(D),(E)",262-2437 gay Sun only,13 Lansdowne,Bars,Boston,MA,,1992,,,4/25/2023 9:32pm
2976,"Club, The","(*),(D),(V),(YC)",646-9282/646-6655,13 Main St.,Bars,Ogunquit,ME,,1992,,,4/25/2023 9:32pm
4785,"City Nightclub, The","(*),(MW),(D),(YC),(AH)","224-2489 10pm-2am Thurs & Sun, til 4am Fri, til 4:30am Sat, no alcohol",13 N.W. 13th Ave.,Bars,Portland,OR,,1992,,,4/25/2023 9:32pm
4641,Christopher's Lounge,"(MW),(NH),(D)","539-9381 8pm-2:30am, clsd Sun",13 Old St.,Bars,Monroe,OH,,1992,,,4/25/2023 9:32pm
4105,Parlee Plus/Equal Time the News,,"Babylon 11702, (516)587-8669 monthly",13 S. Carl Ave.,Publication,New York City,NY,,1992,,,5/18/2023 8:29am
3280,Provincetown Magazine,(MX),487-3384,14 Center St.,Publication,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3211,Courtland House,(MW),"487-2292 guest house, year round",14 Court St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
5190,Rosebud Bar,"(MX),(NH)",229-1312 more gay in late evening,14 S.E. 1st Ave.,Bars,Aberdeen,SD,,1992,,,4/25/2023 9:32pm
2456,Rialto,"(*),(MW),(D)","427-9893 noon-4am Sun-Fri, til 5am Sat",14 W. Van Buren,Bars,Chicago,IL,,1992,,,4/25/2023 9:32pm
4005,Boulevard Bookstore,,"436-8848 gay titles, 10am-7pm Mon-Sat, noon-5pm Sun",15 Central Ave.,Bookstore/Retail Shops,Albany,NY,,1992,,,4/25/2023 9:32pm
4176,Oscar Wilde Memorial Bookshop,,"255-8097 gay/lesbian bookstore, noon-7:30pm",15 Christopher St.,Bookstore/Retail Shops,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
3233,Red Inn,"(MX),(F)",487-0050 year round,15 Commercial St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
1996,"Grocery Store, The","(MW),(D),(S)",433-8868 6pm-3am,15 East Intendencia,Bars,Pensacola,FL,,1992,,,4/25/2023 9:32pm
1561,Beach House,"(MW),(SW)","277-7074 B & B, year round",15 Hickman St.,Accomodations,Rehoboth Beach,DE,,1992,,,4/25/2023 9:32pm
3095,Citi Club,"(*),(MX),(D),(YC)",262-2424 gay Sun only,15 Lansdowne St.,Bars,Boston,MA,,1992,,,4/25/2023 9:32pm
2689,Mini Cinema,,955-9756 24hrs,15 N. 5th St.,Erotica,Fort Dodge,IA,,1992,,,4/25/2023 9:32pm
5057,Michaels' (The Bar),"(*),(MW),(D),(YC),(F),(E)","Rear (in Plains Plaza) 829-4444 piano bar, Tues-Sun 5pm-2am",15 N. River St.,Bars,Wilkes-Barre,PA,,1992,checked,"This address is in Plains, PA on Google Maps",4/25/2023 9:32pm
4190,Society of Friends,,"(Meeting House) 777-8866, 11am Sun",15 Rutherford Pl.,Religious Organization,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
4463,Palladium,"(MW),(PC),(D),(S)",343-1000 9pm-1am Wed-Sun,15 S. Front St.,Bars,Wilmington,NC,,1992,,,4/25/2023 9:32pm
5191,Heritage Book Store,,"225-9969, 24hrs",16 1st Ave. S.E.,Erotica,Aberdeen,SD,,1992,,,4/25/2023 9:32pm
4028,Allen,(MX),"881-0586 lunch Tues-Fri, dinner Tues-Sat, Sun brunch",16 Allen St.,Restaurants & Cafes,Buffalo,NY,,1992,,,4/25/2023 9:32pm
5110,Hydrangea House of Newport,(MW),"846-4435 B & B, private baths, non-smoking",16 Bellevue Ave,Accomodations,Newport,RI,,1992,,,4/25/2023 9:32pm
3657,Loading Zone,(NH),361-4119 2pm-1:30am Mon-Sat,16 S. Euclid,Bars,St. Louis,MO,,1992,,,4/25/2023 9:32pm
3852,Surfside Six,(MW),"347-8532 noon-4am, Sun T-dance, sundeck, open May-Sept",16 S. Mt. Vernon,Bars,Atlantic City,NJ,,1992,,,4/25/2023 9:32pm
3207,Chancellor Inn,(MW),487-9423 year round,17 Center St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
218,MCC of the Living Spring,,"253-9337, 7pm Sun",17 Elk St.,Religious Organization,Eureka Springs,AR,,1992,,,4/25/2023 9:32pm
4316,AA Gay/Lesbian,,(St Luke's) 232-6720 8:30pm Thurs,17 Fitzugh St.,Info Lines & Services,Rochester,NY,,1992,,,4/25/2023 9:32pm
2190,Faces II,"(NH),(F)","233-3520 4pm-3am, patio",17 Lincoln St.,Bars,Savannah,GA,,1992,,,4/25/2023 9:32pm
1699,Marlin Beach Hotel,"(*),(MW),(SW),(F),(IGTA)","467-6551 (800) 327-2246 jacuzzi, year round",17 S. Atlantic Blvd.,Accomodations,Ft. Lauderdale,FL,,1992,,,4/25/2023 9:32pm
4338,Dignity/Integrity,,328-9758 5pm Sun,17 S. Fitzhugh,Religious Organization,Rochester,NY,,1992,,,4/25/2023 9:32pm
3020,Chez Claire,(MW),685-4666/837-0996 B & B,17 W. Chase St.,Accomodations,Baltimore,MD,,1992,,,4/25/2023 9:32pm
2478,MCC (Holy Covenant),,(Unitarian Church) 325-8488 worship 7pm Sun,17 W. Maple,Religious Organization,Hinsdale,IL,,1992,,,4/25/2023 9:32pm
4015,North Street Bookshop,,Endicott 785-9606 clsd Sun,17 Washington Ave.,Erotica,Binghampton,NY,,1992,,,5/18/2023 8:29am
1607,La Cage aux Follies,"(*),(D),(V),(S),(YC)",554-3615 nude go-go boys,18 'O' St. SE,Bars,Washington,DC,,1992,,,4/25/2023 9:32pm
1773,"University Club, The","(MW),(D),(YC),(S)","378-6814 5pm-2am, 5pm-11pm Sun, patio",18 East University Ave.,Bars,Gainesville,FL,,1992,,,4/25/2023 9:32pm
6020,Yakima Magazine Ctr.,,248-8598,18 S. 1st St.,Erotica,Yakima,WA,,1992,,,4/25/2023 9:32pm
3853,Lyles Coffeshop,,8am-4pm,18 S. Mt. Vernon,Restaurants & Cafes,Atlantic City,NJ,,1992,,,4/25/2023 9:32pm
3845,Fraternity House,,"347-0808 B & B, sundeck, priv baths",18 S. Mt. Vernon Ave.,Accomodations,Atlantic City,NJ,,1992,,,4/25/2023 9:32pm
2946,Integrity,,Hallowell (St. Matthew's Church) 623-3041 first Fri 8pm,18 Union St.,Religious Organization,Augusta,ME,,1992,,,5/18/2023 8:29am
3007,Priscilla's Book Store,,873-2774,18 Water St.,Erotica,Waterville,ME,,1992,,,4/25/2023 9:32pm
3898,J. August's Cafe,(MX),"246-8028 11:30am-2am Sun-Thurs, til 3am Fri/Sat, full bar",19 Dennis St.,Restaurants & Cafes,New Brunswick,NJ,,1992,,,4/25/2023 9:32pm
3488,Nineteen Bar,"(MW),(NH),(BW)","Mpls. 871-5553 3pm-1am Mon-Thurs, 1pm-1am Fri-Sun",19 W. 15th St.,Bars,Minneapolis,MN,,1992,,,4/25/2023 9:32pm
1631,Club Washington,(PC),"(upstairs) 488-7317 spa, open 24hrs",20 'O' St. SE,Gyms/Health Clubs,Washington,DC,,1992,,,4/25/2023 9:32pm
4027,Stagedoor,(E),"886-9323 patio, piano bar, 5pm-4am",20 Allen St.,Bars,Buffalo,NY,,1992,,,4/25/2023 9:32pm
6138,Chesterfield Inn,,"987-3682 B & B, restaurant to open May-October",20 Commerce St.,Accomodations,Mineral Point,WI,,1992,,,4/25/2023 9:32pm
5731,Colors,"(*),(D)","254-8646 5pm-2am Sun-Fri, til 1am Sat",20 Elliott St.,Bars,Brattlebro,VT,,1992,,,4/25/2023 9:32pm
1543,Gay Men's Group of Fairfield County,,"358-9002, 1st Thurs & 3rd Tues, call for info ",20 Forest St.,Men's Services,Stamford,CT,,1992,,,4/25/2023 9:32pm
3177,Le Place,"(MW),(D)","992-8156 2pm-2am Sun-Fri, noon-1am Sat",20 Kenyon St.,Bars,New Bedford,MA,,1992,,,4/25/2023 9:32pm
1537,Club 20,(D),"(South Norwalk) 866-2020 2 stories, til 1am Sun-Thurs, til 2am Fri & Sat",20 N. Main St.,Bars,Norwalk,CT,,1992,,,4/25/2023 9:32pm
4153,Twenty/Twenty,"(*),(MW),(D)",727-8840 call for info,20 W. 20th St.,Bars,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
3093,Campus & Man Ray,"(MX),(D),(YC)",Cambridge 864-0400 gay Thurs only,21 Brookline,Bars,Boston,MA,,1992,,,5/18/2023 8:30am
3106,Playland,"(H),(E)",338-7254 piano bar upstairs,21 Essex,Bars,Boston,MA,,1992,,,4/25/2023 9:32pm
1694,Admiral's Court,"(MX),(SW)",462-5072 open year round,21 Hendricks Isle,Accomodations,Ft. Lauderdale,FL,,1992,,,4/25/2023 9:32pm
1569,Back Porch,(MX),"227-3674 open March-October, hrs 10am-11pm",21 Rehoboth Ave.,Restaurants & Cafes,Rehoboth Beach,DE,,1992,,,4/25/2023 9:32pm
4980,Lambda Travel,(IGTA),#545 925-3011,21 S. 5th St.,Travel & Tour Operators,Philadelphia,PA,,1992,,,4/25/2023 9:32pm
4160,Capito,(MW),645-2160 Italian cuisine,21 W. 17th St.,Restaurants & Cafes,Greenwich Village,NY,,1992,,,4/25/2023 9:32pm
5793,Tucker Inn,"(MX),(W)",224-2031 beachside,21 Weens St.,Accomodations,Colonial Beach,VA,,1992,,,4/25/2023 9:32pm
1411,Club 22,"(D),(L),(LV)",733-2175 7am-2am,22 Broadway,Bars,Denver,CO,,1992,,,4/25/2023 9:32pm
3226,Land's End Inn,(MW),"487-0706 B & B, year round",22 Commercial St.,Accomodations,Provincetown,MA,,1992,,,4/25/2023 9:32pm
3087,Oasis Guest House,"(*),(IGTA)",267-2262,22 Edgerly Rd.,Accomodations,Boston,MA,,1992,,,4/25/2023 9:32pm
3309,Midtown Athletic Club,(MX),798-9703,22 Front St.,Gyms/Health Clubs,Worcester,MA,,1992,,,4/25/2023 9:32pm
3678,Patrik Travel,(IGTA),367-1468,22 N. Euclid Ave.,Travel & Tour Operators,St. Louis,MO,,1992,,,4/25/2023 9:32pm
5109,Brinley Victorian Inn,"(MX),(W)",849-7645,23 Brinley St.,Accomodations,Newport,RI,,1992,,,4/25/2023 9:32pm
3289,Just Friends,"(MW),(D),(V)",781-5878 11am-2am,23 Hampden St.,Bars,Springfield,MA,,1992,,,4/25/2023 9:32pm
102,Charlie's,"(MX),(E)","779-1919 11pm-1am, discreetly frequented by local gay population",23 N. Leroux,Bars,Flagstaff,AZ,,1992,,,4/25/2023 9:32pm
187,Graduate,(*),"622-9233 11am-1am, cruise bar",23 W. University Ave.,"Bars,Cruising Areas",Tucson,AZ,,1992,,,4/25/2023 9:32pm
1632,GH Club,(PC),(next door to Follies),24 'O' St. SE,Gyms/Health Clubs,Washington,DC,,1992,,,4/25/2023 9:32pm
1651,Follies,,(upstairs) 484-0323 24 hrs,24 'O' St. SE,Erotica,Washington,DC,,1992,,,4/25/2023 9:32pm
1516,Weber's Travel Services,(IGTA),229-4846,24 Cedar St.,Travel & Tour Operators,New Britain,CT,,1992,,,4/25/2023 9:32pm
1042,Twenty-four Henry,(IGTA),864-5686 B & B,24 Henry St.,Accomodations,San Francisco,CA,,1992,,,4/25/2023 9:32pm
1279,Hosanna Church of Praise,,"293-2437, 10:30am Sunday",24 N. Fifth St.,Religious Organization,San Jose,CA,,1992,,,4/25/2023 9:32pm
4951,Club Revival,"(MX),(D),(E),(PC),(YC),(AH)","627-4825 Sun gay night, house & progressive music",24 S. Third St.,Bars,Philadelphia,PA,,1992,,,4/25/2023 9:32pm
1571,Sydney's Side Street Restaurant Blues Place,"(MX),(E)","227-1339 4pm-2am, full bar",25 Christian St.,Restaurants & Cafes,Rehoboth Beach,DE,,1992,,,4/25/2023 9:32pm
3008,Treasure Chest,,,25 College Ave,Erotica,Waterville,ME,,1992,,,4/25/2023 9:32pm
