auto#,title,amenityfeatures,type,description,streetaddress,city,state,unclear_address,unclear type or question,notes,Year,Last Modified
41,The Vault ,"(MW),(D),(S),(19+),(WC)",Nightclubs,"(at N Foster) 334/794-0230 7pm-close, clsd Sun",111 E Main St,Dothan,AL,,,,2002,9/29/2023 4:27pm
42,Spring Creek Campground,"(M),(SW),(N),(GO)",Accommodations,"(at Hwy 52 & Country Rd 4) 334/684-3891 cabins, tent & RV sites, some theme wknds w/ DJ",163 Campground Rd,Geneva,AL,,,,2002,9/29/2023 4:27pm
43,Vieux Carre ,"(MW),(NH),(D),(E),(WC)",Bars,"(at Larkin) 256/534-5970 7pm-2am, DJ Th-Sun, shows Sun, patio",1204 Posey ,Huntsville,AL,,,,2002,9/29/2023 4:27pm
44,Upscale ,"(MW),(D),(F),(S),(WC)",Nightclubs,"256/881-8820 7pm-2am Fri, 8pm-2am Sat, 'Alambama's largest alternative entertainment complex'",2021 Golf Rd,Huntsville,AL,,,,2002,9/29/2023 4:27pm
45,Blue Willow Inn,"(M),(SW),(GO)",Accommodations,334/864-9008 ,302 Lafayette St S,Lafayette,AL,,,,2002,9/29/2023 4:27pm
47,B-Bob's ,"(MW),(D),(CW),(B),(S),(YC),(PC),(WC)",Bars,"334/341-0102 5pm-close, from 8pm Sat, from 6pm Sun",6157 Airport Blvd #201 ,Mobile,AL,,,,2002,9/29/2023 4:27pm
48,Gabriel's Downtown,"(MW),(K),(V),(PC)",Bars,"(at Government) 334/432-4900 4:30pm-close, from 7pm Sat, from 3pm Sun",55 S Joachim St,Mobile,AL,,,,2002,9/29/2023 4:27pm
49,Society Lounge,"(*),(MW),(D),(S),(PC),(WC)",Bars,(at Conti) 334/433-9141 noon-close,51 S Conception,Mobile,AL,,,,2002,9/29/2023 4:27pm
50,On The Roxx ,"(MW),(D),(E)",Nightclubs,334/432-9056 4pm-close,20 S Conception,Mobile,AL,,,,2002,9/29/2023 4:27pm
51,Troopers,"(MW),(D),(S),(PC),(WC)",Nightclubs,"(nr Joachim) 334/433-7436 8pm-close, shows Th (open since 1965!) ",215 Conti St ,Mobile,AL,,,,2002,9/29/2023 4:27pm
52,Big E's Delicatessen ,(WC),Cafes,"(at N Jackson St) 334/694-0585 lunch Mon-Fri, private parties & catering services",263 St Francis St,Mobile,AL,,,,2002,9/29/2023 4:27pm
54,Port City Newsstand ,(GO),Erotica,(at Conception) 334/433-9050 clsd Sun,201-B Dauphin St,Mobile,AL,,,,2002,9/29/2023 4:27pm
55,Lattice Inn ,"(GF),(SW),(GO)",Accommodations,"334/832-9931 full brkfst, hot tub",1414 S Hull St ,Montgomery,AL,,,,2002,9/29/2023 4:27pm
56,The Bar,"(MW),(D),(S)",Nightclubs,"(at Court St) 334/263-0550 8pm-close, clsd Mon-Tue, two-stepping Tue, cabaret Wed",62 Dexter Ave ,Montgomery,AL,,,,2002,9/29/2023 4:27pm
57,Michael's ,"(MW),(D),(S)",Bars,"(at 22nd Ave) 205/758-9223 5pm-close, clsd Mon-Tue & Sun, women's night Th",2201 6th St ,Tuscaloosa,AL,,,,2002,9/29/2023 4:27pm
60,AA Gay/Lesbian ,,Info Lines & Services,(at Unitarian Universalist church) 907/272-2312 7pm Mon,3201 Turnagain St,Anchorage,AK,,,,2002,9/29/2023 4:27pm
62,IMRU2,,Info Lines & Services,"907/566-4678 5:30pm-7:30pm Wed, lgbt youth support group",845 'K' St,Anchorage,AK,,,,2002,9/29/2023 4:27pm
63,Alaska Bear Company B&B,(GS),Accommodations,(at Fairbanks) 907/277-BEAR in downtown Anchorage,535 E 6th Ave,Anchorage,AK,,,,2002,9/29/2023 4:27pm
64,Aurora Winds B&B Resort ,"(GS),(SW),(WC),(GO)",Accommodations,"907/346-2533 full brkfst, hot tub",7501 Upper O'Malley ,Anchorage,AK,,,,2002,9/29/2023 4:27pm
66,Cheney Lake B&B ,"(GF),(NS),(GO)",Accommodations,"(at Baxter) 907/337-4391, 888/337-4391 ",6333 Colgate Dr,Anchorage,AK,,,,2002,9/29/2023 4:27pm
67,Gallery B&B ,"(GS),(WC),(GO)",Accommodations,(at 12th) 907/274-2567 ,1229 'G' St ,Anchorage,AK,,,,2002,9/29/2023 4:27pm
68,Mad Myrna's ,"(MW),(NH),(D),(F),(S)",Bars,"(at Fairbanks) 907/276-9762 3pm-3am, noon-close Sun",530 E 5th Ave,Anchorage,AK,,,,2002,9/29/2023 4:27pm
69,Raven ,"(MW),(NH),(WC)",Bars,907/276-9672 1pm-3am ,708 E 4th St ,Anchorage,AK,,,,2002,9/29/2023 4:27pm
70,At Last a Deli ,,Restaurants,"(at Arctic Blvd) 907/563-3354 7:30am-6pm, 11am-4pm Sat, clsd Sun",701 W 36th Ave,Anchorage,AK,,,,2002,9/29/2023 4:27pm
71,China Lights,,Restaurants,Eagle River 11:30am-10pm,12110 Business Blvd ,Anchorage,AK,,,,2002,9/29/2023 4:27pm
72,Garcia's ,,Restaurants,"(next to Safeway), Eagle River 907/694-8600 11:30am-10:30pm, noon-midnight wknds, Mexican",1901 Business Blvd,Anchorage,AK,,,,2002,9/29/2023 4:27pm
73,Kodiak Kafe & Dinner House,,Restaurants,"(btwn Cordova & Barrow) 907/258-5233 brkfst, lunch & dinner",225 E 5th Ave,Anchorage,AK,,,,2002,9/29/2023 4:27pm
74,O'Brady's Burgers & Brew,,Restaurants,"(in Chugach Sq) 907/338-1080 11am-midnight, noon-10pm Sun; also at 800 E Dimond (in Dimon Ctr), 907/344-8033",6901 E Tudor Rd,Anchorage,AK,,,,2002,9/29/2023 4:27pm
75,Simon & Seafort's ,,Restaurants,"(btwn 4th & 5th) 907/274-3502 lunch weekdays, dinner nightly, seafood & prime rib, full bar",420 'L' St,Anchorage,AK,,,,2002,9/29/2023 4:27pm
76,Capri Cinema ,,Entertainment & Recreation,"(at Dale) 907/561-0064, 907/275-3799 often shows lgbt & alternative films",3425 E Tudor ,Anchorage,AK,,,,2002,9/29/2023 4:27pm
77,Cyrano's Bookstore & Cafe,"(F),(S),(BW),(WC)",Bookstores,"(btwn 1st & 5th) 907/274-2499 11am-10pm, from 10am summer, clsd Mon, open later on wknds",413 'D' St ,Anchorage,AK,,,,2002,9/29/2023 4:27pm
78,Stonewall'd ,,Retail Shops,"(btwn Eagle & Fairbanks St) 907/276-1992 11am-7pm, clsd Mon, cards, gifts, T-shirts, books & more ",528 E 5th Ave,Anchorage,AK,,,,2002,9/29/2023 4:27pm
83,Ace's ,,Erotica,907/522-1987,305 W Dimond Blvd,Anchorage,AK,,,,2002,9/29/2023 4:27pm
84,Swingers Books & Gifts ,,Erotica,(at Arctic) 907/561-5039,710 W Northern Lights Blvd,Anchorage,AK,,,,2002,9/29/2023 4:27pm
85,Alaska Sea Arch Retreats ,(GF),Accommodations,"907/260-1942 seasonal, unique accommodations on Kenai Peninsula ",15181 Razor Clam Cir,Anchorage,AK,,,,2002,9/29/2023 4:27pm
87,"Ah, Rose Marie Downtown B&B ","(GS),(GO)",Accommodations,(at 3rd Ave) 907/456-2040 full brkfst ,302 Cowles St ,Fairbanks,AK,,,,2002,9/29/2023 4:27pm
88,Billie's Backpackers Hostel  ,"(GF),(F)",Accommodations,"907/457-2034 B&B, hostel & campsites",2895 Mack Rd,Fairbanks,AK,,,,2002,9/29/2023 4:27pm
89,Crabtree Guest House,(M),Accommodations,"907/451-6501 kitchens, shared baths",724 College Rd,Fairbanks,AK,,,,2002,9/29/2023 4:27pm
90,Fairbanks Hotel ,"(GF),(GO)",Accommodations,"(btwn Cushman & Lacey) 907/456-6411, 888/329-4685 recently restored to art deco style",517 3rd Ave,Fairbanks,AK,,,,2002,9/29/2023 4:27pm
91,Palace Saloon ,"(GF),(D),(S)",Bars,"(at Alaskaland) 907/456-5960, 907/456-5964 10pm-3am Fri-Sat (seasonal), gay after 11pm Fri-Sat only",3175 College Rd,Fairbanks,AK,,,,2002,9/29/2023 4:27pm
92,Club Galaxy ,"(GF),(D),(A),(E),(WC)",Nightclubs,"907/451-7625 8pm-3:30am Fri-Sat, eclectic club, live shows",150 Farmers Extension Loop Rd,Fairbanks,AK,,,,2002,9/29/2023 4:27pm
93,Into the Woods Bookshop,"(E),(WC)",Bookstores,"907/479-7701 noon-midnight, from 6pm Mon-Tue, new/used titles, also cafe",3560 College Rd,Fairbanks,AK,,,,2002,9/29/2023 4:27pm
94,Fantasyland Video ,,Erotica,907/488-0879 24hrs,1765 Richardson Hwy,Fairbanks,AK,,,,2002,9/29/2023 4:27pm
95,Island Watch B&B,"(GF),(NS),(WC)",Accommodations,"(at W Hill Rd) 907/235-2265 full brkfst, kitchens",4241 Claudia St ,Homer,AK,,,,2002,9/29/2023 4:27pm
96,The Shorebird Guest House,"(*),(GS),(WC)",Accommodations,"907/235-2107 cottage rental, beach access",4774 Kachemak Dr,Homer,AK,,,,2002,9/29/2023 4:27pm
97,Skyline B&B,"(GF),(GO)",Accommodations,"907/235-3823 full brkfst, hot tub",63540 Skyline Dr,Homer,AK,,,,2002,9/29/2023 4:27pm
100,Alaskan Suites Jeneau ,"(GF),(NS)",Accommodations,"907/789-3772, 888/658-6328 extended stay suites",2141-5 Crowhill Dr,Juneau,AK,,,,2002,9/29/2023 4:27pm
101,Pearson's Pond Luxury Inn ,"(GF),(NS)",Accommodations,"907/789-3772, 888/658-6328 B&B resort & spa",4541 Sawa Circle,Juneau,AK,,,,2002,9/29/2023 4:27pm
102,Inn at the Waterfront ,,Restaurants,"907/586-2050 5pm-9pm, full bar",455 S Franklin St,Juneau,AK,,,,2002,9/29/2023 4:27pm
103,Anchor Inn by the Sea,"(GF),(NS)",Accommodations,"907/247-7117, 800/928-3308 ",4672 S Tongass Hwy ,Ketchikan,AK,,,,2002,9/29/2023 4:27pm
104,Millar Street House,(GF),Accommodations,"907/225-1258, 800/287-1607 also kayak tours",1430 Millar St,Ketchikan,AK,,,,2002,9/29/2023 4:27pm
106,A Crescent Harbor Hideaway ,(GF),Accommodations,"907/747-4900 restored historic waterfront home, wildlife & marine tours",709 Lincoln St,Sitka,AK,,,,2002,9/29/2023 4:27pm
107,Backdoor Cafe,,Cafes,"(behind 'Old Harbor Books' on Lincoln St) 907/747-8856 7am-5pm, 9am-3pm Sun",104 Barracks ,Sitka,AK,,,,2002,9/29/2023 4:27pm
108,Otter Place Gifts,(GO),Retail Shops,"907/747-3217 9am-6pm, local gifts & souvenirs ",336 Lincoln St,Sitka,AK,,,,2002,9/29/2023 4:27pm
109,The Airport Video (Adult Resort) ,"(MW),(SW),(AYOR)",Erotica,"(exit Crimson Rd off I-60 E, 30 min from Phoenix) 480/380-9843 24hrs, swimming, sauna",10145 E Apache Tr,Apache Junction,AZ,,,,2002,9/29/2023 4:27pm
110,102-A Premier B&B ,"(GS),(GO)",Accommodations,"520/432-5424 full-service B&B, mtn views ",102 Tombstone Canyon,Bisbee,AZ,,,,2002,9/29/2023 4:27pm
111,St Elmo's ,(GF),Bars,"520/432-5578 10am-1am, live bands Fri-Sat ",36 Brewery Gulch Ave,Bisbee,AZ,,,,2002,9/29/2023 4:27pm
112,The Lariat Saloon ,"(MW),(NH),(MR),(WC)",Bars,(at 95) 520/758-8479 10am-1am ,1161 Hancock Rd,Bullhead City,AZ,,,,2002,9/29/2023 4:27pm
114,Seasons Party Shoppe ,(GO),Retail Shops,"(on Rte 89-A, N of 260) 520/649-1747 10am-5pm, clsd Sun, pride items, party supplies, costumes",895 S Main St ,Cottonwood,AZ,,,,2002,9/29/2023 4:27pm
116,Northern Arizona Rainbow Community Center,,Info Lines & Services,"520/774-6416 serving northern AZ, call for hrs",1300 S Milton Rd,Flagstaff,AZ,,,,2002,9/29/2023 4:27pm
118,Hotel Monte Vista ,(GF),Accommodations,"520/779-6971, 800/545-3068 historic 1927 lodging, full bar",100 N San Francisco St,Flagstaff,AZ,,,,2002,9/29/2023 4:27pm
119,Charlie's ,"(GF),(F),(WC)",Bars,(at Aspen) 520/779-1919 11am-1am,23 N Leroux ,Flagstaff,AZ,,,,2002,9/29/2023 4:27pm
120,Monte Vista Lounge ,"(GF),(E)",Bars,"(at Aspen) 520/774-2403 noon-1am, from 11am Fri-Sun",100 N San Francisco St,Flagstaff,AZ,,,,2002,9/29/2023 4:27pm
121,Cafe Olé,"(BW),(WC)",Restaurants,"(at Butler) 520/774-8272 lunch & dinner, clsd wknds",119 S San Francisco ,Flagstaff,AZ,,,,2002,9/29/2023 4:27pm
122,Pasto ,"(BW),(WC)",Restaurants,"(at San Francisco) 520/779-1937 dinner only, Italian",19 E Aspen ,Flagstaff,AZ,,,,2002,9/29/2023 4:27pm
123,Aradia Books,,Bookstores,"(at Beaver) 520/779-3817 10:30am-5:30pm, clsd Sun, lesbian/feminist, some gay men's titles",116 W Cottage ,Flagstaff,AZ,,,,2002,9/29/2023 4:27pm
124,Karen's Adult Bookstore & Ladies Lingerie ,,Erotica,520/763-5600 ,4350 Hwy 95 #1 ,Fort Mohave,AZ,,,,2002,9/29/2023 4:27pm
125,Pleasure Palace Adult Bookstore ,,Erotica,520/565-5600 ,3583 US Hwy 68 #7 ,Golden Valley,AZ,,,,2002,9/29/2023 4:27pm
127,Kings Inn Best Western ,"(GF),(SW),(F),(WC)",Accommodations,"520/753-6101, 800/750-6101 also bakery ",2930 E Andy Devine,Kingman,AZ,,,,2002,9/29/2023 4:27pm
129,Castle Megastore ,,Erotica,480/986-6114 24hrs,8315 E Apache Tr,Mesa,AZ,,,,2002,9/29/2023 4:27pm
130,Eros Adult Emporium ,,Erotica,520/768-6300,10185 Harbor Ave,Mohave Valley,AZ,,,,2002,9/29/2023 4:27pm
131,AA Lambda Club,,Info Lines & Services,602/264-141 6pm & 8pm ,2622 N 16th St ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
132,The Alternative ,,Info Lines & Services,"(at Monte Vista) 602/286-9330 social program for gay & bi men 18-29, call for events",2030 N 23rd Pl,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
133,Arizona Office of Tourism ,,Info Lines & Services,"602/230-7733, 800/842-8257 ",2702 N 3rd St #4015,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
137,Valley One In Ten ,,Info Lines & Services,"(at Community Church of Hope) 602/264-5437, 602/265-7283 youth group, HIV peer education",4400 N Central Ave,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
138,Arizona Royal Villa Resort ,"(MO),(SW),(N),(GO)",Accommodations,"(at Rose Ln) 602/274-1474, 800/974-1474 hot tub",6245 N 12th Pl ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
140,Casa de mis Padres,"(MO),(SW),(N)",Accommodations,"480/675-0247, 800/996-4108 luxury multi-room suites, 5 mins to Old Town Scottsdale",5965 E Orange Blossom Ln,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
141,Larry's B&B,"(MW),(SW),(N),(NS),(WC)",Accommodations,"(btwn Maryland & Bethany Home) 602/249-2974 full brkfst, hot tub",502 W Claremont Ave,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
142,Maricopa Manor B&B Inn,"(GS),(SW),(WC),(GO)",Accommodations,"602/274-6302, 800/292-6403 hot tub ",15 W Pasadena Ave,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
143,Yum Yum Tree Guest House,"(GS),(SW),(GO)",Accommodations,(at 3rd Ave) 602/265-2590 suites,90 W Virginia Ave #1 ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
144,Amsterdam ,"(MW),(E)",Bars,"(btwn Roosevelt & Fillmore) 602/258-6122 4pm-1am, upscale ",718 N Central Ave,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
145,Apollo's ,"(M),(NH),(K)",Bars,"(S of Bethany Home) 602/277-9373 10am-1am, diverse crowd ",5749 N 7th St,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
146,Boot Camp ,(M),Bars,"(at Weldon) 602/212-9888 3pm-1am, from noon Sun, cruise bar",3702 N 7th St,Phoenix,AZ,,,,2002,5/20/2024 12:07pm
147,The Bunkhouse ,(M),Bars,"(at Indian School) 602/200-9154 noon-1am, patio",4428 N 7th Ave,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
148,Cash Inn Country ,"(W),(D),(CW),(WC)",Bars,"(at 22nd St) 602/244-9943 4pm-1am, clsd Mon",2140 E McDowell Rd,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
149,Charlie's ,"(M),(D),(CW),(WC)",Bars,"(at 7th Ave) 602/265-0224 2pm-1am, till 3am Fri-Sat, Sun bbq",727 W Camelback Rd,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
150,The Crowbar ,"(MW),(D),(S)",Bars,(N of Van Buren) 602/258-8343 9pm-3am Fri-Sun,702 N Central ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
151,Cruisin' Central ,"(M),(OC),(WC)",Bars,"(at Roosevelt) 602/253-3376 6am-1am, from 10am Sun, hustlers",1011 N Central Ave,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
152,Harley's 155,"(M),(D)",Bars,(btwn 3rd & Central Aves) 602/274-8505 noon-1am ,155 W Camelback Rd,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
153,Incognito Lounge ,"(MW),(D),(S),(WC)",Bars,"(at 24th St) 602/955-9805 3pm-1am, till 3am Fri-Sat, clsd Mon ",2424 E Thomas Rd,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
154,JC's Fun One,"(M),(D),(S),(WC)",Bars,"(at Missouri), Glendale 623/939-0528 noon-1am, from 11am wknds",5542 N 43rd Ave,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
155,Johnny's Mc's ,"(M),(NH)",Bars,(btwn 3rd & Central Aves) 602/266-0875 10am-1am ,138 W Camelback Rd,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
156,Marlys',"(MW),(NH)",Bars,(btwn Greenway Pkwy & Greenway Rd) 602/867-2463 3pm-1am ,15615 N Cave Creek Rd,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
157,Nasty's Sports Bar ,"(W),(NH),(K)",Bars,(at 32nd St) 602/231-9427 noon-1am ,3108 E McDowell Rd ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
158,Nu Towne Saloon ,"(*),(M),(NH),(WC)",Bars,"(at 48th St) 602/267-9959 10am-1am, popular Sun & Tue, patio, cruisy ",5002 E Van Buren ,Phoenix,AZ,,,,2002,5/20/2024 12:08pm
159,Paco Paco's ,"(M),(D),(MR-L),(TG),(S)",Bars,"(at Thomas) 602/263-8424 7pm-1am, clsd Mon ",3045 N 16th St ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
160,Padlock ,"(M),(D),(L)",Bars,"(at 10th St) 602/266-6055 1pm-1am, strippers ",998 E Indian School Rd,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
161,The Park ,"(M),(D),(E),(K),(S)",Bars,"(at Thomas) 602/957-6055 1pm-1am, strippers ",3002 N 24th St ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
162,Pookie's Cafe ,"(MW),(E),(V),(WC)",Bars,"(at Camelback) 602/277-2121 11am-midnight, Sun brunch ",4540 N 7th St ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
163,Pumphouse II ,"(M),(NH)",Bars,"(at 41st St) 602/275-3509 noon-1am, sports bar ",4132 E McDowell Rd,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
164,Roscoe's on 7th ,"(M),(F)",Bars,"(at Minnezona) 602/285-0833 3pm-1am, from 11am Sun, sports bar",4531 N 7th St ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
165,The Waterhole ,"(MW),(NH),(K)",Bars,(at Dunlap) 623/937-3139 3pm-1am ,8830 N 43rd Ave ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
166,Winks ,"(*),(M),(E),(S)",Bars,(btwn Bethany Home & Missouri) 602/265-9002 10am-1am ,5707 N 7th St ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
167,Boom ,"(*),(M),(D),(YC),(WC)",Nightclubs,"(at 16th St) 602/254-0231 4pm-1am, till 3am Fri, till 4am Sat, clsd Mon-Wed, dancers Fri, circuit crowd Sat, retro Sun",1724 E McDowell ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
168,Alexi's ,(WC),Restaurants,"(in 'Valley Bank Bldg' at Osborn) 602/279-0982 lunch & dinner, int'l, full bar, patio ",3550 N Central ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
169,Katz's Deli ,,Restaurants,"(at Camelback) 602/277-8814 6:30am-3pm, till 7pm Tue-Fri, kosher ",5144 Central,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
170,Los Dos Molinos ,,Restaurants,"602/243-9113 11am-9pm, clsd Sun-Mon, homecooking ",8646 S Central Ave,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
171,Pookie's Cafe ,"(MW),(E),(V),(WC)",Restaurants,"(at Camelback) 602/277-2121 11am-midnight, Sun brunch, also full bar",4540 N 7th St ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
172,Vincent Guerithault on Camelback ,(WC),Restaurants,(at 40th St) 602/224-0225 Southwestern ,3930 E Camelback Rd,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
174,Energy Tanning ,(WC),Retail Shops,(at Camelback) 602/285-1861 locations valleywide ,4700 N Central #116 ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
175,Movies on Central ,(WC),Retail Shops,"(at Highland) 602/274-0994 11am-10pm, till 9pm Sun, lgbt video rental & sales ",4700 N Central #121 ,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
176,Unique on Central ,(WC),Retail Shops,"(at Highland) 602/279-9691, 800/269-4840 (mail order) 10am-9pm, till 6pm Sun, cards & gifts ",4700 N Central Ave #105,Phoenix,AZ,,,,2002,9/29/2023 4:27pm
