Auto#,title,unclear_address,streetaddress,description,amenityfeatures,type,city,state,notes,unclear type or question,Year,Last Modified
6855,Upstairs Bookshop,, 206 Washington,272-3139,"(*),(NS)",Erotica,Providence,RI,,,1998,
6629,Rittenhouse Hotel,, 210 W Rittenhouse Sq,546-9000/(800) 635-1042 ,"(GF),(F)",Accommodations,Philadelphia,PA,,,1998,
6656,Millennium Coffee,, 212 S 12th St, 731-9798 open til midnight,"(*),(NS)",Cafes,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6657,Rhino Coffee Roastery & Cafe,, 212 South St ,"923-2630 7am-midnight, from 8:30am wknds","(*),(NS)",Cafes,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6732,The Frog’s Pond,, 223 Atwood St, Oakland 682-7707 ,"(MW),(D),(K),(S),(F)",Bars & Nightclubs,Oakland,PA,"Listed under ""Pittsburgh, PA""",,1998,7/2/2024 6:19pm
6799,Swingers Books,, 226 W Market St,845-9803,"(*),(NS)",Erotica,York,PA,,,1998,7/2/2024 3:53pm
6336,Grass Roots Bookstore ,, 227 SW 2nd St ,"754-7668 9am-7pm, til 9pm Fri, til 5:30pm Sat, 11am-5pm Sun; also full music section, espresso bar",(WC),Bookstores & Retail Shops,Corvallis,OR,,,1998,7/2/2024 3:53pm
6673,Michael's,, 239 Chestnut St ,"829-9126 5pm-9pm, til 10:30pm Fri-Sat, 11am-3pm Sun, clsd Mon, Italian","(*),(NS)",Restaurants,Philadelphia,PA,,,1998,
6318,Renaissance Chocolates ,, 240 E Hersey ,#12 488-8344/(800) 587-7201 7am-5pm,"(*),(NS)",Cafes,Ashland,OR,,,1998,7/2/2024 4:15pm
6798,Cupid’s Connection Adult Boutique,, 244 N George St,846-5029,"(*),(NS)",Erotica,York,PA,,,1998,7/2/2024 3:53pm
6667,The Inn Philadelphia,, 251 S Camac St," 732-2339 4:30pm-10pm, til 9pm Sun, cont'l, full bar","(*),(NS)",Restaurants,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6311,The Arden Forest Inn,, 261 W Hersey St,488-1496/(800) 460-3912 full brkfst,"(GF),(SW),(NS),(WC)",Accommodations,Ashland,OR,,,1998,7/2/2024 3:53pm
7021,Chez Collette,, 300 Hermitage Ave, 256-9134 4pm-3am,"(W),(NH)",Bars & Nightclubs,Nashville,TN,,,1998,7/2/2024 3:53pm
6493,Sneakers Bar & Dance Club ,, 300 Liberty St SE,"363-0549 4pm-2:30am, restaurant clsd Sun-Mon","(MW),(D),(E),(K),(WC)",Bars & Nightclubs,Salem,OR,,,1998,7/2/2024 3:53pm
7026,Jungle Lounge & Restaurant,, 306 4th Ave S,"256-9411 11am-3am, patio","(M),(D),(F),(S)",Bars & Nightclubs,Nashville,TN,,,1998,7/2/2024 3:53pm
6564,Rural Book & News,, 315 Market St,255-9121,"(*),(NS)",Erotica,Harrisburg,PA,,,1998,
6836,Julian’s ,, 318 Broadway," 861-1770 7am-3pm, clsd Mon","(*),(NS)",Restaurants,Providence,RI,,,1998,
79,Unitarian Universalist Fellowship,, 320+ Turnagain St,248-3737/248-0715 9am & 10:30am Sun,,Spiritual Groups,Anchorage,AK,,,1998,2/8/2024 10:54am
6939,Touchez,, 323 S Phillips Ave ,(enter rear)  335-9874 8pm-2am,"(D),(F),(*),(MW)",Bars & Nightclubs,Sioux Falls,SD,,,1998,7/2/2024 4:27pm
6313,Neil Creek House B&B,, 341 Mowetza Dr,482-6443/(800) 460-7860 full brkfst,"(GF),(SW),(NS)",Accommodations,Ashland,OR,,,1998,
6621,Antique Row B&B,, 341 S 12th St ,592-7802 full brkfst,(GF),Accommodations,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6522,MCC of the Lehigh Valley ,, 424 Center St ,(Unitarian Church) 439-8755 6pm Sun,"(*),(NS)",Spiritual Groups,Bethlehem,PA,,,1998,7/2/2024 3:53pm
6600,Country Host,, 463 Old York Rd ,(Rte 202)  862-5575 7am-10pm,(WC),Restaurants,New Hope,PA,,,1998,7/2/2024 4:27pm
4929,NV AIDS Hotline,, 505 E King St ,"#304 community info & resources, Spanish spoken",,Info Lines & Services,Carson City,NV,,,1998,7/2/2024 4:15pm
6922,Time Out,, 520 8th Ave N,"448-1180 6pm-?, til 2am Sat","(NH),(D),(S),(PC),(WC),(*),(M)",Bars & Nightclubs,Myrtle Beach,SC,,,1998,7/2/2024 3:53pm
6987,The Edge ,, 532 S Cooper,272-3036 5pm-1am,(M),Bars & Nightclubs,Memphis,TN,,,1998,7/2/2024 3:53pm
6382,Phoenix Rising ,, 620 SW 5th ,#710 223-8299 sexual minority counseling center,(WC),Info Lines & Services,Portland,OR,,,1998,7/2/2024 4:15pm
7509,Deer Hunter,, 636 S 300 W,"363-1802 4pm-1am, from 2pm wknds","(M),(D),(L),(PC)",Bars & Nightclubs,Salt Lake City,UT,,,1998,7/2/2024 3:53pm
6582,Pickering Bend B&B,, 656 Church Rd ,933-0183 ,(GF),Accommodations,Malvern,PA,,,1998,
98,Crescent Harbor Hideaway,, 709 Lincoln St,747-4900,(GF),Accommodations,Sitka,AK,,,1998,2/8/2024 10:54am
6874,Bear E. Patch,, 801 Folly Rd,"762-6555 7am-8pm, patio",(WC),Cafes,Charleston,SC,,,1998,
7004,Meristem Women’s Bookstore ,, 930 S Cooper,"276-0282 10am-6pm, some gay men’s titles",(WC),Bookstores & Retail Shops,Memphis,TN,,,1998,7/2/2024 3:53pm
6694,Twin Travel ,, 1101 Spruce St ,923-2995,"(*),(NS)",Travel Agents,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6940,St. Francis & St. Clare MCC,, 1129 E 9th St ,"332-3966 5:30pm Sun, 7pm summers","(*),(NS)",Spiritual Groups,Sioux Falls,SD,,,1998,7/2/2024 3:53pm
6708,Arch St. Books ,, 1202 Arch St,854-9546,"(*),(NS)",Erotica,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6618,Unity,, 1207 Chestnut St,"851-1912 9am-5:30pm, clsd wknds, lesbigay/TG/support/social services","(*),(NS)",Info Lines & Services,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6620,Abigail Adams B&B,, 1208 Walnut St, 546-7336/(800) 887-1776,"(GF),(NS)",Accommodations,Philadelphia,PA,,,1998,
4154,Unicorn Books,, 1210 Massachusetts Ave,"646-3680 10am-9pm, til 5pm wknds, spiritual",,Bookstores & Retail Shops,Arlington,MA,,,1998,7/2/2024 3:53pm
6650,Uncle’s,, 1220 Locust St , 546-6660 11am-2am,"(M),(NH)",Bars & Nightclubs,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6632, 1221 St. lames St,, 1221 St James St,"735-5772 opens midnight, call for info","(M),(D),(PC)",Bars & Nightclubs,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6988,J. Wags Bar,, 1268 Madison," 725-1909 24hrs, beer & set-ups only, patio","(M),(D),(F),(S)",Bars & Nightclubs,Memphis,TN,,,1998,
6300,The Pride Store ,, 1307 E 38th St," 2nd flr 743-4297 noon-6pm, clsd Sun",(WC),Bookstores & Retail Shops,Tulsa,OK,,,1998,7/2/2024 6:19pm
6312,Country Willows B&B Inn,, 1313 Clay St,"488-1590/(800) 945-5697 full brkfst, jacuzzi","(GF),(SW),(NS),(WC),(TA)",Accommodations,Ashland,OR,,,1998,7/2/2024 3:53pm
6677,Philadelphia Tea Party,, 1334 Walnut St,"732-8327 11am-10pm, til midnight Fri-Sat, clsd Sun
","(*),(NS)",Restaurants,Philadelphia,PA,,,1998,
6983,Autumn Street Pub,, 1349 Autumn St,"274-8010 1pm-3am, clsd Mon-Tue, patio
","(MW),(NH),(D),(F),(WC)",Bars & Nightclubs,Memphis,TN,,,1998,7/2/2024 3:53pm
6958,Queen of Clubs ,, 1408 E Main St ,928-2616 beer & set-ups only,"(MW),(NH),(D),(A),(MR),(S),(18+),(WC)",Bars & Nightclubs,Johnson City,TN,,,1998,7/2/2024 3:53pm
6648,Rodz/Tyz/Bottoms,, 1418 Rodman St, 546-1900 various bars & hrs,"(MW),(D),(F),(E)",Bars & Nightclubs,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6859,Barnes & Noble ,, 1441 Bald Hill Rd,"828-7900 9am-11pm, 11am-7pm Sun, lesbigay section","(*),(NS)",Bookstores & Retail Shops,Warwick,RI,,,1998,7/2/2024 3:53pm
6979,Memphis Lambda Center (AA),, 1488 Madison," 276-7379 (AA) 8pm nightly, meeting place for 12-Step groups",,Info Lines & Services,Memphis,TN,,,1998,
6681,Striped Bass,, 1500 Walnut St ,"732-4444 lunch, dinner & Sun brunch, upscale dining","(*),(NS)",Restaurants,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6965,Carousel II,, 1501 White Ave ,"522-6966 9pm-3am, unconfirmed","(*),(MW),(D),(S)",Bars & Nightclubs,Knoxville,TN,,,1998,7/2/2024 3:53pm
6664,Circa ,, 1518 Walnut St ,"545-6800 lunch, dinner, Sun brunch","(E),(WC)",Restaurants,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6996,P&H Cafe,, 1532 Madison,"726-0906 11am-3am, from 5pm Sat, clsd Sun","(BW),(WC)",Cafes,Memphis,TN,,,1998,
2978,Gay/Lesbian Community Center,, 1566 Wilder Ave,"(YWCA) 951-7000. 9am-5pm, clsd wknds",,Info Lines & Services,"Honolulu, Oahu",HI,"Listed under ""Oahu""",,1998,7/2/2024 3:53pm
6989,Madison Flame,, 1588 Madison,"278-9839 5pm-3am, DJ Th-Sat, country/western Th","(MW),(NH)",Bars & Nightclubs,Memphis,TN,,,1998,
6728,The Inn on the Mexican War Streets ,, 1606 Buena Vista St ,231-6544 ,(MW),Accommodations,Pittsburgh,PA,,,1998,7/2/2024 3:53pm
6294,New Age Renegade/The Rainbow Room ,, 1649 S Main St ,"585-3405 2pm-2am, patio","(NH),(S),(*),(MW)",Bars & Nightclubs,Tulsa,OK,,,1998,7/2/2024 3:53pm
6745,Rosebud,, 1650 Smallman St,"261-2221 lunch & dinner, clsd Mon","(E),(WC)",Restaurants,Pittsburgh,PA,,,1998,7/2/2024 3:53pm
6660,Astral Plane,, 1708 Lombard St,"546-6230 5pm-11pm, full bar","(*),(NS)",Restaurants,Philadelphia,PA,,,1998,7/2/2024 3:53pm
6540,The Embers,, 1711 State St,"454-9171 8pm-2am, clsd Sun","(*),(NS)",Bars & Nightclubs,Erie,PA,,,1998,7/2/2024 3:53pm
6766,Iron City Ink Tattoo/Hellion House Body Piercing,, 1814 Penn Ave ,683-9888 clsd Sun,"(*),(NS)",Erotica,Pittsburgh,PA,,,1998,
6902,Travel Professionals International ,, 1931 Bull St ,#B  765-1212 ,(TA),Travel Agents,Columbia,SC,,,1998,7/2/2024 4:15pm
6853,Corner Book,, 1954 Westminster, 861-0739,"(*),(NS)",Erotica,Providence,RI,,,1998,
110,Sun Kachina Travel,, 1987 McCullich ,#108  855-0066 ,(TA),Travel Agents,Lake Havasu City,AZ,,,1998,7/2/2024 4:15pm
6984,Backstreet ,, 2018 Court Ave," 276-5522 8pm-3am, til 6am wknds, beer & set-ups only","(MW),(D),(WC)",Bars & Nightclubs,Memphis,TN,,,1998,7/2/2024 3:53pm
6923,Maxwell’s (24hr Extra News & Video) ,, 2027 Hwy 501,626-3140,"(*),(NS)",Erotica,Myrtle Beach,SC,,,1998,7/2/2024 3:53pm
6259,Angles,, 2117 NW 39th St,"524-3431 (9pm-2am, clsd Mon-Wed","(D),(S),(WC),(*),(MW)",Bars & Nightclubs,Oklahoma City,OK,,,1998,7/2/2024 3:53pm
6991,One More,, 2117 Peabody Ave,"278-8015 10am-3am, from noon Sun","(GF),(NH),(MR),(F)",Bars & Nightclubs,Memphis,TN,,,1998,
7009,Safe Harbor MCC,, 2117 Union Ave ,(Union Ave UMC) 458-0501 11am & 7pm Sun,"(*),(NS)",Spiritual Groups,Memphis,TN,,,1998,7/2/2024 4:27pm
6675,My Thai ,, 2200 South St ,"985-1878 5pm-10pm, til 11pm Fri-Sat
","(*),(NS)",Restaurants,Philadelphia,PA,,,1998,7/2/2024 3:53pm
7010,Airport Book Mart,, 2214 Brooks Rd E,345-0657 24hrs,"(*),(NS)",Erotica,Memphis,TN,,,1998,7/2/2024 3:53pm
7013,Paris Theater,, 2432 Summer Ave, 323-2665 24hrs,"(*),(NS)",Erotica,Memphis,TN,,,1998,7/2/2024 3:53pm
6518,Escapade ,, 2523 Union Ave," Rte 36 946-8195 8pm-2am, from 6pm Sun","(MW),(D),(F)",Bars & Nightclubs,Altoona,PA,,,1998,7/2/2024 6:19pm
6645,Port Blue,, 2552 E Allegheny Ave," Port Richmond 425-4699 4pm-2am, clsd Sun-Mon","(GF),(NH)",Bars & Nightclubs,Port Richmond,PA,"Listed under ""Philadelphia, PA""",,1998,7/2/2024 6:19pm
6306,Body Piercing by Nicole ,, 2722 E 15th,712-1122,"(*),(NS)",Erotica,Tulsa,OK,,,1998,
6982,Amnesia,, 2866 Poplar,"454-1366 8pm-3am, clsd Mon-Wed, dinner nightly, patio, unconfirmed","(D),(A),(SW),(WC),(*),(MW)",Bars & Nightclubs,Memphis,TN,,,1998,
6541,Lizzy Bordon’s Part II,, 3412 W 12th St,"833-4059 9pm-2am, clsd Sun","(*),(NS)",Bars & Nightclubs,Erie,PA,,,1998,7/2/2024 3:53pm
6994,Coffee Cellar,, 3573 Southern,"320-7853 7am-midnight, 8am-8pm Sat, patio",(WC),Cafes,Memphis,TN,,,1998,
6659,The Adobe Cafe,, 4550 Mitchell St, Roxborough  483-3947 4:30pm-10:30pm,(E),Restaurants,Roxborough,PA,"Listed under ""Philadelphia, PA""",,1998,7/2/2024 6:19pm
6491,Roma Cocktail Lounge & Restaurant ,, 5096 Hwy 99 S,"679-7100 4pm-2am, kitchen til 10pm","(GF),(E)",Bars & Nightclubs,Roseburg,OR,,,1998,7/2/2024 3:53pm
6304,Family of Faith MCC,, 5451 -E S Mingo ,622-1441 11am Sun,"(*),(NS)",Spiritual Groups,Tulsa,OK,,,1998,7/2/2024 3:53pm
6537,Lambda Group AA,, 7180 New Perry Hwy,(Unitarian Universalist Church) 452-2675 8pm Sun,(WC),Info Lines & Services,Erie,PA,,,1998,7/2/2024 3:53pm
6928,Cove Lounge & Club,, 9112 Greenville Hwy,"576-2683 from 8pm, from 3pm Sun","(MW),(D),(PC)",Bars & Nightclubs,Spartanburg,SC,,,1998,
6933,Camp Michael B&B,, 13051 Bogus Jim Rd ," 342-5590 full brkfst, peaceful getaway",(MW),Accommodations,Rapid City,SD,,,1998,7/2/2024 3:53pm
6503,Middle Creek Run ,, 25400 Harmony Rd,"843-7606 full brkfst, hot tub","(GF),(SW)",Accommodations,Sheridan,OR,,,1998,
6506,Travel Network ,, 29756 Town Ctr Loop W ,#C   (503) 570-0761 ,(TA),Travel Agents,Wilsonville,OR,,,1998,7/2/2024 4:15pm
6498,Sweet Spirit MCC,, Lancaster Dr & Silverton Rd,(back room in Beauty College) 363-6618 11am Sun,"(*),(NS)",Spiritual Groups,Salem,OR,,,1998,7/2/2024 3:53pm
6361,Road's End Dory Cove,, Logan Rd,"994-5180 11:30am-9pm, steak & seafood","(*),(NS)",Restaurants,Lincoln City,OR,,,1998,
8174,Ocean Walk Guest House ,,1 Atlantic Pl, Ocean Park  728-0855/(800) 468-0615,"(GF),(SW),(TA)",Accommodations,Ocean Park,PR,"Listed under ""San Juan, PR""",,1998,7/2/2024 6:19pm
4234,The Inn at Northampton,,1 Atwood Dr,586-1211/(800) 582-2929,"(GF),(SW),(F),(WC)",Accommodations,Northampton,MA,,,1998,7/2/2024 3:53pm
1727,Thomas Floral & Adult Gifts,,1 Broadway ,"#108 744-6400 8:30am-6pm, 9am-5pm Sat, clsd Sun",(WC),Bookstores & Retail Shops,Denver,CO,,,1998,7/2/2024 4:15pm
8173,Numero Uno on the Beach ,,1 Calle Santa Ana, Ocean Park  726-5010 also bar & grill,"(GF),(SW),(WC)",Accommodations,Ocean Park,PR,"Listed under ""San Juan, PR""",,1998,7/2/2024 6:19pm
8161,Atlantic Beach Hotel ,,1 Calle Vendig, Condado 721-6900/(888) 611-6900,"(SW),(TA),(*),(MW)",Accommodations,Condado,PR,"Listed under ""San Juan, PR""",,1998,7/2/2024 6:19pm
4313,Provincetown Inn,,1 Commercial St,487-9500,"(GF),(SW),(F),(WC)",Accommodations,Provincetown,MA,,,1998,7/2/2024 3:53pm
4382,Dignity ,,1 Commercial St ,(Provincetown Inn) 487-9500 10:30am Sun (May-Oct),,Spiritual Groups,Provincetown,MA,,,1998,7/2/2024 3:53pm
2306,Pier House Resort & Caribbean Spa,,1 Duval St,"296-4600/(800) 327-8340 private beach, restaurants, bars, spa, fitness center","(GF),(SW)",Accommodations,Key West,FL,,,1998,1/29/2024 2:50pm
5809,MCC of Asheville,,1 Edwin Pl,(Unitarian Universalist Church) 232-0062 6:30pm Sun,(WC),Spiritual Groups,Asheville,NC,,,1998,7/2/2024 3:53pm
5811,Unitarian Universalist Church of Asheville,,1 Edwin Pl,254-6001 9am & 11am Sun (10am Sun summers),(WC),Spiritual Groups,Asheville,NC,,,1998,7/2/2024 3:53pm
6824,Gerardo’s,,1 Franklin Sq,"274-5560 4pm-1am, til 2am Fri-Sat","(MW),(D),(E),(WC)",Bars & Nightclubs,Providence,RI,,,1998,7/2/2024 3:53pm
4403,AA Gay/Lesbian ,,1 Freeland St ,752-9000 7pm Sat ,,Info Lines & Services,Worcester,MA,,,1998,7/2/2024 3:53pm
2061,Bretts,,1 Front St,261-2660,,Restaurants,Amelia Island,FL,,,1998,2/8/2024 10:54am
5671,One Hot Spot,,1 Front St,"(under Brooklyn Bridge) 852-0139, 9pm-3am, clsd Sun-Tue, from 6pm Th","(MW),(D),(E),(MR),(S),(WC)",Bars & Nightclubs,New York City,NY,"Listed under ""N.Y.C. -- Brooklyn""",,1998,7/2/2024 3:53pm
2553,Hemingway's at the Hyatt,,1 Grand Cypress Blvd,Lake Buena Vista 239-1234 cont'l,(*),Restaurants,Orlando,FL,,,1998,2/8/2024 10:09am
2878,Club One,,1 Jefferson St,232-0200 5pm-3am,"(MW),(D),(F),(S)",Bars & Nightclubs,Savannah,GA,,,1998,7/2/2024 3:53pm
1832,New Haven Gay & Lesbian Community Center,,1 Long Wharf Dr," East Haven 777-7780 6om-7:45pm Mon, Wed & Th, also mtgs",,Info Lines & Services,East Haven,CT,"Listed under ""New Haven, CT""",,1998,7/2/2024 6:19pm
5599,Wall Street Sauna,,1 Maiden Ln,11th fir 233-8900,"(*),(MO)",Men's Clubs,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,
5385,Artists' Cafe,,1 Main St,"523-9493 8am-10pm, steak & seafood",(BW),Restaurants,Lake Placid,NY,,,1998,7/2/2024 3:53pm
3186,Ivory Isle Travel ,,1 N Franklin ,#350 726-8998,(TA),Travel Agents,Chicago,IL,"Listed under ""Chicago - North Side""",,1998,7/2/2024 4:15pm
6309,Whittier News Stand ,,1 N Lewis St ,592-0767 24hrs,"(*),(NS)",Erotica,Tulsa,OK,,,1998,
3948,Outright,,1 Peasant St,"(4th Fl.) 828-6560/(888) 567-7600 6pm Tue & 7:30pm Fri, youth organization",,Info Lines & Services,Portland,ME,,,1998,7/2/2024 3:53pm
6463,Mikuni Travel Service ,,1 SW Columbia St ,#1010 227-3639/(800) 248-0624,(TA),Travel Agents,Portland,OR,,,1998,7/2/2024 4:15pm
2595,Red Garter,,1 W Main St,"433-9292, 8pm-3am","(MW),(D),(S),(WC)",Bars & Nightclubs,Pensacola,FL,,,1998,2/8/2024 10:30am
7824,Al Boccalino ,,1 Yesler Wy,"622-7688 5pm-10pm, classy southern italian ","(*),(NS)",Restaurants,Seattle,WA,,,1998,7/2/2024 3:53pm
5439,Netrick-Martin Institute,,2 Astor Pl,674-2400/674-8695 (TTY) extensive services for lesbigay youth; also 'You Are Not Alone' resource directory,,Info Lines & Services,New York City,NY,"Listed under ""N.Y.C. -- Overview""",,1998,7/2/2024 3:53pm
5565,Lips,,2 Bank St,675-7710 the ad says it all! (facing page),,Restaurants,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,
3903,The Sportman's Club,,2 Bates St,784-2251 8pm-1am,"(*),(MW),(D)",Bars & Nightclubs,Lewiston,ME,,,1998,7/2/2024 3:53pm
8177,Barefoot Bar ,,2 Calle Vendig," Condado  724-7230 9am-3am, brkfst & lunch, hustlers","(F),(*),(M)",Bars & Nightclubs,Condado,PR,"Listed under ""San Juan, PR""",,1998,7/2/2024 6:19pm
4116,Thoreau's Walden B&B,,2 Concord Rd,Lincoln 259-1899,(GF),Accommodations,Boston,MA,,checked,1998,7/2/2024 3:53pm
6236,Sophies,,2 E LaClede,782-8080 5pm-2:0am,"(MW),(NH)",Bars & Nightclubs,Youngstown ,OH,,,1998,7/2/2024 3:53pm
3972,Adventure Travel,,2 Elsie Wy, Scarborough 885-5060,(TA),Travel Agents,Scaborough,ME,"Listed under ""Portland, ME""",,1998,7/2/2024 6:19pm
5426,Ujjala's B&B,,2 Forest Glen,"255-6360 full brkfst, body therapy avail.",(GF),Accommodations,New Paltz,NY,,,1998,
1788,Gertrude & Alice's,,2 Front St,693-3816,,Bookstores & Retail Shops,Collinsville,CT,,,1998,2/8/2024 10:54am
203,Villa Dubois Tourist Lodge,,2 Kings Hwy,"253-6965 cottage, full kitchen, private check, jacuzzi",(M),Accommodations,Eureka Springs,AR,,,1998,
5480,The Gramercy Park Hotel,,2 Lexington Ave,(at E. 21st St.) 475-4320/(800) 221-4083,(GF),Accommodations,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,7/2/2024 3:53pm
4806,Einstein Bagels,,2 N Euclid Ave,"367-7999 6am-8pm, 7am-5pm wknds ",,Restaurants,St. Louis,MO,,,1998,7/2/2024 3:53pm
5912,Flex,,2 S West St,"832-8855 5pm-?, from 2pm Sun","(*),(M),(L)",Bars & Nightclubs,Raleigh,NC,,,1998,7/2/2024 3:53pm
4026,Donna's Coffee Bar,,2 W Madison,385-0180,(BW),Cafes,Baltimore,MD,,checked,1998,7/2/2024 3:53pm
4145,Icarus,,3 Appleton St,"426-1790 dinner & Sun brunch, clsd Sun (summers)",,Restaurants,Boston,MA,,,1998,7/2/2024 3:53pm
8163,Casita Bonita by The Sea ,,3 Calle Histella ,728-1241,(MW),Accommodations,San Juan,PR,,,1998,
4223,The Chestnut House ,,3 Chestnut St,229-9521 full brkfst,(GF),Accommodations,Nantucket,MA,,,1998,7/2/2024 3:53pm
4264,Asheton House ,,3 Cook St,487-9966 ,(GF),Accommodations,Provincetown,MA,,,1998,7/2/2024 3:53pm
190,Cedarberry Cottage B&B,,3 Kings Hwy,"253-6115/(800)590-2424 full brkfst, jacuzzis",(GF),Accommodations,Eureka Springs,AR,,,1998,
7590,Sarducci's ,,3 Main St ,"223-0229 11:30am-10pm, Italian, full bar",(WC),Restaurants,Montpelier,VT,,,1998,7/2/2024 3:53pm
3968,Communiques,,3 Moutlon St,"773-5181 10am-7pm, til 9pm summers, cards, gifts, clothing",,Bookstores & Retail Shops,Portland,ME,,,1998,7/2/2024 3:53pm
7685,Latitudes ,,3 N 19th St ,644-7047 ,(TA),Travel Agents,Richmond,VA,,,1998,7/2/2024 3:53pm
4310,Piaf ,,3 Prince St,487-7458/(800) 340-7423,(GF),Accommodations,Provincetown,MA,,,1998,7/2/2024 3:53pm
3959,Underground,,3 Spring St,773-3315 4pm-1am,"(*),(MW),(D),(S)",Bars & Nightclubs,Portland,ME,,,1998,7/2/2024 3:53pm
