ID2,title,description,streetaddress,type,amenityfeatures,city,state,Year,unclear_address,unclear type or question,notes,Last Modified
23,Casimer's ,,3030 E. 6th Ave.,Restaurant,"(M),(R)",Denver,CO,1981,,,,3/17/2022 3:10pm
25,Court Jester ,,1617 Court PI.,Bars/Clubs,(*),Denver,CO,1981,,,,3/17/2022 3:10pm
26,Crypt ,"(Books, toys, erotica-'peep shows')",2222 N . B roadw ay,"Book Store,Erotic Shop",(*),Denver,CO,1981,,,,3/17/2022 3:10pm
27,C.T.'s ,(Breakfast & Lunch) ,104 S. Broadway,Restaurant,(R),Denver,CO,1981,,,,3/17/2022 3:10pm
28,David's,(Expanded)(Disco)(Unisex),314 E. 13th St.,Bars/Clubs,"(*),(D)",Denver,CO,1981,,,,3/17/2022 3:10pm
29,Den ,"(Some W, OC) ",5110 W. Colfax,Restaurant,"(R),(*),(PT),(W),(OC)",Denver,CO,1981,,,,3/17/2022 3:10pm
30,Denver Book Barter ,,919 E. Colfax,Book Store,,Denver,CO,1981,,,,3/17/2022 3:10pm
31,Denver Book Fair ,,416 15th St.,Book Store,(M),Denver,CO,1981,,,,3/17/2022 3:10pm
32,Empire Baths ,(Action) ,6923 E. Colfax,Bathhouses,(*),Denver,CO,1981,,,,3/17/2022 3:10pm
33,Empress Theatre ,(All Male) ,139 Broadway,Theatre,,Denver,CO,1981,,,,3/17/2022 3:10pm
34,Fox Hole ,(Lunch)(Patio-wild Sunday afternoons*)(Disco) off 20th St. Viaduct,2936 Fox,"Restaurant,Bars/Clubs","(SM),(W),(*)",Denver,CO,1981,,,,3/22/2022 8:02am
35,Galaxie Theatre & Book Store ,,633 E. Colfax,"Theatre,Book Store",(*),Denver,CO,1981,,,,3/17/2022 3:10pm
36,Geno's Redpine Motel ,,1572 S. Broadway,Hotel,"(M),(H)",Denver,CO,1981,,,,3/17/2022 3:10pm
37,Gentlemen's Quarters Club Baths of Denver ,,1359 Court Place,Bathhouses,(*),Denver,CO,1981,,,,3/17/2022 3:10pm
38,Globe International ,(Disco),4503 Logan,Bars/Clubs,"(YC),(L),(D),(*)",Denver,CO,1981,,,,3/17/2022 3:10pm
39,Haberdashery ,(Men's clothing) ,1245 E. Colfax,Business,,Denver,CO,1981,,,,3/17/2022 3:10pm
40,Headstrong ,(Gifts & Head shop) ,1431 Ogden,Business,,Denver,CO,1981,,,,3/17/2022 3:10pm
41,Hot Delivery ,(No booze - 'wild back room'),160 S. Broadway,Bars/Clubs,,Denver,CO,1981,,,,3/17/2022 3:10pm
42,Inches ,(Disco),51 W. 4th Ave.,"Bars/Clubs,Restaurant","(R),(D),(M)",Denver,CO,1981,,,,3/17/2022 3:10pm
43,Kitty's Book Store ,,735 E. Colfax,Book Store,(M),Denver,CO,1981,,,,3/17/2022 3:10pm
44,Lambda Connection ,(Books) ,9 E. Ellsworth Ave.,"Book Store,Organization",,Denver,CO,1981,,,,3/17/2022 3:10pm
45,Matty's Spartan Theatre ,,139 S. Broadway,Theatre,,Denver,CO,1981,,,,3/17/2022 3:10pm
46,M.C.C. ,,1400 Lafayette,Religious Institution,MCC,Denver,CO,1981,,,,3/17/2022 3:10pm
47,1942 Club,"(Some W, SM, YC, PT in front -Disco - D in back - 3 bars)(Cruisy)(C-AH-Fri & Sat)",1942 Broadway,"Bars/Clubs,Cruising Areas","(*),(D),(W),(SM),(YC),(PT),(C),(AH)",Denver,CO,1981,,,,3/21/2022 7:27am
49,Southtown Lumber Co. ,(Cruisy)(Snacks),255 S. Broadway,"Restaurant,Cruising Areas","(R),(YC),(W)",Denver,CO,1981,,,,3/17/2022 3:10pm
51,Three Sisters ,(Disco),3358 Mariposa,Bars/Clubs,"(D),(L),(*)",Denver,CO,1981,,,,3/17/2022 3:10pm
52,Triangle ,"(Cruisy john)(D on's Alley - 'wild' downstairs room)(AH, Fri & Sat)",2036 Broadway,"Bars/Clubs,Cruising Areas","(C),(*),(D),(SM),(W),(FFA),(PT),(AH)",Denver,CO,1981,,,,3/17/2022 3:10pm
53,Trilogy Book Store ,,630 E. 6th Ave .,Book Store,,Denver,CO,1981,,,,3/17/2022 3:10pm
54,White Spot ,,740 W. Colfax,Restaurant,"(M),(R),(C)",Denver,CO,1981,,,,3/17/2022 3:10pm
55,Zuni  Club Baths ,,2935 Zuni,Bathhouses,(*),Denver,CO,1981,,,,3/17/2022 3:10pm
60,Diamond Belle Bar  ,,699 Main St.,Bars/Clubs,(M),Durango,CO,1981,,,,3/17/2022 3:10pm
68,Turquoise Club,(Disco)(WE*)(Opens 6am),707 N. Main ,Bars/Clubs,"(WE),(D),(*)",Pueblo,CO,1981,,,,3/22/2022 8:00am
72,San Juan-Paris Guest House ,,206 E. Colorado Ave.,Hotel,"(M),(H)",Telluride,CO,1981,,,,3/17/2022 3:10pm
74,Black Rock ,,2931 Fairfield Ave.,Restaurant,"(L),(OC),(R)",Bridgeport,CT,1981,,,,3/17/2022 3:10pm
75,Casbah ,('Drags') ,1277 N. Main St.,Bars/Clubs,"(M),(RT),(B)",Bridgeport,CT,1981,,,,3/17/2022 3:10pm
77,Darien Dinner Theatre ,(Very M) ,65 Tokeneke Rd.,Theatre,(M),Darien,CT,1981,,,,3/17/2022 3:10pm
79,Homestead Inn ,,44 Field Pt. Rd.,"Restaurant,Hotel","(M),(R),(H)",Greenwich,CT,1981,,,,3/17/2022 3:10pm
80,Chez Est ,(Some OC)(Cruisy)(Good cocktail hour),238 Columbus Blvd.,"Bars/Clubs,Cruising Areas","(*),(OC)",Hartford,CT,1981,,,,3/17/2022 3:10pm
81,Club Hartford Baths ,(E. Hartford),1169 Main St. ,Bathhouses,(*),Hartford,CT,1981,,,,3/17/2022 3:10pm
82,Collectables ,(Disco)(Should be a winner),145 Service Rd.,Bars/Clubs,"(YC),(D)",Hartford,CT,1981,,,,3/17/2022 3:10pm
83,Evergreen Cafe (Disco) ,,39 Webster St.,Bars/Clubs,"(*),(L),(D)",Hartford,CT,1981,,,,3/17/2022 3:10pm
85,Nick's Cafe House ,"(Some M, OC) ",1943 Broad,Bars/Clubs,"(D),(M),(OC)",Hartford,CT,1981,,,,3/17/2022 3:10pm
87,Sisson Ave. Book Store ,,257 Sisson Ave.,Book Store,,Hartford,CT,1981,,,,3/17/2022 3:10pm
88,Warehouse ,"(Disco)(Some YC, W, SM, B)(Adm.) at Capitol",61 Woodbine ,Bars/Clubs,"(YC),(*),(D),(W),(SM),(B)",Hartford,CT,1981,,,,3/17/2022 3:10pm
95,Howard Johnson's,Long Wharf,400 Sargent Dr.,Restaurant,"(M),(R),(C),(AH),(WE)",New Haven,CT,1981,,,,3/17/2022 3:10pm
96,M.C.C. ,(2nd floor) ,425 College St.,Religious Institution,MCC,New Haven,CT,1981,,,,3/17/2022 3:10pm
97,Olympus Books ,('wild backroom') ,166 York St.,Book Store,(*),New Haven,CT,1981,,,,3/17/2022 3:10pm
98,Parkway ,,1574 Chapel St.,Bars/Clubs,"(RT),(M)",New Haven,CT,1981,,,,3/17/2022 3:10pm
99,Partners ,(Super bar - cruisy main floor)(Disco)(D upstairs & L - D in basement) (Game rooms) ,365 Crown St.,"Bars/Clubs,Cruising Areas","(*),(YC),(L),(D)",New Haven,CT,1981,,,,3/21/2022 7:32am
100,Pub Cafe ,(Some W)(Cruisy patio late Sun. afternoons) ,168 York St.,"Restaurant,Cruising Areas","(R),(W),(*)",New Haven,CT,1981,,,,3/17/2022 3:10pm
104,Frank's Place ,(R - Thurs & Fri only) at Bank,9 Tilley St.,Restaurant,"(OC),(R)",New London,CT,1981,,,,3/17/2022 3:10pm
105,Salty Dog ,(Cruisy)(Disco) ,95 Pequot Ave.,"Bars/Clubs,Cruising Areas","(*),(YC),(D)",New London,CT,1981,,,,3/17/2022 3:10pm
107,Alconcio's International Cafe ,(Some L) (4 mi. W. on US 7),235 Dansbury Rd. ,"Restaurant,Bars/Clubs","(*),(PT),(R),(D),(L)",New Milford,CT,1981,,,,3/17/2022 3:10pm
112,Club Cafe ,(Some L)(Disco)(D Wed-Sun.),384 W. Main St.,Bars/Clubs,"(L),(YC),(*),(D)",Waterbury,CT,1981,,,,3/17/2022 3:10pm
114,The Brook Cafe ,(Disco)(Don't miss if anywhere in the area) in rear (Sunday afternoon Tea Dance - Summers) (US 1)Exit 18 off I-95,919 Post Rd. E. ,Bars/Clubs,"(*),(YC),(D),(L),(PT)",Westport,CT,1981,,,,3/17/2022 3:10pm
115,Vincent's Cafe (Disco),,925 Post Road E.,Bars/Clubs,"(PT),(L),(D)",Westport,CT,1981,,,,3/17/2022 3:10pm
118,The Lobby ,(Disco) (Rte. 86 off I95),1019 S. College Ave. ,Bars/Clubs,"(YC),(*),(D),(L)",Newark,DE,1981,,,,3/17/2022 3:10pm
122,Bob's Adult Books ,, 174 S. Dupont Hwy.,"Erotic Shop,Book Store",(*),Wilmington,DE,1981,,,,3/17/2022 3:10pm
123,Danceland ,(Disco),915 Shipley,Bars/Clubs,"(BYOB),(P),(M),(YC),(D)",Wilmington,DE,1981,,,,3/17/2022 3:10pm
124,Renaissance ,(Biz must be bad as they refuse to pay me for their Address Books 1-15-80),107 W. 6th St.,Bars/Clubs,(PT),Wilmington,DE,1981,,,,3/17/2022 3:10pm
125,Steak 'n ' Eggs ,,702 Delaware Ave.,Restaurant,"(M),(R),(C),(AH)",Wilmington,DE,1981,,,,3/17/2022 3:10pm
126,Studio 21,(Unisex)(Disco) at 8th,805 N. Union ,Bars/Clubs,"(YC),(*),(D)",Wilmington,DE,1981,,,,3/17/2022 3:10pm
129,A & A Baths ,(Several floors - looks promising),809 14th St. N.W.,Bathhouses,,Washington,DC,1981,,,,3/17/2022 3:10pm
131,Bachelors Mill ,(Some L) ,500 8th St. S.E.,Bars/Clubs,"(D),(L)",Washington,DC,1981,,,,3/17/2022 3:10pm
132,Carroll's Tavern ,(Lunch*)(RT-nights),510 9th St. N.W.,Restaurant,"(R),(RT),(*)",Washington,DC,1981,,,,3/22/2022 8:02am
133,Chesapeake House ,(Nude go go boys)(Best late*)(Some 'hustlers') ,746 9th St. N.W.,"Restaurant,Bars/Clubs","(R),(*)",Washington,DC,1981,,,,3/21/2022 7:47am
134,Club Washington ,(Baths) (Upstairs)(Tues. is leather/levi night)(2 floors)(Some SM),20 'O ' St. S.E.,Bathhouses,"(P),(*),(SM)",Washington,DC,1981,,,,3/17/2022 3:10pm
135,Cy's ,(Cruisy) ,2412 Wisconsin Ave. N.W.,"Cruising Areas,Bars/Clubs","(*),(W),(SM)",Washington,DC,1981,,,,3/21/2022 6:35pm
136,D.C. Eagle ,(3 rooms)(Cruisy) betw. T St. & Massachusetts,908 7th St. N.W. ,"Bars/Clubs,Cruising Areas,Restaurant","(W),(SM),(PT),(*),(R)",Washington,DC,1981,,,,3/17/2022 3:10pm
137,Exile ,"(Disco)(Some W, levis)(Sun. buffet-C -AH -WE)  at New York Ave.",953 9th St. N.W.,Bars/Clubs,"(D),(*),(W),(C),(AH),(WE)",Washington,DC,1981,,,,3/17/2022 3:10pm
138,Follies ,"(Cinema) (Books, flicks, 'wild back room')",24 'O' St. S.E.,"Theatre,Book Store",(*),Washington,DC,1981,,,,3/17/2022 3:10pm
139,Fraternity House,(Cruisy)(Enter thru alley) ,2122 'P ' St. N.W.,"Restaurant,Bars/Clubs,Cruising Areas","(R),(D),(E)",Washington,DC,1981,,,,3/21/2022 6:35pm
140,Free Spirit Fashion ,(Men's clothing) Van Ness Center,4301 Connecticut Ave. N.W.,Business,,Washington,DC,1981,,,,3/17/2022 3:10pm
143,Glory Hole ,(Flicks & Pinballs)(Below Follies),24 'O' St. S.E.,"Theatre,Business",,Washington,DC,1981,,,,3/17/2022 3:10pm
145,Kramerbacks & Afterwards ,(Very M Cafe & bookstore),1517 Connecticut Ave. N.W .,"Restaurant,Book Store",(M),Washington,DC,1981,,,,3/17/2022 3:10pm
146,Lamas Women's Store ,"(Books, etc) ",321 7th St. S.E.,Book Store,,Washington,DC,1981,,,,3/17/2022 3:10pm
147,Lambda Rising Book Store ,,2012 'S' St. N.W.,Book Store,(*),Washington,DC,1981,,,,3/17/2022 3:10pm
148,Le Salon ,"(Books, toys, peep shows, films, etc.)(2nd floor)('Action' maze) ",804 14th St. N.W.,"Book Store,Erotic Shop",(P),Washington,DC,1981,,,,3/17/2022 3:10pm
149,Leather Rack ,"(Leather, clothes, etc.)(Above Eagle)",908 7th St. N.W.,"Business,Erotic Shop",(*),Washington,DC,1981,,,,3/17/2022 3:10pm
150,Lone Star ,(Nude go go boys),504 9th St. N.W.,Bars/Clubs,"(RT),(*)",Washington,DC,1981,,,,3/17/2022 3:10pm
151,Lost & Found ,"(Disco)(No neon sign, but don't miss it!) ",56 'L' St. S.E.,"Bars/Clubs,Restaurant","(*),(YC),(D),(R)",Washington,DC,1981,,,,3/17/2022 3:10pm
152,Louie's Spartan Longe ,"(Some W, SM)(WE*)",305 9th St. N.W.,Bars/Clubs,"(W),(SM),(WE),(*)",Washington,DC,1981,,,,3/21/2022 8:05am
154,Man's World ,"(Books, peep shows, erotica)(Maybe moving next to Exile at 9th & 'K' Sts.)",918 9th St. N.W.,"Book Store,Erotic Shop,Bars/Clubs",,Washington,DC,1981,,,,3/17/2022 3:10pm
155,M.C.C. ,,945 'G' St. N.W.,Religious Institution,MCC,Washington,DC,1981,,,,3/17/2022 3:10pm
158,Morgans ,(Sunday Tea Dance),1811 Columbia Rd. N.W.,Restaurant,"(PE),(R)",Washington,DC,1981,,,,3/17/2022 3:10pm
159,Mr. Henry's ,(Georgetown),1225 Wisconsin,Restaurant,"(M),(R)",Washington,DC,1981,,,,3/17/2022 3:10pm
160,Mr. P's ,(Cruisy),2147 'P' St. N.W.,"Restaurant,Bars/Clubs,Cruising Areas","(*),(R),(D)",Washington,DC,1981,,,,3/17/2022 3:10pm
161,Naples ,('Hustlers') ,1227 New York Ave. N.W.,Bars/Clubs,(RT),Washington,DC,1981,,,,3/17/2022 3:10pm
162,Nob Hill ,,1101 Kenyon N.W.,Restaurant,"(B),(R)",Washington,DC,1981,,,,3/17/2022 3:10pm
163,Olympic Baths ,(2nd floor) ,1405 'H' St. N.W.,Bathhouses,,Washington,DC,1981,,,,3/17/2022 3:10pm
164,Other Side ,(Many L) ,1345 Half St.,Restaurant,"(*),(R),(L)",Washington,DC,1981,,,,3/17/2022 3:10pm
165,Paramount Steak House  ,,1519 17th St. N.W.,Restaurant,"(*),(R)",Washington,DC,1981,,,,3/17/2022 3:10pm
166,Phase One ,,525 8th St. S.E.,Bars/Clubs,"(L),(D)",Washington,DC,1981,,,,3/17/2022 3:10pm
167,Pier 9 ,(Disco)(Snacks)(Super lights & sound show) , 1824 Half St. S.W.,Bars/Clubs,"(YC),(*),(D),(M)",Washington,DC,1981,,,,3/17/2022 3:10pm
168,Pleasure Chest ,"(Leather, toys, jewelry, erotica, etc.) (Georgetown)",1063 Wisconsin Ave. N.W.,"Erotic Shop,Business",(*),Washington,DC,1981,,,,3/17/2022 3:10pm
169,Plain Brown Wrapper  ,"(Books, films, peep shows, liquid, toys, etc.) ",1210 New York Ave. N.W.,"Book Store,Bars/Clubs,Erotic Shop,Business",(*),Washington,DC,1981,,,,3/17/2022 3:10pm
170,Rascal's  ,(Hot cocktail hour')(Opening disco on 3rd floor) ,1520 Connectcut Ave.,"Restaurant,Bars/Clubs","(R),(*),(D)",Washington,DC,1981,,,,3/17/2022 3:10pm
171,Regency Steam Baths,,413 'L' St. N.W.,Bathhouses,"(OC),(RT)",Washington,DC,1981,,,,3/17/2022 3:10pm
172,Rogue ,(WE*)(Above Louie's) ,305 9th St. N.W.,Bars/Clubs,"(S),(WE),(*)",Washington,DC,1981,,,,3/22/2022 8:05am
173,Sojourn ,(Disco),1329 Connecticut Ave. N.W.,Bars/Clubs,"(*),(D),(YC)",Washington,DC,1981,,,,3/17/2022 3:10pm
186,Pro Shop ,(Some L),840 Cleveland,Bars/Clubs,"(*),(L),(PT),(D)",Clearwater,FL,1981,,,,3/17/2022 3:10pm
188,Unwinders ,,1218 Cleveland,Bars/Clubs,,Clearwater,FL,1981,,,,3/17/2022 3:10pm
190,Evening Edition,(Disco)(Game room)(Closes 2am weekdays & 4am WE) Bay view Shopping Plaza ,5675 N. Atlantic Ave.,Bars/Clubs,"(*),(D),(PT),(WE)",Cocoa Beach,FL,1981,,,,3/17/2022 3:10pm
192,Oz ,(Small disco)(Go go boys),1010 S. Federal Hwy.,Bars/Clubs,(D),Dania,FL,1981,,,,3/17/2022 3:10pm
193,Beach Club ,(Disco) ,24 N. Grandview,Bars/Clubs,"(YC),(D)",Daytona Beach,FL,1981,,,,3/17/2022 3:10pm
194,Beach Side ,,415 Main St.,Bars/Clubs,"(PT),(OC)",Daytona Beach,FL,1981,,,,3/17/2022 3:10pm
195,Breakers Motel,, 27 S. Ocean,Hotel,(H),Daytona Beach,FL,1981,,,,3/17/2022 3:10pm
197,Landmark,"(Some W, SM)(Cruisy)(Game room) (H-upstairs) ",615 Main St.,"Hotel,Cruising Areas","(W),(SM),(*),(H)",Daytona Beach,FL,1981,,,,3/17/2022 3:10pm
198,Whitehall Inn ,,640 N. Atlantic Ave.,Hotel,"(M),(H)",Daytona Beach,FL,1981,,,,3/17/2022 3:10pm
199,Zodiac Lounge ,(Disco)(Some L) (S. Daytona Beach),1654 S. Ridgewood,Bars/Clubs,"(*),(YC),(D),(L),(S)",Daytona Beach,FL,1981,,,,3/17/2022 3:10pm
201,A Adult Book Store ,(Best to avoid),1915 S. Federal Hwy.,"Book Store,Erotic Shop",,Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
202,Arturo's ,(Italian R) ,3042B N. Federal Hwy.,Restaurant,"(M),(R)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
203,Bela-Mar Apt.-Motel ,(Ft. Lauderdale Beach),3801 N. Ocean Blvd.,Hotel,"(H),(M)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
204,Blue Atlantic ,,2901 Rio Mar St.,Hotel,"(H),(M)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
205,Centennial Male Theatre ,,3551 W. Broward,Theatre,,Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
207,Chick'n Lick'n ,,1313 E. Las Olas Blvd.,Restaurant,"(M),(R)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
208,Clever Bar Disco ,,2999 W. Broward,Bars/Clubs,(L),Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
209,Club House,(Baths) ,2650 E. Oakland Park Blvd.,Bathhouses,,Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
210,Copa ,(Disco)(Liquor)(Open until 5am) (3 bars - The Pits in back-(PT)(Some W) & Wiz Boutique nr. front door) at US 1,624 S.E. 28th St. ,Bars/Clubs,"(D),(YC),(*),(PT),(W)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
211,El Mirasol Hotel ,, 3055 Seville,Hotel,(H),Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
212,Encounters/Launching Pad ,Hallandale Beach Blvd.,6060 Miramar Pkwy. ,Bars/Clubs,"(S),(P),(BYOB)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
213,Everglades ,(Cruisy)(Hot dogs) (Federal Hwy.),1931 S.E. 6th Ave. ,"Bars/Clubs,Cruising Areas","(W),(PT),(*)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
214,Everglades Adult Books ,,2800 S. Federal Hwy.,"Book Store,Erotic Shop",,Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
215,Galt Riviera Motel ,,3811 N. Ocean Blvd.,Hotel,(H),Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
216,Giovanni's,,2900 E. Las Olas Blvd.,Restaurant,"(M),(R)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
218,Grotto,(WE*) ,1914 E. Oakland,Bars/Clubs,"(SM),(W),(WE),(*)",Ft. Lauderdale,FL,1981,,,,3/22/2022 8:05am
219,Gym ,(Club Lauderdale) (Baths),901 S.W . 27th Ave.,"Bathhouses,Gym","(*),(P)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
220,Helen's Hole ,,2708 S.W. 9th St.,Bars/Clubs,,Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
221,Highway News ,(Books) ,2223 S. Federal Hwy.,Book Store,,Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
222,Lefty's ,(Cruisy)(Liquor) ,710 N. Federal Hwy.,"Bars/Clubs,Cruising Areas","(*),(YC)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
223,M.C.C.,,1127 S.W. 2nd Ct.,Religious Institution,MCC,Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
224,Man's Western Country ,,1915 N.W. 9th Ave.,Bars/Clubs,(W),Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
225,Marlin Beach ,(Swimpool & bars),17 S. Atlantic Blvd.,"Restaurant,Hotel","(*),(H),(R)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
226,Oasis Motel , (Pool) ,1200 S. Miami Rd.,Hotel,"(*),(H)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
227,Ocean Walk Apts.  ,,3008 Castillo,Hotel,(H),Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
229,Pipeline ,(Guest house),400 N.E. 2nd St.,Hotel,(H),Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
230,Poop Deck,(Lower deck disco)(Liquor)Marlin Beach Hotel (Ft. Lauderdale Beach),17 S. Atlantic Blvd.,"Bars/Clubs,Restaurant,Hotel","(YC),(*),(D),(R),(S),(E)",Ft. Lauderdale,FL,1981,,,,3/21/2022 8:21am
231,Saloon,(Thru arcade) ,219 S.W. 1st Ave.,Bars/Clubs,(OC),Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
232,Sandpiper ,,2135 W. Davie Blvd.,Restaurant,"(R),(E)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
233,S.I.R. Apts ,,705 S.E. 2nd St.,Hotel,(H),Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
234,Sir A Gentlemens Store ,,3025 N. Ocean Blvd.,Erotic Shop,,Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
235,Studio X Books ,(Cruisy) (U.S. Hwy. 1),2417 S.E. 6th Ave.,"Book Store,Cruising Areas",,Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
236,Sunrise Adult Book Store ,,1241 W. Sunrise Blvd.,"Book Store,Erotic Shop",,Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
237,Surf & Sand Apts. ,,3009 Sebastian St.,Hotel,(H),Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
238,Tacky's,(Levi & W)(Sun. brunch)(Open until 4am) ,2509 W. Broward,Bars/Clubs,"(PT),(W)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
239,13 Buttons ,(Disco),1440 S.E. 17th St. Causeway,Bars/Clubs,"(*),(D),(P),(YC)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
240,Togethers,(Disco)(Looks promising),1800 E. Sunrise,"Bars/Clubs,Restaurant","(P),(R),(D),(S)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
241,Tony's Villa ,(Italian R),2468 Wilton Manor Rd.,Restaurant,"(M),(R)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
243,Tunnel Bar ,('Mixed bag'),545 S. Federal Hwy.,Bars/Clubs,(PT),Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
244,Two On A Match ,,1243 N.E. 11th Ave.,Bars/Clubs,"(L),(*)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
245,Valencia Resort ,,3006 Valencia St.,Hotel,(H),Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
246,Victoria Park ,,900 N.E. 20th Ave.,Restaurant,"(M),(R)",Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
247,Waynesart,(Unique statues - see ad for brochure) (305) 463-1666,900 Andrews Ave. ,Business,,Ft. Lauderdale,FL,1981,,,,3/17/2022 3:10pm
248,Zelda's ,(Disco)(Snacks)(WE*),4050 N.W. 9th Ave.,Bars/Clubs,"(YC),(D),(E),(WE),(PT),(*)",Ft. Lauderdale,FL,1981,,,,3/22/2022 7:58am
252,Blarney Stone,(Some L) ,2891 Palm Beach Blvd.,Bars/Clubs,(L),Ft. Myers,FL,1981,,,,3/17/2022 3:10pm
253,Bradford Hotel Lounge ,,2255 S. 1st St.,Hotel,(M),Ft. Myers,FL,1981,,,,3/17/2022 3:10pm
254,Club,,1514 Jackson,Bars/Clubs,"(*),(YC),(PT),(BYOB),(P)",Ft. Myers,FL,1981,,,,3/17/2022 3:10pm
