ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,Year,notes,dateadded,lastmodified
68,Latch String Bar,Barnahof Hotel,127 Franklin St.,Juneau,AK,(M) - Mixed Crowds - Some Straights,"Bars/Clubs,Hotels",,1977,,2/24/2020 3:00am,2/24/2020 4:05am
69,Bonfire Lounge,(Good afternoons),111 W. 5th Ave.,Anchorage,AK,"(D) - Dancing,(*) - Very popular",Bars/Clubs,,1976,,2/24/2020 3:00am,2/24/2020 4:05am
70,Cattleman's,(No booze),3471 Tudor Rd.,Anchorage,AK,"(M) - Mixed Crowds - Some Straights,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,1976,,2/24/2020 3:00am,2/24/2020 4:05am
71,Cinema One,(Books & arcade),324 W. 4th Ave.,Anchorage,AK,,"Book Store,Theatre",,1976,,2/24/2020 3:00am,2/24/2020 4:05am
72,M.C.C.,,1413 Norene St.,Anchorage,AK,M.C.C. - Metropolitan Community Church,Church,,1976,,2/24/2020 3:00am,2/24/2020 4:05am
73,Rendezvous,('Tops in Alaska'),612 E. 4th Ave.,Anchorage,AK,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,1976,,2/24/2020 3:00am,2/24/2020 4:05am
79,Elbow Room,,410 2nd Ave.,Fairbanks,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1976,,2/24/2020 3:00am,2/24/2020 4:05am
82,Latch String Bar,Barnahof Hotel,127 Franklin St.,Juneau,AK,(M) - Mixed Crowds - Some Straights,"Bars/Clubs,Hotels",,1976,,2/24/2020 3:00am,2/24/2020 4:05am
84,Bonfire Lounge,,111 W. 5th Ave.,Anchorage,AK,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,1975,,2/24/2020 3:00am,2/24/2020 4:05am
85,Cinema One,(Books & arcade),324 W. 4th Ave.,Anchorage,AK,,"Book Store,Theatre",,1975,,2/24/2020 3:00am,2/24/2020 4:05am
91,Elbow Room,(Hot),410 2nd Ave.,Fairbanks,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1975,,2/24/2020 3:00am,2/24/2020 4:05am
92,Fox Lounge,,500 1st Ave.,Fairbanks,AK,"(M) - Mixed Crowds - Some Straights,(*) - Very popular",Bars/Clubs,,1975,,2/24/2020 3:00am,2/24/2020 4:05am
93,Latch String Bar,Barnahof Hotel,127 Franklin St.,Juneau,AK,(M) - Mixed Crowds - Some Straights,"Bars/Clubs,Hotels",,1975,,2/24/2020 3:13am,2/24/2020 4:05am
95,Bonfire Lounge,,111 W. 5th Ave.,Anchorage,AK,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,1974,,2/24/2020 3:13am,2/24/2020 4:05am
96,Cinema One,(Bookstore-arcade),324 W. 4th Ave.,Anchorage,AK,(*) - Very popular,"Book Store,Theatre",,1974,,2/24/2020 3:13am,2/24/2020 4:05am
100,Elbow Room,,410 2nd Ave.,Fairbanks,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1974,,2/24/2020 3:13am,2/24/2020 4:05am
101,Latch String Bar,Barnahof Hotel,127 Franklin St.,Juneau,AK,(M) - Mixed Crowds - Some Straights,"Bars/Clubs,Hotels",,1974,,2/24/2020 3:13am,2/24/2020 4:05am
103,Bonfire Lounge,,111 W. 5th Ave.,Anchorage,AK,"(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,1973,,2/24/2020 3:13am,2/24/2020 4:05am
104,Gordo's Cocktail Lounge,,1411 Gambell St.,Anchorage,AK,"(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy,(*) - Very popular",Bars/Clubs,,1973,,2/24/2020 3:13am,2/24/2020 4:05am
105,Elbow Room,,410 2nd Ave.,Fairbanks,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1973,,2/24/2020 3:13am,2/24/2020 4:05am
106,Bonfire Lounge,,111 W. 5th Ave.,Anchorage,AK,"(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,1972,,2/24/2020 3:21am,2/24/2020 4:05am
107,Golden Nugget,,225 E. 5th Ave.,Anchorage,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1972,,2/24/2020 3:21am,2/24/2020 4:05am
108,Elbow Room,,410 2nd Ave.,Fairbanks,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1972,,2/24/2020 3:21am,2/24/2020 4:05am
109,Bonfire Lounge,,111 W. 5th Ave.,Anchorage,AK,"(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,1971,,2/24/2020 3:21am,2/24/2020 4:05am
110,Golden Nugget,,225 E. 5th Ave.,Anchorage,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1971,,2/24/2020 3:21am,2/24/2020 4:05am
111,Elbow Room,,410 2nd Ave.,Fairbanks,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1971,,2/24/2020 3:21am,2/24/2020 4:05am
112,Five-One-Five Club,,515 4th Ave.,Anchorage,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1970,,2/24/2020 3:21am,2/24/2020 4:05am
113,Golden Nugget,,225 E. 5th Ave.,Anchorage,AK,"(M) - Mixed Crowds - Some Straights,(*) - Very popular",Bars/Clubs,,1970,,2/24/2020 3:21am,2/24/2020 4:05am
115,Cottage,,510 2nd Ave.,Fairbanks,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1970,,2/24/2020 3:21am,2/24/2020 4:05am
116,Five-One-Five Club,,515 4th Ave.,Anchorage,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1969,,2/24/2020 3:21am,2/24/2020 4:05am
117,Golden Nugget,,225 E. 5th Ave.,Anchorage,AK,(*) - Very popular,Bars/Clubs,,1969,,2/24/2020 3:21am,2/24/2020 4:05am
119,Cottage,,510 2nd Ave.,Fairbanks,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1969,,2/24/2020 3:21am,2/24/2020 4:05am
120,Five-One-Five Club,,515 4th Ave.,Anchorage,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1968,,2/24/2020 3:28am,2/24/2020 4:05am
121,Golden Nugget,,225 E. 5th Ave.,Anchorage,AK,(*) - Very popular,Bars/Clubs,,1968,,2/24/2020 3:28am,2/24/2020 4:05am
122,Oasis,Seward Hwy.,,Anchorage,AK,,Bars/Clubs,,1968,,2/24/2020 3:28am,2/24/2020 4:05am
123,Five-One-Five Club,,515 4th Ave.,Anchorage,AK,(M) - Mixed Crowds - Some Straights,Bars/Clubs,,1966,,2/24/2020 3:28am,2/24/2020 4:05am
124,Golden Nugget,,225 E. 5th ,Anchorage,AK,(*) - Very popular,Bars/Clubs,,1966,,2/24/2020 3:28am,2/24/2020 4:05am
