Auto#,title,amenityfeatures,description,streetaddress,type,city,state,unclear_address,unclear type or question,notes,Year,Last Modified
8115,Stage Left,"(*),(MW),(WC)","828-4444 5:30pm-2am, from 4:30pm Sun",5 Livingston Ave,Restaurants & Cafes,New Brunswick,NJ,,,,1997,12/16/2023 5:25pm
10594,Boo Radley's,(WC),"456-7479 10am-6pm, noon-5pm Sun, gift shop",5 N Post,Bookstores/Retail Shops,Spokane,WA,,,,1997,12/16/2023 5:25pm
6352,Lava Hot Springs Inn,"(GF),(WC)","776-5830 full brkfst, hot tub ",5 Portneuf Ave,Accommodations,Lava Hot Springs,ID,,,,1997,12/16/2023 5:25pm
7750,Independence Place,"(MW),(D),(TG),(S)","334-2939 8:30pm-1:30am, from 7:30pm Fri-Sat, clsd Sun",5 S Henderson St,Bars,Cape Girardeau,MO,,,,1997,12/16/2023 5:25pm
7836,Magnolia's,"(*),(M),(MRC-AF),(F),(S),(WC)",652-6500 6pm-3am,5 S Vandeventer,Bars,St. Louis,MO,,,,1997,12/16/2023 5:25pm
10595,Edwards LaLone Travel,(IGTA),747-3000/(800) 288-3788,5 S Washington,Travel/Tour Operators,Spokane,WA,,,,1997,12/16/2023 5:25pm
7096,Treasure Chest,,873-7411,5 Sanger,Info Lines & Services,Waterville,ME,,,,1997,9/29/2023 4:24pm
7394,Victoria House,(MW),487-4455,5 Standish St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
3893,Heart of the Hills,(GF),"253-7468/253-7468 full brkfst, pets okay, kids okay, also reservation service, evening desserts, patio",5 Summit,Accommodations,Eureka Springs,AR,,,,1997,9/29/2023 4:24pm
5513,Bet Mishpachah,,"833-1638, 8:30pm Fri, lesbigay synagogue",5 Thomas Cir NW,Spiritual Groups,Washington,D.C,,,,1997,12/16/2023 5:25pm
7385,Shiremax Inn,(M),487-1233,5 Tremont St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
9437,Karla's,,"862-2612, lunch, dinner & late night breakfast, Fri-Sat",5 W Mechanic St,Restaurants & Cafes,New Hope,PA,,,,1997,12/16/2023 5:25pm
7369,Mayflower Apartments,(GF),487-1916,6 Bangs St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
10851,Condado Inn,"(MW),(F)",724-7145 also lounge,6 Condado Ave,Accommodations,Condado,PR,,,,1997,10/9/2023 5:41pm
10881,The Terrace Restaurant,,"724-7145, dinner, clsd Tue",6 Condado Ave,Restaurants & Cafes,San Juan,PR,,,,1997,10/9/2023 6:11pm
7348,Dexter's Inn,(W),487-1911,6 Conwell St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7325,Ampersand Guesthouse,(MW),487-0959,6 Cottage St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
10376,Casablanca,"(MW),(WC)","648-2040 11am-2am, from 3pm Sat, full bar",6 E Grace St,Restaurants & Cafes,Richmond,VA,,,,1997,12/16/2023 5:25pm
10392,Casablanca,"(MW),(WC)","648-2040 11am-2am, from 3pm Sat, full bar",6 E Grace St,Restaurants & Cafes,Richmond,VA,,,,1997,12/16/2023 5:25pm
7351,Elliott House,(MW),,6 Gosnold St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7560,Earth & Sky,(WC),"458-3520 11am-7pm, clsd Sun, feminist",6 Jefferson SE,Bookstores/Retail Shops,Grand Rapids,MI,,,,1997,9/29/2023 4:24pm
3894,Maple Leaf Inn,,"253-6876/(800) 372-6542 full brkfst, hot tub, kids okay, restored Victorian",6 Kings Hwy,Accommodations,Eureka Springs,AR,,,,1997,12/16/2023 5:25pm
7070,The Blackstones,"(M),(NH),(WC)",775-2885 4pm-1am,6 Pine St,Bars,Portland,ME,,,,1997,12/16/2023 5:25pm
5791,Inn Exile,"(M),(K),(V)","582-4144 3pm-2am, til midnight Sun",6 S 'I' St ,Bars,Key West,FL,,,,1997,12/16/2023 5:25pm
7826,Bacchus,"(M),(E),(WC)","531-1109 5pm-1:30am, clsd Sun",6 S Sarah,Bars,St. Louis,MO,,,,1997,12/16/2023 5:25pm
7386,Six Webster Place,"(*),(MW),(WC)",487-2266/(800) 693-2783,6 Webster Pl,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7343,Chicago House,(M),487-0537,6 Winslow St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7331,Benchmark Inn & Annex,"(MW),(SW)",487-7440/(888) 487-7440,6-8 Dyer St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7360,Heritage House,"(*),(MW)",487-3692,7 Center St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
8392,"New Paltz Travel Center, Inc.",,255-7706,7 Cherry Hill Center,Travel/Tour Operators,New Paltz,NY,,,,1997,9/29/2023 4:24pm
4925,Cafe Claude,(E),"392-3505 8am-10pm, live jazz, as close to Paris you can get in SF",7 Claude ,Restaurants & Cafes,San Francisco,CA,,,,1997,9/29/2023 4:24pm
7362,The Inn at Cook Street,(GF),487-3894/(888) 266-5655 intimate & quiet,7 Cook St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7424,Napi's,(WC),487-1145 internat'l/seafood,7 Freeman St,Restaurants & Cafes,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7345,Coat of Arms,"(MW),(*)",487-0816 seasonal,7 Johnson St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7048,The Ogunquit House,"(*),(MW)",646-2967,7 Kings Hwy,Accommodations,Ogunquit,ME,,,,1997,12/16/2023 5:25pm
7213,Heaven/Hombre,"(MW),(D)",421-9595 10pm-2am Wed& Sun,7 Lansdowne St,Bars,Boston,MA,,,,1997,12/16/2023 5:25pm
3886,Arbour Glen Victorian Inn B&B,(MW),"253-9010/(800) 515-4536 full brkfst, kids okay, historic Victorian home, also guesthouse, jacuzzis, fireplaces",7 Lema ,Accommodations,Eureka Springs,AR,,,,1997,9/29/2023 4:24pm
3713,Outer Limits,"(MW),(D),(F),(E),(S),(PC)",433-3262 24hrs,7 S Joachim St,Bars,Mobile,AL,,,,1997,12/16/2023 5:25pm
7396,Watership Inn,"(*),(MW)",487-0094/(800) 330-9413,7 Winthrop ,Accommodations,Provincetown,MA,,,,1997,9/29/2023 4:24pm
8721,"Journeys, Inc.",(IGTA),"Pack Plaza, 232-0800/(800) 256-8235",8 Biltmore Ave,Travel/Tour Operators,Asheville ,NC,,,,1997,12/16/2023 5:25pm
7332,The Blue Beacon,(GF),487-0516,8 Bradford St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7379,Roomers,(M),487-3532 seasonal,8 Carver St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
8471,Pieces,"(M),(NH)","(6th Ave), 929-9291 2pm-4am",8 Christopher St,Bars,Manhattan,NY,,,,1997,12/16/2023 5:25pm
7558,Taylors,"(MW),(D),(F),(WC)","454-4422 11am-2am, til 4am Fri-Sat, from 6pm Sun, burgers, & soups",8 Ionia SW,Bars,Grand Rapids,MI,,,,1997,9/29/2023 4:24pm
7390,Swanberry Inn,(MW),487-4242/(800) 847-7926,8 Johnson St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
9705,The Castle,"(*),(MW),(D),(S),(V),(YC),(PC)","235-9949 10pm-4am, clsd Mon-Wed",8 La Grand Blvd,Bars,Greenville,SC,,,,1997,12/16/2023 5:25pm
9510,Beth Ahavah,,"923-2003, 8pm 1st, 3rd & 5th Friday",8 Leticia St,Spiritual Groups,Philadelphia,PA,,,,1997,12/16/2023 5:25pm
7099,William Page Inn,(GF),626-1506/(800) 364-4160 renovated 1908 home,8 Martin St,Accommodations,Annapolis,MD,,,,1997,12/16/2023 5:25pm
7637,Northland Gay Men's Center,,"Ste. 309, 722-8585",8 N 2nd Ave E,Info Lines & Services,Duluth,MN,,,,1997,12/16/2023 5:25pm
5370,Choices,"(M),(D),(E)",949-9380 7pm-1am,8 North Turnpike Rd,Bars,Wallingford,CT,,,,1997,9/29/2023 4:24pm
8132,Edwards Travel Service,,924-4443/(800) 669-9692,8 S Tulane St,Travel/Tour Operators,Princeton,NJ,,,,1997,12/16/2023 5:25pm
9665,Charleston Columns,,722-7341,8 Vanderhorst St,Accommodations,Charleston,SC,,,,1997,12/16/2023 5:25pm
9440,Wildflowers,,"862-2241, noon-10pm, til 11pm Fri-Sat (summer)",8 W Mechanic St,Restaurants & Cafes,New Hope,PA,,,,1997,12/16/2023 5:25pm
7880,Pork Chop John's,,"782-0812, 11am-9:30am, clsd Sun ",8 W Mercury,Restaurants & Cafes,Butte,MT,,,,1997,12/16/2023 5:25pm
7228,Roberto's at Cafe Amalfi,,"536-6396 dinner & Sun brunch, full bar",8 Westland Ave,Restaurants & Cafes,Boston,MA,,,,1997,12/16/2023 5:25pm
9095,Triangles,"(MW),(NH),(D),(S),(WC)","351-0620 9pm-2am, clsd Mon-Tue",8-1/2 N 2nd St,Bars,Lawton,OK,,,,1997,12/16/2023 5:25pm
7844,Sunshine Inn,,"367-1413, 11:30am-9pm, from 10:30am Sun, clsd Mon, vegetarian",8-1/2 S Euclid Ave,Restaurants & Cafes,St. Louis,MO,,,,1997,12/16/2023 5:25pm
7335,The Brass Key Guesthouse,"(*),(M),(SW),(WC),(IGTA)",487-9005/(800) 842-9858,9 Court St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7352,Elm Guest House,(M),487-0793 seasonal,9 Johnson St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7877,M&M Bar & Cafe,,"723-7612, 24hrs, bar til 2am",9 N Main St,Bars,Butte,MT,,,,1997,12/16/2023 5:25pm
10311,Sea Gate B&B,(GF),331-2206 full brkfst,9 Tazewell Ave,Accommodations,Cape Charles,VA,,,,1997,12/16/2023 5:25pm
5351,Frank's Place,"(MW),(D),(E),(WC)","443-8883 4pm-1am, til 2am Fri-Sat",9 Tilley St,Bars,New London,CT,,,,1997,12/16/2023 5:25pm
10406,The Stag,"(MW),(NH)","982-1668 2pm-2am, from 7pm Sun-Mon",9 W Salem Ave,Bars,Roanoke,VA,,,,1997,12/16/2023 5:25pm
7356,Glifford House Inn & Dance Club,(M),487-0688/(800) 434-0130 seasonal,9-11 Carver St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
3902,Center Street Bar & Grille,"(GF),(D),(F),(E)","253-8102 6pm-2am, kitchen open til 10pm Th-Mon, clsd Sun, Mexican plenty veggie",10 Center St,Bars,Eureka Springs,AR,,,,1997,12/16/2023 5:25pm
9620,Devilles,"(*),(W),(NH),(D),(WC)","(Simmons Bldg.), 751-7166 4pm-1am, til 2am Fri-Sat, clsd Mon",10 Davol Square,Bars,Providence,RI,,,,1997,9/29/2023 4:24pm
5762,The Quay,,"294-4446, gourmet",10 Duval St,Restaurants & Cafes,Key West,FL,,,,1997,12/16/2023 5:25pm
9147,Samson & Delilah,,"585-2221, 11am-2pm, 5pm-10pm Fri-Sat, French gourmet",10 E 5th St,Restaurants & Cafes,Tulsa,OK,,,,1997,12/16/2023 5:25pm
9088,Phil's Place,"(W),(NH),(WC)","782-6991 4pm-2:30am, patio",10 E LaClede,Bars,Youngstown ,OH,,,,1997,12/16/2023 5:25pm
3898,Rock Cottage Gardens,,"253-8659/(800) 624-6646 full brkfst, hot tub",10 Eugenia St,Accommodations,Eureka Springs,AR,,,,1997,12/16/2023 5:25pm
7556,Diversions,"(MW),(D),(S),(WC),(*)","451-3800 11am-2am, from 8pm wknds, American",10 Fountain St NW,Bars,Grand Rapids,MI,,,,1997,12/16/2023 5:25pm
9410,Grim's Manor,(GF),683-7089 full brkfst,10 Kern Rd,Accommodations,Kutztown,PA,,,,1997,12/16/2023 5:25pm
3903,Chelsea's Corner Cafe,(GF),"253-6723 11am-2am, clsd Sun",10 Mountain St,Bars,Eureka Springs,AR,,,,1997,12/16/2023 5:25pm
7852,"Pages, Video & More",,"361-3420, 9am-8pm, til 5pm Sun",10 N Euclid Ave,Bookstores/Retail Shops,St. Louis,MO,,,,1997,12/16/2023 5:25pm
8659,Widow Kendall B&B,(GF),(800) 244-0925 gourmet brkfst,10 N Ferry St,Accommodations,Schenectady,NY,,,,1997,12/16/2023 5:25pm
8719,Rainbow's End,,"285-0005, 10am-8pm, lesbigay ",10 N Spruce St,Bookstores/Retail Shops,Asheville ,NC,,,,1997,12/16/2023 5:25pm
7276,Gull Cottage,"(MW),(WC)",362-8747,10 Old Church St,Accommodations,Yarmouth Port,MA,,,,1997,12/16/2023 5:25pm
7309,Pearl Street Cafe,"(MW),(D)",584-7810 9pm-1am Wed & Sat only,10 Pearl St,Bars,Northampton,MA,,,,1997,12/16/2023 5:25pm
7702,Q Monthly,,321-7300,10 S 5th St,Publications,Minneapolis,MN,,,,1997,12/16/2023 5:25pm
5405,Mano's Restaurant & Bar,,"227-6707, 5pm-10pm",10 Wilmington Ave,Restaurants & Cafes,Rehoboth Beach,DE,,,,1997,12/16/2023 5:25pm
8629,Atlantis,"(M),(D)",423-9748 call for events,10-12 S Washington St,Bars,Rochester,NY,,,,1997,12/16/2023 5:25pm
5418,Everybody's,"(MW),(D),(MRC-AF),(AYOR)",(upstairs) 658-7626 5pm-1am,11 E 4th St,Bars,Wilmington,DE,,,,1997,12/16/2023 5:25pm
8711,Scandals,"(MW),(D),(A),(S),(WC),(18+)","252-2838 10pm-3am, clsd Sun-Wed, 18+ Th, also",11 Grove St,Bars,Asheville ,NC,,,,1997,12/16/2023 5:25pm
8713,Grove Street Cafe,,"255-0010, 6pm-1am Wed-Sat, outside deck, summer T-dance & BBQ 2-8pm Sun, full bar",11 Grove St,Restaurants & Cafes,Asheville ,NC,,,,1997,12/16/2023 5:25pm
9711,Moon Jammers,"(MW),(NH),(D),(A),(S),(PC),(WC)","Pope Ave., 842-9195 8pm-2am",11 Heritage Plaza,Bars,Hilton Head,SC,,,,1997,9/29/2023 4:24pm
4536,House of a Thousand Flowers,(GF),"632-5571/Fax: 632-6215 full brkfst, country B&B",11 Mosswood Cir,Accommodations,Cazadero,CA,,,,1997,12/16/2023 5:25pm
9577,Red Star,"(*),(M),(D),(F),(OC)","375-4116 5pm-2am, from 8pm Tue, clsd Mon",11 S 10th St,Bars,Reading,PA,,,,1997,12/16/2023 5:25pm
7851,Our World Too,,"533-5322, 10am-9:30pm, noon-8pm Sun, lesbigay bookstore",11 S Vandeventer ,Bookstores/Retail Shops,St. Louis,MO,,,,1997,12/16/2023 5:25pm
3899,Singleton House B&B,(GF),"253-9111/(800) 833-3394 full brkfst, kids okay, restored 1890's country Victorian home, near shops",11 Singleton,Accommodations,Eureka Springs,AR,,,,1997,9/29/2023 4:24pm
3891,The Gardeners Cottage,(GF),"c/o 253-9111/(800) 833-3394 seasonal, private cottage on wooded site",11 Singleton,Accommodations,Eureka Springs,AR,,,,1997,9/29/2023 4:24pm
7265,Club 9-11,,884-9533 4pm-1am,11 Williams St,Bars,Chelsea,MA,,,,1997,12/16/2023 5:25pm
7359,Haven House,"(M),(SW)",487-3031,12 Carver St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7393,Tucker Inn,(GF),487-0381 seasonal,12 Center St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7392,Trade Winds,(M),487-0138,12 Johnson St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7876,Ms. Kitty's Adult Store,,586-6989,12 N Wilson,Erotica,Bozeman,MT,,,,1997,12/16/2023 5:25pm
7251,Integrity,,"(Christ Church), Quincy, 773-0310, last Fri",12 Quincy Ave,Spiritual Groups,Boston,MA,,,,1997,12/16/2023 5:25pm
8069,Brass Rail Bar & Grill,"(*),(MW),(NH),(F),(E),(S)",348-0192 24hrs,12 S Mt Vernon Ave,Bars,Atlantic City,NJ,,,,1997,12/16/2023 5:25pm
8478,Sound Factory (SFB),"(*),(M),(D)",206-7770 11pm Fri,12 W 21st St,Bars,Manhattan,NY,,,,1997,12/16/2023 5:25pm
7330,Beaconlite Inn,"(*),(MW)",487-9603,12 Winthrop St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
8599,Stella's,"(MW),(S)",Long Island City 392-2132 11pm-4am,12-21 Jackson Ave,Bars,Queens,NY,,,,1997,12/16/2023 5:25pm
8439,Abingdon B&B,,"(at W. 12th), 243-5384 smokefree",13 8th Ave,Accommodations,Manhattan,NY,,,,1997,12/16/2023 5:25pm
7053,The Club,"(*),(M),(D),(F),(V)","646-6655 open April-Oct, 9pm-1am, from 4pm Sun",13 Main St,Bars,Ogunquit,ME,,,,1997,12/16/2023 5:25pm
9238,The City Nightclub,"(*),(MW),(D),(E),(18+)","224-2489 10pm-2am, til 4am Fri-Sat, clsd Mon-Tue, no alcohol",13 NW 13th Ave,Bars,Portland,OR,,,,1997,9/29/2023 4:24pm
7266,Eclipse,"(MW),(NH),(D)","534-3065 7pm-2am, clsd Mon-Wed",13 View St,Bars,Chicopee,MA,,,,1997,12/16/2023 5:25pm
8364,Centennial House,,324-2246,13 Woods Lane,Accommodations,East Hampton,NY,,,,1997,9/29/2023 4:24pm
7445,Provincetown Magazine,,"02657, 487-1000, weekly",14 Center St,Publications,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7378,Revere Guesthouse,(MW),487-2292,14 Court St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
8844,The Taylor House Inn,(GF),"763-7581/(800) 382-9982 full brkfst, romantic 1908 house",14 N 7th St,Accommodations,Wilmington,NC,,,,1997,12/16/2023 5:25pm
10703,The United,,"Ste. 103, 255-8582, 9am-5pm, 7pm-10pm Mon-Fri, drop-in center library, newsletter, counseling service (call ahead)",14 West Mifflin St,Info Lines & Services,Madison,WI,,,,1997,12/16/2023 5:25pm
7313,Haymarket Cafe,,"586-9969, 9am-midnight, clsd Mon",15 Amber Ln,Restaurants & Cafes,Northampton,MA,,,,1997,12/16/2023 5:25pm
9674,Vickery's of Beaufain Street,(*),"577-5300 11am-3am, Cuban ",15 Beaufain St,Restaurants & Cafes,Charleston,SC,,,,1997,12/16/2023 5:25pm
7318,Airborn for Men,,"(Rte. 9) 366-3807, military-themed & casual clothes, erotica",15 Belmont St,Bookstores/Retail Shops,Northampton,MA,,,,1997,12/16/2023 5:25pm
8622,Dignity-Integrity,,"(Christ Church), 724-3209, 8pm 3rd Fri",15 Brandy St,Spiritual Groups,Niagara Falls,NY,,,,1997,12/16/2023 5:25pm
10269,Daily Planet,,"862-9647, 11:30am-10:30pm",15 Center St,Restaurants & Cafes,Burlington,VT,,,,1997,12/16/2023 5:25pm
8516,Oscar Wilde Memorial Bookshop,,"255-8097, 11:30am-9pm, lesbigay",15 Christopher St,Bookstores/Retail Shops,Manhattan,NY,,,,1997,12/16/2023 5:25pm
7376,Red Inn,(MW),487-0050 elegant waterfront dinner & lodging,15 Commercial St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7400,Windsor Court,"(MW),(SW)","487-2620 hot tub, kitchens",15 Cottage St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
