ID2,title,amenityfeatures,description,streetaddress,unclear_address,type,city,state,Year,unclear type or question,notes,Last Modified
4845,Tri-Travel ,(IGTA),272-2990/(800)842-3315 ask for Roger ,2 Charles St.,,Travel/Tour Operators,Providence,RI,1994,,,4/25/2023 9:24pm
4666,Grown Ups,,"862-9304 opens 11am, adult toys, gifts, cards, etc.",2 E. Mechanic St.,,Erotica,New Hope,PA,1994,,,4/25/2023 9:24pm
2805,"Adventure Travel, Inc.",(IGTA),Scarborough 885-5060/(800)234-6252,2 Elsie Way,,Travel/Tour Operators,Portland,ME,1994,,,5/19/2023 10:26am
3427,West End Café,(GF),361-2020 lunch & dinner,2 N. Euclid Ave.,,Restaurants & Cafes,St. Louis,MO,1994,,,4/25/2023 9:24pm
192,Dixie Cottage,(MW),Hist. Loop-Old 62B) 253-7553 full brkfast,2 Prospect,,Accommodations,Eureka Springs,AR,1994,,,5/19/2023 10:26am
2856,Donna's Coffee Bar,"(GF),(BW)",385-0180 ,2 W. Madison,,Restaurants & Cafes,Baltimore,MD,1994,,,4/25/2023 9:24pm
2928,Icarus ,(GF),426-1790,3 Appleton St.,,Restaurants & Cafes,Boston,MA,1994,,,4/25/2023 9:24pm
5768,3 Elena Guest House,(MW),"728-7418 garden setting, very nr. beach ",3 Elena St.,,Accommodations,San Juan,PR,1994,,,4/25/2023 9:24pm
191,Cedarberry Cottage B&B,(GF),253-6115,3 Kings Hwy.,,Accommodations,Eureka Springs,AR,1994,,,4/25/2023 9:23pm
2803,Communiques ,,"773-5181, 10am-6pm, cards, gifts & clothing",3 Moulton St.,,Bookstores/Retail Shops,Portland,ME,1994,,,4/25/2023 9:24pm
2796,"Limelight, The","(*),(MW),(D),(S)",773-3315 4pm-1am,3 Spring St.,,Bars,Portland,ME,1994,,,4/25/2023 9:24pm
3041,Richmond Inn,,487-9193,4 Conant St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
3060,Atlantic House Hotel ,"(*),(D),(YC)",(The Big Room) 487-3821 ,4 Masonic Pl.,,Bars,Provincetown,MA,1994,,,4/25/2023 9:24pm
981,Lily's,"(NH),(S)","864-7208 11am-2am, imperial drinking palace",4 Valencia St.,,Bars,San Francisco,CA,1994,,,4/25/2023 9:23pm
2118,Sideout,"(*),(F),(E)",822-0082 noon-1:30am,4-1330 Kuhio Hwy,,Bars,"Kapaa, Kauai",HI,1994,,,4/25/2023 9:24pm
1445,Norwich Book & Video ,,887-5058 ,5 Falls Ave.,,Erotica,Norwich,CT,1994,,,4/25/2023 9:23pm
4863,Liberty Place,"(*),(D),(A),(K),(S),(YC),(WC)","577-9160 4pm-2:30am, til 3am Fri ",5 Liberty St.,,Bars,Charleston,SC,1994,,,4/25/2023 9:24pm
4365,Why Not Café,"(D),(S)","324-9304 8:30pm-1am, til 2:30am ",5 N. Murray St.,,Bars,Springfield,OH,1994,,,4/25/2023 9:24pm
3337,Independence Place,"(MW),(D),(S)","334-2939 9pm-1am, from 7pm Fri & Sat, clsd Sun",5 S. Henderson St.,,Bars,Cape Girardeau,MO,1994,,,4/25/2023 9:24pm
3420,Magnolia's,"(*),(F),(S),(WC)","652-6500 5pm-3am, dinner nightly",5 S. Vandeventer,,Bars,St. Louis,MO,1994,,,4/25/2023 9:24pm
3054,Victoria House,(MW),487-4455,5 Standish St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
3047,Shiremax Inn,,487-1233,5 Tremont St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
4660,Karla's ,"(GF),(E)","862-2612 lunch, dinner & late night brkfst, full bar",5 W. Mechanic St.,,Restaurants & Cafes,New Hope,PA,1994,,,4/25/2023 9:24pm
2112,Charo's Restaurant & Bar,(GF),826-6422 Mexican & continental cuisine,5-7132 Kuhio Hwy.,,Restaurants & Cafes,"Haena, Kauai",HI,1994,,,4/25/2023 9:24pm
3034,Mayflower,(GF),487-1916,6 Bangs St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
5771,Condado Inn,"(*),(MW)","Condado 724-7145 guesthouse w/ terrace restaurant & lounge, 1/2 blk. to beach",6 Condado Ave.,,Accommodations,San Juan,PR,1994,,,5/19/2023 10:26am
2998,Ampersand Guest House,(MW),487-0959 ,6 Cottage St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
3870,Shelter ,"(GF),(D),(MRC-AF)","(at Hudson St.) 677-2582 10pm-6am Tues, Fri & Sat, call for them nights, no alcohol",6 Hubert St.,,Bars,Greenwich Village,NY,1994,,,5/13/2023 9:13pm
196,Maple Leaf Inn,(GF),253-6876,6 Kings Hwy ,,Accommodations,Eureka Springs,AR,1994,,,4/25/2023 9:23pm
2794,Blackstones,"(NH),(WC)",775-2885 4pm-1am,6 Pine St.,,Bars,Portland,ME,1994,,,4/25/2023 9:24pm
1796,Inn Exile,"(K),(V)","582-4144 3pm-2am, til midnight Sun (movie night)","6 S. ""J"" St.",,Bars,Lake Worth,FL,1994,,,4/25/2023 9:23pm
2781,Leisure Inn,(GF),646-2737 B&B seasonal ,6 School St.,,Accommodations,Ogunquit,ME,1994,,,4/25/2023 9:24pm
3048,Six Webster Place,"(*),(MW)",487-2266,6 Webster Pl.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
3016,Chicago House,"(*),(MW)",487-0537 ,6 Winslow St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
3646,Woolverton Inn,"(GF),(WC)",397-0802 full brkfst ,6 Woolverton Rd.,,Accommodations,Stockton,NJ,1994,,,4/25/2023 9:24pm
3029,Heritage House,(MW),487-3692 seasonal,7 Center St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
3077,Napi's,"(GF),(WC)",487-1145 ,7 Freeman St. ,,Restaurants & Cafes,Provincetown,MA,1994,,,4/25/2023 9:24pm
3018,Coat of Arms,(*),487-0816 seasonal,7 Johnson St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
2782,Ogunquit House,(MW),646-2967 B&B and cottages,7 Kings Hwy.,,Accommodations,Ogunquit,ME,1994,,,4/25/2023 9:24pm
2924,Venus de Milo,"(MW),(D)","421-9595 gay Wed only, 9pm-2am",7 Lansdowne St.,,Bars,Boston,MA,1994,,,4/25/2023 9:24pm
190,"Arbour Glen, The",(MW),253-9010 full brkfst,7 Lema ,,Accommodations,Eureka Springs,AR,1994,,,4/25/2023 9:23pm
42,Hojons,"(MW),(D),(F),(E),(S),(PC)","433-3073 3pm-?, call for seasonal hours",7 S. Joachim St.,,Bars,Mobile,AL,1994,,,4/25/2023 9:23pm
3056,Watership Inn,"(*),(MW)",487-0094 ,7 Winthrop St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
4400,Level Two,"(MW),(D),(S)",357-1430 8pm-2am Wed-Sun,8 1/2 NW 2nd,,Bars,Lawton,OK,1994,,,4/25/2023 9:24pm
5758,Villa Ricomar,"(MW),(D),(S)","Carretera 459, Barrio Jobos opens 9pm Fri & Sat, from 6pm Sun",8 Calle Paz,,Bars,Isabela,PR,1994,,,5/19/2023 10:26am
3042,Roomers,,487-3532,8 Carver St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
3866,Reeds,"(NH),(V)",675-7333 3pm-4am,8 Christopher St.,,Bars,Greenwich Village,NY,1994,,,4/25/2023 9:24pm
3017,Christopher Inn,"(MW),(SW)",487-1920 ,8 Dyer St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
4886,"Castle, The ","(*),(MW),(D),(S),(V),(YC),(PC),(WC)","235-9949 8pm-4am, til 3am Sun",8 Le Grand Blvde. ,,Bars,Greenville,SC,1994,,,4/25/2023 9:24pm
2905,Lilac Court B&B,(MW),Cambridge 868-8381/(800)835-4522,8 Lilac Court,,Accommodations,Boston,MA,1994,,,5/19/2023 10:27am
2824,William Page Inn,(GF),626-1506 ful brkfst,8 Martin St.,,Accommodations,Annapolis,MD,1994,,,4/25/2023 9:24pm
1452,Choices,"(MW),(D),(E)","949-9380 7pm-1am, clsd Sun-Tues",8 N. Turnpike Rd. ,,Bars,Wallingford,CT,1994,,,4/25/2023 9:23pm
4557,Cindy's Dirty Books,,"222-1554, 24hrs",8 NW 4th Ave.,,Erotica,Portland,OR,1994,,,4/25/2023 9:24pm
3634,Edwards Travel Service,,924-4443/(800)669-9692,8 S. Tulane St.,,Travel/Tour Operators,Princeton,NJ,1994,,,4/25/2023 9:24pm
4663,Wildflowers,"(GF),(BYOB)","862-2241 noon-10pm, outdoor dining, seasonal ",8 W. Mechanic St.,,Restaurants & Cafes,New Hope,PA,1994,,,4/25/2023 9:24pm
3426,Sunshine Inn,(GF),"367-1413 vegetarian, clsd Mon",8-1/2 S. Euclid Ave.,,Restaurants & Cafes,St. Louis,MO,1994,,,4/25/2023 9:24pm
3007,"Brass Key Guesthouse, The",(*),"487-9005/(800)932-9119 seasonal, heated spa",9 Court St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
3024,Elm Guest House,,487-0793,9 Johnson St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
1443,B.W. Travel ,(IGTA),852-0200/(800)288-2589,9 Mott Ave.,,Travel/Tour Operators,Norwalk,CT,1994,,,4/25/2023 9:23pm
3773,Fire Island Pines,,597-6767 seasonal,9 Ocean Walk,,Accommodations,Fire Island,NY,1994,,,5/19/2023 10:27am
5385,Sea Gate ,(GF),"331-2206 B&B, full brkfst, afternoon tea, nr. beach",9 Tazewell Ave.,,Accommodations,Cape Charles,VA,1994,,,4/25/2023 9:24pm
1438,Frank's Place,"(MW),(D),(E),(WC)","443-8883 4pm-1am, til 2am Fri & Sat, huge patio, Sun brunch",9 Tilley St.,,Bars,New London,CT,1994,,,4/25/2023 9:23pm
600,Van Go's Ear,(GF),"Venice Fire Island Pines 399-6870 6am-midnight, coffeehouse",9 Westminster,,Restaurants & Cafes,Los Angeles,CA,1994,,,5/19/2023 10:27am
3027,Gifford House,,487-0688,9-11 Carver St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
2955,Jon's,"(GF),(D),(E),(WC)",884-9533 4pm-1am,9-11 Williams St.,,Bars,Chelsea,MA,1994,,,4/25/2023 9:24pm
198,Center Street Bar & Grille ,"(GF),(D),(E),(F)","253-8102 5pm-2am, clsd. Sun",10 Center St.,,Bars,Eureka Springs,AR,1994,,,4/25/2023 9:23pm
4829,Devilles ,"(*),(W),(NH),(D),(F),(WC)","(Simmons Bldg.) 751-7166 opens 4pm, from 6pm wknds, clsd Mon",10 Davol Sq.,,Bars,Providence,RI,1994,,,4/25/2023 9:24pm
4393,Sophie's ,"(MW),(NH)",782-8080 4pm-2:30am ,10 E. LaClede ,,Bars,Youngstown ,OH,1994,,,4/25/2023 9:24pm
5638,Friends ,(GF),563-2231 11am-2am,10 E. Sherman Ave.,,Bars,Fort Atkinson,WI,1994,,,4/25/2023 9:24pm
197,Rock Cottage Gardens,(MW),253-8659/(800)624-6646 full brkfst,10 Eugenia St.,,Accommodations,Eureka Springs,AR,1994,,,4/25/2023 9:23pm
4632,Grim's Manor,(GF),"683-7089 B&B, full brkfst, jacuzzi ",10 Kern Rd.,,Accommodations,Kutztown,PA,1994,,,4/25/2023 9:24pm
1159,Sutter's Mill,"(*),(P),(F)","(off Bush St.) 788-8377 10am-10pm, lunch weekdays, popular cocktail hour ",10 Mark Ln.,,Bars,San Francisco,CA,1994,,,4/25/2023 9:23pm
199,Chelsea's Corner Cafe,(GF),"253-6723 11am-2am, clsd Sun",10 Mountain St. ,,Bars,Eureka Springs,AR,1994,,,4/25/2023 9:23pm
3431,"Pages, Video, & More",,"361-3420, 9am-9pm, til 5pm Sun",10 N. Euclid Ave.,,Bookstores/Retail Shops,St. Louis,MO,1994,,,4/25/2023 9:24pm
2963,Gull Cottage ,"(MW),(WC)",Yarmouth Port 362-8747 guesthouse,10 Old Church St.,,Accommodations,Hyannis,MA,1994,,,5/19/2023 10:27am
2990,Pearl Street Café,"(MW),(D)",584-7810 9pm-1am Wed only,10 Pearl St.,,Bars,Northampton,MA,1994,,,4/25/2023 9:24pm
3307,Esteban's ,"(GF),(WC)","281-3201 Mexican cuisine, full bar",11 4th St. SE,,Restaurants & Cafes,Rochester,MN,1994,,,4/25/2023 9:24pm
1490,Everybody's,"(MW),(D),(MRC-AF),(AYOR)","upstairs opens 10pm, clsd Sun-Tues (unlicensed; AYOR)",11 E. 4th St.,,Bars,Wilmington,DE,1994,,,4/25/2023 9:23pm
4068,Scandals/Getaways/Cahoots ,"(MW),(D),(A),(F),(S),(V),(WC)","252-2838 2 bars, 10pm-2am, clsd Sun-Tues, CW Wed; restaurant 6pm-midnight, clsd Sun & Mon ",11 Grove St.,,Bars,Asheville ,NC,1994,,,4/25/2023 9:24pm
767,House of a Thousand Flowers,(GF),Cazadero 632-5571,11 Mosswood Circle,,Accommodations,Russian River,CA,1994,,,5/19/2023 10:27am
3037,Plaza Guest House,(MW),487-1818 ,11 Pearl St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
4774,Red Star ,"(*),(D),(L),(F),(OC)","375-4116 5pm-2am, from 8pm Tues, clsd Mon, patio",11 S. 10th St.,,Bars,Reading,PA,1994,,,4/25/2023 9:24pm
3430,Our World Too,(*),"533-5322 10am-9:30pm, noon-8pm Sun, lesbigay bookstore",11 S. Vandeventer,,Bookstores/Retail Shops,St. Louis,MO,1994,,,4/25/2023 9:24pm
3937,Good Diner,(GF),"(at 42nd St.) 967-2661 24hrs, slightly upscale diner food",11th Ave.,,Restaurants & Cafes,N.Y.C - Midtown,NY,1994,,,5/13/2023 9:14pm
3028,Haven House,"(*),(SW)",487-3031,12 Carver St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
3053,Twelve Center Guest House,(GF),487-0381 ,12 Center St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
2224,Illini Video Arcade,,359-8529,12 E. Columbia Ave.,,Erotica,Champaign/Urbana,IL,1994,,,4/25/2023 9:24pm
3052,Trade Winds,,487-0138,12 Johnson St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
3446,Ms. Kitty's Adult Store,,586-6989 ,12 N. Wilson ,,Erotica,Bozeman,MT,1994,,,4/25/2023 9:24pm
3577,Brass Rail Bar & Grill,"(*),(NH),(E),(S)",348-0192 24hrs,12 S. Mt. Vernon Ave.,,Bars,Atlantic City,NJ,1994,,,4/25/2023 9:24pm
3872,Sound Factory ,"(GF),(D)",206-7770/7773 10pm-4am Fri & Sun,12 W. 21st ,,Bars,Greenwich Village,NY,1994,,,4/25/2023 9:24pm
3003,Beaconlite Inn,(MW),487-9603,12 Winthrop ,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
3815,"Network, The",,"Somerset, NJ 08873 (908)873-0266 covers NY, NJ & PA",13 Clyde Rd. Ste. 201,,Publications,New York City,NY,1994,,,5/19/2023 10:27am
4861,Charleston Charm ,(MW),"722-7341 guesthouse in historic distric, luxury suite & 2 doubles ",13 Jacobs Alley ,,Accommodations,Charleston,SC,1994,,,4/25/2023 9:24pm
2784,"Club, The","(*),(D),(F),(V),(YC)","646-6655 4pm-1am, seasonal ",13 Main St.,,Bars,Ogunquit,ME,1994,,,4/25/2023 9:24pm
4500,"City Nightclub, The","(*),(MW),(D),(18+)","224-2489 10pm-2am, til 4am Fri & Sat, clsd Mon & Tues, no alcohol ",13 NW 13th Ave.,,Bars,Portland,OR,1994,,,4/25/2023 9:24pm
4360,Christopher's Lounge ,"(MW),(NH),(D),(K)","539-9381 4pm-2:30am, clsd Sun ",13 Old St. ,,Bars,Monroe,OH,1994,,,4/25/2023 9:24pm
3094,Provincetown Magazine,(GF),487-3384,14 Center St.,,Publications,Provincetown,MA,1994,,,4/25/2023 9:24pm
3019,Courtland Hosue,(MW),487-2292,14 Court St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
4167,Five Star Guest House ,,"763-7581/(800)382-9982, 15 min. to beaches",14 N. 7th St.,,Accommodations,Wilmington,NC,1994,,,4/25/2023 9:24pm
2434,Indiana News,,"636-7680, 6am-6pm",14 W. Maryland ,,Bookstores/Retail Shops,Indianapolis,IN,1994,,,4/25/2023 9:24pm
5664,"United, The",,"255-8582, 9am-5pm Mon-Fri, drop-in center, library, counseling services, call ahead",14 W. Mifflin St.,,Info Lines & Services,Madison,WI,1994,,,4/25/2023 9:24pm
5357,Daily Planet,(GF),862-9647 11:30am-?,15 Center St.,,Restaurants & Cafes,Burlington,VT,1994,,,4/25/2023 9:24pm
3721,Boulevard Bookstore & Café,(F),"436-8848 10am-7pm, noon-5pm Sun",15 Central Ave.,,Bookstores/Retail Shops,Albany,NY,1994,,,4/25/2023 9:24pm
3902,Oscar Wilde Memorial Bookshop,,"255-8097, 11:30am-7:30pm, lesbigay",15 Christopher St.,,Bookstores/Retail Shops,Greenwich Village,NY,1994,,,4/25/2023 9:24pm
2799,Walter Café,(GF),871-9258 11am-9pm,15 Exchange St.,,Restaurants & Cafes,Portland,ME,1994,,,4/25/2023 9:24pm
1465,Beach House,"(MW),(SW)",227-7074/(800)283-4667 B&B,15 Hickman St.,,Accommodations,Rehoboth Beach,DE,1994,,,4/25/2023 9:23pm
2907,Avaton,"(*),(D),(YC)",262-2424 gay Sun only,15 Lansdowne St.,,Bars,Boston,MA,1994,,,4/25/2023 9:24pm
2519,Mini Cinema ,,955-9756,15 N. 5th St.,,Erotica,Fort Dodge,IA,1994,,,4/25/2023 9:24pm
2524,Prairie Lights Bookstore,(WC),337-2681 ,15 S. Dubuque St.,,Bookstores/Retail Shops,Iowa City,IA,1994,,,4/25/2023 9:24pm
4171,Palladium ,"(MW),(D),(S),(PC),(WC)",343-1000 9pm-2:30am Tues-Sun ,15 S. Front St.,,Bars,Wilmington,NC,1994,,,4/25/2023 9:24pm
3839,Boy Bar,"(S),(WC)",674-7959 10pm-4am Thurs,15 St. Marks Place,,Bars,Greenwich Village,NY,1994,,,4/25/2023 9:24pm
4897,Heritage Book Store ,,225-9969 ,16 1st Ave. SE,,Erotica,Aberdeen,SD,1994,,,4/25/2023 9:24pm
3749,Allen House Restaurant ,(GF),"881-0586 lunch & dinner, clsd Sun & Mon, eclectic",16 Allen St.,,Restaurants & Cafes,Buffalo,NY,1994,,,4/25/2023 9:24pm
4815,Hydrangea House of Newport ,"(MW),(IGTA)","846-4435/(800)945-4667 B&B nr. beach, full brkfst, non-smoking ",16 Bellevue Ave.,,Accommodations,Newport,RI,1994,,,4/25/2023 9:24pm
3380,Current News,,561-2679,16 E. 39th ,,Publications,Kansas City,MO,1994,,,4/25/2023 9:24pm
3419,Loading Zone,"(MW),(V)","361-4119 2pm-2am, clsd Sun",16 S. Euclid ,,Bars,St. Louis,MO,1994,,,4/25/2023 9:24pm
3581,Showbiz Cabaret ,"(GF),(E),(S)","347-3310 10pm-4am, clsd Mon, Tues & Th",16 S. Mt Vernon ,,Bars,Atlantic City,NJ,1994,,,4/25/2023 9:24pm
3637,Earth Spirit,,"842-3855, 10am-6pm, til 8pm Fri, noon-5pm Sun, ew age bookstore",16 W. Front St.,,Bookstores/Retail Shops,Red Bank,NJ,1994,,,4/25/2023 9:24pm
3015,Chancellor Inn,,487-9423,17 Center St.,,Accommodations,Provincetown,MA,1994,,,4/25/2023 9:24pm
2094,Faces II ,"(NH),(F)","233-3520 4pm-3am, patio",17 Lincoln St.,,Bars,Savannah,GA,1994,,,4/25/2023 9:24pm
3883,Warsaw ,"(D),(YC)","633-1717 from 10pm, Fri only",17 W. 19th St.,,Bars,Greenwich Village,NY,1994,,,4/25/2023 9:24pm
2830,Chez Claire,(MW),685-4666 B&B,17 W. Chase St.,,Accommodations,Baltimore,MD,1994,,,4/25/2023 9:24pm
2342,Gay/Lesbian AA,,"325-8488, 4:30pm Sun & 7:30pm Wed",17 W. Maple,,Info Lines & Services,Hinsdale,IL,1994,,,4/25/2023 9:24pm
3738,North Street Bookshop,,Endicott 785-9606,17 Washington Ave.,,Erotica,Binghamton,NY,1994,,,5/19/2023 10:28am
1529,La Cage aux Follies,"(*),(S),(V),(YC)","554-3615 7pm-2am, til 3am Fri & Sat, nude go-go boys","18 ""O"" St. SE",,Bars,Washington,DC,1994,,,4/25/2023 9:23pm
2839,Custom House Saloon,"(MW),(D),(A),(S),(V)",347-7556 4pm-2am,18 Custom House Ave.,,Bars,Baltimore,MD,1994,,,4/25/2023 9:24pm
1680,"University Club, The","(MW),(D),(S),(YC)","378-6814 5pm-2am, til 4am Fri & Sat, til 11pm Sun, patio",18 E. University Ave.,,Bars,Gainesville,FL,1994,,,4/25/2023 9:23pm
4200,"Open Doors (Gay, Lesbian & Bisexual Association)",,"593-7301, mostly students",18 N. College St.,,Info Lines & Services,Athens,OH,1994,,,4/25/2023 9:24pm
5600,Yakima Magazine Ctr.,,248-8598,18 S. 1st St.,,Erotica,Yakima,WA,1994,,,4/25/2023 9:24pm
3583,Lyle's Coffeeshop,(MW),seasonal hours,18 S. Mt. Vernon,,Restaurants & Cafes,Atlantic City,NJ,1994,,,4/25/2023 9:24pm
3576,Surfside Guesthouse,(WC),"347-0808 hotel, sundeck, restaurant (summers)",18 S. Mt. Vernon Ave.,,Accommodations,Atlantic City,NJ,1994,,,4/25/2023 9:24pm
2816,Priscilla's Book Store,,873-2774,18 Water St.,,Erotica,Waterville,ME,1994,,,4/25/2023 9:24pm
5429,Phoenix Rising,,"355-7939, noon-7pm, lesbigay bookstore",19 N. Belmont Ave.,,Bookstores/Retail Shops,Richmond,VA,1994,,,4/25/2023 9:24pm
3098,Choices ,"(MW),(D),(E),(WC)","732-4247 6pm02am, from 1pm Fri-Sun",19 Pearl St.,,Bars,Springfield,MA,1994,,,4/25/2023 9:24pm
3275,19 Bar,"(MW),(NH),(CW),(L),(BW)","Mpls. 871-5553 3pm-1am, from noon Fri-Sun",19 W. 15th St.,,Bars,Minneapolis,MN,1994,,,8/7/2023 3:31pm
3813,Homo Xtra ,,10010 627-0747 complete party paper,19 W. 21st Ste. 703,,Publications,New York City,NY,1994,,,5/19/2023 10:28am
1561,Club Washington ,(PC),(upstairs) 488-7317 24hrs,"20 ""O"" St. SE",,Men's Clubs,Washington,DC,1994,,,4/25/2023 9:23pm
3747,Stagedoor,"(NH),(E),(K),(OC)","886-9323 5pm-4am, piano bar & patio",20 Allen St.,,Bars,Buffalo,NY,1994,,,4/25/2023 9:24pm
5725,Chesterfield Inn ,"(GF),(F)","987-3682 B&B w/restaurant, seasonal ",20 Commerce St.,,Accommodations,Mineral Point,WI,1994,,,4/25/2023 9:24pm
3858,Lickety Split,(WC),"(at Canal St.) 281-1703 7pm-4am, every other Th",20 Green St.,,Bars,Greenwich Village,NY,1994,,,5/13/2023 9:13pm
2985,Le Place,"(*),(MW),(D)","992-8156 2pm-2am, from noon Sat",20 Kenyon St.,,Bars,New Bedford,MA,1994,,,4/25/2023 9:24pm
3268,Unicorn Theatre,,375-0854 lesbigay ,20 N. 4th St.,,Info Lines & Services,Minneapolis,MN,1994,,,8/7/2023 3:32pm
3875,Stepping Out,"(MW),(D),(CW)",10th flr. 463-0660 9:30pm-midnight Fri,20 W. 20th St.,,Bars,Greenwich Village,NY,1994,,,5/19/2023 10:28am
2911,Campus at Man Ray,"(GF),(D),(A),(YC)","Cambridge 864-0400 9pm-1am Wed-Sat, gay Mon & Th night",21 Brookline,,Bars,Boston,MA,1994,,,5/19/2023 10:28am
2921,Playland ,(H),"338-7254 8am-2am, from noon Sun",21 Essex,,Bars,Boston,MA,1994,,,4/25/2023 9:24pm
1609,Admiral's Court,"(GF),(SW)",462-5072 motel w/38 units,21 Hendricks Isle,,Accommodations,Ft. Lauderdale,FL,1994,,,4/25/2023 9:23pm
