ID2,title,streetaddress,description,city,state,amenityfeatures,Year,type,unclear_address,unclear type or question,notes,Last Modified
81,Aradia Books,116 W. Cottage ,779-3817 gay/lesbian books,Flagstaff,AZ,,1990,Book Stores/Retail Shops,,,(602) area code,4/25/2023 9:36pm
85,Kings Inn Best Western,2930 E. Andy Devine ,753-6101,Kingman,AZ,(MX),1990,Accommodations,,,(602) area code,4/25/2023 9:36pm
94,Royal Villa Apts.,1102 E. Turney Ave.,"266-6883 spa, overnight and long term accommodations",Phoenix,AZ,(SW),1990,Accommodations,,,(602) area code,4/25/2023 9:36pm
96,Apollo's,5749 N. 7th St.,"277-9373 cruise bar, popular happy hour",Phoenix,AZ,"(*),(LV)",1990,"Bars,Cruising Areas",,,(602) area code,4/25/2023 9:36pm
97,BS West,7125 5th Ave.,"945-9028 video bar, noon-1am",Scottsdale,AZ,(P),1990,Bars,,,(602) area code,4/25/2023 9:36pm
98,Bobby's,1810 E. McDowell Rd.,"258-9477 dance bar, opens 12 noon",Phoenix,AZ,"(D),(V)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
100,Cattleman's Exchange,138 W. Camelback Rd.,"266-0875 conversation bar, upstairs 'Hayloft' bar",Phoenix,AZ,(OC),1990,Bars,,,(602) area code,4/25/2023 9:36pm
99,Bum Steer,4620 N. 7th Ave.,"279-3033 Copperstate Leathermen home bar, Phoenix home of T.A.L.L., patio",Phoenix,AZ,"(L),(LV),(V),(AH)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
101,Charlie's ,727 W. Camelback Rd.,"265-0224 square dancin'/cloggers, patio, home of the AZ Gay Rodeo",Phoenix,AZ,"(*),(CW)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
102,The Club,4223 N. 7th St.,"948-9730 11am-1am, after hours till 3am Fri & Sat. may be moving ",Phoenix,AZ,"(D),(*)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
103,Cruisin' Central,1011 N. Central Ave.,"253-3376 opens 7am, Sun 12 noon",Phoenix,AZ,"(OC),(H)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
106,Jay's Brazil ,7232 First St.,946-9303,Scottsdale,AZ,"(V),(AH)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
105,Farrah's,4158 Grand Ave.,"841-7711 noon-1am, weekend afternoons",Phoenix,AZ,"(MW),(CW),(AH)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
109,Marlys's ,15615 M. Cave Creek Rd.,"867-2463 hrs noon-1am, frequent entertainment",Phoenix,AZ,"(MW),(CW),(D),(E)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
107,K.C.'s,4240 N. Central Ave.,"265-0395 4pm-1am, til 3am Fri & Sat",Phoenix,AZ,"(D),(E),(AH)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
110,Nu Towne,5002 E. Van Buren ,"267-9959 noon-1am, popular Sun & Tue",Phoenix,AZ,(YC),1990,Bars,,,(602) area code,4/25/2023 9:36pm
112,Stixx,3015 N. 16th St.,234-000 6am-1am,Phoenix,AZ,"(D),(S),(E)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
111,Preston's,4102 E. Thomas Rd. ,"224-5778 bar/restaurant, til 3am",Phoenix,AZ,"(*),(MW),(D),(AH)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
113,Trax,1724 E. McDowell,254-0231,Phoenix,AZ,"(*),(D),(YC),(AH)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
114,Winks,5707 N. 7th St.,"265-9002 piano bar and live entertainment, lunch daily 11:30-9pm",Phoenix,AZ,"(*),(E)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
115,Flex Complex,1517 S. Black Canyon Hwy.,"(access road) 271-9011 3 bars, lounge, viedos, jacuzzi, steam, gym, rooms with priv bath",Phoenix,AZ,(SW),1990,Gyms/Health Clubs,,,(602) area code,4/25/2023 9:36pm
116,Humanspace Books Inc. ,1617 N. 32nd St. #5,"220-4419 alternative lifestyle bookstore/info center, gay men's titles",Phoenix,AZ,,1990,Book Stores/Retail Shops,,,(602) area code,4/25/2023 9:36pm
117,Tuff Stuff,1714 E. McDowell ,"254-9651 leather, toys, etc., Tues-Fri 10-6, Sat 10-3, clsd Sun & Mon",Phoenix,AZ,,1990,Erotica/Adult Groups,,,(602) area code,4/25/2023 9:36pm
118,Advantage Travel,24 W. Camelback Rd. Ste K,230-2299,Phoenix,AZ,,1990,Travel/Tour Operators,,,(602) area code,4/25/2023 9:36pm
119,"Firstravel, Ltd.",5150 N. 7th St.,265-0666,Phoenix,AZ,(IGTA),1990,Travel/Tour Operators,,,(602) area code,4/25/2023 9:36pm
120,Travel Registry ,3819 N. 3rd St.,263-7761,Phoenix,AZ,(IGTA),1990,Travel/Tour Operators,,,(602) area code,4/25/2023 9:36pm
122,Casa de Cristo Evangelical Church,1029 E. Turney ,"265-2831 Sun 8:30am, 10:30am, 7pm",Phoenix,AZ,,1990,Religious Organizations,,,(602) area code,4/25/2023 9:36pm
126,Arizona Transformer,4770 M. 7th St. #3174,277-4742 pocket guide to Phoenix/Tucson,Phoenix,AZ,,1990,Publications,,,(602) area code,4/25/2023 9:36pm
124,MCC Gentle Shepherd,3425 E. Mountain View Blvd.,"996-7644 Sun 10:30am, 7pm",Phoenix,AZ,(MCC),1990,Religious Organizations,,,(602) area code,4/25/2023 9:36pm
129,Barney's Books,1421 E. McDowell Rd.,unverifiable spring '89,Phoenix,AZ,,1990,Erotica/Adult Groups,,,(602) area code,4/25/2023 9:36pm
130,Book Cellar-2,2103 W. Camelback Rd.,"249-9788 books, etc. open 24hrs.",Phoenix,AZ,,1990,Erotica/Adult Groups,,,(602) area code,4/25/2023 9:36pm
131,Castle Boutique,5501 E. Washington ,231-9837 open 24hrs,Phoenix,AZ,,1990,Erotica/Adult Groups,,,(602) area code,4/25/2023 9:36pm
132,International Bookstore,3640 E. Thomas Rd.,"955-2000 large gay selection, 8am-2:30am",Phoenix,AZ,,1990,Erotica/Adult Groups,,,(602) area code,4/25/2023 9:36pm
133,Modern World,"1812 E. Apache, ","967-9052 gay/lesbian selection, open 24hrs.",Tempe,AZ,,1990,Erotica/Adult Groups,,,(602) area code,4/25/2023 9:36pm
135,Zorba's Adult Book Shop,"3924 N. Scottsdale Rd.,","941-9891 24hrs, video, etc.",Scottsdale,AZ,,1990,Erotica/Adult Groups,,,(602) area code,4/25/2023 9:36pm
134,Pleasure Palace,1524 E. Van Buren ,262-9942 24hrs.,Phoenix,AZ,,1990,Erotica/Adult Groups,,,(602) area code,4/25/2023 9:36pm
141,Oak Creek Owl Restaurant & Cocktail Room,329 Hwy. 179,282-3532 bar & restaurant,Sedona,AZ,"(MX),(MW)",1990,Restaurants & Cafes,,,(602) area code,4/25/2023 9:36pm
147,Hacienda del Sol Guest Ranch Resort,5601 N. Hacienda da del Sol Road,"299-1501 44acre complex, horseback riding and tennis",Tucson,AZ,"(MX),(MW),(SW),(F)",1990,Accommodations,,,(602) area code,4/25/2023 9:36pm
149,Congress Tap Room ,311 E. Congress,"(inside Congress Hotel) 622-8848 9am-1am Mon-Sat, noon-1am Sun",Tucson,AZ,"(OC),(MX)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
150,Graduate ,23 W. University Ave.,"622-9233 11am-1am Mon-Sat, noon-1am Sun",Tucson,AZ,"(*),(D)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
151,It's About Time (IBT's),616 N. 4th Ave.,882-3053,Tucson,AZ,"(*),(D)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
152,Joshua Tree,2921 N. 1st Ave.,622-6233 patio,Tucson,AZ,"(*),(YC),(D)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
153,Rainbow Room,3455 E. Grant ,327-3390 9am-1am,Tucson,AZ,"(D),(S)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
155,Blue Willow,2616 N. Campbell ,795-8736 health foods,Tucson,AZ,"(MX),(MW)",1990,Restaurants & Cafes,,,(602) area code,4/25/2023 9:36pm
154,Rumorhazzit,2222 N. Stone ,791-0309,Tucson,AZ,"(MW),(D),(V)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
158,Fantasy Travel,610 E. Knox Dr.,293-2620,Tucson,AZ,,1990,Travel/Tour Operators,,,(602) area code,4/25/2023 9:36pm
157,Books Brothers,3242 E. Speedway Blvd.,326-3332 gen. bookstore with gay/lesbian section,Tucson,AZ,,1990,Book Stores/Retail Shops,,,(602) area code,4/25/2023 9:36pm
156,Stables ,3820 E. 40th St.,"748-0088 open 24 hrs, spa, steamroom, patio",Tucson,AZ,(P),1990,Gyms/Health Clubs,,,(602) area code,4/25/2023 9:36pm
159,Cornerstone Fellowship,3333 E. Grant Rd.,881-3519,Tucson,AZ,,1990,Religious Organizations,,,(602) area code,4/25/2023 9:36pm
162,MCC,560 S. Stone Ave.,"622-4536 Sun 10:45, 5:30pm",Tucson,AZ,(MCC),1990,Religious Organizations,,,(602) area code,4/25/2023 9:36pm
164,The Bookstore Southwest,5754 E. Speedway Blvd,795-7467,Tucson,AZ,,1990,Book Stores/Retail Shops,,,(602) area code,4/25/2023 9:36pm
170,J.P's Cameo Lounge ,232 S. 4th Ave. ,783-9966,Yuma,AZ,"(MW),(D),(NH)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
171,Owl Bookstore,807 S. 4th Ave.,343-1040,Yuma,AZ,,1990,Erotica/Adult Groups,,,(602) area code,4/25/2023 9:36pm
175,Greenwood Hollow Ridge,1 Greenwood Hollow Ridge ,"253-5283 B&B, year round, RV spaces",Eureka Springs,AR,"(MX),(IGTA)",1990,Accommodations,,,(501) area code,4/25/2023 9:36pm
174,Cedarberry Cottage B&B,3 Kings Highway,253-6115,Eureka Springs,AR,"(MX),(MW)",1990,Accommodations,,,(501) area code,4/25/2023 9:36pm
177,MCC of the Living Spring,17 Elk St.,253-9337 worship 7pm Sun,Eureka Springs,AR,(MCC),1990,Religious Organizations,,,(501) area code,4/25/2023 9:36pm
176,Center Street Bar & Grille,10 Center St.,253-8102,Eureka Springs,AR,"(MX),(MW),(D),(E),(F)",1990,Bars,,,(501) area code,4/25/2023 9:36pm
179,MCC Ozarks,275 E. Huntsville Rd.,443-4278 worship 11am Sun,Fayetteville,AR,(MCC),1990,Religious Organizations,,,(501) area code,4/25/2023 9:36pm
183,Court Garden,305 Garrison Ave.,783-9822 5pm-2am,Ft. Smith,AR,(D),1990,Bars,,,(501) area code,4/25/2023 9:36pm
184,Village Landing,3028 N. 6th St.,"6pm-1am Wed, Fri & Sat",Ft. Smith,AR,"(*),(MW),(D),(YC)",1990,Bars,,,(501) area code,4/25/2023 9:36pm
189,Our House Lounge & Restaurant ,336 Central Ave.,624-6868,Hot Springs,AR,"(*),(MW),(D)",1990,Bars,,,(501) area code,4/25/2023 9:36pm
191,AA Gay/Lesbian,5605 W. 32nd ,"372-6040 meets 3x/wkly, call for times",Little Rock,AR,,1990,Info Lines & Services,,,(501) area code,4/25/2023 9:36pm
194,Little Rock Inn,601 Center St.,376-8301 gay bars on premises,Little Rock,AR,"(MW),(MX)",1990,Accommodations,,,(501) area code,4/25/2023 9:36pm
195,Chaps ,1701 S. University ,"6pm-1am Mon-Fri, 6pm-12am Sat",Little Rock,AR,"(LV),(D),(CW)",1990,Bars,,,(501) area code,4/25/2023 9:36pm
197,Discovery II,1021 Jessie Rd.,"664-4784 9pm-2am Mon-Thur, 9pm-5am Fri & Sat",Little Rock,AR,"(*),(AH),(S),(D),(YC)",1990,Bars,,,(501) area code,4/25/2023 9:36pm
198,Preston's,5618 Asher ,562-7531,Little Rock,AR,"(YC),(D),(F)",1990,Bars,,,(501) area code,4/25/2023 9:36pm
199,Twisted Entertainment,7201-B Asher Ave.,"568-4262 gift shop, closed Tues",Little Rock,AR,,1990,Book Stores/Retail Shops,,,(501) area code,4/25/2023 9:36pm
201,MCC of the Rock,2017 Chandler ,"753-7075 11am & 6:30pm Sun, 7pm Wed",Little Rock,AR,(MCC),1990,Religious Organizations,,,(501) area code,4/25/2023 9:36pm
202,Unitarian-Universalist Church,1818 Reservoir Rd.,225-1503 worship 11am Sun,Little Rock,AR,,1990,Religious Organizations,,,(501) area code,4/25/2023 9:36pm
204,American Arcade,4524 Asher ,"666-9925 open 24hrs, videos",Little Rock,AR,,1990,Erotica/Adult Groups,,,(501) area code,4/25/2023 9:36pm
215,AA Gay/Lesbian ,2413 Alta Vista Dr. ,"327-3724 (MCC#) meets at MCC Mon, Wed, Thur 8pm",Bakersfield,CA,,1990,Religious Organizations,,,(805) area code,4/25/2023 9:36pm
211,Sure Shot,1732 S. Euclid ,"535-9439 Italian cuisine, noon-2am",Anaheim,CA,"(MW),(BW),(F)",1990,Bars,,,(714) area code,4/25/2023 9:36pm
212,MCC New Covenant,314 S. Brockhurst #201,"776-7210 worship on Sunday 11:00am&6:00pm, Wed 7:30pm",Anaheim,CA,(MCC),1990,Religious Organizations,,,(714) area code,4/25/2023 9:36pm
218,Cellar ,1927 K St. 322-1229,4pm to 2am,Bakersfield,CA,"(*),(MW),(D),(YC)",1990,Bars,,,(805) area code,4/25/2023 9:36pm
219,The Fort,3228 Chester Lane,"323-1677 hot tube, Wed-Sat 5pm to 2am, Sun brunch 10am",Bakersfield,CA,"(MW),(D),(F),(SW),(PC)",1990,Bars,,,(805) area code,4/25/2023 9:36pm
222,M.C.C.,2413 Alta Vista Dr.,327-3724,Bakersfield,CA,(MCC),1990,Religious Organizations,,,(805) area code,4/25/2023 9:36pm
224,Top Hat Theater,1524 Golden State Ave.,324-2662,Bakersfield,CA,,1990,Erotica/Adult Groups,,,(805) area code,4/25/2023 9:36pm
223,MCC of the Harvest,2906 Loma Linda Dr.,"327-3724 currently 7pm Sun, call first for time change",Bakersfield,CA,(MCC),1990,Religious Organizations,,,(805) area code,4/25/2023 9:36pm
225,Wildcat Books,2620 Chester 324-4243,,Bakersfield,CA,,1990,Book Stores/Retail Shops,,,(805) area code,4/25/2023 9:36pm
233,Pacific Center,2712 Telegraph Ave.,"548-8283 support grps & counseling, 10-10 Mon-Fri, noon-4 Sat, 6-9 Sun",Berkeley,CA,,1990,Info Lines & Services,,,(415) area code,4/25/2023 9:36pm
236,Steam Works,2107 4th St. ,845-8992 24hrs,Berkeley,CA,(PC),1990,Gyms/Health Clubs,,,(415) area code,4/25/2023 9:36pm
235,Brick Hut,3222 Adeline St.,(near Ashby BART station) 658-5555,Berkeley,CA,"(MX),(MW)",1990,Restaurants & Cafes,,,(415) area code,4/25/2023 9:36pm
237,Cody's ,2454 Telegraph Ave.,845-7852 general bookstore with Gay titles,Berkeley,CA,,1990,Book Stores/Retail Shops,,,(415) area code,4/25/2023 9:36pm
238,Dignity East Bay,2401 LeConte,"995-2535 mtg 5;30pm 4th Sun, info & referral line",Berkeley,CA,,1990,Religious Organizations,,,(415) area code,4/25/2023 9:36pm
241,Eagles Nest,46175 Big Bear Rd. ,866-6465 B&B year-round,Big Bear,CA,(MX),1990,Accommodations,,,(714) area code,4/25/2023 9:36pm
245,Ozz,6131 Manchester Ave,"(At Ozz bar) 7am-10pm, breakfast-dinner",Buena Park,CA,"(MW),(E)",1990,Restaurants & Cafes,,,(714) area code,4/25/2023 9:36pm
244,Ozz ,6131 Manchester Ave,522-1542 5pm-2am,Buena Park,CA,"(*),(MW),(D),(E),(F),(S),(YC)",1990,Bars,,,(714) area code,4/25/2023 9:36pm
248,LaFiesta Travel,2128 Manning St.,841-4242,Burbank,CA,(IGTA),1990,Travel/Tour Operators,,,(408) area code,4/25/2023 9:36pm
247,AA Gay/Lesbian,139 Primrose ,"573-6811 (AA#) South Bay locations, call for current info",Burbank,CA,,1990,Info Lines & Services,,,(408) area code,4/25/2023 9:36pm
252,R.J.'s,900 Cherry St.,893-0900,Chico,CA,"(*),(MW),(D),(S),(V),(YC),(F)",1990,Bars,,,(916) area code,4/25/2023 9:36pm
255,Lake Place Resort,9515 Harbor Dr. ,998-3331 year-round,Glenhaven,CA,(*),1990,Accommodations,,,(707) area code,4/25/2023 9:36pm
256,Sunset Point Resort,12037 E. Hwy 20,"998-9475 cabins, RV hookup, spa",Clear Lake,CA,"(MW),(SW)",1990,Accommodations,,,(707) area code,4/25/2023 9:36pm
254,Blue Fish Cove Resort,10573 E. Hwy 20,998-1769 year-round with boat facilities,Clear Lake,CA,"(MW),(SW)",1990,Accommodations,,,(707) area code,4/25/2023 9:36pm
257,Thackery's Marina Inn,10165 Hwy 20,"cabins, boat marina, private beach",Glenhaven,CA,"(MX),(MW),(SW)",1990,Accommodations,,,(707) area code,4/25/2023 9:36pm
258,Twin Palms Resort,"140 Short St. Box 922, 95423","998-1970 boat rentals, waterside units with kitchens",Clear Lake,CA,(MW),1990,Accommodations,,,(707) area code,4/25/2023 9:36pm
259,Sunset Point Bar/ Restaurant ,12037 E. Hwy 20,"998-3243 French cuisine, cocktails seasonal hrs.",Clear Lake,CA,(MW),1990,Restaurants & Cafes,,,(707) area code,4/25/2023 9:36pm
265,Zander Travel Service ,"2300 Clayton Rd. #570, ",682-1400,Concord,CA,(IGTA),1990,Travel/Tour Operators,,,(415) area code,4/25/2023 9:36pm
266,MCC Diablo Valley,2253 Concord Blvd. ,"827-2960/TDD 827-0716 worship Sun 10am, Wed 7pm",Concord,CA,(MCC),1990,Religious Organizations,,,(415) area code,4/25/2023 9:36pm
267,"Adult Bookstore, The",2298 Monument ,Pleasant Hill 680-9806,Concord,CA,,1990,Erotica/Adult Groups,,,(415) area code,4/25/2023 9:36pm
269,Lions Den,719 W. 19th St. ,645-3830 noon-2am,Costa Mesa,CA,"(MW),(D),(S),(YC)",1990,Bars,,,(714) area code,4/25/2023 9:36pm
268,New Directions Travel Company,2435 E. Coast Hwy,675-5000,Corona Del Mar,CA,(IGTA),1990,Travel/Tour Operators,,,(714) area code,4/25/2023 9:36pm
270,Newport Station,1945 Placentia ,631-0031 Tues-Sat 9pm-2am clsd Sun/Mon,Costa Mesa,CA,"(*),(MW),(D),(V),(E),(S),(YC)",1990,Bars,,,(714) area code,4/25/2023 9:36pm
271,"Odyssey Travel, Inc",1219 Belfast Ave.,641-0542,Costa Mesa,CA,(IGTA),1990,Travel/Tour Operators,,,(714) area code,4/25/2023 9:36pm
273,MCC Ocean of Life,1259 Victoria St.,Unitarian Church,Costa Mesa,CA,(MCC),1990,Religious Organizations,,,(714) area code,4/25/2023 9:36pm
272,MCC Ocean of Life,148 E. 22nd St.,840-8501 worship Sun 7pm at ,Costa Mesa,CA,(MCC),1990,Religious Organizations,,,(714) area code,4/25/2023 9:36pm
277,Silver Fox,10095 Saich Way,255-3673 2pm-2am,Cupertino,CA,"(D),(S),(NH)",1990,Bars,,,(408) area code,4/25/2023 9:36pm
279,Gay/Lesbian Association of Davis,433 Russell ,753-2090 (tape) call for meeting times and social events,Davis,CA,,1990,Info Lines & Services,,,(916) area code,4/25/2023 9:36pm
280,Cafe'Roma,231 E. St. ,756-1615 coffee & pastries popular student hangout,Davis,CA,,1990,Restaurants & Cafes,,,(916) area code,4/25/2023 9:36pm
285,Panchali's,831 S. Escondido Blvd,747-5250 noon-2am,Escondido,CA,"(MW),(D),(NH),(F)",1990,Bars,,,(619) area code,4/25/2023 9:36pm
284,Sugar Shack,4104 N. Arden Dr.,575-9534 nooon-2am,El Monte,CA,"(MX),(BW)",1990,Bars,,,(818) area code,4/25/2023 9:36pm
286,'F' Street Bookstore,237 E. Grand ,480-6031,Escondido,CA,,1990,Erotica/Adult Groups,,,(619) area code,4/25/2023 9:36pm
287,Video Specialties ,2320 S. Escondido Blvd.,745-6697,Escondido,CA,,1990,Erotica/Adult Groups,,,(619) area code,4/25/2023 9:36pm
293,Jug Handle Beach B&B,32980 Gibney Lane,"964-1415 B&B, 4units no pets",Fort Bragg,CA,"(MW),(MX)",1990,Accommodations,,,(707) area code,4/25/2023 9:36pm
295,Community Link Inc. ,1130 N. Wishon ,"264-6973 community center, call for drop-in hours ",Fresno,CA,,1990,Info Lines & Services,,,(209) area code,4/25/2023 9:36pm
298,C's ,2250 N. Weber,237-4355,Fresno,CA,"(*),(MW),(D),(NH)",1990,Bars,,,(209) area code,4/25/2023 9:36pm
297,Serenity Fellowship(AA),1759 Fulton #21,call Community Link for info,Fresno,CA,,1990,Info Lines & Services,,,(209) area code,4/25/2023 9:36pm
301,Metro Station ,1445 'F' St. ,237-9540 4pm-midnight Tues-Sat,Fresno,CA,(MW),1990,Restaurants & Cafes,,,(209) area code,4/25/2023 9:36pm
302,Olive Tower Cafe,936 E. Olive Ave.,"485-5100 cafe food, 7pm-3am Mon, Tues, til 9pm Wed-Sat, til 2am Sun",Fresno,CA,,1990,Restaurants & Cafes,,,(209) area code,4/25/2023 9:36pm
299,Fresno Express,708 N. Blackstone 233-1791,,Fresno,CA,"(*),(D),(V),(S)",1990,Bars,,,(209) area code,4/25/2023 9:36pm
300,Red Lantern,4618 E. Belmont St.,251-5898 2pm-2am,Fresno,CA,"(*),(MW),(NH)",1990,Bars,,,(209) area code,4/25/2023 9:36pm
