ID2,title,amenityfeatures,description,streetaddress,unclear_address,city,state,type,unclear type or question,notes,Year,Last Modified
3418,Atlantic House Hotel ,"(*),(M),(D)",(The Big Room) 487-3821 9pm-1am,4 Masonic Pl.,,Provincetown,MA,Bars,,,1996,6/6/2023 3:05pm
1040,Motorwerks ,"(M),(NH),(L)",864-7208 noon-2am,4 Valencia St. ,,San Francisco,CA,Bars,,,1996,4/25/2023 9:20pm
2357,Sideout ,"(*),(GF),(F),(E),(WC)",822-0082 noon-2am,4-1330 Kuhio Hwy.,,"Kapaa, Kauai",HI,Bars,,,1996,4/25/2023 9:20pm
1584,Norwich Book & Video ,,887-5058,5 Falls Ave.,,Norwich,CT,Erotica,,,1996,4/25/2023 9:20pm
5492,The Arcade ,"(*),(M),(D),(A),(K),(S),(YC),(WC)","722-5656 4pm-2:30am, til 3am Fri",5 Liberty St. ,,Charleston,SC,Bars,,,1996,4/25/2023 9:20pm
4030,Stage Left ,(*),"828-4444 5:30pm-2am, from 4:30pm Sun; also full bar",5 Livingston Ave.,,New Brunswick,NJ,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
4832,Why Not Café,"(M),(D),(S)","8:30pm-1am, til 2:30am Fri-Sat, unverified '96",5 N. Murray St.,,Springfield,OH,Bars,,,1996,4/25/2023 9:20pm
2452,Lava Hot Springs Inn,"(GF),(WC)","776-5830 full brkfst, hot tubs, mineral pool",5 Portneuf Ave.,,Lava Hot Springs,ID,,,,1996,4/25/2023 9:20pm
3709,Independence Place,"(MW),(D),(S)","334-2939 9pm-1am, from 7pm Fri-Sat, clsd Sun, shows on Sat ",5 S. Henderson St.,,Cape Girardeau,MO,Bars,,,1996,4/25/2023 9:20pm
3801,Magnolia's ,"(*),(M),(F),(S),(WC)","652-6500 5pm-3am, dinner nightly",5 S. Vandeventer ,,St. Louis,MO,Bars,,,1996,4/25/2023 9:20pm
3135,Treasure Chest ,,873-7411,5 Sanger ,,Waterville,ME,Erotica,,,1996,4/25/2023 9:20pm
3411,Victoria House ,(MW),487-4455 ,5 Standish St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
3403,Shiremax Inn,(M),487-1233; also 2 apts.,5 Tremont St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
5287,Karla's ,(E),"862-2612 lunch, dinner & late night brkfst; also full bar",5 W. Mechanic St.,,New Hope,PA,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
3379,Mayflower Apartments & Cottages ,(GF),487-1916 ,6 Bangs St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
6486,Condado Inn ,"(*),(MW)",Condado 724-7145 guesthouse w/ terrace restaurant & lounge ,6 Condado Ave.,,San Juan,PR,Accommodations,,,1996,6/6/2023 4:27pm
3357,Dexter's Inn,(MW),487-1911,6 Conwell St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
3336,Ampersand Guesthouse,(M),487-0959 mid-19th century Greek Revival architecture ,6 Cottage St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
6106,Casablanca ,"(MW),(E),(WC)","648-2040 5pm-2am, 11am-midnight Sun, clsd Mon, innovative American; also full bar ",6 E. Grace St.,,Richmond,VA,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
3361,Elliot House ,,"487-4029, B&B, full brkfst, central location, priv. gardens",6 Gosnold St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
212,Maple Leaf Inn,(GF),"253-6876/(800)372-6542 restored Victorian, full brkfst, hot tubs",6 Kings Hwy.,,Eureka Springs,AR,Accommodations,,,1996,4/25/2023 9:20pm
3114,The Blackstones,"(M),(NH),(WC)",775-2885 4pm-1am,6 Pine St.,,Portland,ME,Bars,,,1996,4/25/2023 9:20pm
1972,Inn Exile ,"(M),(K),(V)","582-4144 3pm-2am, til midnight Sun, movie night Sun","6 S. ""J"" St. ",,Lake Worth,FL,Bars,,,1996,4/25/2023 9:20pm
3787,Bacchus ,"(M),(E),(WC)","531-1109 5pm-1:30am, clsd Sun ",6 S. Sarah ,,St. Louis,MO,Bars,,,1996,4/25/2023 9:20pm
3096,Leisure Inn,(GF),"646-2737 seasonal, B&B guestrooms & apts w/ the quiet charm of old New England",6 School St.,,Ogunquit,ME,Accommodations,,,1996,4/25/2023 9:20pm
3404,Six Webster Place,"(*),(MW)","487-2266/ (800) 693-2783 1750s B&B, patio",6 Webster Pl.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
3351,Chicago House ,"(*),(M)",487-0537,6 Winslow St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
4059,Woolverton Inn ,"(GF),(WC)",397-0802 full brkfst wknds ,6 Woolverton Rd.,,Stockton,NJ,Accommodations,,,1996,4/25/2023 9:20pm
3371,Heritage House ,(MW),487-3692 ,7 Center St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
3375,Lady Jane's Inn,(W),487-3387,7 Central St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
1260,Café Claude ,"(*),(E)",392-3505 as close to Paris as you can get in SF,7 Claude ,,San Francisco,CA,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
3435,Napi's ,(WC),487-1145 ,7 Freeman St. ,,Provincetown,MA,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
3354,Coat of Arms Guest House,"(*),(M)","487-0816 seasonal, mid-Victorian house, located in the heart of Provincetown ",7 Johnson St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
3248,The Venus de Milo ,"(MW),(D)","421-9595 9pm-2am, gay Wed only",7 Landsowne St.,,Boston,MA,Bars,,,1996,4/25/2023 9:20pm
206,Arbour Glen B&B Victorian Inn,(MW),"253-9010/(800)515-4536 historic Victorian home, full brkfst",7 Lema ,,Eureka Springs,AR,Accommodations,,,1996,4/25/2023 9:20pm
41,Neimans,"(MW),(D),(S),(PC)",433-3262 9pm-?,7 S. Joachim St.,,Mobile,AL,Bars,,,1996,4/25/2023 9:20pm
3413,Watership Inn ,"(*),(MW)",487-0094/ (800) 330-9413 ,7 Winthrop St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
3390,Roomers ,(M),487-3532 seasonal,8 Carver St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
4306,Pieces ,"(M),(NH),(V)",(6th Ave) 929-9291 2pm-4am,8 Christopher St.,,New York City,NY,Bars,,,1996,6/6/2023 4:43pm
3352,Christopher Inn ,"(M),(SW)",487-1920,8 Dyer St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
3545,Taylors ,"(GF),(F),(E)","454-4422 11am-2am, til 4am Fri-Sat, from 4pm Sun",8 Ionia ,,Grand Rapids,MI,Bars,,,1996,4/25/2023 9:20pm
3407,Swanberry Inn ,(MW),487-4242/ (800) 847-7926 ,8 Johnson St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
5522,The Castle,"(*),(MW),(D),(S),(V),(YC),(PC),(WC)","235-9949 10pm-4am, clsd Mon-Wed",8 Le Grand Blvd.,,Greenville,SC,Bars,,,1996,4/25/2023 9:20pm
3139,William Page Inn B&B,(GF),"626-1506/ (800) 364-4160 elegantly renovated 1908 home in Historic District, full brkfst ",8 Martin St.,,Annapolis,MD,Accommodations,,,1996,4/25/2023 9:20pm
3611,Northland Gay Men's Center,,722-8585,8 N. 2nd Ave. E. Ste. 309,,Duluth,MN,Info Lines & Services,,,1996,4/25/2023 9:20pm
1591,Choices ,"(M),(D),(E)",949-9380 7pm-1am,8 North Turnpike Rd.,,Wallingford,CT,Bars,,,1996,4/25/2023 9:20pm
15,Casey's Gym ,(GF),"Hwy. 280, Mountain Brook 870-1779 6am-9pm, til 6pm Sat, noon-6pm Sun",8 Office Park Cir.,,Birmingham,AL,Gyms & Health Clubs,,,1996,6/6/2023 4:47pm
4046,Edwards Travel Service ,,924-4443/ (800) 669-9692,8 South Tulane St.,,Princeton,NJ,Travel/Tour Operators,,,1996,4/25/2023 9:20pm
5490,Charleston Columns,(MW),722-7341 intimate & hospital antebellum lodging in the city's historic district ,8 Vanderhorst St.,,Charleston,SC,Accommodations,,,1996,4/25/2023 9:20pm
5290,Wildflowers ,(BYOB),"862-2241 noon-10pm, outdoor dining, seasonal",8 W. Mechanic St.,,New Hope,PA,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
3809,Sunshine Inn ,,"367-1413, clsd Mon, vegetarian ",8-1/2 S. Euclid Ave.,,St. Louis,MO,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
3362,Elm Guest House ,(M),"487-0793 seasonal, newly restored & decorated sea captain's home built in the late 1800s",9 Johnson St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
1582,B.W. Travel,(IGTA),852-0200,9 Mott Ave. ,,Norwalk,CT,Travel/Tour Operators,,,1996,4/25/2023 9:20pm
6048,Sea Gate B&B,(GF),"331-2206 nr. beach on a quiet, tree-lined street, full brkfst, afternoon tea",9 Tazewell Ave.,,Cape Charles,VA,Accommodations,,,1996,4/25/2023 9:20pm
1574,Frank's Place,"(MW),(D),(E),(WC)","443-8883 4pm-1am, til 2am Fri-Sat, huge patio",9 Tilley St.,,New London,CT,Bars,,,1996,4/25/2023 9:20pm
6116,The Stag,"(MW),(NH)","982-1668 2pm-2am, from 7pm Sun-Mon",9 W. Salem Ave.,,Roanoke,VA,Bars,,,1996,4/25/2023 9:20pm
3367,Gifford House Inn & Dance Club,,"487-0688/(800) 434-0130 (800#) seasonal, inn w/ onsite dance club, lounge & cabaret ",9-11 Carver St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
3278,Club 9-11,"(MW),(NH),(D),(WC)",884-9533 4pm-1am,9-11 Williams St.,,Chelsea,MA,Bars,,,1996,4/25/2023 9:20pm
4205,Fire Island Pines ,(M),Fire Island Pines 597-6767 ,9-B Ocean Walk,,Sayville,NY,Accommodations,,,1996,6/6/2023 4:48pm
1726,Club Washington ,(PC),(upstairs) 488-7317 24hrs,20 O St. SE,,Washington,DC,Men's Clubs,,,1996,6/6/2023 4:51pm
219,Center Street Bar & Grille,"(GF),(D),(F),(E)","253-8102 5pm-2am, clsd Sun",10 Center St.,,Eureka Springs,AR,Bars,,,1996,4/25/2023 9:20pm
5458,Devilles ,"(W),(NH),(D),(F),(WC)","(Simmons Bldg.) 751-7166 opens 4pm, from 6pm wknds, clsd Mon",10 Davol Square,,Providence ,RI,Bars,,,1996,6/6/2023 4:52pm
4859,Sophies ,"(MW),(NH)",782-8080 4pm-2:30am,10 E. LaClede,,Youngstown ,OH,Bars,,,1996,4/25/2023 9:20pm
6346,Friends ,(GF),563-2231 11am-2am,10 E. Sherman Ave.,,Fort Atkinson,WI,Bars,,,1996,4/25/2023 9:20pm
216,Rock Cottage Gardens ,(MW),"253-8659/(800)624-6646 full brkfst, hot tub",10 Eugenia St.,,Eureka Springs,AR,Accommodations,,,1996,4/25/2023 9:20pm
3544,Diversions ,"(MW),(D),(F),(V),(WC)","451-3800 11am-2am, from 8pm wknds",10 Fountain St. NW,,Grand Rapids,MI,Bars,,,1996,4/25/2023 9:20pm
5258,Grim's Manor B&B,,"683-7089, 200 yr. old historical stone farmhouse & outbuildings on 5 secluded acres",10 Kern Rd.,,Kutztown,PA,Accommodations,,,1996,4/25/2023 9:20pm
1257,Sutter's Mill ,"(*),(M),(P),(F)","(off Bush St.) 788-8377 10am-10pm, lunch weekdays, popular cocktail hour ",10 Mark Ln.,,San Francisco,CA,Bars,,,1996,6/6/2023 4:53pm
220,Chelsea's Corner Café,(GF),"253-6723 11am-2am, clsd Sun",10 Mountain St.,,Eureka Springs,AR,Bars,,,1996,4/25/2023 9:20pm
3820,"Pages, Video & More ",,"361-3420, 9am-9pm, til 5pm Sun",10 N. Euclid Ave.,,St. Louis,MO,Bookstores/Retail Shops,,,1996,4/25/2023 9:20pm
4483,Widow Kendall B&B,(GF),"(800) 244-0925 year-round, hot tub, fireplace, garden",10 N. Ferry St.,,Schenectady,NY,Accommodations,,,1996,4/25/2023 9:20pm
3289,Gull Cottage ,"(MW),(WC)",Yarmouth Port 362-8747 guest house,"
10 Old Church St.",,Hyannis,MA,Accommodations,,,1996,6/6/2023 5:40pm
3320,Pearl Street Café,"(MW),(D)",584-7810 9pm-1am Wed only ,10 Pearl St. ,,Northampton,MA,Bars,,,1996,4/25/2023 9:20pm
3665,Q Monthly ,,321-7300,10 S. 5th St. #200 ,,Minneapolis,MN,Publications,,,1996,8/7/2023 3:39pm
3673,Esteban's ,(WC),"281-3201 11am-10pm, Mexican cuisine; also full bar",11 4th St. SE,,Rochester,MN,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
1631,Everybody's,"(MW),(D),(MRC-AF),(AYOR)",(upstairs) opens 10pm Wed-Sat,11 E. 4th St.,,Wilmington,DE,Bars,,,1996,6/6/2023 5:40pm
4523,Scandals ,"(MW),(D),(A),(S),(V),(WC)","252-2838 10pm-3am Th-Sat, clsd Sun-Wed; also Getaways & Cahoots bars Wed, restaurant Wed-Sat 6pm-midnight",11 Grove St.,,Asheville ,NC,Bars,,,1996,4/25/2023 9:20pm
813,House of A Thousand Flowers,(GF),"632-5571 country B&B overlooking the Russian River, full brkfst ",11 Mosswood,,Cazadero,CA,Accommodations,,,1996,6/6/2023 5:41pm
5413,Red Star,"(*),(M),(D),(F),(OC)","375-4116 5pm-2am, from 8pm Tue, clsd Mon",11 S. 10th St.,,Reading,PA,Bars,,,1996,4/25/2023 9:20pm
3819,Our World Too ,,"533-5322, 10am-9:30pm, noon-8pm Sun, lesbigay",11 S. Vanderventer,,St. Louis,MO,Bookstores/Retail Shops,,,1996,4/25/2023 9:20pm
210,Gardener's Cottage,(GF),"c/o, 253-9111/(800)833-3394 private cottage on wooded site, seasonal, hot tub",11 Singleton,,Eureka Springs,AR,Accommodations,,,1996,4/25/2023 9:20pm
217,Singleton House B&B,(GF),"253-9111/(800)833-3394 restored 1890s country Victorian home, nr. shops, full brkfst",11 Singleton,,Eureka Springs,AR,Accommodations,,,1996,4/25/2023 9:20pm
3370,Haven House ,"(*),(M),(SW)",487-3031 ,12 Carver St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
3410,Tucker Inn ,(GF),487-0381 seasonal ,12 Center St. ,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
3409,Trade Winds,(M),487-0138 ,12 Johnson St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
3835,Ms. Kitty's Adult Store ,,586-6989,12 N. Wilson ,,Bozeman,MT,Erotica,,,1996,4/25/2023 9:20pm
3990,Brass Rail Bar & Grill ,"(*),(M),(NH),(E),(S)",348-0192 24hrs,12 S. Mt. Vernon Ave.,,Atlantic City,NJ,Bars,,,1996,4/25/2023 9:20pm
4311,Sound Factory ,"(GF),(D)","206-7770, 206-7772 10pm-4am, clsd Mon-Wed ",12 W. 21st St.,,Greenwich Village/ Chelsea,NY,Bars,,,1996,4/25/2023 9:20pm
3340,Beaconlite Guesthouse,(MW),487-9603 'home away from home' comfort & service,12 Winthrop St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
4269,Abingdon B&B,(MW),(at W. 12th) 243-5384,13 8th Ave.,,Greenwich Village/ Chelsea,NY,Accommodations,,,1996,5/13/2023 10:16pm
3101,The Club,"(*),(M),(D),(F),(V)","646-6655 4pm-1am, seasonal",13 Main St.,,Ogunquit,ME,Bars,,,1996,4/25/2023 9:20pm
5124,The City Nightclub,"(*),(MW),(D),(18+)","224-2489 10pm-2am, til 4am Fri-Sat, clsd Mon-Tue, no alcohol",13 NW 13th Ave.,,Portland,OR,Bars,,,1996,4/25/2023 9:20pm
3279,Eclipse ,"(MW),(NH),(D)","534-3065 4pm-2am, from 2pm wknds, patio",13 View St.,,Chicopee,MA,Bars,,,1996,4/25/2023 9:20pm
4426,Centennial House ,"(GF),(SW)","324-9414 weathered single house built in 1876, just steps from village shops & Atlantic beaches, full brkfst ",13 Woods Ln.,,East Hampton ,NY,Accommodations,,,1996,6/6/2023 5:42pm
3447,Provincetown Magazine ,(GF),02657 487-1000,14 Center St.,,Provincetown,MA,Publications,,,1996,6/6/2023 5:43pm
3388,Revere Guesthouse ,(MW),"487-2292 restored captain's home of the Federal period, circa 1820",14 Court St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
4633,The Taylor House Inn ,(GF),"763-7581/ (800) 382-9982 romantic turn-of-the-century house built in 1908 by a local merchant, full brkfst ",14 N. 7th St.,,Wilmington,NC,Accommodations,,,1996,4/25/2023 9:20pm
2699,Indiana News,,"636-7680, 6am-7pm, til 6pm wknds",14 W. Maryland ,,Indianapolis,IN,Bookstores/Retail Shops,,,1996,4/25/2023 9:20pm
3368,Halle's ,(W),487-6310 in the quiet west end,14 W. Vine St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
6375,The United,,"255-8582, 9am-5pm Mon-Fri, drop-in center, library, counseling service (call ahead) ",14 West Mifflin St. Ste. 103,,Madison,WI,Info Lines & Services,,,1996,4/25/2023 9:20pm
3323,Haymarket Café,,"586-9969, 9am-midnight, clsd Mon",15 Amber Ln.,,Northampton,MA,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
3328,Airborn for Men ,,"(Rte. 9) 366-3807, military-themed & casual clothes, erotica ",15 Belmont St.,,Northborough ,MA,Bookstores/Retail Shops,,,1996,6/6/2023 5:45pm
6010,Daily Planet,,"862-9647, 11:30am-10:30pm, plenty veggie, eclectic ethnic; also full bar",15 Center St.,,Burlington,VT,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
4343,Oscar Wilde Memorial Bookshop,,"255-8097, 11:30am-7:30pm, lesbigay books",15 Christopher St. ,,Greenwich Village/ Chelsea,NY,Bookstores/Retail Shops,,,1996,4/25/2023 9:20pm
3121,Walter Café,,"871-9258, 11am-9pm ",15 Exchange St.,,Portland,ME,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
1604,Beach House ,"(GF),(SW)",227-7074/ (800) 283-4667 B&B open year round,15 Hickman St.,,Rehoboth Beach,DE,Accommodations,,,1996,4/25/2023 9:20pm
3232,The Avalon ,"(*),(M),(D),(YC)",262-2424 gay Sun only,15 Lansdowne St.,,Boston,MA,Bars,,,1996,4/25/2023 9:20pm
2789,Mini Cinema ,,955-9756,15 N. 5th St.,,Fort Dodge,IA,Erotica,,,1996,4/25/2023 9:20pm
2794,Prairie Lights Bookstore ,(WC),337-2681 ,15 S. Dubuque St.,,Iowa City,IA,Bookstores/Retail Shops,,,1996,4/25/2023 9:20pm
3753,Current News ,,561-2679,16 E. 39th St.,,Kansas City,MO,Publications,,,1996,4/25/2023 9:20pm
6006,Allyn House B&B,(GF),863-0379 full,16 Orchard Ter.,,Burlington,VT,Accommodations,,,1996,4/25/2023 9:20pm
3800,Loading Zone ,"(*),(M),(V)","361-4119 2pm-1:30am, clsd Sun ",16 S. Euclid ,,St. Louis,MO,Bars,,,1996,4/25/2023 9:20pm
4048,Earth Spirit ,,"842-3855, 10am-6pm, til 8pm Fri, noon-5pm Sun, new age books",16 W. Front St.,,Red Bank,NJ,Bookstores/Retail Shops,,,1996,4/25/2023 9:20pm
3350,Chancellor Inn ,(M),487-9423 ,17 Center St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
4771,Tradewinds II,"(M),(D),(WC)","461-4110 4pm-2:30am, clsd Mon, 3 bars",17 E. Chestnut,,Columbus,OH,Bars,,,1996,4/25/2023 9:20pm
2321,Faces II ,"(MW),(NH),(F),(WC)","233-3520 11am-3am, patio",17 Lincoln St.,,Savannah,GA,Bars,,,1996,4/25/2023 9:20pm
4285,Champs ,"(*),(M),(S)",633-1717 4pm-4am,17 W. 19th St.,,Greenwich Village/ Chelsea,NY,Bars,,,1996,4/25/2023 9:20pm
3149,Chez Claire ,(GF),685-4666 4-story townhouse B&B in historical area,17 W. Chase St.,,Baltimore,MD,Accommodations,,,1996,4/25/2023 9:20pm
4168,North Street Bookshop,,785-9606,17 Washington Ave. Endicott,,Binghamton,NY,Erotica,,,1996,4/25/2023 9:20pm
1681,La Cage Aux Follies,"(*),(M),(S),(V),(YC)","554-3615 7pm-2am, til 3am Fri-Sat, nude go-go boys",18 'O' St. SE,,Washington,DC,Bars,,,1996,4/25/2023 9:20pm
3158,The Custom House Saloon,"(M),(D),(S),(H)",347-7556 call for events,18 Custom House Ave.,,Baltimore,MD,Bars,,,1996,4/25/2023 9:20pm
1311,Club Revival ,"(MW),(D),(E)",730-7383,18 E. Ortega,,Santa Barbara,CA,Bars,,,1996,4/25/2023 9:20pm
1846,The University Club,"(MW),(D),(S)","378-6814 5pm-2am, til 4am Fri-Sat, patio",18 E. University Ave.,,Gainesville,FL,Bars,,,1996,4/25/2023 9:20pm
