ID2,title,streetaddress,unclear_address,description,city,state,amenityfeatures,type,unclear type or question,notes,Year,Last Modified
126,Cattleman's Exchange,138 W. Camelback Rd.,,"266-0875 10am-1am, upstairs 'Hayloft' bar",Phoenix,AZ,(OC),Bars,,,1993,4/25/2023 9:31pm
127,Charlie's,727 W. Camelback Rd.,,"265-0224 noon-1am, Sun Brunch, patio",Phoenix,AZ,"(*),(CW)",Bars,,,1993,4/25/2023 9:31pm
128,Club 155 West,155 W. Camelback Rd.,,274-8505 4pm-1am,Phoenix,AZ,"(MW),(D)",Bars,,,1993,4/25/2023 9:31pm
129,Country Club Bar & Grill,4428 N. 7th Ave.,,"264-4553 11am-1am, patio",Phoenix,AZ,"(D),(F),(LV)",Bars,,,1993,4/25/2023 9:31pm
130,Cruisin' Central,1011 N. Central Ave.,,253-3376 6am-1am,Phoenix,AZ,"(OC),(H),(S)",Bars,,,1993,4/25/2023 9:31pm
132,Foster's,4343 N. 7th Ave.,,263-8313 4pm-1am,Phoenix,AZ,"(MW),(D),(YC)",Bars,,,1993,4/25/2023 9:31pm
133,G.B.'s Rendezvous,4132 E. McDowell Rd.,,275-3509 noon-1am,Phoenix,AZ,"(D),(S)",Bars,,,1993,4/25/2023 9:31pm
134,J.C.'s Fun One Lounge,"5542 N. 43ed Ave., Glendale",,939-0528 11am-1am,Phoenix,AZ,"(MW),(D),(E)",Bars,,,1993,4/25/2023 9:31pm
135,Marlys's,15615 N. Cave Creek Rd.,,867-2463 3pm-1am,Phoenix,AZ,"(MW),(D),(CW),(E)",Bars,,,1993,4/25/2023 9:31pm
136,Nasty Habits,3108 E. McDowell Rd.,,"267-8707 noon-1am, men welcome",Phoenix,AZ,"(W),(D),(E),(V)",Bars,,,1993,4/25/2023 9:31pm
137,Nu Towne,5002 E. Van Buren,,267-9959 10am-1am popular Sun & Tues,Phoenix,AZ,(YC),Bars,,,1993,4/25/2023 9:31pm
138,Preston's,4102 E. Thomas Rd.,,"224-5778 noon-1am, til 3am Fri & Sat",Phoenix,AZ,"(*),(MW),(D),(AH),(F)",Bars,,,1993,4/25/2023 9:31pm
139,'Roun' Back,2107 W. Camelback,,242-6077 noon-1am,Phoenix,AZ,"(E),(NH)",Bars,,,1993,4/25/2023 9:31pm
140,Three-O-Seven Lounge,222 E. Roosevelt,,"252-0001 6am-1am, Sun Brunch",Phoenix,AZ,"(MW),(S)",Bars,,,1993,4/25/2023 9:31pm
141,Trax,1724 E. McDowell,,"254-0231 2pm-1am, til 3:30am Fri & Sat, HiNRG dance bar",Phoenix,AZ,"(*),(D),(L),(LV),(YC),(AH)",Bars,,,1993,4/25/2023 9:31pm
142,Winks,5707 N. 7th St.,,"265-9002 11am-1am, piano bar, lunch & Sun Brunch",Phoenix,AZ,"(*),(E),(F)",Bars,,,1993,4/25/2023 9:31pm
143,Dutch Market,401 E. Indian School,,"955-3600 11am-1am, til 4am Fri & Sat, full bar",Phoenix,AZ,"(*),(MW),(AH)",Bars,,,1993,4/25/2023 9:31pm
144,Ricks,2911 N. 16th St.,,"277-6100 9am-2pm, 5pm-3am, clsd Mon, home-style cooking",Phoenix,AZ,(MW),Restaurants & Cafes,,,1993,4/25/2023 9:31pm
145,Top of Central,8525 N. Central Ave.,,"861-2438 continental, clsd Sun",Phoenix,AZ,(MX),Restaurants & Cafes,,,1993,4/25/2023 9:31pm
146,Flex Complex,1517 S. Black Canyon Hwy.,,271-9011,Phoenix,AZ,"(PC),(SW)",Gyms/Health Clubs,,,1993,4/25/2023 9:31pm
147,Alternatives,4428 N. 19th Ave.,,274-9120 new age,Phoenix,AZ,,Bookstores/Retail Shops,,,1993,4/25/2023 9:31pm
148,Poisoned Pen,"7100 E. Main, Scottsdale",,947-2974 detective/mystery titles,Phoenix,AZ,,Bookstores/Retail Shops,,,1993,4/25/2023 9:31pm
149,Tuff Stuff,1714 E. McDowell Rd.,,"254-9651 leather shop 10am-6pm, til 3pm Sat, clsd Sun & Mon",Phoenix,AZ,,Bookstores/Retail Shops,,,1993,4/25/2023 9:31pm
150,Advantage Travel,"645 E. Missouri, Ste. 181",,230-2299,Phoenix,AZ,,Travel/Tour Operators,,,1993,4/25/2023 9:31pm
151,Compass Travel,4201 N. 16th St. Ste. 150,,266-5390,Phoenix,AZ,,Travel/Tour Operators,,,1993,4/25/2023 9:31pm
152,"FirsTravel, Ltd.",5150 N. 7th St.,,265-0666,Phoenix,AZ,(IGTA),Travel/Tour Operators,,,1993,4/25/2023 9:31pm
153,Travel Registry,3819 N. 3rd St.,,263-7761,Phoenix,AZ,(IGTA),Travel/Tour Operators,,,1993,4/25/2023 9:31pm
155,Casa de Cristo Evangelical Church,1029 E. Turney,,"265-2831, 10am & 6:30pm Sun",Phoenix,AZ,,Religious Organizations,,,1993,4/25/2023 9:31pm
158,MCC Gentle Shepherd,3425 E. Mountain View Rd.,,"996-7644, 10:30am Sun",Phoenix,AZ,,Religious Organizations,,,1993,4/25/2023 9:31pm
160,Oasis MCC,2405 E. Coronado,,11am Sun,Phoenix,AZ,,Religious Organizations,,,1993,4/25/2023 9:31pm
164,Book Cellar #2,2103 W. Camelback Rd.,,"249-9788, 24hrs",Phoenix,AZ,,Erotica,,,1993,4/25/2023 9:31pm
165,Castle Boutique,5501 E. Washington,,"231-9837, 24hrs",Phoenix,AZ,,Erotica,,,1993,4/25/2023 9:31pm
166,International Bookstore,3640 E. Thomas Rd.,,"955-2000, 24hrs",Phoenix,AZ,,Erotica,,,1993,4/25/2023 9:31pm
167,Modern World,"1812 E. Apache, Tempe",,"967-9052, 24hrs",Phoenix,AZ,,Erotica,,,1993,4/25/2023 9:31pm
168,Pleasure Palace,1524 E. Van Buren,,"262-9942, 24hrs",Phoenix,AZ,,Erotica,,,1993,4/25/2023 9:31pm
169,Zorba's Adult Book Shop,2924 N. Scottsdale Rd. Scottsdale,,"941-9891, 24hrs",Phoenix,AZ,,Erotica,,,1993,4/25/2023 9:31pm
176,Casa De Estrellas,389 Brewer Rd.,,"282-7786 full bkfst, shared baths",Sedona,AZ,,Accommodations,,,1993,4/25/2023 9:31pm
177,Oak Creek Owl Restaurant & Cocktail Room,329 Hwy. 179,,282-3532 continental,Sedona,AZ,(MX),Restaurants & Cafes,,,1993,4/25/2023 9:31pm
179,Changing Hands,414 S. Mill,,"966-0203, 10am-9pm",Tempe,AZ,,Bookstores/Retail Shops,,,1993,4/25/2023 9:31pm
185,Hacienda del Sol Guest Ranch Resort,5601 N. Hacienda del Sol Rd.,,299-1501 40 acre complex,Tucson,AZ,"(MX),(SW),(F)",Accommodations,,,1993,4/25/2023 9:31pm
186,"Sun Catcher B&B, The",105 N. Avenida Javalina,,"885-0883 4 acres, health club passes, full bkfst & hot tub",Tucson,AZ,"(MW),(N),(SW)",Accommodations,,,1993,4/25/2023 9:31pm
187,Tucson Old Pueblo B&B Resort,4210 N. Saranac Dr.,,"577-6018 2 1/2 acres, full bkfst, hot tub & patio",Tucson,AZ,"(MW),(IGTA),(SW)",Accommodations,,,1993,4/25/2023 9:31pm
188,Club 2520,2520 N. Oracle,,"882-5799 11am-1am, disco & CW dance bar, also quite lounge",Tucson,AZ,"(D),(CW)",Bars,,,1993,4/25/2023 9:31pm
189,Congress Tap Room,311 E. Congress,,(inside Hotel Congress) 622-8848 11am-1am,Tucson,AZ,"(MX),(NH),(OC)",Bars,,,1993,4/25/2023 9:31pm
190,"Fineline, The",101 W. Drachman,,882-4953 6pm-1am,Tucson,AZ,"(MW),(D)",Bars,,,1993,4/25/2023 9:31pm
192,hOURS,3455 E. Grant Rd.,,327-3390 noon-1am,Tucson,AZ,"(MW),(D),(NH)",Bars,,,1993,4/25/2023 9:31pm
193,It's About Time,616 N. 4th Ave.,,(IBT's) 616 N. 4th Ave. noon-1am,Tucson,AZ,"(*),(D),(L),(LV)",Bars,,,1993,4/25/2023 9:31pm
194,Joshua Tree/Back Pocket,2921 N. 1st St.,,"622-6233 noon-1am, quiet bar in back, patio w/ volleyball court",Tucson,AZ,"(*),(D),(F),(YC)",Bars,,,1993,4/25/2023 9:31pm
195,Rumorz,2222 N. Stone,,791-0309 noon-1am,Tucson,AZ,"(D),(V)",Bars,,,1993,4/25/2023 9:31pm
196,Venture-N,1239 N. 6th Ave.,,"882-8224 6am-1am, from 10am Sun",Tucson,AZ,"(L),(LV)",Bars,,,1993,4/25/2023 9:31pm
197,Antigone Books,600 N. 4th Ave.,,"792-3715, 10am-6pm",Tucson,AZ,,Bookstores/Retail Shops,,,1993,4/25/2023 9:31pm
198,Fantasy Travel,610 E. Knox Dr.,,293-2620,Tucson,AZ,,Travel/Tour Operators,,,1993,4/25/2023 9:31pm
199,Cornerstone Fellowship,2902 N. Geronimo,,"622-4626, 10:30am & 7pm Sun",Tucson,AZ,,Religious Organizations,,,1993,4/25/2023 9:31pm
200,MCC,3269 N. Mountain Ave.,,"292-9151, 10:45am & 6:30pm Sun, 7pm Wed",Tucson,AZ,,Religious Organizations,,,1993,4/25/2023 9:31pm
202,"Bookstore Southwest, The",5754 E. Speedway Blvd.,,790-1550,Tucson,AZ,,Erotica,,,1993,4/25/2023 9:31pm
203,Caesar's Book Store,2540 N. Oracle Rd.,,622-9479,Tucson,AZ,,Erotica,,,1993,4/25/2023 9:31pm
204,Speedway Books & Video,3660 E. Speedway Blvd.,,795-7467,Tucson,AZ,,Erotica,,,1993,4/25/2023 9:31pm
205,Tropicana Adult Bookstore & Hotel,617 W. Miracle Mile,,"622-2289, 24hrs",Tucson,AZ,,Erotica,,,1993,4/25/2023 9:31pm
210,Club 232,232 S. 4th Ave.,,783-9966 4pm-1am,Yuma,AZ,"(MW),(D),(NH)",Bars,,,1993,4/25/2023 9:31pm
211,Bargain Box,240 16th St.,,"782-6742, 24hrs",Yuma,AZ,,Erotica,,,1993,4/25/2023 9:31pm
213,Cedarberry Cottage B&B,3 Kings Hwy.,,"253-6115 priv. entrances & baths, full brkfst",Eureka Springs,AK,(MX),Accommodations,,,1993,4/25/2023 9:31pm
217,Harvest House,104 Wall St.,,"253-9363 B&B, full bkfst, priv. baths & entrances, non-smoking, year round",Eureka Springs,AK,"(*),(MX)",Accommodations,,,1993,4/25/2023 9:31pm
219,Center Street Bar & Grille,10 Center St.,,"253-8102 5pm-2am, clsd. Sun",Eureka Springs,AK,"(MX),(D),(E),(F)",Bars,,,1993,4/25/2023 9:31pm
220,Chelsea's Corner Cafe,10 Mountain St.,,"253-6723 restaurant 8am-9pm, bar noon-2am, clsd Sun",Eureka Springs,AK,(MX),Bars,,,1993,4/25/2023 9:31pm
221,Cafe Armagost,52 King Hwy,,"253-8075 excellent French/Creole gourmet, 5pm-10pm, Sun brunch",Eureka Springs,AK,"(*),(MX)",Restaurants & Cafes,,,1993,4/25/2023 9:31pm
222,MCC of the Living Spring,17 Elk St.,,"253-9337, 7pm Sun",Eureka Springs,AK,,Religious Organizations,,,1993,4/25/2023 9:31pm
226,Court Garden,305 Garrison Ave.,,"783-9822 5pm-5am, courtyard",Ft. Smith,AK,"(MW),(D),(S)",Bars,,,1993,4/25/2023 9:31pm
229,Our House Lounge & Restaurant,235 Broadway St.,,"624-6868 7pm-3am, shows monthly",Hot Springs,AK,"(*),(MW),(D),(F)",Bars,,,1993,4/25/2023 9:31pm
231,AA Gay/Lesbian,4401 Woodlawn,,"(Pulaski Hts. Presb. Church) 664-7303 (AA#)5pm Sun, 8pm Wed & Fri",Little Rock,AK,,Info Lines & Services,,,1993,4/25/2023 9:31pm
234,Little Rock Inn,601 Center St.,,376-8301,Little Rock,AK,"(MX),(SW)",Accommodations,,,1993,4/25/2023 9:31pm
235,Back Street,1021 Jessie Rd.,,"666-6900 3 bars, opens 9pm",Little Rock,AK,"(MW),(D),(PC),(AH),(S)",Bars,,,1993,4/25/2023 9:31pm
237,Discovery III,1021 Jessie Rd.,,664-4784 from 9pm Wed-Sun,Little Rock,AK,"(*),(D),(PC),(AH),(S)",Bars,,,1993,4/25/2023 9:31pm
239,Twisted Entertainment,7201 Asher Ave.,,"568-4262 gift shop, 11am-11pm, clsd Tues",Little Rock,AK,,Bookstores/Retail Shops,,,1993,4/25/2023 9:31pm
241,MCC of the Rock,2017 Chandler ,,"753-7075, 11am Sun (North Little Rock)",Little Rock,AK,,Religious Organizations,,,1993,4/25/2023 9:31pm
242,Unitarian-Universalist Church,1818 Resevoir Rd.,,"225-1503, 11am Sun",Little Rock,AK,,Religious Organizations,,,1993,4/25/2023 9:31pm
243,United Arcade,4717 65th St.,,"562-9689, 24hrs",Little Rock,AK,,Erotica,,,1993,4/25/2023 9:31pm
252,Travel with Hal,2227 Atlanta St.,,537-1553,Anaheim,CA,(IGTA),Travel/Tour Operators,,,1993,4/25/2023 9:31pm
258,Casablanca Club,1030 20th St.,,324-1384 6:30pm-2am,Bakersfield,CA,"(MW),(D),(NH)",Bars,,,1993,4/25/2023 9:31pm
259,"Cellar, The",1927 'K' St.,,322-1229 4pm-2am,Bakersfield,CA,"(*),(MW),(D),(YC)",Bars,,,1993,4/25/2023 9:31pm
261,MCC of the Harvest,2421 Alta Vista Dr.,,"327-3724, 7pm Sun",Bakersfield,CA,,Religious Organizations,,,1993,4/25/2023 9:31pm
262,Deja Vu,1524 Golden State Hwy.,,322-7300,Bakersfield,CA,(E),Erotica,,,1993,4/25/2023 9:31pm
263,Wildcat Books,2620 Chester,,324-4243,Bakersfield,CA,,Erotica,,,1993,4/25/2023 9:31pm
274,Pacific Center,2712 Telegraph Ave.,,"548-8283 support groups & counseling service (548-2192), 10am-10pm, noon-4pm Sat, 6pm-9pm Sun",Berkeley,CA,,Info Lines & Services,,,1993,4/25/2023 9:31pm
276,Thunder Bay,1 Bolivar Dr.,,843-5582 opens 9pm,Berkeley,CA,"(MX),(D),(E),(F),(AH),(YC),(S)",Bars,,,1993,4/25/2023 9:31pm
278,Betty's To Go,1807 4th St.,,"548-9494 6:30am-5pm, 8am-4pm Sun",Berkeley,CA,"(*),(MX)",Restaurants & Cafes,,,1993,4/25/2023 9:31pm
279,Brick Hut,3222 Adeline St.,,"658-5555 7:30am-2pm, 8:30am-3pm weekends, popular for breakfast",Berkeley,CA,"(*),(MX)",Restaurants & Cafes,,,1993,4/25/2023 9:31pm
280,Cafe Sorento,2510 Channing,,"548-8220 7am-7pm, 9am-4pm Sat & Sun",Berkeley,CA,(MX),Restaurants & Cafes,,,1993,4/25/2023 9:31pm
281,Berkeley Steam Works,2107 4th St.,,"845-8992 24hrs, call for recorded info (see ad in S.F.)",Berkeley,CA,(PC),Gyms/Health Clubs,,,1993,4/25/2023 9:31pm
282,Cody's,2454 Telegraph Ave.,,845-7852,Berkeley,CA,(*),Bookstores/Retail Shops,,,1993,4/25/2023 9:31pm
283,MCC New Life,1823 9th St.,,"843-9355, 12:30pm Sun, wheelchair accessible",Berkeley,CA,,Religious Organizations,,,1993,4/25/2023 9:31pm
286,Eagles' Nest,41675 Big Bear Blvd.,,"866-6465 B&B, year round, whirlpool spas",Big Bear,CA,,Accommodations,,,1993,4/25/2023 9:31pm
290,Ozz Supper Club,6231 Manchester Ave.,,522-1542 call for details,Buena Park,CA,"(*),(MW),(D),(E),(F),(S)",Bars,,,1993,4/25/2023 9:31pm
294,Franco's Norma Jean Bar,10639 Merritt St.,,"633-2090/6129 Latino, dancing til 2am Fri & Sat only, clsd Mon & Tues, call for restaurant hrs",Castroville,CA,"(D),(F),(S)",Bars,,,1993,4/25/2023 9:31pm
296,900 Cherry St.,900 Cherry St.,,893-0900 noon-2am,Chico,CA,"(*),(MW),(D)",Bars,,,1993,4/25/2023 9:31pm
298,'F' St. Bookstore,1141 3rd Ave.,,"585-3314, 24hrs",Chula Vista,CA,,Erotica,,,1993,4/25/2023 9:31pm
299,Blue Fish Cove Resort,10573 E. Hwy. 20,,"998-1769 year round, lakeside, boat facilities",Clearlake,CA,(MX),Accommodations,,,1993,4/25/2023 9:31pm
300,Lake Place Resort,"9515 Harbor Dr., Glenhaven",,"998-3331 1-2rm units w/kitchens, hot tub, fishing pier, boating, year round",Clearlake,CA,"(*),(MX),(SW)",Accommodations,,,1993,4/25/2023 9:31pm
301,Thackery's Marina Inn,"10165 Hwy. 20, Clearlake Oaks",,"998-9501 cabins, boat marina, priv. beach",Clearlake,CA,(MX),Accommodations,,,1993,4/25/2023 9:31pm
302,"Flamingo Bar & Grille, The","10195 E. Hwy. 20, Clearlake Oaks",,998-1153 10am-2am,Clearlake,CA,"(MX),(D),(E),(F)",Bars,,,1993,4/25/2023 9:31pm
308,MCC Diablo Valley,2253 Concord Blvd.,,"827-2960/TDD 827-0716, 10am Sun",Concord,CA,,Religious Organizations,,,1993,4/25/2023 9:31pm
309,Pleasant Hill Adult Books & Videos,"2298 Monument, Pleasant Hill",,676-2962,Concord,CA,,Erotica,,,1993,4/25/2023 9:31pm
310,New Directions Travel Company,2435 E. Coast Hwy.,,675-5000/(800)222-5531,Corona Del Mar,CA,(IGTA),Travel/Tour Operators,,,1993,4/25/2023 9:31pm
311,Lion's Den,719 W. 19th St.,,645-3830 4pm-2am,Costa Mesa,CA,"(MW),(D),(YC)",Bars,,,1993,4/25/2023 9:31pm
312,Newport Station,1945 Placentia,,"631-0031 9pm-2am Tues, Wed, Th & Sat",Costa Mesa,CA,"(*),(MW),(D),(E),(V),(YC),(S)",Bars,,,1993,4/25/2023 9:31pm
313,Tin Lizzie,752 St. Clair,,"966-2029 noon-2am, from 2pm Sat & Sun",Costa Mesa,CA,(NH),Bars,,,1993,4/25/2023 9:31pm
314,MCC Ocean of Life,1259 Victoria St.,,"(Unitarian Church) 548-2955, 6:45pm Sun",Costa Mesa,CA,,Religious Organizations,,,1993,4/25/2023 9:31pm
317,Silver Fox,100095 Saich Way,,255-3673 2pm-2am,Cupertino,CA,"(MW),(NH),(S)",Bars,,,1993,4/25/2023 9:31pm
319,Cafe Roma,231 'E' St.,,"756-1615 coffee & pastries, popular student hangout, 7:30-midnight, from 8am Sat, til 11pm Sun",Davis,CA,"(*),(MX)",Restaurants & Cafes,,,1993,4/25/2023 9:31pm
320,'F' St. Bookstore,158 E. Main St.,,"447-0381, 24hrs",El Cajon,CA,,Erotica,,,1993,4/25/2023 9:31pm
324,Sugar Shack,4101 N. Arden Dr.,,575-9534 noon-2am,El Monte,CA,"(MX),(BW)",Bars,,,1993,4/25/2023 9:31pm
325,'F' Street Bookstore,237 E. Grand Ave.,,"480-6031, 24hrs",Escondido,CA,,Erotica,,,1993,4/25/2023 9:31pm
326,Video Specialties,2322 S. Escondido Blvd.,,"745-6697, 24hrs",Escondido,CA,,Erotica,,,1993,4/25/2023 9:31pm
330,Jug Handle Beach B&B,32980 Gibney Lane,,"964-1415 4 units, no pets",Fort Bragg,CA,(MX),Accommodations,,,1993,4/25/2023 9:31pm
