"title","amenityfeatures","description","streetaddress","type","city","state","unclear_address","Year","notes","full.address","lon","lat","geoAddress","status","ID"
"Berkley Park","Cruisy Area","","","Cruising Areas","Denver","CO","checked",1992,"",", CO",-105.047859,39.781303,"unclear_coded_by_hand","Found","1992-CO-1439"
"Cheesman Park","Cruisy Area","nr. pavilion","","Cruising Areas","Denver","CO","checked",1992,"",", CO",-104.964417,39.733468,"unclear_coded_by_hand","Found","1992-CO-1440"
"'The Point'","Cruisy Area","#NAME?","","Cruising Areas","Denver","CO","checked",1992,"",", CO",-105.055011,39.786541,"unclear_coded_by_hand","Found","1992-CO-1441"
"U. of D.","(AYOR),Cruisy Area","#NAME?","","Cruising Areas","Denver","CO","checked",1992,"",", CO",-104.99867,39.744095,"unclear_coded_by_hand","Found","1992-CO-1442"
"Tanrydoon","(MW),(IGTA)","P.O. Box 138-C, Montezuma Rte. 468-1956","","Accomodations","Dillon","CO","checked",1992,"",", CO",-105.89621,39.601363,"unclear_coded_by_hand","General Coordinates Used","1992-CO-1443"
"Main Mall","Cruisy Area","(days)","","Cruising Areas","Durango","CO","checked",1992,"",", CO",-107.881675,37.272956,"unclear_coded_by_hand","Found","1992-CO-1444"
"Narrow Gauge Tram Station","Cruisy Area","","","Cruising Areas","Durango","CO","checked",1992,"",", CO",-107.880067,37.27528,"unclear_coded_by_hand","General Coordinates Used","1992-CO-1445"
"Fort Collins Travel","","482-5555","333 W. Mountain Ave.","Travel & Tour Operators","Fort Collins","CO",NA,1992,"","333 W. Mountain Ave. ,  Fort Collins ,  CO",-105.082221,40.586715,"333 w mountain ave, fort collins, co 80521, usa","Geocoded","1992-CO-1446"
"Quincy's","(MW),(NH)","242-9633, gay after 8pm","609 Main St.","Bars","Grand Junction","CO",NA,1992,"","609 Main St. ,  Grand Junction ,  CO",-108.5623526,39.0670197,"609 main st, grand junction, co 81501, usa","Geocoded","1992-CO-1447"
"Hawthorne & Lincoln Parks","Cruisy Area","(Clsd midnight)","","Cruising Areas","Grand Junction","CO","checked",1992,"",", CO",-108.544832,39.075019,"unclear_coded_by_hand","Found","1992-CO-1448"
"Gay/Lesbian Group Service","","(at Human Sexuality Center? 351-2065 leave message on tape for referrals","","Info Lines & Services","Greeley","CO","checked",1992,"",", CO",-104.69446,40.40627,"unclear_coded_by_hand","Found","1992-CO-1449"
"Island Grove Park","Cruisy Area","","","Cruising Areas","Greeley","CO","checked",1992,"",", CO",-104.702579,40.438617,"unclear_coded_by_hand","Found","1992-CO-1450"
"MCC Pueblo","","P.O. Box 1918, 81002, 543-6460","","Religious Organization","Pueblo","CO","checked",1992,"",", CO",-104.609141,38.254447,"unclear_coded_by_hand","General Coordinates Used","1992-CO-1451"
"Mineral Palace Park","Cruisy Area","","","Cruising Areas","Pueblo","CO","checked",1992,"",", CO",-104.607067,38.28112,"unclear_coded_by_hand","Found","1992-CO-1452"
"Pueblo Mall","Cruisy Area","","","Cruising Areas","Pueblo","CO","checked",1992,"",", CO",-104.608073,38.302551,"unclear_coded_by_hand","Found","1992-CO-1453"
"Elk River Estates","(MX)","P.O. Box 5032, 80477, 879-7556, B & B, ski resort","","Accomodations","Steamboat Springs","CO","checked",1992,"",", CO",-106.831716,40.484977,"unclear_coded_by_hand","General Coordinates Used","1992-CO-1454"
"Mutz & Molly's","(MW)","P.O. Box 1384, 81658, 476-7148 B&B and condo, year round","","Accomodations","Vail","CO","checked",1992,"",", CO",-106.37808,39.643324,"unclear_coded_by_hand","General Coordinates Used","1992-CO-1455"
"Sweet Basil","(MX)","476-0125 11:30am-2:30pm lunch, 5:30-10:00pm dinner","193 E. Gore Creek Dr.","Restaurants & Cafes","Vail","CO",NA,1992,"","193 E. Gore Creek Dr. ,  Vail ,  CO",-106.3746646,39.6408609,"193 gore creek dr, vail, co 81657, usa","Geocoded","1992-CO-1456"
"Silverado II","(MX)","726-5753, condo ski resort","490 Kings Crossing Rd.","Accomodations","Winter Park","CO",NA,1992,"","490 Kings Crossing Rd. ,  Winter Park ,  CO",-105.7894962,39.9182286,"490 kings crossing rd, winter park, co 80482, usa","Geocoded","1992-CO-1457"
"Dougal's","(MX)","(at Silverado II) 726-8761 dinner 5pm-10pm","","Restaurants & Cafes","Winter Park","CO","checked",1992,"address same as entry above (1463)",", CO",-105.789557,39.919148,"unclear_coded_by_hand","Found","1992-CO-1458"
"Changes Cafe","(MW),(D)","332-7939, clsd Mon & Tues, call for hours","1199 Main St.","Bars","Bridgeport","CT",NA,1992,"","1199 Main St. ,  Bridgeport ,  CT",-73.1806929,41.1910767,"1199 e main st, bridgeport, ct 06608, usa","Geocoded","1992-CT-1459"
"Bridgeport Country News, Boston Post Rd.","Cruisy Area","nr. Post office","","Cruising Areas","Bridgeport","CT","checked",1992,"",", CT",-73.064036,41.230698,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1460"
"Fairchild-Wheeler Park","Cruisy Area","","","Cruising Areas","Bridgeport","CT","checked",1992,"",", CT",-73.24365,41.214161,"unclear_coded_by_hand","Found","1992-CT-1461"
"Main St. nr. downtown","(H),(AYOR),Cruisy Area","","","Cruising Areas","Bridgeport","CT","checked",1992,"",", CT",-73.201272,41.198022,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1462"
"Trumbull Shopping Park","Cruisy Area","- 2nd floor","","Cruising Areas","Bridgeport","CT","checked",1992,"",", CT",-73.226357,41.229502,"unclear_coded_by_hand","Found","1992-CT-1463"
"Aldis the Travel Planner","(IGTA)","Box 189 775-9399","265 Federal Rd.","Travel & Tour Operators","Brookfield","CT",NA,1992,"","265 Federal Rd. ,  Brookfield ,  CT",-73.4032534,41.4464333,"265 federal rd, brookfield, ct 06804, usa","Geocoded","1992-CT-1464"
"GLAD Helpline","","426-4922 info,referrals 8-10pm Mon-Wed","","Info Lines & Services","Danbury","CT","checked",1992,"",", CT",-73.454011,41.394817,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1465"
"Triangles Cafe","(*),(MW),(D),(S)","Rte. 7, 798-6996 outdoor patio, live DJ, call for hours","66 Sugar Hollow Rd","Bars","Danbury","CT",NA,1992,"","66 Sugar Hollow Rd ,  Danbury ,  CT",-73.4710598,41.3351753,"66 sugar hollow rd, danbury, ct 06810, usa","Geocoded","1992-CT-1466"
"Oldtown, Dikes Pt., E. side of Lake Candlewood","(AYOR),Cruisy Area","","","Cruising Areas","Danbury","CT","checked",1992,"",", CT",-73.437608,41.532809,"unclear_coded_by_hand","Found","1992-CT-1467"
"""Rest Stop"" I-95 S.","(AYOR)","btw. exits 9 & 10 VERY (AYOR)","","Cruising Areas","Darien","CT","checked",1992,"",", CT",-73.468686,41.077191,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1468"
"Eatery, The","(MX),(E)","627-7094 opens 5pm Tues-Sun, cocktails & cabaret lounge daily","297 S. Main St.","Restaurants & Cafes","East Windsor","CT",NA,1992,"","297 S. Main St. ,  East Windsor ,  CT",-72.605284,41.868989,"297 s main st, east windsor, ct 06088, usa","Geocoded","1992-CT-1469"
"Bookends","","745-3988 9am-10pm Mon-Sat, 10:30am-6pm Sun","44 Enfield St.","Erotica","Enfield","CT",NA,1992,"","44 Enfield St. ,  Enfield ,  CT",-72.585224,42.0238946,"44 enfield st, enfield, ct 06082, usa","Geocoded","1992-CT-1470"
"African-American Gay Men's Group","","(at Gay/Lesbian Community Center) 837-1598","","Men's Services","Enfield","CT","checked",1992,"",", CT",-72.544144,42.002718,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1471"
"Video Expo","","448-0787","591 Rte. 12","Erotica","Groton","CT",NA,1992,"","591 Rte. 12 ,  Groton ,  CT",-72.075796,41.377638,NA,"Geocoded","1992-CT-1472"
"Hammonasset State Beach","Cruisy Area","(Men's spa)","","Cruising Areas","Hammonasset","CT","checked",1992,"",", CT",-72.558421,41.266698,"unclear_coded_by_hand","Found","1992-CT-1473"
"AA Gay/Lesbian","","(see listings in Metroline)","","Info Lines & Services","Hartford","CT","checked",1992,"",", CT",-72.667475,41.763964,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1474"
"Gay/Lesbian & Bisexual Switchboard of Greater Hartford","","724-5542, 24hr tape, staffed irregularly","","Info Lines & Services","Hartford","CT","checked",1992,"",", CT",-72.667475,41.763964,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1475"
"Gay/Lesbian Guide Line","","327-0767 support, info &  referrals, 7-10pm Tues, Thurs & Sun","","Info Lines & Services","Hartford","CT","checked",1992,"",", CT",-72.667475,41.763964,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1476"
"Global Real Estate Referrals","","(800)346-5592, gay realtor at your service (see nat'l ad sec.)","","Info Lines & Services","Hartford","CT","checked",1992,"",", CT",-72.667475,41.763964,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1477"
"Chez Est","(*),(P),(D)","525-3243 noon-1am Sun-Thurs, noon-2am Fri & Sat","435 Wethersfield Ave.","Bars","Hartford","CT",NA,1992,"","435 Wethersfield Ave. ,  Hartford ,  CT",-72.6733448,41.7438513,"435 wethersfield ave, hartford, ct 06114, usa","Geocoded","1992-CT-1478"
"Nick's Cafe House","(MW),(D),(F)","522-1573 6pm-2am front quiet, disco in back","1943 Broad","Bars","Hartford","CT",NA,1992,"","1943 Broad ,  Hartford ,  CT",-72.6875938,41.7392804,"1943 broad st, hartford, ct 06114, usa","Geocoded","1992-CT-1479"
"Riot (at the Warehouse)","(*),(D),(YC)","951-0500 8pm-2am Fri & Sat","","Bars","Hartford","CT","checked",1992,"",", CT",-72.667475,41.763964,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1480"
"Traxx","","724-1277 8pm-1am Wed & Thurs, til 2am Fri & Sat, 6pm-1am Sun","2880 Main St.","Bars","Hartford","CT",NA,1992,"","2880 Main St. ,  Hartford ,  CT",-72.6671545,41.7914269,"2880 main st, hartford, ct 06120, usa","Geocoded","1992-CT-1481"
"Warehouse, The","(*),(D),(YC)","#4, 951-0500 8pm-1am Wed, Thurs & Sun","81 Pope Park Hwy.","Bars","Hartford","CT",NA,1992,"","81 Pope Park Hwy. ,  Hartford ,  CT",-72.7027156,41.7554941,"81 pope park hwy, hartford, ct 06106, usa","Geocoded","1992-CT-1482"
"Equinox","","523-1866, 11am-7pm Tues-Sat, clsd Sun & Mon","182 S. Whitney St.","Bookstore/Retail Shops","Hartford","CT",NA,1992,"","182 S. Whitney St. ,  Hartford ,  CT",-72.7098582,41.7631316,"182 s whitney st, hartford, ct 06105, usa","Geocoded","1992-CT-1483"
"Reader's Feast Bookstore Cafe","(F)","232-3710 feminist, 10am-9pm Mon-Sat, 11am-2:30 Sun brunch","529 Farmington Ave.","Bookstore/Retail Shops","Hartford","CT",NA,1992,"","529 Farmington Ave. ,  Hartford ,  CT",-72.7097518,41.7661863,"529 farmington ave, hartford, ct 06105, usa","Geocoded","1992-CT-1484"
"Men of All Colors Together (MACT/CT)","","P.O. Box 2735, 06146, 346-0199 call for info","","Men's Services","Hartford","CT","checked",1992,"",", CT",-72.667475,41.763964,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1485"
"Congregation Am Segulah","","676-9245 Shabbat service 1st Fri, call for further info","","Religious Organization","Hartford","CT","checked",1992,"",", CT",-72.667475,41.763964,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1486"
"Dignity-Hartford","","(Quaker Mtg House), W. Hartford 296-9229, 6pm Sun","144 S. Quaker Ln.","Religious Organization","Hartford","CT",NA,1992,"","144 S. Quaker Ln. ,  Hartford ,  CT",-72.7287179,41.7598524,"144 quaker ln s, west hartford, ct 06119, usa","Geocoded","1992-CT-1487"
"Integrity","","(Christ Church Cathedral) 522-2196, 5:30pm 2nd & 4th Sun","45 Church St.","Religious Organization","Hartford","CT",NA,1992,"","45 Church St. ,  Hartford ,  CT",-72.674107,41.7683756,"45 church st, hartford, ct 06103, usa","Geocoded","1992-CT-1488"
"MCC","","(Unitarian Meeting House) 236-3411, 7pm Sun","50 Bloomfield Ave.","Religious Organization","Hartford","CT",NA,1992,"","50 Bloomfield Ave. ,  Hartford ,  CT",-72.7128482,41.7888687,"50 bloomfield ave, hartford, ct 06105, usa","Geocoded","1992-CT-1489"
"Metroline","","06105, 236-7813 bi-monthly newspaper/entertainment guide","495 Farmington Ave.","Publication","Hartford","CT",NA,1992,"","495 Farmington Ave. ,  Hartford ,  CT",-72.7080527,41.7663377,"495 farmington ave, hartford, ct 06105, usa","Geocoded","1992-CT-1490"
"Aircraft Book & News","","E. Hartford 569-2324","349 Main St.","Erotica","Hartford","CT",NA,1992,"","349 Main St. ,  Hartford ,  CT",-72.675396,41.7601669,"349 main st, east hartford, ct 06118, usa","Geocoded","1992-CT-1491"
"Red Lantern Book Store","","E. Hartford 289-5000","1247 Main St.","Erotica","Hartford","CT",NA,1992,"","1247 Main St. ,  Hartford ,  CT",-72.67624,41.771218,"1243-1247 main st, hartford, ct 06103, usa","Geocoded","1992-CT-1492"
"Sisson Book & Video","","523-4340","257 Sisson Ave.","Erotica","Hartford","CT",NA,1992,"","257 Sisson Ave. ,  Hartford ,  CT",-72.7075467,41.7661051,"257 sisson ave, hartford, ct 06105, usa","Geocoded","1992-CT-1493"
"Bushnell Park","(AYOR),Cruisy Area","","","Cruising Areas","Hartford","CT","checked",1992,"",", CT",-72.679236,41.765134,"unclear_coded_by_hand","Found","1992-CT-1494"
"Constitution Plaza","Cruisy Area","","","Cruising Areas","Hartford","CT","checked",1992,"",", CT",-72.67035,41.766818,"unclear_coded_by_hand","Found","1992-CT-1495"
"Mechanic St. behind Chez Est","(AYOR),Cruisy Area","","","Cruising Areas","Hartford","CT","checked",1992,"",", CT",-72.667475,41.763964,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1496"
"'The Dikes'","(AYOR),Cruisy Area","'- E. to W. service Rd. off I-91 N. (Riverside Park)","","Cruising Areas","Hartford","CT","checked",1992,"",", CT",-72.667475,41.763964,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1497"
"Video Expo","","649-0451","691 Main St.","Erotica","Manchester","CT",NA,1992,"","691 Main St. ,  Manchester ,  CT",-72.5208987,41.7728919,"691 main st, manchester, ct 06040, usa","Geocoded","1992-CT-1498"
"Grove Book & Video, The","","235-0704","57 West Main","Erotica","Meridien","CT",NA,1992,"","57 West Main ,  Meridien ,  CT",-72.80477,41.538473,"57 w main st, meriden, ct 06451, usa","Geocoded","1992-CT-1499"
"Hubbard Park","Cruisy Area","","","Cruising Areas","Meridien","CT","checked",1992,"",", CT",-72.835625,41.549593,"unclear_coded_by_hand","Found","1992-CT-1500"
"Book Center, The","","347-8708","548 Main St.","Bookstore/Retail Shops","Middletown","CT",NA,1992,"the type isn't stated in the guide book, so I guessed its bookstore/retail","548 Main St. ,  Middletown ,  CT",-72.6513979,41.5635859,"548 main st, middletown, ct 06457, usa","Geocoded","1992-CT-1501"
"Milford Country News, Rte. 1","Cruisy Area","","","Cruising Areas","Milford","CT","checked",1992,"",", CT",-73.064036,41.230698,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1502"
"Andrews, The","(MW),(D),(E),(F)","826-7722 clsd Mon, lunch & dinner","132 Main St.","Bars","New Britain","CT",NA,1992,"","132 Main St. ,  New Britain ,  CT",-72.7809325,41.6704501,"132 e main st, new britain, ct 06051, usa","Geocoded","1992-CT-1503"
"Weber's Travel Services","(IGTA)","229-4846","24 Cedar St.","Travel & Tour Operators","New Britain","CT",NA,1992,"","24 Cedar St. ,  New Britain ,  CT",-72.7874368,41.6672501,"24 cedar st, new britain, ct 06052, usa","Geocoded","1992-CT-1504"
"Walnut Hill Park","Cruisy Area","#NAME?","","Cruising Areas","New Britain","CT","checked",1992,"",", CT",-72.793227,41.661945,"unclear_coded_by_hand","Found","1992-CT-1505"
"Global Real Estate Referrals","","(800)346-5592,gay realtor at your service (see ad nat'l sec.)","","Info Lines & Services","New Haven","CT","checked",1992,"",", CT",-72.927883,41.308274,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1506"
"New Haven Gay/Lesbian Switchboard","","397-3568, 8pm-11pm Mon, Wed, Fri","","Info Lines & Services","New Haven","CT","checked",1992,"",", CT",-72.919248,41.292634,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1507"
"Pink Triangle Coffeehouse","","(St. Paul's Parish House) 397-3568, 8pm-11pm 1st & 3rd Fri, call for more info","620 Chapel St.","Info Lines & Services","New Haven","CT",NA,1992,"","620 Chapel St. ,  New Haven ,  CT",-72.920023,41.303564,"620 chapel st, new haven, ct 06511, usa","Geocoded","1992-CT-1508"
"Kurt's New Haven","","624-0008 6pm-1am Mon-Thurs, 5pm-4am Fri, from 6pm Sat, 4pm-1am Sun","85 St. John St.","Bars","New Haven","CT",NA,1992,"","85 St. John St. ,  New Haven ,  CT",-72.9121941,41.3073349,"85 st john st, new haven, ct 06511, usa","Geocoded","1992-CT-1509"
"Pub Cafe","(MX)","789-8612 2pm-1am Sun-Thurs, til 2am Fri & Sat, full bar","168 York St.","Restaurants & Cafes","New Haven","CT",NA,1992,"","168 York St. ,  New Haven ,  CT",-72.932154,41.308158,"168 york st, new haven, ct 06511, usa","Geocoded","1992-CT-1510"
"Dignity","","P.O. Box 9362, 06533, 397-1933, 11:30am Sun, call for location","","Religious Organization","New Haven","CT","checked",1992,"",", CT",-72.927883,41.308274,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1511"
"MCC","","(United Church), Westville 777-9808, 4pm Sun","34 Harrison St.","Religious Organization","New Haven","CT",NA,1992,"","34 Harrison St. ,  New Haven ,  CT",-72.9628185,41.3275678,"34 harrison st, new haven, ct 06515, usa","Geocoded","1992-CT-1512"
"Fairmont Theatre","","467-3832, cruisy, gay shows 11pm-1am Fri-Sun","33 Main St.","Cruising Areas,Erotica","New Haven","CT",NA,1992,"","33 Main St. ,  New Haven ,  CT",-72.8916173,41.2883133,"33 main st, new haven, ct 06512, usa","Geocoded","1992-CT-1513"
"New Haven Book & Video","","562-5867","754 Chapel St.","Erotica","New Haven","CT",NA,1992,"","754 Chapel St. ,  New Haven ,  CT",-72.9233788,41.304711,"754 chapel st, new haven, ct 06510, usa","Geocoded","1992-CT-1514"
"York Street Book Store","","865-2331","166 York St.","Erotica","New Haven","CT",NA,1992,"","166 York St. ,  New Haven ,  CT",-72.9321753,41.3080861,"166 york st, new haven, ct 06511, usa","Geocoded","1992-CT-1515"
"East Rock Park","Cruisy Area","","","Cruising Areas","New Haven","CT","checked",1992,"",", CT",-72.910252,41.324958,"unclear_coded_by_hand","Found","1992-CT-1516"
"Long Wharf Dr.","(AYOR),Cruisy Area","#NAME?","","Cruising Areas","New Haven","CT","checked",1992,"",", CT",-72.919248,41.292634,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1517"
"Yale U.","(AYOR),Cruisy Area","#NAME?","","Cruising Areas","New Haven","CT","checked",1992,"",", CT",-72.926061,41.311348,"unclear_coded_by_hand","Found","1992-CT-1518"
"New London People's Forum","","(St. James Episcopal Church) 447-3410 mtg 7:30pm Wed, social support group","76 Federal","Info Lines & Services","New London","CT",NA,1992,"","76 Federal ,  New London ,  CT",-72.0989862,41.3570375,"76 federal st, new london, ct 06320, usa","Geocoded","1992-CT-1519"
"Frank's Place","(MW),(NH),(D)","443-8883 huge patio, 4pm-1am Sun-Thurs, 3pm-2am Fri & Sat","9 Tilley St.","Bars","New London","CT",NA,1992,"","9 Tilley St. ,  New London ,  CT",-72.0972273,41.3517465,"9 tilley st, new london, ct 06320, usa","Geocoded","1992-CT-1520"
"Crystal Mall","Cruisy Area","","","Cruising Areas","New London","CT","checked",1992,"",", CT",-72.139808,41.373359,"unclear_coded_by_hand","Found","1992-CT-1521"
"Gray Rock Picnic Area Rte. 184, Groton","Cruisy Area","","","Cruising Areas","New London","CT","checked",1992,"",", CT",-72.099521,41.355654,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1522"
"Ocean Park Beach","Cruisy Area","(Rt hand side off boardwalk)","","Cruising Areas","New London","CT","checked",1992,"",", CT",-72.098616,41.309373,"unclear_coded_by_hand","Found","1992-CT-1523"
"Lynn Deming Park","Cruisy Area","","","Cruising Areas","New Milford","CT","checked",1992,"",", CT",-73.44031,41.569962,"unclear_coded_by_hand","Found","1992-CT-1524"
"Club 20","(D)","(South Norwalk) 866-2020 2 stories, til 1am Sun-Thurs, til 2am Fri & Sat","20 N. Main St.","Bars","Norwalk","CT",NA,1992,"","20 N. Main St. ,  Norwalk ,  CT",-73.4194483,41.1004459,"20 n main st, norwalk, ct 06854, usa","Geocoded","1992-CT-1525"
"Forum Library, The","","889-2399 gay/lesbian lending library by appointment only","","Info Lines & Services","Norwich","CT","checked",1992,"",", CT",-72.07591,41.524265,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1526"
"Norwich Book & Video","","887-5058","5 Falls Ave.","Erotica","Norwich","CT",NA,1992,"","5 Falls Ave. ,  Norwich ,  CT",-72.0816745,41.524535,"5 falls ave, norwich, ct 06360, usa","Geocoded","1992-CT-1527"
"Frog Rock","Cruisy Area,(AYOR)","","","Cruising Areas","Pomfret","CT","checked",1992,"",", CT",-71.962574,41.897598,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1528"
"Brownstone Travel Agency","(IGTA)","342-3450/(800)888-4169 (Bruce)","278 Main St.","Travel & Tour Operators","Portland","CT",NA,1992,"","278 Main St. ,  Portland ,  CT",-72.6386455,41.5763132,"278 main st, portland, ct 06480, usa","Geocoded","1992-CT-1529"
"Lesbian/Gay Info Line","","327-0767, 7pm-10pm Tues, Thurs & Sun","","Info Lines & Services","Stamford","CT","checked",1992,"",", CT",-73.538734,41.05343,"unclear_coded_by_hand","General Coordinates Used","1992-CT-1530"
"Gay Men's Group of Fairfield County","","358-9002, 1st Thurs & 3rd Tues, call for info","20 Forest St.","Men's Services","Stamford","CT",NA,1992,"","20 Forest St. ,  Stamford ,  CT",-73.5368104,41.0570143,"20 forest st, stamford, ct 06901, usa","Geocoded","1992-CT-1531"
"Cove Island Beach","Cruisy Area","","","Cruising Areas","Stamford","CT","checked",1992,"",", CT",-73.505113,41.04695,"unclear_coded_by_hand","Found","1992-CT-1532"
"Stamford Town Center","Cruisy Area","","","Cruising Areas","Stamford","CT","checked",1992,"",", CT",-73.537331,41.052734,"unclear_coded_by_hand","Found","1992-CT-1533"
"Torrington Books","","496-0737 clsd Sun","466 Main St.","Erotica","Torrington","CT",NA,1992,"","466 Main St. ,  Torrington ,  CT",-73.1212873,41.8099662,"466 main st, torrington, ct 06790, usa","Geocoded","1992-CT-1534"
"Maxie's Cafe","(MW),(D),(E),(S)","574-1629 6pm-1am Wed-Thurs & Sun, til 2am Fri & Sat","2627 Waterbury Rd.","Bars","Waterbury","CT",NA,1992,"","2627 Waterbury Rd. ,  Waterbury ,  CT",-72.991794,41.5201128,"waterbury rd, waterbury, ct 06712, usa","Geocoded","1992-CT-1535"
"Bookmart","","754-4819","104 Main St.","Erotica","Waterbury","CT",NA,1992,"","104 Main St. ,  Waterbury ,  CT",-73.042297,41.557191,NA,"Geocoded","1992-CT-1536"
"Lakewood Ponds","Cruisy Area","","","Cruising Areas","Waterbury","CT","checked",1992,"",", CT",-73.024696,41.578213,"unclear_coded_by_hand","Found","1992-CT-1537"
"Faces","(MW),(D)","447-1610 4pm-1am Sun-Thurs, 8pm-2am Fri & Sat","124 Boston Post Rd.","Bars","Waterford","CT",NA,1992,"","124 Boston Post Rd. ,  Waterford ,  CT",-72.1256462,41.3418777,"124 boston post rd, waterford, ct 06385, usa","Geocoded","1992-CT-1538"
"Brook Cafe Inc., The","(*),(D)","E. 222-2233 5pm-1am Mon-Thurs, til 2am Fri & Sat, till 11pm Sun","919 Post Rd.","Bars","Westport","CT",NA,1992,"","919 Post Rd. ,  Westport ,  CT",-73.3335947,41.1387523,"919 post rd e, westport, ct 06880, usa","Geocoded","1992-CT-1539"
"Sherwood Isle State Park","Cruisy Area","E. beach, far end, I-95 exit 18 (Summers)","","Cruising Areas","Westport","CT","checked",1992,"",", CT",-73.332136,41.116614,"unclear_coded_by_hand","Found","1992-CT-1540"
"Video Expo","","257-8663","1870 Berlin Turnpike","Erotica","Wethersfield","CT",NA,1992,"","1870 Berlin Turnpike ,  Wethersfield ,  CT",-72.7022041,41.702942,"1870 berlin turnpike, wethersfield, ct 06109, usa","Geocoded","1992-CT-1541"
"Threat City Book & Novelty","","456-8131 10am-9pm Mon-Sat","503 Main St.","Erotica","Williamantic","CT",NA,1992,"","503 Main St. ,  Williamantic ,  CT",-72.2082256,41.710632,"503 main st, willimantic, ct 06226, usa","Geocoded","1992-CT-1542"
"Global Real Estate Referrals","","(800)346-5592, gay realtor at your service (see ad nat'l sec.)","","Info Lines & Services","Bethany Beach","DE","checked",1992,"",", DE",-75.055181,38.539556,"unclear_coded_by_hand","General Coordinates Used","1992-DE-1543"
"Nomad Village","(MW)","Box 1, Rt. 1, E. side, 3mi. N in Tower Shores 539-7581 call for winter hrs, summer hrs 10am-1am","","Bars","Bethany Beach","DE","checked",1992,"",", DE",-75.060736,38.584001,"unclear_coded_by_hand","General Coordinates Used","1992-DE-1544"
"Global Real Estate Referrals","","(800)346-5592, gay realtor at your service (see ad nat'l sec.)","","Info Lines & Services","Dover","DE","checked",1992,"",", DE",-75.524368,39.158168,"unclear_coded_by_hand","General Coordinates Used","1992-DE-1545"
"Rumors","(MW),(D),(F),(S)","678-8805 11am-2am","1199 N. DuPont Hwy","Bars","Dover","DE",NA,1992,"","1199 N. DuPont Hwy ,  Dover ,  DE",-75.5401308,39.1890244,"1199 n dupont hwy, dover, de 19901, usa","Geocoded","1992-DE-1546"
"New Bookstore","","674-9644, 24hrs","115 N. DuPont Hwy","Erotica","Dover","DE",NA,1992,"","115 N. DuPont Hwy ,  Dover ,  DE",-75.5162721,39.1661052,"115 n dupont hwy, dover, de 19901, usa","Geocoded","1992-DE-1547"
"Beach House","(MW),(SW)","277-7074 B & B, year round","15 Hickman St.","Accomodations","Rehoboth Beach","DE",NA,1992,"","15 Hickman St. ,  Rehoboth Beach ,  DE",-75.0775179,38.7125689,"15 hickman st, rehoboth beach, de 19971, usa","Geocoded","1992-DE-1548"
"Kingston Inn","(MW)","Ext., 277-8487 B & B, private baths, seasonal","703 Rehoboth Ave.","Accomodations","Rehoboth Beach","DE",NA,1992,"","703 Rehoboth Ave. ,  Rehoboth Beach ,  DE",-75.096594,38.713521,"703 rehoboth ave, rehoboth beach, de 19971, usa","Geocoded","1992-DE-1549"
"Paper Nautilus","(MW)","227-1603","42 1/2 Baltimore Ave.","Accomodations","Rehoboth Beach","DE",NA,1992,"","42 1/2 Baltimore Ave. ,  Rehoboth Beach ,  DE",-75.0803467,38.7169395,"42 baltimore ave, rehoboth beach, de 19971, usa","Geocoded","1992-DE-1550"
"Ramshead Inn","(N),(SW)","RD 2 Box 509, 226-9171 B & B, year round, gym","","Accomodations","Rehoboth Beach","DE","checked",1992,"",", DE",-75.134699,38.71905,"unclear_coded_by_hand","Found","1992-DE-1551"
"Rehoboth Guest House","(MX)","227-4117 B&B, May-Sept, shared baths","40 Maryland Ave.","Accomodations","Rehoboth Beach","DE",NA,1992,"","40 Maryland Ave. ,  Rehoboth Beach ,  DE",-75.080301,38.717694,"40 maryland ave, rehoboth beach, de 19971, usa","Geocoded","1992-DE-1552"
"Renegade, The","(*),(MW),(SW),(F),(D)","Hwy. 1, 227-4713 bar & restaurant on premises","","Accomodations","Rehoboth Beach","DE","checked",1992,"",", DE",-75.080788,38.707189,"unclear_coded_by_hand","Found","1992-DE-1553"
