"title","description","streetaddress","type","amenityfeatures","city","state","Year","notes","full.address","lat","lon","geoAddress","status","unclear_address","ID"
"'Hitch-hikers'","","Minnesota Ave.","Cruising Areas","Cruisy Area,(*)","Sioux Falls","SD",1981,"","Minnesota Ave., SD",43.547303,-96.728333,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-SD-0022"
"'Hitch-hikers' (Sailors) along Rosecrans","","","Cruising Areas","Cruisy Area","San Diego","CA",1981,"",", CA",32.715738,-117.161084,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-CA-0023"
"'Hitch-hikers' 2nd & Roosevelt Sts.","","","Cruising Areas","Cruisy Area","Phoenix","AZ",1981,"",", AZ",33.448377,-112.074037,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-AZ-0024"
"'Hitch-hikers' along El Cajon","nr. S.D. St. Univ.","","Cruising Areas","Cruisy Area","San Diego","CA",1981,"",", CA",32.715738,-117.161084,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-CA-0025"
"'Hitch-hikers' on 4th Ave. & Hwy 8","","","Cruising Areas","Cruisy Area","Yuma","AZ",1981,"",", AZ",32.731581,-114.624535,"unclear_coded_by_hand","Verified Location",NA,"1981-AZ-0026"
"'Hitch-hikers' on Broadway betw. Long Beach Blvd. & Magnolia","","","Cruising Areas","Cruisy Area","Long Beach","CA",1981,"",", CA",33.769284,-118.193606,"unclear_coded_by_hand","Verified Location",NA,"1981-CA-0027"
"'Hitch-hikers' on Coast Hwy. from Myrtle St. to Bluebird Canyon Rd.","","","Cruising Areas","Cruisy Area","Laguna Beach","CA",1981,"",", CA",33.542719,-117.785357,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-CA-0028"
"'Hitch-hikers' on E. Speedway","","","Cruising Areas","Cruisy Area","Tucson","AZ",1981,"",", AZ",32.235665,-110.840906,"unclear_coded_by_hand","Verified Location",NA,"1981-AZ-0029"
"'Holdings' Little America Lodge","(jet. of I-25 & I-80)","2200 W. Lincoln Way","Bars/Clubs","(M)","Cheyenne","WY",1981,"","2200 W. Lincoln Way, Cheyenne, WY",41.1227296,-104.8415909,"2200 w lincolnway, cheyenne, wy 82001, usa","Google Verified Location",NA,"1981-WY-0030"
"'Homo Heights'","","Oaklawn & Lemmon","Cruising Areas","Cruisy Area","Dallas","TX",1981,"","Oaklawn & Lemmon, TX",32.811931,-96.805542,"unclear_coded_by_hand","Verified Location",NA,"1981-TX-0031"
"'Info center 'Rest Stop' T-Room","","","Cruising Areas","Cruisy Area","Texarkana","AR",1981,"",", AR",33.516905,-93.936326,"unclear_coded_by_hand","Verified Location",NA,"1981-AR-0032"
"'K' St. Mall","- Weinstock's T-Room","","Cruising Areas","Cruisy Area","Sacramento","CA",1981,"",", CA",38.573139,-121.471161,"unclear_coded_by_hand","Verified Location",NA,"1981-CA-0033"
"'L' St. Beach","","","Cruising Areas","Cruisy Area,(OC)","Boston","MA",1981,"",", MA",42.328987,-71.035301,"unclear_coded_by_hand","Verified Location",NA,"1981-MA-0034"
"'Lollypop Heaven'","Rest Stop","Rte. 81 Northbound","Cruising Areas","Cruisy Area","Bellmore","NY",1981,"","Rte. 81 Northbound, NY",40.668713,-73.527071,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-NY-0035"
"'Meat Rack' & 'bushes'","betw. Cherry Grove & The Pines.","","Cruising Areas","Cruisy Area","Fire Island","NY",1981,"",", NY",40.6476,-73.145947,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-NY-0036"
"'Miracle Mile'","betw . 6th & 12th Sts.","Folsom St.","Cruising Areas","Cruisy Area","San Francisco","CA",1981,"","Folsom St., CA",37.77493,-122.419415,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-CA-0037"
"'N Touch","(Disco)","1548 Polk St.","Bars/Clubs","(D),(OC),(*)","San Francisco","CA",1981,"","1548 Polk St., San Francisco, CA",37.7913356,-122.4206189,"1548 polk st, san francisco, ca 94109, usa","Google Verified Location",NA,"1981-CA-0038"
"'P' St. Beach","(Georgetown)","","Cruising Areas","Cruisy Area,(AYOR)","Washington","DC",1981,"",", DC",38.907192,-77.036871,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-DC-0039"
"'Primrose Path'","Senate St. & grounds adj. to the Capitol","","Cruising Areas","Cruisy Area,(AYOR)","Columbia","SC",1981,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-SC-0040"
"'Rest Stop'","","I-12 E.","Cruising Areas","Cruisy Area","Baton Rouge","LA",1981,"","I-12 E., LA",30.451468,-91.187147,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-LA-0041"
"'Rest Stop'","","I-70","Cruising Areas","Cruisy Area","Maple Hill","KS",1981,"","I-70, KS",39.084581,-96.028219,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-KS-0042"
"'Rest Stop'","betw. Greenville & Anderson Ga.","I-85 N.","Cruising Areas","Cruisy Area","Greenville","SC",1981,"","I-85 N., SC",34.852618,-82.39401,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-SC-0043"
"'Rest Stop'","betw. Peoria & Bloomington","I-74","Cruising Areas","Cruisy Area","Peoria","IL",1981,"","I-74, IL",40.693649,-89.588986,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-IL-0044"
"'Rest Stop'","","Hwy. 91","Cruising Areas","Cruisy Area,(AYOR)","Easthampton","MA",1981,"","Hwy. 91, MA",42.266757,-72.66898,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MA-0045"
"'Rest Stop'","","I-20 E.","Cruising Areas","Cruisy Area","Ruston","LA",1981,"","I-20 E., LA",32.531825,-92.473759,"unclear_coded_by_hand","Verified Location",NA,"1981-LA-0046"
"'Rest Stop'","nr. Zion","I-94, N.","Cruising Areas","Cruisy Area","Waukegan","IL",1981,"","I-94, N., IL",42.363633,-87.844794,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-IL-0047"
"'Rest Stop'","","I-35 S.","Cruising Areas","Cruisy Area","Ft. Worth","TX",1981,"","I-35 S., TX",32.755488,-97.330766,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-TX-0048"
"'Rest Stop'","","I-71 & US 30","Cruising Areas","Cruisy Area","Mansfield","OH",1981,"","I-71 & US 30, OH",40.779654,-82.419918,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OH-0049"
"'Rest Stop'","on old Hwy. 218 betw. Cedar Rapids & Iowa City (Summers only)","","Cruising Areas","Cruisy Area,(AYOR)","Cedar Rapids","IA",1981,"",", IA",41.97788,-91.665623,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-IA-0050"
"'Rest Stop'","10 mi. S., just off Ind. 3","Ind. 36","Cruising Areas","Cruisy Area","Muncie","IN",1981,"","Ind. 36, IN",40.193377,-85.38636,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-IN-0051"
"'Rest Stop'","(Both sides)","I55 N.","Cruising Areas","Cruisy Area","Batesville","MS",1981,"","I55 N., MS",34.311498,-89.944257,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MS-0052"
"'Rest Stop'","","I-20","Cruising Areas","Cruisy Area","Morton","MS",1981,"","I-20, MS",32.353756,-89.654517,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MS-0053"
"'Rest Stop'","betw. Bath & Brunswick (S.)","US 1","Cruising Areas","Cruisy Area","Brunswick","ME",1981,"","US 1, ME",43.914016,-69.966996,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-ME-0054"
"'Rest Stop'","","194 Westbound","Cruising Areas","Cruisy Area","Belleville","MI",1981,"","194 Westbound, MI",42.204762,-83.485213,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MI-0055"
"'Rest Stop'","","S. on Rte. 3","Cruising Areas","Cruisy Area","Marshfield-Pembroke","MA",1981,"","S. on Rte. 3, MA",42.087995,-70.744678,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MA-0056"
"'Rest Stop'","5 mi. E.","Hwy. 15","Cruising Areas","Cruisy Area","Mt. Vernon","IL",1981,"","Hwy. 15, IL",38.317271,-88.90312,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-IL-0057"
"'Rest Stop'","10 mi. W.  (The Playhouse')","I-77","Cruising Areas","Cruisy Area,(AYOR)","Akron","OH",1981,"","I-77, OH",41.081445,-81.519005,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OH-0058"
"'Rest Stop'","nr. exit 28","I-87","Cruising Areas","Cruisy Area","Lake George","NY",1981,"","I-87, NY",43.426181,-73.712341,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-NY-0059"
"'Rest Stop'","betw. Appleton & Green Bay","US Hwy. 41","Cruising Areas","Cruisy Area","Appleton","WI",1981,"","US Hwy. 41, WI",44.261931,-88.415385,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-WI-0060"
"'Rest Stop'","","1-70 & US 202","Cruising Areas","Cruisy Area","Dayton","OH",1981,"","1-70 & US 202, OH",39.758948,-84.191607,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OH-0061"
"'Rest Stop'","12 mi. S.","Rte. 11","Cruising Areas","Cruisy Area","Wilkes-Barre","PA",1981,"","Rte. 11, PA",41.245915,-75.881307,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-PA-0062"
"'Rest Stop'","5 mi. S. (Late nights)","","Cruising Areas","Cruisy Area","Medford","OR",1981,"",", OR",42.326515,-122.875595,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OR-0063"
"'Rest Stop'","","Hwy 80 N.","Cruising Areas","Cruisy Area,(AYOR)","Tempe","AZ",1981,"","Hwy 80 N., AZ",33.42551,-111.940005,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-AZ-0064"
"'Rest Stop'","7 mi. E. (Watchout for Highway Patrol)","US 54","Cruising Areas","Cruisy Area","Augusta","KS",1981,"","US 54, KS",37.686684,-96.976702,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-KS-0065"
"'Rest Stop'","","N. & S. on Rte. 7","Cruising Areas","Cruisy Area","Rutland","VT",1981,"","N. & S. on Rte. 7, VT",43.610624,-72.972606,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-VT-0066"
"'Rest Stop'","","I-20 E.","Cruising Areas","Cruisy Area","Longview","TX",1981,"","I-20 E., TX",32.500704,-94.740489,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-TX-0067"
"'Rest Stop'","Wilbur Cross Pkwy- E.","Rte. 15","Cruising Areas","Cruisy Area","Orange","CT",1981,"","Rte. 15, CT",41.278637,-73.026528,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-CT-0068"
"'Rest Stop'","just N. of I-35 (Both sides)","","Cruising Areas","Cruisy Area","Oklahoma City","OK",1981,"",", OK",35.46756,-97.516428,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OK-0069"
"'Rest Stop'","Southbound","I-81","Cruising Areas","Cruisy Area","Chambersburg","PA",1981,"","I-81, PA",39.937591,-77.661102,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-PA-0070"
"'Rest Stop'","","Hwy. 50 E.","Cruising Areas","Cruisy Area","Walton","KS",1981,"","Hwy. 50 E., KS",38.117789,-97.2567,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-KS-0071"
"'Rest Stop'","and adj. woods - 1 mi. E. of Rte. 119","Rte. 22","Cruising Areas","Cruisy Area","Blairsville","PA",1981,"","Rte. 22, PA",40.43118,-79.260869,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-PA-0072"
"'Rest Stop'","N. o f Goleta, just before tunnel","","Cruising Areas","Cruisy Area","Santa Barbara","CA",1981,"",", CA",34.420831,-119.69819,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-CA-0073"
"'Rest Stop'","4 mi. W.","I-35","Cruising Areas","Cruisy Area,(AYOR)","Olathe","KS",1981,"","I-35, KS",38.881396,-94.819128,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-KS-0074"
"'Rest Stop'","","N. on Rte. 3","Cruising Areas","Cruisy Area,(AYOR)","Weymouth","MA",1981,"","N. on Rte. 3, MA",42.218072,-70.941036,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MA-0075"
"'Rest Stop'","just N. of N. Canton","Hwy. 77 S","Cruising Areas","Cruisy Area","Canton","OH",1981,"","Hwy. 77 S, OH",40.798947,-81.378447,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OH-0076"
"'Rest Stop'","","Old Hwy. 75","Cruising Areas","Cruisy Area","Wakarusa","KS",1981,"","Old Hwy. 75, KS",38.885694,-95.696034,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-KS-0077"
"'Rest Stop'","betw. Bay City and Saginaw","I-75 Southbound","Cruising Areas","Cruisy Area","Saginaw","MI",1981,"","I-75 Southbound, MI",43.594468,-83.888865,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MI-0078"
"'Rest Stop'","just N. of 203","Hwy. 4","Cruising Areas","Cruisy Area","Owens","OH",1981,"","Hwy. 4, OH",40.520337,-83.157969,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OH-0079"
"'Rest Stop'","","5 mi. S. on US 27","Cruising Areas","","Leesburg","FL",1981,"","5 mi. S. on US 27, FL",39.115662,-77.563601,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-FL-0080"
"'Rest Stop'","","S. on I-75","Cruising Areas","Cruisy Area,(AYOR)","Pontiac","MI",1981,"","S. on I-75, MI",42.638922,-83.291047,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MI-0081"
"'Rest Stop'","","U.S. 49 S.","Cruising Areas","Cruisy Area","Hattiesburg","MS",1981,"","U.S. 49 S., MS",31.327119,-89.290339,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MS-0082"
"'Rest Stop'","in Minden","I-20 E.","Cruising Areas","Cruisy Area","Shreveport","LA",1981,"","I-20 E., LA",32.615428,-93.286835,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-LA-0083"
"'Rest Stop'","","US 59 N.","Cruising Areas","Cruisy Area","Houston","TX",1981,"","US 59 N., TX",29.760427,-95.369803,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-TX-0084"
"'Rest Stop'","6 mi. S.","Rte. 81","Cruising Areas","Cruisy Area","Wilkes-Barre","PA",1981,"","Rte. 81, PA",41.245915,-75.881307,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-PA-0085"
"'Rest Stop'","at N. Attleboro","Southbound","Cruising Areas","Cruisy Area","Attleboro","MA",1981,"Assuming this is also on I-95? Entry on pg. 230","Southbound, MA",41.944544,-71.285608,"unclear_coded_by_hand","Verified Location",NA,"1981-MA-0086"
"'Rest Stop'","","I-10 E.","Cruising Areas","Cruisy Area","Lordsburg","NM",1981,"","I-10 E., NM",32.350361,-108.708665,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-NM-0087"
"'Rest Stop'","8 mi. N.","US 131","Cruising Areas","Cruisy Area","Big Rapids","MI",1981,"","US 131, MI",43.698078,-85.483656,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MI-0088"
"'Rest Stop'","Southbound at Herman & Northbound at Carmel","I-95","Cruising Areas","Cruisy Area,(AYOR)","Bangor","ME",1981,"","I-95, ME",44.801613,-68.771226,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-ME-0089"
"'Rest Stop'","2 mi. W. of town","I-70","Cruising Areas","Cruisy Area","Junction City","KS",1981,"","I-70, KS",39.028609,-96.831398,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-KS-0090"
"'Rest Stop'","S.W. of town","I-75 (Exit 21)","Cruising Areas","Cruisy Area","Gainsville","FL",1981,"","I-75 (Exit 21), FL",29.651634,-82.324826,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-FL-0091"
"'Rest Stop'","10 mi. N. of 1-10 on US 319","","Cruising Areas","Cruisy Area,(OC)","Tallahassee","FL",1981,"",", FL",30.438256,-84.280733,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-FL-0092"
"'Rest Stop'","N. of Malibu","US 101","Cruising Areas","Cruisy Area","Santa Monica","CA",1981,"","US 101, CA",34.019454,-118.491191,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-CA-0093"
"'Rest Stop'","betw. Northampton & Holyoke (Mass arrests)","I-91 S.","Cruising Areas","Cruisy Area,(AYOR)","Springfield","MA",1981,"","I-91 S., MA",42.101483,-72.589811,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MA-0094"
"'Rest Stop'","7 mi. S.","I-5","Cruising Areas","Cruisy Area","Everett","WA",1981,"","I-5, WA",47.978985,-122.202079,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-WA-0095"
"'Rest Stop'","10 mi. E. of Junction City","I-70","Cruising Areas","Cruisy Area","Manhattan","KS",1981,"","I-70, KS",39.183608,-96.571669,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-KS-0096"
"'Rest Stop'","at Attleboro","I-95 N.","Cruising Areas","Cruisy Area","Attleboro","MA",1981,"","I-95 N., MA",41.944544,-71.285608,"unclear_coded_by_hand","Verified Location",NA,"1981-MA-0097"
"'Rest Stop'","","US 1-S.","Cruising Areas","Cruisy Area","Ogunquit","ME",1981,"","US 1-S., ME",43.246835,-70.598622,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-ME-0098"
"'Rest Stop'","T-Room nr. Sterling Jet","Rte. 2","Cruising Areas","Cruisy Area","Worcester","MA",1981,"","Rte. 2, MA",42.262593,-71.802293,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MA-0099"
"'Rest Stop'","Wise. 141 - eastside nr. city limits","","Cruising Areas","Cruisy Area","Green Bay","WI",1981,"",", WI",44.513319,-88.013296,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-WI-0100"
"'Rest Stop'","25 mi. E.","I-90","Cruising Areas","Cruisy Area","Cleveland","OH",1981,"","I-90, OH",41.49932,-81.69436,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OH-0101"
"'Rest Stop'","just S. of 271","Hwy. 77","Cruising Areas","Cruisy Area","Richfield","OH",1981,"","Hwy. 77, OH",41.239777,-81.638178,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OH-0102"
"'Rest Stop'","10 mi. S.","US 59","Cruising Areas","Cruisy Area","Nacogdoches","TX",1981,"","US 59, TX",31.603513,-94.655487,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-TX-0103"
"'Rest Stop'","20 mi. S.","I-71","Cruising Areas","Cruisy Area,(WE)","Cleveland","OH",1981,"","I-71, OH",41.49932,-81.69436,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OH-0104"
"'Rest Stop'","at Sidney (Southbound) & Augusta (Northbound) - also woods in back","I-95","Cruising Areas","Cruisy Area","Augusta","ME",1981,"","I-95, ME",44.310624,-69.77949,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-ME-0105"
"'Rest Stop'","","Hwy. 80 W.","Cruising Areas","Cruisy Area","Dover","NJ",1981,"","Hwy. 80 W., NJ",40.883988,-74.562102,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-NJ-0106"
"'Rest Stop'","3 mi. N. (Both sides)","I-5","Cruising Areas","Cruisy Area","Grants Pass","OR",1981,"","I-5, OR",42.439007,-123.328392,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OR-0107"
"'Rest Stop'","(AYOR - Fuzz)","Hwy. 82 W.","Cruising Areas","Cruisy Area,(AYOR),(OC)","Sharon","PA",1981,"","Hwy. 82 W., PA",41.233112,-80.493403,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-PA-0108"
"'Rest Stop'","","I-20 E.","Cruising Areas","Cruisy Area","Forest","MS",1981,"","I-20 E., MS",32.364589,-89.474235,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MS-0109"
"'Rest Stop'","3 mi. S.","US 151","Cruising Areas","Cruisy Area,(AYOR)","Beaver Dam","WI",1981,"","US 151, WI",43.457769,-88.837329,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-WI-0110"
"'Rest Stop'","","I-20 - westbound","Cruising Areas","Cruisy Area","Arcadia","LA",1981,"","I-20 - westbound, LA",32.549041,-92.920158,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-LA-0111"
"'Rest Stop'","E & W","Rte. 195","Cruising Areas","Cruisy Area,(AYOR)","Seekonk","MA",1981,"","Rte. 195, MA",41.808434,-71.336997,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MA-0112"
"'Rest Stop'","","I-26 S.","Cruising Areas","Cruisy Area","Columbia","SC",1981,"","I-26 S., SC",34.00071,-81.034814,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-SC-0113"
"'Rest Stop'","nr. jet. 28","Rte. 125","Cruising Areas","Cruisy Area","Andover","MA",1981,"","Rte. 125, MA",42.658336,-71.136795,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MA-0114"
