"title","amenityfeatures","description","streetaddress","type","city","state","unclear_address","notes","Year","full.address","lat","lon","geoAddress","status","ID"
"Donna's Coffee Bar","(BW)","385-0180","2 W Madison","Restaurants & Cafes","Baltimore","MD",NA,"",1997,"2 W Madison ,  Baltimore ,  MD",39.2985819,-76.6160763,"2 w madison st, baltimore, md 21201, usa","Geocoded","1997-MD-0034"
"The Icarus","","426-1790, dinner & Sun brunch, clsd Sun (summers)","3 Appleton St","Restaurants & Cafes","Boston","MA",NA,"",1997,"3 Appleton St ,  Boston ,  MA",42.3466956,-71.0697695,"3 appleton st, boston, ma 02116, usa","Geocoded","1997-MA-0035"
"Ocean Park Beach Inn","(*),(MW),(F),(SW),(WC)","728-7418/(800) 292-9208","3 Calle Elena","Accommodations","Ocean Park","PR",NA,"",1997,"3 Calle Elena ,  Ocean Park ,  PR",18.4544127,-66.0558816,"3 c. elena, san juan, 00911, puerto rico","Geocoded","1997-PR-0036"
"Asheton House","(GF)","487-9966","3 Cook St","Accommodations","Provincetown","MA",NA,"",1997,"3 Cook St ,  Provincetown ,  MA",42.0570834,-70.1784879,"3 cook st, provincetown, ma 02657, usa","Geocoded","1997-MA-0037"
"Cedarberry Cottage B&B","(GF)","253-6115/(800) 590-2424 full brkfst, kids okay","3 Kings Hwy","Accommodations","Eureka Springs","AR",NA,"",1997,"3 Kings Hwy ,  Eureka Springs ,  AR",36.4035425,-93.7909848,"3rd st, arkansas 72631, usa","Geocoded","1997-AR-0038"
"Sarducci's","(WC)","223-0229 11:30am-10pm, Italian","3 Main St","Restaurants & Cafes","Montpelier","VT",NA,"",1997,"3 Main St ,  Montpelier ,  VT",44.2577039,-72.5765693,"3 main st, montpelier, vt 05602, usa","Geocoded","1997-VT-0039"
"Communiques","","773-5181, 10am-7pm, til 9pm (summer), cards, gifts, clothing","3 Moulton St","Bookstores/Retail Shops","Portland","ME",NA,"",1997,"3 Moulton St ,  Portland ,  ME",43.6564851,-70.2526999,"3 moulton st, portland, me 04101, usa","Geocoded","1997-ME-0040"
"Underground","(*),(MW),(D),(S)","773-3315 4pm-1am","3 Spring St","Bars","Portland","ME",NA,"",1997,"3 Spring St ,  Portland ,  ME",43.6562263,-70.2574098,"3 spring st, portland, me 04101, usa","Geocoded","1997-ME-0041"
"Cafe Suzanne","","588-2101, 5:30pm-9:30pm, clsd Tue, live jazz","4 Center St","Bars","Charleston","SC",NA,"",1997,"4 Center St ,  Charleston ,  SC",32.799609,-79.9439929,"4 c st, charleston, sc 29403, usa","Geocoded","1997-SC-0042"
"Grand View Inn","(MW)","487-9193","4 Conant St","Accommodations","Provincetown","MA",NA,"",1997,"4 Conant St ,  Provincetown ,  MA",42.0464954,-70.1916503,"historic district, 4 conant st, provincetown, ma 02657, usa","Geocoded","1997-MA-0043"
"Atlantic House Hotel","(*),(M),(D)","(The Big Room), 487-3821 9pm-1am","4 Masonic Pl","Bars","Provincetown","MA",NA,"",1997,"4 Masonic Pl ,  Provincetown ,  MA",42.0499565,-70.1887645,"4 masonic pl, provincetown, ma 02657, usa","Geocoded","1997-MA-0044"
"More Light Presbyterian","(WC)","271-6513 10:30am Sun","4 Meigs St","Spiritual Groups","Rochester","NY",NA,"",1997,"4 Meigs St ,  Rochester ,  NY",43.1536546,-77.5904627,"4 meigs st, rochester, ny 14607, usa","Geocoded","1997-NY-0045"
"Pumps II","(MW),(D),(F),(S)","747-8940 3pm-2am, from noon Sun","4 W Main St","Bars","Spokane","WA",NA,"",1997,"4 W Main St ,  Spokane ,  WA",47.6594148,-117.4115069,"4 w main ave, spokane, wa 99201, usa","Geocoded","1997-WA-0046"
"Passion Flower","","601-7750, toys, leather,etc.","4 Yosemite Ave","Erotica","Oakland","CA",NA,"",1997,"4 Yosemite Ave ,  Oakland ,  CA",37.8238874,-122.2552878,"4 yosemite ave, oakland, ca 94611, usa","Geocoded","1997-CA-0047"
"Sideout","(*),(GF),(E),(WC)","822-0082 noon-1:30am, bands Tue, Th & wknds","4-1330 Kuhio Hwy","Bars","Kapaa, Kauai","HI",NA,"",1997,"4-1330 Kuhio Hwy ,  Kapaa, Kauai ,  HI",22.0750691,-159.3185187,"4-1330 kuhio hwy, kapaʻa, hi 96746, usa","Geocoded","1997-HI-0048"
"Bell St. Chapel (Unitarian Church)","","831-3794","5 Bell St","Spiritual Groups","Providence","RI",NA,"",1997,"5 Bell St ,  Providence ,  RI",41.8187967,-71.4361052,"5 bell st, providence, ri 02909, usa","Geocoded","1997-RI-0049"
"Beach House B&B","(GF),(SW)","227-7074/(800) 283-4667","5 Hickman St","Accommodations","Rehoboth Beach","DE",NA,"",1997,"5 Hickman St ,  Rehoboth Beach ,  DE",38.712687,-75.07677,"5 hickman st, rehoboth beach, de 19971, usa","Geocoded","1997-DE-0050"
"The Arcade","(*),(M),(D),(A),(K),(S),(YC),(WC)","722-5656 9:30pm-?, clsd Mon-Wed","5 Liberty St","Accommodations","Charleston","SC",NA,"",1997,"5 Liberty St ,  Charleston ,  SC",32.782803,-79.9350537,"beatty center for the school of business, 5 liberty st, charleston, sc 29401, usa","Geocoded","1997-SC-0051"
"Stage Left","(*),(MW),(WC)","828-4444 5:30pm-2am, from 4:30pm Sun","5 Livingston Ave","Restaurants & Cafes","New Brunswick","NJ",NA,"",1997,"5 Livingston Ave ,  New Brunswick ,  NJ",40.4936737,-74.4438913,"5 livingston ave, new brunswick, nj 08901, usa","Geocoded","1997-NJ-0052"
"Boo Radley's","(WC)","456-7479 10am-6pm, noon-5pm Sun, gift shop","5 N Post","Bookstores/Retail Shops","Spokane","WA",NA,"",1997,"5 N Post ,  Spokane ,  WA",47.6574983,-117.4237556,"5 n post st, spokane, wa 99201, usa","Geocoded","1997-WA-0053"
"Lava Hot Springs Inn","(GF),(WC)","776-5830 full brkfst, hot tub","5 Portneuf Ave","Accommodations","Lava Hot Springs","ID",NA,"",1997,"5 Portneuf Ave ,  Lava Hot Springs ,  ID",42.6200072,-112.0131295,"portneuf st, lava hot springs, id 83246, usa","Geocoded","1997-ID-0054"
"Independence Place","(MW),(D),(TG),(S)","334-2939 8:30pm-1:30am, from 7:30pm Fri-Sat, clsd Sun","5 S Henderson St","Bars","Cape Girardeau","MO",NA,"",1997,"5 S Henderson St ,  Cape Girardeau ,  MO",37.3046278,-89.534041,"5 s henderson ave, cape girardeau, mo 63703, usa","Geocoded","1997-MO-0055"
"Magnolia's","(*),(M),(MRC-AF),(F),(S),(WC)","652-6500 6pm-3am","5 S Vandeventer","Bars","St. Louis","MO",NA,"",1997,"5 S Vandeventer ,  St. Louis ,  MO",38.6358874,-90.2421163,"5 s vandeventer ave, st. louis, mo 63108, usa","Geocoded","1997-MO-0056"
"Edwards LaLone Travel","(IGTA)","747-3000/(800) 288-3788","5 S Washington","Travel/Tour Operators","Spokane","WA",NA,"",1997,"5 S Washington ,  Spokane ,  WA",47.6559408,-117.4162884,"5 s washington st, spokane, wa 99201, usa","Geocoded","1997-WA-0057"
"Treasure Chest","","873-7411","5 Sanger","Info Lines & Services","Waterville","ME",NA,"",1997,"5 Sanger ,  Waterville ,  ME",44.5567429,-69.6332263,"5 sanger ave, waterville, me 04901, usa","Geocoded","1997-ME-0058"
"Victoria House","(MW)","487-4455","5 Standish St","Accommodations","Provincetown","MA",NA,"",1997,"5 Standish St ,  Provincetown ,  MA",42.0525478,-70.1859761,"historic district, 5 standish st, provincetown, ma 02657, usa","Geocoded","1997-MA-0059"
"Heart of the Hills","(GF)","253-7468/253-7468 full brkfst, pets okay, kids okay, also reservation service, evening desserts, patio","5 Summit","Accommodations","Eureka Springs","AR",NA,"",1997,"5 Summit ,  Eureka Springs ,  AR",36.4030555,-93.7432511,"5 summit st, eureka springs, ar 72632, usa","Geocoded","1997-AR-0060"
"Bet Mishpachah","","833-1638, 8:30pm Fri, lesbigay synagogue","5 Thomas Cir NW","Spiritual Groups","Washington","D.C",NA,"",1997,"5 Thomas Cir NW ,  Washington ,  D.C",38.9064906,-77.0325632,"5 thomas cir nw, washington, dc 20005, usa","Geocoded","1997-D.C-0061"
"Shiremax Inn","(M)","487-1233","5 Tremont St","Accommodations","Provincetown","MA",NA,"",1997,"5 Tremont St ,  Provincetown ,  MA",42.0449344,-70.1929061,"historic district, 5 tremont st, provincetown, ma 02657, usa","Geocoded","1997-MA-0062"
"Karla's","","862-2612, lunch, dinner & late night breakfast, Fri-Sat","5 W Mechanic St","Restaurants & Cafes","New Hope","PA",NA,"",1997,"5 W Mechanic St ,  New Hope ,  PA",40.3618176,-74.9507655,"5 w mechanic st, new hope, pa 18938, usa","Geocoded","1997-PA-0063"
"Mayflower Apartments","(GF)","487-1916","6 Bangs St","Accommodations","Provincetown","MA",NA,"",1997,"6 Bangs St ,  Provincetown ,  MA",42.0564658,-70.1800227,"historic district, 6 bangs st, provincetown, ma 02657, usa","Geocoded","1997-MA-0064"
"Condado Inn","(MW),(F)","724-7145 also lounge","6 Condado Ave","Accommodations","Condado","PR",NA,"",1997,"6 Condado Ave ,  Condado ,  PR",18.456751,-66.0714214,"6 condado ave, san juan, 00907, puerto rico","Geocoded","1997-PR-0065"
"The Terrace Restaurant","","724-7145, dinner, clsd Tue","6 Condado Ave","Restaurants & Cafes","San Juan","PR",NA,"",1997,"6 Condado Ave ,  San Juan ,  PR",18.456751,-66.0714214,"6 condado ave, san juan, 00907, puerto rico","Geocoded","1997-PR-0066"
"Dexter's Inn","(W)","487-1911","6 Conwell St","Accommodations","Provincetown","MA",NA,"",1997,"6 Conwell St ,  Provincetown ,  MA",42.0551674,-70.1852319,"6 conwell st, provincetown, ma 02657, usa","Geocoded","1997-MA-0067"
"Ampersand Guesthouse","(MW)","487-0959","6 Cottage St","Accommodations","Provincetown","MA",NA,"",1997,"6 Cottage St ,  Provincetown ,  MA",42.0440747,-70.1930921,"historic district, 6 cottage st, provincetown, ma 02657, usa","Geocoded","1997-MA-0068"
"Casablanca","(MW),(WC)","648-2040 11am-2am, from 3pm Sat, full bar","6 E Grace St","Restaurants & Cafes","Richmond","VA",NA,"",1997,"6 E Grace St ,  Richmond ,  VA",37.5448132,-77.4423689,"6 e grace st, richmond, va 23219, usa","Geocoded","1997-VA-0069"
"Casablanca","(MW),(WC)","648-2040 11am-2am, from 3pm Sat, full bar","6 E Grace St","Restaurants & Cafes","Richmond","VA",NA,"",1997,"6 E Grace St ,  Richmond ,  VA",37.5448132,-77.4423689,"6 e grace st, richmond, va 23219, usa","Geocoded","1997-VA-0070"
"Elliott House","(MW)","","6 Gosnold St","Accommodations","Provincetown","MA",NA,"",1997,"6 Gosnold St ,  Provincetown ,  MA",42.0508767,-70.188069,"historic district, 6 gosnold st, provincetown, ma 02657, usa","Geocoded","1997-MA-0071"
"Earth & Sky","(WC)","458-3520 11am-7pm, clsd Sun, feminist","6 Jefferson SE","Bookstores/Retail Shops","Grand Rapids","MI",NA,"",1997,"6 Jefferson SE ,  Grand Rapids ,  MI",42.9202025,-85.6610691,"jefferson dr se, grand rapids, mi, usa","Geocoded","1997-MI-0072"
"Maple Leaf Inn","","253-6876/(800) 372-6542 full brkfst, hot tub, kids okay, restored Victorian","6 Kings Hwy","Accommodations","Eureka Springs","AR",NA,"",1997,"6 Kings Hwy ,  Eureka Springs ,  AR",36.4006499,-93.7392889,"eureka springs, ar, usa","Geocoded","1997-AR-0073"
"The Blackstones","(M),(NH),(WC)","775-2885 4pm-1am","6 Pine St","Bars","Portland","ME",NA,"",1997,"6 Pine St ,  Portland ,  ME",43.6526354,-70.266826,"6 pine st, portland, me 04101, usa","Geocoded","1997-ME-0074"
"Inn Exile","(M),(K),(V)","582-4144 3pm-2am, til midnight Sun","6 S 'J' St","Bars","Lake Worth","FL",NA,"",1997,"6 S 'J' St ,  Key West ,  FL",26.615588,-80.05612,"south st, key west, fl 33040, usa","Geocoded","1997-FL-0075"
"Bacchus","(M),(E),(WC)","531-1109 5pm-1:30am, clsd Sun","6 S Sarah","Bars","St. Louis","MO",NA,"",1997,"6 S Sarah ,  St. Louis ,  MO",38.6270025,-90.1994042,"st. louis, mo, usa","Geocoded","1997-MO-0076"
"Six Webster Place","(*),(MW),(WC)","487-2266/(800) 693-2783","6 Webster Pl","Accommodations","Provincetown","MA",NA,"",1997,"6 Webster Pl ,  Provincetown ,  MA",42.0510858,-70.1890806,"6 webster pl, provincetown, ma 02657, usa","Geocoded","1997-MA-0077"
"Chicago House","(M)","487-0537","6 Winslow St","Accommodations","Provincetown","MA",NA,"",1997,"6 Winslow St ,  Provincetown ,  MA",42.0512993,-70.1887667,"historic district, 6 winslow st, provincetown, ma 02657, usa","Geocoded","1997-MA-0078"
"Benchmark Inn & Annex","(MW),(SW)","487-7440/(888) 487-7440","6-8 Dyer St","Accommodations","Provincetown","MA",NA,"",1997,"6-8 Dyer St ,  Provincetown ,  MA",42.055147,-70.1826273,"historic district, 6 dyer st, provincetown, ma 02657, usa","Geocoded","1997-MA-0079"
"Heritage House","(*),(MW)","487-3692","7 Center St","Accommodations","Provincetown","MA",NA,"",1997,"7 Center St ,  Provincetown ,  MA",42.0536962,-70.1847552,"historic district, 7 center st, provincetown, ma 02657, usa","Geocoded","1997-MA-0080"
"New Paltz Travel Center, Inc.","","255-7706","7 Cherry Hill Center","Travel/Tour Operators","New Paltz","NY",NA,"",1997,"7 Cherry Hill Center ,  New Paltz ,  NY",41.7427405,-74.0713889,"246 main st, new paltz, ny 12561, usa","Geocoded","1997-NY-0081"
"Cafe Claude","(E)","392-3505 8am-10pm, live jazz, as close to Paris you can get in SF","7 Claude","Restaurants & Cafes","San Francisco","CA",NA,"",1997,"7 Claude ,  San Francisco ,  CA",37.790459,-122.4044103,"7 claude ln, san francisco, ca 94108, usa","Geocoded","1997-CA-0082"
"The Inn at Cook Street","(GF)","487-3894/(888) 266-5655 intimate & quiet","7 Cook St","Accommodations","Provincetown","MA",NA,"",1997,"7 Cook St ,  Provincetown ,  MA",42.0575126,-70.1787553,"7 cook st, provincetown, ma 02657, usa","Geocoded","1997-MA-0083"
"Napi's","(WC)","487-1145 internat'l/seafood","7 Freeman St","Restaurants & Cafes","Provincetown","MA",NA,"",1997,"7 Freeman St ,  Provincetown ,  MA",42.0528826,-70.1859761,"historic district, 7 freeman st, provincetown, ma 02657, usa","Geocoded","1997-MA-0084"
"Coat of Arms","(MW),(*)","487-0816 seasonal","7 Johnson St","Accommodations","Provincetown","MA",NA,"",1997,"7 Johnson St ,  Provincetown ,  MA",42.0542111,-70.1842552,"historic district, 7 johnson st, provincetown, ma 02657, usa","Geocoded","1997-MA-0085"
"The Ogunquit House","(*),(MW)","646-2967","7 Kings Hwy","Accommodations","Ogunquit","ME",NA,"",1997,"7 Kings Hwy ,  Ogunquit ,  ME",43.2649546,-70.6023315,"7 kings hwy, ogunquit, me 03907, usa","Geocoded","1997-ME-0086"
"Heaven/Hombre","(MW),(D)","421-9595 10pm-2am Wed& Sun","7 Lansdowne St","Bars","Boston","MA",NA,"",1997,"7 Lansdowne St ,  Boston ,  MA",42.3473283,-71.0950605,"7 lansdowne st, boston, ma 02215, usa","Geocoded","1997-MA-0087"
"Arbour Glen Victorian Inn B&B","(MW)","253-9010/(800) 515-4536 full brkfst, kids okay, historic Victorian home, also guesthouse, jacuzzis, fireplaces","7 Lema","Accommodations","Eureka Springs","AR",NA,"",1997,"7 Lema ,  Eureka Springs ,  AR",36.4019426,-93.7450761,"7 lema st, eureka springs, ar 72632, usa","Geocoded","1997-AR-0088"
"Outer Limits","(MW),(D),(F),(E),(S),(PC)","433-3262 24hrs","7 S Joachim St","Bars","Mobile","AL",NA,"",1997,"7 S Joachim St ,  Mobile ,  AL",30.6882644,-88.042733,"7 s joachim st, mobile, al 36602, usa","Geocoded","1997-AL-0089"
"Watership Inn","(*),(MW)","487-0094/(800) 330-9413","7 Winthrop","Accommodations","Provincetown","MA",NA,"",1997,"7 Winthrop ,  Provincetown ,  MA",42.0484291,-70.1908131,"historic district, 7 winthrop st, provincetown, ma 02657, usa","Geocoded","1997-MA-0090"
"Journeys, Inc.","(IGTA)","Pack Plaza, 232-0800/(800) 256-8235","8 Biltmore Ave","Travel/Tour Operators","Asheville","NC",NA,"",1997,"8 Biltmore Ave ,  Asheville ,  NC",35.594432,-82.551345,"8 biltmore ave, asheville, nc 28801, usa","Geocoded","1997-NC-0091"
"The Blue Beacon","(GF)","487-0516","8 Bradford St","Accommodations","Provincetown","MA",NA,"",1997,"8 Bradford St ,  Provincetown ,  MA",42.04485,-70.1947199,"historic district, 8 bradford st, provincetown, ma 02657, usa","Geocoded","1997-MA-0092"
"Roomers","(M)","487-3532 seasonal","8 Carver St","Accommodations","Provincetown","MA",NA,"",1997,"8 Carver St ,  Provincetown ,  MA",42.0490682,-70.189965,"historic district, 8 carver st, provincetown, ma 02657, usa","Geocoded","1997-MA-0093"
"Pieces","(M),(NH)","(6th Ave), 929-9291 2pm-4am","8 Christopher St","Bars","Manhattan","NY",NA,"",1997,"8 Christopher St ,  Manhattan ,  NY",40.7338418,-74.0001048,"8 christopher st, new york, ny 10014, usa","Geocoded","1997-NY-0094"
"Taylors","(MW),(D),(F),(WC)","454-4422 11am-2am, til 4am Fri-Sat, from 6pm Sun, burgers, & soups","8 Ionia SW","Bars","Grand Rapids","MI",NA,"",1997,"8 Ionia SW ,  Grand Rapids ,  MI",42.9629985,-85.6700541,"8 ionia ave sw, grand rapids, mi 49503, usa","Geocoded","1997-MI-0095"
"Swanberry Inn","(MW)","487-4242/(800) 847-7926","8 Johnson St","Accommodations","Provincetown","MA",NA,"",1997,"8 Johnson St ,  Provincetown ,  MA",42.0539469,-70.1844412,"8 johnson st, provincetown, ma 02657, usa","Geocoded","1997-MA-0096"
"The Castle","(*),(MW),(D),(S),(V),(YC),(PC)","235-9949 10pm-4am, clsd Mon-Wed","8 La Grand Blvd","Bars","Greenville","SC",NA,"",1997,"8 La Grand Blvd ,  Greenville ,  SC",34.8526176,-82.3940104,"greenville, sc, usa","Geocoded","1997-SC-0097"
