"title","streetaddress","unclear_address","description","city","state","amenityfeatures","type","Year","full.address","lon","lat","geoAddress","status","notes","ID"
"Jupiter Theater","2500 7th Ave. S.",NA,"324-4552 large screen movies","Birmingham","AL","","Erotica",1993,"2500 7th Ave. S. ,  Birmingham ,  AL",-86.7929381,33.5093961,"2500 7th ave s, birmingham, al 35233, usa","Geocoded",NA,"1993-AL-0023"
"Pleasure Books","7606 1st Ave. N.",NA,"836-7379","Birmingham","AL","","Erotica",1993,"7606 1st Ave. N. ,  Birmingham ,  AL",-86.7301122,33.5608404,"7606 1st ave n, birmingham, al 35206, usa","Geocoded",NA,"1993-AL-0024"
"Top Hat Cinema","9221 Todd Dr.",NA,"833-8221","Birmingham","AL","","Erotica",1993,"9221 Todd Dr. ,  Birmingham ,  AL",-86.700455,33.5878074,"9221 todd ave, birmingham, al 35206, usa","Geocoded",NA,"1993-AL-0025"
"Rushton Park","","checked","(AYOR)","Birmingham","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.780064,33.506402,"unclear_coded_by_hand","Found",NA,"1993-AL-0026"
"Amtrak & Greyhound Depots","","checked","(AYOR)","Decatur","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.983342,34.605925,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0027"
"Beltline Mall","","checked","","Decatur","AL","Cruisy Area","Cruisy Areas",1993,", AL",-87.017448,34.572401,"unclear_coded_by_hand","Found",NA,"1993-AL-0028"
"Delano Park","","checked","","Decatur","AL","Cruisy Area","Cruisy Areas",1993,", AL",-86.976437,34.597248,"unclear_coded_by_hand","Found",NA,"1993-AL-0029"
"Point Mallard Park - Swimmin' Hole","","checked","(Summers)","Decatur","AL","Cruisy Area","Cruisy Areas",1993,", AL",-86.93589,34.57121,"unclear_coded_by_hand","Found",NA,"1993-AL-0030"
"'The Pumps'","","checked","(AYOR)","Decatur","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.983342,34.605925,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0031"
"Veterans Park","","checked","(Days) (AYOR)","Florence","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-87.625245,34.811018,"unclear_coded_by_hand","Found",NA,"1993-AL-0032"
"Wilson Park","","checked","(Nights) (AYOR)","Florence","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-87.675219,34.80322,"unclear_coded_by_hand","Found",NA,"1993-AL-0033"
"Nitro","2461 E. Meighan Blvd.",NA,"492-9724 8pm-2am Wed-Sat","Gadsden","AL","(MW),(D),(YC),(S)","Bars",1993,"2461 E. Meighan Blvd. ,  Gadsden ,  AL",-85.9634515,33.9848364,"2461 e meighan blvd, gadsden, al 35903, usa","Geocoded",NA,"1993-AL-0034"
"Huntsville Help Line","P.O. Box 92, 35804","checked","539-1000 24hrs, some gay/lesbian resources","Huntsville","AL","","Info Lines & Services",1993,"P.O. Box 92, 35804, AL",-86.586104,34.730369,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0035"
"Pink Triangle Alliance","P.O. Box 2334, 35804","checked","539-4235 resource & info line, 10am-early evenings only","Huntsville","AL","","Info Lines & Services",1993,"P.O. Box 2334, 35804, AL",-86.59007,34.729901,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0036"
"Portfolios","2021 Golf Rd.",NA,"883-8883 6pm-2am, til 4am Fri & Sat, clsd. Mon & Tues, 2 bars, summer pool hrs.","Huntsville","AL","(*),(MW),(AH),(D),(E),(SW),(V)","Bars",1993,"2021 Golf Rd. ,  Huntsville ,  AL",-86.5829429,34.6823646,"2021 golf rd sw, huntsville, al 35802, usa","Geocoded",NA,"1993-AL-0037"
"Vieux Carre","1204 Posey",NA,"534-5970 7pm-2am, from 4pm Sun, patio","Huntsville","AL","(MW),(D),(NH),(E)","Bars",1993,"1204 Posey ,  Huntsville ,  AL",-86.6005067,34.7379893,"1204 posey st nw, huntsville, al 35816, usa","Geocoded",NA,"1993-AL-0038"
"Opening Books","403 Pratt Ave. N.E.",NA,"536-5880, 9am-10pm, til midnight Tues, Fri & Sat, lending library","Huntsville","AL","","Bookstores/Retail Shops",1993,"403 Pratt Ave. N.E. ,  Huntsville ,  AL",-86.580157,34.7390826,"403 pratt ave ne, huntsville, al 35801, usa","Geocoded",NA,"1993-AL-0039"
"MCC","2400 Bob Wallace #102-103",NA,"533-6220 Sun 11am & 6pm, Wed 7pm","Huntsville","AL","","Religious Organizations",1993,"2400 Bob Wallace #102-103 ,  Huntsville ,  AL",-86.5976451,34.7116241,"2400 bob wallace ave sw 102 103, huntsville, al 35805, usa","Geocoded",NA,"1993-AL-0040"
"Tallulah Bankhead Parkway","","checked","all overlooks (AYOR)","Huntsville","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.586104,34.730369,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0041"
"Germania Springs","","checked","","Jacksonville","AL","Cruisy Area","Cruisy Areas",1993,", AL",-85.757482,33.8478,"unclear_coded_by_hand","Found",NA,"1993-AL-0042"
"Jacksonville State U., Bibb Graves Hall & Ayers Hall","","checked","(AYOR)","Jacksonville","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-85.765343,33.822939,"unclear_coded_by_hand","Found",NA,"1993-AL-0043"
"Golden Rod","219 Conti",NA,"433-9175 7:30am-?, 24hrs Fri-Sun","Mobile","AL","(MX),(PC)","Bars",1993,"219 Conti ,  Mobile ,  AL",-88.0434414,30.6903202,"219 conti st, mobile, al 36602, usa","Geocoded",NA,"1993-AL-0044"
"Hojons","7 S. Joachim St.",NA,"433-3073 3pm-?, restaurant opens 5pm","Mobile","AL","(MW),(D),(E),(F),(PC),(S)","Bars",1993,"7 S. Joachim St. ,  Mobile ,  AL",-88.042733,30.6882644,"7 s joachim st, mobile, al 36602, usa","Geocoded",NA,"1993-AL-0045"
"Sensations","9 N. Jackson St.",NA,"694-0909 8pm-?, clsd Mon","Mobile","AL","(MW),(D),(PC),(YC)","Bars",1993,"9 N. Jackson St. ,  Mobile ,  AL",-88.0451917,30.6911854,"9 n jackson st, mobile, al 36602, usa","Geocoded",NA,"1993-AL-0046"
"Society Lounge","51 Conception",NA,"433-9141 noon-?","Mobile","AL","(MW),(D),(PC),(S)","Bars",1993,"51 Conception ,  Mobile ,  AL",-88.042412,30.690695,NA,"Geocoded",NA,"1993-AL-0047"
"Sparky's","55 S. Joachim St.","checked","438-1728 Hi NRG dance & cruise bar","Mobile","AL","(D),(NH),(PC),(V)","Bars,Cruisy Areas",1993,"55 S. Joachim St., AL",-88.04332,30.69017,"unclear_coded_by_hand","Found",NA,"1993-AL-0048"
"Troopers","215 Conti. St.","checked","433-7436 cruisy, 3pm-?, from noon Sun","Mobile","AL","(NH),(PC)","Bars,Cruisy Areas",1993,"215 Conti. St., AL",-88.043305,30.690341,"unclear_coded_by_hand","Found",NA,"1993-AL-0049"
"MCC","6345 Old Shell Rd.",NA,"476-4621, 7pm Sun","Mobile","AL","","Religious Organizations",1993,"6345 Old Shell Rd. ,  Mobile ,  AL",-88.1890765,30.6897815,"6345 old shell rd, mobile, al 36608, usa","Geocoded",NA,"1993-AL-0050"
"Midtown Cinema","270 Dauphin St.",NA,"438-9910","Mobile","AL","","Erotica",1993,"270 Dauphin St. ,  Mobile ,  AL",-88.0445995,30.691199,"270 dauphin st, mobile, al 36602, usa","Geocoded",NA,"1993-AL-0051"
"Old State Park (opp. Holiday Inn - off causeway)","","checked","","Mobile","AL","Cruisy Area","Cruisy Areas",1993,", AL",-88.039891,30.695366,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0052"
"Hojons","215 N. Court St.",NA,"269-9672 7pm-?, til 2am Sat, clsd Sun & Mon","Montgomery","AL","(MW),(D),(S)","Bars",1993,"215 N. Court St. ,  Montgomery ,  AL",-86.3091889,32.3803807,"215 n court st, montgomery, al 36104, usa","Geocoded",NA,"1993-AL-0053"
"Zippers","207 Dexter Ave.",NA,"263-7890 8pm-?, from 6pm Sun","Montgomery","AL","(MW),(D),(AH),(S),(PC)","Bars",1993,"207 Dexter Ave. ,  Montgomery ,  AL",-86.3059453,32.3777771,"207 dexter ave, montgomery, al 36104, usa","Geocoded",NA,"1993-AL-0054"
"Black & White Men Together","P.O. Box 603, 36101","checked","284-2421","Montgomery","AL","(BWMT)","Men's Services",1993,"P.O. Box 603, 36101, AL",-86.311007,32.373798,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0055"
"MCC","5290 Vaughn",NA,"264-7887, 5:30pm Sun","Montgomery","AL","","Religious Organizations",1993,"5290 Vaughn ,  Montgomery ,  AL",-86.2171226,32.3422846,"5290 vaughn rd, montgomery, al 36116, usa","Geocoded",NA,"1993-AL-0056"
"Auburn University","","checked","(AYOR)","Montgomery","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.178834,32.369595,"unclear_coded_by_hand","Found",NA,"1993-AL-0057"
"Block around Post Office, early evenings","","checked","(AYOR)","Montgomery","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.307737,32.379223,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0058"
"Cooter's Pond","","checked","(AYOR)","Montgomery","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.400732,32.429394,"unclear_coded_by_hand","Found",NA,"1993-AL-0059"
"Court Square","","checked","","Montgomery","AL","Cruisy Area","Cruisy Areas",1993,", AL",-86.309296,32.377599,"unclear_coded_by_hand","Found",NA,"1993-AL-0060"
"Eastdale Mall","","checked","(AYOR)","Montgomery","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.206119,32.385349,"unclear_coded_by_hand","Found",NA,"1993-AL-0061"
"McInnis area","","checked","(AYOR)","Montgomery","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.252829,32.292786,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0062"
"Montgomery Mall","","checked","(AYOR)","Montgomery","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.252829,32.292786,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0063"
"Riverfront Park train terminal","","checked","(AYOR)","Montgomery","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.312563,32.382936,"unclear_coded_by_hand","Found",NA,"1993-AL-0064"
"Rosa I. Parks Ave. at Mill St.","","checked","","Montgomery","AL","Cruisy Area","Cruisy Areas",1993,", AL",-86.316613,32.362592,"unclear_coded_by_hand","Found",NA,"1993-AL-0065"
"S. Jackson St, at High St.","","checked","(AYOR)","Montgomery","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.296317,32.372036,"unclear_coded_by_hand","Found",NA,"1993-AL-0066"
"W. Fairview Ave. at Goode. St.","","checked","evenings (AYOR)","Montgomery","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.312436,32.351708,"unclear_coded_by_hand","Found",NA,"1993-AL-0067"
"Prattville Park","","checked","","Prattville","AL","Cruisy Area","Cruisy Areas",1993,", AL",-86.466914,32.453906,"unclear_coded_by_hand","Found",NA,"1993-AL-0068"
"Selma Mall-Broad St.","","checked","","Selma","AL","Cruisy Area","Cruisy Areas",1993,", AL",-87.016506,32.43312,"unclear_coded_by_hand","Found",NA,"1993-AL-0069"
"Washington St.","","checked","","Selma","AL","Cruisy Area","Cruisy Areas",1993,", AL",-87.022179,32.413842,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0070"
"Gay/Lesbian Alliance","U. of Alabama","checked","348-1517","Tuscaloosa","AL","","Info Lines & Services",1993,"U. of Alabama, AL",-87.545433,33.214516,"unclear_coded_by_hand","Found",NA,"1993-AL-0071"
"Michael's","2201 6th St.",NA,"758-9223 6pm-?, clsd Sun","Tuscaloosa","AL","(MW),(D),(LV),(PC),(S)","Bars",1993,"2201 6th St. ,  Tuscaloosa ,  AL",-87.5652188,33.209603,"2201 6th st, tuscaloosa, al 35401, usa","Geocoded",NA,"1993-AL-0072"
"Bus Station","","checked","(AYOR)","Tuscaloosa","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-87.569173,33.209841,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0073"
"AA Gay/Lesbian","","checked","272-2312 (AA#) call for times & location","Anchorage","AK","","Info Lines & Services",1993,", AK",-149.899678,61.217576,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AK-0074"
"Anchorage Gay/Lesbian Info Line","","checked","258-4777, irregular hours leave message","Anchorage","AK","","Info Lines & Services",1993,", AK",-149.915966,61.196105,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AK-0075"
"Blue Moon","530 E. 5th Ave.",NA,"277-0441 11am-2:30am","Anchorage","AK","(MW),(D),(S)","Bars",1993,"530 E. 5th Ave. ,  Anchorage ,  AK",-149.8736996,61.2172988,"mad myrna's, 530 e 5th ave, anchorage, ak 99501, usa","Geocoded",NA,"1993-AK-0076"
"Raven","618 Gambell",NA,"276-9672 11am-2:30 am","Anchorage","AK","(MW),(V),(NH)","Bars",1993,"618 Gambell ,  Anchorage ,  AK",-149.8716273,61.2162443,"618 gambell st, anchorage, ak 99501, usa","Geocoded",NA,"1993-AK-0077"
"Cyrano's Bookstore & Cafe","413 'D' St.",NA,"274-2599 seasonal hours, cinema","Anchorage","AK","(MX),(BW),(F)","Bookstores/Retail Shops",1993,"413 'D' St. ,  Anchorage ,  AK",-149.889225,61.2182137,"413 d st, anchorage, ak 99501, usa","Geocoded",NA,"1993-AK-0078"
"MCC","602 W. 10th Ave.",NA,"(Log Cabin Unitarian Church) 753-0271, 338-6749, 2:30 Sun","Anchorage","AK","","Religious Organizations",1993,"602 W. 10th Ave. ,  Anchorage ,  AK",-149.8937455,61.2122881,"602 w 10th ave, anchorage, ak 99501, usa","Geocoded",NA,"1993-AK-0079"
"Identity Northview","P.O. Box 200070, 99520","checked","258-4777 monthly newsletter, sponsors Fourth Fri Potluck Social, call for details","Anchorage","AK","","Publications",1993,"P.O. Box 200070, 99520, AK",-149.850373,61.218923,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AK-0080"
"Adults Only Bookstore","3956 Spenard Rd.",NA,"243-0697","Anchorage","AK","","Erotica",1993,"3956 Spenard Rd. ,  Anchorage ,  AK",-149.9262816,61.184545,"3956 spenard rd, anchorage, ak 99517, usa","Geocoded",NA,"1993-AK-0081"
"Anchorage Video Mart","137 W. 5th Ave.",NA,"276-9224, 24hrs","Anchorage","AK","","Erotica",1993,"137 W. 5th Ave. ,  Anchorage ,  AK",-149.8848136,61.2178036,"137 w 5th ave, anchorage, ak 99501, usa","Geocoded",NA,"1993-AK-0082"
"French Quarter","4028 Mountain View",NA,"276-9049","Anchorage","AK","","Erotica",1993,"4028 Mountain View ,  Anchorage ,  AK",-149.8056077,61.2239637,"4028 mountain view dr, anchorage, ak 99508, usa","Geocoded",NA,"1993-AK-0083"
"La Sex Shoppe","305 W. Diamond Blvd.",NA,"522-1987, 24hrs","Anchorage","AK","","Erotica",1993,"305 W. Diamond Blvd. ,  Anchorage ,  AK",-149.8847676,61.1449402,"305 w dimond blvd, anchorage, ak 99515, usa","Geocoded",NA,"1993-AK-0084"
"Swinger Book Store","710 W. Northern Lights Blvd.",NA,"561-5039, 24hrs","Anchorage","AK","","Erotica",1993,"710 W. Northern Lights Blvd. ,  Anchorage ,  AK",-149.897326,61.1951308,"710 w northern lights blvd, anchorage, ak 99503, usa","Geocoded",NA,"1993-AK-0085"
"Park Strip at 9th & 'L' Sts.","","checked","","Anchorage","AK","Cruisy Area","Cruisy Areas",1993,", AK",-149.903704,61.213666,"unclear_coded_by_hand","Found",NA,"1993-AK-0086"
"Gay Info Line","","checked","488-6636 leave message on machine","Fairbanks","AK","","Info Lines & Services",1993,", AK",-147.716389,64.837778,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AK-0087"
"Gay/Lesbian Info Line","P.O. Box 74552, 99707","checked","452-3745 info on local events","Fairbanks","AK","","Info Lines & Services",1993,"P.O. Box 74552, 99707, AK",-147.719466,64.839827,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AK-0088"
"Alta B & B","5132 Haystack Mountain Rd.",NA,"488-6636 outskirts of town, great northern lights","Fairbanks","AK","","Accommodations",1993,"5132 Haystack Mountain Rd. ,  Fairbanks ,  AK",-147.720084,65.090563,"5132 haystack mountain rd, fairbanks, ak 99712, usa","Geocoded",NA,"1993-AK-0089"
"Fantasyland Video","1765 Richardson Hwy.",NA,"488-0879, 24hrs","Fairbanks","AK","","Erotica",1993,"1765 Richardson Hwy. ,  Fairbanks ,  AK",-147.5150134,64.7879453,"1765 richardson hwy, north pole, ak 99705, usa","Geocoded",NA,"1993-AK-0090"
"Bentley Mall","","checked","","Fairbanks","AK","Cruisy Area","Cruisy Areas",1993,", AK",-149.888942,61.216889,"unclear_coded_by_hand","Found",NA,"1993-AK-0091"
"University of Alaska Library","","checked","(AYOR)","Fairbanks","AK","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AK",-147.820022,64.856934,"unclear_coded_by_hand","Found",NA,"1993-AK-0092"
"Juneau Crisis Line","","checked","586-4357, 24hrs","Juneau","AK","","Info Lines & Services",1993,", AK",-134.420131,58.300493,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AK-0093"
"Summit Hotel","455 S. Franklin St.",NA,"586-2050 5:30pm-10pm","Juneau","AK","(MX)","Restaurants & Cafes",1993,"455 S. Franklin St. ,  Juneau ,  AK",-134.400941,58.297064,"455 s franklin st, juneau, ak 99801, usa","Geocoded",NA,"1993-AK-0094"
"St. Elmo's","36 Brewer Gulch Ave.",NA,"432-5578 discreetly frequented by local gay population","Bisbee","AZ","(MX),(F)","Bars",1993,"36 Brewer Gulch Ave. ,  Bisbee ,  AZ",-109.9133562,31.448586,"36 brewery gulch, bisbee, az 85603, usa","Geocoded",NA,"1993-AZ-0095"
"Lariat Saloon","1161 Hancock Rd.",NA,"758-9741 10am-1am","Bullhead City","AZ","(NH)","Bars",1993,"1161 Hancock Rd. ,  Bullhead City ,  AZ",-114.607297,35.1082907,"1161 hancock rd, bullhead city, az 86442, usa","Geocoded",NA,"1993-AZ-0096"
"'Rest Stops' N. on I-10","","checked","(AYOR)","Casa Grande","AZ","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AZ",-111.77339,32.911003,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AZ-0097"
"Gay/Lesbian Community Phone Line","","checked","526-6098","Flagstaff","AZ","","Info Lines & Services",1993,", AZ",-111.651302,35.198284,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AZ-0098"
"Global Real Estate Referrals","","checked","(800) 346-5592 gay realtor at your service","Flagstaff","AZ","","Info Lines & Services",1993,", AZ",-111.651302,35.198284,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AZ-0099"
"N.A.U. Gay Academic Union","","checked","526-6098 weekly meetings, call for info","Flagstaff","AZ","","Info Lines & Services",1993,", AZ",-111.651302,35.198284,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AZ-0100"
"Charlie's","23 N. Leroux",NA,"779-1919 11pm-1am, discreetly frequented by local gay population","Flagstaff","AZ","(MX),(F)","Bars",1993,"23 N. Leroux ,  Flagstaff ,  AZ",-111.6490479,35.1984555,"23 n leroux st, flagstaff, az 86001, usa","Geocoded",NA,"1993-AZ-0101"
"Monte Vista Lounge","100 N. San Francisco St.",NA,"779-6971 10am-1am, accommodations available","Flagstaff","AZ","(MX),(E)","Bars",1993,"100 N. San Francisco St. ,  Flagstaff ,  AZ",-111.6473011,35.1982704,"100 n san francisco st, flagstaff, az 86001, usa","Geocoded",NA,"1993-AZ-0102"
"Aradia Books","116 W. Cottage",NA,"779-3817, 10:30am-5:30pm, clsd Sun","Flagstaff","AZ","","Bookstores/Retail Shops",1993,"116 W. Cottage ,  Flagstaff ,  AZ",-111.6517029,35.1962402,"116 w cottage ave, flagstaff, az 86001, usa","Geocoded",NA,"1993-AZ-0103"
"Thorp Park","","checked","(AYOR)","Flagstaff","AZ","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AZ",-111.658355,35.203668,"unclear_coded_by_hand","Found",NA,"1993-AZ-0104"
"Bowling Alley & Rec. Center","","checked","(AYOR)","Ft. Huachuca","AZ","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AZ",-110.349922,31.555216,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AZ-0105"
"Kings Inn Best Western","2930 E. Andy Devine",NA,"753-6101","Kingman","AZ","(MX)","Accommodations",1993,"2930 E. Andy Devine ,  Kingman ,  AZ",-114.0148392,35.2121662,"2930 e andy devine ave, kingman, az 86401, usa","Geocoded",NA,"1993-AZ-0106"
"London Bridge (is going down!)","","checked","","Lake Havasu City","AZ","Cruisy Area","Cruisy Areas",1993,", AZ",-114.352661,34.467188,"unclear_coded_by_hand","Found",NA,"1993-AZ-0107"
"Park of Canals on N. Horne St.","","checked","","Mesa","AZ","Cruisy Area","Cruisy Areas",1993,", AZ",-111.813879,33.440476,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AZ-0108"
"Reed & Pioneer Park","","checked","(AYOR)","Mesa","AZ","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AZ",-111.819674,33.416972,"unclear_coded_by_hand","Found",NA,"1993-AZ-0109"
"AA Gay/Lesbian","","checked","264-1341 (AA#) call for many meetings","Phoenix","AZ","","Info Lines & Services",1993,", AZ",-112.074037,33.448377,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AZ-0110"
"Camelback Business & Professional Assoc.","P.O. Box 2097, 85001","checked","225-8888","Phoenix","AZ","","Info Lines & Services",1993,"P.O. Box 2097, 85001, AZ",-112.185987,33.538652,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AZ-0111"
