ID,title,description,streetaddress,type,amenityfeatures,city,state,Year,unclearaddress,uncleartype,notes,lastmodified,full.address,lat,lon,geoAddress,status
290,'F' Street Bookstore,,158 E. Main,Book Store,(*),El Cajon,CA,1983,,,,12/5/2021 11:00am,"158 E. Main, El Cajon, CA",32.7951953,-116.9609898,"158 e main st, el cajon, ca 92020, usa",Google Verified Location
4480,'First Beach',in front of concession stands,,Cruising Areas,Cruisy Area,Newport,RI,1983,checked,NA,,6/6/2022 8:19am,", RI",41.488401,-71.291362,unclear_coded_by_hand,Verified Location
2337,'Gay Loop' Keo & Park,betw. 4th & 5th Sts. (AH*),,Cruising Areas,"Cruisy Area,(AH),(*)",Des Moines,IA,1983,checked,NA,,5/2/2022 4:42am,", IA",41.586835,-93.624959,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4668,'Hippie Hollow',"'B.A.' beach in Lake Travis, off Hwy. 620",,Cruising Areas,Cruisy Area,Austin,TX,1983,checked,NA,,6/7/2022 3:24pm,", TX",30.41351,-97.886849,unclear_coded_by_hand,Verified Location
1335,'Hitch-Hikers',,E. Colfax,Cruising Areas,Cruisy Area,Denver,CO,1983,checked,NA,,3/11/2022 5:24am,"E. Colfax, CO",39.739236,-104.990251,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
674,'Hitch-hikers',,Hill St.,Cruising Areas,Cruisy Area,Oceanside,CA,1983,checked,NA,,2/20/2022 9:15am,"Hill St., CA",33.19587,-117.379483,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1212,'Hitch-hikers',(nr. State St.) (afternoons),US 101,Cruising Areas,Cruisy Area,Santa Barbara,CA,1983,checked,NA,,4/28/2022 5:03am,"US 101, CA",34.415519,-119.693381,unclear_coded_by_hand,Verified Location
3444,'Hitch-hikers',betw. North & Bryant,Elmwood,Cruising Areas,Cruisy Area,Buffalo,NY,1983,checked,NA,,5/27/2022 10:53pm,"Elmwood, NY",42.902261,-78.877111,unclear_coded_by_hand,Verified Location
1506,'Hitch-hikers',,Wisconsin Ave.,Cruising Areas,Cruisy Area,Washington,DC,1983,checked,NA,,3/15/2022 5:38am,"Wisconsin Ave., DC",38.907192,-77.036871,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
196,'Hitch-hikers',E. Speedway,,Cruising Areas,Cruisy Area,Tucson,AZ,1983,checked,NA,,2/14/2022 3:06am,", AZ",32.222607,-110.974711,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
139,'Hitch-hikers',,Roosevelt St.,Cruising Areas,Cruisy Area,Phoenix,AZ,1983,checked,NA,,2/9/2022 3:40pm,"Roosevelt St., AZ",33.448377,-112.074037,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4763,'Hitch-hikers',,N. Mesa St.,Cruising Areas,Cruisy Area,El Paso,TX,1983,checked,NA,,6/7/2022 4:43pm,"N. Mesa St., TX",31.761878,-106.485022,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
208,'Hitch-hikers',4th Ave. & Hwy. 8,,Cruising Areas,"Cruisy Area,(AYOR)",Yuma,AZ,1983,checked,NA,,2/13/2022 2:30pm,", AZ",32.731581,-114.624535,unclear_coded_by_hand,Verified Location
416,'Hitch-hikers',on Broadway,,Cruising Areas,Cruisy Area,Long Beach,CA,1983,checked,NA,,2/19/2022 11:20am,", CA",33.769284,-118.193606,unclear_coded_by_hand,Verified Location
899,'Hitch-hikers',(Sailors) (along Rosecrans),,Cruising Areas,Cruisy Area,San Diego,CA,1983,checked,NA,,2/28/2022 3:53am,", CA",32.715738,-117.161084,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
5263,'Hitch-hikers',N. Farwell & Prospect,,Cruising Areas,Cruisy Area,Milwaukee,WI,1983,checked,NA,,6/13/2022 3:13pm,", WI",43.038903,-87.906474,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
900,'Hitch-hikers',(along El Cahon) (nr. S.D. St. Univ.),,Cruising Areas,Cruisy Area,San Diego,CA,1983,checked,NA,,2/28/2022 3:53am,", CA",32.715738,-117.161084,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
360,'Hitch-hikers',On Coast Hwy. from Myrtle St. to Bluebird Canyon Rd.,,Cruising Areas,Cruisy Area,Laguna Beach,CA,1983,checked,NA,,2/22/2022 8:17am,", CA",33.542719,-117.785357,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
531,'Hitch-hikers',from Highland to Beverly Hills,Santa Monica Blvd.,Cruising Areas,Cruisy Area,Hollywood,CA,1983,checked,NA,,2/20/2022 7:28am,"Santa Monica Blvd., CA",34.092809,-118.328661,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
532,'Hitch-hikers',W. of Highland,Sunset Blvd,Cruising Areas,Cruisy Area,Hollywood,CA,1983,checked,NA,,2/20/2022 7:28am,"Sunset Blvd, CA",34.092809,-118.328661,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
138,'Hitch-hikers',,2nd St.,Cruising Areas,Cruisy Area,Phoenix,AZ,1983,checked,NA,,2/9/2022 3:41pm,"2nd St., AZ",33.448377,-112.074037,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4736,'Homo Heights',Oaklawn & Lemmon,,Cruising Areas,Cruisy Area,Dallas,TX,1983,checked,NA,,6/7/2022 4:09pm,", TX",32.811931,-96.805542,unclear_coded_by_hand,Verified Location
591,'Hustlers',betw. 4th & 6th Sts.,Main St.,Cruising Areas,Cruisy Area,Los Angeles,CA,1983,checked,NA,,2/20/2022 8:06am,"Main St., CA",34.052234,-118.243685,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4059,'In the woods',,Whittier St.,Cruising Areas,"Cruisy Area,(AYOR)",Columbus,OH,1983,checked,NA,,6/2/2022 3:16pm,"Whittier St., OH",39.961176,-82.998794,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
160,'K' Mart,T-Room,,Cruising Areas,Cruisy Area,Sierra Vista,AZ,1983,checked,NA,,2/10/2022 6:45am,", AZ",31.5455,-110.277286,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1495,'K' St.,,'K' St.,Cruising Areas,Cruisy Area,Washington,DC,1983,checked,NA,,3/15/2022 5:38am,"'K' St., DC",38.907192,-77.036871,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
821,'K' St. Mall,Weinstock's T-Room,,Cruising Areas,Cruisy Area,Sacramento,CA,1983,checked,NA,,2/24/2022 7:17am,", CA",38.573139,-121.471161,unclear_coded_by_hand,Verified Location
2706,'L' St. Beach,,,Cruising Areas,"Cruisy Area,(OC)",Boston,MA,1983,checked,NA,,5/18/2022 2:56pm,", MA",42.328987,-71.035301,unclear_coded_by_hand,Verified Location
3423,'Lollypop Heaven',Rest Stop,Rte. 81 Northbound,Cruising Areas,Cruisy Area,Binghamton,NY,1983,checked,NA,,5/27/2022 10:39pm,"Rte. 81 Northbound, NY",42.098687,-75.917974,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3472,'Meat Rack',"anywhere and everypleace from the time you get on the ferry, but especially the W. end of tyhe boardwalk at The Pines, and the 'Meat Rack' & 'bushes' betw. Cherry Grove & The Pines. Seasonal flights are offered by Pellham Airlines, E. 23rd St. Marina, N.Y.C.",,Cruising Areas,Cruisy Area,Fire Island,NY,1983,checked,NA,,5/30/2022 12:42pm,", NY",40.6476,-73.145947,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3232,'Milk Run',"Howard & Jackson Sts., betw . 16th & 18th, in vicinity of Bus Depot (Nights)",,Cruising Areas,Cruisy Area,Omaha,NE,1983,checked,NA,,5/25/2022 9:24am,", NE",41.254493,-96.205166,unclear_coded_by_hand,Verified Location
1163,'Miracle Mile',,Folsom St.,Cruising Areas,Cruisy Area,San Francisco,CA,1983,checked,NA,Article about Folsom St. or the Miracle Mile: https://www.foundsf.org/index.php?title=Folsom_Street:_The_Miracle_Mile,3/6/2022 4:34pm,"Folsom St., CA",37.77493,-122.419415,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1164,'Miracle Mile',betw. 12th & 8th,Harrison St.,Cruising Areas,Cruisy Area,San Francisco,CA,1983,checked,NA,,3/6/2022 4:33pm,"Harrison St., CA",37.77493,-122.419415,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1063,'N Touch,(Disco),1548 Polk St.,Bars/Clubs,"(D),(OC),(*)",San Francisco,CA,1983,,,,12/5/2021 11:00am,"1548 Polk St., San Francisco, CA",37.7913356,-122.4206189,"1548 polk st, san francisco, ca 94109, usa",Google Verified Location
1503,'P' St. Beach,(Georgetown),,Cruising Areas,"Cruisy Area,(AYOR)",Washington,DC,1983,checked,NA,,3/15/2022 5:38am,", DC",38.907192,-77.036871,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1167,'Polstrasse',betw. Post & Union,Polk St.,Cruising Areas,"Cruisy Area,(*),(RT)",San Francisco,CA,1983,checked,NA,,3/6/2022 4:36pm,"Polk St., CA",37.77493,-122.419415,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4526,'Primrose Path',Senate St. & grounds adj. to the Capitol,,Cruising Areas,"Cruisy Area,(AYOR)",Columbia,SC,1983,checked,NA,,6/6/2022 9:29am,", SC",34.00071,-81.034814,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3075,'Rest Stop ',just N. o f town,I-55,Cruising Areas,Cruisy Area,Hernando,MS,1983,checked,NA,,5/23/2022 11:49am,"I-55, MS",34.823987,-89.993702,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2850,'Rest Stop',,N. on Rte. 3,Cruising Areas,"Cruisy Area,(AYOR)",Weymouth,MA,1983,checked,NA,,5/19/2022 2:20pm,"N. on Rte. 3, MA",42.218072,-70.941036,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3069,'Rest Stop',,I-20 E.,Cruising Areas,Cruisy Area,Forest,MS,1983,checked,NA,,5/23/2022 11:42am,"I-20 E., MS",32.364589,-89.474235,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3332,'Rest Stop',(Eastbound) 1/2 mi. E. of Garden St. Pkwy.,Rte. 3,Cruising Areas,Cruisy Area,Clifton,NJ,1983,checked,NA,,5/26/2022 8:10am,"Rte. 3, NJ",40.858433,-74.163755,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4440,'Rest Stop',at Bridgeville,I-79,Cruising Areas,Cruisy Area,Pittsburgh,PA,1983,checked,NA,,6/4/2022 9:12am,"I-79, PA",40.440625,-79.995886,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2360,'Rest Stop',3 mi. W.,US 56,Cruising Areas,Cruisy Area,Lyons,KS,1983,checked,NA,,5/2/2022 5:35am,"US 56, KS",38.34501,-98.201727,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2439,'Rest Stop',,I-12 E.,Cruising Areas,Cruisy Area,Baton Rouge,LA,1983,checked,NA,,5/3/2022 4:49am,"I-12 E., LA",30.451468,-91.187147,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2362,'Rest Stop',10 mi. E. of Junction City,I-70,Cruising Areas,Cruisy Area,Manhattan,KS,1983,checked,NA,,5/2/2022 5:39am,"I-70, KS",39.183608,-96.571669,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
5151,'Rest Stop',at Federal Way,I-5 N.,Cruising Areas,Cruisy Area,Tacoma,WA,1983,checked,NA,,6/10/2022 8:40pm,"I-5 N., WA",47.252877,-122.444291,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2559,'Rest Stop',in Minden,1-20 E.,Cruising Areas,Cruisy Area,Shreveport,LA,1983,checked,NA,,5/17/2022 6:37pm,"1-20 E., LA",32.615428,-93.286835,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2284,'Rest Stop',3 mi. N.E.,US 40,Cruising Areas,Cruisy Area,Knightstown,IN,1983,checked,NA,,5/1/2022 7:15pm,"US 40, IN",39.795601,-85.526363,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2874,'Rest Stop',in Vet Park - 3 mi. S.,River Rd.,Cruising Areas,Cruisy Area,Bay City,MI,1983,checked,NA,,5/20/2022 3:18pm,"River Rd., MI",43.594468,-83.888865,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2875,'Rest Stop',Westbound,Jan-94,Cruising Areas,Cruisy Area,Belleville,MI,1983,checked,NA,,5/20/2022 3:19pm,"Jan-94, MI",42.204762,-83.485213,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
337,'Rest Stop',just N. of Bunker Hill Dr. exit,I-280,Cruising Areas,Cruisy Area,Hillsborough,CA,1983,checked,NA,,2/18/2022 10:45am,"I-280, CA",37.574103,-122.379416,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2230,'Rest Stop',N. nr. Zion,I-94,Cruising Areas,Cruisy Area,Waukegan,IL,1983,checked,NA,,4/14/2022 5:55am,"I-94, IL",42.363633,-87.844794,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2393,'Rest Stop',,I-75 S.,Cruising Areas,Cruisy Area,Covington,KY,1983,checked,NA,,5/2/2022 6:13pm,"I-75 S., KY",39.083671,-84.508554,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2878,'Rest Stop',8 mi. N .,US 131,Cruising Areas,Cruisy Area,Big Rapids,MI,1983,checked,NA,,5/20/2022 1:13pm,"US 131, MI",43.698078,-85.483656,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2968,'Rest Stop',2 mi. S. of I96 (Northbound),Hwy. 127,Cruising Areas,Cruisy Area,Lansing,MI,1983,checked,NA,,5/20/2022 2:55pm,"Hwy. 127, MI",42.732535,-84.555535,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2570,'Rest Stop',,Rt. 3,Cruising Areas,Cruisy Area,Liberty,ME,1983,checked,NA,,5/18/2022 11:17am,"Rt. 3, ME",44.389369,-69.302651,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1215,'Rest Stop',"N. of Goleta, jsut before tunnel",,Cruising Areas,Cruisy Area,Santa Barbara,CA,1983,checked,NA,,3/3/2022 7:30am,", CA",34.420831,-119.69819,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2564,'Rest Stop',Northbound at Carmel,Jan-95,Cruising Areas,"Cruisy Area,(AYOR)",Bangor,ME,1983,checked,NA,,5/18/2022 11:03am,"Jan-95, ME",44.801613,-68.771226,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2641,'Rest Stop',& woods behind (Known locally as 'Ruth Ann's'),1-95 Northbound,Cruising Areas,"Cruisy Area,(AYOR)",Burtonsville,MD,1983,checked,NA,,5/18/2022 1:28pm,"1-95 Northbound, MD",39.111219,-76.932475,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4534,'Rest Stop',,I-85 S.,Cruising Areas,Cruisy Area,Gaffney,SC,1983,checked,NA,,6/6/2022 9:37am,"I-85 S., SC",35.071795,-81.649819,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4097,'Rest Stop',,East on U.S. 33,Cruising Areas,Cruisy Area,Saint Marys,OH,1983,checked,NA,,6/2/2022 4:19pm,"East on U.S. 33, OH",40.54227,-84.389396,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2308,'Rest Stop',10 mi. S.,Hwy. 41,Cruising Areas,Cruisy Area,Farmersbury,IN,1983,checked,NA,,5/1/2022 7:27pm,"Hwy. 41, IN",39.248651,-87.381963,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4434,'Rest Stop',,Allegheny River Blvd.,Cruising Areas,Cruisy Area,Pittsburgh,PA,1983,checked,NA,,6/4/2022 9:12am,"Allegheny River Blvd., PA",40.440625,-79.995886,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2872,'Rest Stop',just S. of 1-94,Hwy. 23,Cruising Areas,Cruisy Area,Ann Arbor,MI,1983,checked,NA,,5/20/2022 1:07pm,"Hwy. 23, MI",42.280826,-83.743038,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
834,'Rest Stop',nr. Fontana (N. side),I-10,Cruising Areas,"Cruisy Area,(AYOR)",San Bernardino,CA,1983,checked,NA,,2/28/2022 3:38am,"I-10, CA",34.108345,-117.289765,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2353,'Rest Stop',1 mi. E.,US 56,Cruising Areas,Cruisy Area,Great Bend,KS,1983,checked,NA,,5/2/2022 5:11am,"US 56, KS",38.364457,-98.764807,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4030,'Rest Stop',20 mi. S. (WE),I-71,Cruising Areas,Cruisy Area,Cleveland,OH,1983,checked,NA,,6/2/2022 2:52pm,"I-71, OH",41.49932,-81.69436,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2969,'Rest Stop',1 mi. N.,Hwy 27,Cruising Areas,Cruisy Area,Lansing,MI,1983,checked,NA,,5/20/2022 2:55pm,"Hwy 27, MI",42.732535,-84.555535,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4871,'Rest Stop',,US 59 N.,Cruising Areas,Cruisy Area,Houston,TX,1983,checked,NA,,6/7/2022 5:14pm,"US 59 N., TX",29.760427,-95.369803,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2989,'Rest Stop',,S. on 1-75,Cruising Areas,Cruisy Area,Pontiac,MI,1983,checked,NA,,5/23/2022 7:50am,"S. on 1-75, MI",42.638922,-83.291047,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4085,'Rest Stop',,I-75,Cruising Areas,Cruisy Area,Lebanon,OH,1983,checked,NA,,6/2/2022 4:03pm,"I-75, OH",39.435337,-84.202992,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2317,'Rest Stop',betw. Cedar Rapids & Iowa City (Summers only),,Cruising Areas,"Cruisy Area,(AYOR)",Cedar Rapids,IA,1983,checked,NA,,5/2/2022 4:36am,", IA",41.97788,-91.665623,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4995,'Rest Stop',,N. & S. on Rte. 7,Cruising Areas,Cruisy Area,Rutland,VT,1983,checked,NA,,6/9/2022 10:11am,"N. & S. on Rte. 7, VT",43.610624,-72.972606,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2959,'Rest Stop',4 mi. W.,I-94,Cruising Areas,Cruisy Area,Kalamazoo,MI,1983,checked,NA,,5/20/2022 2:43pm,"I-94, MI",42.291707,-85.587229,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4459,'Rest Stop',(AYOR - Fuzz),Hwy. 82 W.,Cruising Areas,"Cruisy Area,(OC),(AYOR)",Sharon,PA,1983,checked,NA,,6/6/2022 7:41am,"Hwy. 82 W., PA",41.233112,-80.493403,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2861,'Rest Stop',(Uxbridge),146 S.,Cruising Areas,Cruisy Area,Worcester,MA,1983,checked,NA,,5/20/2022 12:02pm,"146 S., MA",42.262593,-71.802293,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2585,'Rest Stop',,I-95,Cruising Areas,Cruisy Area,Ogunquit,ME,1983,checked,NA,,5/18/2022 11:18am,"I-95, ME",43.246835,-70.598622,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3073,'Rest Stop',,U.S. 49 S.,Cruising Areas,Cruisy Area,Hattiesburg,MS,1983,checked,NA,,5/23/2022 11:46am,"U.S. 49 S., MS",31.327119,-89.290339,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4079,'Rest Stop',at exits 201 & 202,I-70 W.,Cruising Areas,Cruisy Area,Dayton,OH,1983,checked,NA,,6/2/2022 3:51pm,"I-70 W., OH",39.758948,-84.191607,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
237,'Rest Stop',(I-40),,Cruising Areas,Cruisy Area,Ozark,AR,1983,checked,NA,,2/15/2022 8:56am,", AR",35.48703,-93.827696,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2970,'Rest Stop',(Okemos),I-96,Cruising Areas,Cruisy Area,Lansing,MI,1983,checked,NA,,5/20/2022 2:55pm,"I-96, MI",42.732535,-84.555535,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1615,'Rest Stop',(exit 21) S.W. of town,I-75,Cruising Areas,Cruisy Area,Gainesville,FL,1983,checked,NA,,3/15/2022 3:52pm,"I-75, FL",29.651634,-82.324826,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1241,'Rest Stop',N. of Malibu,US 101,Cruising Areas,Cruisy Area,Santa Monica,CA,1983,checked,NA,,3/4/2022 3:48am,"US 101, CA",34.019454,-118.491191,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3487,'Rest Stop',nr. exit 28,I-87,Cruising Areas,Cruisy Area,Lake George,NY,1983,checked,NA,,5/31/2022 2:23pm,"I-87, NY",43.426181,-73.712341,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2654,'Rest Stop',nr. jet. 28,Rte. 125,Cruising Areas,Cruisy Area,Attleboro,MA,1983,checked,NA,,5/18/2022 2:55pm,"Rte. 125, MA",41.944544,-71.285608,unclear_coded_by_hand,Verified Location
2562,'Rest Stop',Augusta (Northbound) - also woods in back,I-95,Cruising Areas,"Cruisy Area,(AYOR)",Augusta,ME,1983,checked,NA,,5/18/2022 12:39pm,"I-95, ME",44.310624,-69.77949,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2295,'Rest Stop',,I-40,Cruising Areas,Cruisy Area,New Lebanon,IN,1983,checked,NA,,5/1/2022 6:54pm,"I-40, IN",39.040876,-87.471132,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2454,'Rest Stop',,E. on 1-10,Cruising Areas,Cruisy Area,Lafayette,LA,1983,checked,NA,,5/3/2022 4:35am,"E. on 1-10, LA",30.22409,-92.019843,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
5200,'Rest Stop',3 mi. S.,US 151,Cruising Areas,"Cruisy Area,(AYOR)",Beaver Dam,WI,1983,checked,NA,,6/12/2022 8:24am,"US 151, WI",43.457769,-88.837329,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2846,'Rest Stop',,Rte. 1-95 W,Cruising Areas,"Cruisy Area,(AYOR)",Swansea,MA,1983,checked,NA,,5/19/2022 2:17pm,"Rte. 1-95 W, MA",41.748162,-71.189562,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2728,'Rest Stop',,S. on Rte. 3,Cruising Areas,Cruisy Area,Marshfield-Pembroke,MA,1983,checked,NA,,5/19/2022 12:46pm,"S. on Rte. 3, MA",42.087995,-70.744678,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2596,'Rest Stop',,Rte. 3,Cruising Areas,Cruisy Area,South Chino,ME,1983,checked,NA,,5/18/2022 12:32pm,"Rte. 3, ME",44.394979,-69.570923,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
5271,'Rest Stop',,Hwy. 41 N.,Cruising Areas,Cruisy Area,Oshkosh,WI,1983,checked,NA,,6/13/2022 4:08pm,"Hwy. 41 N., WI",44.024706,-88.542614,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2942,'Rest Stop',Both N & S.,I-75,Cruising Areas,Cruisy Area,Flint,MI,1983,checked,NA,,5/20/2022 2:30pm,"I-75, MI",43.012527,-83.687456,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4405,'Rest Stop',betw. Philipsburg & Port Matilda,Hwy. 322,Cruising Areas,Cruisy Area,Philipsburg,PA,1983,checked,NA,,6/4/2022 8:59am,"Hwy. 322, PA",40.896447,-78.220569,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
