ID,title,description,amenityfeatures,streetaddress,type,city,state,unclearaddress,Year,uncleartype,notes,lastmodified,full.address,lon,lat,geoAddress,status
1787,Watson House,(Apts),"(M),(H)",525 Simonton,Hotel,Key West,FL,NA,1989,NA,,6/30/2022 2:36pm,"525 Simonton, Key West, FL",-81.8008607,24.5561774,"525 simonton st, key west, fl 33040, usa",Geocoded
1788,Beach,on US 1. Mile Marker 36,"Cruisy Area,(P),(BA)",,Cruising Areas,Key West,FL,checked,1989,NA,,2/7/2023 2:11pm,", FL",-81.779987,24.555059,unclear_coded_by_hand,General Coordinates Used
1789,Duval St.,(Queens for days!),Cruisy Area,,Cruising Areas,Key West,FL,checked,1989,NA,,2/7/2023 2:12pm,", FL",-81.801316,24.553851,unclear_coded_by_hand,Found
1790,Fleming St.,(Queens for nights!),Cruisy Area,,Cruising Areas,Key West,FL,checked,1989,NA,,2/7/2023 2:12pm,", FL",-81.779987,24.555059,unclear_coded_by_hand,General Coordinates Used
1791,Ft. Zachary Taylor Beach,,Cruisy Area,,Cruising Areas,Key West,FL,checked,1989,NA,,2/7/2023 2:12pm,", FL",-81.784172,24.555418,unclear_coded_by_hand,Found
1792,Mallory Square,at Sunset,Cruisy Area,,Cruising Areas,Key West,FL,checked,1989,NA,,2/7/2023 2:13pm,", FL",-81.807583,24.559902,unclear_coded_by_hand,Found
1793,Monroe County Beach,Reynolds St. Pier (Higgs),Cruisy Area,,Cruising Areas,Key West,FL,checked,1989,NA,,2/7/2023 2:13pm,", FL",-81.788408,24.546313,unclear_coded_by_hand,Found
1794,Green Parrot,(Disco),"(PT),(S),(*)",1030 E. Main St.,Bars/Clubs,Lakeland,FL,NA,1989,NA,,6/30/2022 2:36pm,"1030 E. Main St., Lakeland, FL",-81.9438363,28.0444591,"1030 e main st, lakeland, fl 33801, usa",Geocoded
1795,M.C.C.,,(MCC),2530 Main St.,Religious Institution,Lakeland,FL,NA,1989,NA,,6/30/2022 2:37pm,"2530 Main St., Lakeland, FL",-81.9087607,28.044529,"2530 e main st, lakeland, fl 33801, usa",Geocoded
1796,Kathy's Place,,"(L),(*)",23 S. Dixie Hwy,Bars/Clubs,Lake Worth,FL,NA,1989,NA,,6/30/2022 2:35pm,"23 S. Dixie Hwy, Lake Worth, FL",-80.0575958,26.6149904,"23 s dixie hwy, lake worth, fl 33460, usa",Geocoded
1797,Myster Syster's,,(L),6 S. 'J' St.,Bars/Clubs,Lake Worth,FL,NA,1989,NA,,6/30/2022 2:35pm,"6 S. 'J' St., Lake Worth, FL",-80.056581,26.6086056,"s j st & 6th ave s, lake worth, fl 33460, usa",Geocoded
1798,Subway,,(R),7771 Lake Worth Rd.,Restaurant,Lake Worth,FL,NA,1989,NA,,6/30/2022 2:38pm,"7771 Lake Worth Rd., Lake Worth, FL",-80.1694255,26.6186326,"7771 lake worth rd, lake worth, fl 33467, usa",Geocoded
1799,Hwy 27,1 mi. S. 'Rest Stop',Cruisy Area,,Cruising Areas,Leesburg,FL,checked,1989,NA,,2/7/2023 2:13pm,", FL",-77.563601,39.115662,unclear_coded_by_hand,General Coordinates Used
1800,Back Room,(Surf & Sand Lounge),(M),14601 Gulf Blvd.,Bars/Clubs,Madeira Beach,FL,NA,1989,NA,,6/30/2022 2:38pm,"14601 Gulf Blvd., Madeira Beach, FL",-82.7975782,27.7984361,"14601 gulf blvd, madeira beach, fl 33708, usa",Geocoded
1801,High Tide Adult Books,,,3288 W. New Haven Ave.,"Book Store,Erotic Shop",Melbourne,FL,NA,1989,NA,,7/19/2022 12:56pm,"3288 W. New Haven Ave., Melbourne, FL",-80.6764504,28.0793745,"3288 w new haven ave, melbourne, fl 32904, usa",Geocoded
1802,Saturdays Lounge,"(Disco) (Some W, L) (WE*) (mi. E. of I-95 on Rt.192)","(P),(W),(L),(WE),(*)",9760 W. New Haven Ave.,Bars/Clubs,Melbourne,FL,NA,1989,NA,,6/30/2022 2:38pm,"9760 W. New Haven Ave., Melbourne, FL",-80.6645228,28.0787604,"w new haven ave, florida, usa",Geocoded
1803,Ballard Park,,"Cruisy Area,(AYOR)",,Cruising Areas,Melbourne,FL,checked,1989,NA,,3/3/2023 10:16pm,", FL",-80.624995,28.124748,unclear_coded_by_hand,Found
1804,Canova Beach,(Nights -AYOR),"Cruisy Area,(AYOR)",,Cruising Areas,Melbourne,FL,checked,1989,NA,,2/7/2023 2:14pm,", FL",-80.580189,28.138409,unclear_coded_by_hand,Found
1805,Melbourne Harbor Marina,,"Cruisy Area,(AYOR)",,Cruising Areas,Melbourne,FL,checked,1989,NA,,3/3/2023 10:16pm,", FL",-80.600536,28.078221,unclear_coded_by_hand,Found
1806,Melbourne Square Mall,,Cruisy Area,,Cruising Areas,Melbourne,FL,checked,1989,NA,,3/3/2023 10:18pm,", FL",-80.64986,28.081342,unclear_coded_by_hand,Found
1807,Wickham Park,N. Melbourne,"Cruisy Area,(AYOR)",,Cruising Areas,Melbourne,FL,checked,1989,NA,,2/7/2023 2:14pm,", FL",-80.662393,28.164052,unclear_coded_by_hand,Found
1808,A-1 Models & Escorts,(305) 371-5303,,,Escort Service,Miami,FL,checked,1989,NA,,2/7/2023 2:14pm,", FL",-80.19179,25.76168,unclear_coded_by_hand,General Coordinates Used
1809,B.W.M.T.,(305) 822-9850,,,Organization,Miami,FL,checked,1989,NA,,3/3/2023 10:19pm,", FL",-80.608109,28.083627,unclear_coded_by_hand,General Coordinates Used
1810,Bird Road Books,,,6833 Bird Rd.,Book Store,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"6833 Bird Rd., Miami, FL",-80.3056432,25.7335713,"6833 bird rd, miami, fl 33155, usa",Geocoded
1811,Biscayne Books,,,7939 Biscayne Blvd.,Book Store,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"7939 Biscayne Blvd., Miami, FL",-80.1844224,25.8485221,"7939 biscayne blvd, miami, fl 33138, usa",Geocoded
1812,Bits & Bridle,(Levi) (Strippers),(SM),8239 N.E. 2nd Ave.,Bars/Clubs,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"8239 N.E. 2nd Ave., Miami, FL",-80.192671,25.8505579,"8239 ne 2nd ave, miami, fl 33138, usa",Geocoded
1813,Cactus,,"(R),(*)",2401 N.E. Biscayne Blvd.,Restaurant,Miami,FL,NA,1989,NA,,6/30/2022 2:37pm,"2401 N.E. Biscayne Blvd., Miami, FL",-80.1889802,25.8003331,"2401 biscayne blvd, miami, fl 33137, usa",Geocoded
1814,Cheers,(Disco),"(*),(YC),(V)",5922 S. Dixie Hwy,Theatre,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"5922 S. Dixie Hwy, Miami, FL",-80.2899257,25.7037677,"5922 s dixie hwy, south miami, fl 33143, usa",Geocoded
1815,Cherry Grove,,(L),2490 S.W. 17th,Bars/Clubs,Miami,FL,NA,1989,NA,,6/30/2022 2:37pm,"2490 S.W. 17th, Miami, FL",-80.2362623,25.7557509,"2490 sw 17th st, miami, fl 33145, usa",Geocoded
1816,Club Body Center,(Spa),"(*),(YC),(IGHC)",2991 Coral Way,Bathhouses,Miami,FL,NA,1989,NA,,6/30/2022 2:37pm,"2991 Coral Way, Miami, FL",-80.2420854,25.7504213,"2991 coral way, miami, fl 33145, usa",Geocoded
1817,Club Milford,(Disco),(E),1060 N.E. 79th St.,Bars/Clubs,Miami,FL,NA,1989,NA,,6/30/2022 2:36pm,"1060 N.E. 79th St., Miami, FL",-80.1754529,25.8478329,"1060 ne 79th st, miami, fl 33138, usa",Geocoded
1818,El Carol,(Some Cubans),(N),930 Le Juene Rd.,Bars/Clubs,Miami,FL,NA,1989,NA,,6/30/2022 2:36pm,"930 Le Juene Rd., Miami, FL",-80.263505,25.763102,"930 s le jeune rd, miami, fl 33134, usa",Geocoded
1819,Gay Helpline,(305) 688-0246,,,Hotline,Miami,FL,checked,1989,NA,,2/7/2023 2:15pm,", FL",-80.19179,25.76168,unclear_coded_by_hand,General Coordinates Used
1820,Gregory's,,"(N),(E)",265 N.E. 79th St.,Bars/Clubs,Miami,FL,NA,1989,NA,,6/30/2022 2:36pm,"265 N.E. 79th St., Miami, FL",-80.1915223,25.847837,"265 ne 79th st, miami, fl 33138, usa",Geocoded
1821,Grove Bookworm,(Books) (Coconut Grove),(*),3025 Fuller St.,Book Store,Miami,FL,NA,1989,NA,,6/30/2022 2:37pm,"3025 Fuller St., Miami, FL",-80.2430491,25.7276267,"3025 fuller st, miami, fl 33133, usa",Geocoded
1822,Grove Gables Travel,,(IGTA),3025 Coral Way,Travel Agency,Miami,FL,NA,1989,NA,,6/30/2022 2:37pm,"3025 Coral Way, Miami, FL",-80.2425458,25.750448,"3025 coral way, miami, fl 33145, usa",Geocoded
1823,Gym Miami,(Health Club),(*),3011 Coral Way,Bathhouses,Miami,FL,NA,1989,NA,,6/30/2022 2:37pm,"3011 Coral Way, Miami, FL",-80.2423885,25.7504459,"the coral academy, 3011 coral way, miami, fl 33145, usa",Geocoded
1824,H.Q. Cabaret Club,,(E),8033 N.W. 36th St.,Bars/Clubs,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"8033 N.W. 36th St., Miami, FL",-80.3281196,25.8102023,"8033 nw 36th st, doral, fl 33166, usa",Geocoded
1825,Hamburger Pattie's,,"(M),(R)",7301 Biscayne Blvd.,Restaurant,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"7301 Biscayne Blvd., Miami, FL",-80.1837033,25.8431224,"7301 biscayne blvd, miami, fl 33138, usa",Geocoded
1826,Happy Books,(Cruisy 24 hrs.),,9514 S. Dixie Hwy,"Book Store,Cruising Areas",Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"9514 S. Dixie Hwy, Miami, FL",-80.315892,25.6818599,"9514 s dixie hwy, miami, fl 33156, usa",Geocoded
1827,Hole,(Key club) (S.W. 57th Ave.),"(P),(SM)",1910 Red Road,Bars/Clubs,Miami,FL,NA,1989,NA,,6/30/2022 2:37pm,"1910 Red Road, Miami, FL",-80.2899572,25.8388588,"1910 red rd, hialeah, fl 33010, usa",Geocoded
1828,Lambda Passages,"(Books, etc.)",,7545 Biscayne Blvd.,Book Store,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"7545 Biscayne Blvd., Miami, FL",-80.1843026,25.8447293,"7545 biscayne blvd, miami, fl 33138, usa",Geocoded
1829,Le Biltmore,,(R),1208 Anastasia Ave.,Restaurant,Miami,FL,NA,1989,NA,,6/30/2022 2:37pm,"1208 Anastasia Ave., Miami, FL",-80.2797581,25.7415887,"1208 anastasia ave, coral gables, fl 33134, usa",Geocoded
1830,Le Jeune Road Book Store,,,938 S.W. 42nd Ave.,Book Store,Miami,FL,NA,1989,NA,,6/30/2022 2:36pm,"938 S.W. 42nd Ave., Miami, FL",-80.2634285,25.7629302,"938 sw 42nd ave, miami, fl 33134, usa",Geocoded
1831,Leprechaun Inn,(Cruisy),(*),7305 Bird Rd.,"Bars/Clubs,Cruising Areas",Miami,FL,NA,1989,NA,,11/15/2022 2:38pm,"7305 Bird Rd., Miami, FL",-80.3131114,25.7333597,"7305 bird rd, miami, fl 33155, usa",Geocoded
1832,M.C.C.,(305) 573-4156,(MCC),,Religious Institution,Miami,FL,checked,1989,NA,,2/7/2023 2:15pm,", FL",-80.189857,25.799279,unclear_coded_by_hand,Found
1833,On the Waterfront,(Disco) (Very Latin),"(YC),(*)",3615 South River Dr. N.W.,Bars/Clubs,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"3615 South River Dr. N.W., Miami, FL",-80.2551021,25.8029261,"3615 nw s river dr, miami, fl 33142, usa",Geocoded
1834,Perrine Books,,,18093 S. Dixie Hwy,Book Store,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"18093 S. Dixie Hwy, Miami, FL",-80.3520232,25.6011631,"18093 s dixie hwy, miami, fl 33157, usa",Geocoded
1835,Pleasure Chest,"(Leather, erotica, etc.) at Club Body Center",,,Erotic Shop,Miami,FL,checked,1989,NA,,2/7/2023 2:15pm,", FL",-80.19179,25.76168,unclear_coded_by_hand,General Coordinates Used
1836,Red Road Books,,(F&S),236 S.W. Red Road,Book Store,Miami,FL,NA,1989,NA,,6/30/2022 2:36pm,"236 S.W. Red Road, Miami, FL",-80.2908718,25.8676717,"236 red rd, hialeah, fl 33012, usa",Geocoded
1837,Roger at the Vagabond,,(N),7301 Biscayne Blvd.,Bars/Clubs,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"7301 Biscayne Blvd., Miami, FL",-80.1837033,25.8431224,"7301 biscayne blvd, miami, fl 33138, usa",Geocoded
1838,Seventy-ninth St. Cinema,(Adult movies),,137 N.E. 79th St.,Theatre,Miami,FL,NA,1989,NA,,6/30/2022 2:35pm,"137 N.E. 79th St., Miami, FL",-80.194284,25.847896,"137 ne 79th st, miami, fl 33138, usa",Geocoded
1839,Southpaw Saloon,(Nude go go boys),"(PT),(*)",7005 Biscayne Blvd.,Bars/Clubs,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"7005 Biscayne Blvd., Miami, FL",-80.1841442,25.8397819,"7005 biscayne blvd, miami, fl 33138, usa",Geocoded
1840,Switchboard Hotline,(305) 358-HELP,,,Hotline,Miami,FL,checked,1989,NA,,2/7/2023 2:16pm,", FL",-80.19179,25.76168,unclear_coded_by_hand,General Coordinates Used
1841,TWN,(The Weekly News) (Publication),,901 N.E. 79th St.,"Publication,Book Store",Miami,FL,NA,1989,NA,,1/18/2023 9:49am,"901 N.E. 79th St., Miami, FL",-80.1779342,25.8482267,"901 ne 79th st, miami, fl 33138, usa",Geocoded
1842,Tom Cat,(At Pussycat Theater),,,Theatre,Miami,FL,checked,1989,NA,78th & Biscayne,2/7/2023 2:16pm,", FL",-80.184814,25.846936,unclear_coded_by_hand,Found
1843,Trail Books,,,7350 S.W. 8th St.,Book Store,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"7350 S.W. 8th St., Miami, FL",-80.3148895,25.7624379,"7350 sw 8th st, miami, fl 33144, usa",Geocoded
1844,Uncle Charlie's,(Disco),"(YC),(S),(*)",3673 Bird Rd.,Bars/Clubs,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"3673 Bird Rd., Miami, FL",-80.2534114,25.7353005,"3673 bird rd, miami, fl 33133, usa",Geocoded
1845,Waterfront,(Disco),"(M),(YC)",3615 N.W. South River Dr.,Bars/Clubs,Miami,FL,NA,1989,NA,,6/30/2022 2:38pm,"3615 N.W. South River Dr., Miami, FL",-80.2551021,25.8029261,"3615 nw s river dr, miami, fl 33142, usa",Geocoded
1846,Bearcut Beach,,Cruisy Area,,Cruising Areas,Miami,FL,checked,1989,NA,,3/3/2023 10:22pm,", FL",-80.157269,25.731489,unclear_coded_by_hand,Found
1847,'The Block',nr. Cactus Lounge off Biscayne Blvd. (Hustlers),Cruisy Area,,Cruising Areas,Miami,FL,checked,1989,NA,,2/7/2023 2:14pm,", FL",-80.19179,25.76168,unclear_coded_by_hand,General Coordinates Used
1848,Biscayne Blvd.,'Hitch-hikers',Cruisy Area,,Cruising Areas,Miami,FL,checked,1989,NA,,2/7/2023 2:14pm,", FL",-80.19179,25.76168,unclear_coded_by_hand,General Coordinates Used
1849,Burdine's,downtown,"Cruisy Area,(AYOR)",,Cruising Areas,Miami,FL,checked,1989,NA,,2/7/2023 2:14pm,", FL",-80.309948,25.689755,unclear_coded_by_hand,Found
1850,Coconut Grove,,Cruisy Area,,Cruising Areas,Miami,FL,checked,1989,NA,,2/7/2023 2:15pm,", FL",-80.237719,25.735525,unclear_coded_by_hand,General Coordinates Used
1851,Dade Comm. College,next to Library,Cruisy Area,,Cruising Areas,Miami,FL,checked,1989,NA,,2/7/2023 2:15pm,", FL",-80.192999,25.776729,unclear_coded_by_hand,Found
1852,Matheson Hammock Beach,on old Cutler Rd.-turn rt. at fork,Cruisy Area,,Cruising Areas,Miami,FL,checked,1989,NA,,2/7/2023 2:15pm,", FL",-80.360783,25.560574,unclear_coded_by_hand,Found
1853,Miami Dade College,S. Campus,Cruisy Area,,Cruising Areas,Miami,FL,checked,1989,NA,,2/7/2023 2:15pm,", FL",-80.192999,25.776729,unclear_coded_by_hand,Found
1854,Miami Dade College,Music Bldg.,Cruisy Area,,Cruising Areas,Miami,FL,checked,1989,NA,,2/7/2023 2:15pm,", FL",-80.192999,25.776729,unclear_coded_by_hand,Found
1855,Miami Dade College,Library,Cruisy Area,,Cruising Areas,Miami,FL,checked,1989,NA,,2/7/2023 2:15pm,", FL",-80.192999,25.776729,unclear_coded_by_hand,Found
1856,Sewell Park,Bushes,Cruisy Area,,Cruising Areas,Miami,FL,checked,1989,NA,,2/7/2023 2:15pm,", FL",-80.224114,25.785145,unclear_coded_by_hand,Found
1857,U. of Miami,Learning Center Bldg.,Cruisy Area,,Cruising Areas,Miami,FL,checked,1989,NA,,2/7/2023 2:16pm,", FL",-80.274637,25.717892,unclear_coded_by_hand,General Coordinates Used
1858,U. of Miami,Brockway Hall,"Cruisy Area,(AYOR)",,Cruising Areas,Coral Gables,FL,checked,1989,NA,,2/6/2023 3:47pm,", FL",-80.277386,25.713272,unclear_coded_by_hand,Found
1859,Woods,opp. Fairchild Gardens,Cruisy Area,,Cruising Areas,Miami,FL,checked,1989,NA,,2/7/2023 2:16pm,", FL",-80.274286,25.678255,unclear_coded_by_hand,Found
1860,Boardwalk,(Some Latins) (See ad next page),"(E),(S),(V),(PT),(*)",17008 Collins Ave.,Bars/Clubs,Miami Beach,FL,NA,1989,NA,,6/30/2022 2:38pm,"17008 Collins Ave., Miami Beach, FL",-80.1220315,25.9333286,"17008 collins ave, sunny isles beach, fl 33160, usa",Geocoded
1861,Cabana Joe,(Clothing),,1905 Collins Ave.,Business,Miami Beach,FL,NA,1989,NA,,6/30/2022 2:37pm,"1905 Collins Ave., Miami Beach, FL",-80.1290298,25.7952422,"1905 collins ave, miami beach, fl 33139, usa",Geocoded
1862,Club 1235,(Disco) (Sun. only*),"(YC),(*)",1235 Washington Ave.,Bars/Clubs,Miami Beach,FL,NA,1989,NA,,6/30/2022 2:37pm,"1235 Washington Ave., Miami Beach, FL",-80.132088,25.7834383,"1235 washington ave, miami beach, fl 33139, usa",Geocoded
1863,Coco's Sidewalk Cafe,,(R),,Restaurant,Miami Beach,FL,checked,1989,NA,96th & Collins Ave.,2/7/2023 2:16pm,", FL",-80.122748,25.887093,unclear_coded_by_hand,Found
1864,Gaiety II,(Adult Theater),,2004 Collins Ave.,Theatre,Miami Beach,FL,NA,1989,NA,,6/30/2022 2:37pm,"2004 Collins Ave., Miami Beach, FL",-80.1293308,25.7960178,"2004 collins ave, miami beach, fl 33139, usa",Geocoded
1865,Hamlet,,(N),1663 Lenox Ave.,Bars/Clubs,Miami Beach,FL,NA,1989,NA,,6/30/2022 2:37pm,"1663 Lenox Ave., Miami Beach, FL",-80.1397417,25.7909956,"1663 lenox ave., miami beach, fl 33139, usa",Geocoded
1866,Monkey Bar,,(RT),2000 Collins Ave.,Bars/Clubs,Miami Beach,FL,NA,1989,NA,,6/30/2022 2:37pm,"2000 Collins Ave., Miami Beach, FL",-80.1290434,25.7954801,"2000 collins ave, miami beach, fl 33139, usa",Geocoded
1867,OVO,(Tues. only),(OC),1450 Collins Ave.,Bars/Clubs,Miami Beach,FL,NA,1989,NA,,6/30/2022 2:37pm,"1450 Collins Ave., Miami Beach, FL",-80.1308639,25.7871012,"1450 collins ave, miami beach, fl 33139, usa",Geocoded
1868,Phillis's Place,(163rd & Collins),(L),238 Sunny Isle Blvd.,Bars/Clubs,Miami Beach,FL,NA,1989,NA,,6/30/2022 2:36pm,"238 Sunny Isle Blvd., Miami Beach, FL",-80.1246345,25.9297741,"238 sunny isles blvd, sunny isles beach, fl 33160, usa",Geocoded
1869,Riviera Park,,(H),2000 Liberty Ave.,Hotel,Miami Beach,FL,NA,1989,NA,,6/30/2022 2:37pm,"2000 Liberty Ave., Miami Beach, FL",-80.1303623,25.796192,"2000 liberty ave, miami beach, fl 33139, usa",Geocoded
1870,Riviera Plaza Apts.,,(H),337 20th St.,Hotel,Miami Beach,FL,NA,1989,NA,,6/30/2022 2:36pm,"337 20th St., Miami Beach, FL",-80.1307368,25.7962812,"337 20th st, miami beach, fl 33139, usa",Geocoded
1871,Sea Gull,(Resort) (Pool) (Disco) (T-D Sat & Sun.) On the Ocean,"(H),(R),(*)",100 21st.,"Bars/Clubs,Hotel,Restaurant",Miami Beach,FL,NA,1989,NA,at Collins,1/18/2023 10:00am,"100 21st., Miami Beach, FL",-80.1279,25.7958682,"100 21st st, miami beach, fl 33139, usa",Geocoded
1872,Teran's,(Best late),"(D),(S)",323 23rd St.,Bars/Clubs,Miami Beach,FL,NA,1989,NA,,6/30/2022 2:36pm,"323 23rd St., Miami Beach, FL",-80.1294463,25.7991025,"323 23rd st, miami beach, fl 33139, usa",Geocoded
1873,Trader Tom's,"(Clothes, etc.) At the Sea Gull Hotel",(*),,"Business,Hotel",Miami Beach,FL,checked,1989,NA,,3/3/2023 10:23pm,", FL",-80.130045,25.790654,unclear_coded_by_hand,General Coordinates Used
1874,Twenty-first St. Theater,,(F&S),2039 Collins Ave.,Theatre,Miami Beach,FL,NA,1989,NA,,6/30/2022 2:37pm,"2039 Collins Ave., Miami Beach, FL",-80.1287098,25.7960268,"2039 collins ave, miami beach, fl 33139, usa",Geocoded
1875,Venetian Manor Apts,(305) 534-8451,(H),,Hotel,Miami Beach,FL,checked,1989,NA,,2/7/2023 2:16pm,", FL",-80.130045,25.790654,unclear_coded_by_hand,General Coordinates Used
1876,21st St. Beach,,"Cruisy Area,(AYOR)",,Cruising Areas,Miami Beach,FL,checked,1989,NA,,2/7/2023 2:16pm,", FL",-80.130045,25.790654,unclear_coded_by_hand,General Coordinates Used
1877,Book Nook,,,824 5th Ave. S.,Book Store,Naples,FL,NA,1989,NA,,6/30/2022 2:36pm,"824 5th Ave. S., Naples, FL",-81.795726,26.1415065,"824 5th ave s, naples, fl 34102, usa",Geocoded
1878,Dignity,(305)455-8371,,,Religious Institution,Naples,FL,checked,1989,NA,,2/7/2023 2:16pm,", FL",-81.79481,26.142036,unclear_coded_by_hand,General Coordinates Used
1879,Lowdermilk Park,at sunset,"Cruisy Area,(AYOR)",,Cruising Areas,Naples,FL,checked,1989,NA,,2/7/2023 2:17pm,", FL",-81.809978,26.162054,unclear_coded_by_hand,Found
1880,Naples Pier,(Late-AYOR),"Cruisy Area,(AYOR)",,Cruising Areas,Naples,FL,checked,1989,NA,,2/7/2023 2:17pm,", FL",-81.808834,26.131461,unclear_coded_by_hand,Found
1881,Kozy Korner,,,1810 S. Blvd.,Bars/Clubs,New Port Richey,FL,NA,1989,NA,,6/30/2022 2:37pm,"1810 S. Blvd., New Port Richey, FL",-82.7192671,28.2441768,"new port richey, fl, usa",Geocoded
1882,Lisa Books & Video,,,14817 W. Dixie Hwy,"Theatre,Book Store",North Miami Beach,FL,NA,1989,NA,,1/18/2023 9:42am,"14817 W. Dixie Hwy, North Miami Beach, FL",-80.1653572,25.9125115,"14817 w dixie hwy, miami, fl 33181, usa",Geocoded
1883,Sugar's,(Disco),"(YC),(AH),(*)",13705 Biscayne Blvd.,Bars/Clubs,North Miami Beach,FL,NA,1989,NA,,6/30/2022 2:38pm,"13705 Biscayne Blvd., North Miami Beach, FL",-80.1593207,25.9028444,"13705 biscayne blvd, north miami beach, fl 33181, usa",Geocoded
1884,Halouver Park,,Cruisy Area,,Cruising Areas,North Miami Beach,FL,checked,1989,NA,,2/10/2023 12:56pm,", FL",-80.123038,25.906464,unclear_coded_by_hand,Found
1885,Blockhouse,(Some L) (In Cell Block),"(D),(S),(L)",3400 S. Orange Blossom Trail,Bars/Clubs,Orlando,FL,NA,1989,NA,,6/30/2022 2:37pm,"3400 S. Orange Blossom Trail, Orlando, FL",-81.3976869,28.507482,"3400 s orange blossom trail, orlando, fl 32839, usa",Geocoded
1886,Cell Block,(Disco) (Patio),"(W),(S),(*)",3400 S. Orange Blossom Trail,Bars/Clubs,Orlando,FL,NA,1989,NA,,6/30/2022 2:37pm,"3400 S. Orange Blossom Trail, Orlando, FL",-81.3976869,28.507482,"3400 s orange blossom trail, orlando, fl 32839, usa",Geocoded
1887,Central Station,(Disco),"(YC),(*)",140 Fernwood Blvd.,Bars/Clubs,Orlando,FL,NA,1989,NA,,6/30/2022 2:35pm,"140 Fernwood Blvd., Orlando, FL",-81.3754153,28.5249877,"140 fernwood st, orlando, fl 32806, usa",Geocoded
1888,Dignity Orlando,(305) 894-7508,,,Religious Institution,Orlando,FL,checked,1989,NA,,2/7/2023 2:17pm,", FL",-81.378927,28.538383,unclear_coded_by_hand,General Coordinates Used
1889,Faces,(Sun.T-D),"(L),(S)",4970 Edgewater,Bars/Clubs,Orlando,FL,NA,1989,NA,,6/30/2022 2:38pm,"4970 Edgewater, Orlando, FL",-81.408241,28.6041338,"4970 edgewater dr, orlando, fl 32810, usa",Geocoded
1890,Gay Comm. Services,(305) 843-GAYS,,,Community Center/Support Group,Orlando,FL,checked,1989,NA,,2/7/2023 2:18pm,", FL",-81.378927,28.538383,unclear_coded_by_hand,General Coordinates Used
1891,Grandma's Cafe,(24 hrs) At Parliment House,(R),,Restaurant,Orlando,FL,checked,1989,NA,,3/3/2023 10:27pm,", FL",-81.378927,28.538383,unclear_coded_by_hand,General Coordinates Used
1892,Hank's,(Levi),,5026 Edgewater Dr.,Bars/Clubs,Orlando,FL,NA,1989,NA,,6/30/2022 2:38pm,"5026 Edgewater Dr., Orlando, FL",-81.4085183,28.6046254,"5026 edgewater dr, orlando, fl 32810, usa",Geocoded
1893,Loading Dock,(Levi) (Cruisy),"(*),(W)",3400 S. Orange Blossom Trail,"Bars/Clubs,Cruising Areas",Orlando,FL,NA,1989,NA,,6/30/2022 2:37pm,"3400 S. Orange Blossom Trail, Orlando, FL",-81.3976869,28.507482,"3400 s orange blossom trail, orlando, fl 32839, usa",Geocoded
1894,M.C.C.,(305)422-4224,(MCC),,Religious Institution,Orlando,FL,checked,1989,NA,,2/7/2023 2:18pm,", FL",-81.378927,28.538383,unclear_coded_by_hand,General Coordinates Used
1895,Midnight News,(Adult boutique),(*),410 N Orange Blossom Trail,"Erotic Shop,Book Store",Orlando,FL,NA,1989,NA,,1/18/2023 9:47am,"410 N Orange Blossom Trail, Orlando, FL",-81.3976487,28.5479123,"410 n orange blossom trail, orlando, fl 32805, usa",Geocoded
1896,New Image Fitness Center,(rear),(P),3400 S. Orange Blossom Trail,Gym,Orlando,FL,NA,1989,NA,,6/30/2022 2:37pm,"3400 S. Orange Blossom Trail, Orlando, FL",-81.3976869,28.507482,"3400 s orange blossom trail, orlando, fl 32839, usa",Geocoded
1897,Orange Quarter,(Tues. only),"(D),(R)",70 N. Orange Ave.,Restaurant,Orlando,FL,NA,1989,NA,,6/30/2022 2:35pm,"70 N. Orange Ave., Orlando, FL",-81.379379,28.543265,"70 n orange ave, orlando, fl 32801, usa",Geocoded
1898,Palace Club,,"(AH),BYOB",3400 S. Orange Blossom Trail.,Bars/Clubs,Orlando,FL,NA,1989,NA,,6/30/2022 2:37pm,"3400 S. Orange Blossom Trail., Orlando, FL",-81.3976869,28.507482,"3400 s orange blossom trail, orlando, fl 32839, usa",Geocoded
1899,Paradise Cafe,,(R),2417 E. South Ave.,Restaurant,Orlando,FL,NA,1989,NA,,6/30/2022 2:37pm,"2417 E. South Ave., Orlando, FL",-81.3507888,28.5389037,"2417 e south st, orlando, fl 32803, usa",Geocoded
