"title","status","description","streetaddress","lat","lon","city","state","amenityfeatures","type","Year","unclear_address","notes","full.address","geoAddress"
"Gay Helpline","General Coordinates Used","","(205) 539-3424",34.730369,-86.586104,"Huntsville","AL","","Hotlines",1988,"checked","",NA,NA
"Observation Point","General Coordinates Used","(The Overlook)","Governor's Dr.",34.730369,-86.586104,"Huntsville","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"The Mall","General Coordinates Used","(Upstairs) (Days)","",34.730369,-86.586104,"Huntsville","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Pizitz Dept. Store ","Found","","Parkway City Mall",34.704207,-86.588209,"Huntsville","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Germania Springs","Found","","",33.8478,-85.757482,"Jacksonville","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Jacksonville State U.","Found","","Bibb Graves Hall ",33.822939,-85.765343,"Jacksonville","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Gay Hotline ","General Coordinates Used","","(205) 476-9142",30.695366,-88.039891,"Mobile","AL","","Hotlines",1988,"checked","",NA,NA
"Golden Rod","General Coordinates Used","","Corner of Conti & Joachim",30.695366,-88.039891,"Mobile","AL","(P),Cruisy Area","Bars/Clubs",1988,"checked","",NA,NA
"Bel Air Mall","Found","(Sears)","",30.673764,-88.122408,"Mobile","AL","(AYOR),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"MidTown Cinema","Found","","",30.691199,-88.044599,"Mobile","AL","(AYOR),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Old State Park","General Coordinates Used","(opp.)","",30.695366,-88.039891,"Mobile","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Holiday Inn","General Coordinates Used","","off causeway",30.695366,-88.039891,"Mobile","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Woolworth's","General Coordinates Used","","",30.695366,-88.039891,"Mobile","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"BWMT ","General Coordinates Used","","Box 603, 36101",32.379223,-86.307737,"Montgomery","AL","","Bars/Clubs",1988,"checked","",NA,NA
"M.C.C & Gay Help Line","General Coordinates Used","","(205)264-7887",32.379223,-86.307737,"Montgomery","AL","(MCC)","Hotlines,Religious Institution",1988,"checked","",NA,NA
"Auburn U/Mont.","Found","","Bell rd.",32.369595,-86.178834,"Montgomery","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Block around Post Office","General Coordinates Used","","",32.379223,-86.307737,"Montgomery","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Lee St. ","General Coordinates Used","","betw. Bus Depots & Church St.",32.379223,-86.307737,"Montgomery","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Oak Park","Found","(days only)","",32.367361,-86.278857,"Montgomery","AL","Cruisy Area,(AYOR)","Cruising Areas",1988,"checked","",NA,NA
"Prattville Park","Found","","",32.453906,-86.466914,"Prattville","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Selma Mall","Found","","Broad St.",32.43312,-87.016506,"Selma","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"DeJavu","Found","","Hwy. 82 S.",33.236684,-87.550246,"Tuscaloosa","AL","","Bars/Clubs",1988,"checked","",NA,NA
"Bus Station","General Coordinates Used","","",33.209841,-87.569173,"Tuscaloosa","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Union 76 Truck Stop","General Coordinates Used","","I-20 & US 59",33.209841,-87.569173,"Tuscaloosa","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"U. of Alabama","Found","(2nd floor)","Ferguson Center ",33.214516,-87.545665,"Tuscaloosa","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Book Mart","General Coordinates Used","","419 'B' St.",61.218923,-149.850373,"Anchorage","AK","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Identity & Gay Hot Line","General Coordinates Used","(907)276-3909 or 276-3919","",61.218923,-149.850373,"Anchorage","AK","","Hotlines",1988,"checked","",NA,NA
"Jade Room","General Coordinates Used","(S-Wed) (Adj. liqour store)","701 'I' St.",61.218923,-149.850373,"Anchorage","AK","(D),(PT),(R),(S),(*)","Bars/Clubs,Restaurant",1988,"checked","",NA,NA
"'C' St.","Found","4th Ave.","329 W. 4th Ave.",61.218718,-149.887673,"Anchorage","AK","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Fred Myers Dept. Store","Found","","",61.211142,-149.735829,"Anchorage","AK","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Park Strip","Found","","9th & 'L' Sts.",61.213666,-149.903704,"Anchorage","AK","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Penney's & Sears Mall","Found","","",61.216996,-149.890085,"Anchorage","AK","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Gay Info Line","General Coordinates Used","","(907) 456-3353",64.837778,-147.716389,"Fairbanks","AK","","Hotlines",1988,"checked","",NA,NA
"Bentley Mall","Found","","",61.216889,-149.888942,"Fairbanks","AK","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"U. of Alaska","Found","","Library Constitution Hall, Gym & Wood Ctr. & 1st floor- Library",64.856934,-147.820022,"Fairbanks","AK","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Merchants Wharf","Found","","",58.299399,-134.407901,"Juneau","AK","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Tom Sawyer's","Found","(Jewelry, gifts,etc.)","Front & Mission Sts.",55.341232,-131.646876,"Ketchikan","AK","","Business",1988,"checked","",NA,NA
"Hitch-hikers","General Coordinates Used","","along Tongass Hwy.",55.342222,-131.646111,"Ketchikan","AK","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Frontier","General Coordinates Used","(No gay bars, but some downtown bars such as Frontier on Main St. can be cruisy)","Main St.",55.342222,-131.646111,"Ketchikan","AK","Cruisy Area","Cruising Areas",1988,"checked","how do",NA,NA
"Gay Alliance","General Coordinates Used","","P.O Box 2253, 99615",57.491246,-153.495022,"Kodiak Island","AK","","Organization",1988,"checked","",NA,NA
"'Rest Stops'","General Coordinates Used","","N on I-10",32.911003,-111.77339,"Casa Grande","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Gay Alliance of Northern Arizona","General Coordinates Used","(602) 526-9187","",35.198284,-111.651302,"Flagstaff","AZ","","Organization",1988,"checked","",NA,NA
"Northern Arizona Univ.","Found","Library Basement","",35.190062,-111.657545,"Flagstaff","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Thorp Park","Found","(Sunset & WE)","",35.203668,-111.658355,"Flagstaff","AZ","Cruisy Area,(WE)","Cruising Areas",1988,"checked","",NA,NA
"PX","Found","","",31.555439,-110.352618,"Ft. Huachuca","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"London Bridge","Found","","",34.467188,-114.352661,"Lake Havasu City","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Reed & Pioneer Parks","Found","","",33.416972,-111.819674,"Mesa","AZ","(AYOR),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Tri-City Mall","Found","","",33.414851,-111.873996,"Mesa","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Dignity","General Coordinates Used","","(602) 866-1035",33.448377,-112.074037,"Phoenix","AZ","","Religious Institution",1988,"checked","",NA,NA
"Gay/Lesbian Assistance & AIDS Info","General Coordinates Used","","(602) 234-2752",33.448377,-112.074037,"Phoenix","AZ","","Hotlines",1988,"checked","",NA,NA
"Gay Roommate Service","General Coordinates Used","","(602) 938-3932",33.448377,-112.074037,"Phoenix","AZ","","Business",1988,"checked","",NA,NA
"Le Taxi ","General Coordinates Used","264-5496","",33.448377,-112.074037,"Phoenix","AZ","","Business",1988,"checked","",NA,NA
"P.R ","General Coordinates Used","(Publication)","P.O. Box 5948, Phoenix 85010",33.448377,-112.074037,"Phoenix","AZ","","Publications",1988,"checked","",NA,NA
"Western Express","General Coordinates Used","(Publication)","P.O. Box 5950, Phoenix 85010",33.453877,-111.953395,"Phoenix","AZ","","Publications",1988,"checked","",NA,NA
"Women's Center","General Coordinates Used","","(602) 431-0548",33.453877,-111.953395,"Phoenix","AZ","","Organization",1988,"checked","",NA,NA
"Central Public Library","General Coordinates Used","","",33.448377,-112.074037,"Phoenix","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Encanto Park","Found","","",33.476672,-112.089974,"Phoenix","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"'Hitch-hikers'","General Coordinates Used","","2nd & Roosevelt Sts.",33.448377,-112.074037,"Phoenix","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Greyhound Park ","Found","(Sundays are cruisy at Park 'n' Swap)","",33.448021,-111.995404,"Phoenix","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Metro Center","Found","(Shopping Complex)","nr. ice rink",33.575048,-112.121702,"Phoenix","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Moeur Park","General Coordinates Used","","",33.448377,-112.074037,"Phoenix","AZ","(AYOR),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Papago Park","Found","","",33.453877,-111.953395,"Phoenix","AZ","(AYOR),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Oak Creek Owl ","General Coordinates Used","","1/2 mi. S. of 89A on Ariz. 179",34.86974,-111.76099,"Sedona","AZ","(M),(R)","Restaurant",1988,"checked","",NA,NA
"A.S.U","Found","(2nd floor)","Student Union",33.417703,-111.934353,"Tempe","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Papago Park","Found","(Southern part)","",33.453632,-111.948693,"Tempe","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"'Rest Stop'","General Coordinates Used","","Hwy. 80 N.",33.42551,-111.940005,"Tempe","AZ","Cruisy Area,(AYOR)","Cruising Areas",1988,"checked","",NA,NA
"City Park","Found","","",31.713073,-110.068154,"Tombstone","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Back Pocket ","Found","(Behind Joshua Tree)","",32.251978,-110.972295,"Tucson","AZ","(*)","Bars/Clubs",1988,"checked","",NA,NA
"Buckaroo Book Store","General Coordinates Used","(Trucker)","I-10 nr. Craycroft",32.222607,-110.974711,"Tucson","AZ","(F&S)","Book Store",1988,"checked","",NA,NA
"Dignity","General Coordinates Used","(Church)","Box 27929, Tucson 85726",32.222607,-110.974711,"Tucson","AZ","","Religious Institution",1988,"checked","",NA,NA
"Gay Hotline","General Coordinates Used","","(602) 881-1794",32.222607,-110.974711,"Tucson","AZ","","Hotlines",1988,"checked","",NA,NA
"The Observer","General Coordinates Used","(Publication)","P.O Box 50733, Tucson, AZ 85703",32.222607,-110.974711,"Tucson","AZ","","Publications",1988,"checked","",NA,NA
"De Anza Park","Found","(Hustlers)","",32.235065,-110.971028,"Tucson","AZ","(AYOR),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"'Hitch-hikers'","General Coordinates Used","","on E. Speedway",32.222607,-110.974711,"Tucson","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Himmel Park","Found","","",32.233876,-110.93315,"Tucson","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Lincoln & Reid Parks ","Found","","",32.173267,-110.818145,"Tucson","AZ","(AYOR),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Santa Rita Hotel","Found","(Bar, pool, spa)","",32.220892,-110.968983,"Tucson","AZ","Cruisy Area","Cruising Areas,Hotel",1988,"checked","",NA,NA
"Tucson Mall","Found","","",32.2885,-110.974135,"Tucson","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"U. of Arizona","Found","(1st floor)Econ. Bldg","",32.237007,-110.954547,"Tucson","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"'Hitch-hikers'","Found","","on 4th Ave. & Hwy.8 ",32.731581,-114.624535,"Yuma","AZ","(AYOR),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Joe Henry Park","Found","","",32.728158,-114.648609,"Yuma","AZ","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Gay/Lesbian Rights","General Coordinates Used","","P.O. Box 2897, Fayetteville 72702",36.066242,-94.157853,"Fayetteville","AR","","Organization",1988,"checked","",NA,NA
"M.C.C Ozarks","General Coordinates Used","(501) 443-4278- ","Kenray at Plainview",36.066242,-94.157853,"Fayetteville","AR","(MCC)","Religious Institution",1988,"checked","",NA,NA
"Flat Rock 'BA' Beach","General Coordinates Used","(Active)","18 mi. S.E on Ark. 23, L at Madison Co. line, cross White River to 1st metal gate on R, trail 3/4 mi.",36.066242,-94.157853,"Fayetteville","AR","(M),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Lake Fayetteville","Found","","",36.135807,-94.144443,"Fayetteville","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"U. of Arkansas","Found","(Basement)","Fine Arts Bldg.",36.068685,-94.172907,"Fayetteville","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Ft. Smith Park","General Coordinates Used","","",35.385924,-94.398547,"Ft. Smith","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Creekman Park","Found","","",35.370889,-94.398265,"Ft. Smith","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Tilles Park","Found","","",35.386442,-94.39163,"Ft. Smith","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"6th & Garrison","Found","","",35.387237,-94.425237,"Ft. Smith","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"'The Block'","General Coordinates Used","","around Tradewinds Motel",35.385924,-94.398547,"Ft. Smith","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"'Rest Stop' ","General Coordinates Used","(at Welcome Center)","I-40 E, N. of town",35.385924,-94.398547,"Ft. Smith","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Bath House Row","General Coordinates Used","(Central Ave.)","",34.5037,-93.055179,"Hot Springs","AR","Cruisy Area","Cruising Areas,Bathhouses",1988,"checked","",NA,NA
"DeSoto Park","Found","","",34.536275,-93.029602,"Hot Springs","AR","(AYOR),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Arkansas Advisor ","General Coordinates Used","(Publication)","P.O. Box 4599, Little Rock 72204",34.746481,-92.289595,"Little Rock","AR","","Publications",1988,"checked","",NA,NA
"Crisis Center","General Coordinates Used","(501) 375-5151","",34.746481,-92.289595,"Little Rock","AR","","Hotlines",1988,"checked","",NA,NA
"M.C.C.","General Coordinates Used","(501) 666-2404","Box 1964, L.R. 72203",34.746481,-92.289595,"Little Rock","AR","(MCC)","Religious Institution",1988,"checked","",NA,NA
"Travel by Philip ","General Coordinates Used","","Box 5119, 72225",34.746481,-92.289595,"Little Rock","AR","(IGTA)","Travel Service",1988,"checked","",NA,NA
"Alsop Park","Found","(AYOR-'Fuzz' crackdown)","",34.762634,-92.315196,"Little Rock","AR","Cruisy Area,(AYOR)","Cruising Areas",1988,"checked","",NA,NA
"Boyle Park","Found","","",34.731298,-92.355545,"Little Rock","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Movie Arcade ","Found","('Peep shows')","3500 Asher",34.728235,-92.312977,"Little Rock","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"'Rest Stop'","General Coordinates Used","","on I-30,Morgan exit",34.886478,-92.372376,"Morgan","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"'Rest Stop'","General Coordinates Used","","on I-40",35.48703,-93.827696,"Ozark","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Prairie Creek Recretion ","General Coordinates Used","","Area Rest Stop",36.342019,-94.061869,"Prairie Creek","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Lake Atlanta","Found","","",36.338302,-94.098619,"Rogers","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Russellville State Park","Found","","",35.225281,-93.155952,"Russellville","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Lark Dardanelle","Found","","",35.225281,-93.155952,"Russellville","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"'Mary Sue'","General Coordinates Used","","Rest Stop on I-30 E., 1 1/2 mi. E. of State Line Ave.",33.430483,-94.036174,"Texarkana","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"'Ruth Ann'","General Coordinates Used","","Rest Stop on I-30 W., 1/2 mi. W. of State Line Ave.",33.430483,-94.036174,"Texarkana","AR","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Granada Park","Found","(Clemente at Park)","",34.068202,-118.145728,"Alhambra","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Co-Op Tours ","General Coordinates Used","","Box 10088, 92802",33.836593,-117.914301,"Anaheim","CA","(IGTA)","Travel Service",1988,"checked","",NA,NA
"Atascadero Lake County Pk.","Found","(near zoo)","",35.466515,-120.67034,"Atascadero","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"'BA' ","General Coordinates Used","(downstream)","beach on American River",38.896565,-121.07689,"Auburn","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Town Casino","Found","","Hotel Padre- 1913 'H' St.",35.375551,-119.02162,"Bakersfield","CA","(M),(E)","Business",1988,"checked","",NA,NA
"Beach Park","Found","(Wed. & WE nights)","21st & Oak Sts.",35.379936,-119.040635,"Bakersfield","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Foster's Donuts","General Coordinates Used","","",35.373292,-119.018712,"Bakersfield","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Von's","General Coordinates Used","","",35.373292,-119.018712,"Bakersfield","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Savon Shopping Center","General Coordinates Used","","",35.373292,-119.018712,"Bakersfield","CA","Cruisy Area,(C),(AH),(WE)","Cruising Areas",1988,"checked","",NA,NA
"Gordons Ferry","General Coordinates Used","","",35.373292,-119.018712,"Bakersfield","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Greyhound Bus Depot","General Coordinates Used","","",35.373292,-119.018712,"Bakersfield","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Valley Plaza","Found","","",35.335313,-119.036628,"Bakersfield","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"White Horse","Found","(See Oakland)","",37.851827,-122.260559,"Berkeley","CA","(*)","Bars/Clubs",1988,"checked","",NA,NA
"Cellar ","Found","(Disco)","1927 'K 'St.",35.376914,-119.017755,"Bakersfield","CA","(*),(YC),(D)","Bars/Clubs",1988,"checked","",NA,NA
"Aquatic Park","Found","(Campers & vans)","",37.859681,-122.298756,"Berkeley","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Lake Tamescal Park & Beach ","Found","","",37.844054,-122.227332,"Berkeley","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"U. of C. Hearst Gym","Found","","",37.869593,-122.256686,"Berkeley","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Grey Squirrel Cabins","Found","","Box 5404, 92315",34.238706,-116.94295,"Big Bear Lake","CA","(M),(H)","Hotel",1988,"checked","",NA,NA
"'Rest Stop'","General Coordinates Used","","on Hwy. 111 N.",32.978657,-115.530267,"Brawley","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Brea Mall","Found","","",33.915606,-117.886514,"Brea","CA","Cruisy Area,(AYOR)","Cruising Areas",1988,"checked","",NA,NA
"7-Eleven Stores","Found","(Best late nights)","109 Lambert Rd. ",33.925289,-117.896477,"Brea","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"7-Eleven Stores","General Coordinates Used","(Best late nights)","1200 S. Euclid",33.916475,-117.900292,"Brea","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Buena Park Mall","Found","(May Co.)","",33.846378,-117.987244,"Buena Park","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Greyhound Bus Depot","General Coordinates Used","","",32.678948,-115.498883,"Calexico","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Bidwell Park","Found","","Cedar Grove & upper part, by the river",39.810313,-121.722796,"Chico","CA","(AYOR),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Sade's","Found","","Ocean nr. Lincoln",36.555239,-121.923288,"Carmel","CA","(M)","Bars/Clubs",1988,"checked","",NA,NA
"Carmel Park Beach","Found","(Dunes- N. end)","",36.539474,-121.928334,"Carmel","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Marina Inn Motel","Found","(Near Glen Haven)(707) 998-9501","",39.023243,-122.719439,"Clear Lake","CA","","Hotel",1988,"checked","",NA,NA
"Austin Beach Park","Found","(Clear Lake Highlands)","",38.96021,-122.647879,"Clear Lake","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Kneeling Park","Found","(Nice)","",39.121909,-122.855206,"Clear Lake","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Library Park","Found","(Lakeport)","",39.043103,-122.913873,"Clear Lake","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"M.C.C","General Coordinates Used","(415) 827-2960","",37.977978,-122.031073,"Concord","CA","(MCC)","Religious Institution",1988,"checked","",NA,NA
"Diablo Valley College","Found","","#NAME?",37.968332,-122.072912,"Concord","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Sun Valley Mall","Found","(Macy's)","",37.96718,-122.060676,"Concord","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Orange Coast College","Found","(Fine Arts & Men's Phys Ed)","",33.668604,-117.91038,"Costa Mesa","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"South Coast Plaza Shopping Center","Found","","",33.68892,-117.88779,"Costa Mesa","CA","(AYOR),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Henry Dana St. Park","General Coordinates Used","","",33.467226,-117.698101,"Dana Point","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"U.C.D","Found","(4th floor)","Shields Library",38.539647,-121.74959,"Davis","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"U.C.D","General Coordinates Used","","TB5 Bldg.",38.538232,-121.761712,"Davis","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Stallion Oak Ranch ","Found","(Resort)","P.O. Box 155, Descanso 92016",32.881859,-116.642473,"Descanso","CA","(P),(H)","Hotel",1988,"checked","",NA,NA
"Dutch Treat","General Coordinates Used","","Off Hwy. 80",39.205959,-120.83781,"Dutch Flat","CA","(M),(R)","Restaurant",1988,"checked","",NA,NA
"Parkway Plaza Mall","Found","(May Co.)","",32.805452,-116.967188,"El Cajon","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Wells Park","Found","","",32.799976,-116.942355,"El Cajon","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Adams Park ","Found","","",32.796248,-115.556821,"El Centro","CA","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
