ID,Title,status,description,streetaddress,lat.lon,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
211,Kentucky Fried Chicken ,Found,,,"21.98115,-159.368058 ","Lihue, Kauai",HI,,Cruising Areas,1979,checked,,,4/18/2020 8:17pm,4/20/2020 4:51pm
244,Kentucky Fried Chicken ,Found,,,"21.98115,-159.368058 ","Lihue, Kauai",HI,"(M),(R)",Restaurant,1980,checked,,,4/18/2020 8:18pm,4/20/2020 10:13pm
39,Kona Steak House ,General Coordinates Used,Inquire locally,,"19.639994,-155.996926",Kona,HI,"(M),(R)",Restaurant,1974,checked,,,4/17/2020 11:50pm,4/18/2020 6:23pm
58,Kona Steak House ,General Coordinates Used,Inquire locally,,"19.639994,-155.996926",Kona,HI,"(M),(R)",Restaurant,1975,checked,,,4/17/2020 11:50pm,4/18/2020 6:39pm
156,Kona Steak House ,General Coordinates Used,Inquire locally,,"19.639994,-155.996926",Kona,HI,"(M),(R)",Restaurant,1976,checked,,,4/18/2020 7:14pm,4/18/2020 7:14pm
89,Kona Steak House ,General Coordinates Used,(Inquire locally),,"19.639994,-155.996926",Kona,HI,,Restaurant,1977,checked,,,4/17/2020 11:51pm,4/18/2020 7:48pm
182,Kona Steak House ,General Coordinates Used,(Inquire locally),,"19.639994,-155.996926",Kona,HI,,Restaurant,1978,checked,,,4/18/2020 8:17pm,4/18/2020 8:47pm
81,Kuhio Beach Park ,Found,Waikiki Beach Center Building ,,"21.273223,-157.824098 ","Waikiki Beach, Oahu",HI,,Cruising Areas,1976,checked,,,4/17/2020 11:51pm,4/18/2020 7:29pm
167,Kuhio Beach Park ,Found,Waikiki Beach Center Bldg. - T-Rooms,,"21.273223,-157.824098 ","Waikiki Beach, Oahu",HI,,Cruising Areas,1977,checked,,,4/18/2020 7:47pm,4/18/2020 8:10pm
230,Kuhio Beach Park ,Found,Waikiki Beach Center Bldg. T-Rooms & Showers,,"21.273223,-157.824098 ","Waikiki Beach, Oahu",HI,,Cruising Areas,1979,checked,,,4/18/2020 8:18pm,4/20/2020 8:42pm
266,Kuhio Beach Park ,Found,Waikiki Beach Center Bldg. T-Rooms & Showers,,"21.273223,-157.824098 ","Waikiki Beach, Oahu",HI,(*),Cruising Areas,1980,checked,,,4/18/2020 8:18pm,4/20/2020 11:41pm
52,Kuhio Beach Park- Waikiki Beach Center Bldg.,Found,,,"21.273223,-157.824098 ","Waikiki Beach, Oahu",HI,,Cruising Areas,1974,checked,,,4/17/2020 11:50pm,4/18/2020 6:33pm
236,Lawns in front of Court House ,Found,,,"19.717466,-155.077164",Hilo,HI,,Cruising Areas,1980,checked,,,4/18/2020 8:18pm,4/20/2020 8:48pm
59,Maui Bell ,General Coordinates Used,Inquire locally,,"20.878333,-156.6825 ","Lahaina, Maui",HI,(M),Bars/Clubs,1975,checked,,,4/17/2020 11:50pm,4/18/2020 6:45pm
157,Maui Bell ,General Coordinates Used,Inquire locally,,"20.878333,-156.6825 ","Lahaina, Maui",HI,(M),Bars/Clubs,1976,checked,,,4/18/2020 7:15pm,4/18/2020 7:15pm
212,Our House ,Found,Below entrance to Kauai Surf Hotel ,,"21.962709,-159.350198","Nawiliwili, Kauai ",HI,"(M),(R),(*)",Restaurant,1979,checked,approximate location,,4/18/2020 8:17pm,4/20/2020 4:53pm
245,Our House ,Found,Below entrance to Kauai Surf Hotel ,,"21.962709,-159.350198","Nawiliwili, Kauai ",HI,"(M),(R),(*)",Restaurant,1980,checked,approximate location,,4/18/2020 8:18pm,4/20/2020 10:16pm
168,Parking lots betw. the 'Nineties' & 'Tomato',General Coordinates Used,,,"21.282293,-157.831008","Waikiki Beach, Oahu",HI,,Cruising Areas,1977,checked,,,4/18/2020 7:47pm,4/18/2020 8:10pm
57,Queen Pond 'BA' Beach ,Found,West side of Kauai ,,"22.229232,-159.487437 ","Kapaa-Wailua, Kauai",HI,,Cruising Areas,1975,checked,,,4/17/2020 11:50pm,4/18/2020 6:38pm
155,Queen Pond 'BA' Beach ,Found,West side of Kauai ,,"22.229232,-159.487437 ","Kapaa-Wailua, Kauai",HI,,Cruising Areas,1976,checked,,,4/18/2020 7:13pm,4/18/2020 7:14pm
169,Queen Surf Beach,Found,,," 21.267896,-157.822471 ","Waikiki Beach, Oahu",HI,,Cruising Areas,1977,checked,,,4/18/2020 7:47pm,4/18/2020 8:10pm
181,Queen's Pond 'BA' Beach,Found,West side of Kauai,,"22.229232,-159.487437 ","Kapaa-Wailua, Kauai",HI,,Cruising Areas,1978,checked,,,4/18/2020 8:17pm,4/18/2020 8:45pm
88,Queen's Pond 'BA' Beach ,Found,West side of Kauai,,"22.229232,-159.487437 ","Kapaa-Wailua, Kauai",HI,,Cruising Areas,1977,checked,,,4/17/2020 11:51pm,4/18/2020 7:47pm
208,Queens Pond 'B.A.' Beach ,Found,W. side of Kauai ,,"22.229232,-159.487437 ","Kapaa-Wailua, Kauai",HI,,Cruising Areas,1979,checked,,,4/18/2020 8:17pm,4/20/2020 4:42pm
267,Queens Surf Beach,Found,,," 21.267896,-157.822471 ","Waikiki Beach, Oahu",HI,(*),Cruising Areas,1980,checked,,,4/18/2020 8:18pm,4/20/2020 11:41pm
231,Queens Surf Beach ,Found,,," 21.267896,-157.822471 ","Waikiki Beach, Oahu",HI,,Cruising Areas,1979,checked,,,4/18/2020 8:18pm,4/20/2020 8:42pm
174,Salon del Mar Lounge,General Coordinates Used,('Helpful bartender') Hotel o Kura,,"13.513616,144.800266",Tumon Bay,HI,"(M),(OC),(*)","Bars/Clubs,Hotels",1978,checked,listing likely incorrectly listed in Hawaii,,4/18/2020 8:17pm,7/20/2020 10:35am
170,Sheraton- Waikiki Beach ,Found,,,"21.277544,-157.830368 ","Waikiki Beach, Oahu",HI,,Cruising Areas,1977,checked,,,4/18/2020 7:47pm,4/18/2020 8:10pm
171,Sheraton- Waikiki Hotel,Found,Mezzanine T-Room,,"21.277544,-157.830368 ","Waikiki Beach, Oahu",HI,,Cruising Areas,1977,checked,,,4/18/2020 7:47pm,4/18/2020 8:10pm
232,Sherton- Waikiki Beach,Found,,,"21.277544,-157.830368 ","Waikiki Beach, Oahu",HI,,Cruising Areas,1979,checked,,,4/18/2020 8:18pm,4/20/2020 8:42pm
37,Tom Kat Theatre,General Coordinates Used,,Hotel St. ,"21.30835,-157.858877 ",Honolulu,HI,,Theatre,1974,checked,,,4/17/2020 11:50pm,4/18/2020 6:17pm
