ID,title,status,description,streetaddress,lat,lon,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,lastmodified
62,Lee St. betw. Bus Depots,General Coordinates Used,,,32.379223,-86.307737,Montgomery,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:08am
64,Cap 'n Hook's,Found,(Cruisy) ,"Holiday Inn, 1-280 Bypass",32.461534,-85.018611,Phenix City,AL,(M),"Bars/Clubs,Cruising Areas",1986,checked,,,6/16/2022 11:10am
65,Selma Mall,Found,,Broad St.,32.43312,-87.016506,Selma,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:13am
67,Bus Station,General Coordinates Used,,,33.209841,-87.569173,Tuscaloosa,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:10am
68,Union 76 Truck Stop,General Coordinates Used,(T-Room) ,at 1-20 & US 59,33.209841,-87.569173,Tuscaloosa,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:12am
69,U. of Alabama at Tuscaloosa,Found,"Ferguson Center &
Library T-Rooms & Old Union Bldg. (2nd floor T-Room)",,33.214516,-87.545665,Tuscaloosa,AL,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:12am
70,D Street Book Mark,General Coordinates Used,(Crusiy) ,419 'D' St.,61.218923,-149.850373,Anchorage,AK,Cruisy Area,"Book Store,Erotic Shop",1986,checked,,,6/16/2022 11:16am
71,Identity & Gay Hot Line,General Coordinates Used,"(907) 276-3909 or 276-3919
","P.O. Box 4-2791, 99509",61.218923,-149.850373,Anchorage,AK,,"Hotline,Religious Institution",1986,checked,,,6/16/2022 11:17am
74,Raven ,General Coordinates Used,"(Some YC, W, SM) (Cruisy) (Good Afternoons) ",618 Gambell nr. 6th,61.218056,-149.900278,Anchorage,AK,"(YC),(W),(SM),(D),(*)","Bars/Clubs,Cruising Areas",1986,checked,,,6/16/2022 11:18am
76,'C' St.,Found,at 4th Ave.,329 W. 4th Ave.,61.218718,-149.887673,Anchorage,AK,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:16am
77,Fred Myers Depot. Store,Found,T-Room,,61.211142,-149.735829,Anchorage,AK,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:17am
78,Park Strip ,Found,,at 9th & 'L' Sts.,61.213666,-149.903704,Anchorage,AK,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:18am
79,Penney's & Sears Mall,Found,,,61.216996,-149.890085,Anchorage,AK,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:18am
80,Gay Info Line,General Coordinates Used,(907) 456-3353,,64.837778,-147.716389,Fairbanks,AK,,Hotline,1986,checked,,,6/16/2022 11:19am
82,Out in the North,General Coordinates Used,(Publication) ,"Box 60351, Fair., 99706",64.837778,-147.716389,Fairbanks,AK,,Publication,1986,checked,,,6/16/2022 11:19am
83,Bentley Mall,Found,,,61.216889,-149.888942,Fairbanks,AK,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:19am
84,U. of Alaska ,Found,"Library Constitution Hall, Gym & Wood Ctr.",,64.856934,-147.820022,Fairbanks,AK,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:20am
85,Red Dog Saloon,General Coordinates Used,,S. Franklin St.,58.301944,-134.419722,Juneau,AK,(M),Bars/Clubs,1986,checked,,,6/16/2022 11:20am
88,Merchants Wharf,Found,T-Rooms,,58.299399,-134.407901,Juneau,AK,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:20am
89,Hitch-hikers ,General Coordinates Used,along Tongass Hwy.,,55.342222,-131.646111,Ketchikan,AK,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:22am
90,Frontier,General Coordinates Used,"No gay bars, but some downtown bars such as",on Main St.,55.342222,-131.646111,Ketchikan,AK,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:22am
91,108 Club,Found,"No gay bars, but some downtown bars such as 108 Club can be cruisy",on Main St.,55.341288,-131.645123,Ketchikan,AK,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:21am
93,'Rest Stops' ,General Coordinates Used,,N on I-10,32.911003,-111.77339,Casa Grande,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:23am
94,Northern Arizona Univ. Library ,Found,Basement T-Room,,35.190062,-111.657545,Flagstaff,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:24am
95,Ramada Inn,General Coordinates Used,,,35.198284,-111.651302,Flagstaff,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:24am
96,'Rest Stops' ,General Coordinates Used,,"on 1-40, 15mi. W.",35.198284,-111.651302,Flagstaff,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:24am
97,Thorp Park,Found,(Sunset & WE) ,,35.203668,-111.658355,Flagstaff,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:24am
98,PX ,Found,T-Room,,31.555439,-110.352618,FT. Huachuca,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:34pm
99,Schoolhouse Disco,General Coordinates Used,Old Schoolhouse Shops at top of Hill,,34.748911,-112.113772,Jerome,AZ,"(M),(D)",Bars/Clubs,1986,checked,,,6/16/2022 11:25am
100,The Library,General Coordinates Used,Old Schoolhouse Shops,,34.748911,-112.113772,Jerome,AZ,"(M),(R)",Restaurant,1986,checked,,,6/16/2022 11:25am
101,London Bridge,Found,,,34.467188,-114.352661,Lake Havasu City,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:32pm
102,Reed & Pioneer Parks,Found,,,33.416972,-111.819674,Mesa,AZ,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 11:25am
103,Tri-City Mall,Found,,,33.414851,-111.873996,Mesa,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:25am
105,Arizona Escort Service,General Coordinates Used,(602) 246-1692,,33.448377,-112.074037,Phoenix,AZ,,Escort Service,1986,checked,,,6/16/2022 11:31am
107,Best Distributing,General Coordinates Used,,"P.O. Box 27073, Phoenix 85061",33.448377,-112.074037,Phoenix,AZ,,Business,1986,checked,,,6/16/2022 11:32am
116,Dignity,General Coordinates Used,(602) 866-1035,,33.448377,-112.074037,Phoenix,AZ,,Religious Institution,1986,checked,,,6/16/2022 11:33am
117,Directory ,General Coordinates Used,(Publication) (602) 274-4768,,33.448377,-112.074037,Phoenix,AZ,,Publication,1986,checked,,,6/16/2022 11:33am
122,Gay/Lesbian Assistance & Info,General Coordinates Used,(602) 234-2752,,33.448377,-112.074037,Phoenix,AZ,,Hotline,1986,checked,,,6/16/2022 11:34am
123,Gay Roommate Service,General Coordinates Used,(602) 938-3932,,33.448377,-112.074037,Phoenix,AZ,,Business,1986,checked,,,6/16/2022 11:34am
145,Western Express,General Coordinates Used,(Publication) ,"P.O. Box 32575, Phoenix 85064",33.453877,-111.953395,Phoenix,AZ,,Publication,1986,checked,,,6/16/2022 11:36am
147,Encanto Park,Found,,,33.476672,-112.089974,Phoenix,AZ,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 11:33am
148,'Hitch-hikers',General Coordinates Used,,2nd & Roosevelt Sts.,33.448377,-112.074037,Phoenix,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:31am
149,Greyhound Park,Found,"Sundays are cruisy at
Park 'n' Swap",,33.448021,-111.995404,Phoenix,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:34am
150,Indian School Rd.,General Coordinates Used,56th to 68th—Canal Joggers,,33.448377,-112.074037,Phoenix,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:35am
151,Metro Center ,Found,Shopping Complex—nr. ice rink,,33.575048,-112.121702,Phoenix,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:35am
152,Papago Park,Found,,,33.453877,-111.953395,Phoenix,AZ,"(AYOR),Cruisy Area",Cruising Areas,1986,checked,,,6/16/2022 11:36am
153,Public Library,General Coordinates Used,Basement T-Room,,33.453877,-111.953395,Phoenix,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:36am
154,Sundowner Motel,General Coordinates Used,Pool & R (Downstairs bar nights) ,,33.453877,-111.953395,Phoenix,AZ,"(R),Cruisy Area","Cruising Areas,Restaurant,Hotel",1986,checked,,,6/16/2022 11:36am
159,K-Mart ,General Coordinates Used,T-Room,,31.5455,-110.277286,Sierra Vista,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:37am
163,A.S.U. ,Found,"Student Union, Library & Old Gym T-Rooms",,33.417703,-111.934353,Tempe,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:39am
164,Papago Park,Found,(Southern part),,33.453632,-111.948693,Tempe,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:39am
165,'Rest Stop' ,General Coordinates Used,,Hwy. 80 N.,33.42551,-111.940005,Tempe,AZ,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 11:37am
166,City Park ,Found,T-Room,,31.713073,-110.068154,Tombstone,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:40am
167,Back Pocket,Found,(Behind Joshua Tree) ,,32.251978,-110.972295,Tucson,AZ,(*),Bars/Clubs,1986,checked,,,6/16/2022 11:43am
175,Dignity ,General Coordinates Used,(Church) ,"Box 27929, Tucson 85726",32.222607,-110.974711,Tucson,AZ,,Religious Institution,1986,checked,,,6/16/2022 11:57am
186,The Observer,General Coordinates Used,(Publication) ,"P.O. Box 50733, Tucson, AZ 85703",32.222607,-110.974711,Tucson,AZ,,Publication,1986,checked,,,6/16/2022 12:21pm
188,"Bum Steer, Cowboys & Wild Cats",For Review,bars,,32.245341,-110.971387,Tucson,AZ,"(YC),Cruisy Area","Cruising Areas,Bars/Clubs",1986,checked,,Address found here: https://tucson.com/news/retrotucson/22-tucson-restaurants-we-wish-were-still-open/collection_fb436038-d171-11e8-b808-47ddc9e1f1de.html#4,6/16/2022 11:55am
189,De Anza Park,Found,(Hustlers) ,,32.235065,-110.971028,Tucson,AZ,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 11:57am
190,'Hitch-hikers' ,General Coordinates Used,on E. Speedway ,,32.222607,-110.974711,Tucson,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 11:43am
191,Himmel Park,Found,,,32.233876,-110.93315,Tucson,AZ,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 11:58am
192,Jaysen ,General Coordinates Used,Inquire locally,,32.222607,-110.974711,Tucson,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:10pm
193,K-Mart,General Coordinates Used,T-Room-Broadway at Wilmot,,32.222607,-110.974711,Tucson,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:10pm
194,Lincoln Park,Found,,,32.173267,-110.818145,Tucson,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:11pm
195,Reid Park,Found,T-Rooms,,32.21032,-110.919078,Tucson,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:11pm
196,Tucson Mall,Found,T-Room,,32.2885,-110.974135,Tucson,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:24pm
197,U. of Arizona ,Found,"Econ. Bldg.—
1st floor T-Room & Library",,32.237007,-110.954547,Tucson,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:26pm
203,'Hitch-hikers' ,Found,on 4th Ave. & Hwy. 8,,32.731581,-114.624535,Yuma,AZ,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 12:26pm
204,MacDonald's,General Coordinates Used,(nr. Base),,32.692651,-114.627692,Yuma,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:27pm
205,Saddle Club & Backroom,General Coordinates Used,,,32.692651,-114.627692,Yuma,AZ,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:27pm
206,Starlight Club,General Coordinates Used,(Some L) (spur off Hampton Hwy.—US 167 N.),Old Calion Rd. ,33.20763,-92.666267,El Dorado,AR,"(P),(*),(L),(PT),(D)",Bars/Clubs,1986,checked,,,6/16/2022 12:34pm
207,Ozark Barn,General Coordinates Used,(Bed & Breakfast) ,"Rl, Box 161, E.S. 72632",36.401183,-93.737971,Eureka Springs,AR,,"Hotel,Restaurant",1986,checked,,,6/16/2022 12:43pm
208,S. Main St.,General Coordinates Used,,,36.401183,-93.737971,Eureka Springs,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:44pm
209,Arkanasas Gay/Lesbian Rights,General Coordinates Used,,"P.O. Box 2897,Fayetteville 72702",36.066242,-94.157853,Fayetteville,AR,,Organization,1986,checked,,,6/16/2022 12:44pm
211,M.C.C. Ozarks,General Coordinates Used,(501) 443-4278—Kenray at Plainview,,36.066242,-94.157853,Fayetteville,AR,(MCC),Religious Institution,1986,checked,,,6/16/2022 12:48pm
213,Lake Fayetteville,Found,,,36.135807,-94.144443,Fayetteville,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:47pm
214,U. of Arkansas,Found,Fine Arts Bldg. T-room (Basement),,36.068685,-94.172907,Fayetteville,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:48pm
218,Ft. Smith Park,General Coordinates Used,,N. 6th St.,35.385924,-94.398547,Ft. Smith,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:51pm
219,6th & Garrison,Found,,,35.387237,-94.425237,Ft. Smith,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:49pm
220,'The Block' around Tradewinds Motel,General Coordinates Used,,,35.385924,-94.398547,Ft. Smith,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:49pm
222,Bath House Row,General Coordinates Used,(Central Ave.) ,,34.5037,-93.055179,Hot Springs,AR,Cruisy Area,"Cruising Areas,Bathhouses",1986,checked,,,6/16/2022 12:53pm
223,DeSoto Park ,Found,T-Room ,,34.536275,-93.029602,Hot Springs,AR,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 12:54pm
224,Arkansas Gay Writers ,General Coordinates Used,(Publication),"
P.O. Box 3115, Little Rock 72203",34.746481,-92.289595,Little Rock,AR,,Publication,1986,checked,,,6/16/2022 12:55pm
228,Crisis Center,General Coordinates Used,(501) 375-5151,,34.746481,-92.289595,Little Rock,AR,,Community Center/ Support Group,1986,checked,,,6/16/2022 12:56pm
230,M.C.C. ,General Coordinates Used,(501) 666-2404,"Box 1946, L.R. 72203",34.746481,-92.289595,Little Rock,AR,(MCC),Religious Institution,1986,checked,,,6/16/2022 12:56pm
234,Alsop Park,Found,(AYOR-'Fuzz' crackdown),,34.762634,-92.315196,Little Rock,AR,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 12:55pm
235,Boyle Park,Found,,,34.731298,-92.355545,Little Rock,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:55pm
236,Burns Park,Found,N. Little Rock,,34.731298,-92.355545,Little Rock,AR,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 12:55pm
237,MacArthur Park,Found,,,34.735846,-92.264886,Little Rock,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:56pm
238,Movie Arcade,Found,('Peep shows'),3500 Asher,34.728235,-92.312977,Little Rock,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:56pm
239,'Rest Stop' ,General Coordinates Used,W. on 1-40 (Bazebos) ,,34.746481,-92.289595,Little Rock,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:55pm
240,'Rest Stop' ,General Coordinates Used,"on I-30, Morgan exit",,34.886478,-92.372376,Morgan,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:57pm
241,'Rest Stop' ,General Coordinates Used,on I-40,,35.48703,-93.827696,Ozark,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:57pm
242,Lake Atlanta ,Found,T-Room,,36.338302,-94.098619,Rogers,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:57pm
246,'Mary Sue' ,General Coordinates Used,"Rest Stop on 1-30 E., 1/2 mi. E. of
State Line Ave.",,33.430483,-94.036174,Texarcana,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:58pm
247,'Ruth Ann' ,General Coordinates Used,"Rest Stop on 1-30 W., 1/2 mi. W. of
State Line Ave.",,33.430483,-94.036174,Texarcana,AR,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 12:58pm
248,Cedar Creek Inn,General Coordinates Used,(Bed & breakfast) (707) 937-4335,,39.223241,-123.76806,Albion,CA,,"Hotel,Restaurant",1986,checked,,,6/18/2022 4:38pm
249,Granada Park,Found,Clemente at Park,,34.068202,-118.145728,Alhambra,CA,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 1:02pm
250,Kenton Mine Lodge,Found,(916) 287-3212,,39.455192,-120.859995,Alleghany,CA,"(M),(H)",Hotel,1986,checked,,,6/18/2022 4:45pm
251,La Palma Park ,Found,T-Room (Summers) ,,33.84846,-117.922333,Anaheim,CA,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 1:04pm
252,Pearson Park,Found,T-Room,,33.836903,-117.919087,Anaheim,CA,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 1:04pm
254,E & G Cafe,General Coordinates Used,,Lincoln Way,38.896565,-121.07689,Auburn,CA,(M),Bars/Clubs,1986,checked,,,6/16/2022 1:13pm
255,'BA' beach,General Coordinates Used,on American River—downstream,,38.896565,-121.07689,Auburn,CA,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 1:05pm
258,Gay & Lesbian Phoneline,General Coordinates Used,(805) 397-4189,,35.373292,-119.018712,Bakersfield,CA,,Hotline,1986,checked,,,6/16/2022 1:16pm
260,Reflections ,General Coordinates Used,(Publication) ,,35.373292,-119.018712,Bakersfield,CA,,Publication,1986,checked,,,6/16/2022 1:17pm
261,Grace Chapel,General Coordinates Used,(805) 322-9991,,35.373292,-119.018712,Bakersfield,CA,,Religious Institution,1986,checked,,,6/16/2022 1:17pm
265,Beach Park,Found,21st & Oak Sts. (Wed. & WE nights),,35.379936,-119.040635,Bakersfield,CA,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 1:15pm
266,Foster's Donuts,General Coordinates Used,Von's— Savon Shopping Center,,35.373292,-119.018712,Bakersfield,CA,"(C),(AH),(WE),Cruisy Area",Cruising Areas,1986,checked,,,6/16/2022 1:16pm
267,Greyhound Bus Depot,General Coordinates Used,T-Room,,35.373292,-119.018712,Bakersfield,CA,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 1:17pm
270,White Horse,Found,(See Oakland) ,,37.851827,-122.260559,Berkeley,CA,(*),Bars/Clubs,1986,checked,,,6/16/2022 1:22pm
271,Aquatic Park,Found,Campers & vans,,37.859681,-122.298756,Berkeley,CA,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 1:20pm
272,Lake Tamescal Park & Beach,Found,,,37.844054,-122.227332,Berkeley,CA,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 1:21pm
273,U. of C. ,Found,"Hearst Gym, Doe Library
3rd floor T-Room & Tolman Hall basement T-Room",,37.869593,-122.256686,Berkeley,CA,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 1:21pm
274,Gadabout ,General Coordinates Used,(Guest House) Inquire locally,,34.243896,-116.911421,Big Bear Lake,CA,(L),Hotel,1986,checked,,,6/16/2022 1:23pm
275,Grey Squirrel Cabins,Found,,"Box 5404, Big Bear Lake 92315",34.238706,-116.94295,Big Bear Lake,CA,"(M),(H)",Hotel,1986,checked,,,6/16/2022 1:23pm
276,Mediterranean Sunset,General Coordinates Used,(Best late) Hwy. 18,,34.243896,-116.911421,Big Bear Lake,CA,(M),Bars/Clubs,1986,checked,,,6/16/2022 1:24pm
277,'Rest Stop' ,General Coordinates Used,on Hwy. 111 N.,,32.978657,-115.530267,Brawley,CA,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 1:24pm
278,Brea Mall ,Found,T-Rooms,,33.915606,-117.886514,Brea,CA,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 1:25pm
279,7-Eleven Stores,Found,,109 Lambert Rd.,33.925289,-117.896477,Brea,CA,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 1:25pm
280,7- Eleven Stores,General Coordinates Used,,1200 S. Euclid,33.916475,-117.900292,Brea,CA,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 1:24pm
281,Buena Park Mall,Found,May Co. T-Room,,33.846378,-117.987244,Buena Park,CA,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 1:25pm
282,'Truck Stop' ,General Coordinates Used,on US 101 S. --East side,,37.57787,-122.34809,Burlingame,CA,"Cruisy Area,(AYOR)",Cruising Areas,1986,checked,,,6/16/2022 1:25pm
283,Sade's,Found,Ocean nr. Lincoln,,36.555239,-121.923288,Carmel,CA,(M),Bars/Clubs,1986,checked,,,6/16/2022 2:27pm
286,Bidwell Park,Found,"Cedar Grove & upper part,
by the river",,39.810313,-121.722796,Chico,CA,Cruisy Area,Cruising Areas,1986,checked,,,6/16/2022 3:20pm
