ID,Title,Year,status,lat,lon,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,notes,dateadded,lastmodified,Last Modified By
141,"Huff & Puff, A Straw Bale Inn",1998,General Coordinates Used,34.824424,-111.805914,567-9066,,Sedona,AZ,"(GF),(WC)",Accommodations,checked,,,,7/21/2024 10:00am,Taylor Marks
148,AA Gay/Lesbian,1998,General Coordinates Used,32.222607,-110.974711,"624-4183 many mtgs, call for schedule",,Tuscon,AZ,,Info Lines & Services,checked,,"Put with proper ""Tucson""",,7/21/2024 10:09am,Taylor Marks
149,Community Real Estate Referrals,1998,General Coordinates Used,32.222607,-110.974711,"(800) 346-5592 gay realtor at your service, no rentals",,Tuscon,AZ,,Info Lines & Services,checked,,"Put with proper ""Tucson""",,7/21/2024 10:09am,Taylor Marks
158,Montecito House,1998,General Coordinates Used,32.222607,-110.974711,795-7592,,Tuscon,AZ,"(GF),(NS)",Accommodations,checked,,"Put with proper ""Tucson""",,7/21/2024 10:09am,Taylor Marks
178,The Observer,1998,General Coordinates Used,32.222607,-110.974711,622-7176,,Tuscon,AZ,,Publications,checked,,"Put with proper ""Tucson""",,7/21/2024 10:09am,Taylor Marks
183,Tuscon Confidential Connection,1998,General Coordinates Used,32.222607,-110.974711,"770-1000 Meet hot local guys! Record, listen, respond to free ads. Use free code 9966. ",,Tuscon,AZ,,Men's Services,checked,,"Put with proper ""Tucson""",,7/21/2024 10:09am,Taylor Marks
188,Pig Trail Cafe,1998,Found,35.875322,-93.912123,"Rte. 16, east of Elkins 643-3307 6am-9pm",,Crossett,AR,(*),Cafes,checked,,,,7/21/2024 10:58am,Taylor Marks
208,Autumn Breeze ,1998,Found,36.383818,-93.7398,"Hwy 23 S. 253-7734 5pm-9pm, cont'l",,Eureka Springs,AR,,Restaurants,checked,,,,7/21/2024 10:24am,Taylor Marks
209,Cottage Inn,1998,Found,36.405512,-93.756871,"253-5282 seasonal, lunch & dinner, clsd Mon, Mediterranean",,Eureka Springs,AR,,Restaurants,checked,,,,7/21/2024 10:26am,Taylor Marks
195,Greenwood Hollow Ridge B&B,1998,Found,36.381487,-93.730641,"253-5283 exclusively lesbigay, full brkfst, kitchen, private/shared baths",,Eureka Springs,AR,"(MW),(WC)",Accommodations,checked,,,,7/21/2024 10:27am,Taylor Marks
198,Morningstar Retreat,1998,Found,36.314725,-93.658896,"253-5995/(800)298-5995 cabins, jacuzzi",,Eureka Springs,AR,"(GF),(NS)",Accommodations,checked,,,,7/21/2024 10:40am,Taylor Marks
200,Pond Mountain Lodge & Resort,1998,Found,36.365083,-93.752049,253-5877/(800)583-8043 full brkfst,,Eureka Springs,AR,"(GF),(SW),(NS),(WC)",Accommodations,checked,,,,7/21/2024 10:45am,Taylor Marks
194,The Gardener's Cottage,1998,Found,36.405693,-93.738838,"253-9111/(800)833-3394 seasonal, jacuzzi",,Eureka Springs,AR,"(GF),(NS)",Accommodations,checked,,,,7/21/2024 10:47am,Taylor Marks
215,AA Gay/Lesbian,1998,General Coordinates Used,36.066242,-94.157853,443-6366,,Fayetteville,AR,,Info Lines & Services,checked,,,,7/21/2024 10:47am,Taylor Marks
240,Anaheim Confidential Connection,1998,General Coordinates Used,33.836593,-117.914301,"539-7000 Meet hot local guys! Record, listen, respond to free ads. Use free code 9966",,Anaheim,CA,,Men's Services,checked,,,,7/21/2024 11:04am,Taylor Marks
242,Megaphone Anaheim,1998,General Coordinates Used,33.836593,-117.914301,703-9900 Voice-personals. Meet local men. Free to browse & respond to ads. Use Pub. 555.,,Anaheim,CA,,Men's Services,checked,,,,7/21/2024 11:04am,Taylor Marks
241,The Gay Connection,1998,General Coordinates Used,33.836593,-117.914301,"(900) 505-6339 talk and/or meet with other men from the area, at only 99¢ per minute",,Anaheim,CA,,Men's Services,checked,,,,7/21/2024 11:05am,Taylor Marks
244,Friends,1998,General Coordinates Used,35.373292,-119.018712,"323-7311 6:30pm-11pm, support groups & community outreach",,Bakersfield,CA,,Info Lines & Services,checked,,,,7/21/2024 11:07am,Taylor Marks
256,Grey Squirrel Resort,1998,Found,34.238718,-116.942969,866-4335 18 private cabins,,Big Bear Lake,CA,"(GF),(SW)",Accommodations,checked,,,,7/21/2024 11:09am,Taylor Marks
260,Lucia Lodge,1998,Found,36.020602,-121.549324,"Hwy. 1 667-2391 cabins, restaurant, store, ocean views",,Big Sur,CA,"(GF),(TA)",Accommodations,checked,,,,7/22/2024 8:20am,Taylor Marks
266,Carmel Travel,1998,Found,36.539474,-121.928334,"PO Box Drawer 0, 93921-0585 626-2000",,Carmel,CA,(TA),Travel Agents,checked,,,,7/21/2024 11:11am,Taylor Marks
265,Happy Landing Inn,1998,Found,36.5564,-121.924263,"624-7917 Hansel & Gretel 1925 inn, full brkfst",,Carmel,CA,"(GF),(NS)",Accommodations,checked,,,,7/21/2024 11:16am,Taylor Marks
287,Community Real Estate Referrals,1998,General Coordinates Used,37.871523,-122.273042,"(800) 346-5592 gay realtor at your service, no rentals",,East Bay,CA,,Info Lines & Services,checked,,,,7/21/2024 6:37pm,Taylor Marks
314,East Bay Confidential Connection,1998,General Coordinates Used,37.871523,-122.273042,"814-6699 Meet hot local guys! Record, listen, respond to free ads. Use free code 9966.",,East Bay,CA,,Men's Services,checked,,,,7/21/2024 6:37pm,Taylor Marks
315,Megaphone Oakland,1998,General Coordinates Used,37.77493,-122.419415,452-2600 Voice-personals. Meet local men. Free to browse & respond to ads. Use Pub. 555.,,East Bay,CA,,Men's Services,checked,,,,7/21/2024 6:39pm,Taylor Marks
337,Purple Rose,1998,Found,39.490405,-123.786055,"964-6507 dinner only, clsd Mon-Tue, Mexican",Mill Creek Dr,Fort Bragg,CA,,Restaurants,checked,,,,7/21/2024 6:23pm,Taylor Marks
341,Community Link,1998,General Coordinates Used,36.737798,-119.787125,266-5465 lesbigay support; also publishes 'Pink Pages',,Fresno,CA,,Info Lines & Services,checked,,,,7/21/2024 11:20am,Taylor Marks
353,Fresno Confidential Connection,1998,General Coordinates Used,36.737798,-119.787125,"271-9999 Meet hot local guys! Record, listen, respond to free ads. Use free code 9966.",,Fresno,CA,,Men's Services,checked,,,,7/21/2024 11:24am,Taylor Marks
356,Giant Redwoods RV & Camp,1998,Found,40.262258,-123.877741,"943-3198 campsites, RV, located off the Avenue of the Giants on the Eel River",,Garberville,CA,(GF),Accommodations,checked,,,,7/22/2024 8:12am,Taylor Marks
928,Mill St. Grill,1998,Found,38.503774,-123.000301,"(at Triple 'R' Resort), Guerneville 869-0691 some veggie, patio, full bar",,Guerneville,CA,"(MW),(WC)",Restaurants,checked,,"Listed under ""Russian River, CA""",,7/21/2024 11:38am,Taylor Marks
896,The Chalet,1998,General Coordinates Used,38.501858,-122.99611,"864-4061 rental home on 1/4 acre, sleeps 6, 4 min. to downtown Guerneville ",,Guerneville,CA,(GF),Accommodations,checked,,"Listed under ""Russian River, CA""",,7/21/2024 11:43am,Taylor Marks
931,The Nude Beach,1998,Found,38.507126,-122.884106,"on Russian River at Wohler Bridge, Guerneville",,Guerneville,CA,,Entertainment & Recreation,checked,,"Listed under ""Russian River, CA""",,7/21/2024 11:45am,Taylor Marks
372,Moss Beach Distillery,1998,Found,37.517742,-122.512867,728-5595 lunch & dinner ,Beach Way & Ocean Boulevard,Half Moon Bay,CA,,Restaurants,checked,,Not an exact location,,7/22/2024 8:21am,Taylor Marks
380,Municipal Parking Lot,1998,Found,37.673319,-122.083523,"btwn. Main & Mission 'A' & 'B' Sts., evenings",,Hayward,CA,(AYOR),Cruisy Areas,checked,,Cruisy Area - unsure about address,,7/21/2024 11:46am,Taylor Marks
382,Madrona Manor,1998,Found,38.604551,-122.886592,"433-4231 full brkfst, elegant Victorian country inn",,Healdsburg,CA,"(GF),(F),(SW),(NS),(WC)",Accommodations,checked,,,,7/22/2024 8:14am,Taylor Marks
598,Community Real Estate Referrals ,1998,General Coordinates Used,34.090732,118.326615,"(800) 346-5592; gay realtor at your service, no rentals",,Hollywood,CA,,Info Lines & Services,checked,,,,7/21/2024 11:48am,Taylor Marks
616,Community Yellow Pages ,1998,General Coordinates Used,34.090732,118.326615,(213) 469-4454 annual survival guide to lesbi-gay southern CA,,Hollywood,CA,,Publications,checked,,"Listed under ""L.A-Hollywood""",,7/21/2024 11:51am,Taylor Marks
608,Temple,1998,General Coordinates Used,34.090732,118.326615,"call for location; underground house Sat, call for events 243-5221",,Hollywood,CA,"(M),(D),(A)",Bars & Nightclubs,checked,,"Listed under ""L.A-Hollywood""",,7/21/2024 11:58am,Taylor Marks
388,Huntington Beach Confidential Connection,1998,General Coordinates Used,33.659484,-117.998803,"539-5500. Meet hot local guys! Record, listen, respond to free ads. Use free code 9966.",,Huntington Beach,CA,,Men's Services,checked,,,,7/21/2024 6:32pm,Taylor Marks
391,The Rainbow Inn,1998,Found,33.742189,-116.712465,"659-0111 full brkfst, patio, conference rms avail",,Idyllwild,CA,"(GF),(NS)",Accommodations,checked,,,,7/22/2024 8:16am,Taylor Marks
392,Wilkum Inn B&B,1998,Found,33.737497,-116.72149,"659-4087/ (800) 659-4086 1938 shingle-style inn, fireplaces",,Idyllwild,CA,"(GF),(NS),(WC)",Accommodations,checked,,,,7/22/2024 8:19am,Taylor Marks
1045,Groundworks Books,1998,Found,32.877134,-117.2401,"UCSD Student Center 0323, La Jolla 452-9625 9am-7pm, 10am-6pm Fri-Sat, clsd Sun, alternative, lesbigay section",,La Jolla,CA,(WC),Bookstores & Retail Shops,checked,,,,7/21/2024 6:31pm,Taylor Marks
398,Community Real Estate Referrals ,1998,General Coordinates Used,33.542719,-117.785357,"(800) 346-5592 gay realtor at your ser-vice, no rentals",,Laguna Beach,CA,,Info Lines & Services,checked,,,,7/21/2024 11:59am,Taylor Marks
419,Gay Mart,1998,Found,33.53164,-117.775256,497-9108,,Laguna Beach,CA,,Erotica,checked,,,,7/21/2024 12:00pm,Taylor Marks
399,Laguna Outreach,1998,General Coordinates Used,33.510027,-117.752554,"497-4237 educational/social group for Orange County,call for details",,Laguna Beach,CA,,Info Lines & Services,checked,,,,7/21/2024 12:00pm,Taylor Marks
416,Orange County/ Long Beach Blade,1998,Found,33.568992,-117.761755,494-4898,,Laguna Beach,CA,,Publications,checked,,,,7/21/2024 12:02pm,Taylor Marks
421,Bavarian House B&B,1998,General Coordinates Used,38.939926,-119.977187,"544-4411/(800)431-4411 exclusively les-bigay, open year round",,Lake Tahoe,CA,"(MW),(NS)",Accommodations,checked,,,,7/21/2024 12:09pm,Taylor Marks
425,Sierrawood Guest House ,1998,General Coordinates Used,38.939926,-119.977187,"577-6073/ 700-3802 cozy,romantic chalet, hot tub ",,Lake Tahoe,CA,(MW),Accommodations,checked,,,,7/21/2024 12:13pm,Taylor Marks
434,Antelope Valley Gay/Lesbian Alliance,1998,General Coordinates Used,34.703947,-118.148102,942-2812 call for events,,Lancaster,CA,,Info Lines & Services,checked,,,,7/21/2024 12:15pm,Taylor Marks
438,Appolo Park,1998,Found,34.740631,-118.203863,Ave 'G' & 50 W.,,Lancaster,CA,(AYOR),Cruisy Areas,checked,,,,7/21/2024 12:16pm,Taylor Marks
440,Community Real Estate Referrals ,1998,General Coordinates Used,33.783824,-118.11409,"(800) 346-5592 gay realtor at your ser-vice, no rentals",,Long Beach,CA,,Info Lines & Services,checked,,,,7/21/2024 12:17pm,Taylor Marks
470,Dignity,1998,General Coordinates Used,33.783824,-118.11409,984-8400 call for service times & locations,,Long Beach,CA,,Spiritual Groups,checked,,,,7/21/2024 12:26pm,Taylor Marks
474,Long Beach Confidential Connection,1998,General Coordinates Used,33.783824,-118.11409,"421-9231 Meet hot local guys! record, listen, respond to free ads. Use free code 9966.",,Long Beach,CA,,Men's Services,checked,,,,7/21/2024 12:26pm,Taylor Marks
442,South Bay Lesbian/Gay Community Organization ,1998,General Coordinates Used,33.783824,-118.11409,"379-2850 support/edu-cation for Manhattan, Hermosa & Redondo Beaches, Torrance, Palos Verdes, El Segundo",,Long Beach,CA,,Info Lines & Services,checked,,,,7/21/2024 12:28pm,Taylor Marks
489,4-Front Magazine,1998,General Coordinates Used,34.054908,,(213) 650-7772,,Los Angeles,CA,,Publications,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:34pm,Taylor Marks
478,Asian/Pacific Gays & Friends,1998,General Coordinates Used,34.054908,-118.412621,"(213) 980-7874, call for events",,Los Angeles,CA,,Info Lines & Services,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:34pm,Taylor Marks
490,BLK Publishing,1998,General Coordinates Used,34.052234,-118.243685,(310) 410-0808 nat'l publications for African-American men,,Los Angeles,CA,,Publications,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:39pm,Taylor Marks
497,By Exposure,1998,General Coordinates Used,34.052234,-118.243685,(213) 913-1300,,Los Angeles,CA,(TA),Travel Agents,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:41pm,Taylor Marks
480,Community Real Estate Referrals,1998,General Coordinates Used,34.052234,-118.243685,"(800) 346-5592 gay realtor at your service, no rentals",,Los Angeles,CA,,Info Lines & Services,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:42pm,Taylor Marks
629,Community Real Estate Referrals,1998,General Coordinates Used,34.052234,-118.243685,"(800) 346-5592; gay realtor at your service, no rentals",,Los Angeles,CA,,Info Lines & Services,checked,,"Listed under ""West L.A. & Santa Monica""",,7/21/2024 12:42pm,Taylor Marks
695,Community Real Estate Referrals,1998,General Coordinates Used,34.052234,-118.243685,"(800) 346-5592 gay realtor at your service, no rentals",,Los Angeles,CA,,Info Lines & Services,checked,,"Listed under ""L.A.-Valley""",,7/21/2024 12:42pm,Taylor Marks
658,Community Real Estate Referrals ,1998,General Coordinates Used,34.052234,-118.243685,"(800) 346-5592; gay realtor at your service, no rentals",,Los Angeles,CA,,Info Lines & Services,checked,,"Listed under ""L.A.-Silverlake""",,7/21/2024 12:42pm,Taylor Marks
492,fab!,1998,General Coordinates Used,34.052234,-118.243685,(213) 655-5716 free club listings,,Los Angeles,CA,,Publications,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:42pm,Taylor Marks
493,Frontiers,1998,General Coordinates Used,34.052234,-118.243685,(213) 848-2222 free newsmagazine,,Los Angeles,CA,,Publications,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:42pm,Taylor Marks
481,Gay/Lesbian Youth Talk Line,1998,General Coordinates Used,34.052234,-118.243685,"(213) 993-7475 7pm-10pm, clsd Sun, referrals & support for those 23 & under",,Los Angeles,CA,,Info Lines & Services,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:46pm,Taylor Marks
494,Genre,1998,General Coordinates Used,34.052234,-118.243685,(213) 896-9778 slick nat'l magazine,,Los Angeles,CA,,Publications,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:46pm,Taylor Marks
488,IMRU Gay Radio,1998,General Coordinates Used,34.10174,-118.311788,KPFK LA 90.7 FM (818) 985-2711 10pm Sun; also This Way Out’ 4:30pm Tue,,Los Angeles,CA,,Entertainment & Recreation,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:49pm,Taylor Marks
687,Los Angeles Confidential Connection,1998,General Coordinates Used,34.10174,-118.311788,"734-7822 Meet hot local guys! Record, listen, respond to free ads. Use free code 9966.",,Los Angeles,CA,,Men's Services,checked,,,,7/21/2024 12:50pm,Taylor Marks
718,Megaphone San Fernando Valley,1998,General Coordinates Used,34.10174,-118.311788,"996-7000 Voice-personals, Meet local men. Free to browse & respond to ads. Use Pub. 555.",,Los Angeles,CA,,Men's Services,checked,,"Listed under ""L.A.-Valley""",,7/21/2024 12:50pm,Taylor Marks
719,San Fernando Valley Confidential Connection,1998,General Coordinates Used,34.052234,-118.243685,"734-4848 Meet hot local guys! Record, listen, respond to free ads. Use free code 9966",,Los Angeles,CA,,Men's Services,checked,,"Listed under ""L.A.-Valley""",,7/21/2024 12:52pm,Taylor Marks
483,South Bay Lesbian/Gay Community Organization,1998,General Coordinates Used,34.052234,-118.243685,"(310) 379-2850 support/education for Manhattan, Hermosa & Redondo Beaches, Torrance,
Palos Verdes, El Segundo",,Los Angeles,CA,,Info Lines & Services,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:53pm,Taylor Marks
485,The Caritas B&B Network,1998,General Coordinates Used,34.052234,-118.243685,(800) CARITAS (227-4827)/(312) 857-0801 (outside US) see ad in center National section,,Los Angeles,CA,,Accommodations,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:53pm,Taylor Marks
491,The Edge,1998,General Coordinates Used,33.953747,-118.412621,(213) 962-6994,,Los Angeles,CA,,Publications,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:53pm,Taylor Marks
500,The Gay Connection,1998,General Coordinates Used,33.953747,-118.412621,"(900) 505-6338 talk and/or meet with other men from the area, at only 99c per minute",,Los Angeles,CA,,Men's Services,checked,,"Listed under ""LA-Overview""",,7/21/2024 12:53pm,Taylor Marks
729,Ellis Lake,1998,Found,39.146766,-121.588173,,,Marysville,CA,(AYOR),Cruisy Areas,checked,,,,7/21/2024 12:53pm,Taylor Marks
730,River Front Park,1998,Found,39.14156,-121.604105,,,Marysville,CA,(AYOR),Cruisy Areas,checked,,,,7/21/2024 12:53pm,Taylor Marks
734,Mendocino Coastal Reservations,1998,Found,39.307532,-123.800041,"(800) 262-7801 9am-6pm, call about rentals",,Mendocino,CA,(GF),Accommodations,checked,,,,7/21/2024 1:04pm,Taylor Marks
736,Stanford Inn by the Sea,1998,Found,39.300047,-123.79064,"937-5615/(800) 331-8884 full brkfst, fireplaces",Coast Hwy 1 & Comptche-Ukiah Rd,Mendocino,CA,"(GF),(SW),(NS),(WC)",Accommodations,checked,,,,7/21/2024 1:04pm,Taylor Marks
739,Applegate Park,1998,Found,37.313099,-120.479231,off 'M' St,,Merced,CA,(AYOR),Cruisy Areas,checked,,,,7/21/2024 6:33pm,Taylor Marks
747,Modesto Confidential Connection,1998,General Coordinates Used,37.63926,-120.997001,"473-5959 Meet hot local guys! Record, listen, respond to free ads. Use free code 9966",,Modesto,CA,,Men's Services,checked,,,,7/21/2024 1:04pm,Taylor Marks
750,Legg Lake,1998,Found,34.033319,-118.059225,N end,,Montebello,CA,(AYOR),Cruisy Areas,checked,,,,7/21/2024 6:24pm,Taylor Marks
751,AA Gay/Lesbian,1998,General Coordinates Used,36.600238,-121.894676,373-3713 (AA#),,Monterey,CA,,Info Lines & Services,checked,,,,7/21/2024 1:05pm,Taylor Marks
759,Bed & Breakfast Inns of Napa Valley,1998,Found,38.419849,-122.389017,944-4444 reservation service,,Napa,CA,(GF),Accommodations,checked,,,,7/21/2024 1:06pm,Taylor Marks
1074,Botanica,1998,Found,37.741364,-122.42236,"Afro-Caribbean religious articles, 285-0612, 11am-7pm",Noe Valley,Noe Valley,CA,,Bookstores & Retail Shops,checked,,"Listed under ""S.F.-Castro & Noe Valley""",,7/22/2024 9:00am,Taylor Marks
1075,Just for Fun,1998,Found,37.7516,-122.431418,"Gift shop, 285-4068, 9am-9pm, til 7pm Sun",Noe Valley,Noe Valley,CA,(WC),Bookstores & Retail Shops,checked,,"Listed under ""S.F.-Castro & Noe Valley""",,7/22/2024 9:01am,Taylor Marks
764,Oceanside Confidential Connection,1998,General Coordinates Used,33.19587,-117.379483,"754-5555 Meet local hot guys! Record, listen, respond to free ads. Use free code 9966",,Oceanside,CA,,Men's Services,checked,,,,7/21/2024 1:08pm,Taylor Marks
769,AA Gay/Lesbian,1998,General Coordinates Used,33.830296,-116.545292,324-4880 (AA#) call for mtg. schedule,,Palm Springs,CA,,Info Lines & Services,checked,,,,7/21/2024 1:09pm,Taylor Marks
770,Community Real Estate Referrals,1998,General Coordinates Used,33.830296,-116.545292,"(800) 346-5592 gay realtor at your service, no rentals",,Palm Springs,CA,,Info Lines & Services,checked,,,,7/21/2024 1:09pm,Taylor Marks
839,Hijinx,1998,General Coordinates Used,33.830296,-116.545292,329-2421 free lesbigay guide to Palm Springs and desert resorts,,Palm Springs,CA,,Publications,checked,,,,7/21/2024 1:13pm,Taylor Marks
840,Lifestyle Magazine,1998,General Coordinates Used,33.830296,-116.545292,321-2685,,Palm Springs,CA,,Publications,checked,,,,7/21/2024 1:14pm,Taylor Marks
