"description","streetaddress","city","state","amenityfeatures","type","status","lat","lon","Year","notes","title","unclear_address","full.address","geoAddress"
"PO Box 2589 Victorville, CA 92393 760/868-6371 nat'l publication for mature men & their admirers","","Victorville","CA","","Publications","General Coordinates Used",34.536218,"-117.292764",1999,"",NA,NA,NA,NA
"Oliver & 29th St days","","Wichita","KS","Cruisy Area,(AYOR)","Cruisy Areas","Found",37.737576,"-97.280646",1999,"",NA,NA,NA,NA
"503/282-5796, 503/282-6979 10:30pm-2:30am Sat, call for locations","","Portland","OR","(D)","Nightclubs","General Coordinates Used",45.515232,"-122.678385",1999,"",NA,NA,NA,NA
"W end of the park, days","","Reno","NV","Cruisy Area,(AYOR)","Cruisy Areas","Found",39.510907,"-119.85231",1999,"",NA,NA,NA,NA
"513/684-8405, 800/347-8336 (OH ONLY) 24hr info","","Cincinnati ","OH","","Info Lines & Services","General Coordinates Used",39.103118,"-84.51202",1999,"",NA,NA,NA,NA
"Rte 309 (W-B/Mountaintop exit off I-81) behind KMart","","Wilkes-Barre","PA","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used",41.245915,"-75.881307",1999,"",NA,NA,NA,NA
"Main St (downtown exit off Rte 34)","","Ottumwa","IA","","Erotica","General Coordinates Used",41.017286,"-92.411602",1999,"",NA,NA,NA,NA
"Shoshone & 4th Ave E ","","Twin Falls","ID","Cruisy Area,(AYOR)","Cruisy Areas","Found",42.558171,"-114.465944",1999,"",NA,NA,NA,NA
"downtown ","","Glen Falls","NY","Cruisy Area,(AYOR)","Cruisy Areas","Found",43.311372,"-73.644607",1999,"",NA,NA,NA,NA
"S 1st Ave ","","Terre Haute","IN","Cruisy Area,(AYOR)","Cruisy Areas","Found",39.457937,"-87.418225",1999,"",NA,NA,NA,NA
"Godfried's Plaza, Rte 1 North 781/231-2993 10am-11pm, lesbigay section","","Saugus","MA","","Retail Shops","Found",42.490669,"-71.015334",1999,"",NA,NA,NA,NA
"","","Springfield","OH","Cruisy Area,(AYOR)","Cruisy Areas","Found",39.960916,"-83.735851",1999,"",NA,NA,NA,NA
"Agamenticus Rd (2 miles west of Rte 1) 207/646-2272 seafood, also piano bar","","Ogunquit","ME","","Restaurants","Found",43.227743,"-70.627953",1999,"",NA,NA,NA,NA
"53 miles W of Hwy 273 nude beach, summers","","Redding","CA","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used",40.58654,"-122.391675",1999,"",NA,NA,NA,NA
"216/781-6736 24hr recorded info","","Cleveland","OH","","Info Lines & Services","General Coordinates Used",40.798947,"-81.378447",1999,"",NA,NA,NA,NA
"Ashville Hwy (btwn I-85 & Spartenburg), days","","Spartanburg","SC","Cruisy Area,(AYOR)","Cruisy Areas","Found",34.965714,"-81.950684",1999,"",NA,NA,NA,NA
"541/563-2506 oceanfront, full brkfst","","Newport","OR","(GF),NS","Accommodations","General Coordinates Used",44.636784,"-124.05345",1999,"",NA,NA,NA,NA
"btwn poplar & oak groves","","Madison","IN","Cruisy Area,(AYOR)","Cruisy Areas","Found",38.770954,"-85.436219",1999,"",NA,NA,NA,NA
"","","Trenton","NJ","Cruisy Area,(AYOR)","Cruisy Areas","Found",40.221098,"-74.755444",1999,"",NA,NA,NA,NA
"828/277-7815 also 'OutFit' youth group 1st & 3rd Sat","","Asheville","NC","","Info Lines & Services","General Coordinates Used",35.595058,"-82.551487",1999,"",NA,NA,NA,NA
"734/763-4186 occasional dances during school","","Ann Arbor","MI","(MW),(YC)","Nightclubs","General Coordinates Used",42.280826,"-83.743038",1999,"",NA,NA,NA,NA
"Hyman Ave Mall 970/925-8154 10pm-2am","","Aspen","CO","(GF),(D),(E),(WC)","Nightclubs","General Coordinates Used",39.188595,"-106.81743",1999,"",NA,NA,NA,NA
"17th & 'R' Sts NW 202/232-6969 4pm-2am, till 3am Fri-Sat","","Washington","DC","(MW),(D),(F)","Nightclubs","Found",38.912603,"-77.038475",1999,"",NA,NA,NA,NA
"800/289-1522 hot tub","","Wailea, Maui","HI","(MW),(SW),(WC)","Accommodations","General Coordinates Used",20.687183,"-156.439167",1999,"Listed under ""Maui""",NA,NA,NA,NA
"304/345-0492 call for events","","Charleston","WV","","Info Lines & Services","General Coordinates Used",38.352696,"-81.630511",1999,"",NA,NA,NA,NA
"","","Lebanon","PA","Cruisy Area,(AYOR)","Cruisy Areas","Found",40.350593,"-76.44091",1999,"",NA,NA,NA,NA
"So of the Holiday Inn (at the end of Pope Ave) ","","Hilton Head","SC","Cruisy Area,(AYOR)","Cruisy Areas","Found",32.141562,"-80.751062",1999,"",NA,NA,NA,NA
"Clayton & College Sts ","","Athens","GA","Cruisy Area,(AYOR)","Cruisy Areas","Found",33.958537,"-83.37557",1999,"",NA,NA,NA,NA
"Castro merri-go-round (btwn 18th & 19th St) after bars close","","San Francisco","CA","Cruisy Area,(AYOR)","Cruisy Areas","Found",37.759586,"-122.436528",1999,"Listed under ""SF--Overview.""",NA,NA,NA,NA
"800/265-6723","","Denver","CO","","Info Lines & Services","General Coordinates Used",39.747363,"-105.108354",1999,"",NA,NA,NA,NA
"800/ARRIVAL hotel reservation service","","Key West","FL","GO,TA","Accommodations","General Coordinates Used",24.555059,"-81.779987",1999,"",NA,NA,NA,NA
"603/237-5550 full brkfst, hot tub","","Colebrook","NH","(MO),NS","Accommodations","General Coordinates Used",44.894313,"-71.496296",1999,"",NA,NA,NA,NA
"","","Arlington","VA","Cruisy Area,(AYOR)","Cruisy Areas","Found",38.875198,"-77.048943",1999,"",NA,NA,NA,NA
"","","Kennewick","WA","Cruisy Area,(AYOR)","Cruisy Areas","Found",46.230805,"-119.191672",1999,"",NA,NA,NA,NA
"116th St at Broadway (in Earl Hall) 212/854-1488 10pm-2am 1st Fri, collegiate danceclub","","New York City","NY","(MW)","Nightclubs","Found",40.808589,"-73.9627",1999,"Listed under ""NYC--Uptown"".",NA,NA,NA,NA
"505/891-3647","","Albuquerque","NM","","Info Lines & Services","General Coordinates Used",35.075459,"-106.564133",1999,"",NA,NA,NA,NA
"518/462-6138 x37","","Albany","NY","","Publications","General Coordinates Used",42.652579,"-73.756232",1999,"",NA,NA,NA,NA
"502/327-4099","","Louisville","KY","","Entertainment & Recreation","General Coordinates Used",38.252665,"-85.758456 ",1999,"",NA,NA,NA,NA
"828/251-2449 unconfirmed","","Asheville","NC","","Publications","General Coordinates Used",35.595058,"-82.551487",1999,"",NA,NA,NA,NA
"209/266-5465 lesbigay support, also publishes 'Pink Pages'","","Fresno","CA","","Info Lines & Services","General Coordinates Used",36.737798,"-119.787125",1999,"",NA,NA,NA,NA
"405/582-6397","","Oklahoma City","OK","","Publications","General Coordinates Used",35.46756,"-97.516428 ",1999,"",NA,NA,NA,NA
"207/282-4551, 877/282-4551 lesbigay newspaper","","Portland","ME","","Publications","General Coordinates Used",43.659099,"-70.256819",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Jacksonville","FL","","Info Lines & Services","General Coordinates Used",30.332184,"-81.655651 ",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","New York City","NY","","Info Lines & Services","General Coordinates Used",40.78306,"-73.971249",1999,"Listed under ""NYC--Overview"".",NA,NA,NA,NA
"800/346-5591 gay realtor at your service, no rentals","","Des Moines","IA","","Info Lines & Services","General Coordinates Used",41.586835,"-93.624959",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Arlington","TX","","Info Lines & Services","General Coordinates Used",32.756623,"-97.136774",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Tacoma","WA","","Info Lines & Services","General Coordinates Used",47.252877,"-122.444291",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Topeka","KS","","Info Lines & Services","General Coordinates Used",39.047345,"-95.675158",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Chapel Hill","NC","","Info Lines & Services","General Coordinates Used",35.9132,"-79.055844",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Cincinnati ","OH","","Info Lines & Services","General Coordinates Used",39.103118,"-84.51202",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Columbia","SC","","Info Lines & Services","General Coordinates Used",34.00071,"-81.034814",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Kennebunkport","ME","","Info Lines & Services","General Coordinates Used",43.361733,"-70.476727",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Hollywood","FL","","Info Lines & Services","General Coordinates Used",29.651634,"-82.324826",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Raleigh ","NC","","Info Lines & Services","General Coordinates Used",35.77959,"-78.638179",1999,"City listed as ""Raleigh/Durham/Chapel Hill"".",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Newport News","VA","","Info Lines & Services","General Coordinates Used",37.087082,"-76.473012",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Chicago","IL","","Info Lines & Services","General Coordinates Used",41.878114,"-87.629798",1999,"Listed under ""Chicago--Overview"".",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Los Angeles","CA","","Info Lines & Services","General Coordinates Used",34.052234,"-118.243685",1999,"Listed under ""LA--Valley.""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Eugene","OR","","Info Lines & Services","General Coordinates Used",44.052069,"-123.086754",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","New York City","NY","","Info Lines & Services","General Coordinates Used",40.78306,"-73.971249",1999,"Listed under ""NYC--Queens"".",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Venice","FL","","Info Lines & Services","General Coordinates Used",27.099778,"-82.454263",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Cherry Hill","NJ","","Info Lines & Services","General Coordinates Used",39.926813,"-75.024631",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Naples","FL","","Info Lines & Services","General Coordinates Used",26.142036,"-81.79481 ",1999,"",NA,NA,NA,NA
"Lahaina 800/346-5592 gay realtor at your service, no rentals","","Lahaina, Maui","HI","","Info Lines & Services","General Coordinates Used",20.882371,"-156.681619",1999,"Listed under ""Maui""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Poughkeepsie","NY","","Info Lines & Services","General Coordinates Used",41.700371,"-73.92097",1999,"",NA,NA,NA,NA
"Catskill Mtns 800/346-5592 gay realtor at your service, no rentals","","Catskill Mtns","NY","","Info Lines & Services","General Coordinates Used",42.009291,"-74.382112",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Hanalei, Kauai","HI","","Info Lines & Services","General Coordinates Used",22.205929,"-159.497565",1999,"Listed under ""Kauai""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","San Francisco","CA","","Info Lines & Services","General Coordinates Used",37.77493,"-122.419415",1999,"Listed under ""SF--Overview.""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Las Vegas","NV","","Info Lines & Services","General Coordinates Used",36.171563,"-115.139101Q",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Flagstaff","AZ","","Info Lines & Services","General Coordinates Used",35.198284,"-111.651302",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Corpus Christi","TX","","Info Lines & Services","General Coordinates Used",27.796731,"-97.388945",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","New York City","NY","","Info Lines & Services","General Coordinates Used",40.78306,"-73.971249",1999,"Listed under ""NYC--Uptown"".",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Champaign/Urbana","IL","","Info Lines & Services","General Coordinates Used",40.11642,"-88.243383",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Nashville","TN","","Info Lines & Services","General Coordinates Used",36.162664,"-86.781602",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Charleston","SC","","Info Lines & Services","General Coordinates Used",32.776475,"-79.931051",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Fort Worth","TX","","Info Lines & Services","General Coordinates Used",32.755488,"-97.330766",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Oklahoma City","OK","","Info Lines & Services","General Coordinates Used",35.46756,"-97.516428 ",1999,"",NA,NA,NA,NA
"gay realtor at your service, no rentals","","Atlanta","GA","","Info Lines & Services","General Coordinates Used",33.748995,"-84.387982",1999,"",NA,NA,NA,NA
"800/346-5591 gay realtor at your service, no rentals","","Dayton","OH","","Info Lines & Services","General Coordinates Used",39.758948,"-84.191607",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Portsmouth","NH","","Info Lines & Services","General Coordinates Used",43.071755,"-70.762553 ",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Orange","NJ","","Info Lines & Services","General Coordinates Used",40.770619,"-74.232648",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Daytona Beach","FL","","Info Lines & Services","General Coordinates Used",29.210815,"-81.022833",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Orlando","FL","","Info Lines & Services","General Coordinates Used",28.538383,"-81.378927",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Chicago","IL","","Info Lines & Services","General Coordinates Used",41.878114,"-87.629798",1999,"Listed under ""Chicago--Near North"".",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Charlotte","NC","","Info Lines & Services","General Coordinates Used",35.227087,"-80.843127",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service. no rentals","","St Petersburg","FL","","Info Lines & Services","General Coordinates Used",27.767601,"-82.640291",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Silver Spring","MD","","Info Lines & Services","General Coordinates Used",38.990666,"-77.026088",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Chapel Hill","NC","","Info Lines & Services","General Coordinates Used",35.9132,"-79.055844",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Hilton Head","SC","","Info Lines & Services","General Coordinates Used",32.175496,"-80.770569",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Utica","NY","","Info Lines & Services","General Coordinates Used",43.100903,"-75.232664",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Miami Beach","FL","","Info Lines & Services","General Coordinates Used",25.790654,"-80.130045",1999,"",NA,NA,NA,NA
"800/346-5591 gay realtor at your service, no rentals","","Rockville","MD","","Info Lines & Services","General Coordinates Used",39.083997,"-77.152758",1999,"",NA,NA,NA,NA
"800/436-5592 gay realtor at your service, no rentals","","San Francisco","CA","","Info Lines & Services","General Coordinates Used",37.77493,"-122.419415",1999,"Listed under ""SF--Castro & Noe Valley.""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Reno","NV","","Info Lines & Services","General Coordinates Used",39.529919,"-119.814269",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Johnson City","TN","","Info Lines & Services","General Coordinates Used",36.31344,"-82.353473",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Albuquerque","NM","","Info Lines & Services","General Coordinates Used",35.075459,"-106.564133",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","New Haven","CT","","Info Lines & Services","General Coordinates Used",41.308274,"-72.927883",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Long Beach","CA","","Info Lines & Services","General Coordinates Used",33.783824,"-118.11409",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Savannah","GA","","Info Lines & Services","General Coordinates Used",32.080899,"-81.091203 ",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Dover","DE","","Info Lines & Services","General Coordinates Used",39.158168,"-75.524368",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Los Angeles","CA","","Info Lines & Services","General Coordinates Used",34.052234,"-118.243685",1999,"Listed under ""LA--Hollywood.""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","New Hope","PA","","Info Lines & Services","General Coordinates Used",40.369499,"-74.953453",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","West Palm Beach","FL","","Info Lines & Services","General Coordinates Used",26.671834,"-80.05526",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Gainesville","FL","","Info Lines & Services","General Coordinates Used",29.651634,"-82.324826",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Greensboro","NC","","Info Lines & Services","General Coordinates Used",36.072635,"-79.791975",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Rochester","NY","","Info Lines & Services","General Coordinates Used",43.156578,"-77.608846",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Plainfield","NJ","","Info Lines & Services","General Coordinates Used",40.633714,"-74.407374",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Cocoa Beach","FL","","Info Lines & Services","General Coordinates Used",28.320007,"-80.607551",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Indianapolis","IN","","Info Lines & Services","General Coordinates Used",39.768403,"-86.158068",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","San Angelo","TX","","Info Lines & Services","General Coordinates Used",31.463772,"-100.437037",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Lancaster","PA","","Info Lines & Services","General Coordinates Used",40.037876,"-76.305514",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Boulder","CO","","Info Lines & Services","General Coordinates Used",40.014986,"-105.270546",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Durham","NC","","Info Lines & Services","General Coordinates Used",35.994033,"-78.898619",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Toms River","NJ","","Info Lines & Services","General Coordinates Used",39.953736,"-74.197946",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Virginia Beach","VA","","Info Lines & Services","General Coordinates Used",36.851644,"-75.979219",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Albany","NY","","Info Lines & Services","General Coordinates Used",42.652579,"-73.756232",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Boston","MA","","Info Lines & Services","General Coordinates Used",42.360083,"-71.05888",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Bridgeport","CT","","Info Lines & Services","General Coordinates Used",41.179226,"-73.189438",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Toledo","OH","","Info Lines & Services","General Coordinates Used",41.652805,"-83.537867",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Bethany Beach","DE","","Info Lines & Services","General Coordinates Used",38.539556,"-75.055181",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Dallas","TX","","Info Lines & Services","General Coordinates Used",32.776664,"-96.796988",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Philadelphia","PA","","Info Lines & Services","General Coordinates Used",39.946719,"-75.168902",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Houma","LA","","Info Lines & Services","General Coordinates Used",29.59577,"-90.719535",1999,"",NA,NA,NA,NA
"800346-5592 gay realtor at your service, no rentals","","Long Island","NY","","Info Lines & Services","General Coordinates Used",40.789142,"-73.134961",1999,"Listed under ""Long Island--Nassau County"".",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Gulfport","MS","","Info Lines & Services","General Coordinates Used",30.36742,"-89.092816",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Nantucket","MA","","Info Lines & Services","General Coordinates Used",41.28347,"-70.099451",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Charlottesville","VA","","Info Lines & Services","General Coordinates Used",38.029306,"-78.476678",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Hyattsville","MD","","Info Lines & Services","General Coordinates Used",38.955944,"-76.94553",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Key West","FL","","Info Lines & Services","General Coordinates Used",24.555059,"-81.779987",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Phoenix","AZ","","Info Lines & Services","General Coordinates Used",33.538652,"-112.185987",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service","","Chicago","IL","","Info Lines & Services","General Coordinates Used",41.878114,"-87.629798",1999,"Listed under ""Chicago--South Side"".",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","East Bay","CA","","Info Lines & Services","General Coordinates Used",37.871523,"-122.273042",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Biloxi","MS","","Info Lines & Services","General Coordinates Used",30.396032,"-88.885308",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Detroit","MI","","Info Lines & Services","General Coordinates Used",42.331427,"-83.045754 ",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Hoboken","NJ","","Info Lines & Services","General Coordinates Used",40.743991,"-74.032363",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Arlington","VA","","Info Lines & Services","General Coordinates Used",38.87997,"-77.10677",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","St Petersburg Beach","FL","","Info Lines & Services","General Coordinates Used",27.742813,"-82.750454",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Elizabeth","NJ","","Info Lines & Services","General Coordinates Used",40.665795,"-74.218238",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Beltsville","MD","","Info Lines & Services","General Coordinates Used",39.034832,"-76.907474",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Santa Fe","NM","","Info Lines & Services","General Coordinates Used",35.686975,"-105.937799",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Alexandria","VA","","Info Lines & Services","General Coordinates Used",38.804836,"-77.046921",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Tulsa","OK","","Info Lines & Services","General Coordinates Used",36.136072,"-95.985075",1999,"",NA,NA,NA,NA
"St Paul 800/346-5592 gay realtor at your service, no rentals","","St Paul","MN","","Info Lines & Services","General Coordinates Used",44.953703,"-93.089958",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Spokane","WA","","Info Lines & Services","General Coordinates Used",47.65878,"-117.426047",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Buffalo","NY","","Info Lines & Services","General Coordinates Used",42.886447,"-78.878369",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","New York City","NY","","Info Lines & Services","General Coordinates Used",40.78306,"-73.971249",1999,"Listed under ""NYC--Soho, Greenwich & Chelsea"".",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","St. Louis","MO","","Info Lines & Services","General Coordinates Used",38.618164,"-90.274599",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Chicago","IL","","Info Lines & Services","General Coordinates Used",41.878114,"-87.629798",1999,"Listed under ""Chicago--New Town"".",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Wilmington","NC","","Info Lines & Services","General Coordinates Used",34.210389,"-77.886812",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Allentown","PA","","Info Lines & Services","General Coordinates Used",40.602294,"-75.47141",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Birmingham","AL","","Info Lines & Services","General Coordinates Used",33.38376,"-87.122124 ",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Roanoke","VA","","Info Lines & Services","General Coordinates Used",37.27097,"-79.941427",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Baltimore","MD","","Info Lines & Services","General Coordinates Used",39.290385,"-76.612189",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Norfolk","VA","","Info Lines & Services","General Coordinates Used",36.850769,"-76.285873",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Harrisburg","PA","","Info Lines & Services","General Coordinates Used",40.273191,"-76.886701",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Princeton","NJ","","Info Lines & Services","General Coordinates Used",40.357298,"-74.667223",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Sacramento","CA","","Info Lines & Services","General Coordinates Used",38.581572,"-121.4944",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Los Angeles","CA","","Info Lines & Services","General Coordinates Used",34.052234,"-118.243685",1999,"Listed under ""LA--Silverlake.""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Akron","OH","","Info Lines & Services","General Coordinates Used",41.081445,"-81.519005",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Honolulu, Oahu","HI","","Info Lines & Services","General Coordinates Used",21.309885,"-157.85814",1999,"Listed under ""Oahu""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Hartford","CT","","Info Lines & Services","General Coordinates Used",41.763964,"-72.667475",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Carson City","NV","","Info Lines & Services","General Coordinates Used",39.163798,"-119.767403",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","San Francisco","CA","","Info Lines & Services","General Coordinates Used",37.77493,"-122.419415",1999,"Listed under ""SF--Downtown & North Beach.""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Little Rock","AR","","Info Lines & Services","General Coordinates Used",34.746481,"-92.289595",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Columbus","OH","","Info Lines & Services","General Coordinates Used",39.961176,"-82.998794",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Pittsburgh","PA","","Info Lines & Services","General Coordinates Used",40.440625,"-79.995886",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Richmond","VA","","Info Lines & Services","General Coordinates Used",37.540725,"-77.436048",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Kalaheo, Kauai","HI","","Info Lines & Services","General Coordinates Used",21.925571,"-159.527211",1999,"Listed under ""Kauai""",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Colorado Springs","CO","","Info Lines & Services","General Coordinates Used",38.833882,"-104.821363",1999,"",NA,NA,NA,NA
"800/346-5592 gay realtor at your service, no rentals","","Ogunquit","ME","","Info Lines & Services","General Coordinates Used",43.246835,"-70.598622",1999,"",NA,NA,NA,NA
