"title","status","description","streetaddress","city","Year","state","amenityfeatures","type","notes","unclear_address","full.address","lon","lat","geoAddress"
"Golden Horseshoe","Found","65th at San Pablo `","","Oakland",1968,"CA","(*) - Very popular_","Bars/Clubs","",NA,NA,NA,NA,NA
"No-Hu-Hu-Hut ","General City Coordinates Used","Court and W Capitol","","Sacramento ",1968,"CA","""(G) - Girls, but rarely exclusively_""","Bars/Clubs","",NA,NA,NA,NA,NA
"Fox & Hounds Motel","Found","","Mission Bay Dr","San Diego ",1968,"CA","""(H) - Hotel - motel, lodgings or other overnight accommodations_""","Hotels","",NA,NA,NA,NA,NA
"Big Basket ","Found","Market & Page ","","San Francisco",1968,"CA","""(C) - Coffee - sometimes food too, usually open late when bars close_"",(*) - Very popular_","Restaurant","",NA,NA,NA,NA,NA
"Vieux Carre ","General City Coordinates Used","Hwy 116","","Guerneyville",1968,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Black Knight","Found","","Burbank at Vineland","North Hollywood ",1968,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Rancho Bakersfield Bar","Found","Rancho Bakersfield Motel","Hwy. 99 at F. St.","Bakersfield",1969,"CA","(M) - Mixed Crowds - Some Straights","Bars/Clubs","This location no longer exists but this is an approximate location. See Flickr for picture: https://www.flickr.com/photos/hollywoodplace/4436117325",NA,NA,NA,NA,NA
"Black Knight Burbank & Vineland","Found","","","North Hollywood ",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Pearl's","Found","(behind Gilded Cage in alley off O'Farrell bet. Mason & Powell)","","San Francisco",1969,"CA","""(C) - Coffee, soft drinks and sometimes snacks""","Restaurant","",NA,NA,NA,NA,NA
"Mother's Play Pen ","General City Coordinates Used","(Inquire locally)","","Los Angeles ",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Hold","General City Coordinates Used","(across from Golden Bull)","","Los Angeles ",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Rendezvous ","Found","(see Club Rendezvous)","","San Francisco",1969,"CA","(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Happy Hour","Found","Garden Grove nr. Harbor","","Garden Grove ",1969,"CA","""(G) - Girls, but seldom exclusively""","Bars/Clubs","",NA,NA,NA,NA,NA
"Kelley's ","Found","E 12 St at 10th Ave","","Oakland",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Cliff House","General City Coordinates Used","Pacific Coast Hwy ","","Santa Monica",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Continental ","Found","2500 blk E. Huntington","","Duarte",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"La Caravelle ","Found","Coast Hwy at Chanel Rd","","Los Angeles ",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Brass Rail ","Found","5th & Robinson ","","San Diego ",1969,"CA","(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Dead End Folsom","Found","at 12th St","","San Francisco",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Big Basket ","Found","(after hours) Polk & O' Farrell","","San Francisco",1969,"CA","(YC) - Young and/or collegiate types,""(C) - Coffee, soft drinks and sometimes snacks"",(P) - Private club - Inquire locally to admission","Bars/Clubs","",NA,NA,NA,NA,NA
"Nardi's","Found","Colorado Blvd","","Pasadena ",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"C.C. Club ","General City Coordinates Used","Washington Blvd ","","Los Angeles ",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Doyle's ","General City Coordinates Used","(after hours) Market near 12th St","","San Francisco",1969,"CA","(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,(P) - Private club - Inquire locally to admission","Bars/Clubs","",NA,NA,NA,NA,NA
"Fran's ","Found","Old Hwy 99 at Ashland","","Fresno ",1969,"CA","(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Vieux Carre","General City Coordinates Used","Hwy 116","","Guerneyville",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"The Strand ","Found","(On the Boardwalk)","","Manhattan Beach ",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Golden Horseshoe","Found","65th & San Pablo","","Oakland",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Harbin Hot Springs","General City Coordinates Used","Hwy 53 Near Calistoga","","Middletown",1969,"CA","(P) - Private club - Inquire locally to admission,""(H) - Hotel, motel, or other overnight accomodations""","Baths,Hotels","",NA,NA,NA,NA,NA
"Lion Pub","Found","Sacramento & Divisadero","","San Francisco",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Shamrock","Found","3rd & G Sts","","San Bernardino",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Club Seven","Found","14th St at 2nd Ave","","Oakland",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Orlando Baths ","Found","La Cienega at 3rd St","","Los Angeles ",1969,"CA","","Baths","",NA,NA,NA,NA,NA
"Wel-Com Inn","Found","","Pac Coast Hwy nr El Segundo","Long Beach",1969,"CA","""(G) - Girls, but seldom exclusively""","Bars/Clubs","",NA,NA,NA,NA,NA
"Wild Scene","General City Coordinates Used","(Inquire locally)","","Los Angeles ",1969,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Leonarda's","Found","Leland & Desmond","","San Francisco",1969,"CA","""(G) - Girls, but seldom exclusively""","Bars/Clubs","",NA,NA,NA,NA,NA
"Gallery Room","Found","Santa Monica at Crescent Hgts","","Los Angeles ",1969,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Fran's Pine Lake Lodge ","Found","Same as above","","Fresno ",1969,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"Denny's ","General City Coordinates Used","(after-hours) So Coast Hwy","","Laguna Beach ",1969,"CA","""(C) - Coffee, soft drinks and sometimes snacks"",(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Society of Anubus","General City Coordinates Used","","Azusa Canyon Rd.","Azusa",1970,"CA","(P) - Private club - Inquire locally as to admission_,(D) - Dancing_","Organizations","",NA,NA,NA,NA,NA
"Pub","General City Coordinates Used","Opening Soon","Inquire locally","Santa Barbara",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Sidetrack","Found","","53rd & Bancroft","Oakland",1970,"CA","","Bars/Clubs","Approximate location. Roads have changed.",NA,NA,NA,NA,NA
"Dead End","Found","","1582 Folsom at 12th","San Francisco",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Vieux Carre","General City Coordinates Used","","Hwy. 116 Guerneville","Russian River",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Lou & Rae's","Found","","23rd & Telegraph","Oakland",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Patch H","General City Coordinates Used","Old Ciro's
","Sunset Strip","Los Angeles ",1970,"CA","(YC) - Young and/or collegiate types_,(D) - Dancing_","Bars/Clubs","",NA,NA,NA,NA,NA
"Boy Shed","General City Coordinates Used","","Coast Hwy","Seal Beach",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Mustang","General City Coordinates Used","7th St. near Freeway","","Modesto ",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Por Favor","Found","","Santa Monica at Robertson","Santa Monica",1970,"CA","""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. _"",(PE) - Pretty elegant - jacket & tie may be required_","Restaurant","",NA,NA,NA,NA,NA
"La Caravelle ","Found","","Coast Hwy & W. Chanel Rd.","Los Angeles ",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Ilene's","General City Coordinates Used","","Stockdale Hwy","Bakersfield",1970,"CA","""(G) - Girls, but rarely exclusively_"",(D) - Dancing_","Bars/Clubs","",NA,NA,NA,NA,NA
"Topper","Found","","1218 'K' St.","Sacramento ",1970,"CA","""(RT) - 'Raunchy types' - usually downtown type establishments-can mean """"rent"""" or commerical""","Bars/Clubs","",NA,NA,NA,NA,NA
"Aloha Club","Found","","58 'A' St.","Hayward",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"The Village","Found","","Pacific Coast Hwy","Redondo Beach",1970,"CA","(D) - Dancing_,(YC) - Young and/or collegiate types_","Bars/Clubs","",NA,NA,NA,NA,NA
"Chiff House","General City Coordinates Used","","Pacific Coast Hwy","Santa Monica",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Wel Com Inn","General City Coordinates Used","","Pac Coast Hwy","El Segundo",1970,"CA","""(G) - Girls, but rarely exclusively_""","Bars/Clubs","",NA,NA,NA,NA,NA
"Fran's","Found","","Old Hwy 99 at Ashland","Fresno ",1970,"CA","(*) - Very popular_","Bars/Clubs","",NA,NA,NA,NA,NA
"Deno's","Found","","Divisadero & Hayes","San Francisco",1970,"CA","""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. _""","Restaurant","",NA,NA,NA,NA,NA
"Highlander","Found","","17th & Vermont","San Francisco",1970,"CA","""(G) - Girls, but rarely exclusively_""","Bars/Clubs","",NA,NA,NA,NA,NA
"Nardi's","Found","","Colorado Ave","Pasadena",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Gallery Room","Found","","Santa Monica at Crescent Heights","Santa Monica",1970,"CA","""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. _"",(M) - Mixed Crowds_","Restaurant","",NA,NA,NA,NA,NA
"Ernie's Place","Found","(W. Sacramento) at W. Capitol","725 Tower Ct.","Sacramento ",1970,"CA","(D) - Dancing_,(*) - Very popular_","Bars/Clubs","",NA,NA,NA,NA,NA
"The Strand","Found","(on the Boardwalk)","","Manhattan Beach ",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Mission Ranch","General City Coordinates Used","","So. Dolores","Carmel",1970,"CA","(M) - Mixed Crowds_,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. _"",(PE) - Pretty elegant - jacket & tie may be required_","Restaurant","",NA,NA,NA,NA,NA
"Mustang","General City Coordinates Used","Inquire locally","","Barstow",1970,"CA","(M) - Mixed Crowds_","Bars/Clubs","",NA,NA,NA,NA,NA
"Lion Pub","Found","","Sacramento & Divisadero","San Francisco",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Oak Room","Found","","St. Francis Hotel Powell & Geary","San Francisco",1970,"CA","(PE) - Pretty elegant - jacket & tie may be required_,(M) - Mixed Crowds_","Bars/Clubs","",NA,NA,NA,NA,NA
"Miramar Hotel","Found","Piano bar cocktail hour","Montecito","Santa Barbara",1970,"CA","(M) - Mixed Crowds_,(PE) - Pretty elegant - jacket & tie may be required_","Hotels","",NA,NA,NA,NA,NA
"Fran's Pine Lake Lodge","Found","","(Same as above)","Fresno ",1970,"CA","""(H) - Hotel, motel, or other overnight accomodations_""","Hotels","",NA,NA,NA,NA,NA
"Rendezvous","Found","(see Club Rendezvous)","567 Sutter St","San Francisco",1970,"CA","(*) - Very popular_","Bars/Clubs","",NA,NA,NA,NA,NA
"Diamond Head","Found","","Van Owen at Woodman","Van Nuys",1970,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Duck Inn","Found","","83rd & MacArthur","Oakland",1970,"CA","","Hotels","",NA,NA,NA,NA,NA
"Leonarda's","Found","","16 Leland & Desmond","San Francisco",1970,"CA","""(G) - Girls, but rarely exclusively_"",""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. _""","Restaurant","",NA,NA,NA,NA,NA
"Ilene's ","General City Coordinates Used","","Stockdale Hwy.","Bakersfield",1971,"CA","""(G) - Girls, but seldom exclusively"",(D) - Dancing","Bars/Clubs","",NA,NA,NA,NA,NA
"Brass Rail","Found","","5th & Robinson","San Diego ",1971,"CA","(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"The Stable","General City Coordinates Used","(Next to buoy Shed)","","Sunset Beach",1971,"CA","(D) - Dancing","Bars/Clubs","",NA,NA,NA,NA,NA
"Paddleboard II","Found","","Ave. 'F' at Pac. Coast Hwy.","Redondo Beach",1971,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Purple Den","General City Coordinates Used","(Near the Show Biz)","","San Diego ",1971,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Warehouse II","Found","(sign says Nuthouse)","412 W. 'B' St. ","Wilmington",1971,"CA","(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Jerry's Hole","Found","(after hours)","San Diego Ave.  near Washington","San Diego ",1971,"CA","""(C) - Coffee, soft drinks and sometimes snacks""","Business","",NA,NA,NA,NA,NA
"Party Room","Found","Cathedral City","67-977 Hwy. 111,","Cathedral City",1971,"CA","(D) - Dancing","Bars/Clubs","",NA,NA,NA,NA,NA
"Jolly Time's","Found","","1927 'K' St.","Bakersfield",1971,"CA","(M) - Mixed Crowds - Some Straights","Bars/Clubs","",NA,NA,NA,NA,NA
"Rathskeller","Found","","Garey & 3rd","Pomona ",1971,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Wendy's","General City Coordinates Used","","E. Anaheim ","Long Beach",1971,"CA","","Bars/Clubs","Not sure what type is",NA,NA,NA,NA,NA
"Dine-a-Ling","General City Coordinates Used","Inquire locally","","Garden Grove ",1971,"CA","","Business","",NA,NA,NA,NA,NA
"Donut Chalet","Found","(downtown)","Main & 5th St.","Los Angeles ",1971,"CA","""(C) - Coffee, soft drinks and sometimes snacks"",(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs","",NA,NA,NA,NA,NA
"Sidetrack","Found","","53rd & Bancroft","Oakland",1971,"CA","","Bars/Clubs","Approximate location. Roads have changed.",NA,NA,NA,NA,NA
"Guarinos Cottage","Found","(beer & pizza) 3 mi. So. on 89, 3/4 No. of Jct. U.S. 50 (P.O. Box 7013, So. Lake Tahoe","","Lake Tahoe",1971,"CA","""(H) - Hotel, motel, or other overnight accomodations"",(M) - Mixed Crowds - Some Straights","Hotels","P.O. Box",NA,NA,NA,NA,NA
"Mustang","General City Coordinates Used","","7th St. near Freeway","Modesto ",1971,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Corner, The","Found","","15th & Folsom","San Francisco",1971,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Mission Ranch","General City Coordinates Used","","So. Dolores","Carmel",1971,"CA","(M) - Mixed Crowds - Some Straights,(PE) - Pretty elegant - jacket & tie may be required","Restaurant","",NA,NA,NA,NA,NA
"Big Basket","Found","(after hours)","Kearney, off Broadway","San Francisco",1971,"CA","(YC) - Young and/or collegiate types,""(C) - Coffee, soft drinks and sometimes snacks"",(D) - Dancing,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Por Favor","Found","(closed Mon)","Santa Monica & Robertson","Los Angeles ",1971,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Chances R","Found","Manon & Tennyson","","Hayward",1971,"CA","(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy","Bars/Clubs","",NA,NA,NA,NA,NA
"Queen's Attic","Found","
","67-901 Hwy. 111","Cathedral City",1971,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Ciro's","General City Coordinates Used","(Sometimes open-sometimes closed), ","Sunset Strip","Los Angeles ",1971,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Mustang","General City Coordinates Used","Inquire Locally","","Barstow",1971,"CA","(M) - Mixed Crowds - Some Straights","Bars/Clubs","",NA,NA,NA,NA,NA
"Lancer's","General City Coordinates Used","","Lake Shore Plaze","Oakland",1971,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Vance Log Cabin","Found","","2nd St.","Eureka",1971,"CA","","Bars/Clubs","See https://www.northcoastjournal.com/121798/cover1217.html for history of location.",NA,NA,NA,NA,NA
"Metropolitan Church","Found","(highly respected religious organization services Sun. at 10 am) Encore Theatre","Encore Theatre Melrose & Van Ness","Los Angeles ",1971,"CA","","Church","",NA,NA,NA,NA,NA
"Black Knight","Found","(also (C) after hours)"," Burbank/Vineland","Los Angeles ",1971,"CA","""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours","Bars/Clubs","",NA,NA,NA,NA,NA
"Denny's","General City Coordinates Used","So. Coast Hwy.","","Laguna Beach ",1971,"CA","""(C) - Coffee, soft drinks and sometimes snacks"",(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Hat Rack","Found","","Artesia near Flagler","Redondo Beach",1971,"CA","(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Orlando Baths","Found","","La Cienega & 3rd St","Los Angeles ",1971,"CA","(P) - Private club - Inquire locally to admission,(*) - Very popular","Baths","",NA,NA,NA,NA,NA
"Cabarey ","General City Coordinates Used","","El Camino Real","Redwood City",1971,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"La Caravelle","Found","(W. Chanel Rd. at Coast Hwy.","","Santa Monica",1971,"CA","","Restaurant","",NA,NA,NA,NA,NA
"Topper","Found","","1218 'K' St. Mall","Sacramento ",1971,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Fran's","Found","Old Hwy 99 at Ashland","","Fresno ",1971,"CA","(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Fran's Pine  Lake Lodge","Found","(Same as above) Old Hwy 99 at Ashland","","Fresno ",1971,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"Villa Caprice Country Club","General City Coordinates Used","","67-670 Carey Rd.","Palm Springs",1971,"CA","""(H) - Hotel, motel, or other overnight accomodations"",(P) - Private club - Inquire locally to admission","Bars/Clubs","",NA,NA,NA,NA,NA
"Arthur J's","Found","(after hours) ","Highland at Santa Monica","Los Angeles ",1971,"CA","""(C) - Coffee, soft drinks and sometimes snacks"",(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Al's Playhouse","Found","","Alondra and Clarke","Bellflower",1972,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Oil Can Harry's Spa","General City Coordinates Used","$1.00 Admission, Hwy. 11, Cathedral City
","68-999 Broadway","Palm Springs",1972,"CA","","Baths","",NA,NA,NA,NA,NA
"Land's End","Found","48th Ave., N. of Point Lobos Ave.","","San Francisco",1972,"CA","Cruisy Areas","Cruisy Areas","",NA,NA,NA,NA,NA
"Villa Caprice Country Club","General City Coordinates Used","","67-670 Carey Rd.","Palm Springs",1972,"CA","""(H) - Hotel, motel, or other overnight accomodations"",(P) - Private club - Inquire locally to admission","Hotels","",NA,NA,NA,NA,NA
"Donut Chalet","Found","Downtown","5th & Main","Los Angeles ",1972,"CA","""(C) - Coffee, soft drinks and sometimes snacks"",(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs","",NA,NA,NA,NA,NA
"Tenderloin","Found","area around Eddy & Mason Sts.","","San Francisco",1972,"CA","Cruisy Areas","Cruisy Areas","",NA,NA,NA,NA,NA
"Polk Gulch Saloon","Found","Polk at Post Sts.","","San Francisco",1972,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Sir James","General City Coordinates Used","","67-771 Hwy. 111","Palm Springs",1972,"CA","(D) - Dancing,(*) - Very popular","Restaurant","",NA,NA,NA,NA,NA
"Black Knight","Found","Burbank & Vineland","Burbank & Vineland","North Hollywood ",1972,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"QT Restaurant","Found","Polk at Clay Sts.","","San Francisco",1972,"CA","","Restaurant","",NA,NA,NA,NA,NA
"La Caravelle","Found","","W. Chanel Rd. at Coast Hwy.","Santa Monica",1972,"CA","","Restaurant","",NA,NA,NA,NA,NA
"Rathskeller","Found","","Garey & 3rd. ","Pomona",1972,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Queen's Attic","General City Coordinates Used","","67-901 Hwy 11","Palm Springs",1972,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Orlando Baths","Found","best afternoons","La Cienega & 3rd St.","Los Angeles ",1972,"CA","(P) - Private club - Inquire locally to admission","Baths","",NA,NA,NA,NA,NA
"Brass Rail","Found","","5th & Robinson","San Diego ",1972,"CA","(D) - Dancing","Bars/Clubs","",NA,NA,NA,NA,NA
"Por Favor","Found","Closed Monday","Santa Monica near Robertson","Los Angeles ",1972,"CA","(M) - Mixed Crowds","Restaurant","",NA,NA,NA,NA,NA
"Burkes Drive In","Found","14th & Market","","San Francisco",1972,"CA","(M) - Mixed Crowds,""(C) - Coffee, soft drinks and sometimes snacks""","Restaurant","",NA,NA,NA,NA,NA
