ID,Title,status,lat,lon,description,streetaddress,city,state,Year,amenityfeatures,type,unclearaddress,uncleartype,notes,dateadded,lastmodified
94,Juneau Crisis Line,General Coordinates Used,58.300493,-134.420131,"586-4357, 24hrs",,Juneau,AK,1993,,Info Lines & Services,checked,,,,6/19/2023 4:12pm
248,"'Mary Sue Rest Stop' I-30 E., 1/2 mi E. of State Line Ave.",General Coordinates Used,33.430483,-94.036174,(AYOR),,Texarkana,AK,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 8:20pm
247,"Russellville State Park, Lake Dardanelle",Found,35.282993,-93.202983,(AYOR),,Russellville,AK,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 8:21pm
246,'Rest Stop' -Prairie Creek Rec. area,General Coordinates Used,36.342019,-94.061869,(AYOR),,Prairie Creek,AK,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 8:22pm
250,Double Tree Ranch,General Coordinates Used,36.043403,-90.671223,236-7711 RV park & campsites,"P.O. Box 52, 72474",Walcott,AK,1993,(MX),Accommodations,checked,,,,6/19/2023 8:24pm
98,'Rest Stops' N. on I-10,General Coordinates Used,32.911003,-111.77339,(AYOR),,Casa Grande,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 8:26pm
101,N.A.U. Gay Academic Union,General Coordinates Used,35.198284,-111.651302,"526-6098 weekly meetings, call for info",,Flagstaff,AZ,1993,,Info Lines & Services,checked,,,,6/19/2023 8:28pm
99,Gay/Lesbian Community Phone Line,General Coordinates Used,35.198284,-111.651302,526-6098,,Flagstaff,AZ,1993,,Info Lines & Services,checked,,,,6/19/2023 8:28pm
100,Global Real Estate Referrals,General Coordinates Used,35.198284,-111.651302,(800) 346-5592 gay realtor at your service,,Flagstaff,AZ,1993,,Info Lines & Services,checked,,,,6/19/2023 8:28pm
105,Thorp Park,Found,35.203668,-111.658355,(AYOR),,Flagstaff,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 8:29pm
109,Park of Canals on N. Horne St.,General Coordinates Used,33.440476,-111.813879,,,Mesa,AZ,1993,Cruisy Area,Cruisy Areas,checked,,,,6/19/2023 8:32pm
110,Reed & Pioneer Park,Found,33.416972,-111.819674,(AYOR),,Mesa,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 8:33pm
163,Western Express,General Coordinates Used,33.453877,-111.953395,"254-1324, bi-weekly","P.O. Box 5950, 85010",Phoenix,AZ,1993,,Publications,checked,,,,6/19/2023 9:25pm
116,The Open Quest Institute TOQI,General Coordinates Used,33.448377,-112.074037,"(800)444-9999, 24hr crisis hotline",,Phoenix,AZ,1993,,Info Lines & Services,checked,,,,6/19/2023 9:16pm
159,Mishpachat Am,General Coordinates Used,33.448377,-112.074037,"966-5001, Shabbat & social activities","P.O. Box 7731, 85011-7731",Phoenix,AZ,1993,,Religious Organizations,checked,,,,6/19/2023 9:05pm
131,Durango's at Flex Complex,General Coordinates Used,33.448377,-112.074037,(see Gyms/Health Clubs) 271-9017 10am-1am,,Phoenix,AZ,1993,(D),Bars,checked,,,,6/19/2023 9:01pm
157,Lutherans Concerned,General Coordinates Used,33.448377,-112.074037,870-3611,"P.O. Box 7519, 85011",Phoenix,AZ,1993,,Religious Organizations,checked,,,,6/19/2023 9:04pm
120,Apollo's,Found,33.521747,-112.064689,"277-9373 cruise bar, popular happy hour",5749 N. 7th St.,Phoenix,AZ,1993,"(*),(LV)","Bars,Cruisy Areas",checked,,,,6/19/2023 8:45pm
174,Scottsdale Indian Bend Bike Path,General Coordinates Used,33.538524,-111.916202,(AYOR),,Phoenix,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:15pm
172,"North Mountain Park, N. 7th St.",Found,33.585215,-112.070941,(AYOR),,Phoenix,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:06pm
115,Lesbian/Gay Community Switchboard,General Coordinates Used,33.448377,-112.074037,234-2752 hrs 10am-10pm (volunteers permitting),,Phoenix,AZ,1993,,Info Lines & Services,checked,,,,6/19/2023 9:03pm
111,AA Gay/Lesbian,General Coordinates Used,33.448377,-112.074037,264-1341 (AA#) call for many meetings,,Phoenix,AZ,1993,,Info Lines & Services,checked,,,,6/19/2023 8:34pm
171,Moeur Park,General Coordinates Used,33.448377,-112.074037,(AYOR),,Phoenix,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:05pm
173,Papago Park,Found,33.453877,-111.953395,(AYOR),,Phoenix,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:07pm
161,Arizona Community Echo,General Coordinates Used,33.448377,-112.074037,"254-4558, bi-weekly","P.O. Box 1808, 85001",Phoenix,AZ,1993,,Publications,checked,,,,6/19/2023 8:42pm
156,Dignity/Integrity,General Coordinates Used,33.448377,-112.074037,"258-2556 Mass 1st & 3rd Sun, call for info","P.O. Box 21091, 85036",Phoenix,AZ,1993,,Religious Organizations,checked,,,,6/19/2023 8:50pm
175,"Thunderbird Park, 59th Ave. & Pinnacle Peak Rd.",Found,33.69761,-112.177926,(EXTREME RISK),,Phoenix,AZ,1993,Cruisy Area,Cruisy Areas,checked,,,,6/19/2023 9:23pm
170,Encanto Park,Found,33.476672,-112.089974,(AYOR),,Phoenix,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:01pm
112,Camelback Business & Professional Assoc.,General Coordinates Used,33.538652,-112.185987,225-8888,"P.O. Box 2097, 85001",Phoenix,AZ,1993,,Info Lines & Services,checked,,,,6/19/2023 8:49pm
154,Affirmation(Mormon),General Coordinates Used,33.448377,-112.074037,"396-6950, 2nd Mon 7:30pm","P.O. Box 26601, Tempe, 85285",Phoenix,AZ,1993,,Religious Organizations,checked,,,,6/19/2023 8:34pm
113,Gay Helpline,General Coordinates Used,33.555703,-112.1121,"265-1102, 7pm-midnight Tues-Sat",,Phoenix,AZ,1993,,Info Lines & Services,checked,,,,6/19/2023 9:01pm
162,Phoenix Resource,General Coordinates Used,33.448377,-112.074037,"256-7476, bi-monthly","P.O. Box 5948, 85010",Phoenix,AZ,1993,,Publications,checked,,,,6/19/2023 9:09pm
114,Global Real Estate Referrals,General Coordinates Used,33.448377,-112.074037,(800) 346-5592 gay realtor at your service,,Phoenix,AZ,1993,,Info Lines & Services,checked,,,,6/19/2023 9:03pm
119,Westways 'Private' Botique Resort Inn,General Coordinates Used,33.650181,-112.100108,582-3868 deluxe resort,"P.O. Box 41624, 85080",Phoenix,AZ,1993,"(MW),(SW),(IGTA)",Accommodations,checked,,,,6/19/2023 9:26pm
178,Park at Red Rock Crossing,General Coordinates Used,34.824424,-111.805914,(way back),,Sedona,AZ,1993,Cruisy Area,Cruisy Areas,checked,,,,6/19/2023 9:29pm
181,West side of Mill Ave.,General Coordinates Used,33.42551,-111.940005,(by the Coffee Plantation) (AYOR),,Tempe,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:35pm
180,"Papago Park, southern part",Found,33.453632,-111.948693,(AYOR),,Tempe,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:33pm
182,City Park,Found,31.713073,-110.068154,(AYOR),,Tombstone,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:36pm
184,Global Real Estate Referrals,General Coordinates Used,32.222607,-110.974711,(800) 346-5592 gay realtor at your service,,Tucson,AZ,1993,,Info Lines & Services,checked,,,,6/19/2023 9:38pm
208,U. of AZ (Econ. bldg. & Library),Found,32.230875,-110.948848,(AYOR),,Tucson,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:41pm
207,Reid Park,Found,32.208336,-110.922248,(AYOR),,Tucson,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:39pm
191,Graduate,Found,32.231604,-110.972498,"622-9233 11am-1am, cruise bar",23 W University Ave.,Tucson,AZ,1993,(*),"Bars,Cruisy Areas",checked,,,,6/19/2023 9:38pm
183,AA Gay/Lesbian,General Coordinates Used,32.222607,-110.974711,"624-4183 (AA#) 8pm Mon, Th, Fri & Sat",,Tucson,AZ,1993,,Info Lines & Services,checked,,,,6/19/2023 9:36pm
206,Himmel Park,Found,32.233876,-110.93315,(AYOR),,Tucson,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:38pm
201,"Observer, The",General Coordinates Used,32.222607,-110.974711,622-7176 weekly,"P.O. Box 50733, 85703",Tucson,AZ,1993,,Publications,checked,,,,6/19/2023 9:40pm
212,Joe Henry Park,Found,32.728158,-114.648609,(AYOR),,Yuma,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:41pm
108,London Bridge (is going down!),Found,34.467188,-114.352661,,,Lake Havasu City,AZ,1993,Cruisy Area,Cruisy Areas,checked,,,,6/19/2023 9:42pm
106,Bowling Alley & Rec. Center,General Coordinates Used,31.555216,-110.349922,(AYOR),,Ft. Huachuca,AZ,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/19/2023 9:43pm
209,"'Rest Stop' 1-40, 15 miles W., both sides",General Coordinates Used,35.024187,-110.697357,,,Winslow,AZ,1993,Cruisy Area,Cruisy Areas,checked,,,,6/19/2023 9:44pm
228,"Ft. Smith, Creekman & Tiles Park",Found,35.431485,-94.371288,(AYOR),,Ft. Smith,AR,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/20/2023 2:38pm
227,6th & Garrison Sts.,Found,35.387542,-94.425147,(AYOR),,Ft. Smith,AR,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/20/2023 2:37pm
245,'Rest Stop'-Prairie Creek rec. area,General Coordinates Used,34.827811,-92.345685 ,(AYOR),,Little Rock,AR,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/20/2023 1:24pm
232,Gay/Lesbian Switchboard,General Coordinates Used,34.744462,-92.288016,"666-3340, 6:30pm-10:30pm, crisis, referrals","P.O. Box 45053, 72214",Little Rock,AR,1993,,Info Lines & Services,checked,,,,6/20/2023 1:24pm
233,"The Open Quest Institute, TOQI",General Coordinates Used,34.744462,-92.288016,"(800) 444-9999, 24hr crisis hotline",,Little Rock,AR,1993,,Info Lines & Services,checked,,,,6/20/2023 1:24pm
240,Travel by Philip,General Coordinates Used,34.744462,-92.288016,227-7690,,Little Rock,AR,1993,(IGTA),Travel/Tour Operators,checked,,,,6/20/2023 1:24pm
236,Christopher's Lounge,Found,34.735062,-92.272538,"(at Little Rock Inn) 376-8301 5pm-2am, 7pm-1am Sat, piano bar",1401 S Main St,Little Rock,AR,1993,(E),Bars,checked,,,,6/20/2023 1:24pm
238,Michael's,Found,34.735062,-92.272538,"(at Little Rock Inn) 376-8301 9pm-2am, clsd Sun",,Little Rock,AR,1993,"(MW),(D),(S)",Bars,checked,,,,6/20/2023 1:24pm
244,Boyle Park,Found,34.730683,-92.355453,(AYOR),,Little Rock,AR,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/20/2023 1:24pm
251,Gay/Lesbian Hotline of Orange County,General Coordinates Used,33.836593,-117.914301,534-3261 volunteers 6:30pm-10:30pm,,Anaheim,CA,1993,,Info Lines & Services,checked,,,,6/20/2023 2:40pm
254,Nude beach on American River - downstream,General Coordinates Used,38.896565,-121.07689,,,Auburn,CA,1993,Cruisy Area,Cruisy Areas,checked,,,,6/20/2023 2:40pm
260,Gay/Lesbian Catholics & Episcopals,General Coordinates Used,35.373292,-119.018712,"664-1744, 7pm 1st Sun call for location",,Bakersfield,CA,1993,,Religious Organizations,checked,,,,6/20/2023 2:43pm
255,Friends,General Coordinates Used,35.373292,-119.018712,321-9190 support group & community outreach,"P.O. Box 304, 93302",Bakersfield,CA,1993,,Info Lines & Services,checked,,,,6/20/2023 2:43pm
257,Gay/Lesbian Phone Line,General Coordinates Used,35.373292,-119.018712,328-0729 (message machine) updated info on local support & social groups,,Bakersfield,CA,1993,,Info Lines & Services,checked,,,,6/20/2023 2:43pm
266,Central Park,Found,35.374185,-119.008848,(AYOR),,Bakersfield,CA,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/20/2023 2:42pm
264,Beach Park - 21st & Oak Sts.,Found,35.379936,-119.040635,(Nights),,Bakersfield,CA,1993,Cruisy Area,Cruisy Areas,checked,,,,6/20/2023 2:41pm
267,College Park at Mt. Vernon & Church Ave.,Found,35.410932,-118.967014,(AYOR),,Bakersfield,CA,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/20/2023 2:42pm
265,Bus Depot,General Coordinates Used,35.373292,-119.018712,(AYOR),,Bakersfield,CA,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/20/2023 2:41pm
256,Gay AA,General Coordinates Used,35.373292,-119.018712,(at MCC) 8pm Mon & Th,,Bakersfield,CA,1993,,Info Lines & Services,checked,,,,6/20/2023 2:43pm
284,Aquatic Park,Found,37.859681,-122.298756,,,Berkeley,CA,1993,Cruisy Area,Cruisy Areas,checked,,,,6/20/2023 2:46pm
270,Fruit Punch,General Coordinates Used,37.871523,-122.273042,94.1-FM (KPFA) 848-6767 gay/lesbian radio 7-7:30pm Wed,,Berkeley,CA,1993,,Info Lines & Services,checked,,,,6/20/2023 2:47pm
271,Gay/Lesbian Alanon,Found,37.86112,-122.259311,(at Pacific Center) 548-8283 6:30pm Fri,,Berkeley,CA,1993,,Info Lines & Services,checked,,,,6/20/2023 2:48pm
285,U. of Ca. Hearst Gym,Found,37.869593,-122.256686,(AYOR),,Berkeley,CA,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/20/2023 2:49pm
277,White Horse,Found,37.851827,-122.260559,(see Oakland listings),,Berkeley,CA,1993,,Bars,checked,,,,6/20/2023 2:49pm
273,Global Real Estate Referrals,General Coordinates Used,37.871523,-122.273042,(800)346-5592 gay realtor at your service,,Berkeley,CA,1993,,Info Lines & Services,checked,,,,6/20/2023 2:48pm
275,MIX,General Coordinates Used,37.871523,-122.273042,(at Thunder Bay) 843-5582 9pm-2am Fri,,Berkeley,CA,1993,"(*),(MW),(D),(YC)",Bars,checked,,,,6/20/2023 2:49pm
272,Gay Switchboard,Found,37.86112,-122.259311,"(at Pacific Center) 841-6224 (TTY) 10am-10pm Mon-Fri, til 4pm Sat",,Berkeley,CA,1993,,Info Lines & Services,checked,,,,6/20/2023 2:48pm
289,Brea Mall,Found,33.915606,-117.886514,(AYOR),,Brea,CA,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/20/2023 3:01pm
291,Buena Park Mall,Found,33.845095,-117.989032,,,Buena Park,CA,1993,Cruisy Area,Cruisy Areas,checked,,,,6/20/2023 3:04pm
292,Bus Depot,General Coordinates Used,32.678948,-115.498883,(AYOR),,Calexico,CA,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/20/2023 3:05pm
293,Carmel Park Beach from dunes to N. end,Found,36.539474,-121.928334,,,Carmel,CA,1993,Cruisy Area,Cruisy Areas,checked,,,,6/20/2023 3:06pm
297,"Bidwell Park Cedar Grove & upper part, by the creek",Found,39.810313,-121.722796,(AYOR),,Chico,CA,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/20/2023 3:13pm
295,Gay Hotline,General Coordinates Used,39.728494,-121.837478,891-5718 (priv. home) hrs vary,,Chico,CA,1993,,Info Lines & Services,checked,,,,6/20/2023 3:15pm
305,Library Park - Lakeport,Found,39.043103,-122.913873,,,Clearlake,CA,1993,Cruisy Area,Cruisy Areas,checked,,,,6/20/2023 3:17pm
303,Austin Beach Park - Clear Lake Highlands,Found,38.96021,-122.647879,,,Clearlake,CA,1993,Cruisy Area,Cruisy Areas,checked,,,,6/20/2023 3:17pm
304,Kneeling Park,Found,39.121909,-122.855206,(Fun),,Clearlake,CA,1993,Cruisy Area,Cruisy Areas,checked,,,,6/20/2023 3:17pm
316,South Coast Plaza Shopping Center,Found,33.68892,-117.88779,,,Costa Mesa,CA,1993,Cruisy Area,Cruisy Areas,checked,,,,6/20/2023 3:18pm
315,Orange Coast College- Fine Arts & Men's P.E. bldg.,Found,33.668604,-117.91038,(AYOR),,Costa Mesa,CA,1993,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,,6/20/2023 3:18pm
