"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"Nomad Village Motel & Other Room Bar","General Coordinates Used","","Route 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels,Bars/Clubs",1977,NA,NA,NA,NA,NA,NA
"Nomad Village Motel & Other Room Bar","General Coordinates Used","","Rte. 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels,Bars/Clubs",1978,NA,NA,NA,NA,NA,NA
"Nomad Village Motel & Other Room Bar","General Coordinates Used","(This has changed hands & is anyone's guess as to what the policy will be when it re-opens for the '78 summer season)","Rte 14, Tower Shores","Bethany Beach","DE","","Hotels,Bars/Clubs",1979,NA,NA,NA,NA,NA,NA
"Nomad Village Motel & Other Room Bar","General Coordinates Used","(Sauna) (Swim Pool) (P-Beach)","Rt. 1, 3 mi. N. in Tower Shores","Bethany Beach","DE","(H),(*)","Hotels,Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"Other Room Bar","General Coordinates Used","Nomad Village Motel","","Bethany Beach","DE","","Hotels,Bars/Clubs",1974,NA,NA,NA,NA,NA,NA
"Other Room Bar","General Coordinates Used","Nomad Village Motel","","Bethany Beach","DE","","Hotels,Bars/Clubs",1975,NA,NA,NA,NA,NA,NA
"Pink Pony","General Coordinates Used","","Broadway & Olive","Rehoboth Beach","DE","(M)","Bars/Clubs",1969,NA,NA,NA,NA,NA,NA
"Pink Pony","General Coordinates Used","","Broadway & Olive","Rehoboth Beach","DE","(M)","Bars/Clubs",1970,NA,NA,NA,NA,NA,NA
"Sandcastle","Found","(Summers only)","1st & Brooklyn","Rehoboth Beach","DE","(P),(H)","Hotels",1975,NA,NA,NA,NA,NA,NA
"Sandcastle","Found","(Summers only)","1st & Brooklyn","Rehoboth Beach","DE","(P),(H)","Hotels",1976,NA,NA,NA,NA,NA,NA
"Sandcastle","Found","(Summers only)","1st & Brooklyn","Rehoboth Beach","DE","(P),(H)","Hotels",1977,NA,NA,NA,NA,NA,NA
"Square opp. Hotel duPont","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1975,NA,NA,NA,NA,NA,NA
"Square opp. Hotel duPont","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1976,NA,NA,NA,NA,NA,NA
"Square opp. Hotel duPont","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1977,NA,NA,NA,NA,NA,NA
"Square opp. Hotel duPont","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1978,NA,NA,NA,NA,NA,NA
"Square opp. Hotel duPont","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1979,NA,NA,NA,NA,NA,NA
"Square opp. Hotel duPont ","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1980,NA,NA,NA,NA,NA,NA
"Square opposite Hotel Dupont","Found","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1974,NA,NA,NA,NA,NA,NA
"Station Cocktail Lounge","Found","","Penn R.R. Station","Wilmington","DE","(M)","Bars/Clubs",1975,NA,NA,NA,NA,NA,NA
"Station Cocktail Lounge","Found","","Penn R.R. Station","Wilmington","DE","(M)","Bars/Clubs",1976,NA,NA,NA,NA,NA,NA
"Station Cocktail Lounge","Found","","Pennsylvania Railroad Station","Wilmington","DE","(M)","Bars/Clubs",1977,NA,NA,NA,NA,NA,NA
"The Lobby(Disco) (May be Closing)","General Coordinates Used","","Rte. 896","Newark","DE","(M),(YC),(D)","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
