"title","status","description","streetaddress","notes","city","state","amenityfeatures","type","Year","unclear_address","full.address","lon","lat","geoAddress"
"Block around Post Office","General City Coordinates Used","","","","Montgomery","AL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Lee St. ","General City Coordinates Used","between Bus Depots","","","Montgomery","AL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Church St. Betw. Lee & Molton","Found","","","","Montgomery","AL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Bath Row","General City Coordinates Used","","","","Hot Springs","AR","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Arlington Hotel Downstairs T-Room","General City Coordinates Used","","","","Hot Springs","AK","Cruisy Area","Hotels,Bars/Clubs",1979,NA,NA,NA,NA,NA
"Bath Row","General City Coordinates Used","","","","Hot Springs","AR","Cruisy Areas","Cruising Areas,Baths",1972,NA,NA,NA,NA,NA
"Bath Row","General City Coordinates Used","","","","Hot Springs","AK","Cruisy Areas","Cruising Areas,Baths",1973,NA,NA,NA,NA,NA
"Bath Row","General City Coordinates Used","","","","Hot Springs","AR","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Bath Row","General City Coordinates Used","","","","Hot Springs","AK","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Bath Row","General City Coordinates Used","","","","Hot Springs","AR","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"
  Arlington Hotel –
  Downstairs T-Room 
  ","General City Coordinates Used","","","","Hot Springs","AK","Cruisy Area","Cruising Areas,Hotels",1978,NA,NA,NA,NA,NA
"DeSoto Park T-Room","Found","","","","Hot Springs","AR","(AYOR),Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Bath House Row","General City Coordinates Used","(Central Ave)
","","","Hot Springs","AR","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Drummer's Room","Found","(attempts to discourage crowds) Manning Motor Hotel","W Markham St & S Main St","","Little Rock","AR","","Hotels,Bars/Clubs",1974,NA,NA,NA,NA,NA
"Mac Arthur Park","Found","","","","Little Rock","AR","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Alsop Park","Found","","3700 Cedar Hill Rd","","Little Rock","AR","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Southwest Actors & Artists Club","General City Coordinates Used","","","Coordinates for Little Rock due to unclear address.","Little Rock","AR","(P),(D),(YC)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Gar Hole","Found","(thru lobby of Marion Hotel -- downstairs)","W Markham St & S Main St","","Little Rock","AR","","Hotels",1971,NA,NA,NA,NA,NA
"Gar Hole","Found","(Thru lobby of Marion Hotel & downstairs)","W Markham St & S Main St","","Little Rock","AR","","Bars/Clubs,Hotels",1969,NA,NA,NA,NA,NA
"Gar Hole","Found","Marion Hotel","W Markham St & S Main St","","Little Rock","AR","","Bars/Clubs,Hotels",1968,NA,NA,NA,NA,NA
"Boyle Park ","Found","","","","Little Rock","AK","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Alsop Park","Found","","","","Little Rock","AK","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Burns Park – No. Little Rock","Found","","","","Little Rock","AK","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Drummer’s Room ","Found","(Some G) (Thru lobby – in basement) (Manning Motor Hotel) ","Markham & Main","","Little Rock","AK","(YC),(D),(*)","Hotels,Bars/Clubs",1979,NA,NA,NA,NA,NA
"T-Room – Greyhound Bus Depot","General City Coordinates Used","","","","Little Rock","AK","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"MacArthur Park ","Found","","","","Little Rock","AK","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"MacArthur Park ","Found","","","","Little Rock","AR","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Alsop Park","Found","","","","Little Rock","AR","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Southwest Actors & Artists Club","General City Coordinates Used","(sign says 'El Toro')","New Benton Hwy. ","","Little Rock","AR","(YC),(D),(P),(*)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Drummer's Room","Found","Manning Motor Hotel","Markham & Main","","Little Rock","AR","(*)","Hotels,Bars/Clubs",1972,NA,NA,NA,NA,NA
"El Toro Club","General City Coordinates Used","","New Benton Hwy. ","","Little Rock","AK","(YC),(D),(P),(*)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"MacArthur Park","Found","","","","Little Rock","AK","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Drummer’s Room ","Found","","Markham & Main","","Little Rock","AK","(*)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Alsop Park","Found","","","","Little Rock","AK","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Southwest Actors & Artists Club","General City Coordinates Used","","New Benton Hwy.","","Little Rock","AR","(P),(D),(YC)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Gar Hole","Found","thru lobby of Marion Hotel & downstairs","","","Little Rock","AR","","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Drummer's Room","Found","Manning Motor Hotel
","Markham & Main","","Little Rock","AR","(D),(G)","Hotels,Bars/Clubs",1976,NA,NA,NA,NA,NA
"MacArthur Park","Found","","","","Little Rock","AR","(HOT),Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Alsop Park","Found","","","","Little Rock","AR","(HOT),Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Alsop Park ","Found","","","","Little Rock","AK","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"MacArthur Park ","Found","","","","Little Rock","AK","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Greyhound Bus Station T-Room ","General City Coordinates Used","","","","Little Rock","AK","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Drummer’s Room ","Found","Manning Motor Hotel (Some G) ","Markham & Main","","Little Rock","AK","(YC),(D),(*)","Hotels,Bars/Clubs",1977,NA,NA,NA,NA,NA
"MacArthur Park","Found","","","","Little Rock","AR","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Alsop Park","Found","","","","Little Rock","AR","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"
  Burns Park – No.
  Little Rock 
  ","Found","","","","Little Rock","AK","Cruisy Area,(HOT),(AYOR)","Cruising Areas",1978,NA,NA,NA,NA,NA
"
  T-Room – Greyhound
  Bus Depot 
  ","General City Coordinates Used","","","","Little Rock","AK","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"
  Drummer’s Room 
  ","Found","(Some G) (In basement below lobby – no shorts or tank tops) Manning Motor Hotel ","Markham & Main ","","Little Rock","AK","(YC),(D),(*),(G)","Bars/Clubs,Hotels",1978,NA,NA,NA,NA,NA
"
  Boyle Park 
  ","Found","","","","Little Rock","AK","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"
  Alsop Park
  ","Found","","","","Little Rock","AK","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"
  MacArthur Park 
  ","Found","","","","Little Rock","AK","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Silver Dollar","General City Coordinates Used","(501)663-9886. (Some L) Inquire locally","","","Little Rock","AR","(L)","Bars/Clubs",1980,NA,NA,NA,NA,NA
"Boyle Park","Found","","","","Little Rock","AR","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"MacArthur Park","Found","","","","Little Rock","AR","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Hollywood Cinema","General City Coordinates Used","","","","Little Rock","AR","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Burns Park","Found","","","","Little Rock","AR","(AYOR),Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Alsop Park","Found","","","","Little Rock","AR","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Denny's","Found","","","","Atlanta","GA","(M),(R),(C)","Restaurant",1974,NA,NA,NA,NA,NA
"Ralston Hotel Bar","General City Coordinates Used","","","","Atlanta","GA","(M)","Hotels,Bars/Clubs",1974,NA,NA,NA,NA,NA
"El Matador","Found","Ansley Mall Shopping Center","","","Atlanta","GA","","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Picadilly Lounge","General City Coordinates Used","(closed -- supposedly reopening elsewhere. Inquire locally)","","","Atlanta","GA","(PE),(R)","Restaurant",1974,NA,NA,NA,NA,NA
"Library","Found","area around Peachtree and Carnegie","","","Atlanta","GA","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Piedmont Park","Found","parking lot & nature trails","","","Atlanta","GA","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Esperando ","Found","(3 floors)
","","","Atlanta","GA","(D),(R),(S),(SM),(*)","Restaurant,Bars/Clubs",1974,NA,NA,NA,NA,NA
"Windjammer Lounge ","Found","Marriott Hotel","","Roads have changed a bit here and been renamed due to redevelopment in the area. See intersection of Cain and Courtland on this David Rumsey Map: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~212209~5500288:Atlanta--Georgia--;JSESSIONID=a2b23f1f-f52c-49f9-9868-055239e75dc7?showTipAdvancedSearch=false&showShareIIIFLink=true&showTip=false&helpUrl=https%3A%2F%2Fdoc.lunaimaging.com%2Fdisplay%2FV74D%2FLUNA%2BViewer%23LUNAViewer-LUNAViewer&title=Search+Results%3A+List_No+equal+to+%275840.111%27&fullTextSearchChecked=&dateRangeSearchChecked=&advancedSearchUrl=https%3A%2F%2Fdoc.lunaimaging.com%2Fdisplay%2FV74D%2FSearching%23Searching-Searching&thumbnailViewUrlKey=link.view.search.url","Atlanta","GA","(M),(PE)","Hotels,Bars/Clubs",1974,NA,NA,NA,NA,NA
"The Rail","General City Coordinates Used","","","","Atlanta","GA","(M),(YC)","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Cypress St","Found","(an alley betw. Peachtree and W.Peachtree from 5th to 9th streets)","","The location here is for 6th st between Peachtree and W. Peachtree.","Atlanta","GA","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Cameo ","Found","","","","Atlanta","GA","(*),(RT)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Mail Box","Found","","","location for 600 Ponce de Leon.","Atlanta","GA","","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Wit's End","General City Coordinates Used","(Gone with the Wit's) (downstairs bar only)","","","Atlanta","GA","(M),(PE)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Alibi Lounge","Found","Dinkler Plaza Hotel","","","Atlanta","GA","(PE)","Hotels,Bars/Clubs",1971,NA,NA,NA,NA,NA
"Chuck's Rathskeller","Found","Georgian Terrace Hotel","","","Atlanta","GA","(YC),(*)","Hotels,Bars/Clubs",1971,NA,NA,NA,NA,NA
"Rathskeller","Found","(See Chuck's Rathskeller)
","","","Atlanta","GA","(YC),(*)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Maid's Quarters","Found","","","","Atlanta","GA","(M),(R)","Restaurant",1969,NA,NA,NA,NA,NA
"La Cuisine","General City Coordinates Used","inquire locally","","","Atlanta","GA","(D),(C)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Petite Lounge","Found","Dinkler Plaza Hotel","","","Atlanta","GA","(M),(PE)","Bars/Clubs,Hotels",1969,NA,NA,NA,NA,NA
"Petite Lounge","Found","Dinkler Plaza Hotel
","","","Atlanta","GA","(M),(PE)","Bars/Clubs,Hotels",1968,NA,NA,NA,NA,NA
"Petite Lounge","Found","Dinkler Plaza Hotel

","","","Atlanta","GA","(M),(PE)","Bars/Clubs,Hotels",1966,NA,NA,NA,NA,NA
"Petite Lounge","Found","Dinkler Plaza Hotel","","","Atlanta","GA","(M)","Bars/Clubs,Hotels",1965,NA,NA,NA,NA,NA
"Armory ","Found","(Best during cocktail hour on Mon. & Thur.)","824 Juniper N.E. nr. 6th ","","Atlanta","GA","","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Youngman Atlanta ","General City Coordinates Used","(Models, etc.) (404) 892-6798","","","Atlanta","GA","","Business",1979,NA,NA,NA,NA,NA
"Flea Market ","General City Coordinates Used","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"
  El Matador
  ","Found","(Sat. buffet – ‘looking up’) Ansley Mall Shopping Center","Piedmont & Monroe Dr. ","","Atlanta","GA","","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Phillips 66 Truck Stop 9 mi. N. on I-95 nr. Norcross","General City Coordinates Used","(T-Rooms)","","","Atlanta","GA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Cypress St. an alley betw. Peachtree & W. Peachtree from 6th to 8th Sts. ","Found","(‘The Strip’)","","","Atlanta","GA","Cruisy Area,(*)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Ga. Tech – Admin. Bldg. T-Room","Found","","","General GA Tech coordinates used.","Atlanta","GA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Piedmont Park parking lot & nature trails ","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Atlanta Airport - observation deck","Found","","","General airport coordinates used.","Atlanta","GA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Sparks Hall – 3rd & 4th floor T-Rooms – Ga. St. U. ","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Models Atlanta ","General City Coordinates Used","(404) 231-0241","","","Atlanta","GA","","Business",1979,NA,NA,NA,NA,NA
"Grant Park nr. Lookout Tower – ‘chicken’","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"T-Rooms at Davison’s Dept","General City Coordinates Used","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Wit’s End","General City Coordinates Used","Underground Atlanta (Gone With the Wits)(downstairs bar only)","Alabama at Hunter","","Atlanta","GA","(M),(PE),(R)","Restaurant",1972,NA,NA,NA,NA,NA
"Piedmont Park","Found","Parking lot area & nature trails ","","","Atlanta","GA","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Alibi Lounge ","Found","Dinkler Plaza Hotel","Forsythe & Luckie N.W. ","","Atlanta","GA","(PE)","Hotels,Bars/Clubs",1972,NA,NA,NA,NA,NA
"Library Area ","Found","at Peachtree and Carnegie","","","Atlanta","GA","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Cypress St. ","Found","from 5th to 9th Sts. (an alley running bet Peachtree St. & W. Peachtree)","","","Atlanta","GA","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Cameo","Found","","Cain at Williams N.W.","","Atlanta","GA","(RT),(*)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Cypress St. ","Found","(An alley running bet. Peachtree & W. Peachtree from 5th to 9th Sts.)","","","Atlanta","GA","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"El Matador","Found","(Ansley’s Mall Shopping Center)","Piedmont at Monroe","","Atlanta","GA","(*)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Cameo","Found","","188 Williams at Cain N.W.","","Atlanta","GA","(RT),(*)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Armory ","Found","","834 Juniper N.E. near 6th ","","Atlanta","GA","(PE),(*)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Piedmont Park – parking lot & ‘nature trails’","Found","","","","Atlanta","GA","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Library – area around Peachtree & Carnegie","Found","","","","Atlanta","GA","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Petite Lounge","Found","Dinkler-Plaza Hotel
","Forsythe & Luckie","","Atlanta","GA","(M),(PE)","Bars/Clubs,Hotels",1970,NA,NA,NA,NA,NA
"Piedomt Park - parking lot and nature trails","Found","","","","Atlanta","GA","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
