"status","description","streetaddress","city","amenityfeatures","type","Year","notes","title","state","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","(This is the place- your hosts Larry & Jerry (Bar) (Disco) (Swim pool) next to Hotel 1829. Box 1189, St. Thomas, V.I. 00801. Tel: (809) 774-5764","","Charlotte Amalie, St. Thomas","(*),(H),(R),(E),(D)","Bars/Clubs,Hotels,Restaurant",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Some OC)(Best cocktail hour or late) (above the Safari)","","Charlotte Amalie, St. Thomas","(*),(OC)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","On the Square","","Charlotte Amalie, St. Thomas","(H)","Hotels",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","On the Waterfront","","Charlotte Amalie, St. Thomas","(M),(R),(E)","Restaurant",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Disco) On the Waterfront","","Charlotte Amalie, St. Thomas","(M),(R),(D),(E)","Bars/Clubs,Restaurant",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Best at cocktail hour) (Inquire locally)","","Charlotte Amalie, St. Thomas","(PE),(R),(E)","Restaurant",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","Government Hill above Post Office","","Charlotte Amalie, St. Thomas","(M),(H)","Hotels",1980,"approximate location",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(swim pool) Lobster Pot (Dinner reservations required) & Anchor Room Lounge Best during cocktail hour of late. Overlooks Magens Bay- a 10 min. ride from town. Call (809) 774-4391 for reservations.","","Charlotte Amalie, St. Thomas","(M),(H),(*)","Bars/Clubs,Restaurant,Hotels",1976,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(swim pool) Lobster Pot (Dinner reservations required) & Anchor Room Lounge best during cocktail hour or late. Overlooks Magens Bay- a 10 min. ride from town. Call (809) 774-4391 for reservations","","Charlotte Amalie, St. Thomas","(M),(H),(PE),(R),(*)","Hotels,Restaurant,Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Natives) (Some G) just off Waterfront Hwy. in Creques Alley No. 3 (behind the Carousel)","","Charlotte Amalie, St. Thomas","(M),(D),(G)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(natives) (some G) just off Waterfront  Hwy. in Creques Alley No. 3 (behind the Carousel)","","Charlotte Amalie, St. Thomas","(M),(D),(G)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","('Sing along') (Best late) Below the Safari","","Charlotte Amalie, St. Thomas","(OC),(E),(*)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","1 Nelike Gade","Charlotte Amalie, St. Thomas","(*)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","1 Nelike Gade","Charlotte Amalie, St. Thomas","(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","1 Nelike Gade","Charlotte Amalie, St. Thomas","(*)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","('Sing along')(Best late) Below the Safari","","Charlotte Amalie, St. Thomas","(*),(OC),(E)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","box 4986, St. Thomas, V.I.","","Charlotte Amalie, St. Thomas","(M),(H)","Hotels",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","Box 4986, St. Thomas, V.I. ","","Charlotte Amalie, St. Thomas","(M)","Hotels",1974,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Solburg Tel: 809-774-0063","","Charlotte Amalie, St. Thomas","(H),(*)","Hotels",1978,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Solburg Tel: (809) 774-0063","","Charlotte Amalie, St. Thomas","(H),(*)","Hotels",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Solburg Tel: (809)774-0063","","Charlotte Amalie, St. Thomas","(H)","Hotels",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Centrally located","","Charlotte Amalie, St. Thomas","(H)","Hotels",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Private beach $2.00 admn. Bar is (M) days, but * nights)","","Charlotte Amalie, St. Thomas","(M),(H),(*)","Hotels,Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Private beach, $2 adm. charge. Bar is (M) days but * nights)","","Charlotte Amalie, St. Thomas","(M),(*),(H)","Hotels,Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","($3.00 adm. to (P) Beach*) Bar is (M) days but good late. 10 min. drive from town at E. end of harbor. Tel: 809-774-2650","","Charlotte Amalie, St. Thomas","(M),(H),(R),(P),(*)","Bars/Clubs,Hotels,Restaurant",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","($3. adm. to (P) Beach*) Bar is (M) days but * late. 10 min. drive from town at E. end of harbor. Call (809) 774-2650 ","","Charlotte Amalie, St. Thomas","(M),(H),(R),(*),(P)","Bars/Clubs,Hotels,Restaurant",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","($3 adm. to (P) Beach*) Bar is (M) days but good late. 10 min. drive from town at E. end of harbor. Tel: (809) 774-2650","","Charlotte Amalie, St. Thomas","(M),(H),(R),(*)","Hotels,Restaurant,Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","($3.00 adm. to (P Beach*) Bar is (M) days but * late. 10 min. drive from town at E. end of Charlotte Amalie Harbor. Call 774-2650 for reservations","","Charlotte Amalie, St. Thomas","(M),(H),(R),(P),(*)","Bars/Clubs,Hotels,Restaurant",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","($3. adm. to (P) Beach*) Bar is (M) says but good late. 10 min. drive from town at E. end of harbor. Tel:(809) 774-2650","","Charlotte Amalie, St. Thomas","(M),(H),(R),(P),(*)","Bars/Clubs,Hotels,Restaurant",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","discretion","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","discretion","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","discretion","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","discretion","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","discretion","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","discretion","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Lunch) Center of town on the Waterfront","","Charlotte Amalie, St. Thomas","(R)","Restaurant",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","","14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","","14 King Street","Frederiksted, St. Croix","(M)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","14 King St.","Frederiksted, St. Croix","","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","14 King St.","Frederiksted, St. Croix","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"Found","","14 King St.","Frederiksted, St. Croix","","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Some B)(Disco) On Tronpeter (an exit of Drake's Passage_ opp. & just above John Silver's on Vimmelskaft Gade (back street)","","Charlotte Amalie, St. Thomas","(B),(D),(AYOR),(*)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","On Tronpeter (an extension of Drake's Passage) opp. & just above the 'Sandbox' on Vimmelskafts Gade (Back Street)","","Charlotte Amalie, St. Thomas","(D),(*)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","On Tronpeter (an extension of Drake's Passage) opp. & just above the Sandbox on Vimmelskafts Gade (Back St.)","","Charlotte Amalie, St. Thomas","(D),(*)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Some B) On Trompeter (an ext. of Drake's Passage) opp. & just above the 'Sandbox' on Vimmelskafts Gade (Back Street)","","Charlotte Amalie, St. Thomas","(M),(B),(D),(*)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Some B) On Tronpeter (an exit of DRake's Passage) opp. & just above the 'Sandbox' on Vimmelskafts Gade (Back Street)","","Charlotte Amalie, St. Thomas","(M),(B),(D),(*)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Veterans Drive","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1972,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Veterans Drive","","Charlotte Amalie, St. Thomas","(R),(M)","Restaurant",1973,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Veterans Drive","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1974,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Veterans Drive","","Charlotte Amalie, St. Thomas","(R),(M)","Restaurant",1971,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Veterans Drive","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1975,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Very M) On Waterfront betw. Creques Alleys 1 & 2","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Very M) (Mostly sailors) On Waterfront betw. Creques Alleys 1 & 2","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(mostly sailors) On Waterfront betw. Creques Aleys No. 1 & No. 2","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Very M) (Mostly sailors) On Waterfront betw. Creques Alleys 1 & 2 ","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(mostly sailors) On Waterfront betw. Creques Alleys No.'s 1 & 2","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","1 Queens Cross","Christiansted, St. Croix","(*)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","","1 Queens Cross","Christiansted, St. Croix","(*)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","1 Queens Cross ","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","","1 Queens Cross","Christiansted, St. Croix","(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Box 548 St. Thomas, V.I. 00801","","Charlotte Amalie, St. Thomas","(H),(R)","Hotels,Restaurant",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","(AYOR at night)","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","P.O. Box 2205 St. Thomas, V.I. 00801. Tel: (809) 774-2661","","Charlotte Amalie, St. Thomas","(H)","Hotels",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","P.O. Box 2205 St. Thomas, V.I. 00801. Tel: 809-774-2661","","Charlotte Amalie, St. Thomas","(H)","Hotels",1978,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Mostly natives) Creques Alley No. 3, betw. Waterfront & Main St. (Dronningsgens Gade)","","Charlotte Amalie, St. Thomas","(M),(RT)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(mostly natives) next to Jerry's Place on Creques Alley No. 3 bewt. Waterfront & Main St. (Dronningsgens Gade)","","Charlotte Amalie, St. Thomas","(M),(RT)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Mostly natives) Creques Alley No. 3 betw. Waterfront & Main St. (Dronningsgens Gade)","","Charlotte Amalie, St. Thomas","(M),(RT)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Mostly natives) Creques Alley No. 3, Betw. Waterfront & Main St. (Dronningsgens Gade)","","Charlotte Amalie, St. Thomas","(M),(RT)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(mostly natives) next to 'Jerry's Place' on Creques Alley No. 3 betw. Waterfront & Main Street (Dronningsgens Gade)","","Charlotte Amalie, St. Thomas","(M),(RT)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
