"status","lat","lon","description","streetaddress","city","state","Year","amenityfeatures","type","notes","title","unclear_address","full.address","geoAddress"
"General Coordinates Used",33.440476,"-111.813879","on N. Horne St.","","Mesa","AZ",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",33.448377,"-112.074037","PO Box 16423, 85011 234-2752/234-0873 (TDD#) 10am-10pm (volunteers permitting)","","Phoenix","AZ",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.448377,"-112.074037","PO Box 1808, 85001 266-0550 bi-weekly","","Phoenix","AZ",1996,"","Publications","",NA,NA,NA,NA
"General Coordinates Used",33.448377,"-112.074037","264-5437 youth group","","Phoenix","AZ",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.538652,"-112.185987","PO Box 2097, 85001 225-8888","","Phoenix","AZ",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.453877,"-111.953395","PO Box 5317, 85010  254-1324 bi-weekly","","Phoenix","AZ",1996,"","Publications","",NA,NA,NA,NA
"General Coordinates Used",33.650181,"-112.100108","PO Box 41624, 85080 488-1110","","Phoenix","AZ",1996,"(MW),(SW),(WC),(IGTA)","Accommodations","",NA,NA,NA,NA
"Found",33.491881,"-112.068805","277-2703/(800)289-2172","Gallery Three Plaza 3819 N. 3rd St.","Phoenix","AZ",1996,"(IGTA)","Travel/Tour Operators","",NA,NA,NA,NA
"General Coordinates Used",33.448377,"-112.074037","542-8687","","Phoenix","AZ",1996,"","Travel/Tour Operators","",NA,NA,NA,NA
"General Coordinates Used",33.538652,"-112.185987","PO Box 11253, Glendale, 85318 561-0335/(800)266-7829 private home, 2-rm B&B, hot tub","","Phoenix","AZ",1996,"(MW),(IGTA)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",33.448377,"-112.074037","(800)-346-5592 gay realtor at your service, no rentals ","","Phoenix","AZ",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.86974,"-111.76099","204-2422","","Sedona","AZ",1996,"(MW)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",34.824424,"-111.805914","way back","","Sedona","AZ",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",33.453632,"-111.948693","southern part","","Tempe","AZ",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",33.42551,"-111.940005","by the Coffee Plantation","","Tempe","AZ",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",31.713073,"-110.068154","","","Tombstone","AZ",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",32.222607,"-110.974711","624-4183 (AA#) 8pm Mon, Th-Fri","","Tucson","AZ",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",32.222607,"-110.974711","(800)-346-5592 gay realtor at your service, no rentals ","","Tucson","AZ",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",32.222248,"-110.966648","(inside Hotel Congress) 622-8848 11am-1am","","Tucson","AZ",1996,"(GF),(NH),(OC)","Bars","Hotel Congress's address is 311 E. Congress",NA,NA,NA,NA
"General Coordinates Used",32.222607,"-110.974711","PO Box 50733, 85703 622-7176 weekly","","Tucson","AZ",1996,"","Publications","",NA,NA,NA,NA
"Found",32.728158,"-114.648609","","","Yuma","AZ",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",34.467188,"-114.352661","(is going down!)","","Lake Havasu City","AZ",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",31.555216,"-110.349922","Ft. Huachuca ","","Ft. Huachuca","AZ",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",33.833372,"-111.950704","(312) 857-0801/857-0805 (fax) see ad in center National Section","","Cave Creek","AZ",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",35.07861,"-92.317823","Rte. 1, Box 50, 72632 253-5877/(800)583-8043 159-acre mountain-top inn, full brkfst","","Eureka Springs","AR",1996,"(GF),(SW)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",36.393689,"-93.707729","Rte. 2, Box 339 (Hwy. 62 W.) 72632 253-8748/(800)831-4747 seasonal","","Eureka Springs","AR",1996,"(GF),(WC)","Accommodations","",NA,NA,NA,NA
"Found",36.381487,"-93.730641","Rte 4, Box 155, 72632 253-5283 exclusively gay country B&B on 5 quiet acres, 4 RV hookups","","Eureka Springs","AR",1996,"(*),(MW),(WC)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",36.066242,"-94.157853","756-8367, 7pm Tue","","Fayetteville","AR",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",36.135807,"-94.144443","","","Fayetteville","AR",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",36.066242,"-94.157853","University of Arkansas, AU517, 72701","","Fayetteville","AR",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",35.385924,"-94.398547","PO Box 5824, 72913","","Ft. Smith","AR",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",35.389097,"-94.428005","","","Ft. Smith","AR",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",35.385924,"-94.398547","PO Box 2897, 72702","","Ft. Smith","AR",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",34.536275,"-93.029602","","","Hot Springs","AR",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",34.746481,"-92.289595","PO Box 45053, 72214 374-9327","","Little Rock","AR",1996,"","Publications","",NA,NA,NA,NA
"Found",34.735062,"-92.272538","(at the Little Rock Inn) 376-8301 5pm-2am, 7pm-1am Sat, piano bar","1401 S Main St","Little Rock","AR",1996,"(M),(E)","Bars","Little Rock Inn's address is 601 Center St.",NA,NA,NA,NA
"General Coordinates Used",34.827811,"-92.345685 ","664-7303 (AA#)","","Little Rock","AR",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",34.752012,"-92.282065","(800)628-8725","","Little Rock","AR",1996,"","Travel/Tour Operators","",NA,NA,NA,NA
"General Coordinates Used",34.744462,"-92.288016","PO Box 250119, 72225-5119 227-7690","","Little Rock","AR",1996,"(IGTA)","Travel/Tour Operators","",NA,NA,NA,NA
"General Coordinates Used",34.744462,"-92.288016","PO Box 14229-A, St. Louis, 63178 (314)664-6411 covers AR, IL, KS, MO, TN","","Little Rock","AR",1996,"","Publications","",NA,NA,NA,NA
"General Coordinates Used",34.746481,"-92.289595","(800)346-5592 gay realtor at your service, no rentals ","","Little Rock","AR",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.827811,"-92.345685 ","PO Box 45053, 72214","","Little Rock","AR",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",34.735062,"-92.272538","9pm-2am, 4pm-10pm Sun ","","Little Rock","AR",1996,"(MW),(D)","Bars","this entry is from the description of Christopher's Lounge",NA,NA,NA,NA
"General Coordinates Used",34.746481,"-92.289595","PO Box 45053, 72214 375-5504, 6:30pm-10:30pm, crisis, referrals","","Little Rock","AR",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.746481,"-92.289595","Box 11485, Memphis, 38111 454-1411 covers TN & sometimes AR","","Little Rock","AR",1996,"","Publications","",NA,NA,NA,NA
"General Coordinates Used",33.430483,"-94.036174","I-30 E, 1-1/2 mi. E. of State Line Ave.","","Texarkana","AR",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",35.225281,"-93.155952","Lake Dardanelle ","","Russellville","AR",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",35.091751,"-92.436652","PO Box 7006, 72032","","Conway","AR",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",36.043403,"-90.671223","PO Box 52, 72474 236-7711 RV park & campsites","","Walcott","AR",1996,"(MO)","Accommodations","",NA,NA,NA,NA
"Found",35.875322,"-93.912123","643-3307 6am-9pm, American/Mexican","Rte. 16 east of Elkins","Crosses","AR",1996,"(*),(GF)","Restaurants & Cafes","",NA,NA,NA,NA
"General Coordinates Used",33.836593,"-117.914301","(900)505-6339 talk and/or meet w/other men from the area at 99¢ per minute","","Anaheim","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",38.896565,"-121.07689","downstream","","Auburn","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",35.373292,"-119.018712","PO Box 304, 93302 398-8663 support groups & community outreach","","Bakersfield","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",35.379936,"-119.040635","21st & Oak Sts. nights","","Bakersfield","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",34.238706,"-116.94295","PO Box 1711-39372 Big Bear Blvd., 92315 866-4335 cabins, one room, one suite, hot tub","","Big Bear Lake","CA",1996,"(GF),(SW)","Accommodations","",NA,NA,NA,NA
"Found",36.539474,"-121.928334","from dunes to N. end","","Carmel","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",36.555239,"-121.923288","PO Box 2619, 93921 624-7917 Hansel & Gretel 1925 Inn, full brkfst","","Carmel","CA",1996,"(GF)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",39.728494,"-121.837478","891-5718 hrs vry","","Chico","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",39.729665,"-121.847887","898-4420","","Chico","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",39.121909,"-122.855206","fun","","Clearlake","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",39.043103,"-122.913873","Lakeport","","Clearlake","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",32.799976,"-116.942355","","","El Cajon","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",33.123954,"-117.083381","Heritage section","","Escondido","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",38.249196,"-122.040515","PO Box 9, Vacaville, 95696 448-1010, evenings call 449-0500, ask for Kristin or Kathy","","Fairfield","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",37.556629,"-122.09406","","","Fremont","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",36.737798,"-119.787125","popular resource for community info ","","Fresno","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",36.771684,"-119.773827","","","Fresno","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",36.757714,"-119.790571","","","Fresno","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",36.737798,"-119.787125","PO Box 4959, 93744  266-5465 lesbigay support; also publishes Pink Pages directory","","Fresno","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",36.757671,"-119.801037","PO Box 4162, 93744 233-2014 lesbigay leather group","","Fresno","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",34.473356,"-120.229478","RR bridge.","","Gaviota State Beach","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",38.503173,"-123.000295","869-9566 ","4th & Mill St.","Guerneville","CA",1996,"(GF),(SW)","Accommodations","",NA,NA,NA,NA
"Found",33.781393,"-117.056477","end of California St., 4-1/2 mi. W. on Hwy. 74","","Hemet","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",33.74752,"-116.971968","PO Box 7313, 92343 652-6918","","Hemet","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",33.749512,"-116.999223","","","Hemet","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",33.531573,"-117.774944","(at the Coast Inn) 10am-2am","","Laguna Beach","CA",1996,"(*),(MW),(D),(E),(S),(V),(YC),(WC)","Bars","Coast Inn's address is 1401 S. Coast Hwy.",NA,NA,NA,NA
"General Coordinates Used",33.510027,"-117.752554","(312)857-0801/857-0805 (fax) see ad in center National Section","","Laguna Beach","CA",1996,"","Accommodations","",NA,NA,NA,NA
"Found",33.531573,"-117.774944","(at the Coast Inn) 10am-2am; also grill, some veggie","","Laguna Beach","CA",1996,"(MW),(D),(V),(YC),(WC)","Bars","Coast Inn's address is 1401 S. Coast Hwy.",NA,NA,NA,NA
"General Coordinates Used",33.542719,"-117.785357","N. of Laguna Royal, S. of Laguna","","Laguna Beach","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",33.542719,"-117.785357","(see Costa Mesa) 9pm-2am Tue-Th & Sat","","Laguna Beach","CA",1996,"(*),(MW),(D),(E),(S),(V),(YC)","Bars","Costa Mesa's location is 1945 Placentia ",NA,NA,NA,NA
"General Coordinates Used",33.510027,"-117.752554","497-4237 educational/social org. for Orange County, call for details ","","Laguna Beach","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.510027,"-117.752554","","","Laguna Beach","CA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",33.510027,"-117.752554","(800)346-5592 gay realtor at your service, no rentals ","","Laguna Beach","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",38.939926,"-119.977187","PO Box 624507, 96154 544-4411/(800)431-4411 open Nov-April exclusively gay/lesbian","","Lake Tahoe","CA",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",38.939926,"-119.977187","PO Box 11194, 96155-0194 577-6073 romantic, cozy chalet, hot tub","","Lake Tahoe","CA",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",33.783824,"-118.11409","(800)346-5592 gay realtor at your service, no rentals ","","Long Beach","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",33.756852,"-118.141338","","","Long Beach","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",33.756852,"-118.141338","","","Long Beach","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","(800)-346-5592 gay realtor at your service, no rentals ","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.090711,"-118.337459","PO Box 2777, Redondo Beach, 90278 379-2850 support/education for Manhattan, Hermosa & Redondo Beaches, Torrance, Palos Verdes, El Segundo","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.953747,"-118.412621","(213)848-2220/330 covers LA club scene","","Los Angeles","CA",1996,"","Publications","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","(213)664-4716, 7:30pm Sat, call for further details ","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","(800)346-5592 gay realtor at your service, no rentals ","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.10174,"-118.311788","KPFK LA 90.7 FM (818)985-2711, 10pm Sun; also 'This Way Out' 4:30pm Tue","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",34.034319,"-118.535257","on Pacific Coast Hwy. at Chautauqua, just S. of volleyball courts ","","Los Angeles","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","(213)964-7820 nat'l group that sponsors annual conference ","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.089721,"-118.370293","PO Box 65111, 90065  258-8842, monthly social 2pm-5pm 2nd Sun; also publishes newsletter","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.10174,"-118.311788","PO Box 7304 Ste. 320, 91603","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","(312)857-0801/857-0805 (fax) see ad in center National Section","","Los Angeles","CA",1996,"","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",34.089721,"-118.370293","(call for location) 243-5221 underground house Sat ","","Los Angeles","CA",1996,"(M),(D),(A)","Bars","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","(213)993-7475, 7pm-10pm, clsd Sun, referrals & support for those 23 & under, women's night Mon","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","(800)-346-5592 gay realtor at your service, no rentals ","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","(800)346-5592 gay realtor at your service, no rentals ","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",34.083473,"-118.351515","Box 83515, 90083-0515 write for info","","Los Angeles","CA",1996,"","Men's Clubs","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","(800)346-5592 gay realtor at your service, no rentals ","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","(800)346-5592 gay realtor at your service, no rentals ","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","PO Box 150790, Brooklyn, 11215-0790 (718)832-3952 frequent foot fetish parties","","Los Angeles","CA",1996,"","Men's Clubs","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","(900)505-MEET talk and/or meet other men from the area, at only 99¢ per minute ","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.052234,"-118.243685","(213)993-7400/936-4343 (AA#) 12:30pm Tue/Th, meets at LA Lesbian/Gay Community Services Center Rm. 106C","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",34.090711,"-118.337459","PO Box 433 Ste. 109, 90096 (213)660-2131, 1st Sun, Asian/Pacific Islanders & friends","","Los Angeles","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",39.14156,"-121.604105","","","Marysville","CA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",39.146766,"-121.588173","","","Marysville","CA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",39.300047,"-123.79064","937-5615","Coast Hwy. & Comptche-Ukiah Rd.","Mendocino","CA",1996,"(GF)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",39.307674,"-123.799459","PO Box 1143, 95460 (800) 262-7801 9am-6pm","","Mendocino","CA",1996,"(GF)","Accommodations","",NA,NA,NA,NA
"Found",36.422101,"-121.914599","9.3 mi. S. of Rio Rd. (Carmel) on Hwy. 1 ","","Monterey","CA",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",38.297538,"-122.286865","226-7459 call for extensive brochure ","","Napa","CA",1996,"(GF)","Accommodations","",NA,NA,NA,NA
"Found",33.195369,"-117.384897","","","Oceanside","CA",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",33.830296,"-116.545292","PO Box 2803, Rancho Mirage, 92270 321-2685","","Palm Springs","CA",1996,"","Publications","",NA,NA,NA,NA
"General Coordinates Used",33.830296,"-116.545292","PO Box 861, Cathedral City, 92235 322-8769, 24hr helpline","","Palm Springs","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.830296,"-116.545292","(800)346-5592 gay realtor at your service, no rentals ","","Palm Springs","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.830296,"-116.545292","324-4880 (AA#) call for schedule of mtgs.","","Palm Springs","CA",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.830296,"-116.545292","PO Box 691309, Marysville, 90069-9309 652-9600/ (800) 429-0069 variety of private home B&Bs in Palm Springs","","Palm Springs","CA",1996,"","Accommodations","",NA,NA,NA,NA
"Found",33.848178,"-116.545977","(at the Casablanca Hotel) 320-4333 international ","2095 N. Indian Canyon","Palm Springs","CA",1996,"(E)","Restaurants & Cafes","Casablanca's address is 2095 N. Indian Canyon",NA,NA,NA,NA
"Found",33.817685,"-116.49298","#A-7, Palm Desert 341-7966 3pm-2am","72-695 Hwy. 111 ","Palm Springs","CA",1996,"(MW),(WC)","Bars","",NA,NA,NA,NA
"General Coordinates Used",33.830296,"-116.545292","PO Box 773, 92263 324-0178 lesbigay business association","","Palm Springs","CA",1996,"(IGTA)","Info Lines & Services","",NA,NA,NA,NA
"Found",33.80313,"-116.545632","(at the Desert Palms Inn) 324-5100 9am-2am, piano bar ","","Palm Springs","CA",1996,"(*),(M),(F),(E)","Bars","Desert Palms Inn's address 67-580 E. Palm Canyon Dr., Cathedral City",NA,NA,NA,NA
