"description","streetaddress","city","state","amenityfeatures","type","status","lat","lon","Year","notes","title","unclear_address","full.address","geoAddress"
"E side of Lake Calhoun (33rd & Calhoun Blvd), Minneapolis gay beach",NA,"Minneapolis","MN","","Entertainment & Recreation","Found","44.944633","-93.304758",2000,"",NA,NA,NA,NA
"843/763-9666 social group for men 40+ & their admirers ",NA,"Charleston","SC","","Info Lines & Services","General Coordinates Used","32.776475","-79.931051",2000,"",NA,NA,NA,NA
"Rosencrans Rd ",NA,"Zion","IL","","Erotica","General Coordinates Used","42.464658","-87.876479",2000,"",NA,NA,NA,NA
"late",NA,"Ocean City","NJ","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used","39.220872","-74.63838",2000,"",NA,NA,NA,NA
"831/373-3713 (AA#)",NA,"Monterey","CA","","Info Lines & Services","General Coordinates Used","36.600238","-121.894676",2000,"",NA,NA,NA,NA
"907/272-2312 call for mtg times or check identity Northview's calendar",NA,"Anchorage","AK","","Info Lines & Services","General Coordinates Used","61.217576","-149.899678",2000,"",NA,NA,NA,NA
"412/471-7472 ",NA,"Pittsburgh","PA","","Info Lines & Services","General Coordinates Used","40.440625","-79.995886",2000,"",NA,NA,NA,NA
"415/621-1326 ",NA,"San Francisco","CA","","Info Lines & Services","General Coordinates Used","37.77493","-122.419415",2000,"",NA,NA,NA,NA
"3219 Kingston Pike (at Tenn Valley Unitarian Church) 423/522-9667 7pm Mon & Fri ",NA,"Knoxville","TN","","Info Lines & Services","General Coordinates Used","35.960638","-83.920739",2000,"",NA,NA,NA,NA
"757/495-3113 ",NA,"Norfolk","VA","","Info Lines & Services","General Coordinates Used","36.850769","-76.285873",2000,"",NA,NA,NA,NA
"23rd & Woodlawn  (at First Congregational Church) 208/344-6611 8pm Sun & Tue",NA,"Boise","ID","","Info Lines & Services","Found","43.627786","-116.218333",2000,"",NA,NA,NA,NA
"318/234-7814 (AA#) call for mtg schedule ",NA,"Lafayette","LA","","Info Lines & Services","General Coordinates Used","30.22409","-92.019843",2000,"",NA,NA,NA,NA
"First Baptist Church (at Dewitt Park) 607/273-1541 6pm Sun",NA,"Ithaca","NY","","Info Lines & Services","General Coordinates Used","42.443961","-76.501881",2000,"",NA,NA,NA,NA
"501/224-6769 (private home)",NA,"Little Rock","AR","","Info Lines & Services","General Coordinates Used","34.827811","-92.345685 ",2000,"",NA,NA,NA,NA
"225/924-0030 (AA#) call for mtg schedule",NA,"Baton Rouge","LA","","Info Lines & Services","General Coordinates Used","30.451468","-91.187147",2000,"",NA,NA,NA,NA
"801/322-5869 8pm Tue & Fri, call for location",NA,"Salt Lake City","UT","","Info Lines & Services","General Coordinates Used","40.760779","-111.891047",2000,"",NA,NA,NA,NA
"516/654-1150",NA,"Fire Island","NY","","Info Lines & Services","Found","40.659936","-73.090747",2000,"",NA,NA,NA,NA
"520/624-4183 many mtgs, call for schedule ",NA,"Tucson","AZ","","Info Lines & Services","General Coordinates Used","32.222607","-110.974711",2000,"",NA,NA,NA,NA
"615/831-1050 call for mtg schedule",NA,"Nashville","TN","","Info Lines & Services","General Coordinates Used","36.162664","-86.781602",2000,"",NA,NA,NA,NA
"E Lansing 517/321-8781 call for mtg schedule",NA,"Lansing","MI","","Info Lines & Services","General Coordinates Used","42.732535","-84.555535",2000,"",NA,NA,NA,NA
"804/355-1212 call for mtg schedule",NA,"Richmond","VA","","Info Lines & Services","General Coordinates Used","37.540725","-77.436048",2000,"",NA,NA,NA,NA
"505/982-8932 ",NA,"Santa Fe","NM","","Info Lines & Services","General Coordinates Used","35.686975","-105.937799",2000,"",NA,NA,NA,NA
"315/463-5011 (AA#) call for mtg schedule ",NA,"Syracuse","NY","","Info Lines & Services","General Coordinates Used","43.048122","-76.147424",2000,"",NA,NA,NA,NA
"760/324-4880 (AA#) call for mtg schedule",NA,"Palm Springs","CA","","Info Lines & Services","General Coordinates Used","33.830296","-116.545292",2000,"",NA,NA,NA,NA
"408/374-8511 call for mtg schedule",NA,"San Jose","CA","","Info Lines & Services","General Coordinates Used","37.33874","-121.885252",2000,"",NA,NA,NA,NA
"215/574-6900 call for mtg schedule",NA,"Philadelphia","PA","","Info Lines & Services","General Coordinates Used","39.946719","-75.168902",2000,"",NA,NA,NA,NA
"501/443-6366 (AA#)",NA,"Fayetteville","AR","","Info Lines & Services","General Coordinates Used","36.066242","-94.157853",2000,"",NA,NA,NA,NA
"401/345-9916 call for mtg schedule",NA,"Omaha","NE","","Info Lines & Services","General Coordinates Used","41.256537","-95.934503",2000,"",NA,NA,NA,NA
"505/266-1900 (AA#) call for mtg schedule ",NA,"Albuquerque","NM","(NS),(WC)","Info Lines & Services","General Coordinates Used","35.075459","-106.564133",2000,"",NA,NA,NA,NA
"317/632-7864 call for mtg times & locations, gay men's mtg 8pm Fri",NA,"Indianapolis","IN","","Info Lines & Services","General Coordinates Used","39.768403","-86.158068",2000,"",NA,NA,NA,NA
"303/322-4440 many mtgs",NA,"Denver","CO","","Info Lines & Services","General Coordinates Used","39.739236","-104.990251",2000,"",NA,NA,NA,NA
"909/825-4700 call for times",NA,"San Bernardino","CA","","Info Lines & Services","General Coordinates Used","34.108345","-117.289765",2000,"",NA,NA,NA,NA
"803/254-5301 (AA#) call for mtg schedule",NA,"Columbia","SC","","Info Lines & Services","General Coordinates Used","34.00071","-81.034814",2000,"",NA,NA,NA,NA
"614/253-8501 call for mtg schedule ",NA,"Columbus","OH","","Info Lines & Services","General Coordinates Used","39.961176","-82.998794",2000,"",NA,NA,NA,NA
"831/475-5782 call for mtgs ",NA,"Santa Cruz","CA","","Info Lines & Services","General Coordinates Used","36.974117","-122.030796",2000,"",NA,NA,NA,NA
"716/232-6720 (AA#) call for mtg schedule ",NA,"Rochester","NY","","Info Lines & Services","Found","43.154541","-77.614187",2000,"",NA,NA,NA,NA
"SMS University at Ecumenical Ctr (at National off Cherry) 417/823-7125 6pm Sat",NA,"Springfield","MO","","Info Lines & Services","Found","37.20387","-93.276101",2000,"",NA,NA,NA,NA
"215/574-6900 (AA#) ",NA,"New Hope","PA","","Info Lines & Services","General Coordinates Used","40.369499","-74.953453",2000,"",NA,NA,NA,NA
"319/338-9111 (AA#) ",NA,"Iowa City","IA","","Info Lines & Services","General Coordinates Used","41.661128","-91.530168",2000,"",NA,NA,NA,NA
"919/783-6144 call for info ",NA,"Raleigh ","NC","","Info Lines & Services","Found","35.784","-78.65931",2000,"",NA,NA,NA,NA
"919/783-6144 call for info ",NA,"Chapel Hill","NC","","Info Lines & Services","General Coordinates Used","35.9132","-79.055844",2000,"",NA,NA,NA,NA
"919/783-6144 call for info ",NA,"Durham","NC","","Info Lines & Services","General Coordinates Used","35.994033","-78.898619",2000,"",NA,NA,NA,NA
"at Lesbian/Gay Community Ctr 212/647-1680 call for mtg schedule",NA,"New York City","NY","","Info Lines & Services","Found","40.740044","-74.007318",2000,"Center's address is One Little West 12th St ",NA,NA,NA,NA
"330/253-8181 (AA#) call for times & locations",NA,"Akron","OH","","Info Lines & Services","General Coordinates Used","41.081445","-81.519005",2000,"",NA,NA,NA,NA
"618/549-4633 ",NA,"Carbondale","IL","","Info Lines & Services","General Coordinates Used","37.727273","-89.21675",2000,"",NA,NA,NA,NA
"212/246-4000, 800/362-8585 reservations agency ",NA,"New York City","NY","(GF)","Accommodations","Found","40.740044","-74.007318",2000,"",NA,NA,NA,NA
"801/533-0928 ",NA,"Salt Lake City","UT","","Info Lines & Services","General Coordinates Used","40.760779","-111.891047",2000,"",NA,NA,NA,NA
"St Stephen's Episcopal on Anson St (btwn Society & George) 843/762-2433, 843/723-9633 (AA#) 8pm Tue & 6:30pm Sat",NA,"Charleston","SC","","Info Lines & Services","Found","32.784948","-79.931185",2000,"",NA,NA,NA,NA
"319/232-6805 weekly info & support",NA,"Waterloo","IA","","Info Lines & Services","General Coordinates Used","42.492786","-92.342577",2000,"",NA,NA,NA,NA
"319/232-6805 lesbigay newspaper",NA,"","IA","","Publications","General Coordinates Used","41.878003","-93.097702",2000,"Statewide",NA,NA,NA,NA
"520/578-3998",NA,"Tucson","AZ","(GF),(NS)","Accommodations","General Coordinates Used","32.222607","-110.974711",2000,"",NA,NA,NA,NA
"Rte 130 & Richey Ave 609/854-4566",NA,"Collingswood","NJ","","Erotica","Found","39.917586","-75.089538",2000,"",NA,NA,NA,NA
"Old Rte 220  (Bellwood exit I-99) 814/742-7781 ",NA,"Altoona","PA","","Nightclubs","General Coordinates Used","40.518681","-78.394736",2000,"",NA,NA,NA,NA
"Rtes 202  & 309  215/362-9560 ",NA,"Montgomery","PA","","Erotica","General Coordinates Used","41.170359","-76.876908",2000,"",NA,NA,NA,NA
"195 W 9-Mile Rd #106 (at Woodward), Ferndale 248/398-7105 10:30am-9pm, till 4pm Sat, 1pm-9pm Sun",NA,"Detroit","MI","","Info Lines & Services","Found","42.460339","-83.136179",2000,"",NA,NA,NA,NA
"Fairfax  (btwn Olympic & Pico) many Ethiopian, Nigerian & other African restaurants to choose from on this block",NA,"West Hollywood","CA","","Restaurants","General Coordinates Used","34.049962","-118.30676",2000,"",NA,NA,NA,NA
"785/762-4747 24hrs",NA,"Junction City","KS","","Erotica","General Coordinates Used","39.028609","-96.831398",2000,"",NA,NA,NA,NA
"209/533-1401 ",NA,"Columbia","CA","(WO)","Entertainment & Recreation","General Coordinates Used","38.036312","-120.401306",2000,"",NA,NA,NA,NA
"summers",NA,"La Grange","IL","Cruisy Area,(AYOR)","Cruisy Areas","Found","41.768373","-87.87216",2000,"",NA,NA,NA,NA
"Calle Recinto Sur Old San Juan 787/723-7303 lunch & dinner, Italian",NA,"San Juan","PR","","Restaurants","General Coordinates Used","18.464265","-66.114225",2000,"",NA,NA,NA,NA
"nr Wakiki Yacht Club",NA,"Honolulu, Oahu","HI","Cruisy Area,(AYOR)","Cruisy Areas","Found","21.289969","-157.847657",2000,"",NA,NA,NA,NA
"334/242-4169, 800/252-2262",NA,"Montgomery","AL","","Info Lines & Services","General Coordinates Used","32.373798","-86.311007",2000,"",NA,NA,NA,NA
"205/328-9228 statewide paper",NA,"Birmingham","AL","","Publications","General Coordinates Used","33.518589","-86.810357",2000,"",NA,NA,NA,NA
"off White Sands Blvd nights",NA,"Alamogordo","NM","Cruisy Area,(AYOR)","Cruisy Areas","Found","32.90011","-105.960865",2000,"",NA,NA,NA,NA
"800/478-7777 deluxe cabin cruiser for big-game fishing (halibut), $155 (per person)",NA,"Homer","AK","","Entertainment & Recreation","General Coordinates Used","59.648086","-151.529924",2000,"",NA,NA,NA,NA
"907/465-2010 ",NA,"Juneau","AK","","Info Lines & Services","General Coordinates Used","58.300493","-134.420131",2000,"",NA,NA,NA,NA
"",NA,"Key West","FL","(GF),(SW),(GO)","Accommodations","Found","24.54943","-81.79326",2000,"",NA,NA,NA,NA
"",NA,"Miami","FL","Cruisy Area,(AYOR)","Cruisy Areas","Found","25.748332","-80.206401",2000,"",NA,NA,NA,NA
"207/874-6596",NA,"Portland","ME","","Info Lines & Services","General Coordinates Used","43.659099","-70.256819",2000,"",NA,NA,NA,NA
"808/922-5176, 800/982-5176 ",NA,"Oahu","HI","","Info Lines & Services","General Coordinates Used","21.438912","-158.000056",2000,"",NA,NA,NA,NA
"S Hwy 27 Daniel Boone Nat'l Forest ",NA,"Somerset","KY","Cruisy Area,(AYOR)","Cruisy Areas","Found","36.915212","-84.516126",2000,"",NA,NA,NA,NA
"941/252-2576 (pager) lesbigay youth, confidential weekly mtgs",NA,"Sarasota","FL","","Info Lines & Services","General Coordinates Used","27.336465","-82.531012",2000,"",NA,NA,NA,NA
"WAIF FM 88.3 513/333-9243, 513/961-8900 3pm Sat, lesbigay public affairs radio program ",NA,"Cincinnati ","OH","","Entertainment & Recreation","General Coordinates Used","39.103118","-84.51202",2000,"",NA,NA,NA,NA
"505/345-6484 pansexual S/M group",NA,"Albuquerque","NM","","Info Lines & Services","General Coordinates Used","35.075459","-106.564133",2000,"",NA,NA,NA,NA
"WRFG 89.3FM  404/523-8989 (station #), 404/523-3471 (office #) 5-5:30pm Fri, radio program for Atlanta's African-American lesbigay community",NA,"Atlanta","GA","","Entertainment & Recreation","General Coordinates Used","33.748752","-84.387684",2000,"",NA,NA,NA,NA
"808/537-9427, 800/388-6933 lesbigay commitment ceremonies ",NA,"Honolulu, Oahu","HI","","Info Lines & Services","General Coordinates Used","21.309885","-157.85814",2000,"",NA,NA,NA,NA
"805/239-2073 rural setting, kids/pets ok ",NA,"San Luis Obispo ","CA","(GF)","Accommodations","General Coordinates Used","35.282752","-120.659616",2000,"",NA,NA,NA,NA
"504/522-8049 lesbigay newspaper ",NA,"New Orleans","LA","","Publications","General Coordinates Used","29.951066","-90.071532",2000,"",NA,NA,NA,NA
"405/495-1111 reservation service for private homes",NA,"Oklahoma City","OK","(GO)","Accommodations","General Coordinates Used","35.46756","-97.516428 ",2000,"",NA,NA,NA,NA
"off Rivera Dr nr Howe Ave & Watt Ave ",NA,"Sacramento","CA","Cruisy Area,(AYOR)","Erotica","Found","38.565615","-121.382507",2000,"",NA,NA,NA,NA
"607/729-1921 ",NA,"Binghamton","NY","","Publications","General Coordinates Used","42.098687","-75.917974",2000,"",NA,NA,NA,NA
"907/561-7737 alternative paper",NA,"Anchorage","AK","","Publications","Found","61.217374","-149.873389",2000,"",NA,NA,NA,NA
"800/289-1522 1-& 2-bdrm oceanfront/beachfront condos, nr outdoor recreation",NA,"Kihei, Maui","HI","(GS),(SW),(TA)","Info Lines & Services","General Coordinates Used","20.739941","-156.454187",2000,"",NA,NA,NA,NA
"Zero Whalton Ln (at Duval) 305/294-7730, 888/263-7393 full brkfst ",NA,"Key West","FL","(GF),(SW)","Accommodations","Found","24.551231","-81.80012",2000,"",NA,NA,NA,NA
"301/294-9514 guided tours",NA,"Washington","DC","","Entertainment & Recreation","General Coordinates Used","38.907192","-77.036871",2000,"",NA,NA,NA,NA
"323/467-2991, 800/788-5046 rental condo nr ocean, hot tub",NA,"Kihei, Maui","HI","(GS),(SW),(GO)","Accommodations","General Coordinates Used","20.739941","-156.454187",2000,"",NA,NA,NA,NA
"314/577-2626, 314/843-1700 all-American kitsch in-town & out: see the Clydesdale in their air-conditioned stables or visit the Busch family estate that was once the home of Ulysses S Grant",NA,"St. Louis","MO","","Entertainment & Recreation","General Coordinates Used","38.627003","-90.199404",2000,"",NA,NA,NA,NA
"787/725-3500 gay cruises Th eves, call for reservations",NA,"San Juan","PR","(MW),(D)","Entertainment & Recreation","General Coordinates Used","18.467059","-66.118459",2000,"",NA,NA,NA,NA
"nr baseball fields  ",NA,"Boise","ID","Cruisy Area,(AYOR)","Cruisy Areas","Found","43.610906","-116.220551",2000,"",NA,NA,NA,NA
"410/263-1316 referrals, occasional socials",NA,"Annapolis","MD","","Info Lines & Services","General Coordinates Used","38.978445","-76.492183",2000,"",NA,NA,NA,NA
"661/942-2812 call for events",NA,"Lancaster","CA","","Info Lines & Services","General Coordinates Used","34.703947","-118.148102",2000,"",NA,NA,NA,NA
"",NA,"Lincoln","NE","Cruisy Area,(AYOR)","Cruisy Areas","Found","40.78253","-96.707529",2000,"",NA,NA,NA,NA
"(aka Waterfront Park) (aka Waterfront Park) ",NA,"Bradenton","FL","Cruisy Area","Cruisy Areas","Found","27.499211","-82.569794",2000,"",NA,NA,NA,NA
"808/823-8335, 888/371-7716 plantation house & cottage w/360º ocean & mtn views ",NA,"Kapaa, Kauai","HI","(M)","Accommodations","General Coordinates Used","22.094739","-159.324593",2000,"",NA,NA,NA,NA
"off 'M' St ",NA,"Merced","CA","Cruisy Area,(AYOR)","Cruisy Areas","Found","37.313099","-120.479231",2000,"",NA,NA,NA,NA
"Ave 'G' & 50 W ",NA,"Lancaster","CA","Cruisy Area,(AYOR)","Cruisy Areas","Found","34.740631","-118.203863",2000,"",NA,NA,NA,NA
"days",NA,"Seattle","WA","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used","47.633936","-122.299483",2000,"",NA,NA,NA,NA
"505/982-2621, 800/735-8453 4 adobe casitas, hot tub, patio ",NA,"Santa Fe","NM","(GF)","Accommodations","General Coordinates Used","35.686975","-105.937799",2000,"",NA,NA,NA,NA
"800/628-8725",NA,"Little Rock","AR","","Info Lines & Services","Found","34.752012","-92.282065",2000,"",NA,NA,NA,NA
"703/522-7660 monthly mtgs",NA,"Arlington","VA","","Info Lines & Services","General Coordinates Used","38.87997","-77.10677",2000,"",NA,NA,NA,NA
"Rte 7A 802/375-6532, 800/443-9442 clsd Sun-Mon, cont'l",NA,"Arlington","VT","","Restaurants","Found","43.074822","-73.15332",2000,"",NA,NA,NA,NA
"Berrick Rd (18 miles west of Center) 207/361-1100 open April-Sept, 6pm-9pm, clsd Mon",NA,"Ogunquit","ME","(*)","Restaurants","Found","43.248343","-70.621817",2000,"",NA,NA,NA,NA
"623/561-1200 hot tub",NA,"Phoenix","AZ","(MW),(SW),(TA)","Accommodations","General Coordinates Used","33.538652","-112.185987",2000,"",NA,NA,NA,NA
"Capital & St Paul ",NA,"Grand Island","NE","Cruisy Area,(AYOR)","Cruisy Areas","Found","40.947086","-98.357449",2000,"",NA,NA,NA,NA
"503/232-6408 educational/social/support group",NA,"Portland","OR","","Info Lines & Services","General Coordinates Used","45.515232","-122.678385",2000,"",NA,NA,NA,NA
"323/980-7874 call for events",NA,"Los Angeles","CA","","Info Lines & Services","General Coordinates Used","34.052234","-118.243685",2000,"",NA,NA,NA,NA
"202/387-2742 Tue happy hour 6:30pm-8pm at 'Club Chaos' (17th & 'Q') call for more info ",NA,"Washington","DC","","Info Lines & Services","General Coordinates Used","38.907192","-77.036871",2000,"",NA,NA,NA,NA
"at Lesbian/Gay Community Ctr 718/488-0630 8pm 3rd Sat ",NA,"New York City","NY","","Info Lines & Services","Found","40.740044","-74.007318",2000,"Center's address is One Little West 12th St ",NA,NA,NA,NA
"Rte 20  Cruz Bay 340/779-4747 fusion of Asian & French ",NA,"St. John","VI","","Restaurants","General Coordinates Used","18.331801","-64.793644",2000,"",NA,NA,NA,NA
"970/925-9249 8pm-midnight (live) & recorded local info & events ",NA,"Aspen","CO","","Info Lines & Services","General Coordinates Used","39.191098","-106.817539",2000,"",NA,NA,NA,NA
"773/918-5067 social/support group for gay/bi/trans Latinos, call for events",NA,"Chicago","IL","","Info Lines & Services","General Coordinates Used","41.878114","-87.629798",2000,"Listed under ""Chicago-Overview""",NA,NA,NA,NA
"Hwy 258  inquire locally ",NA,"Jacksonville","NC","","Nightclubs","General Coordinates Used","34.754052","-77.430241",2000,"",NA,NA,NA,NA
"202/331-4422 dance parties, locations vary, call for info ",NA,"Washington","DC","(M)","Nightclubs","General Coordinates Used","38.907192","-77.036871",2000,"",NA,NA,NA,NA
"215/790-1179 lesbigay newspaper",NA,"Philadelphia","PA","","Publications","General Coordinates Used","39.946719","-75.168902",2000,"",NA,NA,NA,NA
"summers",NA,"Henderson","KY","Cruisy Area,(AYOR)","Cruisy Areas","Found","37.881203","-87.564203",2000,"",NA,NA,NA,NA
"202/234-6822",NA,"Washington","DC","","Cafes","General Coordinates Used","38.907192","-77.036871",2000,"location from Results–The Gym's desciption",NA,NA,NA,NA
"888/892-2237",NA,"Colorado Springs","CO","","Accommodations","General Coordinates Used","38.833882","-104.821363",2000,"",NA,NA,NA,NA
"Hwy 23 S  501/253-7734 5pm-9pm, clsd Sun, cont'l",NA,"Eureka Springs","AR","","Restaurants","General Coordinates Used","36.406288","-93.73469",2000,"",NA,NA,NA,NA
"4th & Mill St Guerneville 707/869-9566 ",NA,"Guerneville","CA","(GF),(SW)","Accommodations","Found","38.503173","-123.000295",2000,"",NA,NA,NA,NA
"by Fwy 99  evenings",NA,"Visalia","CA","Cruisy Area,(AYOR)","Cruisy Areas","Found","36.30546","-119.364537",2000,"",NA,NA,NA,NA
"trails in woods behind the mall ",NA,"Glen Falls","NY","Cruisy Area,(AYOR)","Cruisy Areas","Found","43.326754","-73.67773",2000,"",NA,NA,NA,NA
"",NA,"Johnstown","PA","Cruisy Area,(AYOR)","Nightclubs","General Coordinates Used","40.326741","-78.92197",2000,"",NA,NA,NA,NA
"downstairs at 'Back Door Pub' 202/544-1931 opens 10pm, clsd Mon",NA,"Washington","DC","(M),(D),(MR-AF),(S),(WC)","Nightclubs","Found","38.877242","-76.994699",2000,"",NA,NA,NA,NA
"from 9pm Fri-Sat ",NA,"Pomona","CA","(M)","Bars","Found","34.057812","-117.737328",2000,"location from Alibi East's description ",NA,NA,NA,NA
"in the 'Crown & Anchor' accommodations 508/487-1430 seasonal, 10:30pm-1am",NA,"Provincetown","MA","(*),(MW),(D),(YC)","Nightclubs","Found","42.049893","-70.188507",2000,"Crown & Anchor's address is 247 Commercial St ",NA,NA,NA,NA
"617/227-4313 youth talkline, ask about other services ",NA,"Boston","MA","","Info Lines & Services","General Coordinates Used","42.360083","-71.05888",2000,"",NA,NA,NA,NA
"35 miles N of Key West  Viking Beach is best",NA,"Key West","FL","","Entertainment & Recreation","General Coordinates Used","24.669021","-81.259051",2000,"",NA,NA,NA,NA
"",NA,"Danville","VA","Cruisy Area,(AYOR)","Cruisy Areas","Found","36.572536","-79.419015",2000,"",NA,NA,NA,NA
"415/861-5019 the weekly lesbigay newspaper",NA,"San Francisco","CA","","Publications","General Coordinates Used","37.77493","-122.419415",2000,"",NA,NA,NA,NA
"208/354-2906, 888/216-6025 seasonal, authentic working cattle ranch ",NA,"Jackson","WY","(MW),(GO)","Accommodations","General Coordinates Used","43.479956","-110.761779",2000,"",NA,NA,NA,NA
"210/533-8215 ",NA,"San Antonio","TX","","Publications","General Coordinates Used","29.425191","-98.494592",2000,"",NA,NA,NA,NA
"213/427-3905 social/support group for gay/bi/trans Filipino men",NA,"Los Angeles","CA","","Info Lines & Services","General Coordinates Used","34.052234","-118.243685",2000,"",NA,NA,NA,NA
"Oak Park 708/848-9140 ",NA,"Chicago","IL","","Bookstores","General Coordinates Used","41.885032","-87.784502",2000,"Listed under ""Chicago-Overview""; location from entry #3030's description",NA,NA,NA,NA
"Bard College  914/758-6822 (general switchboard), 914/758-7454 (Dean of Students) active during school year ",NA,"Annandale-on-Hudson","NY","","Info Lines & Services","Found","42.023073","-73.909314",2000,"",NA,NA,NA,NA
"leather bar",NA,"Madison","WI","","Bars","General Coordinates Used","43.072166","-89.40075",2000,"located in Club 5's description ",NA,NA,NA,NA
"10pm Fri-Sat ",NA,"Akron","OH","(M),(L)","","General Coordinates Used","41.081445","-81.519005",2000,"location from Adams Street Bar's description ",NA,NA,NA,NA
"by the bridge  207/967-5050 lunch & dinner May-Dec, lunch only Jan-April, seafood, full bar",NA,"Kennebunkport","ME","","Restaurants","General Coordinates Used","43.361733","-70.476727",2000,"",NA,NA,NA,NA
"Barton Springs Rd natural swimming hole",NA,"Austin","TX","(N)","Entertainment & Recreation","General Coordinates Used","30.267153","-97.743061",2000,"",NA,NA,NA,NA
"Congress Ave Bridge  (at Barton Springs Dr) everything's bigger in Texas–especially the colony of bats that flies out from under this bridge every evening Mar-Oct",NA,"Austin","TX","","Entertainment & Recreation","Found","30.259192","-97.746127",2000,"",NA,NA,NA,NA
"Rincon Point (btwn Ventura & Santa Barbara) N beyond the sea wall ",NA,"Ventura","CA","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used","34.280492","-119.29452",2000,"",NA,NA,NA,NA
"Hirasawa Lounge Chase Hall, Bates College 207/786-6255 8:30pm Sun",NA,"Lewiston","ME","","Info Lines & Services","Found","44.104506","-70.203833",2000,"",NA,NA,NA,NA
"by rock walk going to river ",NA,"Mishawaka","IN","Cruisy Area,(AYOR)","Cruisy Areas","Found","41.665581","-86.188208",2000,"",NA,NA,NA,NA
"trails too",NA,"Arlington","VT","Cruisy Area,(N),(AYOR)","Cruisy Areas","General Coordinates Used","43.074442","-73.160465",2000,"",NA,NA,NA,NA
"N Public Beach  ",NA,"Burlington","VT","Cruisy Area,(AYOR)","Cruisy Areas","Found","44.481301","-73.219886",2000,"",NA,NA,NA,NA
"S edge of town ",NA,"Port Orford","OR","Cruisy Area,(AYOR)","Cruisy Areas","Found","42.742901","-124.492401",2000,"",NA,NA,NA,NA
"Terry Rd (at Hwy 80) afternoons",NA,"Jackson","MS","Cruisy Area,(AYOR)","Cruisy Areas","Found","32.287206","-90.200437",2000,"",NA,NA,NA,NA
"617/266-6670 lesbigay newspaper",NA,"Boston","MA","","Publications","General Coordinates Used","42.360083","-71.05888",2000,"",NA,NA,NA,NA
"opposite Claridge's ",NA,"Atlantic City","NJ","Cruisy Area,(AYOR)","Cruisy Areas","Found","39.355963","-74.430157",2000,"",NA,NA,NA,NA
"at end of N 10th St, off Richards Blvd ",NA,"Sacramento","CA","Cruisy Area,(AYOR)","Erotica","Found","38.600118","-121.484667",2000,"",NA,NA,NA,NA
"",NA,"Myrtle Beach","SC","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used","33.746985","-78.808642",2000,"",NA,NA,NA,NA
"East Hampton go left
",NA,"Long Island–Suffolk County","NY","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used","40.963434","-72.184801",2000,"",NA,NA,NA,NA
"",NA,"Fort Lauderdale","FL","Cruisy Area,(AYOR)","Cruisy Areas","Found","26.124146","-80.103833",2000,"",NA,NA,NA,NA
