"Year","status","description","streetaddress","lat","lon","city","state","amenityfeatures","type","notes","title","unclear_address","full.address","geoAddress"
1989,"General Coordinates Used","","",32.434025,-86.654702,"Autaugaville","AL","Cruisy Area,(B),(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(Late nights)","",32.434025,-86.654702,"Autaugaville","AL","Cruisy Area,(B)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",32.453906,-86.466914,"Prattville","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","at 4th Ave.","",61.218718,-149.887673,"Anchorage","AK","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",61.211142,-149.735829,"Anchorage","AK","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(907) 276-3909","P.O. Box 4-2791, 99509",61.218923,-149.850373,"Anchorage","AK","","Hotline","",NA,NA,NA,NA
1989,"Found","(Publication)","328 Bonaface Pkwy. #2499, 99504",61.222065,-149.779281,"Anchorage","AK","","Publication","",NA,NA,NA,NA
1989,"Found","at 9th & 'L' Sts","",61.213666,-149.903704,"Anchorage","AK","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",61.216996,-149.890085,"Anchorage","AK","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",61.19426,-149.872276,"Anchorage","AK","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",61.216889,-149.888942,"Fairbanks","AK","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(907) 456-3353","",64.837778,-147.716389,"Fairbanks","AK","","Hotline","",NA,NA,NA,NA
1989,"Found","Wood Ctr.","",64.857341,-147.823517,"Fairbanks","AK","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Lib","",64.856934,-147.820022,"Fairbanks","AK","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Gym","",64.856934,-147.820022,"Fairbanks","AK","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",58.299399,-134.407901,"Juneau","AK","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","No gay bars, but some downtown bars such as, can be cruisy","",55.342222,-131.646111,"Ketchikan","AK","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","along Tongass Hwy","",55.342222,-131.646111,"Ketchikan","AK","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Jewelry, gifts, etc.) ","",55.341232,-131.646876,"Ketchikan","AK","","Book Store","Front & Mission Sts.",NA,NA,NA,NA
1989,"General Coordinates Used","","P.O. Box 2253, 99615",57.491246,-153.495022,"Kodiak Island","AK","","Organization","",NA,NA,NA,NA
1989,"General Coordinates Used","N. on I-10","",32.911003,-111.77339,"Casa Grande","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(602) 526-9187","",35.198284,-111.651302,"Flagstaff","AZ","","Organization","",NA,NA,NA,NA
1989,"Found","Library - basement","",35.190062,-111.657545,"Flagstaff","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Sunset & WE)","",35.203668,-111.658355,"Flagstaff","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",33.416972,-111.819674,"Mesa","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",33.416972,-111.819674,"Mesa","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",33.414851,-111.873996,"Mesa","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",33.448377,-112.074037,"Phoenix","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Disco) (Cruisy) (Some W)","4211 N. 7th St.",33.496998,-112.0648,"Phoenix","AZ","(*),Cruisy Area,(W),(YC),(V),(PT),(AH)","Bars/Clubs,Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(602) 866-1035","",33.448377,-112.074037,"Phoenix","AZ","","Religious Institution","",NA,NA,NA,NA
1989,"Found","","",33.476672,-112.089974,"Phoenix","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","P.O. Box 35575, 85069",33.555703,-112.1121,"Phoenix","AZ","(IGTA)","Publication","",NA,NA,NA,NA
1989,"General Coordinates Used","(602) 938-3932","",33.448377,-112.074037,"Phoenix","AZ","","Hotline","",NA,NA,NA,NA
1989,"General Coordinates Used","(602) 234-2752","",33.448377,-112.074037,"Phoenix","AZ","","Hotline","",NA,NA,NA,NA
1989,"Found","(Sundays are cruisy at Park'n'Swap)","",33.448021,-111.995404,"Phoenix","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","2nd & Roosevelt Sts.","",33.458496,-112.071063,"Phoenix","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Shopping complex nr. ice rink)","",33.575048,-112.121702,"Phoenix","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",33.448377,-112.074037,"Phoenix","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(Publication)","P.O. Box 5948, 85010",33.448377,-112.074037,"Phoenix","AZ","","Publication","",NA,NA,NA,NA
1989,"Found","","",33.453877,-111.953395,"Phoenix","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","59th Ave. & Pinnacle Peak Rd.","",33.69761,-112.177926,"Phoenix","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(Publication)","P.O. Box 5950, 85010",33.453877,-111.953395,"Phoenix","AZ","","Publication","",NA,NA,NA,NA
1989,"General Coordinates Used","(Desert Resort) (602)582-3868","P.O. Box 41624, 85080",33.650181,-112.100108,"Phoenix","AZ","(H),(IGTA),(*)","Hotel","",NA,NA,NA,NA
1989,"General Coordinates Used","(602)431-0548","",33.453877,-111.953395,"Phoenix","AZ","","Community Center/Support Group,Organization","",NA,NA,NA,NA
1989,"General Coordinates Used","1/2 mi. S. of 89A on Ariz. 179","",34.86974,-111.76099,"Sedona","AZ","(M),(R)","Restaurant","",NA,NA,NA,NA
1989,"Found","Student Union","",33.417703,-111.934353,"Tempe","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Library (2nd)","",33.41999,-111.930687,"Tempe","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Southern part)","",33.453632,-111.948693,"Tempe","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","Hwy 80N. ","",33.42551,-111.940005,"Tempe","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",31.713073,-110.068154,"Tombstone","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Women's Bookstore)","",32.226744,-110.965801,"Tucson","AZ","","Book Store","4th Ave. & 5th St.",NA,NA,NA,NA
1989,"Found","(Behind Joshua Tree)","",32.251978,-110.972295,"Tucson","AZ","(*)","Bars/Clubs","",NA,NA,NA,NA
1989,"General Coordinates Used","(Trucker) I-10 nr. Craycroft","",32.222607,-110.974711,"Tucson","AZ","(F&S)","Book Store","",NA,NA,NA,NA
1989,"General Coordinates Used","(Church)","P.O. Box 27929, 85726",32.222607,-110.974711,"Tucson","AZ","","Religious Institution","",NA,NA,NA,NA
1989,"General Coordinates Used","(602) 881-1794","",32.222607,-110.974711,"Tucson","AZ","","Hotline","",NA,NA,NA,NA
1989,"Found","","",32.233876,-110.93315,"Tucson","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","on E. Speedway","",32.253979,-110.974177,"Tucson","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",32.21032,-110.919078,"Tucson","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",32.222607,-110.974711,"Tucson","AZ","(*),(D)","Bars/Clubs","",NA,NA,NA,NA
1989,"Found","(Bar, Pool, Spa)","",32.220892,-110.968983,"Tucson","AZ","Cruisy Area","Cruising Areas,Bars/Clubs,Hotel","",NA,NA,NA,NA
1989,"General Coordinates Used","(Publication)","P.O. Box 50733, 85703",32.222607,-110.974711,"Tucson","AZ","","Publication","",NA,NA,NA,NA
1989,"Found","","",32.2885,-110.974135,"Tucson","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Econ. bldg.)","",32.230875,-110.948848,"Tucson","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(1st flr. Lib.)","",32.230875,-110.948848,"Tucson","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(Books & Flicks) (Cruisy) ","240 E. 16th St.",32.692651,-114.627692,"Yuma","AZ","Cruisy Area,(M)","Cruising Areas,Book Store","",NA,NA,NA,NA
1989,"Found","on 4th Ave. & Hwy 8","",32.692651,-114.627692,"Yuma","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Some L) (Cruisy)","232 S. 4th Ave.",32.722636,-114.624796,"Yuma","AZ","(*),(L),(PT),Cruisy Area","Bars/Clubs,Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",32.728158,-114.648609,"Yuma","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",32.692651,-114.627692,"Yuma","AZ","(M)","Book Store","4th Ave, at 24th St.",NA,NA,NA,NA
1989,"Found","(is going down!)","",34.467188,-114.352661,"Lake Havasu City","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",31.555439,-110.352618,"Ft. Huachuca","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","I-40 15 mi. west Both Sides","",35.024187,-110.697357,"Winslow","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","P.O. Box 2897, 72702",36.066242,-94.157853,"Fayetteville","AR","","Organization","",NA,NA,NA,NA
1989,"General Coordinates Used","(Active) 18mi. S.E. on Ark. 23, L. at Madison Co. line, cross White River to 1st metal gate on R., trail 3/4 mi.","",36.066242,-94.157853,"Fayetteville","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",36.135807,-94.144443,"Fayetteville","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(501) 443-4278","",36.066242,-94.157853,"Fayetteville","AR","(MCC)","Religious Institution","Kenray at Plainview",NA,NA,NA,NA
1989,"Found","(Fine arts building-basement)","",36.068685,-94.172907,"Fayetteville","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","around Tradewinds Motel","",35.385924,-94.398547,"Ft. Smith","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",35.387237,-94.425237,"Ft. Smith","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",35.370889,-94.398265,"Ft. Smith","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",35.385924,-94.398547,"Ft. Smith","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","at Welcome Center, I-40E, N. of Town","",35.458954,-94.398731,"Ft. Smith","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",35.386442,-94.39163,"Ft. Smith","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",34.4722,-93.059844,"Hot Springs","AR","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",34.536275,-93.029602,"Hot Springs","AR","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(AYOR-police)","",34.762634,-92.315196,"Little Rock","AR","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Publication) ","P.O. Box 4599, 72204",34.746481,-92.289595,"Little Rock","AR","","Publication","",NA,NA,NA,NA
1989,"General Coordinates Used","","P.O. Box 4699, 72204",34.746481,-92.289595,"Little Rock","AR","","Organization","",NA,NA,NA,NA
1989,"Found","","",34.731298,-92.355545,"Little Rock","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(501) 375-5151","",34.746481,-92.289595,"Little Rock","AR","","Organization","",NA,NA,NA,NA
1989,"General Coordinates Used","(501) 666-2404","P.O. Box 1964, 72203",34.746481,-92.289595,"Little Rock","AR","(MCC)","Religious Institution","",NA,NA,NA,NA
1989,"Found","(peep shows)","3500 Asher",34.728235,-92.312977,"Little Rock","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","P.O. Box 5119, 72205-5119",34.746481,-92.289595,"Little Rock","AR","(IGTA)","Travel Agency","",NA,NA,NA,NA
1989,"General Coordinates Used","on I-30, Morgan exit","",34.886478,-92.372376,"Morgan","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","on I-40","",35.48703,-93.827696,"Ozark","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",36.338302,-94.098619,"Rogers","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","on I-30 E. 1 1/2 mi. E. of State Line Ave.","",33.430483,-94.036174,"Texarkana","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","on I-30 W. 1/2 mi. W. of State Line Ave.","",33.430483,-94.036174,"Texarkana","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Lake Dardanelle","",35.225281,-93.155952,"Russellville","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","Prairie Creek Rec. area","",36.342019,-94.061869,"Prairie Creek","AR","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Clemente at Park ","",34.068202,-118.145728,"Alhambra","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","P.O. 10088, 92802-8088",33.836593,-117.914301,"Anaheim","CA","(IGTA)","Travel Agency","",NA,NA,NA,NA
1989,"General Coordinates Used","on American River-downstream","",38.896565,-121.07689,"Auburn","CA","(BA),Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Wed. & WE nights)","",35.379936,-119.040635,"Bakersfield","CA","Cruisy Area","Cruising Areas","21st & Oak Sts.",NA,NA,NA,NA
1989,"General Coordinates Used","Savon Shopping Center","",35.373292,-119.018712,"Bakersfield","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",35.373292,-119.018712,"Bakersfield","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",35.373292,-119.018712,"Bakersfield","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",35.335313,-119.036628,"Bakersfield","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Campers & Vans","",37.859681,-122.298756,"Berkeley","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",37.844054,-122.227332,"Berkeley","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",37.844054,-122.227332,"Berkeley","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Hearst Gym","",37.869593,-122.256686,"Berkeley","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(See Oakland)","",37.851827,-122.260559,"Berkeley","CA","","Bars/Clubs","",NA,NA,NA,NA
1989,"Found","(Beverly Hills)","",34.062182,-118.375702,"Beverly Hills","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(in the 200 block) (Beverly Hills)","",34.066613,-118.394892,"Beverly Hills","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","on Hwy 111 N.","",32.978657,-115.530267,"Brawley","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(Best late)","109 Lambert Rd. ",33.916475,-117.900292,"Brea","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(Best late)","1200 S. Euclid",33.916475,-117.900292,"Brea","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",33.915606,-117.886514,"Brea","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","May Co. ","",33.846378,-117.987244,"Buena Park","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",32.678948,-115.498883,"Calexico","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Dunes- N. end)","",36.539474,-121.928334,"Carmel","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Very M) ","",36.555239,-121.923288,"Carmel","CA","(M)","Bars/Clubs","Ocean nr. Lincoln",NA,NA,NA,NA
1989,"Found","Cedar Grove & upper part, by the river ","",39.810313,-121.722796,"Chico","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Clear Lake Highlands) ","",38.96021,-122.647879,"Clear Lake","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Fun)","",39.121909,-122.855206,"Clear Lake","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Lakeport)","",39.043103,-122.913873,"Clear Lake","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Near Glenhaven) (707) 988-9501","",39.023243,-122.719439,"Clear Lake","CA","","Hotel","",NA,NA,NA,NA
1989,"General Coordinates Used","Off Monument Blvd.","",37.954434,-122.041878,"Concord","CA","","Book Store","",NA,NA,NA,NA
1989,"Found","(off courtyard- lower level) ","",37.968332,-122.072912,"Concord","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(415) 827-2960","",37.977978,-122.031073,"Concord","CA","(MCC)","Religious Institution","",NA,NA,NA,NA
1989,"Found","Macy's ","",37.96718,-122.060676,"Concord","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","(415) 682-1400","",37.977978,-122.031073,"Concord","CA","(IGTA)","Travel Agency","",NA,NA,NA,NA
1989,"Found","Men's P.E. bldgs. ","",33.668604,-117.91038,"Costa Mesa","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Fine Arts","",33.668604,-117.91038,"Costa Mesa","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",33.68892,-117.88779,"Costa Mesa","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","","",33.467226,-117.698101,"Dana Point","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","TB5 Bldg.","",38.538232,-121.761712,"Davis","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Shields Library (4th Floor)","",38.539647,-121.74959,"Davis","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","(Resort) ","P.O. Box 155, 92016",32.881859,-116.642473,"Descanso","CA","(P),(H)","Hotel","",NA,NA,NA,NA
1989,"Found","Off Hwy 116 ","",38.452962,-123.052684,"Duncan Mills","CA","(M),(R)","Restaurant","",NA,NA,NA,NA
1989,"General Coordinates Used","(Sounds fun!) Off Hwy 80","",39.205959,-120.83781,"Dutch Flat","CA","(M),(R)","Restaurant","",NA,NA,NA,NA
1989,"Found","May Co.","",32.805452,-116.967188,"El Cajon","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",32.799976,-116.942355,"El Cajon","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"General Coordinates Used","on I-8 W. ","",32.792,-115.563051,"El Centro","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","","",32.796248,-115.556821,"El Centro","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Benches","",32.790309,-115.543822,"El Centro","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Imperial & Euclid (Jack in the Box)","",32.798375,-115.569879,"El Centro","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Imperial & Euclid (Winchell's)","",32.798375,-115.569879,"El Centro","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
1989,"Found","Imperial & Euclid (Pizza Hut)","",32.798375,-115.569879,"El Centro","CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
