"title","status","description","streetaddress","lat","lon","city","state","amenityfeatures","type","Year","unclear_address","notes","full.address","geoAddress"
"The 'Pumps'","General Coordinates Used","Fishing area across bridge from Old Hwy 31 N.","Old Hwy 31 N.",34.605925,-86.983342,"Decatur","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Waffle House","General Coordinates Used","(Open 24 hrs)","Hwy. 31 S.",34.605925,-86.983342,"Decatur","AL","(M),(AYOR)","Restaurant",1983,"checked","",NA,NA
"Bus Depot","Found","","",34.79981,-87.677251,"Florence","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"J.C. Penney's","Found","Regency Square Mall","",34.837386,-87.634945,"Florence","AL","Cruisy Area","Cruising Areas",1983,"checked","Known now as Florence Mall: https://www.malls.com/us/malls/regency-square-mall.html",NA,NA
"Wilson Dam Overlook","Found","MacLaughlin Park","",34.783895,-87.684,"Florence","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Square at Franklin & Randolph","Found","(AYOR-'Fuzz')","",34.730369,-86.586104,"Huntsville","AL","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Holiday Inn Bar","General Coordinates Used","","3810 University ",34.730369,-86.586104,"Huntsville","AL","Cruisy Area","Cruising Areas,Bars/Clubs",1983,"checked","",NA,NA
"Lee Mall","General Coordinates Used","Upstairs T-Room (Cl. 4 pm)","",34.730369,-86.586104,"Huntsville","AL","Cruisy Area,(*)","Cruising Areas",1983,"checked","",NA,NA
"Trailways Bus Depot","General Coordinates Used","","",34.730369,-86.586104,"Huntsville","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Jacksonville St. U.","Found","(2nd floor T-Rooms) (Ayer Hall)","",33.824104,-85.765878,"Jacksonville","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Jacksonville St. U. ","Found","(Bibb Graves Hall)","",33.822939,-85.765343,"Jacksonville","AL","Cruisy Area","Cruising Areas",1983,"checked","
",NA,NA
"Odyssey","General Coordinates Used","","So. Pelham Rd.",33.813713,-85.761354,"Jacksonville","AL","(M),(YC),(D)","Bars/Clubs",1983,"checked","",NA,NA
"Bienville Square","Found","(AYOR at night) (Fuzz)","",30.692229,-88.042546,"Mobile","AL","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Luscher Park","Found","","",30.628862,-88.102592,"Mobile","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"MidTown Cinema","Found","","",30.691199,-88.044599,"Mobile","AL","Cruisy Area","Cruising Areas,Theatre",1983,"checked","",NA,NA
"Church St. Betw. Lee & Molton","Found","","",32.37535,-86.309754,"Montgomery","AL","Cruisy Area","Cruising Areas",1983,"checked","not sure if you want me to mark as found or use general coordinates",NA,NA
"Block around Post Office","General Coordinates Used","","",32.379223,-86.307737,"Montgomery","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Lee St.","General Coordinates Used","(Betw. Bus Depots)","Lee St. ",32.379223,-86.307737,"Montgomery","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"M.C.C. ","General Coordinates Used","","P.O. Box 603, Montgomery, AL 36101",32.379223,-86.307737,"Montgomery","AL","(MCC)","Religious Institution",1983,"checked","",NA,NA
"Omlet Shop ","Found","","1017 Columbus Pkwy.",32.643038,-85.351635,"Opelika","AL","(M),(AYOR),(AH),(R),(C),Cruisy Area","Cruising Areas,Restaurant",1983,"checked","",NA,NA
"Cap'n Hook's","Found","(Cruisy) (Holiday Inn I-280 Bypass)","",32.461534,-85.018611,"Phenix City","AL","(M)","Hotel,Cruising Areas",1983,"checked","",NA,NA
"U. of Alabama at Tuscaloosa ","Found","(T-Rooms) (Library)","",33.211827,-87.545974,"Tuscaloosa","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"U. of Alabama at Tuscaloosa ","Found","(Ferguson Center)","",33.214516,-87.545665,"Tuscaloosa","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Bus Station","General Coordinates Used","","",33.209841,-87.569173,"Tuscaloosa","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"U. of Alabama at Tuscaloosa ","General Coordinates Used","(2nd floor T-Room) (Old Union Bldg.)","",33.214023,-87.539142,"Tuscaloosa","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Union 76 Truck Stop","General Coordinates Used","(T-Room)","I-20 & US 59",33.209841,-87.569173,"Tuscaloosa","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Fred Myers Dept. Store ","Found","(T-Room)","",61.211142,-149.735829,"Anchorage","AK","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Park Strip","Found","","9th St.",61.213666,-149.903704,"Anchorage","AK","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Park Strip","Found","","'L' St.",61.213666,-149.903704,"Anchorage","AK","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Penney's & Sears Mall","Found","","",61.216996,-149.890085,"Anchorage","AK","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"'C' Street","General Coordinates Used","4th Ave.","",61.218923,-149.850373,"Anchorage","AK","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Gay Community Center & Hot Line","General Coordinates Used","(907) 276-3909","",61.218923,-149.850373,"Anchorage","AK","","Community Center/Support Groups,Hotlines",1983,"checked","",NA,NA
"U. of Alaska","Found","(Library)","",64.856934,-147.820022,"Fairbanks","AK","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Federal & State Office Bldgs.","Found","","",58.30117,-134.411637,"Juneau","AK","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Merchants Wharf","Found","T-Rooms","",58.299399,-134.407901,"Juneau","AK","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Red Dog Saloon","General Coordinates Used","","S. Franklin St. ",58.301944,-134.419722,"Juneau","AK","(M)","Bars/Clubs",1983,"checked","",NA,NA
"Hitch-hikers ","General Coordinates Used","(along Tongass Hwy.) (No gay bars, but some downtown bars such as Frontier & 108 Club on Main St. can be cruisy) ","",55.342222,-131.646111,"Ketchikan","AK","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Northern Arizona Univ. ","Found","(Basement T-Room) (Library)","",35.190062,-111.657545,"Flagstaff","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Thorp Park","Found","Sunset & WE","",35.203668,-111.658355,"Flagstaff","AZ","Cruisy Area","Cruising Areas",1983,"checked","
",NA,NA
"'Rest Stop'","General Coordinates Used","NW on Hwy. 80","",35.198284,-111.651302,"Flagstaff","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Book Cellars","General Coordinates Used","(Cruisy *)","4715 W. Glendale",33.538652,-112.185987,"Glendale","AZ","(*),Cruisy Area","Book Store,Cruising Areas",1983,"checked","",NA,NA
"Pioneer Park","Found","","",33.417059,-111.819293,"Mesa","AZ","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Reed Park
","Found","","",33.40753,-111.796167,"Mesa","AZ","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Tri-City Mall","Found","","",33.414851,-111.873996,"Mesa","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Encanto Park","Found","","",33.476672,-112.089974,"Phoenix","AZ","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Greyhound Park","Found","Sundays are cruisy at Park 'n' Swap","",33.448021,-111.995404,"Phoenix","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Metro Center","Found","Shopping Complex - nr. ice rink","",33.575048,-112.121702,"Phoenix","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Papagp Park","Found","","",33.453877,-111.953395,"Phoenix","AZ","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"'Hitch-hikers'","General Coordinates Used","","Roosevelt St. ",33.448377,-112.074037,"Phoenix","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"'Hitch-hikers'","General Coordinates Used","","2nd St.",33.448377,-112.074037,"Phoenix","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Arizona Escort Service","General Coordinates Used","(602) 246-1692","",33.448377,-112.074037,"Phoenix","AZ","","Escort Service",1983,"checked","",NA,NA
"Gay/Lesbian Assistance & Info","General Coordinates Used","(602) 274-0927","",33.448377,-112.074037,"Phoenix","AZ","","Hotlines,Community Center/Support Groups",1983,"checked","",NA,NA
"Indian School Rd.","General Coordinates Used","56th to 68th - Canal Joggers","",33.448377,-112.074037,"Phoenix","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Preferred Escorts ","General Coordinates Used","(602) 258-EDEN","",33.448377,-112.074037,"Phoenix","AZ","","Escort Service",1983,"checked","",NA,NA
"Western Express","General Coordinates Used","(Publication) ","P.O. Box 32575, Phoenix, AZ 85064",33.448377,-112.074037,"Phoenix","AZ","","Publications",1983,"checked","",NA,NA
"Scott's of Prescott","General Coordinates Used","3 mi. NW on Iron Spring Rd. ","",34.540024,-112.468502,"Prescott","AZ","(H),(P)","Hotel",1983,"checked","",NA,NA
"Oak Creek Owl","General Coordinates Used","1/2 mi. S. of 89A on Ariz. 179","",34.86974,-111.76099,"Sedona","AZ","(M),(R)","Restaurant",1983,"checked","",NA,NA
"'K' Mart","General Coordinates Used","T-Room","",31.5455,-110.277286,"Sierra Vista","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"A.S.U. ","Found","(Student Union) (T-Rooms)","",33.417703,-111.934353,"Tempe","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"A.S.U. ","Found","(T-Rooms) (Library)","",33.41999,-111.930687,"Tempe","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Papago Park","Found","(Southern part)","",33.453632,-111.948693,"Tempe","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"'Rest Stop'","General Coordinates Used","Hwy 80 N.","",33.42551,-111.940005,"Tempe","AZ","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"A.S.U. ","General Coordinates Used","(T-Rooms) (Old Gym)","",33.42424,-111.928053,"Tempe","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"City Park","Found","T-Room","",31.713073,-110.068154,"Tombstone","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Back Pocket","Found","(Behind Joshua Tree) (Lunches too)","",32.251978,-110.972295,"Tucson","AZ","(R)","Restaurant",1983,"checked","formerly known as the Yard Dog: https://gaytucson.com/gay-bars/brodies-tavern-outdoor-bar/ ",NA,NA
"Himmel Park","Found","","",32.233876,-110.93315,"Tucson","AZ","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Reid Park","Found","Northside ","",32.210391,-110.918764,"Tucson","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Sears","Found","T-Room - Park Mall","",32.219844,-110.865518,"Tucson","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"U. of Arizona ","Found","(1st floor T-Room) (Econ. Bldg)","",32.232791,-110.954241,"Tucson","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"U. of Arizona ","Found","(Library)","",32.230875,-110.948848,"Tucson","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"'Hitch-hikers'","General Coordinates Used","E. Speedway","",32.222607,-110.974711,"Tucson","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"AGN","General Coordinates Used","(Publication) ","P.O. Box 5002 Tucson, Az 85703",32.222607,-110.974711,"Tucson","AZ","","",1983,"checked","",NA,NA
"Dignity","General Coordinates Used","(Church) ","Box 27929, Tuscon, AZ 85726",32.222607,-110.974711,"Tucson","AZ","","Religious Institution",1983,"checked","",NA,NA
"'Hitch-hikers'","Found","4th Ave. & Hwy. 8","",32.731581,-114.624535,"Yuma","AZ","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Joe Henry Park","Found","","",32.728158,-114.648609,"Yuma","AZ","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Yuma County Library","Found","","",32.673971,-114.645177,"Yuma","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Downtown","General Coordinates Used","Madison betw. Giss Pkwy & Main St.","",32.692651,-114.627692,"Yuma","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Yuma Downtown Mall","General Coordinates Used","","",32.692651,-114.627692,"Yuma","AZ","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"French Quarter","Found","(Downstairs) Old New Orleans Hotel","",36.401183,-93.737971,"Eureka Springs","AR","(M)","Hotel",1983,"checked","",NA,NA
"Sambo's","Found","","",36.082156,-94.171854,"Fayetteville","AR","Cruisy Area,(M),(R),(C),(AH)","Cruising Areas,Restaurant",1983,"checked","",NA,NA
"U. of Arkansas ","Found","(T-Room) (Old Main Hall)","",36.068685,-94.172907,"Fayetteville","AR","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"M.C.C. ","General Coordinates Used","(501) 839-2127","",36.066242,-94.157853,"Fayetteville","AR","(MCC)","Religious Institution",1983,"checked","",NA,NA
"6th & Garrison","Found","","",35.387237,-94.425237,"Ft. Smith","AR","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"'The Block'","General Coordinates Used","around Tradewinds Motel ","",35.385924,-94.398547,"Ft. Smith","AR","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"DeSoto Park","Found","T-Room","",34.536275,-93.029602,"Hot Springs","AR","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","DeSoto Park: https://www.cityhs.net/Facilities/Facility/Details/Desoto-Park-5",NA,NA
"Bath House Row","General Coordinates Used","(Central Ave)","",34.5037,-93.055179,"Hot Springs","AR","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Alsop Park","Found","(AYOR-'Fuzz' crackdown)","",34.762634,-92.315196,"Little Rock","AR","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Boyle Park","Found","","",34.731298,-92.355545,"Little Rock","AR","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Burns Park","Found","N. Little Rock","",34.797696,-92.309918,"Little Rock","AR","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"MacArthur Park","Found","","",34.735846,-92.264886,"Little Rock","AR","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Movie Arcade ","Found","('Peep shows')","3500 Asher ",34.728235,-92.312977,"Little Rock","AR","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"'Rest Stop'","General Coordinates Used","W. on I-40 (Gazebos)","",34.746481,-92.289595,"Little Rock","AR","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"'Rest Stop'","General Coordinates Used","(I-40)","",35.48703,-93.827696,"Ozark","AR","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Alhambra Park","Found","Rald Rd. at Larch nr. tennis courts ","",34.097197,-118.146304,"Alhambra","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Granada Park","Found","Clemente at Park","",34.068202,-118.145728,"Alhambra","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"La Palma Park","Found","T-Room","",33.84846,-117.922333,"Anaheim","CA","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Pearson Park","Found","T-Room","",33.836903,-117.919087,"Anaheim","CA","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Beach Park ","Found","","21st St.",35.379936,-119.040635,"Bakersfield","CA","Cruisy Area,(*)","Cruising Areas",1983,"checked","",NA,NA
"Beach Park ","Found","","Oaks St.",35.379936,-119.040635,"Bakersfield","CA","Cruisy Area,(*)","Cruising Areas",1983,"checked","",NA,NA
"Central Park","Found","","21st St.",35.374352,-119.008922,"Bakersfield","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Central Park","Found","","'R' St.",35.374352,-119.008922,"Bakersfield","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Weil Park ","Found","","",35.383413,-119.011125,"Bakersfield","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Aquatic Park","Found","Campers & vans","",37.859681,-122.298756,"Berkeley","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Lake Tamescal Park & Beach","Found","","",37.844054,-122.227332,"Berkeley","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"U. of C.","Found","(3rd Floor T-Room) (Doe Library)","",37.872207,-122.259237,"Berkeley","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"U. of C. ","Found","(Hearst Gym)","",37.869593,-122.256686,"Berkeley","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"White Horse","Found","(See Oakland)","",37.851827,-122.260559,"Berkeley","CA","(*)","Bars/Clubs",1983,"checked","White Horse Bar Website: https://whitehorsebar.com/  ;article about the nation's second oldest gay bar: https://bancroft.berkeley.edu/collections/gaybears/whitehorse/",NA,NA
"La Cienega Park","Found","behind tennis courts","",34.062182,-118.375702,"Beverly Hills","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Grey Squirrel Cabins","Found","","Box 5404, Big Bear Lake, CA 92315",34.238706,-116.94295,"Big Bear Lake","CA","(M),(H)","Hotel",1983,"checked","",NA,NA
"Discovery Park","Found","","",38.605763,-121.50348,"Bryte","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Buena Park Mall","Found","May Co. T-Room","",33.846378,-117.987244,"Buena Park","CA","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"'Truck Stop'","General Coordinates Used","on US 101 S. - east side","",37.57787,-122.34809,"Burlingame","CA","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Twin Oaks Ranch","General Coordinates Used","Rooms, bunkhouse, RV space, swim pool & sports (5805) 867-2326","Star Rte. Box 58 Caliente 93518",35.291243,-118.628667,"Caliente","CA","(AH),(BYOB),(R),(P)","Hotel,Restaurant",1983,"checked","",NA,NA
"Alligator Grill","General Coordinates Used","","68-572 Hwy. 111",33.780539,-116.466804,"Cathedral City","CA","(M),(R),(C)","Restaurant",1983,"checked","",NA,NA
"Blu Foxx","General Coordinates Used","","68-599 Hwy. 111",33.780539,-116.466804,"Cathedral City","CA","(R),(E),(*)","Restaurant",1983,"checked","",NA,NA
"BUN'S","General Coordinates Used","(Liquor)","68-657 Hwy. 111",33.780539,-116.466804,"Cathedral City","CA","","Restaurant,Bars/Clubs",1983,"checked","",NA,NA
"C.C. Construction Co. ","General Coordinates Used","(Disco)(Liquor)(Cruisy)","68-449 Perez Rd.",33.780539,-116.466804,"Cathedral City","CA","(W),(YC),(D),(*)","Bars/Clubs,Cruising Areas",1983,"checked","",NA,NA
"Club Palm Springs Baths","General Coordinates Used","","68-449 Perez Rd.",33.780539,-116.466804,"Cathedral City","CA","(*)","Bathhouses",1983,"checked","",NA,NA
"Desert Guide","General Coordinates Used","(Publication) ","P.O. Box 920, Cathedral City, CA 92234",33.780539,-116.466804,"Cathedral City","CA","","Publications",1983,"checked","",NA,NA
"Desert View Motel","General Coordinates Used","","68-560 2nd St.",33.780539,-116.466804,"Cathedral City","CA","(H)","Hotel",1983,"checked","",NA,NA
"Double Bar","General Coordinates Used","(Disco)","68-655 Hwy. 111",33.780539,-116.466804,"Cathedral City","CA","(D)","Bars/Clubs",1983,"checked","",NA,NA
"Bidwell Park","Found","Cedar Grover & upper part, by the river","",39.810313,-121.722796,"Chico","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Austin Beach Park","Found","T-Room (Clear Lake Highlands)","",38.96021,-122.647879,"Clear Lake","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Kneeling Park","Found","T-Room (Nice)","",39.121909,-122.855206,"Clear Lake","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Starlight Resort Motel","General Coordinates Used","(Spa, heated pool. Pvt. sundeck, (707) 998-3232","9495 E. Hwy. 20, Glenhaven, CA 95443",39.05819,-122.831015,"Clear Lake","CA","(*),(H),(M),(BA)","Hotel",1983,"checked","Called Starlite Restorty ",NA,NA
"Vista Point","General Coordinates Used","Hwy. 20 - T-Room (Clear Lake Highlands)","",39.05819,-122.831015,"Clear Lake","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Orange Coast College ","Found","(T-Rooms) (Fine Arts)","",33.668604,-117.91038,"Costa Mesa","CA","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"South Coast Plaza Shopping Center ","Found","(T-Rooms are AYOR)","",33.68892,-117.88779,"Costa Mesa","CA","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Orange Coast College ","General Coordinates Used","(Mens Phys Ed) (T-Rooms)","",33.671327,-117.911708,"Costa Mesa","CA","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"'T-Rooms'","General Coordinates Used","opp. Henry Danna St. Park","",33.467226,-117.698101,"Dana Point","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"U.C.D.","Found","(4th floor) (Shields Library)","",38.539647,-121.74959,"Davis","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"U.C.D. ","General Coordinates Used","(T Rooms) (TB5 Bldg.)","",38.538232,-121.761712,"Davis","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Stallion Oak Ranch","Found","(Resort)","P.O. Box 155, Descanso 92016",32.881859,-116.642473,"Descanso","CA","(P),(H)","Hotel",1983,"checked","",NA,NA
"Blue Heron","Found","","Hwy. 116",38.452962,-123.052684,"Duncan Mills","CA","(M),(R)","Restaurant",1983,"checked","Website: https://blueheronrestaurant.com/menu",NA,NA
"Dutch Treat","General Coordinates Used","Off Hwy. 80","",39.205959,-120.83781,"Dutch Flat","CA","(M),(R)","Restaurant",1983,"checked","",NA,NA
"Grossmont College","Found","(Student Center)","",32.815608,-117.005201,"El Cajon","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Grossmont College ","Found","(Quad Library)","",32.816944,-117.006295,"El Cajon","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Greyhound Bus Depot","General Coordinates Used","T-Room","",32.792,-115.563051,"El Centro","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Grape Day Park","Found","(Heritage Section)","",33.123954,-117.083381,"Escondido","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Eureka Boat Basin","Found","T-Room","",40.803738,-124.177284,"Eureka","CA","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Sequoia Park Zoo","Found","","",40.777042,-124.144658,"Eureka","CA","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Trinidad Beach St. Park","Found","21 mi. N. of Eureka 'BA' beach - 7/10 mi. N. of park entrance ","",41.058433,-124.149553,"Eureka","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"'Truck Stop'","General Coordinates Used","US 101 S.","",40.802071,-124.163673,"Eureka","CA","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Driftwood Tavern","General Coordinates Used","(WE*)","1st & ""C"" St.",40.802071,-124.163673,"Eureka","CA","(D),(Hip),(L),(PT),(W),(WE),(*)","Bars/Clubs",1983,"checked","",NA,NA
"Old Town ","General Coordinates Used","'Nights'","",40.802071,-124.163673,"Eureka","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Coyote Hills Regional Park","Found","","",37.556629,-122.09406,"Fremont","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Radio Park","Found","","1st & Clinton",36.771684,-119.773827,"Fresno","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Roeding Park","Found","","",36.755454,-119.823977,"Fresno","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Woodward Park","Found","","",36.872167,-119.78603,"Fresno","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Galaxy Roller Rink","Found","(Tues.)","",33.870977,-117.968612,"Fullerton","CA","Cruisy Area","Cruising Areas",1983,"checked","Galaxy Roller Rink 1982 poster: https://digital.library.cornell.edu/catalog/ss:21494601",NA,NA
"Hillcrest Park","Found","T-Rooms","",33.88271,-117.921239,"Fullerton","CA","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Stumptown Annie's Pizza ","Found","","Main St. ",38.513768,-122.98342,"Guerneville","CA","(R)","Restaurant",1983,"checked","",NA,NA
"Camelot Resort","General Coordinates Used","","4th & Mill",38.501858,-122.99611,"Guerneville","CA","(H)","Hotel",1983,"checked","",NA,NA
"Le Tenor","General Coordinates Used","(Should be a winner)","Mill & 4th",38.501858,-122.99611,"Guerneville","CA","(R)","Restaurant",1983,"checked","",NA,NA
"Russian River Resort","General Coordinates Used","(""RRR"")","Mill & 4th",38.501858,-122.99611,"Guerneville","CA","(H)","Hotel",1983,"checked","",NA,NA
"Wildwood Ranch","General Coordinates Used","(Resort)(Swim pool - 2 day min.) (707) 632-5321","P.O. Box 78, Guerneville 95446",38.501858,-122.99611,"Guerneville","CA","","Hotel",1983,"checked","",NA,NA
"Maze Stone Country Park","Found","4 1/2 mi. W. on Hwy. 74","",33.781393,-117.056477,"Hemet","CA","Cruisy Area","Cruising Areas",1983,"checked","Hemet Maze Stone: a prehistoric petroglyph https://www.atlasobscura.com/places/hemet-maze-stone",NA,NA
