"Year","status","lat","lon","description","streetaddress","city","state","amenityfeatures","type","notes","title","unclear_address","full.address","geoAddress"
2003,"General Coordinates Used",57.053219,-135.334551,"907/224-8946, 877/224-8946 some shared baths","","Sitka","AK","(GF),(NS),(WC)","Accommodations","",NA,NA,NA,NA
2003,"Found",35.030474,-114.59748,"Hwy 95 (nr Mohave Jct, S of town)","","Bullhead City","AZ","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
2003,"Found",35.203668,-111.658355,"","","Flagstaff","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",33.536495,-112.145189,"39th Ave (at Glendale), Glendale","","Glendale","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",33.694342,-112.187975,"I-17 N to Bell Rd (then W to 59th Ave), Glendale popular w/9-5ers","","Glendale","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",34.748422,-112.110041,"928/634-0701 full brkfst","","Jerome","AZ","(GF)","Accommodations","",NA,NA,NA,NA
2003,"Found",37.059747,-111.644157,"PO Box 5114, Page 86040 435/675-5828, 888/479-9419 8-person spa on deck","","Lake Powell","AZ","(GS)","Accommodations","",NA,NA,NA,NA
2003,"General Coordinates Used",33.448377,-112.074037,"800/422-5416 go online or call, hotel reservations at over 80 hotels & resorts, open daily","","Phoenix","AZ","","Accommodations","",NA,NA,NA,NA
2003,"Found",33.564211,-112.028863,"Squaw Peak Pkwy (off Northern) go E along driveway to the back- popular w/9-5ers","","Phoenix","AZ","(AYOR),Cruisy Area","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",33.650181,-112.100108,"602/266-0550 bi-weekly lgbt magazine","","Phoenix","AZ","","Publications","",NA,NA,NA,NA
2003,"General Coordinates Used",33.650181,-112.100108,"602/264-3646 bi-weekly lgbt newspaper","","Phoenix","AZ","","Publications","",NA,NA,NA,NA
2003,"General Coordinates Used",33.650181,-112.100108,"602/271-0202 entertainment guide","","Phoenix","AZ","","Publications","",NA,NA,NA,NA
2003,"General Coordinates Used",33.448377,-112.074037,"602/993-4567 Local Live Chat & Voice Personals! Hot local Men are waiting to meet you. FREE to record, Browse, & Respond to voice ads. Use code 5051","","Phoenix","AZ","","Men's Services","",NA,NA,NA,NA
2003,"Found",33.453632,-111.948693,"Galvin Pkwy (btwn McDowell Rd & Van Buren St)","","Phoenix","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",33.448377,-112.074037,"602/252-3333 The hottest local guys! 18+ Record & Listen FREE! Use access code 499","","Phoenix","AZ","","Men's Services","",NA,NA,NA,NA
2003,"General Coordinates Used",33.448377,-112.074037,"KISS 104.7 FM 602/279-5577 lgbt radio show 8pm-11pm Sun","","Phoenix","AZ","","Entertainment & Recreation","",NA,NA,NA,NA
2003,"General Coordinates Used",33.448377,-112.074037,"602/234-2752 (also TDD) info, meetings, library, youth services","","Phoenix","AZ","","Info Lines & Services","",NA,NA,NA,NA
2003,"Found",33.533435,-112.106293,"21st Ave (N of Bethany Home) nights","","Phoenix","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",33.650181,-112.100108,"602/266-0550 adult video reviews, classified ads, bar & club listings","","Phoenix","AZ","","Publications","",NA,NA,NA,NA
2003,"Found",34.548429,-112.468248,"","","Prescott","AZ","(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",34.613737,-112.44085,"Willow Creek Rd (3 miles S of Hwy 89)","","Prescott","AZ","(AYOR),Cruisy Area","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",34.824424,-111.805914,"928/282-2552, 800/321-8988 motel, jacuzzi","","Sedona","AZ","(MW),(WC)","Accommodations","",NA,NA,NA,NA
2003,"General Coordinates Used",32.222607,-110.974711,"520/578-3998","","Tucson","AZ","(GF),(NS),(SW)","Accommodations","",NA,NA,NA,NA
2003,"Found",32.259687,-110.874732,"","","Tucson","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",32.21477,-110.830294,"off Prudence (S of the Hilton Hotel) ","","Tucson","AZ","(AYOR),Cruisy Area","Cruising Areas","",NA,NA,NA,NA
2003,"Found",32.224537,-111.022954,"W Speedway beware of cacti","","Tucson","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",32.222607,-110.974711,"520/791-2345 Local Live Chat & Voice Personals! Hot local Men are waiting to meet you. FREE to Record, Browse & Respond to voice ads. Use code 5051","","Tucson","AZ","","Men's Services","",NA,NA,NA,NA
2003,"General Coordinates Used",32.222607,-110.974711,"520/881-4582 non-toxic/allergenic, full brkfst, massage available","","Tucson","AZ","(GS),(NS),(GO)","Accommodations","",NA,NA,NA,NA
2003,"Found",32.254982,-110.655338,"E on Tanque Verde Rd (to Upper Tanque Verde falls parking area)","","Tucson","AZ","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",32.222607,-110.974711,"520/622-7176","","Tucson","AZ","","Publications","",NA,NA,NA,NA
2003,"Found",35.759271,-91.637518,"","","Batesville","AR","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",35.875322,-93.912123,"Rte 16 (E of Elkins) 501/643-3307 6am-9pm","","Crossett","AR","(*)","Cafes","",NA,NA,NA,NA
2003,"Found",36.383818,-93.7398,"Hwy 23 S 479/253-7734 5pm-pm, clsd Sun, cont'l","","Eureka Springs","AR","","Restaurants","",NA,NA,NA,NA
2003,"Found",36.387825,-93.737229,"Hwy 62 (at Jct 23 S) 479/253-5241, 800/838-0109 3-story Victorian hotel","","Eureka Springs","AR","(GF),(SW),(WC)","Accommodations","",NA,NA,NA,NA
2003,"Found",36.405512,-93.756871,"Hwy 62 W 479/253-5282 seasonal, dinner Tue-Sat, full bar, Mediterranean","","Eureka Springs","AR","","Restaurants","",NA,NA,NA,NA
2003,"Found",36.38306,-93.738814,"888/933-4050 suites or cottage, jacuzzi","","Eureka Springs","AR","(GF),(GO)","Accommodations","",NA,NA,NA,NA
2003,"Found",36.314725,-93.658896,"Hwy 221 S & Kings River 479/253-5995, 800/298-5995 cottages, jacuzzi","","Eureka Springs","AR","(GF),(NS)","Accommodations","",NA,NA,NA,NA
2003,"Found",36.365083,-93.752049,"479/253-5877, 800/583-8043 full brkfst","","Eureka Springs","AR","(GS),(SW),(NS),(WC),(GO)","Accommodations","",NA,NA,NA,NA
2003,"General Coordinates Used",36.066242,-94.157853,"10 miles W of town nude beach","","Fayetteville","AR","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",36.135807,-94.144443,"take second left after the mail on your right check the woods","","Fayetteville","AR","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",34.239636,-93.19303,"Lakeside area afternoons in the woods","","Hot Springs","AR","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",34.53582,-93.02977,"Just out of town (off Central Ave) check out road across from the park","","Hot Springs","AR","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",36.036419,-93.57166,"501/665-4151 deluxe, 2-rm cabin, jacuzzi","","Huntsville","AR","(MW),(NS),(WC),(GO)","Accommodations","",NA,NA,NA,NA
2003,"Found",35.778498,-90.702406,"seasonal","","Jonesboro","AR","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",34.827811,-92.345685,"501/224-6769 (private home) 8pm Wed & 6pm Sun, call for more info","","Little Rock","AR","","Info Lines & Services","",NA,NA,NA,NA
2003,"General Coordinates Used",34.746481,-92.289595,"800/289-1489 Call for the local # nearest you! Hot men waiting to meet you! FREE to Record, Browse, & Respond  to voice ads. Use code 5051","","Little Rock","AR","","Men's Services","",NA,NA,NA,NA
2003,"Found",34.743637,-92.28223,"W 7th St (at Chester) 501/374-3761 plays & musicals on wknds","","Little Rock","AR","(BW),(GO)","Entertainment & Recreation","",NA,NA,NA,NA
2003,"General Coordinates Used",36.778261,-119.417932,"800/872-4500 reservation service","","","CA","(GF)","Accommodations","(statewide)",NA,NA,NA,NA
2003,"General Coordinates Used",33.836593,-117.914301,"714/703-9900 Local Live Chat & Voice Personals! Hot local Men are waiting to meet you. FREE to Record, Browse & Respond to voice ads. Use code 5051","","Anaheim","CA","","Men's Services","",NA,NA,NA,NA
2003,"General Coordinates Used",33.836593,-117.914301,"714/539-5500 The hottest local guys! 18+ Record & Listen FREE! Use access code 499","","Anaheim","CA","","Men's Services","",NA,NA,NA,NA
2003,"General Coordinates Used",33.836593,-117.914301,"900/505-6339 Talk and/or meet with other men from the area, at only 99c per minute","","Anaheim","CA","","Men's Services","",NA,NA,NA,NA
2003,"General Coordinates Used",33.836593,-117.914301,"714/636-9500 The city's hottest & wildest! all male voice club. Chat one on one! Use access code 5111","","Anaheim","CA","","Men's Services","",NA,NA,NA,NA
2003,"Found",33.87137,-117.763768,"La Palma Ave (exit Wilson, turn right) days","","Anaheim","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",34.270045,-118.338067,"Hwy 2, exit Angeles Crest Hwy, head N, turn left to UBTC Rd, turn right (btwn marker 4.5 & 4.8) little nude beach along creek","","Angeles Nat'l Forest","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",34.311826,-117.474614,"Rte. 66 (W of I-15) many warnings, including that the San Andreas fault will be directly under your feet","","Angeles Nat'l Forest","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",34.391664,-118.080904,"just SE of the road at the summit, btwn Pasadena & Palmdale","","Angeles Nat'l Forest","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",40.866517,-124.08284,"along Mad River (on N Bank Rd0) 6 miles N of Arcata","","Arcata","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",35.379928,-119.04058,"21st & Oak Sts","","Bakersfield","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",35.373292,-119.018712,"661/323-7311 recorded info, live 7pm-11:30pm support groups & community outreach","","Bakersfield","CA","","Info Lines & Services","",NA,NA,NA,NA
2003,"Found",36.485131,-118.404583,"5 miles to Forest Service land nude beach","","Bakersfield","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",35.332247,-119.043387,"Wilson & Real Rds (in the Kmart shopping ctr) 661/832-7111 7pm-2am, clsd Mon","","Bakersfield","CA","(MW),(D)","Nightclubs","",NA,NA,NA,NA
2003,"Found",34.238718,-116.942969,"909/866-4335, 800/381-5569 19 private rental homes","","Big Bear Lake","CA","(GF),(SW),(WC),(GO)","Accommodations","",NA,NA,NA,NA
2003,"Found",36.020602,-121.549324,"Hwy 1 831/667-2391 ocean view cabins (newly remodeled), restaurant, 'Rockslide Lounge', store","","Big Sur","CA","(GF)","Accommodations","",NA,NA,NA,NA
2003,"General Coordinates Used",36.456358,-121.923972,"10 miles S of crossroads (on right side of Hwy 1) nude sunbathing","","Carmel","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",36.5564,-121.924263,"Monte Verde (btwn 5th & 6th) 831/624-7917 Hansel & Gretel 1925 inn, full brkfst","","Carmel","CA","(GF),(NS),(WC)","Accommodations","",NA,NA,NA,NA
2003,"Found",36.554965,-121.930604,"","","Carmel","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",36.761951,-121.75177,"11am-9pm Fri-Sun","","Castroville","CA","","Restaurants","",NA,NA,NA,NA
2003,"Found",39.810313,-121.722796,"near cedar grove area","","Chico","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",32.687102,-117.117236,"Main St","","Chula Vista","CA","(GO)","Erotica","",NA,NA,NA,NA
2003,"General Coordinates Used",32.640054,-117.084195,"619/295-7766 Local Live Chat & Voice Personals! Hot local Men are waiting to meet you.FREE to Record, Browse & Respond to voice ads. Use code 5051","","Chula Vista","CA","","Men's Services","",NA,NA,NA,NA
2003,"Found",33.65683,-117.9144,"Hwy 55 S (exit Wilson, turn right) days","","Costa Mesa","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",41.75575,-124.202591,"at Front St days","","Crescent City","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",37.306734,-122.07464,"Foothill Blvd at first road turn left below the dam, go down, then go up to the top parking area on the right","","Cupertino","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",38.538232,-121.761712,"University Annex  530/752-2452 info, referrals, mtgs, call for hrs","","Davis","CA","(WC)","Info Lines & Services","",NA,NA,NA,NA
2003,"Found",37.863489,-122.253402,"510/540-5123","","East Bay","CA","(GS),(NS),(GO)","Accommodations","",NA,NA,NA,NA
2003,"Found",37.815247,-122.26499,"510/239-2239 x2576","","East Bay","CA","","Entertainment & Recreation","",NA,NA,NA,NA
2003,"General Coordinates Used",37.77493,-122.419415,"415/626-0260 bi-weekly, a 'must read' for Bay Area resources","","East Bay","CA","(*)","Publications","",NA,NA,NA,NA
2003,"General Coordinates Used",37.77493,-122.419415,"510/814-6699 The hottest local guys! 18+ Record & Listen FREE! Use access code 499","","East Bay","CA","","Men's Services","",NA,NA,NA,NA
2003,"General Coordinates Used",37.871523,-122.273042,"510/749-9966 The city's hottest & wildest all male voice club. Chat one on one! Use access code 5111","","East Bay","CA","","Men's Services","",NA,NA,NA,NA
2003,"General Coordinates Used",40.802071,-124.163673,"707/444-1061 (info line #) social/support group w/ info line","","Eureka","CA","","Info Lines & Services","",NA,NA,NA,NA
2003,"General Coordinates Used",40.802071,-124.163673,"on 'T' St","","Eureka","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",39.490405,-123.786055,"Mill Creek Dr, 707/964-6507 5pm-9pm, clsd Mon-Tue, Mexican","","Fort Bragg","CA","","Restaurants","",NA,NA,NA,NA
2003,"Found",37.54902,-121.962953,"Pasoe Padre & Stevenson trails right of lake & parking lot","","Fremont","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",36.737798,-119.787125,"US 99 (at Kingsburg, S of Fresno) go to cheap motel next to rest area; rest stop activity discouraged","","Fresno","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",36.737798,-119.787125,"559/261-2221 Local Live Chat & Voice Personals! Hot local Men are waiting to meet you. FREE to Record, Browse & Respond to voice ads. Use code 5051","","Fresno","CA","","Men's Services","",NA,NA,NA,NA
2003,"General Coordinates Used",36.737798,-119.787125,"559/271-9999 The hottest local guys! 18+ Record & Listen FREE! Use access code 499","","Fresno","CA","","Men's Services","",NA,NA,NA,NA
2003,"Found",40.262258,-123.877741,"707/943-3198 campsites, RV, located off the Avenue of the Giants on the Eel River","","Garberville","CA","(GF)","Accommodations","",NA,NA,NA,NA
2003,"Found",38.507126,-122.884106,"on Russian River at Wohler Bridge, Guerneville","","Guerneville","CA","","Bookstores","",NA,NA,NA,NA
2003,"Found",37.673319,-122.083523,"btwn Main & Mission, 'A' & 'B' Sts, evenings","","Hayward","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",38.604551,-122.886592,"707/433-4231, 800/258-4003 full brkfst, elegant Victorian Inn","","Healdsburg","CA","(GF),(F),(SW),(NS),(WC)","Accommodations","",NA,NA,NA,NA
2003,"Found",34.116334,-118.342496,"Mulholland Dr (W from Hollywood Fwy) top of observation deck","","Hollywood","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",33.742189,-116.712465,"909/659-0111 full brkfst, patio, also conference ctr","","Idyllwild","CA","(GS),(GO),(NS)","Accommodations","",NA,NA,NA,NA
2003,"Found",32.87972,-117.236195,"UCSD Price Center #76 (at Voight), La Jolla 858/450-2141 7am-11pm","","La Jolla","CA","","Cafes","",NA,NA,NA,NA
2003,"Found",32.877134,-117.2401,"UCSD Student Center 0323 (at Gilman Dr), La Jolla 858/452-9625 10am-8pm, till 5pm Fri-Sat, clsd Sun, alternative, lgbt section","","La Jolla","CA","(WC)","Bookstores","",NA,NA,NA,NA
2003,"General Coordinates Used",33.542719,-117.785357,"714/556-4555 (AA#)","","Laguna Beach","CA","(GF),(NS)","Info Lines & Services","",NA,NA,NA,NA
2003,"Found",33.543449,-117.790425,"N side of park also take path to ocean, then climb over the rocks to the right","","Laguna Beach","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",33.568992,-117.761755,"949/494-4898","","Laguna Beach","CA","","Publications","",NA,NA,NA,NA
2003,"General Coordinates Used",38.939926,-119.977187,"530/544-4411, 800/431-4411 full brkfst, hot tub, fireplaces","","Lake Tahoe","CA","(GS),(NS),(GO)","Accommodations","",NA,NA,NA,NA
2003,"General Coordinates Used",38.939926,-119.977187,"btwn Rufus Allen Blvd & Lakeview, South Lake Tahoe","","Lake Tahoe","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",38.939926,-119.977187,"530/544-7050","","Lake Tahoe","CA","(GS),(NS),(GO)","Accommodations","",NA,NA,NA,NA
2003,"General Coordinates Used",38.958716,-119.942691,"off Pine St (nr Park), South Lake Tahoe private beach behind resorts ","","Lake Tahoe","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",38.939926,-119.977187,"530/577-6073, 800/700-3802 cozy, romantic chalet, hot tub","","Lake Tahoe","CA","(MW),(NS),(GO)","Accommodations","",NA,NA,NA,NA
2003,"Found",34.740631,-118.203863,"Ave 'G' & 50 W","","Lancaster","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",34.054908,-118.243685,"PO Box 41-1059 90041 323/256-6639 bilingual gay/lesbian magazine","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2003,"General Coordinates Used",34.052234,-118.243685,"323/255-1021 bilingual lgbt magazine","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2003,"General Coordinates Used",34.052234,-118.243685,"323/655-5716 hip gay newspaper w/ club listings","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2003,"General Coordinates Used",34.052234,-118.243685,"323/848-2222 huge lgbt news magazine w/ listings for everything","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2003,"General Coordinates Used",34.052234,-118.243685,"323/467-9741, 800/636-7464","","Los Angeles","CA","","Entertainment & Recreation","",NA,NA,NA,NA
2003,"General Coordinates Used",33.953747,-118.412621,"KPFK LA 90.7 FM 818/985-2711 7pm Mon","","Los Angeles","CA","","Entertainment & Recreation","",NA,NA,NA,NA
2003,"General Coordinates Used",33.953747,-118.412621,"323/848-2200 gay news & entertainment magazine for LA","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2003,"General Coordinates Used",33.953747,-118.412621,"818/996-700 Local Live Chat & Voice Personals! Hot local Men are waiting to meet you. FREE to Record, Browse and Respond to voice ads. Use code 5051","","Los Angeles","CA","","Men's Services","",NA,NA,NA,NA
2003,"General Coordinates Used",34.10174,-118.311788,"888/682-0166","","Los Angeles","CA","","Info Lines & Services","",NA,NA,NA,NA
2003,"General Coordinates Used",33.953747,-118.412621,"323/874-8788 all the dish on LA's club scene","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2003,"Found",34.062102,-118.347977,"323/960-9200 lgbt media arts foundation that supports the annual lgbt film festival each July (see Film Festival Calendar in back Events section) ","","Los Angeles","CA","","Entertainment & Recreation","",NA,NA,NA,NA
2003,"Found",34.023018,-118.50946,"Ocean Ave (between Montana & Adelaide) after 2am","","Los Angeles","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",34.052234,-118.243685,"818/953-5072 lgbt theater listings","","Los Angeles","CA","","Entertainment & Recreation","",NA,NA,NA,NA
2003,"General Coordinates Used",33.953747,-118.412621,"310/854-6666, 323/734-7822 The hottest local guys! 18+ Record & Listen FREE! Use access code 499","","Los Angeles","CA","","Men's Services","",NA,NA,NA,NA
2003,"General Coordinates Used",34.089721,-118.370293,"900/505-6338  Talk and/or connect with other men from the area, at only 99c per minute","","Los Angeles","CA","","Men's Services","",NA,NA,NA,NA
2003,"General Coordinates Used",34.089721,-118.370293,"310/657-9090, 323/467-9090 The city's hottest and wildest all male voice club. Chat one on one! Use access code 5111","","Los Angeles","CA","","Men's Services","",NA,NA,NA,NA
2003,"Found",34.050633,-118.512137,"Hwy 1 (N of Santa Monica), Malibu","","Malibu","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",34.021802,-118.83119,"Westward Beach Rd (N of Kaman), Malibu","","Malibu","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",37.82433,-122.50869,"take last exit before GG Bridge, go right on Outlook Rd, look for dirt parking lot, Golden Gate Nat'l Rec Area, popular nude beach, look for trail","","Marin County","CA","","Accommodations","",NA,NA,NA,NA
2003,"General Coordinates Used",38.083403,-122.763304,"415/927-2644 cottage","","Marin County","CA","(GS),(GO)","Accommodations","",NA,NA,NA,NA
2003,"Found",39.14156,-121.604105,"","","Marysville","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",39.307532,-123.800041,"800/262-7801, 707/937-5033","","Mendocino","CA","(GF)","Accommodations","",NA,NA,NA,NA
2003,"Found",39.300047,-123.79064,"Coast Hwy 1 & Comptche-Ukiah Rd 707/937-5615, 800/331-8884 full brkfst, fireplaces","","Mendocino","CA","(GF),(SW),(NS),(WC)","Accommodations","",NA,NA,NA,NA
2003,"Found",37.313099,-120.479231,"off 'M' St","","Merced","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",34.033319,-118.059225,"N end","","Montebello","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",36.600238,-121.894676,"831/373-3713 (AA#) call for times & locations","","Monterey","CA","","Info Lines & Services","",NA,NA,NA,NA
2003,"Found",35.369419,-120.86768,"along Embarcadero, Morro Bay late","","Morro Bay","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",38.419849,-122.389017,"Napa 707/944-4444 reservation service","","Napa","CA","(GF)","Accommodations","",NA,NA,NA,NA
2003,"Found",33.207395,-117.347704,"on Mesa Dr wknds","","Oceanside","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",34.197718,-119.248418,"5th St (past Harbor Blvd) head to sand dunes","","Oxnard","CA","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",33.830296,-116.545292,"760/324-4880 (AA#) ","","Palm Springs","CA","","Info Lines & Services","",NA,NA,NA,NA
2003,"General Coordinates Used",33.830296,-116.545292,"800/422-5416 go online or call, hotel reservations at over 80 hotel & resorts, open daily","","Palm Springs","CA","","Accommodations","",NA,NA,NA,NA
2003,"General Coordinates Used",33.830296,-116.545292,"760/320-3237 lgbt weekly","","Palm Springs","CA","","Publications","",NA,NA,NA,NA
2003,"General Coordinates Used",33.830296,-116.545292,"800/615-7805 7am-9pm, 8am-5pm Sat, 10am-4pm Sun, hotel reservation service","","Palm Springs","CA","","Accommodations","",NA,NA,NA,NA
2003,"General Coordinates Used",33.830296,-116.545292,"760/323-4848 weekly rental","","Palm Springs","CA","(GF),(SW),(GO)","Accommodations","",NA,NA,NA,NA
2003,"General Coordinates Used",33.830296,-116.545292,"978/934-9931 covers hotels & B&Bs, also W Hollywood & Boston, MA","","Palm Springs","CA","","Accommodations","",NA,NA,NA,NA
2003,"General Coordinates Used",33.830296,-116.545292,"Call for the local # nearest you! Hot men waiting to meet you! Hot men waiting to meet you! FREE to Record, Browse, & Respond to voice ads. Use code 5051","","Palm Springs","CA","","Men's Services","",NA,NA,NA,NA
