"Year","status","lat","lon","description","streetaddress","city","state","amenityfeatures","type","notes","title","unclear_address","full.address","geoAddress"
2002,"General Coordinates Used",34.86974,-111.76099,"928/204-2083 lesbian-owned/ run ","","Sedona","AZ","(MW),(NS),(GO)","Accommodations","",NA,NA,NA,NA
2002,"General Coordinates Used",32.222607,-110.974711,"520/624-4183 many mtgs, call for schedule ","","Tucson","AZ","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",32.222607,-110.974711,"520/578-3998 ","","Tucson","AZ","(GF),(NS),(SW)","Accommodations","",NA,NA,NA,NA
2002,"Found",32.249865,-110.907863,"520/790-5775 'beer bust' 3rd Sat at Venture-N ","","Tucson","AZ","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",32.222607,-110.974711,"800/346-5592 gay realtor at your service, no rentals","","Tucson","AZ","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",32.259687,-110.874732,"","","Tucson","AZ","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",32.21477,-110.830294,"off Prudence (S of the Hilton Hotel)","","Tucson","AZ","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",32.224537,-111.022954,"W Speedway beware of cacti ","","Tucson","AZ","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",32.222607,-110.974711,"520/791-2345 100% LOCAL! Hot local men waiting to meet you! FREE to Record, Browse & Respond to voice ads. Use code 5050. ","","Tucson","AZ","","Men's Services","",NA,NA,NA,NA
2002,"General Coordinates Used",32.222607,-110.974711,"520/881-4582 non-toxic/ allergenic, full brkfst, massage available ","","Tucson","AZ","(M),(NS),(GO)","Accommodations","",NA,NA,NA,NA
2002,"Found",32.254982,-110.655338,"E on Tanque Verde Rd (to Upper Tanque Verde Falls parking area)","","Tucson","AZ","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",32.222607,-110.974711,"520/770-1000 Meet locals for fun times. 18+ Record & Listen FREE! Use access code 499. ","","Tucson","AZ","","Men's Services","",NA,NA,NA,NA
2002,"General Coordinates Used",32.222607,-110.974711,"520/622-7176 ","","Tucson","AZ","","Publications","",NA,NA,NA,NA
2002,"Found",34.747235,-92.290914,"800/628-8725","","","AR","","Info Lines & Services","Statewide ",NA,NA,NA,NA
2002,"Found",35.759271,-91.637518,"","","Batesville","AR","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",35.875322,-93.912123,"Rte 16  (E of Elkins) 501/643-3307 6am-9pm ","","Crossett","AR","(*)","Cafes","",NA,NA,NA,NA
2002,"Found",36.383818,-93.7398,"Hwy 23 S 501/253-7734 5pm-9pm, clsd Sun, cont'l ","","Eureka Springs","AR","","Restaurants","",NA,NA,NA,NA
2002,"Found",36.387825,-93.737229,"Hwy 62 E (at Jct 23 S) 501/253-5241, 800/828-0109 3-story Victorian hotel","","Eureka Springs","AR","(GF),(SW),(WC)","Accommodations","",NA,NA,NA,NA
2002,"Found",36.405512,-93.756871,"Hwy 62 W 501/253-5282 seasonal, dinner Tue-Sat, full bar, Mediterranean ","","Eureka Springs","AR","","Restaurants","",NA,NA,NA,NA
2002,"Found",36.381487,-93.730641,"501/253-5283 exclusively lgbt, kitchen, some shared baths","","Eureka Springs","AR","(MW),(WC),(GO)","Accommodations","",NA,NA,NA,NA
2002,"Found",36.38306,-93.738814,"888/281-5488 suites or cottage, jacuzzi ","","Eureka Springs","AR","(GF),(GO)","Accommodations","",NA,NA,NA,NA
2002,"Found",36.314725,-93.658896,"Hwy 221 S Kings River 501/253-5995, 800/298-5995 cottages, jacuzzi ","","Eureka Springs","AR","(GF),(NS)","Accommodations","",NA,NA,NA,NA
2002,"Found",36.365083,-93.752049,"501/253-5877, 800/583-8043 full brkfst ","","Eureka Springs","AR","(GS),(SW),(NS),(WC),(GO)","Accommodations","",NA,NA,NA,NA
2002,"General Coordinates Used",36.066242,-94.157853,"10 miles W of town nude beach","","Fayetteville","AR","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",36.135807,-94.144443,"take second left after the mall on your right check the woods ","","Fayetteville","AR","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",34.239636,-93.19303,"Lakeside area afternoon in the woods ","","Hot Springs","AR","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",34.53582,-93.02977,"just our of town (off Central Ave) check out road across from the park ","","Hot Springs","AR","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",36.036419,-93.57166,"501/665-4151 dluxe 2-rm cabin, jacuzzi ","","Huntsville","AR","(MW),(NS),(WC),(GO)","Accommodations","",NA,NA,NA,NA
2002,"Found",35.778498,-90.702406,"seasonal","","Jonesboro","AR","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",34.827811,-92.345685,"501/224-6769 (private home) 8pm Wed & 6pm Sun, call for more info","","Little Rock","AR","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",34.797696,-92.309918,"Hwy 365 just outside of town, North Little Rock early evening","","Little Rock","AR","Cruisy Area,(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",34.746481,-92.289595,"800/346-5592 gay realtor at your service, no rentals","","Little Rock","AR","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",34.746481,-92.289595,"800/289-1489 Call for the local # nearesr you! Hot men waiting to meet you! FREE to Record, Browse, & Respond to voice ads. Use code 5050 ","","Little Rock","AR","","Men's Services","",NA,NA,NA,NA
2002,"Found",34.743637,-92.28223,"W 7th St at Chester 501/374-3761 plays & musicals on wknds","","Little Rock","AR","(BW),(GO)","Entertainment & Recreation","",NA,NA,NA,NA
2002,"General Coordinates Used",36.778261,-119.417932,"800/872-4500 reservation service","","","CA","(GF)","Accommodations","",NA,NA,NA,NA
2002,"General Coordinates Used",33.836593,-117.914301,"714-703-9900 100% LOCAL! Hot local men waiting to meet you! FREE to Record, Browse & Respond to voice ads. Use code 5050","","Anaheim","CA","","Men's Services","",NA,NA,NA,NA
2002,"General Coordinates Used",33.836593,-117.914301,"714/539-5500 Meet locals for fun times. 18+ Record & Listen FREE! Use access code 499","","Anaheim","CA","","Men's Services","",NA,NA,NA,NA
2002,"General Coordinates Used",33.836593,-117.914301,"900/505-6339 Talk and/or meet with other men from the area, at only 99¢ per minute","","Anaheim","CA","","Men's Services","",NA,NA,NA,NA
2002,"Found",33.87137,-117.763768,"La Palma Ave (exit Wilson, turn right) days","","Anaheim","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",34.270045,-118.338067,"Hwy 2, exit Angeles Crest Hwy, Head N, turn left to UBTC Rd, turn right (btwn marker 4.5 & 4.8) little nude beach along creek","","Angeles Nat'l Forest","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",34.311826,-117.474614,"Rte 66 (W of I-15) many warnings, including that the San Andreas fault will be directly under your feet!","","Angeles Nat'l Forest","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",34.391664,-118.080904,"Just SE of the road at the summit, btwn Pasadena and Palmdale","","Angeles Nat'l Forest","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",35.379928,-119.04058,"","21st & Oak Sts","Bakersfield","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",35.373292,-119.018712,"661/323-7311 7pm-11:30pm, support groups & community outreach","","Bakersfield","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",36.485131,-118.404583,"5 miles to Forest service land  nude beach","","Bakersfield","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",34.238718,-116.942969,"909-866-4335, 800/381-5569 19 private rental homes","","Big Bear Lake","CA","(GF),(SW),(WC),(GO)","Accommodations","",NA,NA,NA,NA
2002,"Found",36.020602,-121.549324,"Hwy 1 831/667-2391 ocean view cabins (newly remodeled), restaurant, 'Rockslide Lounge', store","","Big Sur","CA","(GF)","Accommodations","",NA,NA,NA,NA
2002,"Found",36.5564,-121.924263,"831/624-7917 Hansel & Gretel 1925 inn, full brkfst","","Carmel","CA","(GF),(NS),(WC)","Accommodations","",NA,NA,NA,NA
2002,"Found",32.687102,-117.117236,"Main St ","","Chula Vista","CA","(GO)","Erotica","",NA,NA,NA,NA
2002,"General Coordinates Used",32.640054,-117.084195,"619/295-7766 100% LOCAL! Hot local men waiting to meet you! FREE to Record, Browse & Respond to voice ads. Use code 5050","","Chula Vista","CA","","Men's Services","",NA,NA,NA,NA
2002,"Found",33.65683,-117.9144,"Hwy 55 S (exit Wilson, turn right) days","","Costa Mesa","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",37.306734,-122.07464,"Foothill Blvd at first road turn left below the dam, go down, then go up to the top parking area on the right","","Cupertino","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",38.538232,-121.761712,"University Annex 530/752-2452 info, referrals, mtgs, call for hrs","","Davis","CA","(WC)","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",37.871523,-122.273042,"800/346-5592 gay realtor at your service, no rentals","","East Bay","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",37.863489,-122.253402,"510/540-5123","","East Bay","CA","(GS),(NS),(GO)","Accommodations","",NA,NA,NA,NA
2002,"Found",37.815247,-122.26499,"510/547-0425","","East Bay","CA","","Entertainment & Recreation","",NA,NA,NA,NA
2002,"General Coordinates Used",37.77493,-122.419415,"415/626-0260 bi-weekly, a 'must read' for Bay Area resources & personals","","East Bay","CA","(*)","Publications","",NA,NA,NA,NA
2002,"General Coordinates Used",40.802071,-124.163673,"707/445-9760, 707/444-1061 hrs vary, call first, various services","","Eureka","CA","(WC)","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",39.490405,-123.786055,"Mill Creek Dr 707/964-6507 5pm-9pm, clsd Mon-Tue, Mexican","","Fort Bragg","CA","","Restaurants","",NA,NA,NA,NA
2002,"Found",37.54902,-121.962953,"Pasoe Padre & Stevenson trails right of lake & parking lot","","Fremont","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",36.737798,-119.787125,"559/266-5465 lgbt support, also publishes 'Pink Pages'","","Fresno","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",40.262258,-123.877741,"707/943-3198 campsites, RV, located off the Avenue of the Giants on the Eel River","","Fresno","CA","(GF)","Accommodations","",NA,NA,NA,NA
2002,"General Coordinates Used",36.737798,-119.787125,"US 99 (at Kingsburg, S of Fresno) go to cheap motel next to rest area; rest stop activity discouraged","","Fresno","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",36.737798,-119.787125,"","","Fresno","CA","","Men's Services","",NA,NA,NA,NA
2002,"Found",38.507126,-122.884106,"on Russian River at Wohler Bridge","","Guerneville","CA","","Entertainment & Recreation","",NA,NA,NA,NA
2002,"Found",37.673319,-122.083523,"btwn Main ft Mission, 'A' 1 & 'B' Sts evenings","","Hayward","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",37.673473,-122.083816,"Main St (at 'A') 510/881-9877 10am-2am, patio","","Hayward","CA","(MW),(D),(E)","Bars","",NA,NA,NA,NA
2002,"Found",38.604551,-122.886592,"707/433-4231 800/258-4003 full brkfst, elegant Victorian inn","","Healdsburg","CA","(GF),(F),(SW),(NS),(WC)","Accommodations","",NA,NA,NA,NA
2002,"General Coordinates Used",34.090732,118.326615,"800/346-5592 gay realtor at your service, no rentals","","Hollywood","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",34.116334,-118.342496,"Mulholland Dr (W from Hollywood Fwy) top of observation deck ","","Hollywood","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",33.742189,-116.712465,"909/659-0111 full brkfst, patio, also conference ctr","","Idyllwild","CA","(GS),(NS),(GO)","Accommodations","",NA,NA,NA,NA
2002,"Found",32.87972,-117.236195,"UCSD Price Center #76 (at Voight) 858/450-2141 7am-midnight","","La Jolla","CA","","Cafes","",NA,NA,NA,NA
2002,"Found",32.877134,-117.2401,"UCSD Student Center 0323 (at Gilman Dr), La Jolla 858/452-9625 9am-7pm,  10am-6pm Fri-Sat, clsd Sun, alternative, Igbt section ","","La Jolla","CA","(WC)","Bookstores","",NA,NA,NA,NA
2002,"General Coordinates Used",33.542719,-117.785357,"949/346-5592 gay realtor at your service, no rentals","","Laguna Beach","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",33.543449,-117.790425,"N side of park. also take path to the ocean, then climb over the rocks to the right","","Laguna Beach","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",33.510027,-117.752554,"949/497-4237 educational/social group for Orange County, call for details","","Laguna Beach","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",33.568992,-117.761755,"949/494-4898","","Laguna Beach","CA","","Publications","",NA,NA,NA,NA
2002,"General Coordinates Used",33.542719,-117.785357,"","","Laguna Beach","CA","","Entertainment & Recreation","",NA,NA,NA,NA
2002,"Found",33.926928,-118.154263,"","Ave G & 50 W","Lake Tahoe","CA","(AYOR)","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",38.939926,-119.977187,"530/544-4411, 800/431-4411 full brkfst, hot tub, fireplaces","","Lake Tahoe","CA","(GS),(NS),(GO)","Accommodations","",NA,NA,NA,NA
2002,"General Coordinates Used",38.939926,-119.977187,"South Lake Tahoe 530/577-6073, 800/700-3802 cozy, romantic chalet, hot tub","","Lake Tahoe","CA","(MW),(GO)","Accommodations","",NA,NA,NA,NA
2002,"Found",38.942325,-119.955799,"530/544-0549, 800/777-0914 private cabins Et cottages","","Lake Tahoe","CA","(GS)","Accommodations","",NA,NA,NA,NA
2002,"General Coordinates Used",33.783824,-118.11409,"800/346-5592 gay realtor at your service, no rentals","","Long Beach","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",34.052234,-118.243685,"213/427-3905 social/ support group for gay/ bi/ trans Filipino men","","Los Angeles","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",34.087308,-118.358131,"323/850-8958 (hotline)","","Los Angeles","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",34.052234,-118.243685,"800/346/5592 gay realtor at your service, no rentals","","Los Angeles","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",34.052234,-118.243685,"800/346-5592 gay realtor at your service, no rentals","","Los Angeles","CA","","Info Lines & Services","Listed under ""LA - Valley"".",NA,NA,NA,NA
2002,"General Coordinates Used",34.052234,-118.243685,"800/346-5592 gay realtor at your service, no rentals","","Los Angeles","CA","","Info Lines & Services","Listed under ""LA - West LA & Santa Monica""",NA,NA,NA,NA
2002,"General Coordinates Used",34.052234,-118.243685,"323/848-3033 annual survival guide to lgbt southern CA","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2002,"General Coordinates Used",34.052234,-118.243685,"323/655-5716 hip gay newspaper w/club listings","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2002,"General Coordinates Used",34.052234,-118.243685,"323/848-2222 huge lgbt newsmagazine w/listings for everything","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2002,"General Coordinates Used",34.052234,-118.243685,"213/368-6488 social/ support group for gay/bi Asian/ Pacific Islander men, call for events","","Los Angeles","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",34.052234,-118.243685,"323/650-0756, 800/636/7464","","Los Angeles","CA","","Entertainment & Recreation","",NA,NA,NA,NA
2002,"General Coordinates Used",34.052234,-118.243685,"213/243/9443 social/support group, call for events","","Los Angeles","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"General Coordinates Used",33.953747,-118.412621,"KPFK LA 90.7 FM 818/985-2711 7pm Mon","","Los Angeles","CA","","Entertainment & Recreation","",NA,NA,NA,NA
2002,"General Coordinates Used",33.953747,-118.412621,"323/848-2200 gay news & entertainment magazine for LA","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2002,"General Coordinates Used",33.953747,-118.412621,"818/996-7000 100% LOCAL! Hot local men waiting to meet you! FREE to Record, Browse & Respond to voice ads. Use code 5050","","Los Angeles","CA","","Men's Services","Listed under ""LA - Valley"".",NA,NA,NA,NA
2002,"General Coordinates Used",33.953747,-118.412621,"323/462-5400 club listings","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2002,"General Coordinates Used",33.953747,-118.412621,"323/878/8788 all the dish on LA's club scene","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2002,"Found",34.062102,-118.347977,"323/960-9200 Igbt media arts foundation that sponsors the annual Igbt film festival each July (see Film Festival Calendar in back Events section)","","Los Angeles","CA","","Entertainment & Recreation","",NA,NA,NA,NA
2002,"General Coordinates Used",33.953747,-118.412621,"310/272-1212 Meet locals for fun times. 18+ Record & Listen FREE! Use access code 499","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2002,"General Coordinates Used",33.953747,-118.412621,"900/505-6338 Talk and/or meet with other men from the area, at only 99¢ per minute","","Los Angeles","CA","","Publications","",NA,NA,NA,NA
2002,"Found",34.050633,-118.512137,"Hwy 1 (North of Santa Monica)","","Malibu","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",34.021802,-118.83119,"Westward Beach Rd (N of Kaman)","","Malibu","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",38.083403,-122.763304,"415/492-1500 monthly lgbt newspaper","","Marin County","CA","","Publications","",NA,NA,NA,NA
2002,"Found",39.146766,-121.588173,"","","Marysville","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",39.14156,-121.604105,"","","Marysville","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",39.307532,-123.800041,"800/262-7801, 707/937-5033 9am-6pm, call for available rentals","","Mendocino","CA","(GF)","Accommodations","",NA,NA,NA,NA
2002,"Found",37.313099,-120.479231,"off M St","","Merced","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"Found",34.033319,-118.059225,"N end","","Montebello","CA","(AYOR),Cruisy Area","Cruisy Areas","",NA,NA,NA,NA
2002,"General Coordinates Used",36.600238,-121.894676,"831/373-3713 (AA#) call for times & locations","","Monterey","CA","","Info Lines & Services","",NA,NA,NA,NA
2002,"Found",38.419849,-122.389017,"707/944-4444 reservation service","","Napa","CA","(GF)","Accommodations","",NA,NA,NA,NA
2002,"General Coordinates Used",38.427432,-122.39433,"707/967-9347 1-bdrm cabin","","Napa Valley","CA","(MW),(GO)","Accommodations","",NA,NA,NA,NA
2002,"Found",34.172379,-118.364532,"Burbank Blvd (btwn Cahuenga & Vineland) 818/760-9031 4pm-2am, from noon wknds","","North Hollywood","CA","(M),(NH),(K)","Bars","",NA,NA,NA,NA
