"status","description","streetaddress","city","amenityfeatures","type","Year","notes","title","state","unclear_address","full.address","lon","lat","geoAddress"
"Found","Mugar Hall","","Boston","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Washington St.","Boston","(M)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Washington St.","Boston","(M)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Washington St.","Boston","(M)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. ''Other Side and Nineties'","","Boston","(HIP),(YC)","Bars/Clubs",1774,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. ''Other Side and Nineties'","","Boston","(HIP),(YC)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","between ""Nineties"" and ""Other Side""","","Boston","(E)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. ''Other Side and Nineties'","","Boston","","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. 'Nineties' and 'Other Side'","","Boston","(E)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","Tremont & School Sts","","Boston","(M),(PE)","Hotels,Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA,NA
"Found","(summers)","","Boston","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Summers)","","Boston","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Summers)","","Boston","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Summers)","","Boston","Cruisy Area,(AYOR)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1774,"",NA,NA,NA,NA,NA,NA,NA
"Found","(summers)","","Boston","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Charles & Chestnut","Boston","(YC),(R)","Restaurant",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Charles & Chestnut","Boston","(R)","Restaurant",1966,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Charles & Chestnut","Boston","(R),(M)","Restaurant",1968,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Charles & Chestnut","Boston","(R),(M)","Restaurant",1970,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Charles & Chestnut","Boston","(R),(M)","Restaurant",1969,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Charles & Chestnut","Boston","(R),(M)","Restaurant",1971,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Huntington St.","Boston","(M)","Bars/Clubs,Cruising Areas",1966,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Cambridge & Irving","Boston","(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Cambridge & Irving","Boston","(*)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Cambridge & Irving","Boston","(*)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA,NA
"Found","nr. Irving","228 Cambridge ","Boston","(*)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Cambridge & Irving","Boston","(*),(SM)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Top cruise bar) (Some W,YC) (Opposite Holiday Inn-no sign, but you can't miss it-good Sunday afternoons)  near Blossom Street","228 Cambridge","Boston","(*),(W),(YC),(PT)","Cruising Areas,Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","(balcony)","","Boston","Cruisy Area","Cruising Areas,Theatre",1977,"See http://cinematreasures.org/theaters/6328 for more info about this location.",NA,NA,NA,NA,NA,NA,NA
"Found","balcony","","Boston","Cruisy Area","Cruising Areas",1980,"See http://cinematreasures.org/theaters/6328 for more info about this location.",NA,NA,NA,NA,NA,NA,NA
"Found","balcony","","Boston","Cruisy Area","Cruising Areas,Theatre",1979,"See http://cinematreasures.org/theaters/6328 for more info about this location.",NA,NA,NA,NA,NA,NA,NA
"Found","balcony","","Boston","Cruisy Area","Cruising Areas,Theatre",1978,"See http://cinematreasures.org/theaters/6328 for more info about this location.",NA,NA,NA,NA,NA,NA,NA
"Found","Statler-Hilton Hotel Bar Park Square","","Boston","(PE),(M)","Bars/Clubs,Hotels",1970,"See https://en.wikipedia.org/wiki/Boston_Park_Plaza for more info about this location.",NA,NA,NA,NA,NA,NA,NA
"Found","Park Square","","Boston","(PE),(M)","Bars/Clubs,Hotels",1969,"See https://en.wikipedia.org/wiki/Boston_Park_Plaza for more info about this location.",NA,NA,NA,NA,NA,NA,NA
"Found","Park Square","","Boston","","Bars/Clubs,Hotels",1968,"See https://en.wikipedia.org/wiki/Boston_Park_Plaza for more info about this location.",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(upstairs & downstairs)","Kingston St","Boston","(R)","Restaurant",1969,"",NA,NA,NA,NA,NA,NA,NA
"Found","embankment","","Boston","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","embankment","","Boston","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","embankment","","Boston","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","embankment","","Boston","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","embankment","","Boston","Cruisy Area","Cruising Areas",1774,"",NA,NA,NA,NA,NA,NA,NA
"Found","The Esplanade","","Boston","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","The Esplanade","","Boston","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","The Esplanade","","Boston","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","The Esplanade","","Boston","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Boston","Cruisy Area","Cruising Areas,Theatre",1976,"See http://cinematreasures.org/theaters/6402 for more information.",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used",", off Cambridge near Harvard (Allston)","12 Walston Street","Boston","(R),(HIP)","Restaurant",1977,"Street appears to no longer exist. General coordinates for Allston used. ",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used",", off Cambridge nr. Harvard (Allston)","12 Walston St.","Boston","(R),(HIP)","Restaurant",1978,"Street appears to no longer exist. General coordinates for Allston used. ",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Cambridge","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Cambridge","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Cambridge","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","Lamont Library T-Room","","Cambridge","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","Lamont Library ","","Cambridge","Cruisy Area","Cruising Areas,Organizations",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","Lamont Library ","","Cambridge","Cruisy Area","Cruising Areas,Organizations",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","Lamont Library T-Room","","Cambridge","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","Lamont Library ","","Cambridge","Cruisy Area","Cruising Areas,Organizations",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","T-Room (Downstairs)","","Fitchburg","Cruisy Area,(*)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","Basement T-Room","","Holyoke","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","Basement T-Room","","Holyoke","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","T-room","","Holyoke","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","T-room","","Holyoke","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Whalom & Waterford","Leominster","","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Whalom & Waterford","Leominster","","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","T-room","","Leominster","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Leominster","Cruisy Area,(AYOR)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","on I-495 nr Chelmsford ","","Lowell","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","on I-495 near Chelmsford ","","Lowell","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","on I-495 (nr. Chelmsford & Rte. 3 (N. Chelmsford)","","Lowell","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","on I-495 (nr. Chelmsford & Rte. 3 (N. Chelmsford)","","Lowell","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","on I-495 nr. Chelmsford ","","Lowell","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","Merrimack St.","","Lowell","","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","Merrimack St.","","Lowell","","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","Merrimack St., behind City Hall","","Lowell","","Bars/Clubs",1774,"",NA,NA,NA,NA,NA,NA,NA
"Found","Merrimack St., behind City Hall","","Lowell","","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","","700 blk. Washington St.","Lynn","(G)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA,NA
"Found","","700 blk. Washington St.","Lynn","(G)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","700 blk. Washington St.","Lynn","(G)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"Found","","700 blk. Washington St.","Lynn","(G)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"Found","","34-36 Central Ave.","Lynn","(D),(*)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","34-36 Central Ave.","Lynn","(D),(PT),(*)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","34-36 Central Ave.","Lynn","(D),(*)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","Inquire locally","","Lynn","","Bars/Clubs",1966,"",NA,NA,NA,NA,NA,NA,NA
"Found","Inquire locally","","Lynn","","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","on Rte. 3","","Marshfield-Pembroke","Cruisy Area","Cruising Areas",1980,"Approximate location for Rt 3 between these two localities.",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","P.O. Box 389 Oak Bluffs, Mass. 02557","","Martha's Vineyard","(H)","Hotels",1980,"P.O BOX",NA,NA,NA,NA,NA,NA,NA
"Found","opp. Rte. 495 Exit","","Milford","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","opp. Rte. 495 Exit","","Milford","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Best late) ","Lower Main St.","Nantucket","(M)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","N. Front Street","New Bedford","(M),(OC),(RT)","Restaurant",1976,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","N. Front Street","New Bedford","(M),(R),(OC)","Restaurant",1977,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","New Bedford","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Acushnet St.","New Bedford","(M),(R),(C),(AH)","Restaurant",1980,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(some G) opp. Crown Cafe on N. Front St.","","New Bedford","(RT),(M),(G)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(Disco) (In rear of Checkmate Lounge) ","Rte. 1","Peabody","(S),(D)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(Disco) (In rear of Checkmate Lounge) ","Rte. 1","Peabody","(S),(D)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","Beach at N. Truro","","Provincetown","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","beach at N. Truro","","Provincetown","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
