ID,title,status,description,streetaddress,lat.lon,city,state,amenityfeatures,type,Year,unclearaddress,unclear type,notes,dateadded,lastmodified,lastmodified 2
273,Placer Hotel Basement T-Room,Found,,,"46.587345,-112.038844",Helena,MT,Cruisy Areas,Crusing Areas,1979,checked,,See http://www.helenahistory.org/placer_hotel.htm for a history of the hotel. Was the hub for lobbyists and legislators at one time.,,,
257,Placer Hotel Basement T-Room,Found,,,"46.587345,-112.038844",Helena,MT,Cruisy Areas,"Crusing Areas,Hotels",1977,checked,,See http://www.helenahistory.org/placer_hotel.htm for a history of the hotel. Was the hub for lobbyists and legislators at one time.,,,
263,Placer Hotel Basement T-Room,Found,,,"46.587345,-112.038844",Helena,MT,Cruisy Areas,Crusing Areas,1978,checked,,See http://www.helenahistory.org/placer_hotel.htm for a history of the hotel. Was the hub for lobbyists and legislators at one time.,,,
286,Red Lion Motor Inn Lodge,Found,(Very M) (Disco),Hwy 2. W.,"48.198893,-114.317644",Kalispell,MT,"(M) - Mixed Crowds,(YC) - Young and/or collegiate types,(D) - Dancing",,1980,checked,,,,,
275,Red Lion Motor Inn Lodge,Found,(Very M)(Disco),Hwy 2. W.,"48.198893,-114.317644",Kalispell,MT,"(M) - Mixed Crowds,(YC) - Young and/or collegiate types,(D) - Dancing",Bars/Clubs,1979,checked,,,,,
279,Sambo's,Found,,3rd & Central,"47.507802,-111.316696",Great Falls,MT,"(M) - Mixed Crowds,(R),""(C) - Coffee, soft drinks and sometimes food usually open late after bars have closed"",(AH) - After Hours",,1980,checked,,,,,
256,Sambo's,Found,,3rd & Central,"47.507802,-111.316696",Great Falls,MT,"(M) - Mixed Crowds,(R),""(C) - Coffee, soft drinks and sometimes food usually open late after bars have closed"",(AH) - After Hours",Restaurant,1977,checked,,,,,
271,Sambo's ,Found,,3rd & Central,"47.507802,-111.316696",Great Falls,MT,"(M) - Mixed Crowds,(R),""(C) - Coffee, soft drinks and sometimes food usually open late after bars have closed"",(AH) - After Hours",Restaurant,1979,checked,,,,,
258,Top Hat,Found,,100 block of Front street near Higgins,"46.870365,-113.995489",Missoula,MT,(M) - Mixed Crowds,Bars/Clubs,1977,checked,,,,,
284,Travelodge - Downstairs T-Room,General Coordinates Used,,,"46.589145,-112.039106",Helena,MT,Cruisy Areas,"Hotels,Cruisy Areas",1980,checked,,,,,
270,Travelodge downstairs T-Room,General Coordinates Used,,,"46.589145,-112.039106",Helena,MT,Cruisy Areas,"Crusing Areas,Hotels",1979,checked,,,,,
265,Travelodge downstairs T-Room,General Coordinates Used,,,"46.589145,-112.039106",Helena,MT,Cruisy Areas,"Crusing Areas,Hotels",1978,checked,,,,,
255,Travelodge downstairs T-Room,General Coordinates Used,,,"46.589145,-112.039106",Helena,MT,Cruisy Areas,"Crusing Areas,Hotels",1977,checked,,,,,
285,Twin Creek Ranch,General Coordinates Used,,"Rte. 1, Box 54","47.528823,-114.101501",Ronan,MT,,other,1980,checked,,,,,
276,Twin Creeks Ranch ,General Coordinates Used,Tel: (406) 676-5058,"Rte 1, Box 54","47.528823,-114.101501",Ronan,MT,,Business,1979,checked,,,,,
