ID,title,description,streetaddress,city,state,amenityfeatures,type,notes,dateadded,lastmodified,Year,full.address,lon,lat,geoAddress,Status
1648,Buddy's Jazz Lounge ,,35th & Granby,Norfolk,VA,(M) - Mixed Crowds,Bars/Clubs,,,,1973,"35th & Granby, Norfolk, VA",-76.28202,36.878542,unclear_coded_by_hand,Verified Location
293,Buddy's Jazz Lounge,,,Norfolk,VA,"(YC) - Young and/or collegiate types,(M) - Mixed Crowds",Bars/Clubs,,8/13/2019 4:17pm,9/7/2019 1:33pm,1969,", Norfolk, VA",-76.28202,36.878542,unclear_coded_by_hand,Verified Location
860,Fleet,,2013 Taussig,Norfolk,VA,(M) - Mixed or partially straight,Restaurant,,12/17/2019 9:53am,12/17/2019 9:53am,1975,"2013 Taussig, Norfolk, VA",-76.2858726,36.8507689,"norfolk, va, usa",Google Verified Location
669,Fleet,,2013 Taussig,Norfolk,VA,(M) - Mixed or partially straight,Restaurant,NA,11/8/2019 12:41pm,11/8/2019 1:32pm,1976,"2013 Taussig, Norfolk, VA",-76.2858726,36.8507689,"norfolk, va, usa",Google Verified Location
544,Fleet,,2013 Taussig,Norfolk,VA,(M) - Mixed Crowds,Restaurant,,9/7/2019 10:27am,9/7/2019 11:06am,1974,"2013 Taussig, Norfolk, VA",-76.2858726,36.8507689,"norfolk, va, usa",Google Verified Location
501,Fleet,,2013 Taussig,Norfolk,VA,(M) - Mixed Crowds,Restaurant,NA,10/1/2019 5:02pm,10/5/2019 1:09pm,1973,"2013 Taussig, Norfolk, VA",-76.2858726,36.8507689,"norfolk, va, usa",Google Verified Location
2164,Virginia Beach,,,Norfolk,VA,Cruisy Area,Cruising Areas,,,,1976,", Norfolk, VA",-76.285873,36.850769,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1496,Raphael's ,(after hours),Granby St. ,Norfolk,VA,"(YC) - Young and/or collegiate types,""(C) - Coffee, soft drinks and sometimes snacks"",(*) - Very popular",Restaurant,,,,1973,"Granby St. , Norfolk, VA",-76.285873,36.850769,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
167,Virginia Beach,,,Norfolk,VA,Cruisy Area,Cruising Areas,,9/7/2019 12:58pm,9/7/2019 1:18pm,1974,", Norfolk, VA",-76.285873,36.850769,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3346,Late Late Show,(Some ladies) (Must be sponsored by a member) Inquire locally,,Norfolk,VA,"(P) - Private club - Inquire locally to admission,(D) - Dancing,(AH) - After Hours,""(L) - Ladies/Ms, but seldom exclusively unless noted""",Bars/Clubs,,,,1980,", Norfolk, VA",-76.285873,36.850769,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1576,Virginia Beach,,,Norfolk,VA,Cruisy Areas,Cruising Areas,,,,1973,", Norfolk, VA",-76.285873,36.850769,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2672,Virginia Beach,,,Norfolk,VA,Cruisy Area,Cruising Areas,,,,1975,", Norfolk, VA",-76.285873,36.850769,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2397,Virginia Beach ,,,Norfolk,VA,Cruisy Area,Cruising Areas,,,,1977,", Norfolk, VA",-76.285873,36.850769,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2003,Cougar Lounge,,Colley Ave,Norfolk,VA,(M) - Mixed or partially straight,Bars/Clubs,,,,1976,"Colley Ave, Norfolk, VA",-76.285873,36.850769,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1289,Virginia Beach - 21st St. Beach ,,,Norfolk,VA,Cruisy Area,Cruising Areas,,,,1979,", Norfolk, VA",-76.285873,36.850769,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2965,Virginia Beach ,,,Norfolk,VA,Cruisy Area,Cruising Areas,,,,1978,", Norfolk, VA",-76.285873,36.850769,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1467,Virginia Beach ,,,Norfolk,VA,Cruisy Areas,Cruising Areas,,,,1972,", Norfolk, VA",-76.285873,36.850769,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
674,Raphael's,,426 Granby St.,Norfolk,VA,"(YC) - Young and/or collegiate types,(D) - Dancing,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours",Restaurant,NA,11/8/2019 12:58pm,11/8/2019 1:32pm,1976,"426 Granby St., Norfolk, VA",-76.2891699,36.851816,"426 granby st, norfolk, va 23510, usa",Google Verified Location
549,Raphael's,,426 Granby St.,Norfolk,VA,"(YC) - Young and/or collegiate types,(D) - Dancing,""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,9/7/2019 10:27am,9/7/2019 11:07am,1974,"426 Granby St., Norfolk, VA",-76.2891699,36.851816,"426 granby st, norfolk, va 23510, usa",Google Verified Location
881,Raphael's,(also (C) after hours),426 Granby St.,Norfolk,VA,"(YC) - Young and/or collegiate types,(D) - Dancing,""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,12/17/2019 9:53am,12/17/2019 9:53am,1975,"426 Granby St., Norfolk, VA",-76.2891699,36.851816,"426 granby st, norfolk, va 23510, usa",Google Verified Location
1009,Paddock Tavern,"(Some W, SM) (Cruisy)",131 Plume St.,Norfolk,VA,"(W) - Western or coyboy types,(*) - Very popular,""(SM) - Some motorcycle. Don't confuse with 'M-S,' which means mixed crowds - shows. ""","Bars/Clubs,Cruising Areas",,12/6/2019 6:15pm,12/7/2019 11:48am,1980,"131 Plume St., Norfolk, VA",-76.291362,36.8471804,"131 e plume st, norfolk, va 23510, usa",Google Verified Location
387,Continental,,111 W. Tazewell,Norfolk,VA,(*) - Very popular,Bars/Clubs,NA,9/13/2019 4:38pm,10/28/2019 9:27am,1972,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
300,Continental,,111 W. Tazewell,Norfolk,VA,(*) - Very popular,Bars/Clubs,,8/31/2019 11:17am,8/31/2019 11:50am,1971,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
734,Continental,"( ""drags "")",111 W. Tazewell,Norfolk,VA,"(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent",Bars/Clubs,NA,11/8/2019 8:19pm,11/10/2019 2:21pm,1977,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
150,Continental,,111 W Tazewell,Norfolk,VA,(*) - Very popular,Bars/Clubs,NA,8/19/2019 12:56am,9/7/2019 2:21pm,1965,"111 W Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
499,Continental,,111 W. Tazewell,Norfolk,VA,"(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent,(*) - Very popular",Bars/Clubs,NA,10/1/2019 5:02pm,10/28/2019 9:41am,1973,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
666,Continental,,111 W. Tazewell,Norfolk,VA,"""(RT) - 'Raunchy types' - Hustlers, drags and other downtown type places - often hustlers"",(B) - Blacks frequent,(*) - Very popular",Restaurant,NA,11/8/2019 12:41pm,11/8/2019 1:32pm,1976,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
863,Continental,(Some RT),111 W. Tazewell,Norfolk,VA,"(D) - Dancing,(B) - Blacks frequent,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,10/25/2019 8:12pm,12/18/2019 2:57pm,1979,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
542,Continental,,111 West Tazewell,Norfolk,VA,"(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent,(*) - Very popular",Bars/Clubs,,9/7/2019 10:27am,9/7/2019 11:09am,1974,"111 West Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
856,Continental,"(Some RT, B)",111 W. Tazewell,Norfolk,VA,"(D) - Dancing,(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent",Bars/Clubs,,12/6/2019 11:54am,12/16/2019 3:20pm,1978,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
205,Continental,,111 W Tazewell,Norfolk,VA,(*) - Very popular,Bars/Clubs,NA,8/23/2019 1:56am,9/7/2019 11:23am,1968,"111 W Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
257,Continental,,111 W Tazewell,Norfolk,VA,(*) - Very popular,Bars/Clubs,NA,8/13/2019 2:17pm,8/13/2019 2:50pm,1969,"111 W Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
874,Continental,(occassional shows),111 W. Tazewell,Norfolk,VA,"(B) - Blacks frequent,""(RT) - 'Raunchy types' - Hustlers, drags and other downtown type places - often hustlers"",(*) - Very popular",Restaurant,Should I add the shows amenity? p.144,12/17/2019 9:53am,12/17/2019 9:53am,1975,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
1002,Continental,(Some RT),111 W. Tazewell,Norfolk,VA,"(D) - Dancing,(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent",Bars/Clubs,,12/6/2019 6:15pm,12/7/2019 11:43am,1980,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
221,Continental,,111 W. Tazewell,Norfolk,VA,(*) - Very popular,Bars/Clubs,NA,8/13/2019 7:57am,9/7/2019 11:22am,1966,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
280,Continental,,111 W. Tazewell,Norfolk,VA,(*) - Very popular,Bars/Clubs,NA,9/8/2019 12:00am,9/8/2019 12:12am,1970,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa",Google Verified Location
737,Occidental,,209 Granby Street,Norfolk,VA,"(M) - Mixed - Some Straights,(B) - Blacks frequent,(RT) - 'Raunchy types' - downtown type places - often hustlers,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours",Bars/Clubs,NA,11/8/2019 8:19pm,11/10/2019 2:21pm,1977,"209 Granby Street, Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa",Google Verified Location
867,Occidental,,209 Granby St.,Norfolk,VA,"(M) - Mixed - Some Straights,(B) - Blacks frequent,(RT) - 'Raunchy types' - downtown type places - often hustlers,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours",Restaurant,,10/25/2019 8:12pm,10/28/2019 9:54am,1979,"209 Granby St., Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa",Google Verified Location
673,Occidental,,209 Granby St.,Norfolk,VA,"(M) - Mixed or partially straight,(B) - Blacks frequent,""(RT) - 'Raunchy types' - Hustlers, drags and other downtown type places - often hustlers"",""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours",Restaurant,NA,11/8/2019 12:58pm,11/8/2019 1:32pm,1976,"209 Granby St., Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa",Google Verified Location
548,Occidental,(after hours),209 Granby St.,Norfolk,VA,"(M) - Mixed Crowds,""(C) - Coffee, soft drinks and sometimes snacks"",(RT) - 'Raunchy types' - downtown type places - often hustlers",Restaurant,,9/7/2019 10:27am,9/7/2019 11:07am,1974,"209 Granby St., Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa",Google Verified Location
868,Occidental,,209 Granby,Norfolk,VA,"(M) - Mixed or partially straight,""(C) - Coffee, soft drinks and sometimes snacks"",""(RT) - 'Raunchy types' - Hustlers, drags and other downtown type places - often hustlers"",(AH) - After Hours",Restaurant,,12/17/2019 9:53am,12/17/2019 9:53am,1975,"209 Granby, Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa",Google Verified Location
505,Occidental,(after hours),209 Granby St.,Norfolk,VA,"(M) - Mixed Crowds,""(C) - Coffee, soft drinks and sometimes snacks"",(RT) - 'Raunchy types' - downtown type places - often hustlers",Restaurant,NA,10/1/2019 5:02pm,10/5/2019 1:09pm,1973,"209 Granby St., Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa",Google Verified Location
860,Occidental,,209 Granby St.,Norfolk,VA,"(M) - Mixed - Some Straights,(B) - Blacks frequent,(RT) - 'Raunchy types' - downtown type places - often hustlers,""(C) - Coffee, soft drinks, juices and snacks"",(AH) - After Hours","Bars/Clubs,Restaurant",,12/6/2019 11:54am,12/16/2019 1:58pm,1978,"209 Granby St., Norfolk, VA",-76.2915812,36.8483629,"209 granby st, norfolk, va 23510, usa",Google Verified Location
551,Village Books,,121 Brooke Ave.,Norfolk,VA,,Book Store,,9/7/2019 10:27am,9/7/2019 11:07am,1974,"121 Brooke Ave., Norfolk, VA",-76.2917918,36.8487563,"121 brooke ave, norfolk, va 23510, usa",Google Verified Location
664,Boulevard Books,,121 Brooke Ave,Norfolk,VA,,Book Store,NA,11/8/2019 12:41pm,11/8/2019 1:32pm,1976,"121 Brooke Ave, Norfolk, VA",-76.2917918,36.8487563,"121 brooke ave, norfolk, va 23510, usa",Google Verified Location
732,Boulevard Books,,121 Brooke Avenue,Norfolk,VA,,Book Store,NA,11/8/2019 8:19pm,11/10/2019 1:46pm,1977,"121 Brooke Avenue, Norfolk, VA",-76.2917918,36.8487563,"121 brooke ave, norfolk, va 23510, usa",Google Verified Location
868,Ritz Bar,"(Some W, SM) (WE*)",131 Brooke Ave.,Norfolk,VA,"(W) - Western or coyboy types,(WE) - Weekends,(*) - Very popular,""(SM) - Some motorcycle. Don't confuse with 'M-S,' which means mixed crowds - shows. """,Bars/Clubs,,10/25/2019 8:12pm,12/18/2019 2:57pm,1979,"131 Brooke Ave., Norfolk, VA",-76.2918859,36.8487805,"131 brooke ave, norfolk, va 23510, usa",Google Verified Location
740,Ritz Bar,,131 Brooke Avenue,Norfolk,VA,(*) - Very popular,Bars/Clubs,NA,11/8/2019 8:19pm,11/10/2019 2:21pm,1977,"131 Brooke Avenue, Norfolk, VA",-76.2918859,36.8487805,"131 brooke ave, norfolk, va 23510, usa",Google Verified Location
550,Ritz Bar,,131 Brooke Ave,Norfolk,VA,(*) - Very popular,Bars/Clubs,,9/7/2019 10:27am,9/7/2019 11:08am,1974,"131 Brooke Ave, Norfolk, VA",-76.2918859,36.8487805,"131 brooke ave, norfolk, va 23510, usa",Google Verified Location
693,Ritz Bar,,131 Brooke Ave.,Norfolk,VA,(*) - Very popular,Bars/Clubs,,12/17/2019 9:53am,12/17/2019 9:53am,1975,"131 Brooke Ave., Norfolk, VA",-76.2918859,36.8487805,"131 brooke ave, norfolk, va 23510, usa",Google Verified Location
861,Ritz Bar,"(Some W, SM)",131 Brooke Ave.,Norfolk,VA,"(*) - Very popular,(W) - Western or coyboy types,""(SM) - Some motorcycle. Don't confuse with 'M-S,' which means mixed crowds - shows. """,Bars/Clubs,,12/6/2019 11:54am,12/18/2019 12:40pm,1978,"131 Brooke Ave., Norfolk, VA",-76.2918859,36.8487805,"131 brooke ave, norfolk, va 23510, usa",Google Verified Location
675,Ritz Bar,,131 Brooke Ave.,Norfolk,VA,(*) - Very popular,Bars/Clubs,NA,11/8/2019 12:58pm,11/8/2019 1:32pm,1976,"131 Brooke Ave., Norfolk, VA",-76.2918859,36.8487805,"131 brooke ave, norfolk, va 23510, usa",Google Verified Location
