ID,title,status,description,lat.lon,streetaddress,notes,city,state,amenityfeatures,type,dateadded,lastmodified,Year
1428,MacArthur Park ,Found,,"34.739286,-92.265501",,,Little Rock,AR,Cruisy Areas,Cruising Areas,,,1972
1427,Alsop Park,Found,,"34.761595,-92.313834",,,Little Rock,AR,Cruisy Areas,Cruising Areas,,,1972
1378,Southwest Actors & Artists Club,General City Coordinates Used,(sign says 'El Toro'),"34.746481,-92.289595",New Benton Hwy. ,,Little Rock,AR,"(YC),(D),(P),(*)",Bars/Clubs,,,1972
1469,Drummer's Room,Found,Manning Motor Hotel,"34.748095,-92.270318",Markham & Main,,Little Rock,AR,(*),"Hotels,Bars/Clubs",,,1972
1593,El Toro Club,General City Coordinates Used,,"34.746481,-92.289595 ",New Benton Hwy. ,,Little Rock,AK,"(YC),(D),(P),(*)",Bars/Clubs,,,1973
1510,MacArthur Park,Found,,"34.735864,-92.2649",,,Little Rock,AK,Cruisy Areas,Cruising Areas,,,1973
1592,Drummer’s Room ,Found,,"34.748095,-92.270318",Markham & Main,,Little Rock,AK,(*),Bars/Clubs,,,1973
1511,Alsop Park,Found,,"34.76123,-92.316541",,,Little Rock,AK,Cruisy Areas,Cruising Areas,,,1973
1671,Southwest Actors & Artists Club,General City Coordinates Used,,"34.746481,-92.289595",New Benton Hwy.,,Little Rock,AR,"(P),(D),(YC)",Bars/Clubs,,,1970
1670,Gar Hole,Found,thru lobby of Marion Hotel & downstairs,"34.748095,-92.270318",,,Little Rock,AR,,Bars/Clubs,,,1970
2171,Drummer's Room,Found,"Manning Motor Hotel
","34.748095,-92.270318",Markham & Main,,Little Rock,AR,"(D),(G)","Hotels,Bars/Clubs",,,1976
2020,MacArthur Park,Found,,"34.739286,-92.265501",,,Little Rock,AR,"(HOT),Cruisy Area",Cruising Areas,,,1976
2022,Alsop Park,Found,,"34.761595,-92.313834",,,Little Rock,AR,"(HOT),Cruisy Area",Cruising Areas,,,1976
2240,Alsop Park ,Found,,"34.76123,-92.316541",,,Little Rock,AK,Cruisy Area,Cruising Areas,,,1977
2241,MacArthur Park ,Found,,"34.735864,-92.2649",,,Little Rock,AK,Cruisy Area,Cruising Areas,,,1977
2242,Greyhound Bus Station T-Room ,General City Coordinates Used,,"34.746481,-92.289595 ",,,Little Rock,AK,Cruisy Area,Cruising Areas,,,1977
2213,Drummer’s Room ,Found,Manning Motor Hotel (Some G) ,"34.748095,-92.270318",Markham & Main,,Little Rock,AK,"(YC),(D),(*)","Hotels,Bars/Clubs",,,1977
2488,MacArthur Park,Found,,"34.739286,-92.265501",,,Little Rock,AR,Cruisy Area,Cruising Areas,,,1975
2487,Alsop Park,Found,,"34.761595,-92.313834",,,Little Rock,AR,Cruisy Area,Cruising Areas,,,1975
2779,"
  Burns Park – No.
  Little Rock 
  ",Found,,"34.797696,-92.309918",,,Little Rock,AK,"Cruisy Area,(HOT),(AYOR)",Cruising Areas,,,1978
2780,"
  T-Room – Greyhound
  Bus Depot 
  ",General City Coordinates Used,,"34.746481,-92.289595 ",,,Little Rock,AK,Cruisy Area,Cruising Areas,,,1978
2737,"
  Drummer’s Room 
  ",Found,(Some G) (In basement below lobby – no shorts or tank tops) Manning Motor Hotel ,"34.748095,-92.270318",Markham & Main ,,Little Rock,AK,"(YC),(D),(*),(G)","Bars/Clubs,Hotels",,,1978
2775,"
  Boyle Park 
  ",Found,,"34.730683,-92.355453",,,Little Rock,AK,Cruisy Area,Cruising Areas,,,1978
2781,"
  Alsop Park
  ",Found,,"34.76123,-92.316541",,,Little Rock,AK,Cruisy Area,Cruising Areas,,,1978
2778,"
  MacArthur Park 
  ",Found,,"34.735864,-92.2649",,,Little Rock,AK,Cruisy Area,Cruising Areas,,,1978
3053,Silver Dollar,General City Coordinates Used,(501)663-9886. (Some L) Inquire locally,"34.746481,-92.289595",,,Little Rock,AR,(L),Bars/Clubs,,,1980
3055,Boyle Park,Found,,"34.734991,-92.346819",,,Little Rock,AR,Cruisy Area,Cruising Areas,,,1980
3058,MacArthur Park,Found,,"34.739286,-92.265501",,,Little Rock,AR,Cruisy Area,Cruising Areas,,,1980
3057,Hollywood Cinema,General City Coordinates Used,,"34.746481,-92.289595",,,Little Rock,AR,Cruisy Area,Cruising Areas,,,1980
3056,Burns Park,Found,,"34.797696,-92.309918",,,Little Rock,AR,"(AYOR),Cruisy Area",Cruising Areas,,,1980
3054,Alsop Park,Found,,"34.761595,-92.313834",,,Little Rock,AR,Cruisy Area,Cruising Areas,,,1980
58,Denny's,Found,,"33.807914,-84.365919",,,Atlanta,GA,"(M),(R),(C)",Restaurant,9/4/2019 11:50am,9/7/2019 1:18pm,1974
63,Ralston Hotel Bar,General City Coordinates Used,,"33.748995,-84.387982",,,Atlanta,GA,(M),"Hotels,Bars/Clubs",9/4/2019 11:50am,9/7/2019 1:18pm,1974
57,El Matador,Found,Ansley Mall Shopping Center,"33.797088,-84.368977 ",,,Atlanta,GA,,Bars/Clubs,9/4/2019 11:50am,9/7/2019 1:18pm,1974
60,Picadilly Lounge,General City Coordinates Used,(closed -- supposedly reopening elsewhere. Inquire locally),"33.748995,-84.387982",,,Atlanta,GA,"(PE),(R)",Restaurant,9/4/2019 11:50am,9/7/2019 1:18pm,1974
67,Library,Found,area around Peachtree and Carnegie,"33.762629,-84.387506",,,Atlanta,GA,Cruisy Area,Cruising Areas,9/5/2019 2:12pm,9/7/2019 1:18pm,1974
66,Piedmont Park,Found,parking lot & nature trails,"33.785086,-84.373803",,,Atlanta,GA,Cruisy Area,Cruising Areas,9/5/2019 2:12pm,9/7/2019 1:18pm,1974
59,Esperando ,Found,"(3 floors)
","33.777257,-84.385696",,,Atlanta,GA,"(D),(R),(S),(SM),(*)","Restaurant,Bars/Clubs",9/4/2019 11:50am,9/7/2019 1:18pm,1974
61,Windjammer Lounge ,Found,Marriott Hotel,"33.759677,-84.384226",,Roads have changed a bit here and been renamed due to redevelopment in the area. See intersection of Cain and Courtland on this David Rumsey Map: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~212209~5500288:Atlanta--Georgia--;JSESSIONID=a2b23f1f-f52c-49f9-9868-055239e75dc7?showTipAdvancedSearch=false&showShareIIIFLink=true&showTip=false&helpUrl=https%3A%2F%2Fdoc.lunaimaging.com%2Fdisplay%2FV74D%2FLUNA%2BViewer%23LUNAViewer-LUNAViewer&title=Search+Results%3A+List_No+equal+to+%275840.111%27&fullTextSearchChecked=&dateRangeSearchChecked=&advancedSearchUrl=https%3A%2F%2Fdoc.lunaimaging.com%2Fdisplay%2FV74D%2FSearching%23Searching-Searching&thumbnailViewUrlKey=link.view.search.url,Atlanta,GA,"(M),(PE)","Hotels,Bars/Clubs",9/4/2019 11:50am,9/7/2019 1:18pm,1974
62,The Rail,General City Coordinates Used,,"33.748995,-84.387982",,,Atlanta,GA,"(M),(YC)",Bars/Clubs,9/4/2019 11:50am,9/7/2019 1:18pm,1974
56,Cypress St,Found,(an alley betw. Peachtree and W.Peachtree from 5th to 9th streets),"33.77731,-84.38612",,The location here is for 6th st between Peachtree and W. Peachtree.,Atlanta,GA,Cruisy Area,Cruising Areas,9/4/2019 11:25am,9/7/2019 1:18pm,1974
187,Cameo ,Found,,"33.759697,-84.390567",,,Atlanta,GA,"(*),(RT)",Bars/Clubs,8/30/2019 11:35am,9/7/2019 1:20pm,1971
190,Mail Box,Found,,"33.773697,-84.367205",,location for 600 Ponce de Leon.,Atlanta,GA,,Bars/Clubs,8/30/2019 11:35am,9/7/2019 1:20pm,1971
193,Wit's End,General City Coordinates Used,(Gone with the Wit's) (downstairs bar only),"33.748995,-84.387982",,,Atlanta,GA,"(M),(PE)",Bars/Clubs,8/30/2019 11:35am,9/7/2019 1:20pm,1971
188,Alibi Lounge,Found,Dinkler Plaza Hotel," 33.75686,-84.389066",,,Atlanta,GA,(PE),"Hotels,Bars/Clubs",8/30/2019 11:35am,9/7/2019 1:20pm,1971
189,Chuck's Rathskeller,Found,Georgian Terrace Hotel,"33.772258,-84.384925",,,Atlanta,GA,"(YC),(*)","Hotels,Bars/Clubs",8/30/2019 11:35am,9/7/2019 1:20pm,1971
192,Rathskeller,Found,"(See Chuck's Rathskeller)
","33.772258,-84.384925",,,Atlanta,GA,"(YC),(*)",Bars/Clubs,8/30/2019 11:35am,9/7/2019 1:20pm,1971
258,Maid's Quarters,Found,,"33.775947,-84.381447",,,Atlanta,GA,"(M),(R)",Restaurant,8/13/2019 1:41pm,9/7/2019 1:24pm,1969
257,La Cuisine,General City Coordinates Used,inquire locally,"33.748995,-84.387982",,,Atlanta,GA,"(D),(C)",Bars/Clubs,8/13/2019 1:41pm,9/7/2019 1:24pm,1969
259,Petite Lounge,Found,Dinkler Plaza Hotel," 33.75686,-84.389066",,,Atlanta,GA,"(M),(PE)","Bars/Clubs,Hotels",8/13/2019 1:41pm,9/7/2019 1:33pm,1969
297,Petite Lounge,Found,"Dinkler Plaza Hotel
"," 33.75686,-84.389066",,,Atlanta,GA,"(M),(PE)","Bars/Clubs,Hotels",8/19/2019 12:23am,9/7/2019 1:31pm,1968
342,Petite Lounge,Found,"Dinkler Plaza Hotel

"," 33.75686,-84.389066",,,Atlanta,GA,"(M),(PE)","Bars/Clubs,Hotels",8/12/2019 10:30am,9/7/2019 1:30pm,1966
374,Petite Lounge,Found,Dinkler Plaza Hotel," 33.75686,-84.389066",,,Atlanta,GA,(M),"Bars/Clubs,Hotels",8/13/2019 11:23pm,9/7/2019 1:30pm,1965
1318,Armory ,Found,(Best during cocktail hour on Mon. & Thur.),"33.77703,-84.383137",824 Juniper N.E. nr. 6th ,,Atlanta,GA,,Bars/Clubs,,,1979
1321,Youngman Atlanta ,General City Coordinates Used,"(Models, etc.) (404) 892-6798","33.748995,-84.387982",,,Atlanta,GA,,Business,,,1979
1167,Flea Market ,General City Coordinates Used,,"33.748995,-84.387982",,,Atlanta,GA,Cruisy Area,Cruising Areas,,,1979
1319,"
  El Matador
  ",Found,(Sat. buffet – ‘looking up’) Ansley Mall Shopping Center,"33.797064,-84.368994",Piedmont & Monroe Dr. ,,Atlanta,GA,,Bars/Clubs,,,1979
1170,Phillips 66 Truck Stop 9 mi. N. on I-95 nr. Norcross,General City Coordinates Used,(T-Rooms),"33.748995,-84.387982",,,Atlanta,GA,Cruisy Area,Cruising Areas,,,1979
1322,Cypress St. an alley betw. Peachtree & W. Peachtree from 6th to 8th Sts. ,Found,(‘The Strip’),"33.77731,-84.38612",,,Atlanta,GA,"Cruisy Area,(*)",Bars/Clubs,,,1979
1168,Ga. Tech – Admin. Bldg. T-Room,Found,,"33.775618,-84.396285",,General GA Tech coordinates used.,Atlanta,GA,Cruisy Area,Cruising Areas,,,1979
1171,Piedmont Park parking lot & nature trails ,Found,,"33.785086,-84.373803",,,Atlanta,GA,Cruisy Area,Cruising Areas,,,1979
1166,Atlanta Airport - observation deck,Found,,"33.640728,-84.4277",,General airport coordinates used.,Atlanta,GA,Cruisy Area,Cruising Areas,,,1979
1172,Sparks Hall – 3rd & 4th floor T-Rooms – Ga. St. U. ,Found,,"33.753433,-84.385907",,,Atlanta,GA,Cruisy Area,Cruising Areas,,,1979
1320,Models Atlanta ,General City Coordinates Used,(404) 231-0241,"33.748995,-84.387982",,,Atlanta,GA,,Business,,,1979
1169,Grant Park nr. Lookout Tower – ‘chicken’,Found,,"33.735629,-84.371181 ",,,Atlanta,GA,Cruisy Area,Cruising Areas,,,1979
1173,T-Rooms at Davison’s Dept,General City Coordinates Used,,"33.748995,-84.387982",,,Atlanta,GA,Cruisy Area,Cruising Areas,,,1979
1484,Wit’s End,General City Coordinates Used,Underground Atlanta (Gone With the Wits)(downstairs bar only),"33.748995,-84.387982",Alabama at Hunter,,Atlanta,GA,"(M),(PE),(R)",Restaurant,,,1972
