ID,title,status,description,streetaddress,Lat/lon,city,Year,state,amenityfeatures,type,unclearaddress,unclear type,notes,dateadded,lastmodified
27,Rendezvous,Found,(see Club Rendezvous),567 Sutter St,"37.788919,-122.409587",San Francisco,1966,CA,(*) - Very popular,Bars/Clubs,checked,,,2/25/2020 11:01am,2/28/2020 1:12pm
26,Pearle's ,Found,(behind Gilded Cage via alley off O'Farrell St nr Mason,," 37.786232,-122.409721",San Francisco,1966,CA,"""(C) - Coffee, soft drinks and sometimes snacks"",(*) - Very popular",Bars/Clubs,checked,,,2/25/2020 11:01am,2/28/2020 1:12pm
28,Union Point Resort Bar,General City Coordinates Used,(weekends),Borden Hwy,"37.957702,-121.29078",Stockton,1966,CA,,Bars/Clubs,checked,,,2/25/2020 11:01am,2/28/2020 1:12pm
25,Oak Room,Found,,St Francis Hotel Powell at Geary St," 37.787378,-122.408239",San Francisco,1966,CA,(PE) - Pretty elegant - jacket & tie may be required,Hotels,checked,,,2/25/2020 11:01am,2/28/2020 1:12pm
29,Happy Hour,General City Coordinates Used,,Garden Grove near Harbor,"33.774269,-117.937995",Garden Grove,1968,CA,"""(G) - Girls, but rarely exclusively_""",Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
46,Palmer House ,Found,900 Blk on Valencia ,,"37.758402,-122.421464",San Francisco,1968,CA,,Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
35,Ship of Fools,Found,,W Chanel Rd near Pacific Coast Hwy,"34.028317,-118.519426",Los Angeles ,1968,CA,(M) - Mixed crowd and/or tourists_,Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
37,GIlded Cage ,Found,Tyler nr. Franklin (behind Stage Theatre),,"36.599829,-121.893441",Monterey,1968,CA,(*) - Very popular_,Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
33,Orlando Baths,Found,,W 3rd St at La Cienega,"34.073383,-118.376501",Los Angeles ,1968,CA,,Baths,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
40,Kelley's ,Found,E 12th St. at 10th Ave. ,," 37.791414,-122.250629",Oakland,1968,CA,,Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
30,Wel-Com Inn,Found,,Pacific Coast Hwy near El Segundo,"33.916297,-118.395893",Long Beach,1968,CA,"""(G) - Girls, but rarely exclusively_""",Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
36,Patch Warehouse Borinquin,Found,Previous location crossed out,Anaheim & Pioneer Ave,"33.780753,-118.248139",Manhattan Beach ,1968,CA,,Bars/Clubs,checked,,Previous location crossed out,2/25/2020 11:02am,2/28/2020 1:12pm
32,CC Club,General City Coordinates Used,,Washington Blvd,"34.052234,-118.243685 ",Los Angeles ,1968,CA,,Bars/Clubs,checked,,No address listed,2/25/2020 11:02am,2/28/2020 1:12pm
47,Pearle's ,Found,(behind Gilded Cage off O'Farrell St. via alley bet Mason and Powell) ,," 37.786232,-122.409721",San Francisco,1968,CA,"""(C) - Coffee - sometimes food too, usually open late when bars close_"",(*) - Very popular_",Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
38,Club Seven ,Found,14th St. at 2nd Ave.,,"37.797953,-122.256325",Oakland,1968,CA,,Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
34,Reef,Found,,Pacific Coast Hwy & Chanel Rd,"34.028317,-118.519426",Santa Monica,1968,CA,,Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
45,Oak Room ,Found,"St. Francis Hotel, Powell at Geary",," 37.787378,-122.408239",San Francisco,1968,CA,(PE) - Pretty elegant - usually jacket and tie advised if not required_,Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
39,Golden Horseshoe,Found,65th at San Pablo `,,"37.848026,-122.285413",Oakland,1968,CA,(*) - Very popular_,Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
42,No-Hu-Hu-Hut ,General City Coordinates Used,Court and W Capitol,,"38.581572,-121.4944",Sacramento ,1968,CA,"""(G) - Girls, but rarely exclusively_""",Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
43,Fox & Hounds Motel,Found,,Mission Bay Dr,"32.715738,-117.161084 ",San Diego ,1968,CA,"""(H) - Hotel - motel, lodgings or other overnight accommodations_""",Hotels,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
44,Big Basket ,Found,Market & Page ,,"37.798022,-122.40553",San Francisco,1968,CA,"""(C) - Coffee - sometimes food too, usually open late when bars close_"",(*) - Very popular_",Restaurant,checked,checked,,2/25/2020 11:02am,2/28/2020 1:12pm
41,Vieux Carre ,General City Coordinates Used,Hwy 116,,"38.501858,-122.99611",Guerneyville,1968,CA,,Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
31,Black Knight,Found,,Burbank at Vineland,"34.172164,-118.370308 ",North Hollywood ,1968,CA,,Bars/Clubs,checked,,,2/25/2020 11:02am,2/28/2020 1:12pm
48,Rancho Bakersfield Bar,Found,Rancho Bakersfield Motel,Hwy. 99 at F. St.,"35.389529,-119.023077 ",Bakersfield,1969,CA,(M) - Mixed Crowds - Some Straights,Bars/Clubs,checked,,This location no longer exists but this is an approximate location. See Flickr for picture: https://www.flickr.com/photos/hollywoodplace/4436117325,2/25/2020 11:02am,2/28/2020 1:12pm
55,Black Knight Burbank & Vineland,Found,,,"34.172164,-118.370308 ",North Hollywood ,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
78,Pearl's,Found,(behind Gilded Cage in alley off O'Farrell bet. Mason & Powell),," 37.786232,-122.409721",San Francisco,1969,CA,"""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
56,Mother's Play Pen ,General City Coordinates Used,(Inquire locally),,"34.099708,-118.338695",Los Angeles ,1969,CA,,Bars/Clubs,checked,checked,,2/25/2020 11:24am,2/28/2020 1:12pm
61,Hold,General City Coordinates Used,(across from Golden Bull),,"34.052234,-118.243685 ",Los Angeles ,1969,CA,,Bars/Clubs,checked,checked,,2/25/2020 11:24am,2/28/2020 1:12pm
79,Rendezvous ,Found,(see Club Rendezvous),,"37.788919,-122.409587",San Francisco,1969,CA,(*) - Very popular,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
52,Happy Hour,Found,Garden Grove nr. Harbor,,"33.774459,-117.919973",Garden Grove ,1969,CA,"""(G) - Girls, but seldom exclusively""",Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
68,Kelley's ,Found,E 12 St at 10th Ave,," 37.791414,-122.250629",Oakland,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
59,Cliff House,General City Coordinates Used,Pacific Coast Hwy ,,"34.019454,-118.491191",Santa Monica,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
49,Continental ,Found,2500 blk E. Huntington,,"34.139696,-117.951654",Duarte,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
62,La Caravelle ,Found,Coast Hwy at Chanel Rd,,"34.028419,-118.519233",Los Angeles ,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
72,Brass Rail ,Found,5th & Robinson ,," 32.746961,-117.160405",San Diego ,1969,CA,(*) - Very popular,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
74,Dead End Folsom,Found,at 12th St,,"37.771168,-122.415049",San Francisco,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
73,Big Basket ,Found,(after hours) Polk & O' Farrell,," 37.784975,-122.419572",San Francisco,1969,CA,"(YC) - Young and/or collegiate types,""(C) - Coffee, soft drinks and sometimes snacks"",(P) - Private club - Inquire locally to admission",Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
69,Nardi's,Found,Colorado Blvd,,"34.14606,-118.13679",Pasadena ,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
58,C.C. Club ,General City Coordinates Used,Washington Blvd ,,"34.052234,-118.243685 ",Los Angeles ,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
75,Doyle's ,General City Coordinates Used,(after hours) Market near 12th St,,"37.774386,-122.420277",San Francisco,1969,CA,"(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,(P) - Private club - Inquire locally to admission",Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
50,Fran's ,Found,Old Hwy 99 at Ashland,," 36.794337,-119.864118",Fresno ,1969,CA,(*) - Very popular,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
70,Vieux Carre,General City Coordinates Used,Hwy 116,,"38.501858,-122.99611",Guerneyville,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
64,The Strand ,Found,(On the Boardwalk),,"33.88431,-118.411973",Manhattan Beach ,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
67,Golden Horseshoe,Found,65th & San Pablo,,"37.848026,-122.285413",Oakland,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
65,Harbin Hot Springs,General City Coordinates Used,Hwy 53 Near Calistoga,,"38.578797,-122.579705",Middletown,1969,CA,"(P) - Private club - Inquire locally to admission,""(H) - Hotel, motel, or other overnight accomodations""","Baths,Hotels",checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
77,Lion Pub,Found,Sacramento & Divisadero,,"37.789009,-122.44061",San Francisco,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
71,Shamrock,Found,3rd & G Sts,,"34.104976,-117.300623",San Bernardino,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
66,Club Seven,Found,14th St at 2nd Ave,,"37.797953,-122.256325",Oakland,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
63,Orlando Baths ,Found,La Cienega at 3rd St,,"34.073383,-118.376501",Los Angeles ,1969,CA,,Baths,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
54,Wel-Com Inn,Found,,Pac Coast Hwy nr El Segundo,"33.916297,-118.395893",Long Beach,1969,CA,"""(G) - Girls, but seldom exclusively""",Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
57,Wild Scene,General City Coordinates Used,(Inquire locally),,"34.099708,-118.338695",Los Angeles ,1969,CA,,Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
76,Leonarda's,Found,Leland & Desmond,,"37.711619,-122.404828",San Francisco,1969,CA,"""(G) - Girls, but seldom exclusively""",Bars/Clubs,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
60,Gallery Room,Found,Santa Monica at Crescent Hgts,,"34.090899,-118.365662 ",Los Angeles ,1969,CA,(M) - Mixed Crowds - Some Straights,Restaurant,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
51,Fran's Pine Lake Lodge ,Found,Same as above,," 36.794337,-119.864118",Fresno ,1969,CA,"""(H) - Hotel, motel, or other overnight accomodations""",Hotels,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
53,Denny's ,General City Coordinates Used,(after-hours) So Coast Hwy,,"33.542719,-117.785357",Laguna Beach ,1969,CA,"""(C) - Coffee, soft drinks and sometimes snacks"",(M) - Mixed Crowds - Some Straights",Restaurant,checked,,,2/25/2020 11:24am,2/28/2020 1:12pm
80,Society of Anubus,General City Coordinates Used,,Azusa Canyon Rd.,"34.133619,-117.907563",Azusa,1970,CA,"(P) - Private club - Inquire locally as to admission_,(D) - Dancing_",Organizations,checked,,,2/25/2020 11:34am,2/28/2020 1:12pm
112,Pub,General City Coordinates Used,Opening Soon,Inquire locally,"34.420831,-119.69819",Santa Barbara,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
98,Sidetrack,Found,,53rd & Bancroft,"37.77163,-122.203539 ",Oakland,1970,CA,,Bars/Clubs,checked,,Approximate location. Roads have changed.,2/25/2020 11:37am,2/28/2020 1:12pm
104,Dead End,Found,,1582 Folsom at 12th,"37.771168,-122.415049",San Francisco,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
101,Vieux Carre,General City Coordinates Used,,Hwy. 116 Guerneville,"38.501858,-122.99611",Russian River,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
97,Lou & Rae's,Found,,23rd & Telegraph,"37.81261,-122.268814",Oakland,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
92,Patch H,General City Coordinates Used,"Old Ciro's
",Sunset Strip,"34.099708,-118.338695",Los Angeles ,1970,CA,"(YC) - Young and/or collegiate types_,(D) - Dancing_",Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
113,Boy Shed,General City Coordinates Used,,Coast Hwy," 33.741409,-118.104768",Seal Beach,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
95,Mustang,General City Coordinates Used,7th St. near Freeway,,"37.635472,-120.999676",Modesto ,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
93,Por Favor,Found,,Santa Monica at Robertson,"34.083845,-118.38552",Santa Monica,1970,CA,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. _"",(PE) - Pretty elegant - jacket & tie may be required_",Restaurant,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
91,La Caravelle ,Found,,Coast Hwy & W. Chanel Rd.,"34.028419,-118.519233",Los Angeles ,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
81,Ilene's,General City Coordinates Used,,Stockdale Hwy,"35.373292,-119.018712",Bakersfield,1970,CA,"""(G) - Girls, but rarely exclusively_"",(D) - Dancing_",Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
103,Topper,Found,,1218 'K' St.," 38.578179,-121.490857",Sacramento ,1970,CA,"""(RT) - 'Raunchy types' - usually downtown type establishments-can mean """"rent"""" or commerical""",Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
86,Aloha Club,Found,,58 'A' St.," 37.66718,-122.099871",Hayward,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
100,The Village,Found,,Pacific Coast Hwy," 33.840779,-118.389215",Redondo Beach,1970,CA,"(D) - Dancing_,(YC) - Young and/or collegiate types_",Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
89,Chiff House,General City Coordinates Used,,Pacific Coast Hwy,"34.019454,-118.491191",Santa Monica,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
87,Wel Com Inn,General City Coordinates Used,,Pac Coast Hwy,"33.91918,-118.416465",El Segundo,1970,CA,"""(G) - Girls, but rarely exclusively_""",Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
84,Fran's,Found,,Old Hwy 99 at Ashland," 36.794337,-119.864118",Fresno ,1970,CA,(*) - Very popular_,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
105,Deno's,Found,,Divisadero & Hayes,"37.774843,-122.437893",San Francisco,1970,CA,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. _""",Restaurant,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
106,Highlander,Found,,17th & Vermont,"37.764679,-122.404521",San Francisco,1970,CA,"""(G) - Girls, but rarely exclusively_""",Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
99,Nardi's,Found,,Colorado Ave,"34.14606,-118.13679",Pasadena,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
90,Gallery Room,Found,,Santa Monica at Crescent Heights,"34.090899,-118.365662",Santa Monica,1970,CA,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. _"",(M) - Mixed Crowds_",Restaurant,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
102,Ernie's Place,Found,(W. Sacramento) at W. Capitol,725 Tower Ct.,"38.575239,-121.518518 ",Sacramento ,1970,CA,"(D) - Dancing_,(*) - Very popular_",Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
94,The Strand,Found,(on the Boardwalk),,"33.88431,-118.411973",Manhattan Beach ,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
83,Mission Ranch,General City Coordinates Used,,So. Dolores,"36.555239,-121.923288",Carmel,1970,CA,"(M) - Mixed Crowds_,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. _"",(PE) - Pretty elegant - jacket & tie may be required_",Restaurant,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
82,Mustang,General City Coordinates Used,Inquire locally,," 34.895796,-117.017283",Barstow,1970,CA,(M) - Mixed Crowds_,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
108,Lion Pub,Found,,Sacramento & Divisadero,"37.789009,-122.44061",San Francisco,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
109,Oak Room,Found,,St. Francis Hotel Powell & Geary," 37.787378,-122.408239",San Francisco,1970,CA,"(PE) - Pretty elegant - jacket & tie may be required_,(M) - Mixed Crowds_",Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
111,Miramar Hotel,Found,Piano bar cocktail hour,Montecito,"34.420918,-119.628639",Santa Barbara,1970,CA,"(M) - Mixed Crowds_,(PE) - Pretty elegant - jacket & tie may be required_",Hotels,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
85,Fran's Pine Lake Lodge,Found,,(Same as above)," 36.794337,-119.864118",Fresno ,1970,CA,"""(H) - Hotel, motel, or other overnight accomodations_""",Hotels,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
110,Rendezvous,Found,(see Club Rendezvous),567 Sutter St,"37.788919,-122.409587",San Francisco,1970,CA,(*) - Very popular_,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
88,Diamond Head,Found,,Van Owen at Woodman," 34.193954,-118.431269",Van Nuys,1970,CA,,Bars/Clubs,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
96,Duck Inn,Found,,83rd & MacArthur,"37.762105,-122.164391",Oakland,1970,CA,,Hotels,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
107,Leonarda's,Found,,16 Leland & Desmond,"37.711619,-122.404828",San Francisco,1970,CA,"""(G) - Girls, but rarely exclusively_"",""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. _""",Restaurant,checked,,,2/25/2020 11:37am,2/28/2020 1:12pm
114,Ilene's ,General City Coordinates Used,,Stockdale Hwy.,"35.373292,-119.018712",Bakersfield,1971,CA,"""(G) - Girls, but seldom exclusively"",(D) - Dancing",Bars/Clubs,checked,,,2/25/2020 11:39am,2/28/2020 1:12pm
145,Brass Rail,Found,,5th & Robinson," 32.746961,-117.160405",San Diego ,1971,CA,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,checked,,,2/25/2020 11:39am,2/28/2020 1:12pm
151,The Stable,General City Coordinates Used,(Next to buoy Shed),,"33.720734,-118.073574",Sunset Beach,1971,CA,(D) - Dancing,Bars/Clubs,checked,,,2/25/2020 11:39am,2/28/2020 1:12pm
142,Paddleboard II,Found,,Ave. 'F' at Pac. Coast Hwy.," 33.822551,-118.385404",Redondo Beach,1971,CA,,Bars/Clubs,checked,,,2/25/2020 11:39am,2/28/2020 1:12pm
147,Purple Den,General City Coordinates Used,(Near the Show Biz),,"32.748177,-117.150602",San Diego ,1971,CA,,Bars/Clubs,checked,checked,,2/25/2020 11:39am,2/28/2020 1:12pm
125,Warehouse II,Found,(sign says Nuthouse),412 W. 'B' St. ,"33.771204,-118.266191",Wilmington,1971,CA,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,checked,,,2/25/2020 11:39am,2/28/2020 1:12pm
146,Jerry's Hole,Found,(after hours),San Diego Ave.  near Washington," 32.742835,-117.182044",San Diego ,1971,CA,"""(C) - Coffee, soft drinks and sometimes snacks""",Business,checked,,,2/25/2020 11:39am,2/28/2020 1:12pm
137,Party Room,Found,Cathedral City,"67-977 Hwy. 111,","33.783337,-116.473668",Cathedral City,1971,CA,(D) - Dancing,Bars/Clubs,checked,,,2/25/2020 11:39am,2/28/2020 1:12pm
115,Jolly Time's,Found,,1927 'K' St.,"35.376914,-119.017743 ",Bakersfield,1971,CA,(M) - Mixed Crowds - Some Straights,Bars/Clubs,checked,,,2/25/2020 11:39am,2/28/2020 1:12pm
140,Rathskeller,Found,,Garey & 3rd," 34.056921,-117.750114",Pomona ,1971,CA,,Bars/Clubs,checked,,,2/25/2020 11:39am,2/28/2020 1:12pm
126,Wendy's,General City Coordinates Used,,E. Anaheim ,"33.77005,-118.193739",Long Beach,1971,CA,,Bars/Clubs,checked,checked,Not sure what type is,2/25/2020 11:39am,2/28/2020 1:12pm
121,Dine-a-Ling,General City Coordinates Used,Inquire locally,," 33.774269,-117.937995",Garden Grove ,1971,CA,,Business,checked,,,2/25/2020 11:39am,2/28/2020 1:12pm
132,Donut Chalet,Found,(downtown),Main & 5th St.,"34.046701,-118.248562",Los Angeles ,1971,CA,"""(C) - Coffee, soft drinks and sometimes snacks"",(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,checked,,,2/25/2020 11:39am,2/28/2020 1:12pm
136,Sidetrack,Found,,53rd & Bancroft,"37.77163,-122.203539 ",Oakland,1971,CA,,Bars/Clubs,checked,,Approximate location. Roads have changed.,2/25/2020 11:39am,2/28/2020 1:12pm
