"title","description","streetaddress","lon","lat","city","state","amenityfeatures","type","Year","notes","status","unclear_address","full.address","geoAddress"
"Eagle in Exile","(The 'Exile') (Some W, SM, YC) (also basement bar)","9th & New York Ave NW",-77.0239838,38.901359,"Washington","District of Columbia","(SM),(*)","Bars/Clubs",1978,"","Verified Location",NA,NA,NA
"Earth Works","(bookstore)","1724 20th St. NW",-77.0450451,38.9136126,"Washington","District of Columbia","(SM)","Book Store",1975,NA,"Google Verified Location",NA,NA,NA
"Eighteen-Thirty-Two Club","","1832 Columbia Rd NW",-77.0431223,38.9217919,"Washington","District of Columbia","(SM)","Bars/Clubs",1969,NA,"Google Verified Location",NA,NA,NA
"Eighteen-Thirty-Two Club","","1832 Columbia Rd NW",-77.0431223,38.9217919,"Washington","District of Columbia","(W),(SM),(YC),(*)","Bars/Clubs",1970,NA,"Google Verified Location",NA,NA,NA
"Eighteen-Thirty-Two Club","","1832 Columbia Rd NW",-77.0431223,38.9217919,"Washington","District of Columbia","","Bars/Clubs",1971,NA,"Google Verified Location",NA,NA,NA
"Eighteen-Thirty-Two Club","","1832 Columbia Rd NW",-77.0431223,38.9217919,"Washington","District of Columbia","(R),(M)","Bars/Clubs",1972,NA,"Google Verified Location",NA,NA,NA
"Eighteen-Thirty-Two Club","","1832 Columbia Rd NW",-77.0431223,38.9217919,"Washington","District of Columbia","(R),(M)","Bars/Clubs,Restaurant",1973,NA,"Google Verified Location",NA,NA,NA
"Eighteen-Thirty-Two Club","(was closed-may be re-opening)","1832 Columbia Rd NW",-77.0431223,38.9217919,"Washington","District of Columbia","(*),(R)","Bars/Clubs,Restaurant",1974,NA,"Google Verified Location",NA,NA,NA
"Eighteen-Thirty-Two Club","","1832 Columbia Rd NW",-77.0431223,38.9217919,"Washington","District of Columbia","(B),(*)","Bars/Clubs,Restaurant",1975,NA,"Google Verified Location",NA,NA,NA
"Exile","(Disco) (Some W, levis) (Sun. buffet - C-AH-WE)","953 9th St. NW",-77.023984,38.901343,"Washington","District of Columbia","(B)","Bars/Clubs",1979,"","Verified Location",NA,NA,NA
"Exile","(Disco) (Some W, levis) (Sun. buffet - C-AH-WE) at New York Ave.","953 9th St. NW",-77.0239838,38.9013426,"Washington","District of Columbia","(*)","Bars/Clubs",1980,NA,"Google Verified Location",NA,NA,NA
"Famous","","1215 New York Ave NW",-77.0286374,38.9008519,"Washington","District of Columbia","(*)","Bars/Clubs",1965,NA,"Google Verified Location",NA,NA,NA
"Folio Books","","2000 P St.",-77.0452638,38.9094409,"Washington","District of Columbia","(*),(D),(W),(C),(AH),(WE)","Book Store",1979,NA,"Google Verified Location",NA,NA,NA
"Follies","(Cinema) (Books, flicks, 'wild back room')","24 O St. SE",-76.9631904,38.8728445,"Washington","District of Columbia","(*),(D),(W),(C),(AH),(WE)","Book Store,Theatre",1980,NA,"Google Verified Location",NA,NA,NA
"Fox Lounge","","3253 Mt Pleasant",-77.0385753,38.9323383,"Washington","District of Columbia","(M),(RT)","Bars/Clubs",1966,NA,"Google Verified Location",NA,NA,NA
"Fox Lounge","","3253 Mt Pleasant",-77.0385753,38.9323383,"Washington","District of Columbia","","Bars/Clubs",1968,NA,"Google Verified Location",NA,NA,NA
"Fox Lounge","","3253 Mt Pleasant",-77.0385753,38.9323383,"Washington","District of Columbia","(*)","Bars/Clubs",1969,NA,"Google Verified Location",NA,NA,NA
"Fox Lounge","","3253 Mt Pleasant",-77.0385753,38.9323383,"Washington","District of Columbia","(B)","Bars/Clubs",1970,NA,"Google Verified Location",NA,NA,NA
"Fox Lounge","","3253 Mt. Pleasant NW",-77.0385753,38.9323383,"Washington","District of Columbia","(B)","Bars/Clubs",1975,NA,"Google Verified Location",NA,NA,NA
"Fox Lounge","(Some B)","3253 Mt. Pleasant N.W.",-77.0385753,38.9323383,"Washington","District of Columbia","","Bars/Clubs",1978,NA,"Google Verified Location",NA,NA,NA
"Fox Lounge","(Some B)","3253 Mt. Pleasant N.W.",-77.0385753,38.9323383,"Washington","District of Columbia","(M),(*)","Bars/Clubs",1979,NA,"Google Verified Location",NA,NA,NA
"Fox Lounge ","(some B) ","3253 Mt. Pleasant N.W.",-77.0385753,38.9323383,"Washington","District of Columbia","(M),(*)","Bars/Clubs",1976,NA,"Google Verified Location",NA,NA,NA
"Fox Lounge ","(some B) ","3253 Mt. Pleasant N.W.",-77.0385753,38.9323383,"Washington","District of Columbia","(M),(*)","Bars/Clubs",1977,NA,"Google Verified Location",NA,NA,NA
"Fraternity House","(Enter thru alley)","2123 P St. NW",-77.0474813,38.909796,"Washington","District of Columbia","(M),(*)","Bars/Clubs,Restaurant",1978,NA,"Google Verified Location",NA,NA,NA
"Fraternity House","(Enter thru alley) (Cruisy)","2123 P St. NW",-77.0474813,38.909796,"Washington","District of Columbia","(B)","Bars/Clubs,Restaurant,Cruising Areas",1979,NA,"Google Verified Location",NA,NA,NA
"Fraternity House","(Enter thru alley) (Cruisy)","2123 P St. NW",-77.0474813,38.909796,"Washington","District of Columbia","(B)","Bars/Clubs,Restaurant,Cruising Areas",1980,NA,"Google Verified Location",NA,NA,NA
"Free Spirit Fashion","(Men's clothing) Van Ness Center","4301 Connecticut Ave. NW",-77.0634739,38.9450022,"Washington","District of Columbia","(R),(D),(*)","Business",1980,NA,"Google Verified Location",NA,NA,NA
"Friendly Models","(Escorts, etc.) (202) 362-2636","",-77.0368707,38.9071923,"Washington","District of Columbia","(R),(D),(*)","Business",1980,NA,"Google Verified Location",NA,NA,NA
"G.T.'s Famous Faces","","3333 Connecticut Avenue NW",-77.0574807,38.9344877,"Washington","District of Columbia","(R),(D),(PT),(WE),(*),(E)","Bars/Clubs,Restaurant",1977,NA,"Google Verified Location",NA,NA,NA
"Garden of Eden Book Store","","1112 H St. NW",-77.0274351,38.8995387,"Washington","District of Columbia","","Book Store",1973,NA,"Google Verified Location",NA,NA,NA
"Garden of Eden Book Store","","1112 H St. NW",-77.0274351,38.8995387,"Washington","District of Columbia","","Book Store",1974,NA,"Google Verified Location",NA,NA,NA
"Garden of Eden Book Store","","1112 H St. NW",-77.0274351,38.8995387,"Washington","District of Columbia","(R),(D),(E)","Book Store",1975,NA,"Google Verified Location",NA,NA,NA
"Garden of Eden Book Store","","1112 H St. NW",-77.0274351,38.8995387,"Washington","District of Columbia","","Book Store",1976,NA,"Google Verified Location",NA,NA,NA
"Garden of Eden Book Store","","1112 H St. NW",-77.0274351,38.8995387,"Washington","District of Columbia","","Book Store",1977,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","","Restaurant,Bars/Clubs",1965,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","(collegiate)","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","","Bars/Clubs,Restaurant",1966,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","(collegiate)","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","","Bars/Clubs",1968,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","(*),(YC),(R),(HIP)","Bars/Clubs,Restaurant",1969,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","(*),(YC),(R),(HIP)","Bars/Clubs,Restaurant",1970,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","(*),(YC),(R),(HIP)","Bars/Clubs,Restaurant",1971,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","(Georgetown)","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","(*),(YC)","Bars/Clubs,Restaurant",1972,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","(Georgetown)","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","(*),(YC)","Bars/Clubs,Restaurant",1973,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","(Georgetown)","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","(*),(YC)","Bars/Clubs,Restaurant",1974,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","(Georgetown)","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","(*),(YC)","Bars/Clubs,Restaurant",1975,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","(Georgetown)","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","(*),(YC)","Bars/Clubs,Restaurant",1976,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","(Georgetown)","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","(*),(YC)","Bars/Clubs,Restaurant",1977,NA,"Google Verified Location",NA,NA,NA
"Georgetown Grill","(Georgetown) (R- days only)","1329 Wisconsin Ave NW",-77.0631247,38.9074178,"Washington","District of Columbia","(*),(YC)","Bars/Clubs,Restaurant",1978,NA,"Google Verified Location",NA,NA,NA
"Georgetown U. -G.T. Walsh Bldg.","(3rd & 4th Floors), Gymnasium, and Student Union (main floor)","",-77.070027,38.906166,"Washington","District of Columbia","(*)","Cruising Areas",1976,"","Verified Location",NA,NA,NA
"Georgetown U. -G.T. Walsh Bldg.","(3rd & 4th Floors), Gymnasium, and Student Union (main floor)","",-77.070027,38.906166,"Washington","District of Columbia","(*)","Cruising Areas",1977,"","Verified Location",NA,NA,NA
"Georgetown U. -G.T. Walsh Bldg.","(3rd & 4th Floors), Gymnasium, and Student Union (main floor) - T-Rooms","",-77.070027,38.906166,"Washington","District of Columbia","(*)","Cruising Areas",1978,"","Verified Location",NA,NA,NA
"Georgetown U. -G.T. Walsh Bldg.","(3rd & 4th Floors), Gymnasium, and Student Union (main floor) - T-Rooms","",-77.070027,38.906166,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1979,"","Verified Location",NA,NA,NA
"Georgetown U. -G.T. Walsh Bldg.","(3rd & 4th Floors), Gymnasium, and Student Union (main floor) - T-Rooms","",-77.070027,38.906166,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1980,"","Verified Location",NA,NA,NA
"Golden Calf","","1133 14th St NW",-77.0315774,38.9047062,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1965,NA,"Google Verified Location",NA,NA,NA
"Golden Calf","","1133 14th St NW",-77.0315774,38.9047062,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1966,NA,"Google Verified Location",NA,NA,NA
"Golden Calf","","1133 14th St NW",-77.0315774,38.9047062,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1968,NA,"Google Verified Location",NA,NA,NA
"Golden Calf","","1133 14th St NW",-77.0315774,38.9047062,"Washington","District of Columbia","(PE)","Bars/Clubs",1969,NA,"Google Verified Location",NA,NA,NA
"Golden Calf","","1133 14th St NW",-77.0315774,38.9047062,"Washington","District of Columbia","","Bars/Clubs",1970,NA,"Google Verified Location",NA,NA,NA
"Golden Calf","","1133 14th St NW",-77.0315774,38.9047062,"Washington","District of Columbia","","Bars/Clubs",1971,NA,"Google Verified Location",NA,NA,NA
"Grand Central","(looks like a winner) at New Jersey","900 1st St. SE",-77.0058968,38.8792734,"Washington","District of Columbia","","Bars/Clubs",1975,NA,"Google Verified Location",NA,NA,NA
"Grand Central","at 'K' St. just off New Jersey","900 1st St. SE",-77.0058968,38.8792734,"Washington","District of Columbia","(PE)","Bars/Clubs,Restaurant",1976,NA,"Google Verified Location",NA,NA,NA
"Grand Central","(Disco) (Admission charge) just off New Jersey & I Streets","900 1st St. SE",-77.0058968,38.8792734,"Washington","District of Columbia","(PE)","Bars/Clubs,Restaurant",1977,NA,"Google Verified Location",NA,NA,NA
"Grand Central","(Many B, G) (Disco) (Was closed - may be reopening) just off New Jersey & I Streets","900 1st St. SE",-77.0058968,38.8792734,"Washington","District of Columbia","(D),(B),(G)","Bars/Clubs",1978,NA,"Google Verified Location",NA,NA,NA
"Greyhound Bus Depot","","",-77.027589,38.900256,"Washington","District of Columbia","(YC),(D),(*),(R),(B)","Cruising Areas",1975,"","Verified Location",NA,NA,NA
"Greyhound Bus Depot","","",-77.027589,38.900256,"Washington","District of Columbia","(YC),(D),(*),(R)","Cruising Areas",1976,"","Verified Location",NA,NA,NA
"Greyhound Bus Depot","","",-77.027589,38.900256,"Washington","District of Columbia","(YC),(D),(*)","Cruising Areas",1977,"","Verified Location",NA,NA,NA
"Greyhound Bus Depot","","",-77.027589,38.900256,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1978,"","Verified Location",NA,NA,NA
"Greyhound Bus Depot","","",-77.027589,38.900256,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1979,"","Verified Location",NA,NA,NA
"Greyhound Bus Depot","","",-77.027589,38.900256,"Washington","District of Columbia","Cruisy Area,(RT),(B)","Cruising Areas",1980,"","Verified Location",NA,NA,NA
"Gymnasium- George Washington Univ.","","",-77.048599,38.899715,"Washington","District of Columbia","Cruisy Area,(RT)","Cruising Areas",1975,"Pin on GW Campus","Verified Location",NA,NA,NA
"Gymnasium--Geo. Washington Univ.","","",-77.048599,38.899715,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1974,"Pin on GW Campus","Verified Location",NA,NA,NA
"Hideaway","(downstairs- below Hickory House)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1973,"","Verified Location",NA,NA,NA
"Hideaway","(downstairs- below Hickory House)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1974,"","Verified Location",NA,NA,NA
"Hideaway","(downstairs- below Hickory House)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1975,"","Verified Location",NA,NA,NA
"Hideaway","(downstairs)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","(D),(OC)","Bars/Clubs",1976,"","Verified Location",NA,NA,NA
"Hideaway","(downstairs) (WE*)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","(D),(OC)","Bars/Clubs",1977,"","Verified Location",NA,NA,NA
"Hideaway","(downstairs) (WE*)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","(D),(WE),(*)","Bars/Clubs",1978,"","Verified Location",NA,NA,NA
"Hideaway","(downstairs) (Tired)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","(D),(WE),(*)","Bars/Clubs",1979,"","Verified Location",NA,NA,NA
"Hideaway","(Downstairs) (Tired)","9th & Pennsylvania",-77.023651,38.893709,"Washington","District of Columbia","(D),(WE),(*)","Business",1980,"","Verified Location",NA,NA,NA
"Horseshoe Saloon","","8th & E Sts. S.E.",-76.994956,38.882861,"Washington","District of Columbia","(YC),(*),(D)","Bars/Clubs",1976,"","Verified Location",NA,NA,NA
"Horseshoe Saloon","","8th & E Sts. S.E.",-76.994956,38.882861,"Washington","District of Columbia","(YC),(*),(D)","Bars/Clubs",1977,"","Verified Location",NA,NA,NA
"Hubbard House","","1501 Connecticut Ave NW",-77.0436508,38.9105668,"Washington","District of Columbia","(YC),(*),(D)","Restaurant",1968,NA,"Google Verified Location",NA,NA,NA
"Hunting Lodge","(rear)","2122 P St. NW",-77.0476088,38.9094067,"Washington","District of Columbia","","Restaurant",1980,NA,"Google Verified Location",NA,NA,NA
"Iwo Jima Memorial--wooden area","(Arlington, VA)","",-77.069721,38.890437,"Arlington","VA","(W),(*)","Cruising Areas",1975,"","Verified Location",NA,NA,NA
"Iwo Jima Memorial--wooden area","(Arlington, VA)","",-77.069721,38.890437,"Arlington","VA","(M),(R),(C)","Cruising Areas",1976,"","Verified Location",NA,NA,NA
"Jimmie's","","11st St NW bet M & N",-77.026909,38.906366,"Washington","District of Columbia","(R)","Bars/Clubs",1969,"Pin in middle of street","Verified Location",NA,NA,NA
"Jimmie's","","11st St NW bet M & N",-77.026909,38.906366,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1970,"Pin in middle of street","Verified Location",NA,NA,NA
"Jimmie's","","11st St NW bet M & N",-77.026909,38.906366,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1971,"Pin in middle of street","Verified Location",NA,NA,NA
"Joanna's","","8th & E St. S.E.",-76.994956,38.882861,"Washington","District of Columbia","(G),(RT)","Bars/Clubs",1971,"","Verified Location",NA,NA,NA
"Joanna's","","8th & E St. S.E.",-76.994956,38.882861,"Washington","District of Columbia","(G),(RT)","Bars/Clubs",1972,"","Verified Location",NA,NA,NA
"Joanna's","","8th & E St. S.E.",-76.994956,38.882861,"Washington","District of Columbia","(G),(RT)","Bars/Clubs",1973,"","Verified Location",NA,NA,NA
"Joanna's","(weekends*)","8th & 'E' St. SE",-76.994956,38.882861,"Washington","District of Columbia","(G),(S),(*)","Bars/Clubs",1975,NA,"Verified Location",NA,NA,NA
"Johnnie's","","8th & E Sts SE",-76.994956,38.882861,"Washington","District of Columbia","(*),(G),(D)","Bars/Clubs",1965,"","Verified Location",NA,NA,NA
"Johnnie's","","8th & E Sts SE",-76.994956,38.882861,"Washington","District of Columbia","(*),(G),(D)","Bars/Clubs",1966,"","Verified Location",NA,NA,NA
"Johnnie's ","","8th & E Sts SE",-76.994956,38.882861,"Washington","District of Columbia","(*),(G),(D)","Bars/Clubs",1968,"","Verified Location",NA,NA,NA
"Johnnie's ","","8th & E St. SE",-76.994956,38.882861,"Washington","District of Columbia","(*)","Bars/Clubs",1969,"","Verified Location",NA,NA,NA
"Johnnie's ","","8th & E St. SE",-76.994956,38.882861,"Washington","District of Columbia","(*)","Bars/Clubs",1970,"","Verified Location",NA,NA,NA
"Johnnie's ","","8th & E St. SE",-76.994956,38.882861,"Washington","District of Columbia","(D),(*)","Bars/Clubs",1971,"","Verified Location",NA,NA,NA
"Johnnie's ","","8th & E St. SE",-76.994956,38.882861,"Washington","District of Columbia","","Bars/Clubs",1972,"","Verified Location",NA,NA,NA
"Johnnie's ","","8th & E St. SE",-76.994956,38.882861,"Washington","District of Columbia","","Bars/Clubs",1973,"","Verified Location",NA,NA,NA
"Lafayette (Leon's) Chicken Hut","","1720 H St NW",-77.0405115,38.8999563,"Washington","District of Columbia","(*)","Bars/Clubs",1969,NA,"Google Verified Location",NA,NA,NA
"Lafayette (Leon's) Chicken Hut","","1720 H St NW",-77.0405115,38.8999563,"Washington","District of Columbia","(*)","Bars/Clubs",1970,NA,"Google Verified Location",NA,NA,NA
"Lafayette Chicken Hut (Leon's)","","1720 H St NW",-77.0405115,38.8999563,"Washington","District of Columbia","(*)","Bars/Clubs",1971,NA,"Google Verified Location",NA,NA,NA
"Lafayette Chicken Hut (Leon's)","(upstairs)","1720 H St NW",-77.0405115,38.8999563,"Washington","District of Columbia","(*)","Bars/Clubs",1972,NA,"Google Verified Location",NA,NA,NA
"Lafayette Park","","",-77.036549,38.899537,"Washington","District of Columbia","(*)","Cruising Areas",1974,"","Verified Location",NA,NA,NA
"Lafayette Park","","",-77.036549,38.899537,"Washington","District of Columbia","(*),(YC),(D)","Cruising Areas",1975,"","Verified Location",NA,NA,NA
"Lafayette Park","","",-77.036549,38.899537,"Washington","District of Columbia","(*)","Cruising Areas",1976,"","Verified Location",NA,NA,NA
"Lafayette Park","","",-77.036549,38.899537,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1977,"","Verified Location",NA,NA,NA
"Lafayette Park","","",-77.036549,38.899537,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1978,"","Verified Location",NA,NA,NA
"Lamas Women's Store","(Books, etc.)","321 7th St. SE",-76.9964034,38.8855301,"Washington","District of Columbia","Cruisy Area","Book Store",1980,NA,"Google Verified Location",NA,NA,NA
"Lambda Rising","(Book Store)","1724 20th St. NW",-77.0450451,38.9136126,"Washington","District of Columbia","Cruisy Area","Book Store",1976,NA,"Google Verified Location",NA,NA,NA
"Lambda Rising","(Book Store)","1724 20th St. NW",-77.0450451,38.9136126,"Washington","District of Columbia","Cruisy Area","Book Store",1977,NA,"Google Verified Location",NA,NA,NA
"Lambda Rising","(Book Store)","1724 20th St. NW",-77.0450451,38.9136126,"Washington","District of Columbia","","Book Store",1978,NA,"Google Verified Location",NA,NA,NA
"Lambda Rising Book Store","","2012 S St. NW",-77.045493,38.9139292,"Washington","District of Columbia","(*)","Book Store",1979,NA,"Google Verified Location",NA,NA,NA
"Lambda Rising Book Store","","2012 S St. NW",-77.045493,38.9139292,"Washington","District of Columbia","(*)","Book Store",1980,NA,"Google Verified Location",NA,NA,NA
"Last National Bank","(Some W, SM) (Looks promising)","9th & New York Ave NW",-77.023987,38.90216,"Washington","District of Columbia","","Bars/Clubs",1977,"","Verified Location",NA,NA,NA
"Le Salon","(Books, toys, peep shows, film etc.) (2nd floor)","804 14th St. NW",-77.0318939,38.9002805,"Washington","District of Columbia","(*)","Business,Book Store",1979,NA,"Google Verified Location",NA,NA,NA
"Le Salon","(Books, toys, peep shows, film etc.) (2nd floor) ('Action' maze)","804 14th St. NW",-77.0318939,38.9002805,"Washington","District of Columbia","(*)","Business,Book Store",1980,NA,"Google Verified Location",NA,NA,NA
"Leather Rack","(clothing)","918 9th St. NW",-77.024859,38.9017062,"Washington","District of Columbia","(D),(SM),(W)","Business",1977,NA,"Google Verified Location",NA,NA,NA
"Leather Rack","(clothing)","918 9th St. NW",-77.024859,38.9017062,"Washington","District of Columbia","(*),(P)","Business",1978,NA,"Google Verified Location",NA,NA,NA
"Leather Rack","(Leather, clothes, etc.) (Above Eagle)","904 9th St. NW",-77.0239838,38.901359,"Washington","District of Columbia","(*),(P)","Business",1979,NA,"Google Verified Location",NA,NA,NA
"Leather Rack","(Leather, clothes, etc.) (Above Eagle)","904 9th St. NW",-77.0239838,38.901359,"Washington","District of Columbia","","Business",1980,NA,"Google Verified Location",NA,NA,NA
"Leon's ","(Chicken Hut)","1720 H St NW",-77.0405115,38.8999563,"Washington","District of Columbia","","Bars/Clubs",1968,NA,"Google Verified Location",NA,NA,NA
"Leon's (Chicken Hut)","(Chicken Hut)","1720 H St NW",-77.0405115,38.8999563,"Washington","District of Columbia","","Bars/Clubs",1966,NA,"Google Verified Location",NA,NA,NA
"Life Raft","","639 Pennsylvania Ave. S.E.",-76.9971233,38.8847082,"Washington","District of Columbia","","Bars/Clubs,Restaurant",1973,NA,"Google Verified Location",NA,NA,NA
"Life Raft","","639 Pennsylvania Ave. S.E.",-76.9971233,38.8847082,"Washington","District of Columbia","(*)","Bars/Clubs,Restaurant",1974,NA,"Google Verified Location",NA,NA,NA
"Life Raft","","639 Pennsylvania Ave. S.E.",-76.9971233,38.8847082,"Washington","District of Columbia","(*)","Bars/Clubs,Restaurant",1975,NA,"Google Verified Location",NA,NA,NA
"Lost & Found","(No neon sign, but don't miss this one) ","56 L St. SE",-77.0066899,38.8776671,"Washington","District of Columbia","(R),(YC),(D)","Restaurant,Bars/Clubs",1973,NA,"Google Verified Location",NA,NA,NA
"Lost & Found","(No neon sign, but don't miss it... new, enlarged facilities!) ","56 L St. SE",-77.0066899,38.8776671,"Washington","District of Columbia","(R),(YC),(D),(*)","Restaurant,Bars/Clubs",1974,NA,"Google Verified Location",NA,NA,NA
"Lost & Found","(No neon sign, but don't miss it) ","56 L St. SE",-77.0066899,38.8776671,"Washington","District of Columbia","(R),(YC),(D),(*)","Restaurant,Bars/Clubs",1975,NA,"Google Verified Location",NA,NA,NA
"Lost & Found","(No neon sign, but don't miss it) (Disco)","56 L St. SE",-77.0066899,38.8776671,"Washington","District of Columbia","(*),(YC),(D),(R)","Restaurant,Bars/Clubs",1976,NA,"Google Verified Location",NA,NA,NA
"Lost & Found","(Disco) (Admission charge- No neon sign, but don't miss it... just follow the crowd) (Disco)","56 L St. SE",-77.0066899,38.8776671,"Washington","District of Columbia","(*),(YC),(D),(R)","Restaurant,Bars/Clubs",1977,NA,"Google Verified Location",NA,NA,NA
"Lost & Found","(Disco) (No neon sign, but don't miss it) (Disco)","56 L St. SE",-77.0066899,38.8776671,"Washington","District of Columbia","(R),(YC),(D),(*)","Restaurant,Bars/Clubs",1978,NA,"Google Verified Location",NA,NA,NA
"Lost & Found","(Disco) (No neon sign, but don't miss it!) (Disco)","56 L St. SE",-77.0066899,38.8776671,"Washington","District of Columbia","(R),(YC),(D),(*)","Restaurant,Bars/Clubs",1979,NA,"Google Verified Location",NA,NA,NA
"Lost & Found","(Disco) (No neon sign, but don't miss it!) (Disco)","56 L St. SE",-77.0066899,38.8776671,"Washington","District of Columbia","(R),(YC),(D),(*)","Restaurant,Bars/Clubs",1980,NA,"Google Verified Location",NA,NA,NA
"Lou's Hide-A-Way","(downstairs below Hickory House)
","Pennsylvania & 9th St NW ",-77.023651,38.893709,"Washington","District of Columbia","(R),(YC),(D),(*)","Bars/Clubs",1968,NA,"Google Verified Location",NA,NA,NA
"Lou's Hide-A-Way","(downstairs below Hickory House)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","(R),(YC),(D),(*)","Bars/Clubs",1969,"","Verified Location",NA,NA,NA
"Lou's Hide-A-Way","(downstairs below Hickory House)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","(R),(YC),(D),(*)","Bars/Clubs",1970,"","Verified Location",NA,NA,NA
"Lou's Hideaway","","821 Penna Ave NW",-77.023651,38.893709,"Washington","District of Columbia","(YC),(*)","Bars/Clubs",1965,NA,"Google Verified Location",NA,NA,NA
"Lou's Hideaway","","821 Pennsylvania Ave SW",-77.023651,38.893709,"Washington","District of Columbia","(YC),(*)","Bars/Clubs",1966,NA,"Google Verified Location",NA,NA,NA
"Lou's Hideaway","(downstairs below Hickory House)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","(*)","Bars/Clubs",1971,"","Verified Location",NA,NA,NA
"Lou's Hideaway","(downstairs- below Hickory House)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","(YC),(*),(D)","Bars/Clubs",1972,"","Verified Location",NA,NA,NA
"Louie's ","(weekends) (in back bar)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","(YC),(*),(D)","Bars/Clubs",1969,"","Verified Location",NA,NA,NA
"Louie's ","(weekends-- back bar 9th St. entrance)","9th & Pennsylvania NW",-77.023651,38.893709,"Washington","District of Columbia","(*)","Bars/Clubs",1970,"","Verified Location",NA,NA,NA
"Louie's Spartan Lounge","(W-Th-F-Sat only)","304 9th St. N.W.",-77.0239884,38.8941121,"Washington","District of Columbia","(*)","Bars/Clubs",1971,NA,"Google Verified Location",NA,NA,NA
"Louie's Spartan Lounge","(W-Th-F-Sat only)","304 9th St. N.W.",-77.0239884,38.8941121,"Washington","District of Columbia","(SM)","Bars/Clubs",1972,NA,"Google Verified Location",NA,NA,NA
"Louie's Spartan Lounge","","305 9th St. N.W.",-77.0236663,38.8923768,"Washington","District of Columbia","(SM)","Bars/Clubs",1973,NA,"Google Verified Location",NA,NA,NA
"Louie's Spartan Lounge","","305 9th St. N.W.",-77.0236663,38.8923768,"Washington","District of Columbia","(SM),(W)","Bars/Clubs",1974,NA,"Google Verified Location",NA,NA,NA
"Louie's Spartan Lounge","","305 9th St. N.W.",-77.0236663,38.8923768,"Washington","District of Columbia","(SM),(W)","Bars/Clubs",1975,NA,"Google Verified Location",NA,NA,NA
"Louie's Spartan Lounge","(some SM)","305 9th St. N.W.",-77.0236663,38.8923768,"Washington","District of Columbia","(SM),(W)","Bars/Clubs",1976,NA,"Google Verified Location",NA,NA,NA
