"title","description","streetaddress","city","state","Year","amenityfeatures","type","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Sun Tavern","(Disco) (Patio in summer) (Adm. WE)","1 South 400 West","Salt Lake City","UT",1980,"(*),(YC),(D),(WE)","Bars/Clubs","","1 South 400 West, Salt Lake City, UT",-111.9024199,40.7692374,"1 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"Uptown Lounge","(Guys unwelcome, undesirable gals)","15 S. 400 West","Salt Lake City","UT",1980,"(L),(RT)","Bars/Clubs","","15 S. 400 West, Salt Lake City, UT",-111.9024346,40.7688444,"15 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"Village Idiot","(Clothes, head shop)","660 S. State St.","Salt Lake City","UT",1980,"(M)","Bars/Clubs","","660 S. State St., Salt Lake City, UT",-111.8885766,40.7548101,"660 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Waking Owl Book Co.","","1260 E. 4th South","Salt Lake City","UT",1980,"","Book Store","","1260 E. 4th South, Salt Lake City, UT",-111.8518392,40.7735476,"1260 e 4th ave, salt lake city, ut 84103, usa","Geocoded",NA
"Adult Book & Cinema","(Cruisy)","2212 Washington Blvd.","Ogden","UT",1979,"","Cruising Areas,Theatre,Book Store","","2212 Washington Blvd., Ogden, UT",-111.9698445,41.2264728,"2212 washington blvd, ogden, ut 84401, usa","Geocoded",NA
"Brewery","","1889 Lincoln Ave","Ogden","UT",1979,"(M),(HIP),(YC)","Bars/Clubs","","1889 Lincoln Ave, Ogden, UT",-111.976416,41.2336304,"1889 lincoln ave, ogden, ut 84401, usa","Geocoded",NA
"Old Mill","(Disco)
","1251 Canyon Rd","Ogden","UT",1979,"(M),(HIP),(YC),(D)","Bars/Clubs","","1251 Canyon Rd, Ogden, UT",-111.9467111,41.2426595,"1251 canyon rd, ogden, ut 84404, usa","Geocoded",NA
"Sambo's","","3670 Washington Blvd.","Ogden","UT",1979,"(M),(R),(C),(AH)","Restaurant","","3670 Washington Blvd., Ogden, UT",-111.9706469,41.1960764,"3670 washington blvd, south ogden, ut 84403, usa","Geocoded",NA
"Comeback","(Semi-P - show ADDRESS BOOK for adm.) (Disco) (occ. S) (C-AH) ","551 S. 300 West","Salt Lake City","UT",1979,"(*),(P),(YC),(D),(PT),(R),(S),(C),(AH)","Restaurant,Bars/Clubs","","551 S. 300 West, Salt Lake City, UT",-111.8995932,40.7571849,"551 s 300 w, salt lake city, ut 84101, usa","Geocoded",NA
"Jeff's Gym","(Another name for the old Club Baths which, when not raided, is mediocre at best)","727 W. 17th St.","Salt Lake City","UT",1979,"","Baths","","727 W. 17th St., Salt Lake City, UT",-111.9159385,40.8042047,"727 w 17th n, salt lake city, ut 84116, usa","Geocoded",NA
"M.C.C.","","870 W. 400 South","Salt Lake City","UT",1979,"(MCC)","Church","","870 W. 400 South, Salt Lake City, UT",-111.9160056,40.7607155,"870 w & 400 s, salt lake city, ut 84104, usa","Geocoded",NA
"Open Book","(Books) (Downstairs)","10252 2nd Ave.","Salt Lake City","UT",1979,"(M)","Book Store","","10252 2nd Ave., Salt Lake City, UT",-111.86856,40.7716991,"e 2nd ave, salt lake city, ut 84103, usa","Geocoded",NA
"Radio City","(Some W, OC) (Can enter thru parking lot in rear)","147 So. State St.","Salt Lake City","UT",1979,"(*),(W),(OC),(D),(PT)","Bars/Clubs","","147 So. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Sun Tavern","(Disco) (Some G) (Patio in Summer) (Adm. WE) ","400 W. South Temple","Salt Lake City","UT",1979,"(*),(D),(G),(WE)","Bars/Clubs","","400 W. South Temple, Salt Lake City, UT",-111.9024199,40.7692765,"s temple & 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"Uptown Lounge","(Guys unwelcome - undesirable gals)","15 S. 400 West","Salt Lake City","UT",1979,"(G),(RT)","Bars/Clubs","","15 S. 400 West, Salt Lake City, UT",-111.9024346,40.7688444,"15 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"Village Idiot","(Books, clothes, etc.)","660 S. State St.","Salt Lake City","UT",1979,"","Book Store","","660 S. State St., Salt Lake City, UT",-111.8885766,40.7548101,"660 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Waking Owl Book Co.","","1260 E. 4th South","Salt Lake City","UT",1979,"","Book Store","","1260 E. 4th South, Salt Lake City, UT",-111.8518392,40.7735476,"1260 e 4th ave, salt lake city, ut 84103, usa","Geocoded",NA
"Adult Book & Cinema","(Cruisy)","2212 Washington Blvd.","Ogden","UT",1978,"","Bars/Clubs,Cruising Areas","","2212 Washington Blvd., Ogden, UT",-111.9698445,41.2264728,"2212 washington blvd, ogden, ut 84401, usa","Geocoded",NA
"Brewery","","1889 Lincoln Ave","Ogden","UT",1978,"(M),(HIP),(YC)","Bars/Clubs","","1889 Lincoln Ave, Ogden, UT",-111.976416,41.2336304,"1889 lincoln ave, ogden, ut 84401, usa","Geocoded",NA
"Old Mill","(Disco)
","1251 Canyon Rd","Ogden","UT",1978,"(M),(HIP),(YC),(D)","Bars/Clubs","","1251 Canyon Rd, Ogden, UT",-111.9467111,41.2426595,"1251 canyon rd, ogden, ut 84404, usa","Geocoded",NA
"Sambo's","","3670 Washington Blvd.","Ogden","UT",1978,"(M),(R),(C),(AH)","Restaurant","","3670 Washington Blvd., Ogden, UT",-111.9706469,41.1960764,"3670 washington blvd, south ogden, ut 84403, usa","Geocoded",NA
"Club Baths","","727 W. 17th St.","Salt Lake City","UT",1978,"(P),(*)","Baths","","727 W. 17th St., Salt Lake City, UT",-111.9159385,40.8042047,"727 w 17th n, salt lake city, ut 84116, usa","Geocoded",NA
"Comeback","(Semi-P) (Liquor)","551 So. 3rd West","Salt Lake City","UT",1978,"(P),(YC),(D),(*)","Bars/Clubs","","551 So. 3rd West, Salt Lake City, UT",-111.9001616,40.7813095,"551 3rd w, salt lake city, ut 84103, usa","Geocoded",NA
"M.C.C.","","740 So. 7th East","Salt Lake City","UT",1978,"(MCC)","Church","","740 So. 7th East, Salt Lake City, UT",-111.8714141,40.7530917,"740 700 e, salt lake city, ut 84102, usa","Geocoded",NA
"Radio City","(Can enter thru parking lot in rear)","147 So. State St.","Salt Lake City","UT",1978,"(D),(PT),(*)","Bars/Clubs","","147 So. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Sun Tavern","(Disco) (Patio in Summer) (Adm. WE) ","400 W. South Temple","Salt Lake City","UT",1978,"(YC),(D),(*)","Bars/Clubs","","400 W. South Temple, Salt Lake City, UT",-111.9024199,40.7692765,"s temple & 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"Uptown Lounge","(Snacks) (Next to Sun Tavern)","15 S. 400 West","Salt Lake City","UT",1978,"(G),(D),(PT),(*)","Bars/Clubs","","15 S. 400 West, Salt Lake City, UT",-111.9024346,40.7688444,"15 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"Club Baths","(Semi P)*","727 W. 17th St.","Salt Lake City","UT",1977,"(P),(*)","Baths","","727 W. 17th St., Salt Lake City, UT",-111.9159385,40.8042047,"727 w 17th n, salt lake city, ut 84116, usa","Geocoded",NA
"Gay Community Service Center","","11 S. 400 W.","Salt Lake City","UT",1977,"","Organizations","interesting that this doesnt last","11 S. 400 W., Salt Lake City, UT",-111.9024277,40.7689627,"11 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"M.C.C. ","","740 S. 7th East","Salt Lake City","UT",1977,"(MCC)","Church","","740 S. 7th East, Salt Lake City, UT",-111.8714141,40.7530917,"740 700 e, salt lake city, ut 84102, usa","Geocoded",NA
"Radio City","(Can enter thru parking lot in rear)","147 S. State St.","Salt Lake City","UT",1977,"(D),(PT),(*)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Rusty Bell","(Semi P) (Some G) (Disco) (Open daily 11 a.m. - 2 a.m.) ","996 S. Redwood Road","Salt Lake City","UT",1977,"(*),(P),(YC),(G),(D),(PT)","Bars/Clubs","","996 S. Redwood Road, Salt Lake City, UT",-111.9397199,40.7474917,"996 s redwood rd, salt lake city, ut 84104, usa","Geocoded",NA
"Sister's","(also soup, snacks, etc.) (Next to and part of the same complex that includes ""Sunset Room"" & Sun"" Tavern)","15 S. 400 West","Salt Lake City","UT",1977,"(G),(D),(PT),(*)","Bars/Clubs","","15 S. 400 West, Salt Lake City, UT",-111.9024346,40.7688444,"15 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"Sunset Room","(Sunday brunch)","369 W. South Temple","Salt Lake City","UT",1977,"(R),(*)","Restaurant","","369 W. South Temple, Salt Lake City, UT",-111.9012515,40.7683589,"369 w s temple, salt lake city, ut 84101, usa","Geocoded",NA
"Sun Tavern","(Disco) (patio in summer)","400 W. South Temple","Salt Lake City","UT",1977,"(YC),(D),(*)","Bars/Clubs","","400 W. South Temple, Salt Lake City, UT",-111.9024199,40.7692765,"s temple & 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"Club Baths","","727 W. 17th St.","Salt Lake City","UT",1976,"","Baths","","727 W. 17th St., Salt Lake City, UT",-111.9159385,40.8042047,"727 w 17th n, salt lake city, ut 84116, usa","Geocoded",NA
"M.C.C. ","","740 S. 7th East","Salt Lake City","UT",1976,"(MCC)","Church","","740 S. 7th East, Salt Lake City, UT",-111.8714141,40.7530917,"740 700 e, salt lake city, ut 84102, usa","Geocoded",NA
"Perky's ","","66 N. 400 West","Salt Lake City","UT",1976,"(G)","Bars/Clubs","","66 N. 400 West, Salt Lake City, UT",-111.9026185,40.7709841,"66 n 400 w, salt lake city, ut 84103, usa","Geocoded",NA
"Radio City","('R.C.' or 'the lounge')","147 S. State St.","Salt Lake City","UT",1976,"(YC),(D),(*)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Sun Tavern","(includes patio)","400 West S. Temple","Salt Lake City","UT",1976,"(D),(*)","Bars/Clubs","","400 West S. Temple, Salt Lake City, UT",-111.9024199,40.7692765,"s temple & 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"Club Baths","","727 W. 17th South","Salt Lake City","UT",1975,"","Baths","","727 W. 17th South, Salt Lake City, UT",-111.9159385,40.8042047,"727 w 17th n, salt lake city, ut 84116, usa","Geocoded",NA
"Club 15","","15 S. 400 West","Salt Lake City","UT",1975,"(P),(D),(*)","Bars/Clubs","","15 S. 400 West, Salt Lake City, UT",-111.9024346,40.7688444,"15 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"Leon's","","4233 Highland Dr.","Salt Lake City","UT",1975,"(M),(R)","Restaurant,Bars/Clubs","","4233 Highland Dr., Salt Lake City, UT",-111.8424427,40.6795547,"4233 highland dr, holladay, ut 84124, usa","Geocoded",NA
"M.C.C. ","","740 S. 7th East","Salt Lake City","UT",1975,"(MCC)","Church","","740 S. 7th East, Salt Lake City, UT",-111.8714141,40.7530917,"740 700 e, salt lake city, ut 84102, usa","Geocoded",NA
"Perky's ","","66 N. 3rd West","Salt Lake City","UT",1975,"(G)","Bars/Clubs","","66 N. 3rd West, Salt Lake City, UT",-111.8995946,40.77096,"66 3rd w, salt lake city, ut 84103, usa","Geocoded",NA
"Radio City","('The Lounge')","147 S. State St.","Salt Lake City","UT",1975,"(D)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Sun Tavern","","400 West S. Temple","Salt Lake City","UT",1975,"(YC),(D),(*)","Bars/Clubs","","400 West S. Temple, Salt Lake City, UT",-111.9024199,40.7692765,"s temple & 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"Theatre 138","","138 S. 200 East","Salt Lake City","UT",1975,"","Theatre","","138 S. 200 East, Salt Lake City, UT",-111.8858225,40.76621,"138 s 200 e, salt lake city, ut 84111, usa","Geocoded",NA
"Club Baths","","727 W. 17th South","Salt Lake City","UT",1974,"","Baths","","727 W. 17th South, Salt Lake City, UT",-111.9159385,40.8042047,"727 w 17th n, salt lake city, ut 84116, usa","Geocoded",NA
"Club 15","","15 S. 400 West","Salt Lake City","UT",1974,"(P),(YC),(D),(*)","Bars/Clubs","","15 S. 400 West, Salt Lake City, UT",-111.9024346,40.7688444,"15 400 w, salt lake city, ut 84101, usa","Geocoded",NA
"Metropolitan Community Church","","740 S. 7th East","Salt Lake City","UT",1974,"","Church","","740 S. 7th East, Salt Lake City, UT",-111.8714141,40.7530917,"740 700 e, salt lake city, ut 84102, usa","Geocoded",NA
"Perky's ","","66 N. 3rd West","Salt Lake City","UT",1974,"(G)","Bars/Clubs","","66 N. 3rd West, Salt Lake City, UT",-111.8995946,40.77096,"66 3rd w, salt lake city, ut 84103, usa","Geocoded",NA
"Roundup","","279 W. 2nd South","Salt Lake City","UT",1974,"(M),(RT)","Bars/Clubs","","279 W. 2nd South, Salt Lake City, UT",-111.8976523,40.7733583,"279 w 2nd n, salt lake city, ut 84103, usa","Geocoded",NA
"The Lounge (Radio City)","","147 S. State St.","Salt Lake City","UT",1974,"(D),(*)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Wasatch Baths","","840 N. 200 West","Salt Lake City","UT",1974,"(M)","Baths","","840 N. 200 West, Salt Lake City, UT",-111.8974027,40.7857536,"840 n 200 w, salt lake city, ut 84103, usa","Geocoded",NA
"Perky's","","66 N. 3 W.","Salt Lake City","UT",1973,"(G)","Bars/Clubs","","66 N. 3 W., Salt Lake City, UT",-111.8995946,40.77096,"66 3rd w, salt lake city, ut 84103, usa","Geocoded",NA
"Roundup","","279 W. 2 S.","Salt Lake City","UT",1973,"(M)","Bars/Clubs","","279 W. 2 S., Salt Lake City, UT",-111.8828652,40.7631675,"279 e 300 s, salt lake city, ut 84111, usa","Geocoded",NA
"The Lounge","","147 S. State St.","Salt Lake City","UT",1973,"(D),(YC),(*)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"The Lounge","","147 S. State St.","Salt Lake City","UT",1972,"(D),(*)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"The Lounge","","147 S. State St.","Salt Lake City","UT",1971,"(D),(*)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"The Lounge (Radio City)","","147 S. State St.","Salt Lake City","UT",1970,"(D),(*)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"The Lounge","","147 S. State St.","Salt Lake City","UT",1969,"(*)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Twilight","","28 S State St.","Salt Lake City","UT",1969,"(M)","Bars/Clubs","","28 S State St., Salt Lake City, UT",-111.8886412,40.7685896,"28 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Angel Lounge","","340 S State St","Salt Lake City","UT",1968,"(*)","Bars/Clubs","","340 S State St, Salt Lake City, UT",-111.8886742,40.7617261,"340 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"The Lounge","","147 S. State St.","Salt Lake City","UT",1968,"(*)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Twilight","","28 S State St.","Salt Lake City","UT",1968,"(M)","Bars/Clubs","","28 S State St., Salt Lake City, UT",-111.8886412,40.7685896,"28 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"The Lounge","","147 S. State St.","Salt Lake City","UT",1966,"(*)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Twilight","","28 S State St.","Salt Lake City","UT",1966,"(M)","Bars/Clubs","","28 S State St., Salt Lake City, UT",-111.8886412,40.7685896,"28 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"The Lounge","","147 S. State St.","Salt Lake City","UT",1965,"(*)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Twilight","","28 S State St.","Salt Lake City","UT",1965,"(M)","Bars/Clubs","","28 S State St., Salt Lake City, UT",-111.8886412,40.7685896,"28 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Wasatch Spgs Baths","","840 N 2nd W","Salt Lake City","UT",1965,"","Baths","","840 N 2nd W, Salt Lake City, UT",-111.8910474,40.7607793,"salt lake city, ut, usa","Geocoded",NA
"","","","","",NA,"","","",", , ",NA,NA,NA,"Geocoded",NA
"","","","","",NA,"","","",", , ",NA,NA,NA,"Geocoded",NA
"'B.A.' Beach near Salt-Air Beach","","","Salt Lake City","UT",1973,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",", UT",-112.187268,40.747813,"unclear_coded_by_hand","General Cooordinates Used",NA
"'B.A.' Beach nr. Salt Air Beach","","","Salt Lake City","UT",1980,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",", UT",-112.187268,40.747813,"unclear_coded_by_hand","General Cooordinates Used",NA
"'B.A.' Beach nr. Salt Air Beach","","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",", UT",-112.187268,40.747813,"unclear_coded_by_hand","General Cooordinates Used",NA
"'B.A.' Beach nr. Salt Air Beach","","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",", UT",-112.187268,40.747813,"unclear_coded_by_hand","General Cooordinates Used",NA
"'B.A.' Beach nr. Salt Air Beach","","","Salt Lake City","UT",1977,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",", UT",-112.187268,40.747813,"unclear_coded_by_hand","General Cooordinates Used",NA
"'B.A.' Beach nr. Salt Air Beach","","","Salt Lake City","UT",1975,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",", UT",-112.187268,40.747813,"unclear_coded_by_hand","General Cooordinates Used",NA
"'B.A.' Beach nr. Salt-Air Beach","","","Salt Lake City","UT",1974,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",", UT",-112.187268,40.747813,"unclear_coded_by_hand","General Cooordinates Used",NA
"'BA' Beach near Salt Air Beach","","","Salt Lake City","UT",1976,"Cruisy Area","Cruising Areas","coordinates for Salt Air beach",", UT",-112.187268,40.747813,"unclear_coded_by_hand","General Cooordinates Used",NA
"'Rest Stop' 8 mi. N. on Hwy. 15","","","Provo","UT",1980,"Cruisy Area","Cruising Areas","Approx coordinates based on description",", UT",-111.894952,40.435333,"unclear_coded_by_hand","General Cooordinates Used",NA
"'Rest Stop' 8 mi. N. on Hwy. 15","","","Provo","UT",1979,"Cruisy Area","Cruising Areas","Approx coordinates based on description",", UT",-111.894952,40.435333,"unclear_coded_by_hand","General Cooordinates Used",NA
"'Rest Stop' 8 mi. N. on Hwy. 15","","","Provo","UT",1978,"Cruisy Area","Cruising Areas","Approx coordinates based on description",", UT",-111.894952,40.435333,"unclear_coded_by_hand","General Cooordinates Used",NA
"""Rest Stop"" - 2 miles north on I-15","","","Provo","UT",1977,"Cruisy Area","Cruising Areas","Approx coordinates based on description",", UT",-111.768721,40.349675,"unclear_coded_by_hand","General Cooordinates Used",NA
"First 76 Truck Stop on I-80 W.","T-Rooms","","Salt Lake City","UT",1980,"Cruisy Area","Cruising Areas","",", UT",-111.891047,40.760779,"unclear_coded_by_hand","General Cooordinates Used",NA
"Imperial Court of Utah","(Social organization)","P.O. Box 11813, S.L.C. 84147","Salt Lake City","UT",1980,"","Organizations","","P.O. Box 11813, S.L.C. 84147, UT",-111.891047,40.760779,"unclear_coded_by_hand","General Cooordinates Used",NA
"Jordan Park","","","Salt Lake City","UT",1980,"Cruisy Area","Cruising Areas","",", UT",-111.919522,40.747018,"unclear_coded_by_hand","Found",NA
"Jordan Park","","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","",", UT",-111.919522,40.747018,"unclear_coded_by_hand","Found",NA
"Jordan Park","","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","",", UT",-111.919522,40.747018,"unclear_coded_by_hand","Found",NA
"Liberty Park","","","Salt Lake City","UT",1980,"Cruisy Area","Cruising Areas","",", UT",-111.874117,40.744333,"unclear_coded_by_hand","Found",NA
"Liberty Park","","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","",", UT",-111.874117,40.744333,"unclear_coded_by_hand","Found",NA
"Liberty Park","","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","",", UT",-111.874117,40.744333,"unclear_coded_by_hand","Found",NA
"Liberty Park","","","Salt Lake City","UT",1977,"Cruisy Area","Cruising Areas","",", UT",-111.874117,40.744333,"unclear_coded_by_hand","Found",NA
"Liberty Park","","","Salt Lake City","UT",1976,"Cruisy Area","Cruising Areas","",", UT",-111.874117,40.744333,"unclear_coded_by_hand","Found",NA
"Liberty Park","","","Salt Lake City","UT",1975,"Cruisy Area","Cruising Areas","",", UT",-111.874117,40.744333,"unclear_coded_by_hand","Found",NA
"Liberty Park","","","Salt Lake City","UT",1974,"Cruisy Area","Cruising Areas","",", UT",-111.874117,40.744333,"unclear_coded_by_hand","Found",NA
"Liberty Park","","","Salt Lake City","UT",1973,"Cruisy Area","Cruising Areas","",", UT",-111.874117,40.744333,"unclear_coded_by_hand","Found",NA
"Lorin Farr Park","","","Ogden","UT",1980,"Cruisy Area","Cruising Areas","",", UT",-111.959483,41.23713,"unclear_coded_by_hand","Found",NA
"Lorin Farr Park","","","Ogden","UT",1979,"Cruisy Area","Cruising Areas","",", UT",-111.959483,41.23713,"unclear_coded_by_hand","Found",NA
"Lorin Farr Park","","","Ogden","UT",1978,"Cruisy Area","Cruising Areas","",", UT",-111.959483,41.23713,"unclear_coded_by_hand","Found",NA
"Mount Odgen Park","","","Ogden","UT",1980,"Cruisy Area","Cruising Areas","",", UT",-111.939208,41.208086,"unclear_coded_by_hand","Found",NA
"Mount Odgen Park","","","Ogden","UT",1979,"Cruisy Area","Cruising Areas","",", UT",-111.939208,41.208086,"unclear_coded_by_hand","Found",NA
"Mount Odgen Park","","","Ogden","UT",1978,"Cruisy Area","Cruising Areas","",", UT",-111.939208,41.208086,"unclear_coded_by_hand","Found",NA
"Pine View Reservoir","Cemetary Point","","Ogden","UT",1980,"Cruisy Area","Cruising Areas","",", UT",-111.794879,41.262437,"unclear_coded_by_hand","Found",NA
"Pine View Reservoir","Cemetary Point","","Ogden","UT",1979,"Cruisy Area","Cruising Areas","",", UT",-111.794879,41.262437,"unclear_coded_by_hand","Found",NA
"Pine View Reservoir","Cemetary Point","","Ogden","UT",1978,"Cruisy Area","Cruising Areas","",", UT",-111.794879,41.262437,"unclear_coded_by_hand","Found",NA
"Pioneer Park","","","Provo","UT",1980,"Cruisy Area","Cruising Areas","",", UT",-111.668294,40.233059,"unclear_coded_by_hand","Found",NA
"Pioneer Park","5th W. & Center","","Provo","UT",1979,"Cruisy Area","Cruising Areas","",", UT",-111.668294,40.233059,"unclear_coded_by_hand","Found",NA
"Pioneer Park","","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","",", UT",-111.9012,40.76161,"unclear_coded_by_hand","Found",NA
"Pioneer Park","5th W. at Center St.","","Provo","UT",1978,"Cruisy Area","Cruising Areas","",", UT",-111.668294,40.233059,"unclear_coded_by_hand","Found",NA
"Pioneer Park","","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","",", UT",-111.9012,40.76161,"unclear_coded_by_hand","Found",NA
"Pioneer Park","","","Salt Lake City","UT",1977,"Cruisy Area","Cruising Areas","",", UT",-111.9012,40.76161,"unclear_coded_by_hand","Found",NA
"Pioneer Park","","","Salt Lake City","UT",1975,"Cruisy Area","Cruising Areas","",", UT",-111.9012,40.76161,"unclear_coded_by_hand","Found",NA
"Pioneer Park","","","Salt Lake City","UT",1974,"Cruisy Area","Cruising Areas","",", UT",-111.9012,40.76161,"unclear_coded_by_hand","Found",NA
"Pioneer Park","","","Salt Lake City","UT",1973,"Cruisy Area","Cruising Areas","",", UT",-111.9012,40.76161,"unclear_coded_by_hand","Found",NA
