"ID","title","amenityfeatures","description","streetaddress","type","city","state","Year","unclear_address","uncleartype","notes","lastmodified","full.address","lon","lat","geoAddress","status"
65,"Rumors","(D),(AH),(*)","(Disco)","207 Dexter Ave.","Bars/Clubs","Montgomery","AL",1988,NA,"","","1/28/2022 3:59pm","207 Dexter Ave., Montgomery, AL",-86.3059453,32.3777771,"207 dexter ave, montgomery, al 36104, usa","Geocoded"
66,"Skeeters","(D),(L),(AH),(*)","(Some L) (AH-Weekdays*)","150 Lee St.","Bars/Clubs","Montgomery","AL",1988,NA,"","","1/28/2022 4:00pm","150 Lee St., Montgomery, AL",-86.3095465,32.3765465,"150 lee st, montgomery, al 36104, usa","Geocoded"
73,"Chucker's","(YC),(M),(PT),(*)","","2121 6th St.","Bars/Clubs","Tuscaloosa","AL",1988,NA,"","","1/28/2022 4:09pm","2121 6th St., Tuscaloosa, AL",-87.5641622,33.209905,"2121 6th st, tuscaloosa, al 35401, usa","Geocoded"
79,"French Quarter","","(Books)","4028 Mountain View","Book Store","Anchorage","AK",1988,NA,"","","1/28/2022 4:37pm","4028 Mountain View, Anchorage, AK",-149.8056056,61.2239302,"4028 mountain view dr, anchorage, ak 99508, usa","Geocoded"
82,"M.C.C","(MCC)","","602 W. 10th Ave.","Religious Institution","Anchorage","AK",1988,NA,"","","6/13/2022 9:12am","602 W. 10th Ave., Anchorage, AK",-149.8937558,61.2122999,"602 w 10th ave, anchorage, ak 99501, usa","Geocoded"
83,"One in Ten","","(Publication)","328 Bonaface Pkwy #2499, 99504","Publications","Anchorage","AK",1988,NA,"","","1/29/2022 6:05pm","328 Bonaface Pkwy #2499, 99504, Anchorage, AK",NA,NA,"NA","Geocoded"
84,"Raven","(*),(YC),(W),(SM),(D),(PT)","(Enter through parking lot on 6th) (YC,W,SM)","618 Gambell","Bars/Clubs","Anchorage","AK",1988,NA,"","","1/29/2022 6:07pm","618 Gambell, Anchorage, AK",-149.8715911,61.2162358,"618 gambell st, anchorage, ak 99501, usa","Geocoded"
85,"Swinger Book Store","","","710 W. Northern Lights Blvd.","Book Store","Anchorage","AK",1988,NA,"","","1/29/2022 6:08pm","710 W. Northern Lights Blvd., Anchorage, AK",-149.897326,61.1951308,"710 w northern lights blvd, anchorage, ak 99503, usa","Geocoded"
86,"The Village","(YC),(D),(*),(L)","(Disco) (Some L)","225 E. 5th Ave.","Bars/Clubs","Anchorage","AK",1988,NA,"","","1/29/2022 6:10pm","225 E. 5th Ave., Anchorage, AK",-149.8801505,61.2177897,"225 e 5th ave, anchorage, ak 99501, usa","Geocoded"
87,"Video X","(V)","(Books)","1431 Muldoon Rd.","Book Store","Anchorage","AK",1988,NA,"","","1/29/2022 6:10pm","1431 Muldoon Rd., Anchorage, AK",-149.7326881,61.2079759,"1431 muldoon rd, anchorage, ak 99504, usa","Geocoded"
88,"Women's Resource Center Books","","","111 W. 9th St.","Book Store","Anchorage","AK",1988,NA,"","","2/10/2022 8:50pm","111 W. 9th St., Anchorage, AK",-149.8838751,61.2138966,"111 w 9th ave, anchorage, ak 99501, usa","Geocoded"
94,"International Book Store","(F&S),Cruisy Area","","106 Old Richardson Hwy.","Book Store","Fairbanks","AK",1988,NA,"","","1/29/2022 6:17pm","106 Old Richardson Hwy., Fairbanks, AK",-147.7064459,64.8192129,"106 old richardson hwy, fairbanks, ak 99701, usa","Geocoded"
97,"Red Dog Saloon","(*),(M)","","175 S. Franklin St.","Bars/Clubs","Juneau","AK",1988,NA,"","","1/29/2022 6:21pm","175 S. Franklin St., Juneau, AK",-134.4047656,58.3001935,"175 s franklin st, juneau, ak 99801, usa","Geocoded"
98,"Summit Hotel Bar","(M)","(Rear)","455 S. Franklin","Bars/Clubs,Hotel","Juneau","AK",1988,NA,"","","6/12/2022 12:33pm","455 S. Franklin, Juneau, AK",-134.400941,58.297064,"455 s franklin st, juneau, ak 99801, usa","Geocoded"
104,"St. Elmo's","(M),(W),(PT),(E),(WE)","(E-WE)","36 Brewery Gulch Ave.","Bars/Clubs","Bisbee","AZ",1988,NA,"","","6/12/2022 12:21pm","36 Brewery Gulch Ave., Bisbee, AZ",-109.9133562,31.448586,"36 brewery gulch, bisbee, az 85603, usa","Geocoded"
111,"Apollo's","(SM),(PT),(*)","(Some SM)","5749 N. 7th St.","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 6:46pm","5749 N. 7th St., Phoenix, AZ",-112.0646894,33.5217475,"5749 n 7th st, phoenix, az 85014, usa","Geocoded"
114,"Barney's Books","","","1421 E. McDowell Rd.","Book Store","Phoenix","AZ",1988,NA,"","","1/29/2022 6:51pm","1421 E. McDowell Rd., Phoenix, AZ",-112.0510015,33.4655708,"1421 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
115,"Book Cellars","","(Books, etc.) & other locations","2103 W. Camelback Rd.","Book Store","Phoenix","AZ",1988,NA,"","","2/10/2022 9:00pm","2103 W. Camelback Rd., Phoenix, AZ",-112.1044816,33.5093936,"2103 w camelback rd, phoenix, az 85015, usa","Geocoded"
116,"Casa de Christo","(MCC)","M.C.C.","1029 E. Tunney","Religious Institution","Phoenix","AZ",1988,NA,"","","2/10/2022 9:03pm","1029 E. Tunney, Phoenix, AZ",-112.0740373,33.4483771,"phoenix, az, usa","Geocoded"
117,"Castle Adult Books","","(Cruisy)","5501 E. Washington","Book Store,Cruising Areas","Phoenix","AZ",1988,NA,"","","2/10/2022 9:03pm","5501 E. Washington, Phoenix, AZ",-111.9630151,33.4450894,"5501 e washington st, phoenix, az 85034, usa","Geocoded"
118,"Cattleman's Exchange","(OC),(N)","","138 W. Camelback Rd.","Bars/Clubs","Phoenix","AZ",1988,NA,"","","6/12/2022 10:59am","138 W. Camelback Rd., Phoenix, AZ",-112.077153,33.509672,"138 w camelback rd, phoenix, az 85013, usa","Geocoded"
119,"Charlie's","(C&W),(D),(PT),(*)","(Square-D) (Cruisy)","727 W. Camelback","Bars/Clubs,Cruising Areas","Phoenix","AZ",1988,NA,"","","2/10/2022 9:04pm","727 W. Camelback, Phoenix, AZ",-112.0836713,33.5089763,"727 w camelback rd, phoenix, az 85013, usa","Geocoded"
120,"Connection","(W),(YC),(V),(PT),(AH),(*),Cruisy Area","(Some W) (Disco)","4211 N. 7th St.","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:18pm","4211 N. 7th St., Phoenix, AZ",-112.0648,33.4969979,"4211 n 7th st, phoenix, az 85014, usa","Geocoded"
121,"Cruisin Central","(OC),(AYOR)","(Some OC, Hustlers)","1011 N. Central Ave","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:19pm","1011 N. Central Ave, Phoenix, AZ",-112.0735412,33.4593185,"1011 n central ave, phoenix, az 85004, usa","Geocoded"
123,"Dime Store","(V),(PT)","","1810 E. McDowell","Bars/Clubs","Phoenix","AZ",1988,NA,"","","6/12/2022 12:11pm","1810 E. McDowell, Phoenix, AZ",-112.0429096,33.4660714,"1810 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
124,"Durant's","(M),(R)","(Cocktail hour)","2611 N. Central Ave.","Restaurant","Phoenix","AZ",1988,NA,"","","1/29/2022 7:23pm","2611 N. Central Ave., Phoenix, AZ",-112.0734862,33.4772518,"2611 n central ave, phoenix, az 85004, usa","Geocoded"
125,"Erotica Motel & Book Store","(H)","","5200 E. Van Buren","Book Store","Phoenix","AZ",1988,NA,"","","1/29/2022 7:24pm","5200 E. Van Buren, Phoenix, AZ",-111.9694447,33.4510194,"5200 e van buren st, phoenix, az 85008, usa","Geocoded"
126,"Farrah's","(L),(YC),(D),(PT)","(Some L,YC) (Disco)","4158 Grand Ave.","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:27pm","4158 Grand Ave., Phoenix, AZ",-112.147393,33.506892,"4158 grand ave, phoenix, az 85019, usa","Geocoded"
127,"First Travel","(IGTA)","","5150 N. 7th St.","Travel Service","Phoenix","AZ",1988,NA,"","","1/29/2022 7:29pm","5150 N. 7th St., Phoenix, AZ",-112.0652657,33.5126824,"5150 n 7th st, phoenix, az 85012, usa","Geocoded"
128,"Flex/Club Phoenix","(P)","","1517 S. Black Canyon Rd.","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:30pm","1517 S. Black Canyon Rd., Phoenix, AZ",-112.1072675,33.4337502,"1517 s black canyon hwy, phoenix, az 85009, usa","Geocoded"
131,"Goog's","(R),(AH)","","1812 E. Camelback Rd.","Restaurant","Phoenix","AZ",1988,NA,"","","1/29/2022 7:33pm","1812 E. Camelback Rd., Phoenix, AZ",-112.0425687,33.5095761,"1812 e camelback rd, phoenix, az 85016, usa","Geocoded"
132,"Humanspace Books, Inc.","","","1617 N. 32nd St.","Book Store","Phoenix","AZ",1988,NA,"","","1/29/2022 7:35pm","1617 N. 32nd St., Phoenix, AZ",-112.0125818,33.4667912,"1617 n 32nd st, phoenix, az 85008, usa","Geocoded"
133,"Incognito Lounge","(L),(D),(*)","","2424 E. Thomas Rd.","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:36pm","2424 E. Thomas Rd., Phoenix, AZ",-112.028937,33.4806218,"2424 e thomas rd, phoenix, az 85016, usa","Geocoded"
135,"Little Jim's 307","(OC),(PT)","(Hustlers)","222 E. Roosevelt","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:38pm","222 E. Roosevelt, Phoenix, AZ",-112.0701637,33.458818,"222 e roosevelt st, phoenix, az 85004, usa","Geocoded"
136,"M.C.C","(MCC)","(Casa de Cristo)","1029 Turney","Religious Institution","Phoenix","AZ",1988,NA,"","","2/10/2022 9:06pm","1029 Turney, Phoenix, AZ",-112.0585833,33.4994011,"1029 e turney ave, phoenix, az 85014, usa","Geocoded"
137,"New Camel Club","(R),(S),(E)","","5105 N. 43rd Ave.","Restaurant","Phoenix","AZ",1988,NA,"","","1/29/2022 7:40pm","5105 N. 43rd Ave., Phoenix, AZ",-112.1508691,33.5118594,"5105 n 43rd ave, phoenix, az 85019, usa","Geocoded"
138,"New Moon","(L),(D)","(Disco)","3108 E. McDowell Rd.","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:42pm","3108 E. McDowell Rd., Phoenix, AZ",-112.0154764,33.4660819,"3108 e mcdowell rd, phoenix, az 85008, usa","Geocoded"
139,"Nu Towne","(PT),(YC),(*)","(Tue*)","5002 E. Van Buren","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:43pm","5002 E. Van Buren, Phoenix, AZ",-111.9739771,33.4514023,"5002 e van buren st, phoenix, az 85008, usa","Geocoded"
141,"Ramrod","(SM),(W),(PT),(*)","(Sun. beer bust*) (Patio)","395 N. Black Canyon Rd.","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:45pm","395 N. Black Canyon Rd., Phoenix, AZ",-112.1125847,33.6647262,"n black cyn hwy, phoenix, az 85027, usa","Geocoded"
142,"Royal Villa Motel","","(Pool) (602) 266-6883","1102 E. Turney Ave.","Hotel","Phoenix","AZ",1988,NA,"","","2/10/2022 9:06pm","1102 E. Turney Ave., Phoenix, AZ",-112.0578603,33.5003315,"1102 e turney ave, phoenix, az 85014, usa","Geocoded"
143,"Stixx","","","3015 N. 16th St.","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:48pm","3015 N. 16th St., Phoenix, AZ",-112.0473847,33.4825335,"3015 n 16th st, phoenix, az 85016, usa","Geocoded"
144,"Taylor's","(E)","(DW'sR & Nickelodeon-E)","4223 N. 7th St.","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:51pm","4223 N. 7th St., Phoenix, AZ",-112.0650494,33.4973253,"4223 n 7th st, phoenix, az 85014, usa","Geocoded"
145,"The Network","(WE),(D),(*)","(S-WE)","3025 N. 24th St.","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:52pm","3025 N. 24th St., Phoenix, AZ",-112.0297986,33.4833131,"3025 n 24th st, phoenix, az 85016, usa","Geocoded"
146,"Tommy's","(*),(M),(YC),(D),(AH)","(M,YC) (Disco)","921 W. Camelback","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:54pm","921 W. Camelback, Phoenix, AZ",-112.08568,33.5089257,"921 w camelback rd, phoenix, az 85013, usa","Geocoded"
147,"Trax","(D),(PT),(*),(AH),(WE),(W),(YC)","(AH-WE)","1724 E. McDowell","Bars/Clubs","Phoenix","AZ",1988,NA,"","","1/29/2022 7:55pm","1724 E. McDowell, Phoenix, AZ",-112.0445398,33.4660592,"1724 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
148,"Tuff Stuff","","(Leather, Toys, etc.)","1714 E. McDowell","Erotic Shop","Phoenix","AZ",1988,NA,"","","1/29/2022 7:56pm","1714 E. McDowell, Phoenix, AZ",-112.0449202,33.4660117,"1714 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
150,"Winks","(E)","(Sun. brunch)","5707 N. 7th St.","Restaurant","Phoenix","AZ",1988,NA,"","","1/29/2022 7:58pm","5707 N. 7th St., Phoenix, AZ",-112.064718,33.5205194,"5707 n 7th st, phoenix, az 85014, usa","Geocoded"
159,"Brazil","(N),(YC)","(Hi-tech)","7232 First St.","Bars/Clubs","Scottsdale","AZ",1988,NA,"","","1/29/2022 8:09pm","7232 First St., Scottsdale, AZ",-111.9250947,33.4925148,"7232 e 1st st, scottsdale, az 85251, usa","Geocoded"
160,"J.R.'s Hideaway","(N)","(Fun) (In alley)","7125 5th Ave.","Bars/Clubs","Scottsdale","AZ",1988,NA,"","","1/29/2022 8:09pm","7125 5th Ave., Scottsdale, AZ",-111.9274101,33.4978332,"7125 e 5th ave, scottsdale, az 85251, usa","Geocoded"
161,"Zorba's Book Shop","(*)","","2924 N. Scottsdale Rd.","Book Store","Scottsdale","AZ",1988,NA,"","","1/29/2022 8:10pm","2924 N. Scottsdale Rd., Scottsdale, AZ",-111.9269897,33.4813042,"2924 n scottsdale rd, scottsdale, az 85251, usa","Geocoded"
163,"Marie's 1st Place","(M),(R)","","709 S. Mill Ave.","Restaurant","Tempe","AZ",1988,NA,"","","1/29/2022 8:11pm","709 S. Mill Ave., Tempe, AZ",-111.9396454,33.4228533,"709 s mill ave, tempe, az 85281, usa","Geocoded"
164,"Modern World Adult Books","","","1812 E. Apache","Book Store,Erotic Shop","Tempe","AZ",1988,NA,"","","6/8/2022 10:52am","1812 E. Apache, Tempe, AZ",-111.9083036,33.4150236,"1812 e apache blvd, tempe, az 85281, usa","Geocoded"
170,"Blue Willow","(M),(R)","(R & Gifts)","2616 N. Campbell","Restaurant","Tucson","AZ",1988,NA,"","","1/29/2022 8:16pm","2616 N. Campbell, Tucson, AZ",-110.9435241,32.254416,"2616 n campbell ave, tucson, az 85719, usa","Geocoded"
171,"Books Brothers","(*)","","3242 E. Speedway","Book Store","Tucson","AZ",1988,NA,"","","1/29/2022 8:17pm","3242 E. Speedway, Tucson, AZ",-110.9238261,32.2357585,"3242 e speedway blvd, tucson, az 85716, usa","Geocoded"
172,"Bookstore Southwest","","(24hrs.)","1400 S. Alvernon","Book Store","Tucson","AZ",1988,NA,"","","1/29/2022 8:18pm","1400 S. Alvernon, Tucson, AZ",-110.9100239,32.2050383,"1400 s alvernon way, tucson, az 85711, usa","Geocoded"
174,"Caesar's Book Store","(F&S)","","2540 N. Miracle Mile","Book Store","Tucson","AZ",1988,NA,"","","1/29/2022 8:20pm","2540 N. Miracle Mile, Tucson, AZ",-111.0000831,32.2608476,"2540 w miracle mile, tucson, az 85705, usa","Geocoded"
175,"Collette's","(D),(P),(V),(L)","","3143 E. Speedway","Bars/Clubs","Tucson","AZ",1988,NA,"","","1/29/2022 8:20pm","3143 E. Speedway, Tucson, AZ",-110.9252135,32.2363608,"3143 e speedway blvd, tucson, az 85716, usa","Geocoded"
176,"Congress","(M),(OC),(RT)","","311 E. Congress","Bars/Clubs","Tucson","AZ",1988,NA,"","","1/29/2022 8:21pm","311 E. Congress, Tucson, AZ",-110.9668233,32.222337,"311 e congress st, tucson, az 85701, usa","Geocoded"
178,"El Toreso","(M),(R)","(Mexican)","231 E 26th St.","Restaurant","Tucson","AZ",1988,NA,"","","1/29/2022 8:23pm","231 E 26th St., Tucson, AZ",-110.965932,32.2030442,"231 e 26th st, tucson, az 85713, usa","Geocoded"
179,"Fineline","(YC),(D),(AH)","(Disco)","101 W. Drachman","Bars/Clubs","Tucson","AZ",1988,NA,"","","1/29/2022 8:24pm","101 W. Drachman, Tucson, AZ",-110.9744608,32.2387133,"101 w drachman st, tucson, az 85705, usa","Geocoded"
181,"Graduate","(D),(*)","","23 W. University","Bars/Clubs","Tucson","AZ",1988,NA,"","","1/29/2022 8:25pm","23 W. University, Tucson, AZ",-110.9724985,32.231604,"23 w university blvd, tucson, az 85705, usa","Geocoded"
182,"It's Bout Time","(D)","(Disco)","616 N. 4th Ave.","Bars/Clubs","Tucson","AZ",1988,NA,"","","1/29/2022 8:26pm","616 N. 4th Ave., Tucson, AZ",-110.9654055,32.2295467,"616 n 4th ave, tucson, az 85705, usa","Geocoded"
183,"Joshua Tree","(YC),(D)","(Disco) ('Back Pocket' & patio in rear)(Cruisy)","2921 N. 1st Ave.","Bars/Clubs,Cruising Areas","Tucson","AZ",1988,NA,"","","2/10/2022 9:10pm","2921 N. 1st Ave., Tucson, AZ",-110.9614488,32.2607567,"2921 n 1st ave, tucson, az 85719, usa","Geocoded"
184,"M.C.C","(MCC)","","560 S. Stone Ave.","Religious Institution","Tucson","AZ",1988,NA,"","","2/10/2022 9:10pm","560 S. Stone Ave., Tucson, AZ",-110.9702011,32.2141383,"560 s stone ave, tucson, az 85701, usa","Geocoded"
185,"Rita's Rendezvous","(R),(D)","(Sun. brunch) (Disco)","3455 E. Grant Rd.","Restaurant,Bars/Clubs","Tucson","AZ",1988,NA,"","","2/10/2022 9:11pm","3455 E. Grant Rd., Tucson, AZ",-110.9188334,32.2509132,"3455 e grant rd, tucson, az 85716, usa","Geocoded"
186,"Rumorhazzit","(V),(D)","(Dynasty)","2222 N. Stone","Bars/Clubs","Tucson","AZ",1988,NA,"","","1/29/2022 8:30pm","2222 N. Stone, Tucson, AZ",-110.9716704,32.2487613,"2222 n stone ave, tucson, az 85705, usa","Geocoded"
187,"Speedway Arcade & Books","(F&S),(*)","(off Alvernon, nr. Aviation Hwy.) (Also at Joshua Tree)","3660 E. Speedway","Book Store","Tucson","AZ",1988,NA,"","","1/29/2022 8:32pm","3660 E. Speedway, Tucson, AZ",-110.9143035,32.2356425,"3660 e speedway blvd, tucson, az 85716, usa","Geocoded"
188,"Stables","(P)","(Baths)","3820 E. 40th St.","Bathhouses","Tucson","AZ",1988,NA,"","","1/29/2022 8:34pm","3820 E. 40th St., Tucson, AZ",-110.9104275,32.1890921,"3820 e 40th st, tucson, az 85713, usa","Geocoded"
189,"The Bookstore Southwest","(F&S)","","1400 S. Alvernon","Book Store","Tucson","AZ",1988,NA,"","","1/29/2022 8:36pm","1400 S. Alvernon, Tucson, AZ",-110.9100239,32.2050383,"1400 s alvernon way, tucson, az 85711, usa","Geocoded"
198,"Bargain Box","(M),(*)","(Books & flicks) (Cruisy*)","240 E. 16th St.","Book Store,Cruising Areas","Yuma","AZ",1988,NA,"","","2/10/2022 9:13pm","240 E. 16th St., Yuma, AZ",-114.618662,32.6985259,"240 e 16th st, yuma, az 85364, usa","Geocoded"
199,"J.P.'s Cameo Lounge","(L),(PT),(*)","(Some L) (Cruisy)","232 S. 4th Ave.","Bars/Clubs,Cruising Areas","Yuma","AZ",1988,NA,"","","2/10/2022 9:13pm","232 S. 4th Ave., Yuma, AZ",-114.6247963,32.7226362,"232 s 4th ave, yuma, az 85364, usa","Geocoded"
200,"Owl Bookstore","(M)","","4th Ave. at 24th St.","Book Store","Yuma","AZ",1988,NA,"","","1/29/2022 8:48pm","4th Ave. at 24th St., Yuma, AZ",-114.6276916,32.6926512,"yuma, az, usa","Geocoded"
205,"St. John's Disco","(P),(YC)","","214 N. W. Ave.","Bars/Clubs","Fayetteville","AR",1988,NA,"","","1/29/2022 9:01pm","214 N. W. Ave., Fayetteville, AR",-94.1654805,36.0649938,"214 n west ave, fayetteville, ar 72701, usa","Geocoded"
209,"M.C.C.","(MCC)","","1007 S. 25th St.","Religious Institution","Ft. Smith","AR",1988,NA,"","","2/10/2022 9:14pm","1007 S. 25th St., Ft. Smith, AR",-94.4055869,35.3737743,"1007 s 25th st, fort smith, ar 72901, usa","Geocoded"
210,"Village Landing","(L),(D)","(Disco)","3028 N. 6th St.","Bars/Clubs","Ft. Smith","AR",1988,NA,"","","1/29/2022 9:03pm","3028 N. 6th St., Ft. Smith, AR",-94.4003782,35.4090865,"3028 n 6th st, fort smith, ar 72904, usa","Geocoded"
217,"Our House Lounge","(D),(*)","(Upstairs disco)","336 Central Ave.","Bars/Clubs","Hot Springs","AR",1988,NA,"","","1/29/2022 9:08pm","336 Central Ave., Hot Springs, AR",-93.0539911,34.5147996,"336 central ave, hot springs national park, ar 71901, usa","Geocoded"
220,"American Arcade","","(Cruisy)","4524 Asher","Business,Cruising Areas","Little Rock","AR",1988,NA,"","","6/12/2022 12:25pm","4524 Asher, Little Rock, AR",-92.3252798,34.7234386,"4524 asher ave, little rock, ar 72204, usa","Geocoded"
222,"Chaps","(P),(C&W)","","1701 University","Bars/Clubs","Little Rock","AR",1988,NA,"","","1/29/2022 9:13pm","1701 University, Little Rock, AR",-92.3398772,34.7205325,"university dr, little rock, ar 72204, usa","Geocoded"
223,"Christopher's","(R),(D)","","601 Center St.","Restaurant","Little Rock","AR",1988,NA,"","","1/29/2022 9:14pm","601 Center St., Little Rock, AR",-92.2737142,34.7434647,"601 center st, little rock, ar 72201, usa","Geocoded"
