"ID","title","amenityfeatures","description","streetaddress","type","city","state","Year","unclearaddress","uncleartype","notes","Last.Modified","full.address","lon","lat","geoAddress","status"
56,"David's","(PT),(D),(S),(L),(WE)","(Disco)(Some L)(WE*)","1304 Spring Hill Ave.","Bars/Clubs","Mobile","AL",1987,NA,"","","1/28/2022 9:47pm","1304 Spring Hill Ave., Mobile, AL",-88.0655054,"30.6928444","1304 springhill ave, mobile, al 36604, usa","Geocoded"
58,"Society Lounge","(L),(B)","(L,B)","53 Conception","Bars/Clubs","Mobile","AL",1987,NA,"","","1/28/2022 9:47pm","53 Conception, Mobile, AL",-88.0423188,"30.6905321","53 s conception st, mobile, al 36602, usa","Geocoded"
59,"Troopers","(D)","(Disco)","215 Conti St.","Bars/Clubs","Mobile","AL",1987,NA,"","","1/28/2022 9:47pm","215 Conti St., Mobile, AL",-88.0433046,"30.690341","215 conti st, mobile, al 36602, usa","Geocoded"
65,"Market Street","(AH),(WE),(P),(E)","(Liquor) (AH-WE*)","207 Dexter Ave.","Bars/Clubs","Montgomery","AL",1987,NA,"","","1/28/2022 9:52pm","207 Dexter Ave., Montgomery, AL",-86.3059453,"32.3777771","207 dexter ave, montgomery, al 36104, usa","Geocoded"
67,"Rgee's","(P),(D),(PT),(AH)","(Also AH)","211 Lee St.","Bars/Clubs","Montgomery","AL",1987,NA,"","","1/28/2022 9:52pm","211 Lee St., Montgomery, AL",-86.2720375,"32.3785912","225 ann st, montgomery, al 36107, usa","Geocoded"
68,"Skeeters","(D),(L),(AH)","(Some L)(AH—Weekdays*)","150 Lee St.","Bars/Clubs","Montgomery","AL",1987,NA,"","","1/28/2022 9:52pm","150 Lee St., Montgomery, AL",-86.3095465,"32.3765465","150 lee st, montgomery, al 36104, usa","Geocoded"
73,"Chucker's","(YC),(M),(PT),(*)","","2121 6th St.","Bars/Clubs","Tuscaloosa","AL",1987,NA,"","","1/28/2022 9:54pm","2121 6th St., Tuscaloosa, AL",-87.5641622,"33.209905","2121 6th st, tuscaloosa, al 35401, usa","Geocoded"
79,"Apollo Travel, Inc.","","","213 W. 6th Ave. #16","Travel Service","Anchorage","AK",1987,NA,"","","1/28/2022 10:00pm","213 W. 6th Ave. #16, Anchorage, AK",NA,NA,"NA","Geocoded"
80,"D Street Book Mart","","(Cruisy)","419 'D' St.","Book Store,Cruising Areas","Anchorage","AK",1987,NA,"","","1/28/2022 10:05pm","419 'D' St., Anchorage, AK",-149.8894184,"61.2180588","419 d st, anchorage, ak 99501, usa","Geocoded"
82,"Jade Room","(D),(PT),(*),(R),(S)","(S-Wed)(Adj. liquor store)","701 'I' St.","Bars/Clubs,Restaurant","Anchorage","AK",1987,NA,"","","1/28/2022 10:05pm","701 'I' St., Anchorage, AK",-149.8996133,"61.2155947","701 i st, anchorage, ak 99501, usa","Geocoded"
83,"M.C.C.","(MCC)","","602 W. 10th Ave.","Religious Institution","Anchorage","AK",1987,NA,"","","1/28/2022 10:05pm","602 W. 10th Ave., Anchorage, AK",-149.8937558,"61.2122999","602 w 10th ave, anchorage, ak 99501, usa","Geocoded"
84,"Raven","(*),(D),(PT),(YC),(W),(SM)","(YC, W, SM)(Enter through parking lot on 6th)","618 Gambell","Bars/Clubs","Anchorage","AK",1987,NA,"","","1/28/2022 10:05pm","618 Gambell, Anchorage, AK",-149.8715911,"61.2162358","618 gambell st, anchorage, ak 99501, usa","Geocoded"
85,"The Village","(YC),(D),(L),(*)","(Disco)(Some L)","225 E. 5th Ave.","Bars/Clubs","Anchorage","AK",1987,NA,"","","1/28/2022 10:05pm","225 E. 5th Ave., Anchorage, AK",-149.8801505,"61.2177897","225 e 5th ave, anchorage, ak 99501, usa","Geocoded"
91,"International Book Store","(F&S)","(F&S)(Cruisy)","106 Old Richardson Hwy.","Book Store,Cruising Areas","Fairbanks","AK",1987,NA,"","","1/31/2022 1:11pm","106 Old Richardson Hwy., Fairbanks, AK",-147.7064459,"64.8192129","106 old richardson hwy, fairbanks, ak 99701, usa","Geocoded"
92,"Michael's 500 Club","(*),(PT),(D),(W),(SM),(YC),(L)","(Disco)(Some W, SM, YC, L)(Cruisy)(No sign—don't miss it)","500 1st Ave.","Bars/Clubs,Cruising Areas","Fairbanks","AK",1987,NA,"","","1/28/2022 10:09pm","500 1st Ave., Fairbanks, AK",-147.7179444,"64.8441146","500 1st ave, fairbanks, ak 99701, usa","Geocoded"
97,"Red Dog Saloon","(M),(*)","","175 S. Franklin St.","Bars/Clubs","Juneau","AK",1987,NA,"","","1/28/2022 10:16pm","175 S. Franklin St., Juneau, AK",-134.4047656,"58.3001935","175 s franklin st, juneau, ak 99801, usa","Geocoded"
98,"Summit Hotel Bar","(M)","(Rear)","455 S. Franklin","Bars/Clubs,Hotel","Juneau","AK",1987,NA,"","","7/13/2022 8:39am","455 S. Franklin, Juneau, AK",-134.400941,"58.297064","455 s franklin st, juneau, ak 99801, usa","Geocoded"
103,"St. Elmo's","(M),(W),(PT),(E),(WE)","(E-WE)","36 Brewery Gulch Ave.","Bars/Clubs","Bisbee","AZ",1987,NA,"","","1/28/2022 10:20pm","36 Brewery Gulch Ave., Bisbee, AZ",-109.9133562,"31.448586","36 brewery gulch, bisbee, az 85603, usa","Geocoded"
114,"Apollo's","(SM),(*)","(Some SM)","5749 N. 7th St.","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","5749 N. 7th St., Phoenix, AZ",-112.0646894,"33.5217475","5749 n 7th st, phoenix, az 85014, usa","Geocoded"
115,"Barney's Books","","","1421 E. McDowell Rd.","Book Store","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","1421 E. McDowell Rd., Phoenix, AZ",-112.0510015,"33.4655708","1421 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
116,"Book Cellars","","(Books, etc.)","2103 W. Camelback Rd.","Book Store","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","2103 W. Camelback Rd., Phoenix, AZ",-112.1044816,"33.5093936","2103 w camelback rd, phoenix, az 85015, usa","Geocoded"
117,"Castle Adult Books","","(Cruisy)","5501 E. Washington","Book Store,Cruising Areas,Erotic Shop","Phoenix","AZ",1987,NA,"","","1/31/2022 1:17pm","5501 E. Washington, Phoenix, AZ",-111.9630151,"33.4450894","5501 e washington st, phoenix, az 85034, usa","Geocoded"
118,"Cattleman's Exchange","(N),(OC)","","138 W. Camelback Rd.","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","138 W. Camelback Rd., Phoenix, AZ",-112.077153,"33.509672","138 w camelback rd, phoenix, az 85013, usa","Geocoded"
119,"Charlie's","(*),(C&W),(D)","(Square-D)(Cruisy)","727 W. Camelback","Bars/Clubs,Cruising Areas","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","727 W. Camelback, Phoenix, AZ",-112.0836713,"33.5089763","727 w camelback rd, phoenix, az 85013, usa","Geocoded"
120,"Club Phoenix Baths","(P)","(East Side—Northbound)","1517 S. Black Canyon Rd.","Bathhouses","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","1517 S. Black Canyon Rd., Phoenix, AZ",-112.1072675,"33.4337502","1517 s black canyon hwy, phoenix, az 85009, usa","Geocoded"
121,"Connection","(*),(W),(YC)","(Cruisy)(Some W)(Der Druke-Disco)","4211 N. 7th St.","Bars/Clubs,Cruising Areas","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","4211 N. 7th St., Phoenix, AZ",-112.0648,"33.4969979","4211 n 7th st, phoenix, az 85014, usa","Geocoded"
122,"Cruisin Central","(OC),(AYOR)","(Some OC, Hustlers)","1011 N. Central Ave.","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","1011 N. Central Ave., Phoenix, AZ",-112.0735412,"33.4593185","1011 n central ave, phoenix, az 85004, usa","Geocoded"
124,"Durant's","(M),(R)","(Cocktail hour)","2611 N. Central Ave.","Restaurant","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","2611 N. Central Ave., Phoenix, AZ",-112.0734862,"33.4772518","2611 n central ave, phoenix, az 85004, usa","Geocoded"
125,"Erotica Motel & Book Store","(H)","","5200 E. Van Buren","Book Store,Hotel","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","5200 E. Van Buren, Phoenix, AZ",-111.9694447,"33.4510194","5200 e van buren st, phoenix, az 85008, usa","Geocoded"
126,"Farrah's","(L),(YC),(D)","(Some L, YC)(Disco)","4158 Grand Ave.","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","4158 Grand Ave., Phoenix, AZ",-112.147393,"33.506892","4158 grand ave, phoenix, az 85019, usa","Geocoded"
127,"FirsTravel","","(Agency)","5150 N. 7th St.","Travel Service","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","5150 N. 7th St., Phoenix, AZ",-112.0652657,"33.5126824","5150 n 7th st, phoenix, az 85012, usa","Geocoded"
130,"Goog's","(M),(R),(AH)","","1812 E. Camelback Rd.","Restaurant","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","1812 E. Camelback Rd., Phoenix, AZ",-112.0425687,"33.5095761","1812 e camelback rd, phoenix, az 85016, usa","Geocoded"
131,"Grand Camel","(R),(L)","(Some L)","5105 N. 43rd Ave.","Restaurant","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","5105 N. 43rd Ave., Phoenix, AZ",-112.1508691,"33.5118594","5105 n 43rd ave, phoenix, az 85019, usa","Geocoded"
132,"Hotbods","(YC),(AH),(WE),(D),(*)","(AH-WE)(Unisex)","3437 E. McDowell Rd.","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","3437 E. McDowell Rd., Phoenix, AZ",-112.0065416,"33.4652316","3437 e mcdowell rd, phoenix, az 85008, usa","Geocoded"
133,"Humanspace Books, Inc.","","","2401 N. 32nd St. #5","Book Store","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","2401 N. 32nd St. #5, Phoenix, AZ",NA,NA,"NA","Geocoded"
134,"Incognito Lounge","(L),(D),(*)","","2424 E. Thomas Rd.","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","2424 E. Thomas Rd., Phoenix, AZ",-112.028937,"33.4806218","2424 e thomas rd, phoenix, az 85016, usa","Geocoded"
136,"Little Jim's 307","(OC),(PT)","(Hustlers)","222 E. Roosevelt","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","222 E. Roosevelt, Phoenix, AZ",-112.0701637,"33.458818","222 e roosevelt st, phoenix, az 85004, usa","Geocoded"
137,"M.C.C.","(MCC)","(Casa de Cristo)","1029 Turney","Religious Institution","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","1029 Turney, Phoenix, AZ",-112.0585833,"33.4994011","1029 e turney ave, phoenix, az 85014, usa","Geocoded"
138,"New Moon","(L),(D)","(Disco)","3108 E. McDowell Rd.","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","3108 E. McDowell Rd., Phoenix, AZ",-112.0154764,"33.4660819","3108 e mcdowell rd, phoenix, az 85008, usa","Geocoded"
139,"Nu Towne","(PT),(YC)","(Tue.*)","5002 E. Van Buren","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","5002 E. Van Buren, Phoenix, AZ",-111.9739771,"33.4514023","5002 e van buren st, phoenix, az 85008, usa","Geocoded"
141,"P.P.'s","(V),(PT)","(S-Sun.*)","1810 E. McDowell","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","1810 E. McDowell, Phoenix, AZ",-112.0429096,"33.4660714","1810 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
143,"Raggedy Ann 'n' Andy's","(L),(D)","(""Raggs"") (Many L)(Disco)","2320 N. 32nd St.","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","2320 N. 32nd St., Phoenix, AZ",-112.0132176,"33.4738256","2320 n 32nd st, phoenix, az 85008, usa","Geocoded"
144,"Ramrod","(PT),(SM),(W)","(Sun. beer bust*)(Patio)","395 N. Black Canyon Rd.","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","395 N. Black Canyon Rd., Phoenix, AZ",-112.1125847,"33.6647262","n black cyn hwy, phoenix, az 85027, usa","Geocoded"
145,"Royal Villa Motel","","(Pool)","1102 E. Turney Ave.","Hotel","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","1102 E. Turney Ave., Phoenix, AZ",-112.0578603,"33.5003315","1102 e turney ave, phoenix, az 85014, usa","Geocoded"
146,"Shamoos","(S),(WE)","(S-WE)","3025 N. 24th St.","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","3025 N. 24th St., Phoenix, AZ",-112.0297986,"33.4833131","3025 n 24th st, phoenix, az 85016, usa","Geocoded"
147,"Stixx","","","3015 N. 16th St.","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","3015 N. 16th St., Phoenix, AZ",-112.0473847,"33.4825335","3015 n 16th st, phoenix, az 85016, usa","Geocoded"
148,"Taylor's","(*),(R),(E)","(DW's R & Nickelodeon-E)","4223 N. 7th St.","Restaurant,Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","4223 N. 7th St., Phoenix, AZ",-112.0650494,"33.4973253","4223 n 7th st, phoenix, az 85014, usa","Geocoded"
149,"Trax","(*),(D),(PT),(AH),(WE)","(Macho)(Disco)(AH-WE)","1724 E. McDowell","Bars/Clubs","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","1724 E. McDowell, Phoenix, AZ",-112.0445398,"33.4660592","1724 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
150,"Tuff Stuff","","(Leather, Toys, etc.)","1714 E. McDowell","Erotic Shop","Phoenix","AZ",1987,NA,"","","1/28/2022 11:11pm","1714 E. McDowell, Phoenix, AZ",-112.0449202,"33.4660117","1714 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
153,"Women's Center","","","1634 N. 7th St.","Community Center/Support Group","Phoenix","AZ",1987,NA,"","","7/13/2022 9:24am","1634 N. 7th St., Phoenix, AZ",-112.0653234,"33.4672946","1634 n 7th st, phoenix, az 85006, usa","Geocoded"
160,"J.R.'s Hideaway","(N)","(Fun)(In alley)","7125 5th Ave.","Bars/Clubs","Scottsdale","AZ",1987,NA,"","","1/28/2022 11:11pm","7125 5th Ave., Scottsdale, AZ",-111.9274101,"33.4978332","7125 e 5th ave, scottsdale, az 85251, usa","Geocoded"
161,"Zorba's Book Shop","(*)","","2924 N. Scottsdale Rd.","Book Store","Scottsdale","AZ",1987,NA,"","","1/28/2022 11:11pm","2924 N. Scottsdale Rd., Scottsdale, AZ",-111.9269897,"33.4813042","2924 n scottsdale rd, scottsdale, az 85251, usa","Geocoded"
163,"Marie's 1st Place","(M),(R)","","709 S. Mill Ave.","Restaurant","Tempe","AZ",1987,NA,"","","1/28/2022 11:11pm","709 S. Mill Ave., Tempe, AZ",-111.9396454,"33.4228533","709 s mill ave, tempe, az 85281, usa","Geocoded"
164,"Modern World Adult Books","","","1812 E. Apache","Book Store,Erotic Shop","Tempe","AZ",1987,NA,"","","1/28/2022 11:11pm","1812 E. Apache, Tempe, AZ",-111.9083036,"33.4150236","1812 e apache blvd, tempe, az 85281, usa","Geocoded"
165,"Valley Art Theatre","(M)","","509 S. Mill Ave.","Theatre","Tempe","AZ",1987,NA,"","","1/28/2022 11:11pm","509 S. Mill Ave., Tempe, AZ",-111.9396415,"33.4251003","509 s mill ave, tempe, az 85281, usa","Geocoded"
171,"Blue Willow","(M),(R)","(R & Gifts)","2616 N. Campbell","Restaurant","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","2616 N. Campbell, Tucson, AZ",-110.9435241,"32.254416","2616 n campbell ave, tucson, az 85719, usa","Geocoded"
172,"Books Brothers","(*)","","3242 E. Speedway","Book Store","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","3242 E. Speedway, Tucson, AZ",-110.9238261,"32.2357585","3242 e speedway blvd, tucson, az 85716, usa","Geocoded"
173,"Bookstore Southwest","","(24 hrs.)","1400 S. Alvernon","Book Store","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","1400 S. Alvernon, Tucson, AZ",-110.9100239,"32.2050383","1400 s alvernon way, tucson, az 85711, usa","Geocoded"
175,"Caesar's Book Store","(F&S)","","2540 N. Miracle Mile","Bars/Clubs,Book Store","Tucson","AZ",1987,NA,"","","7/13/2022 8:42am","2540 N. Miracle Mile, Tucson, AZ",-111.0000831,"32.2608476","2540 w miracle mile, tucson, az 85705, usa","Geocoded"
176,"Congress","(M),(OC),(RT)","","311 E. Congress","Bars/Clubs","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","311 E. Congress, Tucson, AZ",-110.9668233,"32.222337","311 e congress st, tucson, az 85701, usa","Geocoded"
178,"El Toreso","(M),(R)","(Mexican)","231 E 26th St.","Restaurant","Tucson","AZ",1987,NA,"","","4/12/2022 12:45pm","231 E 26th St., Tucson, AZ",-110.965932,"32.2030442","231 e 26th st, tucson, az 85713, usa","Geocoded"
179,"Fineline","(D)","(Disco)(May be closing)","101 W. Drachman","Bars/Clubs","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","101 W. Drachman, Tucson, AZ",-110.9744608,"32.2387133","101 w drachman st, tucson, az 85705, usa","Geocoded"
180,"Graduate","(D),(*)","","23 W. University","Bars/Clubs","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","23 W. University, Tucson, AZ",-110.9724985,"32.231604","23 w university blvd, tucson, az 85705, usa","Geocoded"
181,"It's Bout Time","(D)","(Disco)","616 N. 4th Ave.","Bars/Clubs","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","616 N. 4th Ave., Tucson, AZ",-110.9654055,"32.2295467","616 n 4th ave, tucson, az 85705, usa","Geocoded"
182,"Joshua Tree","(*),(YC),(D)","(Cruisy)(Disco)('Back Pocket' & patio in rear)","2921 N. 1st Ave.","Cruising Areas,Bars/Clubs","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","2921 N. 1st Ave., Tucson, AZ",-110.9614488,"32.2607567","2921 n 1st ave, tucson, az 85719, usa","Geocoded"
183,"M.C.C.","(MCC)","","560 S. Stone Ave.","Religious Institution","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","560 S. Stone Ave., Tucson, AZ",-110.9702011,"32.2141383","560 s stone ave, tucson, az 85701, usa","Geocoded"
184,"Rita's Rendezvous","(*),(R),(D)","(Sun. brunch)(Disco)","3455 E. Grant Rd.","Restaurant,Bars/Clubs","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","3455 E. Grant Rd., Tucson, AZ",-110.9188334,"32.2509132","3455 e grant rd, tucson, az 85716, usa","Geocoded"
185,"Rumorhazzit","(V),(D)","(Dynasty)","2222 N. Stone","Bars/Clubs","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","2222 N. Stone, Tucson, AZ",-110.9716704,"32.2487613","2222 n stone ave, tucson, az 85705, usa","Geocoded"
186,"Simone's","(S),(YC),(L),(WE)","(Some YC, L)(WE*)","2849 N. 1st Ave.","Bars/Clubs","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","2849 N. 1st Ave., Tucson, AZ",-110.961328,"32.2590174","2849 n 1st ave, tucson, az 85719, usa","Geocoded"
187,"Speedway Books","(F&S),(*)","(off Alvernon, nr. Aviation Hwy.) (Also at Joshua Tree)","3660 E. Speedway","Book Store","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","3660 E. Speedway, Tucson, AZ",-110.9143035,"32.2356425","3660 e speedway blvd, tucson, az 85716, usa","Geocoded"
188,"Stables","(P)","(Baths)","3820 E. 40th St.","Bathhouses","Tucson","AZ",1987,NA,"","","1/28/2022 11:11pm","3820 E. 40th St., Tucson, AZ",-110.9104275,"32.1890921","3820 e 40th st, tucson, az 85713, usa","Geocoded"
189,"The Bookstore Southwest","(F&S)","","1400 S. Alvernon","Book Store","Tucson","AZ",1987,NA,"","","1/28/2022 11:14pm","1400 S. Alvernon, Tucson, AZ",-110.9100239,"32.2050383","1400 s alvernon way, tucson, az 85711, usa","Geocoded"
199,"Bargain Box","(M)","(Books & flicks)(Cruisy*)","240 E. 16th St.","Book Store,Cruising Areas","Yuma","AZ",1987,NA,"","","1/28/2022 11:20pm","240 E. 16th St., Yuma, AZ",-114.618662,"32.6985259","240 e 16th st, yuma, az 85364, usa","Geocoded"
200,"J.P.'s Cameo Lounge","(*),(PT),(L)","(Some L)(Cruisy)","232 S. 4th Ave.","Bars/Clubs,Cruising Areas","Yuma","AZ",1987,NA,"","","1/28/2022 11:20pm","232 S. 4th Ave., Yuma, AZ",-114.6247963,"32.7226362","232 s 4th ave, yuma, az 85364, usa","Geocoded"
201,"Johnny's","(M),(AYOR)","","244 E. 16th","Bars/Clubs","Yuma","AZ",1987,NA,"","","1/28/2022 11:20pm","244 E. 16th, Yuma, AZ",-114.6186017,"32.6985264","244 e 16th st, yuma, az 85364, usa","Geocoded"
202,"Owl Bookstore","(M)","at 24th St.","4th Ave.","Book Store","Yuma","AZ",1987,NA,"","","1/28/2022 11:20pm","4th Ave., Yuma, AZ",-114.6245084,"32.6748634","s 4th ave, yuma, az, usa","Geocoded"
203,"Red's Bird Cage","(M)","","231 S. Main","Bars/Clubs","Yuma","AZ",1987,NA,"","","1/28/2022 11:20pm","231 S. Main, Yuma, AZ",-114.6175253,"32.7235331","231 s main st, yuma, az 85364, usa","Geocoded"
