"title","description","streetaddress","city","state","amenityfeatures","type","Year","unclear_address","notes","full.address","lon","lat","geoAddress","status"
"Silver Dollar Bar","","2311 7th St.","Tuscaloosa","AL","(M)","Bars/Clubs",1982,NA,"","2311 7th St., Tuscaloosa, AL",-87.5665095,33.208209,"2311 7th st, tuscaloosa, al 35401, usa","Geocoded"
"Harry's Bar","(AYOR) (Best late)","1106 Opelika Hwy.","Auburn","AL","(AYOR),(M),(PT)","Bars/Clubs",1982,NA,"","1106 Opelika Hwy., Auburn, AL",-85.4584678,32.6196424,"1106 opelika rd, auburn, al 36830, usa","Geocoded"
"M.C.C.","","602 W. 10th Ave","Anchorage","AK","(MCC)","Religious Institution",1982,NA,"","602 W. 10th Ave, Anchorage, AK",-149.8937712,61.2123448,"602 w 10th ave, anchorage, ak 99501, usa","Geocoded"
"The Village","(Disco) (Some L) (Cruisy)","225 E. 5th Ave.","Anchorage","AK","(*),(YC),(D),(L)","Bars/Clubs,Cruising Areas",1982,NA,"","225 E. 5th Ave., Anchorage, AK",-149.8801505,61.2177897,"225 e 5th ave, anchorage, ak 99501, usa","Geocoded"
"Pioneer Hotel","(Very M) (Sleazy)","401 1st Ave.","Fairbanks","AK","(M)","Hotel,Bars/Clubs",1982,NA,"","401 1st Ave., Fairbanks, AK",-147.7161934,64.8439544,"401 1st ave, fairbanks, ak 99701, usa","Geocoded"
"Crystal Saloon","","418 S. Franklin St.","Juneau","AK","(M),(D)","Bars/Clubs",1982,NA,"","418 S. Franklin St., Juneau, AK",-134.4018519,58.2974416,"418 s franklin st, juneau, ak 99801, usa","Geocoded"
"St. Elmo's","","36 Brewery Gulch Ave.","Bisbee","AZ","(M),(W),(PT),(E),(WE)","Bars/Clubs",1982,NA,"","36 Brewery Gulch Ave., Bisbee, AZ",-109.9133562,31.448586,"36 brewery gulch, bisbee, az 85603, usa","Geocoded"
"Venus Book Store","(Cruisy)","4715 W. Glendale","Glendale","AZ","(*)","Book Store,Cruising Areas",1982,NA,"","4715 W. Glendale, Glendale, AZ",-112.1609522,33.5379364,"4715 w glendale ave, glendale, az 85301, usa","Geocoded"
"Barney's Books","","1421 E. McDowell Rd.","Phoenix","AZ","","Book Store",1982,NA,"","1421 E. McDowell Rd., Phoenix, AZ",-112.0510021,33.4655526,"1421 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
"Book Cellar","(Books)","2103 W. Camelback Rd.","Phoenix","AZ","","Book Store",1982,NA,"","2103 W. Camelback Rd., Phoenix, AZ",-112.1044816,33.5093936,"2103 w camelback rd, phoenix, az 85015, usa","Geocoded"
"Book Cellar","(Books)","402 W. Hatcher","Phoenix","AZ","","Book Store",1982,NA,"","402 W. Hatcher, Phoenix, AZ",-112.0800765,33.5714788,"402 w hatcher rd, phoenix, az 85021, usa","Geocoded"
"Club Phoenix Baths","","1517 S. Black Canyon Rd.","Phoenix","AZ","(P)","Bathhouses",1982,NA,"","1517 S. Black Canyon Rd., Phoenix, AZ",-112.1072675,33.4337502,"1517 s black canyon hwy, phoenix, az 85009, usa","Geocoded"
"Connection","(Cruisy) (Some W, SM, FFA) (Leather boutique)","4211 N. 7th St.","Phoenix","AZ","(*),(W),(SM),(FFA)","Cruising Areas,Erotic Shop",1982,NA,"","4211 N. 7th St., Phoenix, AZ",-112.0648,33.4969979,"4211 n 7th st, phoenix, az 85014, usa","Geocoded"
"Denny's","","5000 N. 7th St.","Phoenix","AZ","(M),(R),(C),(AH)","Restaurant",1982,NA,"","5000 N. 7th St., Phoenix, AZ",-112.0651911,33.5092211,"5000 n 7th st, phoenix, az 85014, usa","Geocoded"
"Diamond Lil's","(D.L.'s)","3024 N. 24th St.","Phoenix","AZ","(S)","Bars/Clubs",1982,NA,"","3024 N. 24th St., Phoenix, AZ",-112.0306137,33.4826826,"3024 n 24 th street ac, phoenix, az 85016, usa","Geocoded"
"Erotica Motel & Book Store","","5200 E. Van Buren","Phoenix","AZ","(H)","Hotel,Erotic Shop",1982,NA,"","5200 E. Van Buren, Phoenix, AZ",-111.9694447,33.4510194,"5200 e van buren st, phoenix, az 85008, usa","Geocoded"
"Farrah's","(Macho) (Disco) (*)","4017 E. Indian School Rd.","Phoenix","AZ","(D),(*)","Bars/Clubs",1982,NA,"","4017 E. Indian School Rd., Phoenix, AZ",-111.9946803,33.4947588,"4017 e indian school rd, phoenix, az 85018, usa","Geocoded"
"Full Moon","(Disco)","3108 E. McDowell Rd.","Phoenix","AZ","(L),(D)","Bars/Clubs",1982,NA,"","3108 E. McDowell Rd., Phoenix, AZ",-112.0154798,33.4660821,"3108 e mcdowell rd, phoenix, az 85008, usa","Geocoded"
"Goog's","","1812 E. Camelback Rd.","Phoenix","AZ","(M),(R),(AH)","Restaurant",1982,NA,"","1812 E. Camelback Rd., Phoenix, AZ",-112.0425603,33.5095721,"1812 e camelback rd, phoenix, az 85016, usa","Geocoded"
"Grand Camel","(Some L) (Looks promising)","5105 N. 43rd Ave.","Phoenix","AZ","(R),(L)","Restaurant",1982,NA,"","5105 N. 43rd Ave., Phoenix, AZ",-112.1508691,33.5118594,"5105 n 43rd ave, phoenix, az 85019, usa","Geocoded"
"Harpo's","(Square D - Wed.-Sat.) (Some Latins) (*)","102 W. McDowell Rd.","Phoenix","AZ","(S),(D),(*)","Bars/Clubs",1982,NA,"","102 W. McDowell Rd., Phoenix, AZ",-112.076261,33.4661463,"102 w mcdowell rd, phoenix, az 85003, usa","Geocoded"
"Hotbods","(Unisex) (Disco) (AH-WE) (*)","3437 E. McDowell Rd.","Phoenix","AZ","(YC),(D),(AH),(WE),(*)","Bars/Clubs",1982,NA,"","3437 E. McDowell Rd., Phoenix, AZ",-112.0065107,33.4653293,"3437 e mcdowell rd, phoenix, az 85008, usa","Geocoded"
"Incognito Lounge","","2424 E. Thomas Rd.","Phoenix","AZ","(L),(D)","Bars/Clubs",1982,NA,"","2424 E. Thomas Rd., Phoenix, AZ",-112.028937,33.4806218,"2424 e thomas rd, phoenix, az 85016, usa","Geocoded"
"Mardi Gras Lounge","(WE*) (Fun downtown bar)","1011 N. Central Ave.","Phoenix","AZ","(WE),(*)","Bars/Clubs",1982,NA,"","1011 N. Central Ave., Phoenix, AZ",-112.0735561,33.4593182,"1011 n central ave, phoenix, az 85004, usa","Geocoded"
"M.C.C.","(Casa de Cristo)","1029 E. Turkey","Phoenix","AZ","(MCC)","Religious Institution",1982,NA,"","1029 E. Turkey, Phoenix, AZ",-112.0740373,33.4483771,"phoenix, az, usa","Geocoded"
"Nu Towne Saloon","(Some W, YC) (Patio with Sun. buffet, 'Mon. beer bust') (*)","5002 E. Van Buren","Phoenix","AZ","(W),(YC),(PT),(*)","Bars/Clubs",1982,NA,"","5002 E. Van Buren, Phoenix, AZ",-111.9739771,33.4514023,"5002 e van buren st, phoenix, az 85008, usa","Geocoded"
"Owl Book Store","","1838 Grand Ave.","Phoenix","AZ","","Book Store",1982,NA,"","1838 Grand Ave., Phoenix, AZ",-112.099079,33.4655022,"1838 grand ave, phoenix, az 85007, usa","Geocoded"
"Palmer's 307 Lounge","(at N. 3rd St.)","222 E. Roosevelt","Phoenix","AZ","(OC),(PT)","Bars/Clubs",1982,NA,"The below note was added on to the address; I figured Google wouldn't recognize it. 

(at N. 3rd St.)","222 E. Roosevelt, Phoenix, AZ",-112.0701697,33.458806,"222 e roosevelt st, phoenix, az 85004, usa","Geocoded"
"Parr of Arizona","(Clothing)","3903 N. 16th St.","Phoenix","AZ","","Business",1982,NA,"","3903 N. 16th St., Phoenix, AZ",-112.0472178,33.4925559,"3903 n 16th st, phoenix, az 85016, usa","Geocoded"
"Pleasure Palace Book Store","","1524 E. Van Buren","Phoenix","AZ","","Erotic Shop",1982,NA,"","1524 E. Van Buren, Phoenix, AZ",-112.047963,33.451619,"1524 e van buren st, phoenix, az 85006, usa","Geocoded"
"Ramrod","(Sun. beer bust)","395 N. Black Canyon Rd.","Phoenix","AZ","(SM),(W),(PT)","Bars/Clubs",1982,NA,"","395 N. Black Canyon Rd., Phoenix, AZ",-112.1485918,33.8047692,"n black canyon blvd, phoenix, az 85086, usa","Geocoded"
"Sammy's Steak House & Saloon","(Disco)","2125 E. McDowell","Phoenix","AZ","(R),(*),(D)","Restaurant,Bars/Clubs",1982,NA,"","2125 E. McDowell, Phoenix, AZ",-112.0360397,33.465498,"2125 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
"Sportsmen Lounge","(Disco) (C-AH-WE)","4622 N. 7th St.","Phoenix","AZ","(C),(AH),(PT),(WE),(RT),(W)","Bars/Clubs",1982,NA,"","4622 N. 7th St., Phoenix, AZ",-112.0653062,33.5044119,"4622 n 7th st, phoenix, az 85014, usa","Geocoded"
"T & J Saloon","(Hustlers, OC)","702 N. Central","Phoenix","AZ","(OC)","Bars/Clubs",1982,NA,"","702 N. Central, Phoenix, AZ",-112.0742314,33.455716,"702 n central ave, phoenix, az 85004, usa","Geocoded"
"Taylor's","(Sun. brunch & Wed. dinners))","4223 N. 7th St.","Phoenix","AZ","(*)","Restaurant",1982,NA,"","4223 N. 7th St., Phoenix, AZ",-112.0650497,33.4974185,"4223 n 7th st, phoenix, az 85014, usa","Geocoded"
"Tommy & Clydes","(Sign still says Fatfingers)","5749 N. 7th St.","Phoenix","AZ","(OC),(D),(*)","Bars/Clubs",1982,NA,"","5749 N. 7th St., Phoenix, AZ",-112.0646603,33.5217412,"5749 n 7th st, phoenix, az 85014, usa","Geocoded"
"Trax","(D.J. but no D)","1724 E. McDowell","Phoenix","AZ","(SM),(W),(PT),(*)","Bars/Clubs",1982,NA,"","1724 E. McDowell, Phoenix, AZ",-112.0445398,33.4660592,"1724 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
"Womansplace","(Books, etc.)","2401 N. 32nd ST.","Phoenix","AZ","(L)","Book Store",1982,NA,"","2401 N. 32nd ST., Phoenix, AZ",-112.012356,33.4742565,"2401 n 32nd st, phoenix, az 85008, usa","Geocoded"
"Zorba's Book Shop","","2924 N. Scottsdale Rd.","Scottsdale","AZ","(*)","Book Store",1982,NA,"","2924 N. Scottsdale Rd., Scottsdale, AZ",-111.9266701,33.4812106,"2924 n scottsdale rd, scottsdale, az 85251, usa","Geocoded"
"Minder-Benders","","715 S. Hayden Rd.","Tempe","AZ","(M),(YC),(R)","Bars/Clubs,Restaurant",1982,NA,"","715 S. Hayden Rd., Tempe, AZ",-111.9088412,33.455456,"715 n hayden rd, scottsdale, az 85257, usa","Geocoded"
"Modern World Adult Books","","1812 E. Apache","Tempe","AZ","","Erotic Shop",1982,NA,"","1812 E. Apache, Tempe, AZ",-111.9083036,33.4150236,"1812 e apache blvd, tempe, az 85281, usa","Geocoded"
"Books Brothers","","3244 E. Speedway","Tucson","AZ","","Book Store",1982,NA,"","3244 E. Speedway, Tucson, AZ",-110.9237097,32.2357998,"3244 e speedway blvd, tucson, az 85716, usa","Geocoded"
"Book Cellar","","3844 E. Grant","Tucson","AZ","","Book Store",1982,NA,"","3844 E. Grant, Tucson, AZ",-110.9109751,32.2503442,"3844 e grant rd, tucson, az 85716, usa","Geocoded"
"Book Cellar","","2505 N. Stone","Tucson","AZ","","Book Store",1982,NA,"","2505 N. Stone, Tucson, AZ",-110.9723419,32.2525199,"2505 n stone ave, tucson, az 85705, usa","Geocoded"
"Caesar's Book Store","('Wild back room' - best early evenings)","2540 N. Miracle Mile","Tucson","AZ","","Book Store",1982,NA,"","2540 N. Miracle Mile, Tucson, AZ",-111.0000831,32.2608476,"2540 w miracle mile, tucson, az 85705, usa","Geocoded"
"Congress","","311 E. Congress","Tucson","AZ","(M),(OC),(RT)","Bars/Clubs",1982,NA,"","311 E. Congress, Tucson, AZ",-110.9668233,32.222337,"311 e congress st, tucson, az 85701, usa","Geocoded"
"Dale's Graduate","(Some W, SM, FFA, OC, YC, Latins - 'tops' during cocktail hour)","23 W. University Blvd.","Tucson","AZ","(*),(W),(SM),(FFA),(OC),(YC),(PT)","Bars/Clubs",1982,NA,"","23 W. University Blvd., Tucson, AZ",-110.9724985,32.231604,"23 w university blvd, tucson, az 85705, usa","Geocoded"
"Dr. Jekyll's & Mr. Hyde's","(Men) (Disco)","1455 N. Miracle Mile","Tucson","AZ","(L),(D)","Bars/Clubs",1982,NA,"","1455 N. Miracle Mile, Tucson, AZ",-110.9973399,32.260898,"1455 w miracle mile, tucson, az 85705, usa","Geocoded"
"Fun Time Adult Books","","349 E. Toole Ave.","Tucson","AZ","","Book Store",1982,NA,"","349 E. Toole Ave., Tucson, AZ",-110.9670398,32.2229604,"349 e toole ave, tucson, az 85701, usa","Geocoded"
"Hair Tiz","(Good days) (at Pennington)","342 E. Toole Ave.","Tucson","AZ","","Bars/Clubs",1982,NA,"","342 E. Toole Ave., Tucson, AZ",-110.9670398,32.2229604,"342 e toole ave, tucson, az 85701, usa","Geocoded"
"Holy Trinity Comm. Church of the Desert","","4831 E. 22nd","Tucson","AZ","","Religious Institution",1982,NA,"","4831 E. 22nd, Tucson, AZ",-110.8892395,32.2079367,"4831 e 22nd st, tucson, az 85711, usa","Geocoded"
"Joshua Tree","(Most macho disco) (Cruisy) ('Back Pocket' & patio in rear)","2921 N. 1st Ave.","Tucson","AZ","(*),(YC)","Bars/Clubs,Cruising Areas",1982,NA,"","2921 N. 1st Ave., Tucson, AZ",-110.9614212,32.260779,"2921 n 1st ave, tucson, az 85719, usa","Geocoded"
"M.C.C.","","349 W. 35th St.","Tucson","AZ","(MCC)","Religious Institution",1982,NA,"","349 W. 35th St., Tucson, AZ",-110.9743444,32.1931522,"349 w 35th st, tucson, az 85713, usa","Geocoded"
"Pleasure World","(Books 'n' things - erotica)","3814 E. Speedway","Tucson","AZ","","Book Store",1982,NA,"","3814 E. Speedway, Tucson, AZ",-110.9111051,32.2355719,"3814 e speedway blvd, tucson, az 85716, usa","Geocoded"
"Pleasure World","(Books 'n' things - erotica)","1904 S. Craycroft","Tucson","AZ","","Book Store",1982,NA,"","1904 S. Craycroft, Tucson, AZ",-110.8754227,32.1994213,"1904 s craycroft rd, tucson, az 85711, usa","Geocoded"
"Speedway Books","","3660 E. Speedway","Tucson","AZ","","Book Store",1982,NA,"","3660 E. Speedway, Tucson, AZ",-110.914303,32.2356324,"3660 e speedway blvd, tucson, az 85716, usa","Geocoded"
"Stables","(Baths)","3820 E. Speedway","Tucson","AZ","(*),(P)","Bathhouses",1982,NA,"","3820 E. Speedway, Tucson, AZ",-110.9111372,32.2356541,"3820 e speedway blvd, tucson, az 85716, usa","Geocoded"
"Toole Box","(BYOB) (Cruisy maze & 'wild back room' & disco too!)","199 E. Pennington","Tucson","AZ","(*),(P),(AH),(BYOB)","Bars/Clubs,Cruising Areas",1982,NA,"","199 E. Pennington, Tucson, AZ",-110.968627,32.2234026,"199 e pennington st, tucson, az 85701, usa","Geocoded"
"Mickey's Lounge","","400 S. Haskell","Willcox","AZ","(M)","Bars/Clubs",1982,NA,"","400 S. Haskell, Willcox, AZ",-109.8350935,32.2492631,"400 s haskell ave, willcox, az 85643, usa","Geocoded"
"Bargain Box","(Books & flicks) (Cruisy*)","240 E. 16th St.","Yuma","AZ","(*)","Book Store,Cruising Areas",1982,NA,"After Yuma, this note is listed: ""(Catch as catch can - best bets listed below)","240 E. 16th St., Yuma, AZ",-114.618662,32.6985259,"240 e 16th st, yuma, az 85364, usa","Geocoded"
"Greentree's","","2187 W. 8th St.","Yuma","AZ","(M),(PE),(R),(*)","Bars/Clubs,Restaurant",1982,NA,"","2187 W. 8th St., Yuma, AZ",-114.6465451,32.7127126,"2187 w 8th st, yuma, az 85364, usa","Geocoded"
"Sambo's","(AH-WE)","1400 E. 16th St.","Yuma","AZ","(M),(R),(C),(AH),(WE)","Bars/Clubs,Restaurant",1982,NA,"","1400 E. 16th St., Yuma, AZ",-114.6061603,32.699286,"1400 e 16th st, yuma, az 85365, usa","Geocoded"
"Sky Chief","(Bar only - WE)","1530 E. 32nd St.","Yuma","AZ","(M),(WE)","Bars/Clubs",1982,NA,"","1530 E. 32nd St., Yuma, AZ",-114.6062893,32.6699735,"1530 e 32nd st, yuma, az 85365, usa","Geocoded"
"Log Cabin Inn & Country Store","","42 Kings Highway","Eureka Springs","AR","(M),(H),(R)","Hotel,Restaurant",1982,NA,"","42 Kings Highway, Eureka Springs, AR",-93.7461076,36.3990807,"42 kingshighway, eureka springs, ar 72632, usa","Geocoded"
"George's Majestic","","519 W. Dickson","Fayetteville","AR","(M),(OC)","Bars/Clubs",1982,NA,"","519 W. Dickson, Fayetteville, AR",-94.166454,36.066189,"519 w dickson st, fayetteville, ar 72701, usa","Geocoded"
"R.D.'s Disco","(Disco) (""Rear"" of said address)","325 W. Dickson","Fayetteville","AR","(P),(YC),(D)","Bars/Clubs",1982,NA,"","325 W. Dickson, Fayetteville, AR",-94.1640541,36.0661025,"325 w dickson st, fayetteville, ar 72701, usa","Geocoded"
"Studio 34","(Disco) (Some L)","634 Division","Ft. Smith","AR","(M),(YC),(D),(L),(*)","Bars/Clubs",1982,NA,"Notes the following about Ft. Smith area: (closes 12 midnight on Sat.)","634 Division, Ft. Smith, AR",-94.4105131,35.4006342,"634 division st, fort smith, ar 72904, usa","Geocoded"
"Village Landing","(Some L) (Disco)","3028 N. 6th St.","Ft. Smith","AR","(*),(L)","Bars/Clubs",1982,NA,"","3028 N. 6th St., Ft. Smith, AR",-94.4003877,35.409082,"3028 n 6th st, fort smith, ar 72904, usa","Geocoded"
"Norma Kristie's","(Some L)","220 Central Ave","Hot Springs","AR","(L),(*),(D),(S),(R)","Bars/Clubs,Restaurant",1982,NA,"","220 Central Ave, Hot Springs, AR",-93.0541806,34.5170744,"220 central ave, hot springs, ar 71901, usa","Geocoded"
"Our House Lounge","(Upstairs disco) (D)","336 Central Ave.","Hot Springs","AR","(D)","Bars/Clubs",1982,NA,"","336 Central Ave., Hot Springs, AR",-93.054107,34.514824,"336 central ave, hot springs, ar 71901, usa","Geocoded"
"Chaps Saloon","(Sign says Squeeze Inn)","1701 University","Little Rock","AR","(*),(W),(YC)","Bars/Clubs,Hotel",1982,NA,"","1701 University, Little Rock, AR",-92.3398772,34.7205325,"university dr, little rock, ar 72204, usa","Geocoded"
"Discovery II","(Disco) (Riverfront Dr. off Cantrell Rd.)","1021 Jessie Rd.","Little Rock","AR","(*),(YC),(D),(S)","Bars/Clubs",1982,NA,"","1021 Jessie Rd., Little Rock, AR",-92.3002408,34.75858,"1021 jessie rd, little rock, ar 72202, usa","Geocoded"
"George's","(Beer)","7303 W. 12th","Little Rock","AR","(M)","Bars/Clubs",1982,NA,"","7303 W. 12th, Little Rock, AR",-92.3553174,34.741802,"7303 w 12th st, little rock, ar 72204, usa","Geocoded"
"Regina's Place","(Books & Movie arcade)","1314 Main St.","Little Rock","AR","","Book Store",1982,NA,"","1314 Main St., Little Rock, AR",-92.3867125,34.6528775,"1314 mabelvale main st, mabelvale, ar 72103, usa","Geocoded"
"Silver Dollar","(Some L) (501)663-9886","Asher St.","Little Rock","AR","(L)","Bars/Clubs",1982,NA,"","Asher St., Little Rock, AR",-92.322293,34.7242309,"asher ave, little rock, ar 72204, usa","Geocoded"
"Bacchanal","","1369 Solano","Albany","CA","(L)","Bars/Clubs",1982,NA,"Notes the following: ""Open daily 6am to 2am""","1369 Solano, Albany, CA",-122.2907527,37.8909422,"1369 solano ave, albany, ca 94706, usa","Geocoded"
"Garden of Eden Bookstore","","314 E. Lincoln Ave.","Anaheim","CA","","Erotic Shop",1982,NA,"","314 E. Lincoln Ave., Anaheim, CA",-117.9112417,33.8369802,"314 e lincoln ave, anaheim, ca 92805, usa","Geocoded"
"Awful Annie's Cafe","","160 Sacramento","Auburn","CA","(M),(R)","Restaurant",1982,NA,"","160 Sacramento, Auburn, CA",-121.0782368,38.89502,"160 sacramento st, auburn, ca 95603, usa","Geocoded"
"E & G","","729 Lincoln Way","Auburn","CA","(M)","Restaurant",1982,NA,"","729 Lincoln Way, Auburn, CA",-121.0667651,38.9009936,"729 lincoln way, auburn, ca 95603, usa","Geocoded"
"Casablanca","(Disco)","1927 'K' St.","Bakersfield","CA","(YC),(D),(*)","Bars/Clubs",1982,NA,"","1927 'K' St., Bakersfield, CA",-119.0177549,35.376914,"1927 k st, bakersfield, ca 93301, usa","Geocoded"
"Steam Works","(Baths) (Hot tub) (1 block off University Ave)","2107 4th St.","Berkeley","CA","(*)","Bathhouses",1982,NA,"","2107 4th St., Berkeley, CA",-122.298857,37.8659644,"2107 fourth st, berkeley, ca 94710, usa","Geocoded"
"Swingers Books","","881 Humboldt Ave.","Chico","CA","(M)","Book Store",1982,NA,"","881 Humboldt Ave., Chico, CA",-121.8257016,39.7285667,"881 humboldt ave, chico, ca 95928, usa","Geocoded"
"Scotty's Castle","(Lakeport)","101 S. Main Street","Clear Lake","CA","(M),(R),(E)","Bars/Clubs,Restaurant",1982,NA,"","101 S. Main Street, Clear Lake, CA",-122.9155246,39.0421247,"101 s main st, lakeport, ca 95453, usa","Geocoded"
"Starlight Resort Motel","(Spa, heated pool. Pvt. sundeck, fishing, water skiing, etc.) (9495 E. Hwy. 20, Glenhaven, CA 95443)","9495 E. Hwy. 20","Clear Lake","CA","(H),(M),(BA),(*)","Hotel",1982,NA,"","9495 E. Hwy. 20, Clear Lake, CA",-122.775756,39.0430008,"9495 e hwy 20, lucerne, ca 95458, usa","Geocoded"
"Sunset Point Resort","(Bunkhouse) (Beer & wine bar) (R - Brunch WE) (*) (Campground, hot tubs, etc.) (12037 Hwy. 20, (P.O. Box 455), Clear Lake Oaks, CA 95423) ((707) 998-1415)","12037 Hwy. 20","Clear Lake","CA","(H),(R),(WE),(*)","Hotel,Restaurant",1982,NA,"","12037 Hwy. 20, Clear Lake, CA",-122.685485,39.019599,"12037 state hwy 20, clearlake oaks, ca 95423, usa","Geocoded"
"877 Club","(R-Lunch)","877 W. 19th","Costa Mesa","CA","(R),(D),(PT)","Bars/Clubs,Restaurant",1982,NA,"","877 W. 19th, Costa Mesa, CA",-117.935353,33.6428689,"877 w 19th st, costa mesa, ca 92627, usa","Geocoded"
"M.C.C.","","215 E. 23rd","Costa Mesa","CA","(MCC)","Religious Institution",1982,NA,"","215 E. 23rd, Costa Mesa, CA",-117.9018087,33.6516813,"215 23rd st, costa mesa, ca 92627, usa","Geocoded"
"Newport Station","(Disco) (Closed Mon. & Tues.) ('Tops in Orange County')","1945 Placentia","Costa Mesa","CA","(YC),(D),(R),(*)","Bars/Clubs,Restaurant",1982,NA,"","1945 Placentia, Costa Mesa, CA",-117.9332755,33.6439303,"1945 placentia ave, costa mesa, ca 92627, usa","Geocoded"
"Mi Wey","","11513 Washington Blvd.","Culver City","CA","(L)","Bars/Clubs",1982,NA,"","11513 Washington Blvd., Culver City, CA",-118.41665,34.0010839,"11513 washington blvd, los angeles, ca 90066, usa","Geocoded"
"Interlude","","4942 Stevens Creek","Cupertino","CA","(R)","Bars/Clubs,Restaurant",1982,NA,"","4942 Stevens Creek, Cupertino, CA",-121.9892985,37.3227187,"4942 stevens creek blvd, san jose, ca 95129, usa","Geocoded"
