"title","description","streetaddress","city","state","amenityfeatures","unclear_address","Year","type","notes","full.address","lon","lat","geoAddress"
"Renaissance Chocolates","#12 488-8344/(800) 587-7201 7am-5pm","240 E Hersey","Ashland","OR","(*),(NS)",NA,1998,"Cafes","","240 E Hersey, Ashland, OR",-122.7072936,42.2008721,"240 e hersey st, ashland, or 97520, usa"
"Cupid’s Connection Adult Boutique","846-5029","244 N George St","York","PA","(*),(NS)",NA,1998,"Erotica","","244 N George St, York, PA",-76.7299117,39.9659406,"244 n george st, york, pa 17401, usa"
"The Inn Philadelphia","732-2339 4:30pm-10pm, til 9pm Sun, cont'l, full bar","251 S Camac St","Philadelphia","PA","(*),(NS)",NA,1998,"Restaurants","","251 S Camac St, Philadelphia, PA",-75.1615865,39.947103,"251 s camac st, philadelphia, pa 19107, usa"
"The Arden Forest Inn","488-1496/(800) 460-3912 full brkfst","261 W Hersey St","Ashland","OR","(GF),(SW),(NS),(WC)",NA,1998,"Accommodations","","261 W Hersey St, Ashland, OR",-122.7176843,42.2036803,"261 w hersey st, ashland, or 97520, usa"
"Chez Collette","256-9134 4pm-3am","300 Hermitage Ave","Nashville","TN","(W),(NH)",NA,1998,"Bars & Nightclubs","","300 Hermitage Ave, Nashville, TN",-86.7509823,36.1537321,"300 hermitage ave, nashville, tn 37210, usa"
"Sneakers Bar & Dance Club","363-0549 4pm-2:30am, restaurant clsd Sun-Mon","300 Liberty St SE","Salem","OR","(MW),(D),(E),(K),(WC)",NA,1998,"Bars & Nightclubs","","300 Liberty St SE, Salem, OR",-123.0397596,44.9373094,"300 liberty st se, salem, or 97301, usa"
"Jungle Lounge & Restaurant","256-9411 11am-3am, patio","306 4th Ave S","Nashville","TN","(M),(D),(F),(S)",NA,1998,"Bars & Nightclubs","","306 4th Ave S, Nashville, TN",-86.7748746,36.1580722,"306 4th ave s, nashville, tn 37201, usa"
"Rural Book & News","255-9121","315 Market St","Harrisburg","PA","(*),(NS)",NA,1998,"Erotica","","315 Market St, Harrisburg, PA",-76.8801719,40.2612011,"315 market st, harrisburg, pa 17101, usa"
"Julian’s","861-1770 7am-3pm, clsd Mon","318 Broadway","Providence","RI","(*),(NS)",NA,1998,"Restaurants","","318 Broadway, Providence, RI",-71.4281274,41.8199427,"318 broadway, providence, ri 02909, usa"
"Unitarian Universalist Fellowship","248-3737/248-0715 9am & 10:30am Sun","320+ Turnagain St","Anchorage","AK","",NA,1998,"Spiritual Groups","","320+ Turnagain St, Anchorage, AK",-149.9353645,61.1925583,"turnagain st, anchorage, ak 99517, usa"
"Touchez","(enter rear)  335-9874 8pm-2am","323 S Phillips Ave","Sioux Falls","SD","(D),(F),(*),(MW)",NA,1998,"Bars & Nightclubs","","323 S Phillips Ave, Sioux Falls, SD",-96.7271139,43.5439112,"323 s phillips ave, sioux falls, sd 57104, usa"
"Neil Creek House B&B","482-6443/(800) 460-7860 full brkfst","341 Mowetza Dr","Ashland","OR","(GF),(SW),(NS)",NA,1998,"Accommodations","","341 Mowetza Dr, Ashland, OR",-122.6351882,42.1464959,"341 mowetza dr, ashland, or 97520, usa"
"Antique Row B&B","592-7802 full brkfst","341 S 12th St","Philadelphia","PA","(GF)",NA,1998,"Accommodations","","341 S 12th St, Philadelphia, PA",-75.1611513,39.9452569,"341 s 12th st, philadelphia, pa 19107, usa"
"MCC of the Lehigh Valley","(Unitarian Church) 439-8755 6pm Sun","424 Center St","Bethlehem","PA","(*),(NS)",NA,1998,"Spiritual Groups","","424 Center St, Bethlehem, PA",-75.374877,40.6194933,"424 center st, bethlehem, pa 18018, usa"
"Country Host","(Rte 202)  862-5575 7am-10pm","463 Old York Rd","New Hope","PA","(WC)",NA,1998,"Restaurants","","463 Old York Rd, New Hope, PA",-74.9686639,40.3616863,"463 old york rd, new hope, pa 18938, usa"
"NV AIDS Hotline","#304 community info & resources, Spanish spoken","505 E King St","Carson City","NV","",NA,1998,"Info Lines & Services","","505 E King St, Carson City, NV",-119.7631894,39.1635177,"505 e king st, carson city, nv 89701, usa"
"Time Out","448-1180 6pm-?, til 2am Sat","520 8th Ave N","Myrtle Beach","SC","(NH),(D),(S),(PC),(WC),(*),(M)",NA,1998,"Bars & Nightclubs","","520 8th Ave N, Myrtle Beach, SC",-78.884682,33.693884,"520 8th ave n, myrtle beach, sc 29577, usa"
"The Edge","272-3036 5pm-1am","532 S Cooper","Memphis","TN","(M)",NA,1998,"Bars & Nightclubs","","532 S Cooper, Memphis, TN",-89.990146,35.1313322,"532 cooper st, memphis, tn 38104, usa"
"Phoenix Rising","#710 223-8299 sexual minority counseling center","620 SW 5th","Portland","OR","(WC)",NA,1998,"Info Lines & Services","","620 SW 5th, Portland, OR",-122.6768727,45.519002,"620 sw 5th ave, portland, or 97204, usa"
"Deer Hunter","363-1802 4pm-1am, from 2pm wknds","636 S 300 W","Salt Lake City","UT","(M),(D),(L),(PC)",NA,1998,"Bars & Nightclubs","","636 S 300 W, Salt Lake City, UT",-111.9002778,40.7554916,"636 s 300 w, salt lake city, ut 84101, usa"
"Pickering Bend B&B","933-0183","656 Church Rd","Malvern","PA","(GF)",NA,1998,"Accommodations","","656 Church Rd, Malvern, PA",-75.5553009,40.0980321,"656 church rd, malvern, pa 19355, usa"
"Crescent Harbor Hideaway","747-4900","709 Lincoln St","Sitka","AK","(GF)",NA,1998,"Accommodations","","709 Lincoln St, Sitka, AK",-135.327029,57.0513057,"709 lincoln st, sitka, ak 99835, usa"
"Bear E. Patch","762-6555 7am-8pm, patio","801 Folly Rd","Charleston","SC","(WC)",NA,1998,"Cafes","","801 Folly Rd, Charleston, SC",-79.9674338,32.7396025,"801 folly rd, charleston, sc 29412, usa"
"Meristem Women’s Bookstore","276-0282 10am-6pm, some gay men’s titles","930 S Cooper","Memphis","TN","(WC)",NA,1998,"Bookstores & Retail Shops","","930 S Cooper, Memphis, TN",-89.990682,35.120471,"930 cooper st, memphis, tn 38104, usa"
"Twin Travel","923-2995","1101 Spruce St","Philadelphia","PA","(*),(NS)",NA,1998,"Travel Agents","","1101 Spruce St, Philadelphia, PA",-75.1595772,39.9464884,"1101 spruce st, philadelphia, pa 19107, usa"
"St. Francis & St. Clare MCC","332-3966 5:30pm Sun, 7pm summers","1129 E 9th St","Sioux Falls","SD","(*),(NS)",NA,1998,"Spiritual Groups","","1129 E 9th St, Sioux Falls, SD",-96.7115702,43.5474512,"1129 e 9th st, sioux falls, sd 57103, usa"
"Arch St. Books","854-9546","1202 Arch St","Philadelphia","PA","(*),(NS)",NA,1998,"Erotica","","1202 Arch St, Philadelphia, PA",-75.159737,39.953786,"1202 arch st, philadelphia, pa 19107, usa"
"Unity","851-1912 9am-5:30pm, clsd wknds, lesbigay/TG/support/social services","1207 Chestnut St","Philadelphia","PA","(*),(NS)",NA,1998,"Info Lines & Services","","1207 Chestnut St, Philadelphia, PA",-75.160512,39.9507133,"1207 chestnut st, philadelphia, pa 19107, usa"
"Abigail Adams B&B","546-7336/(800) 887-1776","1208 Walnut St","Philadelphia","PA","(GF),(NS)",NA,1998,"Accommodations","","1208 Walnut St, Philadelphia, PA",-75.1610718,39.9487314,"1208 walnut st, philadelphia, pa 19107, usa"
"Unicorn Books","646-3680 10am-9pm, til 5pm wknds, spiritual","1210 Massachusetts Ave","Arlington","MA","",NA,1998,"Bookstores & Retail Shops","","1210 Massachusetts Ave, Arlington, MA",-71.1768804,42.4235968,"1210 massachusetts ave, arlington, ma 02476, usa"
"Uncle’s","546-6660 11am-2am","1220 Locust St","Philadelphia","PA","(M),(NH)",NA,1998,"Bars & Nightclubs","","1220 Locust St, Philadelphia, PA",-75.1615082,39.9477654,"1220 locust st, philadelphia, pa 19107, usa"
"1221 St. lames St","735-5772 opens midnight, call for info","1221 St James St","Philadelphia","PA","(M),(D),(PC)",NA,1998,"Bars & Nightclubs","","1221 St James St, Philadelphia, PA",-75.1616977,39.9483551,"1221 st james st, philadelphia, pa 19107, usa"
"J. Wags Bar","725-1909 24hrs, beer & set-ups only, patio","1268 Madison","Memphis","TN","(M),(D),(F),(S)",NA,1998,"Bars & Nightclubs","","1268 Madison, Memphis, TN",-90.0188256,35.1394447,"1268 madison ave, memphis, tn 38104, usa"
"The Pride Store","2nd flr 743-4297 noon-6pm, clsd Sun","1307 E 38th St","Tulsa","OK","(WC)",NA,1998,"Bookstores & Retail Shops","","1307 E 38th St, Tulsa, OK",-95.9754447,36.1080729,"1307 e 38th st, tulsa, ok 74105, usa"
"Country Willows B&B Inn","488-1590/(800) 945-5697 full brkfst, jacuzzi","1313 Clay St","Ashland","OR","(GF),(SW),(NS),(WC),(TA)",NA,1998,"Accommodations","","1313 Clay St, Ashland, OR",-122.6774162,42.171227,"1313 clay st, ashland, or 97520, usa"
"Philadelphia Tea Party","732-8327 11am-10pm, til midnight Fri-Sat, clsd Sun","1334 Walnut St","Philadelphia","PA","(*),(NS)",NA,1998,"Restaurants","","1334 Walnut St, Philadelphia, PA",-75.1636003,39.9491585,"1334 walnut st, philadelphia, pa 19107, usa"
"Autumn Street Pub","274-8010 1pm-3am, clsd Mon-Tue, patio","1349 Autumn St","Memphis","TN","(MW),(NH),(D),(F),(WC)",NA,1998,"Bars & Nightclubs","","1349 Autumn St, Memphis, TN",-90.0145589,35.1507864,"1349 autumn ave, memphis, tn 38104, usa"
"Queen of Clubs","928-2616 beer & set-ups only","1408 E Main St","Johnson City","TN","(MW),(NH),(D),(A),(MR),(S),(18+),(WC)",NA,1998,"Bars & Nightclubs","","1408 E Main St, Johnson City, TN",-82.3329476,36.325203,"1408 e main st, johnson city, tn 37601, usa"
"Rodz/Tyz/Bottoms","546-1900 various bars & hrs","1418 Rodman St","Philadelphia","PA","(MW),(D),(F),(E)",NA,1998,"Bars & Nightclubs","","1418 Rodman St, Philadelphia, PA",-75.1666275,39.9440336,"1418 rodman st, philadelphia, pa 19146, usa"
"Barnes & Noble","828-7900 9am-11pm, 11am-7pm Sun, lesbigay section","1441 Bald Hill Rd","Warwick","RI","(*),(NS)",NA,1998,"Bookstores & Retail Shops","","1441 Bald Hill Rd, Warwick, RI",-71.4967721,41.7003998,"1441 bald hill rd, warwick, ri 02886, usa"
"Memphis Lambda Center (AA)","276-7379 (AA) 8pm nightly, meeting place for 12-Step groups","1488 Madison","Memphis","TN","",NA,1998,"Info Lines & Services","","1488 Madison, Memphis, TN",-90.0115675,35.1386736,"1488 madison ave, memphis, tn 38104, usa"
"Striped Bass","732-4444 lunch, dinner & Sun brunch, upscale dining","1500 Walnut St","Philadelphia","PA","(*),(NS)",NA,1998,"Restaurants","","1500 Walnut St, Philadelphia, PA",-75.1663033,39.9489949,"1500 walnut st, philadelphia, pa 19102, usa"
"Carousel II","522-6966 9pm-3am, unconfirmed","1501 White Ave","Knoxville","TN","(*),(MW),(D),(S)",NA,1998,"Bars & Nightclubs","","1501 White Ave, Knoxville, TN",-83.9291718,35.9590811,"1501 white ave, knoxville, tn 37916, usa"
"Circa","545-6800 lunch, dinner, Sun brunch","1518 Walnut St","Philadelphia","PA","(E),(WC)",NA,1998,"Restaurants","","1518 Walnut St, Philadelphia, PA",-75.1668961,39.9494256,"1518 walnut st, philadelphia, pa 19102, usa"
"P&H Cafe","726-0906 11am-3am, from 5pm Sat, clsd Sun","1532 Madison","Memphis","TN","(BW),(WC)",NA,1998,"Cafes","","1532 Madison, Memphis, TN",-90.0101548,35.1385569,"1532 madison ave, memphis, tn 38104, usa"
"Gay/Lesbian Community Center","(YWCA) 951-7000. 9am-5pm, clsd wknds","1566 Wilder Ave","Honolulu, Oahu","HI","",NA,1998,"Info Lines & Services","Listed under ""Oahu""","1566 Wilder Ave, Honolulu, Oahu, HI",-157.8327837,21.3035602,"1566 wilder ave, honolulu, hi 96822, usa"
"Madison Flame","278-9839 5pm-3am, DJ Th-Sat, country/western Th","1588 Madison","Memphis","TN","(MW),(NH)",NA,1998,"Bars & Nightclubs","","1588 Madison, Memphis, TN",-90.0082153,35.1382872,"1588 madison ave, memphis, tn 38104, usa"
"The Inn on the Mexican War Streets","231-6544","1606 Buena Vista St","Pittsburgh","PA","(MW)",NA,1998,"Accommodations","","1606 Buena Vista St, Pittsburgh, PA",-80.014716,40.4583022,"1606 buena vista st, pittsburgh, pa 15212, usa"
"New Age Renegade/The Rainbow Room","585-3405 2pm-2am, patio","1649 S Main St","Tulsa","OK","(NH),(S),(*),(MW)",NA,1998,"Bars & Nightclubs","","1649 S Main St, Tulsa, OK",-95.9871822,36.1380628,"1649 s main st, tulsa, ok 74119, usa"
"Rosebud","261-2221 lunch & dinner, clsd Mon","1650 Smallman St","Pittsburgh","PA","(E),(WC)",NA,1998,"Restaurants","","1650 Smallman St, Pittsburgh, PA",-79.9873964,40.4497609,"1650 smallman st, pittsburgh, pa 15222, usa"
"Astral Plane","546-6230 5pm-11pm, full bar","1708 Lombard St","Philadelphia","PA","(*),(NS)",NA,1998,"Restaurants","","1708 Lombard St, Philadelphia, PA",-75.1704897,39.9452023,"1708 lombard st, philadelphia, pa 19146, usa"
"The Embers","454-9171 8pm-2am, clsd Sun","1711 State St","Erie","PA","(*),(NS)",NA,1998,"Bars & Nightclubs","","1711 State St, Erie, PA",-80.0779266,42.1190892,"1711 state st, erie, pa 16501, usa"
"Iron City Ink Tattoo/Hellion House Body Piercing","683-9888 clsd Sun","1814 Penn Ave","Pittsburgh","PA","(*),(NS)",NA,1998,"Erotica","","1814 Penn Ave, Pittsburgh, PA",-79.984389,40.4505416,"1814 penn ave, pittsburgh, pa 15222, usa"
"Travel Professionals International","#B  765-1212","1931 Bull St","Columbia","SC","(TA)",NA,1998,"Travel Agents","","1931 Bull St, Columbia, SC",-81.0337661,34.0130825,"1931 bull st, columbia, sc 29201, usa"
"Corner Book","861-0739","1954 Westminster","Providence","RI","(*),(NS)",NA,1998,"Erotica","","1954 Westminster, Providence, RI",-71.4427531,41.8165973,"1954 westminster st, providence, ri 02909, usa"
"Sun Kachina Travel","#108  855-0066","1987 McCullich","Lake Havasu City","AZ","(TA)",NA,1998,"Travel Agents","","1987 McCullich, Lake Havasu City, AZ",-114.3325282,34.4774901,"1987 mcculloch blvd n, lake havasu city, az 86403, usa"
"Backstreet","276-5522 8pm-3am, til 6am wknds, beer & set-ups only","2018 Court Ave","Memphis","TN","(MW),(D),(WC)",NA,1998,"Bars & Nightclubs","","2018 Court Ave, Memphis, TN",-89.9928982,35.1385447,"2018 court ave, memphis, tn 38104, usa"
"Maxwell’s (24hr Extra News & Video)","626-3140","2027 Hwy 501","Myrtle Beach","SC","(*),(NS)",NA,1998,"Erotica","","2027 Hwy 501, Myrtle Beach, SC",-78.909115,33.7046565,"2027 us-501, myrtle beach, sc 29577, usa"
"Angles","524-3431 (9pm-2am, clsd Mon-Wed","2117 NW 39th St","Oklahoma City","OK","(D),(S),(WC),(*),(MW)",NA,1998,"Bars & Nightclubs","","2117 NW 39th St, Oklahoma City, OK",-97.5481468,35.5116702,"2117 nw 39th st, oklahoma city, ok 73112, usa"
"One More","278-8015 10am-3am, from noon Sun","2117 Peabody Ave","Memphis","TN","(GF),(NH),(MR),(F)",NA,1998,"Bars & Nightclubs","","2117 Peabody Ave, Memphis, TN",-89.9910301,35.1316166,"2117 peabody ave, memphis, tn 38104, usa"
"Safe Harbor MCC","(Union Ave UMC) 458-0501 11am & 7pm Sun","2117 Union Ave","Memphis","TN","(*),(NS)",NA,1998,"Spiritual Groups","","2117 Union Ave, Memphis, TN",-89.9909036,35.1337227,"2117 union ave, memphis, tn 38104, usa"
"My Thai","985-1878 5pm-10pm, til 11pm Fri-Sat","2200 South St","Philadelphia","PA","(*),(NS)",NA,1998,"Restaurants","","2200 South St, Philadelphia, PA",-75.178744,39.9451319,"2200 south st, philadelphia, pa 19146, usa"
"Airport Book Mart","345-0657 24hrs","2214 Brooks Rd E","Memphis","TN","(*),(NS)",NA,1998,"Erotica","","2214 Brooks Rd E, Memphis, TN",-89.9904114,35.0608208,"2214 e brooks rd, memphis, tn 38132, usa"
"Paris Theater","323-2665 24hrs","2432 Summer Ave","Memphis","TN","(*),(NS)",NA,1998,"Erotica","","2432 Summer Ave, Memphis, TN",-89.9779303,35.151025,"2432 summer ave, memphis, tn 38112, usa"
"Escapade","Rte 36 946-8195 8pm-2am, from 6pm Sun","2523 Union Ave","Altoona","PA","(MW),(D),(F)",NA,1998,"Bars & Nightclubs","","2523 Union Ave, Altoona, PA",-78.4063009,40.5005446,"2523 union ave, altoona, pa 16602, usa"
"Port Blue","Port Richmond 425-4699 4pm-2am, clsd Sun-Mon","2552 E Allegheny Ave","Port Richmond","PA","(GF),(NH)",NA,1998,"Bars & Nightclubs","Listed under ""Philadelphia, PA""","2552 E Allegheny Ave, Port Richmond, PA",-75.1042599,39.9857383,"2552 e allegheny ave, philadelphia, pa 19134, usa"
"Body Piercing by Nicole","712-1122","2722 E 15th","Tulsa","OK","(*),(NS)",NA,1998,"Erotica","","2722 E 15th, Tulsa, OK",-95.9505727,36.1404202,"2722 e 15th st, tulsa, ok 74104, usa"
"Amnesia","454-1366 8pm-3am, clsd Mon-Wed, dinner nightly, patio, unconfirmed","2866 Poplar","Memphis","TN","(D),(A),(SW),(WC),(*),(MW)",NA,1998,"Bars & Nightclubs","","2866 Poplar, Memphis, TN",-89.9655346,35.1352177,"2866 poplar ave, memphis, tn 38111, usa"
"Lizzy Bordon’s Part II","833-4059 9pm-2am, clsd Sun","3412 W 12th St","Erie","PA","(*),(NS)",NA,1998,"Bars & Nightclubs","","3412 W 12th St, Erie, PA",-80.1595621,42.0953574,"3412 w 12th st, erie, pa 16505, usa"
"Coffee Cellar","320-7853 7am-midnight, 8am-8pm Sat, patio","3573 Southern","Memphis","TN","(WC)",NA,1998,"Cafes","","3573 Southern, Memphis, TN",-90.0489801,35.1495343,"memphis, tn, usa"
"The Adobe Cafe","Roxborough  483-3947 4:30pm-10:30pm","4550 Mitchell St","Roxborough","PA","(E)",NA,1998,"Restaurants","Listed under ""Philadelphia, PA""","4550 Mitchell St, Roxborough, PA",-75.2191448,40.0342316,"4550 mitchell st, philadelphia, pa 19128, usa"
"Roma Cocktail Lounge & Restaurant","679-7100 4pm-2am, kitchen til 10pm","5096 Hwy 99 S","Roseburg","OR","(GF),(E)",NA,1998,"Bars & Nightclubs","","5096 Hwy 99 S, Roseburg, OR",-122.8019133,42.260648,"5096 or-99, phoenix, or 97535, usa"
"Family of Faith MCC","622-1441 11am Sun","5451 -E S Mingo","Tulsa","OK","(*),(NS)",NA,1998,"Spiritual Groups","","5451 -E S Mingo, Tulsa, OK",-95.8688005,36.1535371,"s mingo rd, tulsa, ok, usa"
"Lambda Group AA","(Unitarian Universalist Church) 452-2675 8pm Sun","7180 New Perry Hwy","Erie","PA","(WC)",NA,1998,"Info Lines & Services","","7180 New Perry Hwy, Erie, PA",-80.0574539,42.0825267,"perry hwy, erie, pa, usa"
"Cove Lounge & Club","576-2683 from 8pm, from 3pm Sun","9112 Greenville Hwy","Spartanburg","SC","(MW),(D),(PC)",NA,1998,"Bars & Nightclubs","","9112 Greenville Hwy, Spartanburg, SC",-81.9499806,34.9507334,"greenville st, spartanburg, sc 29301, usa"
"Camp Michael B&B","342-5590 full brkfst, peaceful getaway","13051 Bogus Jim Rd","Rapid City","SD","(MW)",NA,1998,"Accommodations","","13051 Bogus Jim Rd, Rapid City, SD",-103.440617,44.1191629,"13051 bogus jim rd, rapid city, sd 57702, usa"
