"title","description","streetaddress","city","state","type","amenityfeatures","Year","unclear_address","notes","full.address","lon","lat","geoAddress","status"
"Monterey Peninsula Steam & Sauna","(Baths)(Fri. & Sat. nites only)","600-H E. Franklin St.","Monterey","CA","Bathhouses","",1983,NA,"","600-H E. Franklin St., Monterey, CA",-121.8888863,36.598847,"600 e franklin st h, monterey, ca 93940, usa","Geocoded"
"Nuart Theatre","(Cruisy)","2116 Fremont","Monterey","CA","Cruising Areas,Theatre","(M)",1983,NA,"","2116 Fremont, Monterey, CA",-121.8616425,36.5959915,"2116 n fremont st, monterey, ca 93940, usa","Geocoded"
"Daybreak","(Disco)","1711 W. El Camino Real","Mountain View","CA","Bars/Clubs","(L),(D),(PT)",1983,NA,"","1711 W. El Camino Real, Mountain View, CA",-122.0940078,37.3903462,"1711 w el camino real, mountain view, ca 94040, usa","Geocoded"
"Willow","(L only) (Resort)","6517 Dry Creek Rd.","Napa","CA","Hotel","(P),(L),(H)",1983,NA,"","6517 Dry Creek Rd., Napa, CA",-122.4640176,38.4073429,"6517 dry creek rd, napa, ca 94558, usa","Geocoded"
"The Jack's","","101 Broad St.","Nevada City","CA","Restaurant","(R)",1983,NA,"","101 Broad St., Nevada City, CA",-121.0163527,39.2618538,"101 broad st, nevada city, ca 95959, usa","Geocoded"
"Berry's","","352 14th St.","Oakland","CA","Bars/Clubs","(B),(PT)",1983,NA,"","352 14th St., Oakland, CA",-122.2688487,37.8036885,"352 14th st, oakland, ca 94612, usa","Geocoded"
"Bench & Bar","(Disco)","120 11th St.","Oakland","CA","Restaurant,Bars/Clubs","(R),(D),(*)",1983,NA,"","120 11th St., Oakland, CA",-122.2645469,37.7994407,"120 11th st, oakland, ca 94607, usa","Geocoded"
"Jubilee","(Disco - WE)","4900 Bancroft","Oakland","CA","Bars/Clubs","(L),(D),(*),(WE)",1983,NA,"","4900 Bancroft, Oakland, CA",-122.2071728,37.7719237,"4900 bancroft ave, oakland, ca 94601, usa","Geocoded"
"Countryard Cafe","","3766 Piedmont Ave.","Oakland","CA","Restaurant","(M),(R)",1983,NA,"","3766 Piedmont Ave., Oakland, CA",-122.2561056,37.8233825,"3766 piedmont ave, oakland, ca 94611, usa","Geocoded"
"Lake Lounge","(Some W)(Open days)","1591 Madison","Oakland","CA","Bars/Clubs","(W)",1983,NA,"","1591 Madison, Oakland, CA",-122.2627391,37.804132,"1591 madison st, oakland, ca 94612, usa","Geocoded"
"Baths","(Thru bar - closes 12 midnight or 1 am)","'A' St.","Eureka","CA","Bars/Clubs,Bathhouses","(M),(OC),(PT)",1983,NA,"","'A' St., Eureka, CA",-124.1708127,40.7889998,"a st, eureka, ca, usa","Geocoded"
"Lancer's","(Disco)","3255 Lakeshore Ave.","Oakland","CA","Bars/Clubs","(YC),(D)",1983,NA,"","3255 Lakeshore Ave., Oakland, CA",-122.2450779,37.8106468,"3255 lakeshore ave, oakland, ca 94610, usa","Geocoded"
"Ollie's","","4130 Telegraph Ave.","Oakland","CA","Restaurant,Bars/Clubs","(R),(PT),(L),(D)",1983,NA,"","4130 Telegraph Ave., Oakland, CA",-122.2636607,37.8303264,"4130 telegraph ave, oakland, ca 94609, usa","Geocoded"
"Revol","","3924 Telegraph Ave.","Oakland","CA","Restaurant","(R),(*)",1983,NA,"","3924 Telegraph Ave., Oakland, CA",-122.2643478,37.8288403,"3924 telegraph ave, oakland, ca 94609, usa","Geocoded"
"73rd Ave. Baths","(Some OC, B)","2544 73rd Ave.","Oakland","CA","Bathhouses","(OC),(B)",1983,NA,"","2544 73rd Ave., Oakland, CA",-122.1756471,37.7665059,"2544 73rd ave, oakland, ca 94605, usa","Geocoded"
"White Horse","(Video & Game room)","6547 Telegraph Ave.","Oakland","CA","Bars/Clubs","(YC),(Hip),(D),(*)",1983,NA,"","6547 Telegraph Ave., Oakland, CA",-122.2605874,37.8518005,"6547 telegraph ave, oakland, ca 94609, usa","Geocoded"
"Capri","","207 N. Tremont","Oceanside","CA","Bars/Clubs","(PT)",1983,NA,"","207 N. Tremont, Oceanside, CA",-117.3807661,33.1956187,"207 n tremont st, oceanside, ca 92054, usa","Geocoded"
"Denny's Beer Bar","","301 3rd St.","Oceanside","CA","Bars/Clubs","(M)",1983,NA,"","301 3rd St., Oceanside, CA",-117.3816148,33.1958188,"301 3rd st, oceanside, ca 92054, usa","Geocoded"
"Fun House","(Books, etc)","208 N. Tremont","Oceanside","CA","Book Store","",1983,NA,"","208 N. Tremont, Oceanside, CA",-117.3801452,33.1955708,"208 n tremont st, oceanside, ca 92054, usa","Geocoded"
"Cafe Balthazar","","170 Forest Ave.","Pacific Grove","CA","Restaurant","(M),(Hip),(L),(R)",1983,NA,"","170 Forest Ave., Pacific Grove, CA",-121.9178636,36.621583,"170 forest ave, pacific grove, ca 93950, usa","Geocoded"
"Tillie Gort's","(Natural Food)","111 Central Ave.","Pacific Grove","CA","Restaurant","(M),(L),(R)",1983,NA,"","111 Central Ave., Pacific Grove, CA",-121.905641,36.6177069,"111 central ave, pacific grove, ca 93950, usa","Geocoded"
"Rudder Room","","2929 Ocean Dr.","Oxnard","CA","Bars/Clubs","(M)",1983,NA,"","2929 Ocean Dr., Oxnard, CA",-119.2253359,34.1593351,"2929 ocean dr, oxnard, ca 93035, usa","Geocoded"
"Lobster Trap","","3605 Peninsular Rd.","Oxnard","CA","Restaurant","(M),(R)",1983,NA,"","3605 Peninsular Rd., Oxnard, CA",-119.2254779,34.168645,"3605 peninsula rd, oxnard, ca 93035, usa","Geocoded"
"An Old Friend","","1830 Racquet Club Rd.","Palm Springs","CA","Hotel","(H)",1983,NA,"","1830 Racquet Club Rd., Palm Springs, CA",-116.5265394,33.8524053,"1830 e racquet club rd, palm springs, ca 92262, usa","Geocoded"
"Billy Reed's","(Sun. brunch)","150 E. Vista Chino","Palm Springs","CA","Restaurant","(M),(R),(C)",1983,NA,"","150 E. Vista Chino, Palm Springs, CA",-116.5453088,33.8448809,"150 e vista chino, palm springs, ca 92262, usa","Geocoded"
"Dave's Villa Caprice Country Club & Spa","(Sauna)","67-670 Carey Rd.","Palm Springs","CA","Bathhouses,Restaurant,Hotel","(*),(P),(H),(R)",1983,NA,"","67-670 Carey Rd., Palm Springs, CA",-116.4813021,33.7927697,"67670 carey rd, cathedral city, ca 92234, usa","Geocoded"
"Desert Paradise","","772 Prescott Dr.","Palm Springs","CA","Hotel","(H),(*),(YC)",1983,NA,"","772 Prescott Dr., Palm Springs, CA",-116.5488162,33.8341027,"772 n prescott dr, palm springs, ca 92262, usa","Geocoded"
"El Mirasol Villas","","525 Warm Sands Dr.","Palm Springs","CA","Hotel","(H),(PE),(*)",1983,NA,"","525 Warm Sands Dr., Palm Springs, CA",-116.5380605,33.8153796,"525 s warm sands dr, palm springs, ca 92264, usa","Geocoded"
"Green Gables","","280 Mel Ave.","Palm Springs","CA","Hotel","(L),(H)",1983,NA,"","280 Mel Ave., Palm Springs, CA",-116.5449268,33.8410266,"280 e mel ave, palm springs, ca 92262, usa","Geocoded"
"Palm Canyon Inn","","1466 N. Palm Canyon","Palm Springs","CA","Hotel","(H)",1983,NA,"","1466 N. Palm Canyon, Palm Springs, CA",-116.5462553,33.8420749,"1466 n palm canyon dr, palm springs, ca 92262, usa","Geocoded"
"Pines West","","1380 No. Indian Dr.","Palm Springs","CA","Hotel","(H),(*)",1983,NA,"","1380 No. Indian Dr., Palm Springs, CA",-116.5452921,33.8302961,"palm springs, ca, usa","Geocoded"
"Sunbeam Inn","","291 Camino Monte Vista","Palm Springs","CA","Hotel","(H)",1983,NA,"","291 Camino Monte Vista, Palm Springs, CA",-116.5445657,33.8414093,"291 e camino monte vista, palm springs, ca 92262, usa","Geocoded"
"Tara","","287 W. Raquet Club Rd.","Palm Springs","CA","Hotel","(H)",1983,NA,"","287 W. Raquet Club Rd., Palm Springs, CA",-116.548342,33.8517889,"287 w racquet club rd, palm springs, ca 92262, usa","Geocoded"
"Your Place in the Sun","","1491 Via Soledad","Palm Springs","CA","Hotel","(H)",1983,NA,"","1491 Via Soledad, Palm Springs, CA",-116.5444199,33.8043453,"1491 vía soledad, palm springs, ca 92264, usa","Geocoded"
"Villa Hotel","","220 Avenida Palmera","Palm Springs","CA","Hotel","(M),(H)",1983,NA,"","220 Avenida Palmera, Palm Springs, CA",-116.544453,33.8043002,"220 e avenida palmera, palm springs, ca 92264, usa","Geocoded"
"Backstreet","","3609 E. Colorado Blvd.","Pasadena","CA","Bars/Clubs","(PT)",1983,NA,"","3609 E. Colorado Blvd., Pasadena, CA",-118.0760312,34.1464568,"3609 e colorado blvd, pasadena, ca 91107, usa","Geocoded"
"Bachelors Quarters","('B.Q,')(Baths)","1934 University Ave.","Palo Alto","CA","Bathhouses","",1983,NA,"","1934 University Ave., Palo Alto, CA",-122.1412652,37.4587261,"1934 university ave, east palo alto, ca 94303, usa","Geocoded"
"The Corner","(Some L)","15537 Lakewood Blvd.","Paramount","CA","Bars/Clubs","(M),(YC),(L),(D),(PT)",1983,NA,"","15537 Lakewood Blvd., Paramount, CA",-118.1430852,33.892383,"15537 lakewood blvd, paramount, ca 90723, usa","Geocoded"
"Whiskey Gulch Saloon","","1951 E. University Ave.","Palo Alto","CA","","(W),(YC),(*)",1983,NA,"","1951 E. University Ave., Palo Alto, CA",-122.1418776,37.4578705,"1951 university ave, palo alto, ca 94301, usa","Geocoded"
"Garden","(Disco) (C - AH - WE)","1960 E. University","Palo Alto","CA","Bars/Clubs","(W),(D),(C),(AH),(WE),(*)",1983,NA,"","1960 E. University, Palo Alto, CA",-122.1420732,37.4594728,"1960 university ave, east palo alto, ca 94303, usa","Geocoded"
"Nardi's","","665 E. Colorado Blvd.","Pasadena","CA","Bars/Clubs","(M)",1983,NA,"","665 E. Colorado Blvd., Pasadena, CA",-118.1366907,34.1460593,"665 e colorado blvd, pasadena, ca 91101, usa","Geocoded"
"Boulevard","(Madre exit off Foothill Frwy)","3199 E. Foothill Blvd.","Pasadena","CA","Bars/Clubs","(E),(PT),(*)",1983,NA,"","3199 E. Foothill Blvd., Pasadena, CA",-118.084308,34.1502892,"3199 e foothill blvd, pasadena, ca 91107, usa","Geocoded"
"Chatterton's Book Store","","520 E. Colorado","Pasadena","CA","Book Store","",1983,NA,"","520 E. Colorado, Pasadena, CA",-118.1394853,34.1456216,"520 e colorado blvd, pasadena, ca 91101, usa","Geocoded"
"Daily Double","","3739 E. Colorado Blvd.","Pasadena","CA","Restaurant","(L),(R)",1983,NA,"","3739 E. Colorado Blvd., Pasadena, CA",-118.0718698,34.1464871,"3739 e colorado blvd, pasadena, ca 91107, usa","Geocoded"
"Pleasure Spa","(Baths)(Looks promising)","1284 S. Garey Ave.","Pomona","CA","Bathhouses","(P)",1983,NA,"","1284 S. Garey Ave., Pomona, CA",-117.7494779,34.0480729,"1284 s garey ave, pomona, ca 91766, usa","Geocoded"
"Alibi East","(Disco)(WE*)","225 S. San Antonio","Pomona","CA","Bars/Clubs","(D),(PT),(WE),(*)",1983,NA,"","225 S. San Antonio, Pomona, CA",-117.7372915,34.0577915,"225 s san antonio ave, pomona, ca 91766, usa","Geocoded"
"Front Runner","","408 Pomona Mall West","Pomona","CA","Bars/Clubs","",1983,NA,"","408 Pomona Mall West, Pomona, CA",-117.7467141,34.0576389,"408 e pomona mall st, pomona, ca 91766, usa","Geocoded"
"Vermie's","(Disco)","3772 E. Foothill Bl.","Pasadena","CA","Bars/Clubs","(L),(D),(*)",1983,NA,"","3772 E. Foothill Bl., Pasadena, CA",-118.0708637,34.1500587,"3772 e foothill blvd, pasadena, ca 91107, usa","Geocoded"
"Back Pocket","(Adult books, etc.)","10541 Mills Ave.","Pomona","CA","Book Store","",1983,NA,"","10541 Mills Ave., Pomona, CA",-117.717199,34.0623417,"10541 s mills ave, montclair, ca 91763, usa","Geocoded"
"Tender Trap","(S - WE)","667 W. Holt","Pomona","CA","Bars/Clubs","(S),(WE)",1983,NA,"","667 W. Holt, Pomona, CA",-117.7606328,34.0623504,"667 w holt ave, pomona, ca 91768, usa","Geocoded"
"Robbie's","(Disco)","390 Pomona Mall East","Pomona","CA","Bars/Clubs","(L),(D),(E),(*)",1983,NA,"","390 Pomona Mall East, Pomona, CA",-117.7472518,34.0577355,"390 e pomona mall st, pomona, ca 91766, usa","Geocoded"
"Bogey's","","1748 Market St.","Redding","CA","Bars/Clubs","(D),(PT),(*)",1983,NA,"","1748 Market St., Redding, CA",-122.3900927,40.5816624,"1748 market st, redding, ca 96001, usa","Geocoded"
"Paddleboard II","(Good days *)(Also C - AH - WE)","1417 S. Pacific Coast Hwy.","Redondo Beach","CA","Bars/Clubs","(PT),(C),(AH),(WE),(*)",1983,NA,"","1417 S. Pacific Coast Hwy., Redondo Beach, CA",-118.3855927,33.8218866,"1417 s pacific coast hwy, redondo beach, ca 90277, usa","Geocoded"
"Olive Oil's","","1 Market","Miracle Mile","CA","Bars/Clubs","(M),(L),(PT)",1983,NA,"city differs from group listing (under Redding)","1 Market, Miracle Mile, CA",-118.3491169,34.059534,"miracle mile, los angeles, ca, usa","Geocoded"
"Cavalier M.C.C.","(415) 327-5153","2124 Bewster Ave.","Redwood City","CA","Religious Institution","(MCC)",1983,NA,"","2124 Bewster Ave., Redwood City, CA",-122.2454921,37.4801307,"2124 brewster ave, redwood city, ca 94062, usa","Geocoded"
"Stop Inn","","1995 Artesia","Redondo Beach","CA","Bars/Clubs","(PT)",1983,NA,"","1995 Artesia, Redondo Beach, CA",-118.3770724,33.8730728,"1995 artesia blvd, redondo beach, ca 90278, usa","Geocoded"
"Answer","(Cruisy)(Disco)","1640 Main St.","Redwood City","CA","Bars/Clubs,Cruising Areas","(W),(D),(*)",1983,NA,"","1640 Main St., Redwood City, CA",-122.2228147,37.4779066,"1640 main st, redwood city, ca 94063, usa","Geocoded"
"Cruisers","(Disco)","2651 El Camino Real","Redwood City","CA","Restaurant,Bars/Clubs","(R),(D),(*)",1983,NA,"","2651 El Camino Real, Redwood City, CA",-122.2158617,37.4724404,"2651 el camino real, redwood city, ca 94061, usa","Geocoded"
"Circus Room","(Hustlers)","3800 7th St.","Riverside","CA","Bars/Clubs","(M),(RT)",1983,NA,"","3800 7th St., Riverside, CA",-117.3587296,33.9771246,"3800 seventh st, riverside, ca 92507, usa","Geocoded"
"5510 Club","","5510 Mission","Riverside","CA","Bars/Clubs","(PT)",1983,NA,"","5510 Mission, Riverside, CA",-117.3754942,33.9806005,"riverside, ca, usa","Geocoded"
"Night Court","(Looks promising)(Some L) at 7th","3711 Orange","Riverside","CA","Bars/Clubs","(L)",1983,NA,"","3711 Orange, Riverside, CA",-117.3726805,33.9822738,"3711 orange st, riverside, ca 92501, usa","Geocoded"
"Burdon's","","16434 Main St.","Guerneville","CA","Restaurant","(M),(R)",1983,NA,"","16434 Main St., Guerneville, CA",-123.0005044,38.502192,"16434 main st, guerneville, ca 95446, usa","Geocoded"
"Fife's","(Resort)(Bar) (707)869-0656","16467 River Rd.","Guerneville","CA","Hotel,Restaurant","(H),(R),(*)",1983,NA,"","16467 River Rd., Guerneville, CA",-123.0036144,38.5011061,"16467 river rd, guerneville, ca 95446, usa","Geocoded"
"Country Grounds","","13882 Hwy. 116","Guerneville","CA","Restaurant","(R)",1983,NA,"","13882 Hwy. 116, Guerneville, CA",-122.9937042,38.499436,"13882 ca-116, guerneville, ca 95446, usa","Geocoded"
"Creekside Resort","","16180 Neeley Road","Guerneville","CA","Hotel","(H)",1983,NA,"","16180 Neeley Road, Guerneville, CA",-122.9952335,38.498639,"16180 neeley rd, guerneville, ca 95446, usa","Geocoded"
"Fern Grove","","6650 Main St.","Guerneville","CA","Hotel","(H)",1983,NA,"","6650 Main St., Guerneville, CA",-122.9999215,38.5019863,"main st, guerneville, ca 95446, usa","Geocoded"
"Highlands Resort","(Cabins & Swim pool)","14000 Woodland Dr.","Guerneville","CA","Hotel","(H)",1983,NA,"","14000 Woodland Dr., Guerneville, CA",-122.9963554,38.5046136,"14000 woodland dr, guerneville, ca 95446, usa","Geocoded"
"Guerneville Station","(Clothing)","16434 Main St.","Guerneville","CA","Business","",1983,NA,"","16434 Main St., Guerneville, CA",-123.0005044,38.502192,"16434 main st, guerneville, ca 95446, usa","Geocoded"
"Marvin's Garden","(Breakfast & lunch)","16355 Main St.","Russian River","CA","Restaurant","(M),(R)",1983,NA,"","16355 Main St., Russian River, CA",-118.2769288,33.8839052,"16355 s main st, gardena, ca 90248, usa","Geocoded"
"Rainbow Cattle Co.","(snacks)(WE*)","16220 Main","Guerneville","CA","Bars/Clubs","(PT),(WE),(*)",1983,NA,"","16220 Main, Guerneville, CA",-122.9977633,38.5022603,"16220 main st, guerneville, ca 95446, usa","Geocoded"
"River Village","(Cabins, bar & R)(Piano E) (707)869-9066","14880 River Road","Guerneville","CA","Restaurant,Hotel","(H),(R),(E),(*)",1983,NA,"","14880 River Road, Guerneville, CA",-122.9830898,38.5159455,"14880 river rd, guerneville, ca 95446, usa","Geocoded"
"Rusty Nail","(Some L)(Sunday afternoon hamburgers)","9117 River Rd.","Forestville","CA","Bars/Clubs","(D),(L),(*)",1983,NA,"","9117 River Rd., Forestville, CA",-122.9028428,38.4983736,"9117 river rd, forestville, ca 95436, usa","Geocoded"
"Russian River Lodge","(Resort)(Swim pool)(Some SM, W)(Fun in the bushes - late nights) (707)887-1623","7871 Tentron Rd.","Forestville","CA","Hotel","(H),(SM),(W)",1983,NA,"","7871 Tentron Rd., Forestville, CA",-122.8886257,38.4897594,"7871 trenton rd, forestville, ca 95436, usa","Geocoded"
"Sleepy Hollow","","14220 Mill St.","Guerneville","CA","Hotel","(H)",1983,NA,"","14220 Mill St., Guerneville, CA",-123.0008209,38.5042098,"14220 mill st, guerneville, ca 95446, usa","Geocoded"
"Stun Dog Saloon","","16129 Main St.","Guerneville","CA","Bars/Clubs","(M),(W),(PT)",1983,NA,"","16129 Main St., Guerneville, CA",-122.9958275,38.5021388,"16129 main st, guerneville, ca 95446, usa","Geocoded"
"Woods Resort","(Motel & Cabins)(3 bars)(Disco)(2 swim pools) (707) 869-0111","16881 Armstrong Woods Road","Guerneville","CA","Restaurant,Hotel","(*),(D),(S),(R)",1983,NA,"","16881 Armstrong Woods Road, Guerneville, CA",-123.0027566,38.5303025,"16881 armstrong woods rd, guerneville, ca 95446, usa","Geocoded"
"The Willows Guest House","","15905 River Road","Guerneville","CA","Hotel","(H),(*)",1983,NA,"","15905 River Road, Guerneville, CA",-122.9929349,38.5040599,"15905 river rd, guerneville, ca 95446, usa","Geocoded"
"Adult Book Store","(24 hrs.) at Watt","5008 Roseville","Sacramento","CA","Book Store","(M)",1983,NA,"","5008 Roseville, Sacramento, CA",-121.3823746,38.6576424,"5008 roseville rd, north highlands, ca 95660, usa","Geocoded"
"Adult World","(Books)","440 W. Capitol","Sacramento","CA","Book Store","(M)",1983,NA,"","440 W. Capitol, Sacramento, CA",-121.5145895,38.5829589,"440 w capitol ave, west sacramento, ca 95605, usa","Geocoded"
"Bo Jangles","(Some YC, 'twinkies,' L) (Disco)","7042 Folsom Blvd.","Sacramento","CA","Bars/Clubs","(YC),(L),(D)",1983,NA,"","7042 Folsom Blvd., Sacramento, CA",-121.4208411,38.5517861,"7042 folsom blvd, sacramento, ca 95826, usa","Geocoded"
"Club Baths of Sacramento","(WE*)","1537 Sacramento","Bryte","CA","Bathhouses","(WE),(*)",1983,NA,"","1537 Sacramento, Bryte, CA",-121.5385614,38.5904398,"1537 sacramento ave, west sacramento, ca 95605, usa","Geocoded"
"Broadway, Ltd.","(Some B. L) (Disco)","1946 Broadway","Sacramento","CA","Bars/Clubs","(*),(B),(L),(D)",1983,NA,"","1946 Broadway, Sacramento, CA",-121.4872194,38.5599352,"1946 broadway, sacramento, ca 95818, usa","Geocoded"
"Adult World","(Books)","5423 Franklin","Sacramento","CA","Book Store","(M)",1983,NA,"","5423 Franklin, Sacramento, CA",-121.4719299,38.5257514,"5423 franklin blvd, sacramento, ca 95820, usa","Geocoded"
"Club 21","(Some W)(Macho)(Cruisy)(Liquor)","1122 21st St.","Sacramento","CA","Cruising Areas,Bars/Clubs","(*),(W),(PT)",1983,NA,"","1122 21st St., Sacramento, CA",-121.4796221,38.5745108,"1122 21st street, sacramento, ca 95811, usa","Geocoded"
"City","","1946 Broadway","Sacramento","CA","Restaurant","(R)",1983,NA,"","1946 Broadway, Sacramento, CA",-121.4872194,38.5599352,"1946 broadway, sacramento, ca 95818, usa","Geocoded"
"Fancy's Adult Books & Things","","2531 Broadway","Sacramento","CA","Book Store,Erotic Shop","",1983,NA,"","2531 Broadway, Sacramento, CA",-121.4792924,38.5583211,"2531 broadway, sacramento, ca 95818, usa","Geocoded"
"Dignity","(Church)","1112 26th St.","Sacramento","CA","Religious Institution","",1983,NA,"","1112 26th St., Sacramento, CA",-121.4728307,38.5731588,"1112 26th st, sacramento, ca 95816, usa","Geocoded"
"Davis Travel Service","","1011 'L' St.","Sacramento","CA","Travel Service","",1983,NA,"","1011 'L' St., Sacramento, CA",-121.4935983,38.5780369,"1011 l st, sacramento, ca 95814, usa","Geocoded"
"Earhart's Cafe","at 'S'","1905 16th St.","Sacramento","CA","Restaurant","(R)",1983,NA,"","1905 16th St., Sacramento, CA",-121.4893772,38.5678695,"1905 16th st, sacramento, ca 95811, usa","Geocoded"
"Continental Motel","(Swim pool) (W. Sacramento)","1432 W. Capitol Ave.","Sacramento","CA","Hotel","(H),(*)",1983,NA,"","1432 W. Capitol Ave., Sacramento, CA",-121.5276176,38.5814816,"1432 w capitol ave, west sacramento, ca 95691, usa","Geocoded"
"Incredible Edible","& soon on Fulton Ave.","2990 Bradshaw","Sacramento","CA","Restaurant","(M),(R)",1983,NA,"","2990 Bradshaw, Sacramento, CA",-121.3369622,38.5705037,"riverwood shopping center, 2990 bradshaw rd, sacramento, ca 95827, usa","Geocoded"
"Hut","(Disco)(Liquor)(Late Fri. & Sat. nights only*)(W. Sacramento)","2400 W. Capitol","Sacramento","CA","Bars/Clubs","(D),(*)",1983,NA,"","2400 W. Capitol, Sacramento, CA",-121.5424305,38.5802397,"2400 w capitol ave, west sacramento, ca 95691, usa","Geocoded"
"Jason's Pub","(Some L)","10089 Folsom Blvd.","Rancho Cordova","CA","Bars/Clubs","(L),(PT)",1983,NA,"","10089 Folsom Blvd., Rancho Cordova, CA",-121.3178382,38.5829898,"10089 folsom blvd, rancho cordova, ca 95670, usa","Geocoded"
"M.C.C.","","2741 24th St.","Sacramento","CA","Religious Institution","(MCC)",1983,NA,"","2741 24th St., Sacramento, CA",-121.4833064,38.5545557,"2741 24th st, sacramento, ca 95818, usa","Geocoded"
"Lioness Book Store","","2104 Capitol Ave.","Sacramento","CA","Book Store","(L)",1983,NA,"","2104 Capitol Ave., Sacramento, CA",-121.4798147,38.5727083,"2104 capitol ave, sacramento, ca 95816, usa","Geocoded"
"Mercantile Saloon","(Liquor)","20th St.","Sacramento","CA","Bars/Clubs","(*)",1983,NA,"","20th St., Sacramento, CA",-121.4818223,38.5722435,"20th st, sacramento, ca, usa","Geocoded"
"Mercantile Saloon","(Liquor)","'L' St.","Sacramento","CA","Bars/Clubs","(*)",1983,NA,"","'L' St., Sacramento, CA",-121.4722653,38.5721517,"l st, sacramento, ca, usa","Geocoded"
"New Alhambra Cafe","(Very M)(Mexican R) & Adj. Harlow's Cocktail Lounge","2714 'J' St.","Sacramento","CA","Restaurant","(M),(R)",1983,NA,"","2714 'J' St., Sacramento, CA",-121.4700134,38.5738017,"2714 j st, sacramento, ca 95816, usa","Geocoded"
"Parking Lot","(Some L, YC)(Liquor)(Disco)(Game room)(2 swom pools)","2804 Auburn Blvd.","Sacramento","CA","Bars/Clubs","(*),(L),(YC),(D)",1983,NA,"","2804 Auburn Blvd., Sacramento, CA",-121.396686,38.6310111,"2804 auburn blvd, sacramento, ca 95821, usa","Geocoded"
"Sacramento Film Exchange","","823 'J' St.","Sacramento","CA","Business","",1983,NA,"","823 'J' St., Sacramento, CA",-121.4506633,38.5709135,"823 j st, sacramento, ca 95819, usa","Geocoded"
"Mom...Guess What","(Publication)","1919 21st St., Suite 204","Sacramento","CA","Publications","",1983,NA,"","1919 21st St., Suite 204, Sacramento, CA",-121.4829686,38.5657559,"1919 21st street #204, sacramento, ca 95811, usa","Geocoded"
"Steam Works","(Baths)","2551 5th St.","Sacramento","CA","Bathhouses","(*)",1983,NA,"","2551 5th St., Sacramento, CA",-121.5074172,38.5646632,"2551 5th st, sacramento, ca 95818, usa","Geocoded"
"World of Adults","(Cruisy arcade) (W. Sacramento)","723 Tower Ct.","Sacramento","CA","Cruising Areas,Erotic Shop","",1983,NA,"","723 Tower Ct., Sacramento, CA",-121.5072105,38.5803133,"tower brg, sacramento, ca, usa","Geocoded"
"Y.M.C.A.","","17th St.","Sacramento","CA","Hotel","(M),(H)",1983,NA,"","17th St., Sacramento, CA",-121.4966053,38.5432127,"17th st, sacramento, ca, usa","Geocoded"
"Wreck Room","","925 20th St.","Sacramento","CA","Bars/Clubs","(SM),(W),(*)",1983,NA,"","925 20th St., Sacramento, CA",-121.4796184,38.5769824,"925 20th st, sacramento, ca 95811, usa","Geocoded"
"Topper & Topper II","('Hustlers')","1218 'K' St. Mall","Sacramento","CA","Bars/Clubs","(OC)",1983,NA,"","1218 'K' St. Mall, Sacramento, CA",-121.4908341,38.5782336,"1218 k st, sacramento, ca 95814, usa","Geocoded"
"Y.M.C.A.","","'L' St.","Sacramento","CA","Hotel","(M),(H)",1983,NA,"","'L' St., Sacramento, CA",-121.4722653,38.5721517,"l st, sacramento, ca, usa","Geocoded"
"Book Arcade","","235 Monterey St.","Salinas","CA","Book Store","(M)",1983,NA,"","235 Monterey St., Salinas, CA",-121.6535319,36.6744951,"235 monterey st, salinas, ca 93901, usa","Geocoded"
"The Bookstore","(Cruisy eves *)","645 E. Alisal","Salinas","CA","Book Store,Cruising Areas","(*)",1983,NA,"","645 E. Alisal, Salinas, CA",-121.6333458,36.673732,"645 e alisal st, salinas, ca 93905, usa","Geocoded"
"Big Mary's","(Some L)","940 E. Baseline","San Bernardino","CA","Bars/Clubs","(L)",1983,NA,"","940 E. Baseline, San Bernardino, CA",-117.266886,34.121668,"940 e baseline st, san bernardino, ca 92410, usa","Geocoded"
"Le Sex Shoppe","(Cruisy back room)","'E' St.","San Bernardino","CA","Cruising Areas,Erotic Shop","",1983,NA,"","'E' St., San Bernardino, CA",-117.2941968,34.105425,"e st & court, san bernardino, ca, usa","Geocoded"
"Library","(Liquor)(Looks promising)","708 S. 'H' St.","San Bernardino","CA","Restaurant","(R),(PT)",1983,NA,"","708 S. 'H' St., San Bernardino, CA",-117.3009091,34.0877619,"708 s h st, san bernardino, ca 92408, usa","Geocoded"
"Grand Central","(Some L)(Disco)(Closed Mon.)(Liquor)","245 W. 7th St.","San Bernardino","CA","Bars/Clubs","(*),(YC),(L),(D),(PT)",1983,NA,"","245 W. 7th St., San Bernardino, CA",-117.2884524,34.1120725,"245 w 7th st, san bernardino, ca 92401, usa","Geocoded"
"Le Sex Shoppe","(Cruisy back room)","Inland Center Dr.","San Bernardino","CA","Cruising Areas,Erotic Shop","",1983,NA,"","Inland Center Dr., San Bernardino, CA",-117.2999911,34.0861099,"inland center dr, san bernardino, ca, usa","Geocoded"
"Two Doors Down","(C-AH-WE)","925 Inland Center Dr.","San Bernardino","CA","Restaurant","(PT),(C),(AH),(WE)",1983,NA,"","925 Inland Center Dr., San Bernardino, CA",-117.3034605,34.0821973,"925 inland center dr, san bernardino, ca 92408, usa","Geocoded"
