"title","description","streetaddress","city","state","amenityfeatures","type","Year","unclear_address","notes","full.address","lon","lat","geoAddress","status"
"Anchorage Books","(Cruisy)","427 'C' St.","Anchorage","AK","","Cruising Areas,Book Store",1984,NA,"","427 'C' St., Anchorage, AK",-149.886957,61.2179807,"427 c st, anchorage, ak 99501, usa","Geocoded"
"D St. Book Mart","(Cruisy)","419 'D' St.","Anchorage","AK","","Cruising Areas,Book Store",1984,NA,"","419 'D' St., Anchorage, AK",-149.8894184,61.2180588,"419 d st, anchorage, ak 99501, usa","Geocoded"
"Jade Room","(2 floors)","701 'I' St.","Anchorage","AK","(D),(PT),(*)","Bars/Clubs",1984,NA,"","701 'I' St., Anchorage, AK",-149.899603,61.2155855,"701 i st, anchorage, ak 99501, usa","Geocoded"
"M.C.C.","","602 W. 10th Ave.","Anchorage","AK","(MCC)","Religious Institution",1984,NA,"","602 W. 10th Ave., Anchorage, AK",-149.8937712,61.2123448,"602 w 10th ave, anchorage, ak 99501, usa","Geocoded"
"The Village","(Disco) (Some L)","225 E. 5th Ave.","Anchorage","AK","(YC),(D),(L)","Bars/Clubs",1984,NA,"","225 E. 5th Ave., Anchorage, AK",-149.8801505,61.2177897,"225 e 5th ave, anchorage, ak 99501, usa","Geocoded"
"Chapter Eleven","(M-Days, Cruisy late nights*)","500 First Ave.","Fairbanks","AK","(*)","Cruising Areas",1984,NA,"","500 First Ave., Fairbanks, AK",-147.7179444,64.8441146,"500 1st ave, fairbanks, ak 99701, usa","Geocoded"
"Crystal Saloon","","418 S. Franklin St.","Juneau","AK","(M),(D)","Bars/Clubs",1984,NA,"","418 S. Franklin St., Juneau, AK",-134.4018519,58.2974416,"418 s franklin st, juneau, ak 99801, usa","Geocoded"
"Red Dog Saloon","","S. Franklin St.","Juneau","AK","(M)","Bars/Clubs",1984,NA,"","S. Franklin St., Juneau, AK",-134.3998456,58.2963449,"s franklin st, juneau, ak 99801, usa","Geocoded"
"St. Elmo's","(E-WE)","36 Brewery Gulch Ave.","Bisbee","AZ","(M),(W),(PT),(E),(WE)","Bars/Clubs",1984,NA,"","36 Brewery Gulch Ave., Bisbee, AZ",-109.9133562,31.448586,"36 brewery gulch, bisbee, az 85603, usa","Geocoded"
"Alternative","(""Phillip's) (Lunches)","4631 N. 7th Ave.","Phoenix","AZ","(R),(D),(*)","Restaurant",1984,NA,"","4631 N. 7th Ave., Phoenix, AZ",-112.0821491,33.5050994,"4631 n 7th ave, phoenix, az 85013, usa","Geocoded"
"Barney's Books","","1421 E. McDowell Rd.","Phoenix","AZ","","Book Store",1984,NA,"","1421 E. McDowell Rd., Phoenix, AZ",-112.0510021,33.4655526,"1421 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
"Bronco's","(Opens 12 noon) (WE*)","3015 N. 16th St.","Phoenix","AZ","(W),(PT),(WE),(*)","Bars/Clubs",1984,NA,"","3015 N. 16th St., Phoenix, AZ",-112.0473847,33.4825335,"3015 n 16th st, phoenix, az 85016, usa","Geocoded"
"Castle Adult Books","","5501 E. Washington","Phoenix","AZ","","Book Store",1984,NA,"","5501 E. Washington, Phoenix, AZ",-111.9630084,33.4450852,"5501 e washington st, phoenix, az 85034, usa","Geocoded"
"Cattleman's Exchange Club","(Mixed bag) (Cruisy) (Some OC)","138 W. Camelback Rd.","Phoenix","AZ","(*),(OC)","Cruising Areas,Bars/Clubs",1984,NA,"","138 W. Camelback Rd., Phoenix, AZ",-112.077153,33.509672,"138 w camelback rd, phoenix, az 85013, usa","Geocoded"
"Connection","(Cruisy) (Some W, FFA) (Small Disco)","4211 N. 7th St.","Phoenix","AZ","(*),(W),(FFA)","Cruising Areas,Bars/Clubs",1984,NA,"","4211 N. 7th St., Phoenix, AZ",-112.0648,33.4969979,"4211 n 7th st, phoenix, az 85014, usa","Geocoded"
"Club Phoenix Baths","","1517 S. Black Canyon Rd.","Phoenix","AZ","(P)","Bathhouses",1984,NA,"","1517 S. Black Canyon Rd., Phoenix, AZ",-112.1072675,33.4337502,"1517 s black canyon hwy, phoenix, az 85009, usa","Geocoded"
"Cruisin Central","(Some OC, Hustlers)","1011 N. Central Ave.","Phoenix","AZ","(OC)","Cruising Areas",1984,NA,"","1011 N. Central Ave., Phoenix, AZ",-112.0735561,33.4593182,"1011 n central ave, phoenix, az 85004, usa","Geocoded"
"Erotica Motel & Book Store","","5200 E. Van Buren","Phoenix","AZ","(H)","Book Store",1984,NA,"","5200 E. Van Buren, Phoenix, AZ",-111.9694447,33.4510194,"5200 e van buren st, phoenix, az 85008, usa","Geocoded"
"Full Moon","(Disco)","3108 E. McDowell Rd.","Phoenix","AZ","(L),(D)","Bars/Clubs",1984,NA,"","3108 E. McDowell Rd., Phoenix, AZ",-112.0154798,33.4660821,"3108 e mcdowell rd, phoenix, az 85008, usa","Geocoded"
"Farrah's","(Disco)","4017 E. Indian School Rd.","Phoenix","AZ","(D),(*)","Bars/Clubs",1984,NA,"","4017 E. Indian School Rd., Phoenix, AZ",-111.9946803,33.4947588,"4017 e indian school rd, phoenix, az 85018, usa","Geocoded"
"Hotbods","(AH-WE) (Unisex)","3437 E. McDowell Rd.","Phoenix","AZ","(YC),(*),(AH),(WE),(D)","Bars/Clubs",1984,NA,"","3437 E. McDowell Rd., Phoenix, AZ",-112.0065107,33.4653293,"3437 e mcdowell rd, phoenix, az 85008, usa","Geocoded"
"Grand Camel","(Some L)","5105 N. 43rd Ave.","Phoenix","AZ","(R),(L)","Restaurant",1984,NA,"","5105 N. 43rd Ave., Phoenix, AZ",-112.1508691,33.5118594,"5105 n 43rd ave, phoenix, az 85019, usa","Geocoded"
"Goog's","","1812 E. Camelback Rd.","Phoenix","AZ","(M),(R),(AH)","Restaurant",1984,NA,"","1812 E. Camelback Rd., Phoenix, AZ",-112.0425603,33.5095721,"1812 e camelback rd, phoenix, az 85016, usa","Geocoded"
"Incognito Lounge","","2424 E. Thomas Rd.","Phoenix","AZ","(L),(D)","Bars/Clubs",1984,NA,"","2424 E. Thomas Rd., Phoenix, AZ",-112.028937,33.4806218,"2424 e thomas rd, phoenix, az 85016, usa","Geocoded"
"Hot Duds","(Men's Clothing)","842 E. Indian School Rd.","Phoenix","AZ","","Business",1984,NA,"","842 E. Indian School Rd., Phoenix, AZ",-112.0630802,33.4953277,"842 e indian school rd, phoenix, az 85014, usa","Geocoded"
"Library","(Hope it 'clicks')","838 N. 7th Ave.","Phoenix","AZ","(R)","Restaurant",1984,NA,"","838 N. 7th Ave., Phoenix, AZ",-112.0825728,33.4582372,"838 n 7th ave, phoenix, az 85007, usa","Geocoded"
"Little Jim's 307","(Best cocktail hour *)","222 E, Roosevelt","Phoenix","AZ","(OC),(PT),(*)","Bars/Clubs",1984,NA,"","222 E, Roosevelt, Phoenix, AZ",-112.0701697,33.458806,"222 e roosevelt st, phoenix, az 85004, usa","Geocoded"
"Nu Towne","","5002 E. Van Buren","Phoenix","AZ","","Bars/Clubs",1984,NA,"","5002 E. Van Buren, Phoenix, AZ",-111.9739771,33.4514023,"5002 e van buren st, phoenix, az 85008, usa","Geocoded"
"M.C.C.","(Casa de Cristo)","1029 E. Turney","Phoenix","AZ","(MCC)","Religious Institution",1984,NA,"","1029 E. Turney, Phoenix, AZ",-112.0585822,33.499427,"1029 e turney ave, phoenix, az 85014, usa","Geocoded"
"Raggedy Ann 'n' Andy's","(Many L) (Disco)","2320 N. 32nd St.","Phoenix","AZ","(L),(D)","Bars/Clubs",1984,NA,"","2320 N. 32nd St., Phoenix, AZ",-112.0132176,33.4738256,"2320 n 32nd st, phoenix, az 85008, usa","Geocoded"
"Ramrod","(Sun. beer bust *) (Patio)","395 N. Black Canyon Rd.","Phoenix","AZ","(SM),(W),(PT),(*)","Bars/Clubs",1984,NA,"","395 N. Black Canyon Rd., Phoenix, AZ",-112.1485918,33.8047692,"n black canyon blvd, phoenix, az 85086, usa","Geocoded"
"R. Hegyu","(Cards & Gifts)","5150 N. 7th St.","Phoenix","AZ","","Business",1984,NA,"","5150 N. 7th St., Phoenix, AZ",-112.0652657,33.5126824,"5150 n 7th st, phoenix, az 85012, usa","Geocoded"
"Sammy's","","2125 E. McDowell","Phoenix","AZ","(R),(D),(S),(*)","Restaurant",1984,NA,"","2125 E. McDowell, Phoenix, AZ",-112.0360397,33.465498,"2125 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
"Royal Villa Motel","(Swim Pool)","1102 E. Turney Ave.","Phoenix","AZ","","Hotel",1984,NA,"","1102 E. Turney Ave., Phoenix, AZ",-112.0578603,33.5003315,"1102 e turney ave, phoenix, az 85014, usa","Geocoded"
"Solid Gold","(Disco) (AH-WE) (Looks Promising)","1730 E. McDowell","Phoenix","AZ","(D),(S),(PT),(AH),(WE)","Bars/Clubs",1984,NA,"","1730 E. McDowell, Phoenix, AZ",-112.0441206,33.466054,"1730 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
"Shamoos","(S-WE)","3025 N. 24th St.","Phoenix","AZ","(S),(WE)","Bars/Clubs",1984,NA,"","3025 N. 24th St., Phoenix, AZ",-112.0297986,33.4833131,"3025 n 24 th street ac, phoenix, az 85016, usa","Geocoded"
"Timbers","(Hustlers)","702 N. Central","Phoenix","AZ","(OC)","Bars/Clubs",1984,NA,"","702 N. Central, Phoenix, AZ",-112.0742314,33.455716,"702 n central ave, phoenix, az 85004, usa","Geocoded"
"Taylor's","","4223 N. 7th St.","Phoenix","AZ","(*),(R)","Restaurant",1984,NA,"","4223 N. 7th St., Phoenix, AZ",-112.0650497,33.4974185,"4223 n 7th st, phoenix, az 85014, usa","Geocoded"
"Trax","(D.J. but no D) (AH-WE)","1724 E. McDowell","Phoenix","AZ","(SM),(PT),(*),(AH),(WE)","Bars/Clubs",1984,NA,"","1724 E. McDowell, Phoenix, AZ",-112.0445398,33.4660592,"1724 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
"Tommy & Clyde's","","5749 N. 7th St.","Phoenix","AZ","(OC),(D)","Bars/Clubs",1984,NA,"","5749 N. 7th St., Phoenix, AZ",-112.0646603,33.5217412,"5749 n 7th st, phoenix, az 85014, usa","Geocoded"
"Tuff Stuff","(Leatherware)","1646 E. McDowell Rd.","Phoenix","AZ","","Erotic Shop",1984,NA,"","1646 E. McDowell Rd., Phoenix, AZ",-112.0459231,33.4659772,"1646 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
"Womansplace","(Books, etc.)","2401 N. 32nd St.","Phoenix","AZ","(L)","Book Store",1984,NA,"","2401 N. 32nd St., Phoenix, AZ",-112.012356,33.4742565,"2401 n 32nd st, phoenix, az 85008, usa","Geocoded"
"21st Century Travel","","2432 W. Peoria, Suite 1082","Phoenix","AZ","","Travel Service",1984,NA,"","2432 W. Peoria, Suite 1082, Phoenix, AZ",-112.1109008,33.5833213,"2432 w peoria ave #1082, phoenix, az 85029, usa","Geocoded"
"Western Bar","","130 1/2 Montezuma","Prescott","AZ","(M)","Bars/Clubs",1984,NA,"","130 1/2 Montezuma, Prescott, AZ",-112.4704055,34.543039,"130 n montezuma st, prescott, az 86301, usa","Geocoded"
"Zorba's Book Shop","","2924 N. Scottsdale Rd.","Scottsdale","AZ","(*)","Book Store",1984,NA,"","2924 N. Scottsdale Rd., Scottsdale, AZ",-111.9266701,33.4812106,"2924 n scottsdale rd, scottsdale, az 85251, usa","Geocoded"
"Marie's 1st Place","","709 S. Mill Ave.","Tempe","AZ","(M),(R)","Restaurant",1984,NA,"","709 S. Mill Ave., Tempe, AZ",-111.9396452,33.4228528,"709 s mill ave, tempe, az 85281, usa","Geocoded"
"Modern World Adult Books","","1812 E. Apache","Tempe","AZ","","Book Store",1984,NA,"","1812 E. Apache, Tempe, AZ",-111.9083036,33.4150236,"1812 e apache blvd, tempe, az 85281, usa","Geocoded"
"Valley Art Theatre","","509 S. Mill Ave.","Tempe","AZ","(M)","Theatre",1984,NA,"","509 S. Mill Ave., Tempe, AZ",-111.9396415,33.4251003,"509 s mill ave, tempe, az 85281, usa","Geocoded"
"Bargain Box","(Books & flicks) (Cruisy*)","240 E. 16th St.","Yuma","AZ","(M),(*)","Cruising Areas,Book Store",1984,NA,"","240 E. 16th St., Yuma, AZ",-114.618662,32.6985259,"240 e 16th st, yuma, az 85364, usa","Geocoded"
"Cameo Bar","(Some L) (Crusiy)","232 S. 4th Ave.","Yuma","AZ","(*),(L),(PT)","Cruising Areas,Bars/Clubs",1984,NA,"","232 S. 4th Ave., Yuma, AZ",-114.6247879,32.7226306,"232 s 4th ave, yuma, az 85364, usa","Geocoded"
"Red's Bird Cage","","231 S. Main","Yuma","AZ","(M)","Bars/Clubs",1984,NA,"","231 S. Main, Yuma, AZ",-114.6175253,32.7235331,"231 s main st, yuma, az 85364, usa","Geocoded"
"Sky Chief","(Bar only -WE)","1530 E. 32nd St.","Yuma","AZ","(M),(WE)","Bars/Clubs,Restaurant",1984,NA,"","1530 E. 32nd St., Yuma, AZ",-114.6062893,32.6699735,"1530 e 32nd st, yuma, az 85365, usa","Geocoded"
"Blue Willow","(R & Gifts)","2616 N. Campbell","Tucson","AZ","(M),(R)","Restaurant",1984,NA,"","2616 N. Campbell, Tucson, AZ",-110.9435152,32.2544129,"2616 n campbell ave, tucson, az 85719, usa","Geocoded"
"Congress","","311 E. Congress","Tucson","AZ","(M),(OC),(RT)","Bars/Clubs",1984,NA,"","311 E. Congress, Tucson, AZ",-110.9668233,32.222337,"311 e congress st, tucson, az 85701, usa","Geocoded"
"Caesar's Book Store","","2540 N. Miracle Mile","Tucson","AZ","(F&S)","Book Store",1984,NA,"","2540 N. Miracle Mile, Tucson, AZ",-111.0000831,32.2608476,"2540 w miracle mile, tucson, az 85705, usa","Geocoded"
"Books Brothers","","3244 E. Speedway","Tucson","AZ","","Book Store",1984,NA,"","3244 E. Speedway, Tucson, AZ",-110.9237097,32.2357998,"3244 e speedway blvd, tucson, az 85716, usa","Geocoded"
"Fineline","(Some L) (Disco) (On again-off again)","101 W. Drachman","Tucson","AZ","(L),(D)","Bars/Clubs",1984,NA,"","101 W. Drachman, Tucson, AZ",-110.9744608,32.2387133,"101 w drachman st, tucson, az 85737, usa","Geocoded"
"Fun Tyme Adult Books","","86 N. 6th St.","Tucson","AZ","","Book Store",1984,NA,"","86 N. 6th St., Tucson, AZ",-110.9686264,32.2232569,"86 n 6th ave, tucson, az 85701, usa","Geocoded"
"Graduate","(Something for everyone) (Cocktail hour)","23 W. University","Tucson","AZ","(*),(D)","Bars/Clubs",1984,NA,"","23 W. University, Tucson, AZ",-110.9724985,32.231604,"23 w university blvd, tucson, az 85705, usa","Geocoded"
"M.C.C.","","349 W. 35th St.","Tucson","AZ","(MCC)","Religious Institution",1984,NA,"","349 W. 35th St., Tucson, AZ",-110.9743444,32.1931522,"349 w 35th st, tucson, az 85713, usa","Geocoded"
"Joshua Tree","(Most macho disco) (Cruisy) ('Back Pocket' & patio in rear)","2921 N. 1st Ave.","Tucson","AZ","(*),(YC)","Cruising Areas,Bars/Clubs",1984,NA,"","2921 N. 1st Ave., Tucson, AZ",-110.9614212,32.260779,"2921 n 1st ave, tucson, az 85719, usa","Geocoded"
"Holy Trinity Comm. Church","","2213 N. Columbus","Tucson","AZ","","Religious Institution",1984,NA,"","2213 N. Columbus, Tucson, AZ",-110.9015567,32.2486545,"2213 n columbus blvd, tucson, az 85712, usa","Geocoded"
"Michael's","(Disco)","140 S. Kolb","Tucson","AZ","(D),(S),(L)","Bars/Clubs",1984,NA,"","140 S. Kolb, Tucson, AZ",-110.8415548,32.2195235,"broadway seven thousand shopping center, 140 s kolb rd, tucson, az 85710, usa","Geocoded"
"Rita's Rendezvous","(Sun. brunch) (Currently 'tops')","3455 E. Grant Rd.","Tucson","AZ","(*),(R)","Restaurant",1984,NA,"","3455 E. Grant Rd., Tucson, AZ",-110.9188336,32.2509259,"3455 e grant rd, tucson, az 85716, usa","Geocoded"
"Stockade","(Looks Promising) (W,SM)","2308 N. Stone","Tucson","AZ","(W),(SM)","Bars/Clubs",1984,NA,"","2308 N. Stone, Tucson, AZ",-110.9715502,32.2495668,"2308 n stone ave, tucson, az 85705, usa","Geocoded"
"Stables","(Baths)","3820 E. 40th St.","Tucson","AZ","(P)","Bathhouses",1984,NA,"","3820 E. 40th St., Tucson, AZ",-110.9104275,32.1890921,"3820 e 40th st, tucson, az 85713, usa","Geocoded"
"Speedway Books","(Off Alvernon, nr. Aviation Hwy.)","3660 E. Speedway","Tucson","AZ","","Book Store",1984,NA,"","3660 E. Speedway, Tucson, AZ",-110.914303,32.2356324,"3660 e speedway blvd, tucson, az 85716, usa","Geocoded"
"The Bookstore Southwest","","1400 S. Alvernon","Tucson","AZ","","Book Store",1984,NA,"","1400 S. Alvernon, Tucson, AZ",-110.9100088,32.2050379,"1400 s alvernon way, tucson, az 85711, usa","Geocoded"
"The Habit","","925 E. Prince.","Tucson","AZ","(AH)","Bars/Clubs",1984,NA,"","925 E. Prince., Tucson, AZ",-110.9572024,32.2723672,"925 e prince rd, tucson, az 85719, usa","Geocoded"
"Log Cabin Inn & Country Store","(April-Nov.)","42 Kings Highway","Eureka Springs","AR","(M),(H),(R)","Hotel,Restaurant",1984,NA,"","42 Kings Highway, Eureka Springs, AR",-93.7461076,36.3990807,"42 kingshighway, eureka springs, ar 72632, usa","Geocoded"
"Tish's Disco","(Just N. of N.W. Arkansas Mall)","4630 Hwy. 71N.","Fayetteville","AR","(D),(*)","Bars/Clubs",1984,NA,"","4630 Hwy. 71N., Fayetteville, AR",-94.1293534,34.9107609,"4630 sweetgum ln, waldron, ar 72958, usa","Geocoded"
"M.C.C.","","1007 S. 25th St.","Ft. Smith","AR","(MCC)","Religious Institution",1984,NA,"","1007 S. 25th St., Ft. Smith, AR",-94.4056002,35.3737814,"1007 s 25th st, fort smith, ar 72901, usa","Geocoded"
"Village Landing","(Some L) (Disco)","3028 N. 6th St.","Ft. Smith","AR","(*),(YC),(L),(D)","Bars/Clubs",1984,NA,"","3028 N. 6th St., Ft. Smith, AR",-94.4003877,35.409082,"3028 n 6th st, fort smith, ar 72904, usa","Geocoded"
"Our House Lounge","(Upstairs disco)","336 Central Ave.","Hot Springs","AR","(D),(*)","Bars/Clubs",1984,NA,"","336 Central Ave., Hot Springs, AR",-93.054107,34.514824,"336 central ave, hot springs, ar 71901, usa","Geocoded"
"Discovery","(Disco)  (Adam's Rib - Boutique) (Riverfront Dr. off Cantrell Rd.)","1021 Jessie Rd.","Little Rock","AR","(*),(YC),(D),(S)","Bars/Clubs",1984,NA,"","1021 Jessie Rd., Little Rock, AR",-92.3002408,34.75858,"1021 jessie rd, little rock, ar 72202, usa","Geocoded"
"Lil's Saloon","(Some W, YC) (Sign says Squeeze Inn)","1701 University","Little Rock","AR","(*),(W),(YC)","Bars/Clubs",1984,NA,"","1701 University, Little Rock, AR",-92.3398772,34.7205325,"university dr, little rock, ar 72204, usa","Geocoded"
"Regina's Place","(Books & Movie arcade)","1314 Main St.","Little Rock","AR","","Book Store",1984,NA,"","1314 Main St., Little Rock, AR",-92.3867125,34.6528775,"1314 mabelvale main st, mabelvale, ar 72103, usa","Geocoded"
"Silver Dollar","(Some L)","2710 Asher Ave.","Little Rock","AR","(L)","Bars/Clubs",1984,NA,"","2710 Asher Ave., Little Rock, AR",-92.3048076,34.7314899,"2710 asher ave, little rock, ar 72204, usa","Geocoded"
"Garden of Eden Bookstore","","314 E. Lincoln Ave.","Anaheim","CA","","Book Store",1984,NA,"","314 E. Lincoln Ave., Anaheim, CA",-117.9112417,33.8369802,"314 e lincoln ave, anaheim, ca 92805, usa","Geocoded"
"E & G Cafe","","729 Lincoln Way","Auburn","CA","(M)","Restaurant",1984,NA,"","729 Lincoln Way, Auburn, CA",-121.0667651,38.9009936,"729 lincoln way, auburn, ca 95603, usa","Geocoded"
"Awful Annie's Cafe","","160 Sacramento","Auburn","CA","(M),(R)","Restaurant",1984,NA,"","160 Sacramento, Auburn, CA",-121.0782368,38.89502,"160 sacramento st, auburn, ca 95603, usa","Geocoded"
"Casablanca","(Some L) (Disco)","1209 20th St.","Bakersfield","CA","(YC),(L),(D),(*)","Bars/Clubs",1984,NA,"","1209 20th St., Bakersfield, CA",-119.0156387,35.3769845,"1209 20th st, bakersfield, ca 93301, usa","Geocoded"
"Twin Star","(Looks promising) (Disco- WE)","1030 20th St.","Bakersfield","CA","(D),(PT),(WE),(W)","Bars/Clubs",1984,NA,"","1030 20th St., Bakersfield, CA",-119.0137816,35.3773588,"1030 20th st, bakersfield, ca 93301, usa","Geocoded"
