"ID","title","amenityfeatures","description","streetaddress","type","city","state","unclear_address","Year","uncleartype","notes","Last.Modified","full.address","lon","lat","geoAddress","status"
5078,"Condado Inn","(*),(MW)","Condado 724-7145 priv baths, 1/2 blk to beach","6 Condado Ave.","Accomodations","San Juan","PR",NA,1992,"","","5/18/2023 8:27am","6 Condado Ave. ,  San Juan ,  PR",-66.0714214,18.456751,"6 condado ave, san juan, 00907, puerto rico","Geocoded"
3191,"Ampersand Guest House","(MW)","487-0959 year round","6 Cottage St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","6 Cottage St. ,  Provincetown ,  MA",-70.1930921,42.0440747,"historic district, 6 cottage st, provincetown, ma 02657, usa","Geocoded"
2987,"Blackstones","(NH)","775-2885 4pm-1am","6 Pine St.","Bars","Portland","ME",NA,1992,"","","4/25/2023 9:32pm","6 Pine St. ,  Portland ,  ME",-70.266826,43.6526354,"6 pine st, portland, me 04101, usa","Geocoded"
1887,"Inn Exile","(V)","582-4144 3pm-2am Mon-Sat, 3pm-midnight Sun","6 S. J St.","Bars","Lakeland","FL",NA,1992,"","","4/25/2023 9:32pm","6 S. J St. ,  Lakeland ,  FL",-81.9584512,27.9692707,"jay st, lakeland, fl 33813, usa","Geocoded"
2973,"Leisure Inn","(MX)","646-2737 B & B, open April-October","6 School St.","Accomodations","Ogunquit","ME",NA,1992,"","","4/25/2023 9:32pm","6 School St. ,  Ogunquit ,  ME",-70.5983398,43.2475498,"6 school st, ogunquit, me 03907, usa","Geocoded"
3613,"Phoenix Books","","931-5794 gay/lesbian bookstore, 10am-6pm Mon-Sat, 1pm-5pm Sun","6 W. 39th St.","Bookstore/Retail Shops","Kansas City","MO",NA,1992,"","","4/25/2023 9:32pm","6 W. 39th St. ,  Kansas City ,  MO",-94.5865355,39.0567228,"6 w 39th st, kansas city, mo 64111, usa","Geocoded"
3208,"Chicago House","(*),(MW)","487-0537/(800)733-7869 cont'l bkfst, year round, apts avail.","6 Winslow St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","6 Winslow St. ,  Provincetown ,  MA",-70.1887667,42.0512993,"historic district, 6 winslow st, provincetown, ma 02657, usa","Geocoded"
3925,"Woolverton Inn","(MX)","397-0802 B & B, full breakfast, year-round","6 Woolverton Rd.","Accomodations","Stockton","NJ",NA,1992,"","","4/25/2023 9:32pm","6 Woolverton Rd. ,  Stockton ,  NJ",-74.9801917,40.4092897,"6 woolverton rd, stockton, nj 08559, usa","Geocoded"
3223,"Heritage House","","487-3692 seasonal","7 Center St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","7 Center St. ,  Provincetown ,  MA",-70.1847552,42.0536962,"historic district, 7 center st, provincetown, ma 02657, usa","Geocoded"
4097,"Jeffrey E. Lavigne, MD","","879-4260","7 East 68th St.","Info Lines & Services","New York City","NY",NA,1992,"","","4/25/2023 9:32pm","7 East 68th St. ,  New York City ,  NY",-73.9678306,40.7695984,"7 e 68th st, new york, ny 10065, usa","Geocoded"
3269,"Napi's","(MX)","487-1145 year round","7 Freeman St.","Restaurants & Cafes","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","7 Freeman St. ,  Provincetown ,  MA",-70.1859761,42.0528826,"historic district, 7 freeman st, provincetown, ma 02657, usa","Geocoded"
3210,"Coat of Arms","(*)","487-0816 seasonal","7 Johnson St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","7 Johnson St. ,  Provincetown ,  MA",-70.1842552,42.0542111,"historic district, 7 johnson st, provincetown, ma 02657, usa","Geocoded"
2974,"Ogunquit House","","646-2967 year-round","7 Kings Way","Accomodations","Ogunquit","ME",NA,1992,"","","4/25/2023 9:32pm","7 Kings Way ,  Ogunquit ,  ME",-70.6050128,43.2670011,"7 kings way, ogunquit, me 03907, usa","Geocoded"
3108,"Venus de Milo","(MW),(D)","421-9595 gay Wed only 9pm-2am","7 Lansdown St.","Bars","Boston","MA",NA,1992,"","","4/25/2023 9:32pm","7 Lansdown St. ,  Boston ,  MA",-71.0950605,42.3473283,"7 lansdowne st, boston, ma 02215, usa","Geocoded"
3248,"Watership Inn","(*),(MW)","487-0094 year round","7 Winthrop St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","7 Winthrop St. ,  Provincetown ,  MA",-70.1908131,42.0484291,"historic district, 7 winthrop st, provincetown, ma 02657, usa","Geocoded"
4682,"Level Two","(MW),(D),(S)","357-1430 8pm-2am, clsd Mon & Tues","8 1/2 NW 2nd","Bars","Lawton","OK",NA,1992,"","","4/25/2023 9:32pm","8 1/2 NW 2nd ,  Lawton ,  OK",-98.3907725,34.6098045,"8 nw 2nd st, lawton, ok 73507, usa","Geocoded"
3670,"Sunshine Inn","(MX)","367-1413","8 1/2 S. Euclid Ave","Restaurants & Cafes","St. Louis","MO",NA,1992,"","","4/25/2023 9:32pm","8 1/2 S. Euclid Ave ,  St. Louis ,  MO",-90.262089,38.6399766,"8 1/2 s euclid ave, st. louis, mo 63108, usa","Geocoded"
3236,"Roomers","","487-3532 seasonal","8 Carver St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","8 Carver St. ,  Provincetown ,  MA",-70.189965,42.0490682,"historic district, 8 carver st, provincetown, ma 02657, usa","Geocoded"
4000,"Esther's","(MW),(D),(E)","434-0994 7pm-4am Sun-Thurs, from 9pm Fri & Sat","8 Central Ave.","Bars","Albany","NY",NA,1992,"","","4/25/2023 9:32pm","8 Central Ave. ,  Albany ,  NY",NA,NA,"NA","Geocoded"
4148,"Reeds","(NH),(V)","675-7333 3pm-4am","8 Christopher St.","Bars","Greenwich Village","NY",NA,1992,"","","4/25/2023 9:32pm","8 Christopher St. ,  Greenwich Village ,  NY",-74.0001048,40.7338418,"8 christopher st, new york, ny 10014, usa","Geocoded"
3209,"Christopher Inn","(MW),(SW)","487-1920/(800)828-7896 guesthouse, year round","8 Dyer St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","8 Dyer St. ,  Provincetown ,  MA",-70.1828599,42.0553003,"8 dyer st, provincetown, ma 02657, usa","Geocoded"
3224,"Joseph's","","487-1237 guest house","8 Johnson St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","8 Johnson St. ,  Provincetown ,  MA",-70.1844412,42.0539469,"8 johnson st, provincetown, ma 02657, usa","Geocoded"
5176,"Castle, The","(*),(MW)","235-9949 8pm-4am Mon-Fri, til 2am Sat & Sun","8 LeGrand Blvd.","Bars","Greenville","SC",NA,1992,"","","4/25/2023 9:32pm","8 LeGrand Blvd. ,  Greenville ,  SC",-82.3681104,34.8361438,"8 legrand blvd, greenville, sc 29607, usa","Geocoded"
4939,"Wildflowers","(MX),(BYOB)","862-2241 noon-10pm, outdoor dining","8 W. Mechanic St.","Restaurants & Cafes","New Hope","PA",NA,1992,"","","4/25/2023 9:32pm","8 W. Mechanic St. ,  New Hope ,  PA",-74.9509481,40.3621147,"8 w mechanic st, new hope, pa 18938, usa","Geocoded"
3240,"Shipwreck Inn","(*)","487-9005","9 Court St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","9 Court St. ,  Provincetown ,  MA",-70.190255,42.0489244,"9 court st, provincetown, ma 02657, usa","Geocoded"
3217,"Elm Guest House","","487-0793 seasonal","9 Johnson St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","9 Johnson St. ,  Provincetown ,  MA",-70.1843947,42.0543478,"historic district, 9 johnson st, provincetown, ma 02657, usa","Geocoded"
3483,"Unicorn Theatre","","#209, 338-4045 gay/lesbian theatre, bi-monthly productions","9 N. 4th St.","Info Lines & Services","Minneapolis","MN",NA,1992,"","","4/25/2023 9:32pm","9 N. 4th St. ,  Minneapolis ,  MN",-93.2719155,44.9806349,"9 n 4th st, minneapolis, mn 55401, usa","Geocoded"
3499,"Gaze Newsstand","","Ste. 212, 341-0044 noon-6pm, til 11pm Fri-Sun","9 N. 4th St.","Bookstore/Retail Shops","Minneapolis","MN",NA,1992,"","","4/25/2023 9:32pm","9 N. 4th St. ,  Minneapolis ,  MN",-93.2719155,44.9806349,"9 n 4th st, minneapolis, mn 55401, usa","Geocoded"
3512,"Gaze Newspaper","","Ste. 212, Mpls. 338-4045","9 N. 4th St.","Publication","Minneapolis","MN",NA,1992,"","","4/25/2023 9:32pm","9 N. 4th St. ,  Minneapolis ,  MN",-93.2719155,44.9806349,"9 n 4th st, minneapolis, mn 55401, usa","Geocoded"
4056,"Fire Island Pines","","Fire Island Pines 597-6767 seasonal","9 Ocean Walk","Accomodations","Fire Island","NY",NA,1992,"","","5/18/2023 8:28am","9 Ocean Walk ,  Fire Island ,  NY",-73.0698807,40.6638059,"9 ocean walk, sayville, ny 11782, usa","Geocoded"
5787,"Sea Gate","(MX)","331-2206 B & B","9 Tazewell Ave.","Accomodations","Cape Charles","VA",NA,1992,"","","4/25/2023 9:32pm","9 Tazewell Ave. ,  Cape Charles ,  VA",-76.021171,37.2691835,"9 tazewell ave, cape charles, va 23310, usa","Geocoded"
1532,"Frank's Place","(MW),(NH),(D)","443-8883 huge patio, 4pm-1am Sun-Thurs, 3pm-2am Fri & Sat","9 Tilley St.","Bars","New London","CT",NA,1992,"","","4/25/2023 9:32pm","9 Tilley St. ,  New London ,  CT",-72.0972273,41.3517465,"9 tilley st, new london, ct 06320, usa","Geocoded"
5847,"Last Straw","(F),(NH)","342-1634 9am-2am","9 W. Salem Ave.","Bars","Roanoke","VA",NA,1992,"","","4/25/2023 9:32pm","9 W. Salem Ave. ,  Roanoke ,  VA",-79.940956,37.272612,"9 salem ave sw, roanoke, va 24011, usa","Geocoded"
3221,"Gifford House","","487-0688 year round, see ad national section","9-11 Carver St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","9-11 Carver St. ,  Provincetown ,  MA",-70.1900224,42.0496268,"9 carver st, provincetown, ma 02657, usa","Geocoded"
3147,"Jon's","(MX),(D),(E)","884-9533 4pm-1am Mon-Fri, from 1pm Sat & Sun","9-11 Williams St.","Bars","Chelsea","MA",NA,1992,"","","4/25/2023 9:32pm","9-11 Williams St. ,  Chelsea ,  MA",-71.0391259,42.3881307,"9 williams st #11, chelsea, ma 02150, usa","Geocoded"
216,"Center Street Bar & Grille","(MX),(D),(E),(F)","253-8102 5pm-2am, clsd. Sun","10 Center St.","Bars","Eureka Springs","AR",NA,1992,"","","4/25/2023 9:32pm","10 Center St. ,  Eureka Springs ,  AR",-93.7366351,36.4027674,"10 center st, eureka springs, ar 72632, usa","Geocoded"
5120,"Devilles","(*),(W),(F)","(Simmons Bldg.) espresso bar","10 Davol Sq.","Bars","Providence","RI",NA,1992,"","","4/25/2023 9:32pm","10 Davol Sq. ,  Providence ,  RI",-71.4068641,41.8165535,"10 davol square, 10 davol sq, providence, ri 02903, usa","Geocoded"
3042,"Signals","(AH),(BYOB),(D)","727-1003 midnight til dawn Fri & Sat","10 E. Lafayette","Bars","Baltimore","MD",NA,1992,"","","4/25/2023 9:32pm","10 E. Lafayette ,  Baltimore ,  MD",-76.615823,39.310139,"10 e lafayette ave, baltimore, md 21202, usa","Geocoded"
1255,"Sutter's Mill","(F),(P)","(off Bush St) 788-8377 10am-10pm, lunch Mon-Fri","10 Mark Ln.","Bars","San Francisco","CA",NA,1992,"","","4/25/2023 9:32pm","10 Mark Ln. ,  San Francisco ,  CA",-122.4046843,37.7904802,"10 mark ln, san francisco, ca 94108, usa","Geocoded"
3676,"Pages, Video, & More","","361-3420 gay titles","10 N. Euclid Ave.","Bookstore/Retail Shops","St. Louis","MO",NA,1992,"","","4/25/2023 9:32pm","10 N. Euclid Ave. ,  St. Louis ,  MO",-90.2621122,38.6398983,"10 n euclid ave, st. louis, mo 63108, usa","Geocoded"
1578,"Everybody's","(MW),(D),(B),(AH)","(upstairs) 655-5632 opens 10pm Wed-Sat","11 E. 4th St.","Bars","Wilmington","DE",NA,1992,"","","4/25/2023 9:32pm","11 E. 4th St. ,  Wilmington ,  DE",-75.5508527,39.74046,"11 e 4th st, wilmington, de 19801, usa","Geocoded"
4372,"Scandals/Getaways/Cahoots","(MW),(D),(V),(S),(F)","252-2838 9am-2am Wed, Fri & Sat, 2 bars & restaurant (Tues-Sat) on premises","11 Grove St.","Bars","Asheville","NC",NA,1992,"","","4/25/2023 9:32pm","11 Grove St. ,  Asheville ,  NC",-82.5577653,35.5933934,"11 grove st, asheville, nc 28801, usa","Geocoded"
3230,"Plaza Guest House","(MW)","487-1818 year round","11 Pearl St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","11 Pearl St. ,  Provincetown ,  MA",-70.1835575,42.0547185,"historic district, 11 pearl st, provincetown, ma 02657, usa","Geocoded"
5032,"Red Star","(*),(D),(L),(LV),(OC)","375-4116 winter hrs 5pm-2am Mon-Sat, summer hrs 8pm-2am Mon-Sat, patio","11 S. 10th St.","Bars","Reading","PA",NA,1992,"","","4/25/2023 9:32pm","11 S. 10th St. ,  Reading ,  PA",-75.9179484,40.3347165,"11 s 10th st, reading, pa 19602, usa","Geocoded"
3675,"Our World Too","","533-5322 gay/lesbian titles, gifts, jewelry, & art","11 S. Vandeventer","Bookstore/Retail Shops","St. Louis","MO",NA,1992,"","","4/25/2023 9:32pm","11 S. Vandeventer ,  St. Louis ,  MO",-90.2421506,38.6357385,"11 s vandeventer ave, st. louis, mo 63108, usa","Geocoded"
212,"Gardener's Cottage, The","","c/o 253-9111 private country cottage for 2, furnished kitchen, antique decor","11 Singleton","Accomodations","Eureka Springs","AR",NA,1992,"","","4/25/2023 9:32pm","11 Singleton ,  Eureka Springs ,  AR",-93.7388476,36.4056848,"11 singleton st, eureka springs, ar 72632, usa","Geocoded"
3222,"Haven House","(*),(SW)","487-3031","12 Carver St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","12 Carver St. ,  Provincetown ,  MA",-70.1902973,42.0495474,"12 carver st, provincetown, ma 02657, usa","Geocoded"
3245,"Twelve Center Guest House","(*),(IGTA)","487-0381 year round","12 Center St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","12 Center St. ,  Provincetown ,  MA",-70.1852319,42.0537166,"historic district, 12 center st, provincetown, ma 02657, usa","Geocoded"
2348,"Line I Video Arcade","","359-8529","12 E. Columbia Ave.","Erotica","Champaign/Urbana","IL",NA,1992,"","","4/25/2023 9:32pm","12 E. Columbia Ave. ,  Champaign/Urbana ,  IL",-88.242677,40.1212816,"12 e columbia ave, champaign, il 61820, usa","Geocoded"
2517,"Rainbow Inn","(MX),(NH)","254-7227 7pm-2am Tues-Thur, 4pm-2am Fri-Sun","12 E. Ferguson","Bars","Wood River","IL",NA,1992,"","","4/25/2023 9:32pm","12 E. Ferguson ,  Wood River ,  IL",-90.0978353,38.8609157,"12 e ferguson ave, wood river, il 62095, usa","Geocoded"
3244,"Trade Winds","","487-0138 year round","12 Johnson St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","12 Johnson St. ,  Provincetown ,  MA",-70.1847203,42.0542201,"historic district, 12 johnson st, provincetown, ma 02657, usa","Geocoded"
