"title","description","streetaddress","city","state","amenityfeatures","unclear_address","Year","type","notes","full.address","lon","lat","geoAddress"
"John's","(btwn 1st & 2nd Ave) 205/322-6014 11am-10pm, clsd Sun, full bar","112 21st St N","Birmingham","AL","(WC)",NA,2002,"Restaurants","","112 21st St N, Birmingham, AL",-86.822209,33.5425441,"21st st n, birmingham, al, usa"
"PT's Sports Grill","(at Hwy 480 S) 205/879-8519 11am-close","350 Hollywood Blvd","Birmingham","AL","(WC)",NA,2002,"Restaurants","","350 Hollywood Blvd, Birmingham, AL",-86.7779731,33.4828746,"350 hollywood blvd, birmingham, al 35209, usa"
"Silverton Cafe","205/591-3707 11am-10pm, till 9pm Sun, also full bar, more gay Mon","3813 Clairmont Ave S","Birmingham","AL","",NA,2002,"Restaurants","","3813 Clairmont Ave S, Birmingham, AL",-86.77371,33.5146704,"3813 clairmont ave, birmingham, al 35222, usa"
"Terrific New Theater","(in Dr Pepepr Design Complex) 205/328-0868","2821 2nd Ave S","Birmingham","AL","",NA,2002,"Entertainment & Recreation","","2821 2nd Ave S, Birmingham, AL",-86.7909213,33.5162953,"2821 2nd ave s, birmingham, al 35233, usa"
"Lodetsar Books","(at 29th St S) 205/328-0144 10am-8pm, till 5pm Sun, lgbt section, also vegetarian cafe","2827 Highland Ave","Birmingham","AL","(F),(WC)",NA,2002,"Bookstores","","2827 Highland Ave, Birmingham, AL",-86.7822175,33.505718,"2827 highland ave, birmingham, al 35205, usa"
"The Bad Seed","(btwn 20th & 21st) 205/933-7333 noon-8pm, clsd Sun, music videos & gifts","2030 11th Ave S","Birmingham","AL","(GO)",NA,2002,"Retail Shops","","2030 11th Ave S, Birmingham, AL",-86.7949271,33.5008856,"2030 11th ave s, birmingham, al 35205, usa"
"Alabama Adult Books","(at 8th) 205/322-7323 24hrs","801 3rd Ave N","Birmingham","AL","",NA,2002,"Erotica","","801 3rd Ave N, Birmingham, AL",-86.8230758,33.5083291,"801 3rd ave n, birmingham, al 35203, usa"
"Birmingham Adult Books","(at Oporto-Madrid Blvd) 205/836-1580 24hrs, booths","7610 1st Ave N","Birmingham","AL","(*)",NA,2002,"Erotica","","7610 1st Ave N, Birmingham, AL",-86.7298608,33.5608108,"7610 1st ave n, birmingham, al 35206, usa"
"The Downtown Bookstore","(at 28th St) 205/328-5525 video arcade, booths","2731 8th Ave N","Birmingham","AL","",NA,2002,"Erotica","","2731 8th Ave N, Birmingham, AL",-86.7995177,33.5264971,"2731 reverend abraham woods jr boulevard, birmingham, al 35203, usa"
"Pleasure Books","(at 77th St) 205/836-7379 video arcade, booths","7606 1st Ave N","Birmingham","AL","",NA,2002,"Erotica","","7606 1st Ave N, Birmingham, AL",-86.7301253,33.560853,"7606 1st ave n, birmingham, al 35206, usa"
"Top Hat Cinema","205/833-8221 theater, booths","9221 Todd Dr","Birmingham","AL","",NA,2002,"Erotica","","9221 Todd Dr, Birmingham, AL",-86.700455,33.5878074,"9221 todd ave, birmingham, al 35206, usa"
"Days Inn","(Hwy 31 N at Church) 256/355-3520, 800/DAYS-INN La Cabaña restaurant, Mexican, discount w/ Damron mention","810 6th Ave NE","Decatur","AL","(GF),(SW),(WC)",NA,2002,"Accommodations","","810 6th Ave NE, Decatur, AL",-86.978019,34.608006,"810 6th ave ne, decatur, al 35601, usa"
"The Waffle House","(btwn Layfayette & Walnut) 256/355-2871 24hrs, popular after-hours","710 6th Ave NE","Decatur","AL","",NA,2002,"Restaurants","","710 6th Ave NE, Decatur, AL",-86.9789689,34.6076248,"710 6th ave ne, decatur, al 35601, usa"
"The Vault","(at N Foster) 334/794-0230 7pm-close, clsd Sun","111 E Main St","Dothan","AL","(MW),(D),(S),(19+),(WC)",NA,2002,"Nightclubs","","111 E Main St, Dothan, AL",-85.3918809,31.223744,"111 e main st, dothan, al 36301, usa"
"Spring Creek Campground","(at Hwy 52 & Country Rd 4) 334/684-3891 cabins, tent & RV sites, some theme wknds w/ DJ","163 Campground Rd","Geneva","AL","(M),(SW),(N),(GO)",NA,2002,"Accommodations","","163 Campground Rd, Geneva, AL",-85.833187,31.023005,"163 campground rd, geneva, al 36340, usa"
"Vieux Carre","(at Larkin) 256/534-5970 7pm-2am, DJ Th-Sun, shows Sun, patio","1204 Posey","Huntsville","AL","(MW),(NH),(D),(E),(WC)",NA,2002,"Bars","","1204 Posey, Huntsville, AL",-86.6005271,34.7379952,"1204 posey st nw, huntsville, al 35816, usa"
"Upscale","256/881-8820 7pm-2am Fri, 8pm-2am Sat, 'Alambama's largest alternative entertainment complex'","2021 Golf Rd","Huntsville","AL","(MW),(D),(F),(S),(WC)",NA,2002,"Nightclubs","","2021 Golf Rd, Huntsville, AL",-86.582824,34.6824131,"2021 golf rd sw, huntsville, al 35802, usa"
"Blue Willow Inn","334/864-9008","302 Lafayette St S","Lafayette","AL","(M),(SW),(GO)",NA,2002,"Accommodations","","302 Lafayette St S, Lafayette, AL",-85.4007867,32.8954931,"302 lafayette st s, la fayette, al 36862, usa"
"B-Bob's","334/341-0102 5pm-close, from 8pm Sat, from 6pm Sun","6157 Airport Blvd #201","Mobile","AL","(MW),(D),(CW),(B),(S),(YC),(PC),(WC)",NA,2002,"Bars","","6157 Airport Blvd #201, Mobile, AL",-88.1834797,30.6749486,"6157 airport blvd unit 201, mobile, al 36608, usa"
"Gabriel's Downtown","(at Government) 334/432-4900 4:30pm-close, from 7pm Sat, from 3pm Sun","55 S Joachim St","Mobile","AL","(MW),(K),(V),(PC)",NA,2002,"Bars","","55 S Joachim St, Mobile, AL",-88.0433261,30.6901868,"55 s joachim st, mobile, al 36602, usa"
"Society Lounge","(at Conti) 334/433-9141 noon-close","51 S Conception","Mobile","AL","(*),(MW),(D),(S),(PC),(WC)",NA,2002,"Bars","","51 S Conception, Mobile, AL",-88.0423955,30.6906831,"51 s conception st, mobile, al 36602, usa"
"On The Roxx","334/432-9056 4pm-close","20 S Conception","Mobile","AL","(MW),(D),(E)",NA,2002,"Nightclubs","","20 S Conception, Mobile, AL",-88.0428469,30.6908403,"20 s conception st, mobile, al 36602, usa"
"Troopers","(nr Joachim) 334/433-7436 8pm-close, shows Th (open since 1965!)","215 Conti St","Mobile","AL","(MW),(D),(S),(PC),(WC)",NA,2002,"Nightclubs","","215 Conti St, Mobile, AL",-88.0433113,30.690339,"215 conti st, mobile, al 36602, usa"
"Big E's Delicatessen","(at N Jackson St) 334/694-0585 lunch Mon-Fri, private parties & catering services","263 St Francis St","Mobile","AL","(WC)",NA,2002,"Cafes","","263 St Francis St, Mobile, AL",-88.0451169,30.6918022,"263 st francis st, mobile, al 36602, usa"
"Port City Newsstand","(at Conception) 334/433-9050 clsd Sun","201-B Dauphin St","Mobile","AL","(GO)",NA,2002,"Erotica","","201-B Dauphin St, Mobile, AL",-88.0429248,30.6913407,"201 dauphin st b, mobile, al 36602, usa"
"Lattice Inn","334/832-9931 full brkfst, hot tub","1414 S Hull St","Montgomery","AL","(GF),(SW),(GO)",NA,2002,"Accommodations","","1414 S Hull St, Montgomery, AL",-86.3032493,32.3601037,"1414 s hull st, montgomery, al 36104, usa"
"The Bar","(at Court St) 334/263-0550 8pm-close, clsd Mon-Tue, two-stepping Tue, cabaret Wed","62 Dexter Ave","Montgomery","AL","(MW),(D),(S)",NA,2002,"Nightclubs","","62 Dexter Ave, Montgomery, AL",-86.3078493,32.3770336,"62 dexter ave, montgomery, al 36104, usa"
"Michael's","(at 22nd Ave) 205/758-9223 5pm-close, clsd Mon-Tue & Sun, women's night Th","2201 6th St","Tuscaloosa","AL","(MW),(D),(S)",NA,2002,"Bars","","2201 6th St, Tuscaloosa, AL",-87.5651985,33.2096394,"2201 6th st, tuscaloosa, al 35401, usa"
"AA Gay/Lesbian","(at Unitarian Universalist church) 907/272-2312 7pm Mon","3201 Turnagain St","Anchorage","AK","",NA,2002,"Info Lines & Services","","3201 Turnagain St, Anchorage, AK",-149.934865,61.1914442,"3201 turnagain st, anchorage, ak 99517, usa"
"IMRU2","907/566-4678 5:30pm-7:30pm Wed, lgbt youth support group","845 'K' St","Anchorage","AK","",NA,2002,"Info Lines & Services","","845 'K' St, Anchorage, AK",-149.9011532,61.2138527,"845 k st, anchorage, ak 99501, usa"
"Alaska Bear Company B&B","(at Fairbanks) 907/277-BEAR in downtown Anchorage","535 E 6th Ave","Anchorage","AK","(GS)",NA,2002,"Accommodations","","535 E 6th Ave, Anchorage, AK",-149.7806366,61.2170602,"535 e 6th ave, anchorage, ak 99508, usa"
"Aurora Winds B&B Resort","907/346-2533 full brkfst, hot tub","7501 Upper O'Malley","Anchorage","AK","(GS),(SW),(WC),(GO)",NA,2002,"Accommodations","","7501 Upper O'Malley, Anchorage, AK",-149.7421246,61.1246898,"7501 upper o'malley rd, anchorage, ak 99507, usa"
"Cheney Lake B&B","(at Baxter) 907/337-4391, 888/337-4391","6333 Colgate Dr","Anchorage","AK","(GF),(NS),(GO)",NA,2002,"Accommodations","","6333 Colgate Dr, Anchorage, AK",-149.7622436,61.1991615,"6333 colgate dr, anchorage, ak 99504, usa"
"Gallery B&B","(at 12th) 907/274-2567","1229 'G' St","Anchorage","AK","(GS),(WC),(GO)",NA,2002,"Accommodations","","1229 'G' St, Anchorage, AK",-149.8950018,61.2101291,"1229 g st, anchorage, ak 99501, usa"
"Mad Myrna's","(at Fairbanks) 907/276-9762 3pm-3am, noon-close Sun","530 E 5th Ave","Anchorage","AK","(MW),(NH),(D),(F),(S)",NA,2002,"Bars","","530 E 5th Ave, Anchorage, AK",-149.8736809,61.2173351,"mad myrna's, 530 e 5th ave, anchorage, ak 99501, usa"
"Raven","907/276-9672 1pm-3am","708 E 4th St","Anchorage","AK","(MW),(NH),(WC)",NA,2002,"Bars","","708 E 4th St, Anchorage, AK",-149.8700181,61.218168,"708 e 4th ave, anchorage, ak 99501, usa"
"At Last a Deli","(at Arctic Blvd) 907/563-3354 7:30am-6pm, 11am-4pm Sat, clsd Sun","701 W 36th Ave","Anchorage","AK","",NA,2002,"Restaurants","","701 W 36th Ave, Anchorage, AK",-149.8964522,61.1888804,"701 w 36th ave, anchorage, ak 99503, usa"
"China Lights","Eagle River 11:30am-10pm","12110 Business Blvd","Anchorage","AK","",NA,2002,"Restaurants","","12110 Business Blvd, Anchorage, AK",-149.5698511,61.330285,"12110 business blvd, eagle river, ak 99577, usa"
"Garcia's","(next to Safeway), Eagle River 907/694-8600 11:30am-10:30pm, noon-midnight wknds, Mexican","1901 Business Blvd","Anchorage","AK","",NA,2002,"Restaurants","","1901 Business Blvd, Anchorage, AK",-149.5738601,61.3270555,"business blvd, anchorage, ak 99577, usa"
"Kodiak Kafe & Dinner House","(btwn Cordova & Barrow) 907/258-5233 brkfst, lunch & dinner","225 E 5th Ave","Anchorage","AK","",NA,2002,"Restaurants","","225 E 5th Ave, Anchorage, AK",-149.880157,61.2177809,"225 e 5th ave, anchorage, ak 99501, usa"
"O'Brady's Burgers & Brew","(in Chugach Sq) 907/338-1080 11am-midnight, noon-10pm Sun; also at 800 E Dimond (in Dimon Ctr), 907/344-8033","6901 E Tudor Rd","Anchorage","AK","",NA,2002,"Restaurants","","6901 E Tudor Rd, Anchorage, AK",-149.7503016,61.1821371,"6901 e tudor rd, anchorage, ak 99507, usa"
"Simon & Seafort's","(btwn 4th & 5th) 907/274-3502 lunch weekdays, dinner nightly, seafood & prime rib, full bar","420 'L' St","Anchorage","AK","",NA,2002,"Restaurants","","420 'L' St, Anchorage, AK",-149.9043855,61.2179832,"420 l st, anchorage, ak 99501, usa"
"Capri Cinema","(at Dale) 907/561-0064, 907/275-3799 often shows lgbt & alternative films","3425 E Tudor","Anchorage","AK","",NA,2002,"Entertainment & Recreation","","3425 E Tudor, Anchorage, AK",-149.8158911,61.1818125,"3425 e tudor rd, anchorage, ak 99507, usa"
"Cyrano's Bookstore & Cafe","(btwn 1st & 5th) 907/274-2499 11am-10pm, from 10am summer, clsd Mon, open later on wknds","413 'D' St","Anchorage","AK","(F),(S),(BW),(WC)",NA,2002,"Bookstores","","413 'D' St, Anchorage, AK",-149.889225,61.2182137,"413 d st, anchorage, ak 99501, usa"
"Stonewall'd","(btwn Eagle & Fairbanks St) 907/276-1992 11am-7pm, clsd Mon, cards, gifts, T-shirts, books & more","528 E 5th Ave","Anchorage","AK","",NA,2002,"Retail Shops","","528 E 5th Ave, Anchorage, AK",-149.8739295,61.2173522,"528 e 5th ave, anchorage, ak 99501, usa"
"Ace's","907/522-1987","305 W Dimond Blvd","Anchorage","AK","",NA,2002,"Erotica","","305 W Dimond Blvd, Anchorage, AK",-149.8847859,61.1449806,"305 w dimond blvd, anchorage, ak 99515, usa"
"Swingers Books & Gifts","(at Arctic) 907/561-5039","710 W Northern Lights Blvd","Anchorage","AK","",NA,2002,"Erotica","","710 W Northern Lights Blvd, Anchorage, AK",-149.897326,61.1951308,"710 w northern lights blvd, anchorage, ak 99503, usa"
"Alaska Sea Arch Retreats","907/260-1942 seasonal, unique accommodations on Kenai Peninsula","15181 Razor Clam Cir","Anchorage","AK","(GF)",NA,2002,"Accommodations","","15181 Razor Clam Cir, Anchorage, AK",-151.4325895,60.2013124,"15181 razor clam cir, clam gulch, ak 99568, usa"
"Ah, Rose Marie Downtown B&B","(at 3rd Ave) 907/456-2040 full brkfst","302 Cowles St","Fairbanks","AK","(GS),(GO)",NA,2002,"Accommodations","","302 Cowles St, Fairbanks, AK",-147.7299871,64.8438298,"302 cowles st, fairbanks, ak 99701, usa"
"Billie's Backpackers Hostel","907/457-2034 B&B, hostel & campsites","2895 Mack Rd","Fairbanks","AK","(GF),(F)",NA,2002,"Accommodations","","2895 Mack Rd, Fairbanks, AK",-147.7868655,64.8593388,"2895 mack blvd, fairbanks, ak 99709, usa"
"Crabtree Guest House","907/451-6501 kitchens, shared baths","724 College Rd","Fairbanks","AK","(M)",NA,2002,"Accommodations","","724 College Rd, Fairbanks, AK",-147.7237825,64.8592874,"724 college rd, fairbanks, ak 99701, usa"
"Fairbanks Hotel","(btwn Cushman & Lacey) 907/456-6411, 888/329-4685 recently restored to art deco style","517 3rd Ave","Fairbanks","AK","(GF),(GO)",NA,2002,"Accommodations","","517 3rd Ave, Fairbanks, AK",-147.7182478,64.8428654,"517 3rd ave, fairbanks, ak 99701, usa"
"Palace Saloon","(at Alaskaland) 907/456-5960, 907/456-5964 10pm-3am Fri-Sat (seasonal), gay after 11pm Fri-Sat only","3175 College Rd","Fairbanks","AK","(GF),(D),(S)",NA,2002,"Bars","","3175 College Rd, Fairbanks, AK",-147.7945307,64.8588131,"3175 college rd, fairbanks, ak 99709, usa"
"Club Galaxy","907/451-7625 8pm-3:30am Fri-Sat, eclectic club, live shows","150 Farmers Extension Loop Rd","Fairbanks","AK","(GF),(D),(A),(E),(WC)",NA,2002,"Nightclubs","","150 Farmers Extension Loop Rd, Fairbanks, AK",-147.7956293,64.8255627,"hill rd, fairbanks, ak 99709, usa"
"Into the Woods Bookshop","907/479-7701 noon-midnight, from 6pm Mon-Tue, new/used titles, also cafe","3560 College Rd","Fairbanks","AK","(E),(WC)",NA,2002,"Bookstores","","3560 College Rd, Fairbanks, AK",-147.8099889,64.856446,"3560 college rd, fairbanks, ak 99709, usa"
"Fantasyland Video","907/488-0879 24hrs","1765 Richardson Hwy","Fairbanks","AK","",NA,2002,"Erotica","","1765 Richardson Hwy, Fairbanks, AK",-147.5150194,64.7879329,"1765 richardson hwy, north pole, ak 99705, usa"
"Island Watch B&B","(at W Hill Rd) 907/235-2265 full brkfst, kitchens","4241 Claudia St","Homer","AK","(GF),(NS),(WC)",NA,2002,"Accommodations","","4241 Claudia St, Homer, AK",-151.5819032,59.6513336,"4241 claudia st, homer, ak 99603, usa"
"The Shorebird Guest House","907/235-2107 cottage rental, beach access","4774 Kachemak Dr","Homer","AK","(*),(GS),(WC)",NA,2002,"Accommodations","","4774 Kachemak Dr, Homer, AK",-151.4421403,59.6609872,"4774 kachemak dr, homer, ak 99603, usa"
"Skyline B&B","907/235-3823 full brkfst, hot tub","63540 Skyline Dr","Homer","AK","(GF),(GO)",NA,2002,"Accommodations","","63540 Skyline Dr, Homer, AK",-151.4833927,59.6768732,"63540 skyline dr, homer, ak 99603, usa"
"Alaskan Suites Jeneau","907/789-3772, 888/658-6328 extended stay suites","2141-5 Crowhill Dr","Juneau","AK","(GF),(NS)",NA,2002,"Accommodations","","2141-5 Crowhill Dr, Juneau, AK",-134.4056578,58.2812438,"2141 crow hill dr, douglas, ak 99824, usa"
"Pearson's Pond Luxury Inn","907/789-3772, 888/658-6328 B&B resort & spa","4541 Sawa Circle","Juneau","AK","(GF),(NS)",NA,2002,"Accommodations","","4541 Sawa Circle, Juneau, AK",-134.5901593,58.4002068,"4541 sawa cir, juneau, ak 99801, usa"
"Inn at the Waterfront","907/586-2050 5pm-9pm, full bar","455 S Franklin St","Juneau","AK","",NA,2002,"Restaurants","","455 S Franklin St, Juneau, AK",-134.400941,58.297064,"455 s franklin st, juneau, ak 99801, usa"
"Anchor Inn by the Sea","907/247-7117, 800/928-3308","4672 S Tongass Hwy","Ketchikan","AK","(GF),(NS)",NA,2002,"Accommodations","","4672 S Tongass Hwy, Ketchikan, AK",-131.5567961,55.2995159,"4672 s tongass hwy, ketchikan, ak 99901, usa"
"Millar Street House","907/225-1258, 800/287-1607 also kayak tours","1430 Millar St","Ketchikan","AK","(GF)",NA,2002,"Accommodations","","1430 Millar St, Ketchikan, AK",-131.660324,55.347439,"1430 millar st, ketchikan, ak 99901, usa"
"A Crescent Harbor Hideaway","907/747-4900 restored historic waterfront home, wildlife & marine tours","709 Lincoln St","Sitka","AK","(GF)",NA,2002,"Accommodations","","709 Lincoln St, Sitka, AK",-135.327029,57.0513057,"709 lincoln st, sitka, ak 99835, usa"
"Backdoor Cafe","(behind 'Old Harbor Books' on Lincoln St) 907/747-8856 7am-5pm, 9am-3pm Sun","104 Barracks","Sitka","AK","",NA,2002,"Cafes","","104 Barracks, Sitka, AK",-135.3367862,57.0499056,"104 barracks st, sitka, ak 99835, usa"
"Otter Place Gifts","907/747-3217 9am-6pm, local gifts & souvenirs","336 Lincoln St","Sitka","AK","(GO)",NA,2002,"Retail Shops","","336 Lincoln St, Sitka, AK",-135.3335375,57.0505249,"336 lincoln st, sitka, ak 99835, usa"
"The Airport Video (Adult Resort)","(exit Crimson Rd off I-60 E, 30 min from Phoenix) 480/380-9843 24hrs, swimming, sauna","10145 E Apache Tr","Apache Junction","AZ","(MW),(SW),(AYOR)",NA,2002,"Erotica","","10145 E Apache Tr, Apache Junction, AZ",-111.6114659,33.4145398,"10145 e apache trail, apache junction, az 85120, usa"
"102-A Premier B&B","520/432-5424 full-service B&B, mtn views","102 Tombstone Canyon","Bisbee","AZ","(GS),(GO)",NA,2002,"Accommodations","","102 Tombstone Canyon, Bisbee, AZ",-109.9184483,31.4412938,"102 tombstone canyon, bisbee, az 85603, usa"
"St Elmo's","520/432-5578 10am-1am, live bands Fri-Sat","36 Brewery Gulch Ave","Bisbee","AZ","(GF)",NA,2002,"Bars","","36 Brewery Gulch Ave, Bisbee, AZ",-109.9133583,31.4485895,"36 brewery gulch, bisbee, az 85603, usa"
"The Lariat Saloon","(at 95) 520/758-8479 10am-1am","1161 Hancock Rd","Bullhead City","AZ","(MW),(NH),(MR),(WC)",NA,2002,"Bars","","1161 Hancock Rd, Bullhead City, AZ",-114.6073171,35.1083049,"1161 hancock rd, bullhead city, az 86442, usa"
"Seasons Party Shoppe","(on Rte 89-A, N of 260) 520/649-1747 10am-5pm, clsd Sun, pride items, party supplies, costumes","895 S Main St","Cottonwood","AZ","(GO)",NA,2002,"Retail Shops","","895 S Main St, Cottonwood, AZ",-112.0042517,34.7231494,"895 s main st, cottonwood, az 86326, usa"
"Northern Arizona Rainbow Community Center","520/774-6416 serving northern AZ, call for hrs","1300 S Milton Rd","Flagstaff","AZ","",NA,2002,"Info Lines & Services","","1300 S Milton Rd, Flagstaff, AZ",-111.6608241,35.1877208,"1300 s milton rd, flagstaff, az 86001, usa"
"Hotel Monte Vista","520/779-6971, 800/545-3068 historic 1927 lodging, full bar","100 N San Francisco St","Flagstaff","AZ","(GF)",NA,2002,"Accommodations","","100 N San Francisco St, Flagstaff, AZ",-111.6473011,35.1982704,"100 n san francisco st, flagstaff, az 86001, usa"
"Charlie's","(at Aspen) 520/779-1919 11am-1am","23 N Leroux","Flagstaff","AZ","(GF),(F),(WC)",NA,2002,"Bars","","23 N Leroux, Flagstaff, AZ",-111.6490426,35.1984359,"23 n leroux st, flagstaff, az 86001, usa"
"Monte Vista Lounge","(at Aspen) 520/774-2403 noon-1am, from 11am Fri-Sun","100 N San Francisco St","Flagstaff","AZ","(GF),(E)",NA,2002,"Bars","","100 N San Francisco St, Flagstaff, AZ",-111.6473011,35.1982704,"100 n san francisco st, flagstaff, az 86001, usa"
"Cafe Olé","(at Butler) 520/774-8272 lunch & dinner, clsd wknds","119 S San Francisco","Flagstaff","AZ","(BW),(WC)",NA,2002,"Restaurants","","119 S San Francisco, Flagstaff, AZ",-111.6494202,35.1947542,"119 s san francisco st, flagstaff, az 86001, usa"
"Pasto","(at San Francisco) 520/779-1937 dinner only, Italian","19 E Aspen","Flagstaff","AZ","(BW),(WC)",NA,2002,"Restaurants","","19 E Aspen, Flagstaff, AZ",-111.6481046,35.1981305,"19 e aspen ave, flagstaff, az 86001, usa"
"Aradia Books","(at Beaver) 520/779-3817 10:30am-5:30pm, clsd Sun, lesbian/feminist, some gay men's titles","116 W Cottage","Flagstaff","AZ","",NA,2002,"Bookstores","","116 W Cottage, Flagstaff, AZ",-111.6517029,35.1962402,"116 w cottage ave, flagstaff, az 86001, usa"
"Karen's Adult Bookstore & Ladies Lingerie","520/763-5600","4350 Hwy 95 #1","Fort Mohave","AZ","",NA,2002,"Erotica","","4350 Hwy 95 #1, Fort Mohave, AZ",-114.5980389,35.0305379,"4350 s hwy 95 #1, fort mohave, az 86426, usa"
"Pleasure Palace Adult Bookstore","520/565-5600","3583 US Hwy 68 #7","Golden Valley","AZ","",NA,2002,"Erotica","","3583 US Hwy 68 #7, Golden Valley, AZ",-114.2182234,35.2221208,"az-68, golden valley, az, usa"
"Kings Inn Best Western","520/753-6101, 800/750-6101 also bakery","2930 E Andy Devine","Kingman","AZ","(GF),(SW),(F),(WC)",NA,2002,"Accommodations","","2930 E Andy Devine, Kingman, AZ",-114.0147372,35.2119119,"2930 e andy devine ave, kingman, az 86401, usa"
"Castle Megastore","480/986-6114 24hrs","8315 E Apache Tr","Mesa","AZ","",NA,2002,"Erotica","","8315 E Apache Tr, Mesa, AZ",-111.6518659,33.4148495,"8315 e apache trail, mesa, az 85207, usa"
"Eros Adult Emporium","520/768-6300","10185 Harbor Ave","Mohave Valley","AZ","",NA,2002,"Erotica","","10185 Harbor Ave, Mohave Valley, AZ",-114.6040337,34.8607024,"10185 harbor ave, mohave valley, az 86440, usa"
