"description","streetaddress","city","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","state","unclear_address"
"(swim pool) Lobster Pot (Dinner reservations required) & Anchor Room Lounge best during cocktail hour or late. Overlooks Magens Bay- a 10 min. ride from town. Call (809) 774-4391 for reservations","","Charlotte Amalie, St. Thomas","(M),(H),(PE),(R),(*)","Hotels,Restaurant,Bars/Clubs",1977,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(Natives) (Some G) just off Waterfront Hwy. in Creques Alley No. 3 (behind the Carousel)","","Charlotte Amalie, St. Thomas","(M),(D),(G)","Bars/Clubs",1977,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(natives) (some G) just off Waterfront  Hwy. in Creques Alley No. 3 (behind the Carousel)","","Charlotte Amalie, St. Thomas","(M),(D),(G)","Bars/Clubs",1976,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"('Sing along') (Best late) Below the Safari","","Charlotte Amalie, St. Thomas","(OC),(E),(*)","Bars/Clubs",1979,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"","1 Nelike Gade","Charlotte Amalie, St. Thomas","(*)","Bars/Clubs",1973,"","1 Nelike Gade, ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"","1 Nelike Gade","Charlotte Amalie, St. Thomas","(*)","Bars/Clubs",1971,"","1 Nelike Gade, ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"","1 Nelike Gade","Charlotte Amalie, St. Thomas","(*)","Bars/Clubs",1972,"","1 Nelike Gade, ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"('Sing along')(Best late) Below the Safari","","Charlotte Amalie, St. Thomas","(*),(OC),(E)","Bars/Clubs",1978,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"box 4986, St. Thomas, V.I.","","Charlotte Amalie, St. Thomas","(M),(H)","Hotels",1975,"",", ","-64.911835",18.318005,"unclear_coded_by_hand","Found",NA,NA,NA
"Box 4986, St. Thomas, V.I.","","Charlotte Amalie, St. Thomas","(M)","Hotels",1974,"",", ","-64.911835",18.318005,"unclear_coded_by_hand","Found",NA,NA,NA
"Solburg Tel: 809-774-0063","","Charlotte Amalie, St. Thomas","(H),(*)","Hotels",1978,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"Solburg Tel: (809) 774-0063","","Charlotte Amalie, St. Thomas","(H),(*)","Hotels",1979,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"Solburg Tel: (809)774-0063","","Charlotte Amalie, St. Thomas","(H)","Hotels",1980,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"Centrally located","","Charlotte Amalie, St. Thomas","(H)","Hotels",1975,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(Private beach $2.00 admn. Bar is (M) days, but * nights)","","Charlotte Amalie, St. Thomas","(M),(H),(*)","Hotels,Bars/Clubs",1975,"",", ","-64.919808",18.320466,"unclear_coded_by_hand","Found",NA,NA,NA
"(Private beach, $2 adm. charge. Bar is (M) days but * nights)","","Charlotte Amalie, St. Thomas","(M),(*),(H)","Hotels,Bars/Clubs",1974,"",", ","-64.919808",18.320466,"unclear_coded_by_hand","Found",NA,NA,NA
"($3.00 adm. to (P) Beach*) Bar is (M) days but good late. 10 min. drive from town at E. end of harbor. Tel: 809-774-2650","","Charlotte Amalie, St. Thomas","(M),(H),(R),(P),(*)","Bars/Clubs,Hotels,Restaurant",1978,"",", ","-64.919808",18.320466,"unclear_coded_by_hand","Found",NA,NA,NA
"($3. adm. to (P) Beach*) Bar is (M) days but * late. 10 min. drive from town at E. end of harbor. Call (809) 774-2650","","Charlotte Amalie, St. Thomas","(M),(H),(R),(*),(P)","Bars/Clubs,Hotels,Restaurant",1977,"",", ","-64.919808",18.320466,"unclear_coded_by_hand","Found",NA,NA,NA
"($3 adm. to (P) Beach*) Bar is (M) days but good late. 10 min. drive from town at E. end of harbor. Tel: (809) 774-2650","","Charlotte Amalie, St. Thomas","(M),(H),(R),(*)","Hotels,Restaurant,Bars/Clubs",1980,"",", ","-64.919808",18.320466,"unclear_coded_by_hand","Found",NA,NA,NA
"($3.00 adm. to (P Beach*) Bar is (M) days but * late. 10 min. drive from town at E. end of Charlotte Amalie Harbor. Call 774-2650 for reservations","","Charlotte Amalie, St. Thomas","(M),(H),(R),(P),(*)","Bars/Clubs,Hotels,Restaurant",1976,"",", ","-64.919808",18.320466,"unclear_coded_by_hand","Found",NA,NA,NA
"($3. adm. to (P) Beach*) Bar is (M) says but good late. 10 min. drive from town at E. end of harbor. Tel:(809) 774-2650","","Charlotte Amalie, St. Thomas","(M),(H),(R),(P),(*)","Bars/Clubs,Hotels,Restaurant",1979,"",", ","-64.919808",18.320466,"unclear_coded_by_hand","Found",NA,NA,NA
"discretion","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1975,"",", ","-64.894095",18.338097,"unclear_coded_by_hand","Found",NA,NA,NA
"discretion","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1977,"",", ","-64.894095",18.338097,"unclear_coded_by_hand","Found",NA,NA,NA
"discretion","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1976,"",", ","-64.894095",18.338097,"unclear_coded_by_hand","Found",NA,NA,NA
"discretion","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1979,"",", ","-64.894095",18.338097,"unclear_coded_by_hand","Found",NA,NA,NA
"discretion","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1978,"",", ","-64.894095",18.338097,"unclear_coded_by_hand","Found",NA,NA,NA
"discretion","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1980,"",", ","-64.894095",18.338097,"unclear_coded_by_hand","Found",NA,NA,NA
"(Lunch) Center of town on the Waterfront","","Charlotte Amalie, St. Thomas","(R)","Restaurant",1978,"",", ","-64.932498 (",18.340511,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"","14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1975,"","14 King St., ","-64.881535",17.712475,"unclear_coded_by_hand","Found",NA,NA,NA
"","14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1974,"","14 King St., ","-64.881535",17.712475,"unclear_coded_by_hand","Found",NA,NA,NA
"","14 King Street","Frederiksted, St. Croix","(M)","Bars/Clubs",1977,"","14 King Street, ","-64.881535",17.712475,"unclear_coded_by_hand","Found",NA,NA,NA
"","14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1980,"","14 King St., ","-64.881535",17.712475,"unclear_coded_by_hand","Found",NA,NA,NA
"","14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1976,"","14 King St., ","-64.881535",17.712475,"unclear_coded_by_hand","Found",NA,NA,NA
"","14 King St.","Frederiksted, St. Croix","","Bars/Clubs",1972,"","14 King St., ","-64.881535",17.712475,"unclear_coded_by_hand","Found",NA,NA,NA
"","14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1978,"","14 King St., ","-64.881535",17.712475,"unclear_coded_by_hand","Found",NA,NA,NA
"","14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1979,"","14 King St., ","-64.881535",17.712475,"unclear_coded_by_hand","Found",NA,NA,NA
"","14 King St.","Frederiksted, St. Croix","","Bars/Clubs",1971,"","14 King St., ","-64.881535",17.712475,"unclear_coded_by_hand","Found",NA,NA,NA
"","14 King St.","Frederiksted, St. Croix","","Bars/Clubs",1973,"","14 King St., ","-64.881535",17.712475,"unclear_coded_by_hand","Found",NA,NA,NA
"(Some B)(Disco) On Tronpeter (an exit of Drake's Passage_ opp. & just above John Silver's on Vimmelskaft Gade (back street)","","Charlotte Amalie, St. Thomas","(B),(D),(AYOR),(*)","Bars/Clubs",1980,"",", ","-64.933336",18.343002,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"On Tronpeter (an extension of Drake's Passage) opp. & just above the 'Sandbox' on Vimmelskafts Gade (Back Street)","","Charlotte Amalie, St. Thomas","(D),(*)","Bars/Clubs",1977,"",", ","-64.933336",18.343002,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"On Tronpeter (an extension of Drake's Passage) opp. & just above the Sandbox on Vimmelskafts Gade (Back St.)","","Charlotte Amalie, St. Thomas","(D),(*)","Bars/Clubs",1976,"",", ","-64.933336",18.343002,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(Some B) On Trompeter (an ext. of Drake's Passage) opp. & just above the 'Sandbox' on Vimmelskafts Gade (Back Street)","","Charlotte Amalie, St. Thomas","(M),(B),(D),(*)","Bars/Clubs",1978,"",", ","-64.933336",18.343002,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(Some B) On Tronpeter (an exit of DRake's Passage) opp. & just above the 'Sandbox' on Vimmelskafts Gade (Back Street)","","Charlotte Amalie, St. Thomas","(M),(B),(D),(*)","Bars/Clubs",1979,"",", ","-64.933336",18.343002,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"Veterans Drive","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1972,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"Veterans Drive","","Charlotte Amalie, St. Thomas","(R),(M)","Restaurant",1973,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"Veterans Drive","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1974,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"Veterans Drive","","Charlotte Amalie, St. Thomas","(R),(M)","Restaurant",1971,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"Veterans Drive","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1975,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(Very M) On Waterfront betw. Creques Alleys 1 & 2","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1980,"",", ","-64.939312",18.338567,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(Very M) (Mostly sailors) On Waterfront betw. Creques Alleys 1 & 2","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1978,"",", ","-64.939312",18.338567,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(mostly sailors) On Waterfront betw. Creques Aleys No. 1 & No. 2","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1976,"",", ","-64.939312",18.338567,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(Very M) (Mostly sailors) On Waterfront betw. Creques Alleys 1 & 2","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1979,"",", ","-64.939312",18.338567,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(mostly sailors) On Waterfront betw. Creques Alleys No.'s 1 & 2","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1977,"",", ","-64.939312",18.338567,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1978,"","1 Queens Cross, ","-64.701338",17.742735,"unclear_coded_by_hand","Found",NA,NA,NA
"","1 Queens Cross","Christiansted, St. Croix","(*)","Bars/Clubs",1973,"","1 Queens Cross, ","-64.701338",17.742735,"unclear_coded_by_hand","Found",NA,NA,NA
"","1 Queens Cross","Christiansted, St. Croix","(*)","Bars/Clubs",1972,"","1 Queens Cross, ","-64.701338",17.742735,"unclear_coded_by_hand","Found",NA,NA,NA
"","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1980,"","1 Queens Cross, ","-64.701338",17.742735,"unclear_coded_by_hand","Found",NA,NA,NA
"","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1977,"","1 Queens Cross, ","-64.701338",17.742735,"unclear_coded_by_hand","Found",NA,NA,NA
"","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1975,"","1 Queens Cross, ","-64.701338",17.742735,"unclear_coded_by_hand","Found",NA,NA,NA
"","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1976,"","1 Queens Cross, ","-64.701338",17.742735,"unclear_coded_by_hand","Found",NA,NA,NA
"","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1979,"","1 Queens Cross, ","-64.701338",17.742735,"unclear_coded_by_hand","Found",NA,NA,NA
"","1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1974,"","1 Queens Cross, ","-64.701338",17.742735,"unclear_coded_by_hand","Found",NA,NA,NA
"","1 Queens Cross","Christiansted, St. Croix","(*)","Bars/Clubs",1971,"","1 Queens Cross, ","-64.701338",17.742735,"unclear_coded_by_hand","Found",NA,NA,NA
"Box 548 St. Thomas, V.I. 00801","","Charlotte Amalie, St. Thomas","(H),(R)","Hotels,Restaurant",1975,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1977,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","Found",NA,NA,NA
"","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1978,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","Found",NA,NA,NA
"","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1976,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","Found",NA,NA,NA
"","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1979,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","Found",NA,NA,NA
"","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1975,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","Found",NA,NA,NA
"(AYOR at night)","","Charlotte Amalie, St. Thomas","Cruisy Area","Cruisy Areas",1980,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","Found",NA,NA,NA
"P.O. Box 2205 St. Thomas, V.I. 00801. Tel: (809) 774-2661","","Charlotte Amalie, St. Thomas","(H)","Hotels",1979,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"P.O. Box 2205 St. Thomas, V.I. 00801. Tel: 809-774-2661","","Charlotte Amalie, St. Thomas","(H)","Hotels",1978,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(Mostly natives) Creques Alley No. 3, betw. Waterfront & Main St. (Dronningsgens Gade)","","Charlotte Amalie, St. Thomas","(M),(RT)","Bars/Clubs",1978,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(mostly natives) next to Jerry's Place on Creques Alley No. 3 bewt. Waterfront & Main St. (Dronningsgens Gade)","","Charlotte Amalie, St. Thomas","(M),(RT)","Bars/Clubs",1976,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(Mostly natives) Creques Alley No. 3 betw. Waterfront & Main St. (Dronningsgens Gade)","","Charlotte Amalie, St. Thomas","(M),(RT)","Bars/Clubs",1980,"",", ","-64.93534",18.339578,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
