"ID","title","amenityfeatures","description","streetaddress","unclear_address","city","state","type","uncleartype","notes","Year","Last.Modified","full.address","lon","lat","geoAddress","status"
4253,"Network","","08820 (908) 754-2288, 754-1924 (fax) regional, covers central East Coast","2 Julie Dr. Edison",NA,"New York City","NY","Publications","","",1996,"6/6/2023 3:01pm","2 Julie Dr. Edison ,  New York City ,  NY",-74.3757459,40.5966902,"2 julie dr, edison, nj 08820, usa","Geocoded"
5357,"The Network","","08820 (908) 754-2288, regional, covers central East Coast","2 Julie Dr.",NA,"Edison","NJ","Publications","","",1996,"6/6/2023 3:03pm","2 Julie Dr. ,  Edison ,  NJ",-74.3757459,40.5966902,"2 julie dr, edison, nj 08820, usa","Geocoded"
3810,"West End Cafe","","361-2020, lunch & dinner, American","2 N. Euclid Ave.",NA,"St. Louis","MO","Restaurants & Cafes","","",1996,"4/25/2023 9:20pm","2 N. Euclid Ave. ,  St. Louis ,  MO",-90.261994,38.640477,"2 n euclid ave, st. louis, mo 63108, usa","Geocoded"
3105,"Poor Richard's Tavern","","646-4722, 5:30pm-9:30pm, seasonal","2 Pine Hill Rd.",NA,"Ogunquit","ME","Restaurants & Cafes","","",1996,"4/25/2023 9:20pm","2 Pine Hill Rd. ,  Ogunquit ,  ME",-70.5977285,43.2316892,"2 pine hill rd n, cape neddick, me 03902, usa","Geocoded"
3171,"Donna's Coffee Bar","(BW)","385-0180","2 W. Madison",NA,"Baltimore","MD","Restaurants & Cafes","","",1996,"4/25/2023 9:20pm","2 W. Madison ,  Baltimore ,  MD",-76.6160763,39.2985819,"2 w madison st, baltimore, md 21201, usa","Geocoded"
3251,"Icarus","","426-1790","3 Appleton St.",NA,"Boston","MA","Restaurants & Cafes","","",1996,"4/25/2023 9:20pm","3 Appleton St. ,  Boston ,  MA",-71.0697695,42.3466956,"3 appleton st, boston, ma 02116, usa","Geocoded"
207,"Cedarberry Cottage B&B","(GF)","253-6115/(800)590-2424 hot tubs","3 Kings Hwy.",NA,"Eureka Springs","AR","Accommodations","","",1996,"4/25/2023 9:20pm","3 Kings Hwy. ,  Eureka Springs ,  AR",-93.7392889,36.4006499,"eureka springs, ar, usa","Geocoded"
6026,"Sarducci's","(WC)","223-0229 Italian; also full bar","3 Main St.",NA,"Montpelier","VT","Restaurants & Cafes","","",1996,"4/25/2023 9:20pm","3 Main St. ,  Montpelier ,  VT",-72.5765693,44.2577039,"3 main st, montpelier, vt 05602, usa","Geocoded"
3125,"Communiques","","773-5181, 10am-6pm, cards, gifts & clothing","3 Moulton St.",NA,"Portland","ME","Bookstores/Retail Shops","","",1996,"4/25/2023 9:20pm","3 Moulton St. ,  Portland ,  ME",-70.2526999,43.6564851,"3 moulton st, portland, me 04101, usa","Geocoded"
3118,"Underground","(*),(MW),(D),(S)","773-3315 4pm-1am","3 Spring St.",NA,"Portland","ME","Bars","","",1996,"4/25/2023 9:20pm","3 Spring St. ,  Portland ,  ME",-70.2574098,43.6562263,"3 spring st, portland, me 04101, usa","Geocoded"
3389,"Richmond Inn","(MW)","487-9193","4 Conant St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","4 Conant St. ,  Provincetown ,  MA",-70.1916503,42.0464954,"historic district, 4 conant st, provincetown, ma 02657, usa","Geocoded"
3418,"Atlantic House Hotel","(*),(M),(D)","(The Big Room) 487-3821 9pm-1am","4 Masonic Pl.",NA,"Provincetown","MA","Bars","","",1996,"6/6/2023 3:05pm","4 Masonic Pl. ,  Provincetown ,  MA",-70.1887645,42.0499565,"4 masonic pl, provincetown, ma 02657, usa","Geocoded"
1040,"Motorwerks","(M),(NH),(L)","864-7208 noon-2am","4 Valencia St.",NA,"San Francisco","CA","Bars","","",1996,"4/25/2023 9:20pm","4 Valencia St. ,  San Francisco ,  CA",-122.4227604,37.7721289,"4 valencia st, san francisco, ca 94103, usa","Geocoded"
2357,"Sideout","(*),(GF),(F),(E),(WC)","822-0082 noon-2am","4-1330 Kuhio Hwy.",NA,"Kapaa, Kauai","HI","Bars","","",1996,"4/25/2023 9:20pm","4-1330 Kuhio Hwy. ,  Kapaa, Kauai ,  HI",-159.3185187,22.0750691,"4-1330 kuhio hwy, kapaʻa, hi 96746, usa","Geocoded"
1584,"Norwich Book & Video","","887-5058","5 Falls Ave.",NA,"Norwich","CT","Erotica","","",1996,"4/25/2023 9:20pm","5 Falls Ave. ,  Norwich ,  CT",-72.0816745,41.524535,"5 falls ave, norwich, ct 06360, usa","Geocoded"
5492,"The Arcade","(*),(M),(D),(A),(K),(S),(YC),(WC)","722-5656 4pm-2:30am, til 3am Fri","5 Liberty St.",NA,"Charleston","SC","Bars","","",1996,"4/25/2023 9:20pm","5 Liberty St. ,  Charleston ,  SC",-79.9350537,32.782803,"beatty center for the school of business, 5 liberty st, charleston, sc 29401, usa","Geocoded"
4030,"Stage Left","(*)","828-4444 5:30pm-2am, from 4:30pm Sun; also full bar","5 Livingston Ave.",NA,"New Brunswick","NJ","Restaurants & Cafes","","",1996,"4/25/2023 9:20pm","5 Livingston Ave. ,  New Brunswick ,  NJ",-74.4438913,40.4936737,"5 livingston ave, new brunswick, nj 08901, usa","Geocoded"
4832,"Why Not Café","(M),(D),(S)","8:30pm-1am, til 2:30am Fri-Sat, unverified '96","5 N. Murray St.",NA,"Springfield","OH","Bars","","",1996,"4/25/2023 9:20pm","5 N. Murray St. ,  Springfield ,  OH",-83.8005152,39.9243756,"5 n murray st, springfield, oh 45503, usa","Geocoded"
2452,"Lava Hot Springs Inn","(GF),(WC)","776-5830 full brkfst, hot tubs, mineral pool","5 Portneuf Ave.",NA,"Lava Hot Springs","ID","","","",1996,"4/25/2023 9:20pm","5 Portneuf Ave. ,  Lava Hot Springs ,  ID",-112.0131295,42.6200072,"portneuf st, lava hot springs, id 83246, usa","Geocoded"
3709,"Independence Place","(MW),(D),(S)","334-2939 9pm-1am, from 7pm Fri-Sat, clsd Sun, shows on Sat","5 S. Henderson St.",NA,"Cape Girardeau","MO","Bars","","",1996,"4/25/2023 9:20pm","5 S. Henderson St. ,  Cape Girardeau ,  MO",-89.534041,37.3046278,"5 s henderson ave, cape girardeau, mo 63703, usa","Geocoded"
3801,"Magnolia's","(*),(M),(F),(S),(WC)","652-6500 5pm-3am, dinner nightly","5 S. Vandeventer",NA,"St. Louis","MO","Bars","","",1996,"4/25/2023 9:20pm","5 S. Vandeventer ,  St. Louis ,  MO",-90.2421163,38.6358874,"5 s vandeventer ave, st. louis, mo 63108, usa","Geocoded"
3135,"Treasure Chest","","873-7411","5 Sanger",NA,"Waterville","ME","Erotica","","",1996,"4/25/2023 9:20pm","5 Sanger ,  Waterville ,  ME",-69.633178,44.5567339,"5 sanger ave, waterville, me 04901, usa","Geocoded"
3411,"Victoria House","(MW)","487-4455","5 Standish St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","5 Standish St. ,  Provincetown ,  MA",-70.1859761,42.0525478,"historic district, 5 standish st, provincetown, ma 02657, usa","Geocoded"
3403,"Shiremax Inn","(M)","487-1233; also 2 apts.","5 Tremont St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","5 Tremont St. ,  Provincetown ,  MA",-70.1929061,42.0449344,"historic district, 5 tremont st, provincetown, ma 02657, usa","Geocoded"
5287,"Karla's","(E)","862-2612 lunch, dinner & late night brkfst; also full bar","5 W. Mechanic St.",NA,"New Hope","PA","Restaurants & Cafes","","",1996,"4/25/2023 9:20pm","5 W. Mechanic St. ,  New Hope ,  PA",-74.9507655,40.3618176,"5 w mechanic st, new hope, pa 18938, usa","Geocoded"
3379,"Mayflower Apartments & Cottages","(GF)","487-1916","6 Bangs St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","6 Bangs St. ,  Provincetown ,  MA",-70.1800227,42.0564658,"historic district, 6 bangs st, provincetown, ma 02657, usa","Geocoded"
6486,"Condado Inn","(*),(MW)","Condado 724-7145 guesthouse w/ terrace restaurant & lounge","6 Condado Ave.",NA,"San Juan","PR","Accommodations","","",1996,"6/6/2023 4:27pm","6 Condado Ave. ,  San Juan ,  PR",-66.0714214,18.456751,"6 condado ave, san juan, 00907, puerto rico","Geocoded"
3357,"Dexter's Inn","(MW)","487-1911","6 Conwell St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","6 Conwell St. ,  Provincetown ,  MA",-70.1852319,42.0551674,"6 conwell st, provincetown, ma 02657, usa","Geocoded"
3336,"Ampersand Guesthouse","(M)","487-0959 mid-19th century Greek Revival architecture","6 Cottage St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","6 Cottage St. ,  Provincetown ,  MA",-70.1930921,42.0440747,"historic district, 6 cottage st, provincetown, ma 02657, usa","Geocoded"
6106,"Casablanca","(MW),(E),(WC)","648-2040 5pm-2am, 11am-midnight Sun, clsd Mon, innovative American; also full bar","6 E. Grace St.",NA,"Richmond","VA","Restaurants & Cafes","","",1996,"4/25/2023 9:20pm","6 E. Grace St. ,  Richmond ,  VA",-77.4423689,37.5448132,"6 e grace st, richmond, va 23219, usa","Geocoded"
3361,"Elliot House","","487-4029, B&B, full brkfst, central location, priv. gardens","6 Gosnold St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","6 Gosnold St. ,  Provincetown ,  MA",-70.188069,42.0508767,"historic district, 6 gosnold st, provincetown, ma 02657, usa","Geocoded"
212,"Maple Leaf Inn","(GF)","253-6876/(800)372-6542 restored Victorian, full brkfst, hot tubs","6 Kings Hwy.",NA,"Eureka Springs","AR","Accommodations","","",1996,"4/25/2023 9:20pm","6 Kings Hwy. ,  Eureka Springs ,  AR",-93.7392889,36.4006499,"eureka springs, ar, usa","Geocoded"
3114,"The Blackstones","(M),(NH),(WC)","775-2885 4pm-1am","6 Pine St.",NA,"Portland","ME","Bars","","",1996,"4/25/2023 9:20pm","6 Pine St. ,  Portland ,  ME",-70.266826,43.6526354,"6 pine st, portland, me 04101, usa","Geocoded"
1972,"Inn Exile","(M),(K),(V)","582-4144 3pm-2am, til midnight Sun, movie night Sun","6 S. ""J"" St.",NA,"Lake Worth","FL","Bars","","",1996,"4/25/2023 9:20pm","6 S. ""J"" St. ,  Lake Worth ,  FL",-80.056581,26.6086056,"s j st & 6th ave s, lake worth, fl 33460, usa","Geocoded"
3787,"Bacchus","(M),(E),(WC)","531-1109 5pm-1:30am, clsd Sun","6 S. Sarah",NA,"St. Louis","MO","Bars","","",1996,"4/25/2023 9:20pm","6 S. Sarah ,  St. Louis ,  MO",-90.1994042,38.6270025,"st. louis, mo, usa","Geocoded"
3096,"Leisure Inn","(GF)","646-2737 seasonal, B&B guestrooms & apts w/ the quiet charm of old New England","6 School St.",NA,"Ogunquit","ME","Accommodations","","",1996,"4/25/2023 9:20pm","6 School St. ,  Ogunquit ,  ME",-70.5983398,43.2475498,"6 school st, ogunquit, me 03907, usa","Geocoded"
3404,"Six Webster Place","(*),(MW)","487-2266/ (800) 693-2783 1750s B&B, patio","6 Webster Pl.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","6 Webster Pl. ,  Provincetown ,  MA",-70.1890806,42.0510858,"6 webster pl, provincetown, ma 02657, usa","Geocoded"
3351,"Chicago House","(*),(M)","487-0537","6 Winslow St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","6 Winslow St. ,  Provincetown ,  MA",-70.1887667,42.0512993,"historic district, 6 winslow st, provincetown, ma 02657, usa","Geocoded"
4059,"Woolverton Inn","(GF),(WC)","397-0802 full brkfst wknds","6 Woolverton Rd.",NA,"Stockton","NJ","Accommodations","","",1996,"4/25/2023 9:20pm","6 Woolverton Rd. ,  Stockton ,  NJ",-74.9801917,40.4092897,"6 woolverton rd, stockton, nj 08559, usa","Geocoded"
3371,"Heritage House","(MW)","487-3692","7 Center St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","7 Center St. ,  Provincetown ,  MA",-70.1847552,42.0536962,"historic district, 7 center st, provincetown, ma 02657, usa","Geocoded"
3375,"Lady Jane's Inn","(W)","487-3387","7 Central St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","7 Central St. ,  Provincetown ,  MA",-70.1907666,42.0478998,"historic district, 7 central st, provincetown, ma 02657, usa","Geocoded"
1260,"Café Claude","(*),(E)","392-3505 as close to Paris as you can get in SF","7 Claude",NA,"San Francisco","CA","Restaurants & Cafes","","",1996,"4/25/2023 9:20pm","7 Claude ,  San Francisco ,  CA",-122.404517,37.7903324,"7 claude ln, san francisco, ca 94108, usa","Geocoded"
3435,"Napi's","(WC)","487-1145","7 Freeman St.",NA,"Provincetown","MA","Restaurants & Cafes","","",1996,"4/25/2023 9:20pm","7 Freeman St. ,  Provincetown ,  MA",-70.1859761,42.0528826,"historic district, 7 freeman st, provincetown, ma 02657, usa","Geocoded"
3354,"Coat of Arms Guest House","(*),(M)","487-0816 seasonal, mid-Victorian house, located in the heart of Provincetown","7 Johnson St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","7 Johnson St. ,  Provincetown ,  MA",-70.1842552,42.0542111,"historic district, 7 johnson st, provincetown, ma 02657, usa","Geocoded"
3248,"The Venus de Milo","(MW),(D)","421-9595 9pm-2am, gay Wed only","7 Landsowne St.",NA,"Boston","MA","Bars","","",1996,"4/25/2023 9:20pm","7 Landsowne St. ,  Boston ,  MA",-71.0950605,42.3473283,"7 lansdowne st, boston, ma 02215, usa","Geocoded"
206,"Arbour Glen B&B Victorian Inn","(MW)","253-9010/(800)515-4536 historic Victorian home, full brkfst","7 Lema",NA,"Eureka Springs","AR","Accommodations","","",1996,"4/25/2023 9:20pm","7 Lema ,  Eureka Springs ,  AR",-93.7450761,36.4019426,"7 lema st, eureka springs, ar 72632, usa","Geocoded"
41,"Neimans","(MW),(D),(S),(PC)","433-3262 9pm-?","7 S. Joachim St.",NA,"Mobile","AL","Bars","","",1996,"4/25/2023 9:20pm","7 S. Joachim St. ,  Mobile ,  AL",-88.042733,30.6882644,"7 s joachim st, mobile, al 36602, usa","Geocoded"
3413,"Watership Inn","(*),(MW)","487-0094/ (800) 330-9413","7 Winthrop St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","7 Winthrop St. ,  Provincetown ,  MA",-70.1908131,42.0484291,"historic district, 7 winthrop st, provincetown, ma 02657, usa","Geocoded"
3390,"Roomers","(M)","487-3532 seasonal","8 Carver St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","8 Carver St. ,  Provincetown ,  MA",-70.189965,42.0490682,"historic district, 8 carver st, provincetown, ma 02657, usa","Geocoded"
4306,"Pieces","(M),(NH),(V)","(6th Ave) 929-9291 2pm-4am","8 Christopher St.",NA,"New York City","NY","Bars","","",1996,"6/6/2023 4:43pm","8 Christopher St. ,  New York City ,  NY",-74.0001048,40.7338418,"8 christopher st, new york, ny 10014, usa","Geocoded"
3352,"Christopher Inn","(M),(SW)","487-1920","8 Dyer St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","8 Dyer St. ,  Provincetown ,  MA",-70.1828599,42.0553003,"8 dyer st, provincetown, ma 02657, usa","Geocoded"
3545,"Taylors","(GF),(F),(E)","454-4422 11am-2am, til 4am Fri-Sat, from 4pm Sun","8 Ionia",NA,"Grand Rapids","MI","Bars","","",1996,"4/25/2023 9:20pm","8 Ionia ,  Grand Rapids ,  MI",-85.6700541,42.9629985,"8 ionia ave sw, grand rapids, mi 49503, usa","Geocoded"
3407,"Swanberry Inn","(MW)","487-4242/ (800) 847-7926","8 Johnson St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","8 Johnson St. ,  Provincetown ,  MA",-70.1844412,42.0539469,"8 johnson st, provincetown, ma 02657, usa","Geocoded"
5522,"The Castle","(*),(MW),(D),(S),(V),(YC),(PC),(WC)","235-9949 10pm-4am, clsd Mon-Wed","8 Le Grand Blvd.",NA,"Greenville","SC","Bars","","",1996,"4/25/2023 9:20pm","8 Le Grand Blvd. ,  Greenville ,  SC",-82.3681104,34.8361438,"8 legrand blvd, greenville, sc 29607, usa","Geocoded"
3139,"William Page Inn B&B","(GF)","626-1506/ (800) 364-4160 elegantly renovated 1908 home in Historic District, full brkfst","8 Martin St.",NA,"Annapolis","MD","Accommodations","","",1996,"4/25/2023 9:20pm","8 Martin St. ,  Annapolis ,  MD",-76.4866074,38.9793266,"8 martin st, annapolis, md 21401, usa","Geocoded"
3611,"Northland Gay Men's Center","","722-8585","8 N. 2nd Ave. E. Ste. 309",NA,"Duluth","MN","Info Lines & Services","","",1996,"4/25/2023 9:20pm","8 N. 2nd Ave. E. Ste. 309 ,  Duluth ,  MN",-92.0957548,46.7889918,"temple opera block, 8 n 2nd ave e #309, duluth, mn 55802, usa","Geocoded"
1591,"Choices","(M),(D),(E)","949-9380 7pm-1am","8 North Turnpike Rd.",NA,"Wallingford","CT","Bars","","",1996,"4/25/2023 9:20pm","8 North Turnpike Rd. ,  Wallingford ,  CT",-72.8316985,41.4678232,"mallgate plaza shopping center, 8 n turnpike rd, wallingford, ct 06492, usa","Geocoded"
15,"Casey's Gym","(GF)","Hwy. 280, Mountain Brook 870-1779 6am-9pm, til 6pm Sat, noon-6pm Sun","8 Office Park Cir.",NA,"Birmingham","AL","Gyms & Health Clubs","","",1996,"6/6/2023 4:47pm","8 Office Park Cir. ,  Birmingham ,  AL",-86.772011,33.477914,"8 office park cir, birmingham, al 35223, usa","Geocoded"
4046,"Edwards Travel Service","","924-4443/ (800) 669-9692","8 South Tulane St.",NA,"Princeton","NJ","Travel/Tour Operators","","",1996,"4/25/2023 9:20pm","8 South Tulane St. ,  Princeton ,  NJ",-74.6587526,40.3502815,"8 s tulane st, princeton, nj 08542, usa","Geocoded"
5490,"Charleston Columns","(MW)","722-7341 intimate & hospital antebellum lodging in the city's historic district","8 Vanderhorst St.",NA,"Charleston","SC","Accommodations","","",1996,"4/25/2023 9:20pm","8 Vanderhorst St. ,  Charleston ,  SC",-79.9380021,32.7872959,"8 vanderhorst st, charleston, sc 29403, usa","Geocoded"
5290,"Wildflowers","(BYOB)","862-2241 noon-10pm, outdoor dining, seasonal","8 W. Mechanic St.",NA,"New Hope","PA","Restaurants & Cafes","","",1996,"4/25/2023 9:20pm","8 W. Mechanic St. ,  New Hope ,  PA",-74.9509481,40.3621147,"8 w mechanic st, new hope, pa 18938, usa","Geocoded"
